name,url,telephone,tax_num,street,locality,region,postcode,country
Chamber Music At The Barn Inc,http://www.cmatb.org,(316) 721-7666,EIN 48-1193360,4041 N Maize Rd Ste 240,Maize,KS,67101,USA
Westmoreland Scholar Foundation,http://,,EIN 52-1948223,2101 Wilson Ave Ste 101,Leavenworth,KS,66048,USA
Iglesia Pentecostal Holiness Church,http://,,EIN 48-1124544,Po Box 454,Satanta,KS,67870,USA
American Legion,http://www.kslegion19.org,(913) 908-5255,EIN 48-0832869,315 Meadowbrook Cir,Gardner,KS,66030,USA
Wichita Art Museum Inc,http://,,EIN 48-1157680,1400 W Museum Blvd,Wichita,KS,67203,USA
Variety Children's Charity of Greater Kansas City,http://www.varietykc.org,,EIN 23-7431670,p.o. Box 3446,Shawnee,KS,66203,USA
Weed Science Society Of America,http://www.wssa.net,(785) 865-9250,EIN 37-0911208,810 E 10th St,Lawrence,KS,66044,USA
EDUCATION AND MORE,http://www.educationandmore.org,,EIN 26-0300343,PO Box 201,Burlingame,KS,66413,USA
Communities In Schools Of Mid-America Inc,http://www.cismidamerica.org,(785) 856-5190,EIN 48-1175467,2721 W 6th St Ste E,Lawrence,KS,66049,USA
Humane Society Of Greater Kansas City,http://www.hsgkc.org/,(913) 596-1000,EIN 48-0581965,5445 Parallel Pkwy,Kansas City,KS,66104,USA
Public Notice Research & Education Fund Inc,http://,,EIN 27-3197768,Po Box 2972,Wichita,KS,67201,USA
JESUS Film Harvest Partners,http://www.JFHP.org,,EIN 43-1857543,15055 West 116th Street,Olathe,KS,66062,USA
No Penn Mtc,http://,,EIN 43-1773468,PO Box 6063,Kansas City,KS,66106,USA
"Assistance League of Wichita, Inc.",http://www.alwichita.org,(316) 687-6107,EIN 48-0985922,PO Box 8072,Wichita,KS,67208,USA
Ozar-Bratt Charitable Foundation,http://,,EIN 43-1564620,C/O Jewish Community Foundation of Greater Kansas City 5801 West 115THSTREET 202,Overland Park,KS,66211,USA
Alliance Against Family Violence Incorporated,http://www.aafv.net,(913) 682-8979,EIN 48-0975872,108 S 5th St,Leavenworth,KS,66048,USA
Agriculture Council Of America Education Foundation Inc,http://,,EIN 52-1158707,11020 King Street,Overland Park,KS,66210,USA
Project Walk - Kansas City Inc.,http://www.projectwalk-kansascity.org,(913) 451-1500,EIN 45-2474070,6600 College Blvd. STE 315,Overland Park,KS,66211,USA
All India Mission,http://www.allindiamission.com,(913) 829-6555,EIN 33-0421940,Po Box 3136,Olathe,KS,66063,USA
Ms Wheelchair America,http://www.mswheelchairamerica.org,(785) 267-5982,EIN 52-1671000,4001 Se 34th Ter,Topeka,KS,66605,USA
Positive Connections Inc,http://,,EIN 48-1032982,1001 Sw Garfield Ste 4,Topeka,KS,66604,USA
Legacy Of Justice Foundation,http://,,EIN 52-1243247,719 Sw Van Buren,Topeka,KS,66603,USA
Mental Health America of the Heartland,http://www.mhah.org,913-281-2221,EIN 48-1185409,739 Minnesota Ave.,Kansas City,KS,66101,USA
Special Olympics Kansas Inc,http://www.ksso.org,(913) 236-9290,EIN 48-0890981,5280 Foxridge Dr,Mission,KS,66202,USA
Kansas Society For Children With Challenges,http://,(316) 262-4676,EIN 48-0573804,100 N Main St Ste 1002,Wichita,KS,67202,USA
"Youth For Christ Usa, Inc.",http://,,EIN 52-1284731,PO Box 3700,Wichita,KS,67201,USA
Love Chloe Foundation,http://www.lovechloefoundation.org,(785) 342-0324,EIN 26-1931364,1316 Meyer Dr,Salina,KS,67401,USA
"National Ambucs, Inc.",http://,,EIN 91-1904172,2640 Daley,Salina,KS,67401,USA
SILENT ANGELS ADVOCATE RESCUE & SHELTER,http://facebook.com/silentangelsnokillanimalshelter,620-260-0418,EIN 76-0719588,931 W County Road J c/o Richard Pell,Leoti,KS,67861,USA
NAMI Kansas Inc.,http://www.namikansas.org,(785) 233-0755,EIN 48-1061361,610 Sw 10th Avenue Suite 203,Topeka,KS,66612,USA
Blue Valley Educational Foundation,http://www.bvef.org,,EIN 48-1159744,15020 Metcalf Ave,Overland Park,KS,66223,USA
Southern Baptist Ministries,http://,,EIN 48-1178832,Po Box 12643,Kansas City,KS,66112,USA
Morgan Parent-Teacher Organization Inc,http://,(620) 615-5200,EIN 48-1091880,100 W 27th Ave,Hutchinson,KS,67502,USA
Humana Hospital Mtc,http://,,EIN 43-1773480,PO Box 6063,Kansas City,KS,66106,USA
Global Learning Center Inc,http://,,EIN 48-1058052,Po Box 78242,Wichita,KS,67201,USA
Haiti Love & Faith Ministries Inc,http://,,EIN 48-0986758,215 S Saint John Ave,Lyons,KS,67554,USA
Victory Chapel Ministries Inc,http://,,EIN 48-1055040,1922 S Cypress St,Wichita,KS,67207,USA
Ones Youth Inc,http://,,EIN 32-0226157,1902 S Broadway St Apt 55 Bldg C,Pittsburg,KS,66762,USA
Foundation For A Christian Civilization Inc,http://tfp.organf.orgtfpstudentaction.org,(785) 584-1112,EIN 23-7325778,Po Box 787,Rossville,KS,66533,USA
Leawood United Methodist Church,http://,,EIN 48-0691992,2915 W 95th St,Leawood,KS,66206,USA
MEDICAL SERVICE BUREAU INC,http://www.msbmedlinks.org,(316) 683-7559,EIN 48-0891620,1530 S Oliver Ste 130,Wichita,KS,67218,USA
Shadow Buddies Foundation,http://www.shadowbuddies.org,913-642-4646,EIN 48-1190112,14700 West 107th Street Suite 100,Lenexa,KS,66215,USA
Jefferson City Mtc,http://,,EIN 43-1773492,PO Box 6063,Kansas City,KS,66106,USA
Sunflower Rail-Trails Conservancy Inc,http://,,EIN 48-1061533,Po Box 442043,Lawrence,KS,66044,USA
Second Chance Animal Refuge Society,http://www.scarsusa.com,,EIN 43-1928604,9747 Sw Hoch Rd,Auburn,KS,66402,USA
Monty Thompson Continuing Education Foundation,http://,,EIN 26-3758097,430 Main St,Kiowa,KS,67070,USA
Little Sunflower League Inc,http://www.littleleague.org/,,EIN 48-6128843,21 W 1st Ave,Caldwell,KS,67022,USA
Kids University Inc,http://,,EIN 48-1138307,842 Pony Express Hwy,Marysville,KS,66508,USA
Belle Plaine Community Foundation,http://,,EIN 48-1151424,PO Box 285,Belle Plaine,KS,67013,USA
Osawatomie Wesleyan Church,http://,,EIN 48-1065612,406 4th St,Osawatomie,KS,66064,USA
Womens International Bowling Congress Inc,http://,,EIN 51-0215543,128 Lincoln Ave,Holton,KS,66436,USA
L M Alcott Art Center Foundation,http://www.alcottartscenter.org,913-233-2787,EIN 03-0448515,180 South 18TH Street,Kansas City,KS,66102,USA
Topeka Youth Project Inc,http://,,EIN 48-0887988,1100 Sw Gage Blvd,Topeka,KS,66604,USA
Cross-Lines Community Outreach Inc,http://www.cross-lines.org,(913) 281-3388,EIN 48-0697177,736 Shawnee Ave,Kansas City,KS,66105,USA
Valeo Behavioral Health Care Inc,http://www.valeotopeka.org,(785) 228-3077,EIN 48-0730326,5401 Sw 7th St,Topeka,KS,66606,USA
Tonganoxie Community Theatre Inc,http://,,EIN 48-0972420,P O Box 321,Tonganoxie,KS,66086,USA
International Essential Tremor Foundation,http://www.essentialtremor.org,888-387-3667,EIN 36-3847816,11111 W 95th St Ste 260,Overland Park,KS,66214,USA
First Call For Help Of Ellis County Inc,http://,(785) 623-2800,EIN 48-1186945,205 E 7th St Ste 204,Hays,KS,67601,USA
Ksds Assistance Dogs Inc,http://www.ksds.org,(785) 325-2256,EIN 48-1080879,120 W 7th St,Washington,KS,66968,USA
Light Of The World Family Church Inc,http://,,EIN 48-1015476,3301 Sw Gage Blvd,Topeka,KS,66614,USA
One Spark Foundation,http://,,EIN 27-1799429,725 E 10th St N,Wichita,KS,67214,USA
Harold J Lehane Living Tr,http://,(785) 267-8782,EIN 48-6341351,Po Box 5049,Topeka,KS,66605,USA
"Nazarene Compassionate Ministries, Inc.",http://www.ncmi.org,(913) 768-4808,EIN 43-1550318,17001 Prairie Star Parkway Suite 100,Lenexa,KS,66220,USA
Quail Unlimited Inc,http://,,EIN 58-2029092,PO Box 215,Council Grove,KS,66846,USA
Food Equality Initiative Inc,http://,,EIN 47-2377396,8115 Shawnee Mission Pkwy Ste 200 A,Mission,KS,66202,USA
Living Waters Christian Canoe Camp and Retreat Center Inc,http://www.john738.com,877-851-8158,EIN 48-1252500,10955 Lowell Ave Ste 900,Overland Park,KS,66210,USA
Kids Need To Eat,http://,,EIN 46-1803529,Po Box 467,El Dorado,KS,67042,USA
Southeast Kansas Lutherans Inc,http://,(620) 331-1040,EIN 48-6123252,601 S Penn P,Independence,KS,67301,USA
B&C Equine Rescue Inc.,http://horserecue.weebly.com/,785-836-7443,EIN 46-1980610,740 W 125,Carbondale,KS,66414,USA
Church On The Rock Of St John Inc,http://,,EIN 48-1160016,210 E 3rd Ave,Saint John,KS,67576,USA
Unified School District No 404 Education Foundation Inc,http://,,EIN 48-1189884,6860 Se Highway 66,Riverton,KS,66770,USA
Friends Of The Library Fredonia Inc,http://,,EIN 48-0955692,807 Jefferson St,Fredonia,KS,66736,USA
Methodist Hospital Assn Inc,http://,(620) 227-8133,EIN 48-0536148,2300 1st Ave,Dodge City,KS,67801,USA
Bound Fur Life Foundation,http://,,EIN 47-2456536,Po Box 461,Kechi,KS,67067,USA
"Justice For All, Inc.",http://www.jfaweb.org,,EIN 48-1128944,113 N Martinson,Wichita,KS,67203,USA
Village Elementary School Parent Teachers Organization,http://,(620) 341-2282,EIN 48-1057548,2302 W 15th Ave,Emporia,KS,66801,USA
Down Syndrome Guild Of Greater Kansas City Inc,http://www.kcdsg.org,(913) 384-4848,EIN 43-1427760,5960 Dearborn,Mission,KS,66202,USA
Miltonvale Development Corp,http://,,EIN 48-0937680,22 W Spruce Ave,Miltonvale,KS,67466,USA
Logan County Senior Citzens Inc,http://,,EIN 48-0982380,125 Center Ave,Oakley,KS,67748,USA
Youth For Christ International,http://,,EIN 48-0894039,2714 Nw Topeka Blvd Ste 103,Topeka,KS,66617,USA
Cancer Wellness Corporation,http://,,EIN 43-1690416,2309 W 96TH St,Leawood,KS,66206,USA
"Drug Abuse Education Center, Inc.",http://,,EIN 48-0937824,807 Clairborne,Olathe,KS,66062,USA
Sunflower Health Network Inc,http://www.sunflowerhealthnetwork.com,(785) 452-6102,EIN 48-1163256,400 S Santa Fe Ave,Salina,KS,67401,USA
HOSPITALIZED VETERANS WRITING PROJECT INC,http://,(816) 701-6844,EIN 48-0987617,5920 Nall Ave Ste 105,Mission,KS,66202,USA
Abilene Public Schools Endowment Association,http://,(785) 263-2630,EIN 48-1068672,Po Box 639,Abilene,KS,67410,USA
Wounded Warriors United,http://www.wwuf.org,785-313-1277,EIN 45-4027350,3303 Valleywood Dr,Manhattan,KS,66502,USA
Kansas Farm Management Association N W,http://,(785) 462-6664,EIN 48-0975996,Po Box 841,Colby,KS,67701,USA
"Community Hope, Inc.",http://www.communityhope-nj.org,973 463-960,EIN 22-2647038,"959 Route 46 East, Suite 402",Parsippany,NJ,07054,USA
Ywca Of Central New Jersey,http://,,EIN 22-1489918,232 E Front St,Plainfield,NJ,07060,USA
Newark Bait & Fly Casting Club,http://,,EIN 22-2188373,1067 Ledgewood Rd,Mountainside,NJ,07092,USA
The National Association Of Jewish Chaplains Inc,http://WWW.NAJC.ORG,,EIN 06-1288389,50 Eisenhower Drive,Paramus,NJ,07652,USA
Robbinsville Education Foundation Inc,http://,,EIN 22-3514011,155 Robb-edinburg Rd,Robbinsville,NJ,08691,USA
Jersey Animal Coalition Inc -Jac-,http://www.jaconline.org,(973) 762-2442,EIN 22-2942416,7 Warner Rd,Maplewood,NJ,07040,USA
YMCA of Montclair,http://www.montclairymca.org,(973) 744-3400,EIN 22-1487617,25 Park Street,Montclair,NJ,07042,USA
The Appel Farm Arts and Music Center,http://www.appelfarm.org,(856) 358-2472,EIN 22-2235002,PO Box 888 457 Shirley Rd,Elmer,NJ,08318,USA
Prepare for Success Program Inc.,http://www.weprepare.info,,EIN 45-2932759,PO Box 8055,Hillside,NJ,07205,USA
Red De Apoyo Inc,http://victimasectas.com,+1  908 379-8081,EIN 47-3290867,PO Box 24,Hampton,NJ,08827,USA
"AmpleHarvest.org, Inc.",http://www.AmpleHarvest.org,AMPLE-6-9880 ,EIN 27-2433274,24 Clover Rd,Newfoundland,NJ,07435,USA
Helping Hearts Equine Rescue,http://www.hher.webs.com,(732) 786-9015,EIN 26-1729584,PO Box 342,Perrineville,NJ,08535,USA
Fur Friends In Need Inc,http://,,EIN 32-0243704,591 Holmdel Rd,Hazlet,NJ,07730,USA
Center for Family Services Inc,http://www.centerffs.org,856.964.1990,EIN 22-3669704,584 Benson St,Camden,NJ,08103,USA
Cookies for Kids Cancer,http://www.cookiesforkidscancer.org,(646) 454-0386,EIN 26-2320528,31 Hoffmans Crossing Rd Larry S Witt,Califon,NJ,07830,USA
SCHOLARSHIP FUND FOR INNER-CITY CHILDREN,http://www.sficnj.org,973-497-4279,EIN 51-0546401,171 Clifton Avenue P. O. Box 9500,Newark,NJ,07104-0500,USA
Footprints In The Sand Foundation,http://www.footprintsfoundation.com,(212) 546-6248,EIN 74-3075491,161 Mckinley Street,Closter,NJ,07624,USA
Bear Search And Rescue Foundation,http://,,EIN 06-1652942,36 Ketley Pl,Princeton,NJ,08540,USA
Enyi Md Foundation Inc,http://www.enyimdfoundation.org,,EIN 26-4391019,5071 Main St,Voorhees,NJ,08043,USA
"American Dystonia Society, Inc.",http://www.dystonia.us,,EIN 27-1254291,17 Suffolk Ln,Princeton Juntion,NJ,08550,USA
Hoboken Family Alliance Inc,http://www.hobokenfamily.com,(201) 533-1585,EIN 13-4216229,Po Box 1194,Hoboken,NJ,07030,USA
Jewish Vocational Service of Metro West,http://www.jvsnj.org,(973) 674-6330,EIN 22-1487229,111 Prospect St,East Orange,NJ,07017,USA
Eve's Children,http://,800-359-7801,EIN 27-5361706,,,NJ,08070,USA
The Garage Theatre Group Inc,http://www.garagetheatre.org,201-569-7710,EIN 22-3227995,161 Newcomb Rd,Tenafly,NJ,07670,USA
Jubilation Creations,http://jubilationcreations.org/,856-240-1558,EIN 27-1848145,713 Haddon Ave,Collingswood,NJ,08108,USA
Art Pride New Jersey Foundation Inc,http://www.ArtPrideNJ.com,609-479-3377,EIN 22-3460723,432 High St.,Burlington,NJ,08016,USA
Baps Charities,http://www.bapscharities.org,,EIN 77-0533155,81 Suttons Lane Suite 201,Piscataway,NJ,08854,USA
EPOCH,http://,(973) 377-7636,EIN 22-2006583,Po Box 231,Madison,NJ,07940,USA
Jersey Cares,http://www.jerseycares.org,(973) 424-1091,EIN 22-3294530,494 Broad Street Suite 104,Newark,NJ,07102,USA
Perth Amboy Happy Home Shelter Incorporated,http://,,EIN 01-0958223,362 State St,Perth Amboy,NJ,08861,USA
HISPANIC COUNCIL ON SOCIAL POLICY CENTER FOR COMMUNITY DEVELOPMENT CORP.,http://www.hcspccd.wix.com/hispanic,(973) 914-8205,EIN ,1 Market Street Suite 3,Paterson,NJ,07501,USA
The Food Bank of Monmouth and Ocean Counties,http://www.foodbankmoc.org,(732) 918-2600,EIN 22-2622522,3300 Route 66,Neptune,NJ,07753,USA
Misfit Angel Network Inc,http://misfitangelnetwork.org,,EIN 81-2501983,65 KIMBLE ST,EDISON,NJ,08817,USA
Sturge-Weber Foundation,http://www.sturge-weber.org,(973) 895-4445,EIN 74-2485813,PO Box 418,Mt. Freedom,NJ,07970,USA
Summit Supports Our Troops,http://www.ssot.org,908.273.4122,EIN 71-0993070,382 Springfield Ave Suite 212,Summit,NJ,07901,USA
Cape Eleuthera Foundation Inc,http://www.capeeleutherafoundation.org,(609)620-6054,EIN 31-1591503,PO Box 6008,Lawrenceville,NJ,08648,USA
Somerset County Cultural Diversity Coalition Inc,http://www.sccdiversity.org,(908) 369-4318,EIN 22-3510328,PO Box 5082,Somerville,NJ,08876,USA
Childhood Cancer Society Inc,http://www.childhoodcancersociety.org,(973) 706-5752,EIN 20-3684085,14 Dudley Ct,Wayne,NJ,07470,USA
Mine Brook Search & Rescue,http://www.minebrooksar.org,908-502-0060,EIN 20-3117852,601 Mine Brook Rd,Far Hills,NJ,07931,USA
Special Needs K9 Inc,http://,,EIN 27-1152891,Po Box 303,Oakland,NJ,07436,USA
Good Counsel Inc,http://www.goodcounselhomes.org,(201) 795-0637,EIN 22-2831271,P.O. Box 6068,Hoboken,NJ,07030,USA
Areyvut,http://www.areyvut.org,,EIN 37-1463393,147 South Washington Avenue,Bergenfield,NJ,07621,USA
Hanover Consort Alternate Name Hanover Wind Symphony,http://www.hanoverwinds.org,(973) 263-2683,EIN 22-2813816,Po Box 100,Whippany,NJ,07981,USA
SCALES AND TAILS INC,http://,,EIN 45-0499337,27 Sparrow Rd,Randolph,NJ,07869,USA
Community Compass Inc,http://,(732) 349-1550,EIN 22-3602867,1563 Old Freehold Rd,Toms River,NJ,08755,USA
"Durga Tree International, Inc",http://www.DurgaTreeInternational.org,(973) 461-6621 ,EIN 46-3018281,35a Wilson Drive,Sparta,NJ,07871,USA
Harding Land Trust Inc,http://www.hardinglandtrust.org,(973) 377-2176,EIN 22-3084414,Po Box 576,New Vernon,NJ,07976,USA
Push to Walk,http://www.pushtowalknj.org,862-200-5848,EIN 20-8059368,6 N. Corporate Drive,Riverdale,NJ,07457,USA
The Land Conservancy of New Jersey,http://www.tlc-nj.org,973-541-1010,EIN 22-2378868,19 Boonton Avenue,Boonton,NJ,07005,USA
Humane Society Of Atlantic County,http://www.hsacvet.com,(609) 347-2487,EIN 22-6085995,1801 Absecon Blvd,Atlantic City,NJ,08401,USA
Aishel aka Reena's Place,http://www.aishel.org,(973) 773-1816,EIN 33-1105830,88 Reid Ave,Passaic,NJ,07055,USA
Passaic Police Athletic League Inc,http://,,EIN 22-3514758,Po Box 4092,Passaic,NJ,07055,USA
"FP YOUTHOUTCRY Foundation, Inc",http://,(973) 732-4690,EIN 56-2596758,Po Box 1595,Newark,NJ,07101,USA
180 Turning Lives Around Inc.,http://www.180nj.org,732-264-4360,EIN 22-2130220,"1 Bethany Road Bldg. 3, Suite 42",Hazlet,NJ,07730,USA
Opportunity Project Inc,http://opportunityproject.org,(973) 921-1000,EIN 22-3242203,60 E Willow St,Millburn,NJ,07041,USA
Claytons Hope,http://www.claytonshope.org,(609)410-6736,EIN 01-0856715,144 Johnson Rd,Turnersville,NJ,08012,USA
National Multiple Sclerosis Society,http://www.nationalMSsociety.org/njm,732-660-1005,EIN 22-6080521,1480 US Highway 9 North  Suite 301,Woodbridge,NJ,07095,USA
"Hearts United Against Cancer, Inc.",http://www.heartsunitedagainstcancer.org/,856-981-0960,EIN 47-1465264,PO Box 443,Sewell,NJ,08080,USA
Elixir Fund,http://www.elixirfund.org,800-494-9228,EIN 04-3763475,PO Box 326,Princeton Jct.,NJ,08550,USA
Husky House Inc,http://huskyhouse.org,(908) 672-7998,EIN 20-4968411,78 Maple St,Bridgewater,NJ,08807,USA
New Jersey Agricultural Society,http://www.njagsociety.org,(609) 462-9691,EIN 21-0634544,1200 Florence Columbus Road,Bordentown,NJ,08505,USA
Westville Environmental Commission,http://,856-456-2308,EIN 21-6001357,165 Broadway,Westville,NJ,08093-1148,USA
New Jersey Chronic Fatigue Syndrome Association Inc. (NJCFSA),http://www.njmecfsa.org,(973) 635-4362,EIN 22-3367433,PO Box 477,Florham Park,NJ,07932,USA
"Hillsborough Jr Raiders Sports, Inc.",http://www.jrraiders.org,(908) 371-1812,EIN 45-4217562,PO Box 7735,Hillsborough,NJ,08844,USA
Safe Hounds Beagle Rescue Inc,http://www.safehounds.com,,EIN 42-1676022,PO Box 515,Blairstown,NJ,07825,USA
Grace In The Mud,http://,,EIN 47-4639808,412 Burning Tree Rd,Cherry Hill,NJ,08034,USA
New Jersey State Organization Of Cystic Fibrosis,http://www.njsocf.org,,EIN 22-2167217,137 Union Blvd,Totowa,NJ,07512,USA
Project195,http://www.project195.org,888-410-5122,EIN 26-4624656,87 Yawpo Avenue Suite#201,Oakland,NJ,07436,USA
Police Activity League Of Jersey City Inc,http://jcpal.org,(732) 877-9000,EIN 22-2238351,163 Old Bergen Rd,Jersey City,NJ,07305,USA
Delanco Emergency Squad,http://www.delancoems.org,(856) 764-0951,EIN 20-4827837,PO Box 5124 Po Box 5124,Delanco,NJ,08075,USA
Deborah Hospital Foundation,http://www.deborahfoundation.org,(609) 893-1200,EIN 22-2049500,212 Trenton Rd,Browns Mills,NJ,08015,USA
RESCUE MISSION OF TRENTON,http://www.rescuemissionoftrenton.org,(609) 396-2183,EIN 21-0656182,98 Carroll St,Trenton,NJ,08609,USA
Handicapped High Riders Club,http://,,EIN 22-2286026,145 Route 526,Allentown,NJ,08501,USA
Foundation For Peace,http://www.foundationforpeace.org,(973) 813-6122,EIN 55-0810709,Po Box 424,Ironia,NJ,07845,USA
D & R Greenway Land Trust Inc,http://www.drgreenway.org,(609) 924-4646,EIN 22-3035836,1 Preservation Pl,Princeton,NJ,08540,USA
Americas Grow a Row Inc,http://www.americasgrowarow.org,908-331-2962,EIN 26-2569598,150 Pittstown Rd,Pittstown,NJ,08867,USA
Stone Harbor Museum Corporation,http://www.stoneharbormuseum.org,609-368-7500,EIN 31-1694111,235 93RD St,Stone Harbor,NJ,08247,USA
"Anchor House, Inc.",http://anchorhousenj.org,(609) 396-8329,EIN 22-2229995,482 Centre St,Trenton,NJ,08611,USA
The Why Center,http://www.thewhycenter.org,(201) 918-6390,EIN ,627-C Summmit Ave.,"Jersey City,",NJ,07306,USA
Algonquin Arts A New Jersey Non- Profit Corporation,http://www.algonquinarts.com,,EIN 22-3195260,173 Main St,Manasquan,NJ,08736,USA
Childhood Leukemia Foundation Inc,http://www.clf4kids.org,,EIN 52-1825483,807 Mantoloking Rd Ste 202,Brick,NJ,08723,USA
Central Jersey Hindu Association,http://,,EIN 22-3030025,4240 Route 27,Princeton,NJ,08540,USA
Friends of Nepal - New Jersey,http://www.fonnj.org,908-369-4318,EIN 30-0091226,PO Box 5015,Somerville,NJ,08876,USA
Storytelling Arts Inc,http://www.storytellingarts.net,609-430-1922,EIN 22-3473712,PO Box 995,Princeton Junction,NJ,08550,USA
PEI Kids,http://www.peikids.org,609-695-3739,EIN 22-2594219,231 Lawrence Road,Lawrenceville,NJ,08648,USA
East Lynne Theater Company,http://www.eastlynnetheater.org,609-884-5898,EIN 22-2342725,121 Fourth Ave.,Cape May,NJ,08204,USA
Family Service Association,http://www.aclink.org/fsa.htm,(609) 569-0239,EIN 21-0635041,3073 English Creek Ave Ste 3,Egg Harbor Township,NJ,08234,USA
Animal Alliance of NJ,http://www.animalalliancenj.org,609-818-1952,EIN 77-0632827,1432 Route 179 North,Lambertville,NJ,08530,USA
The Affum-Darkwah Mission Int'l (TADMI) Inc.,http://www.tadmi.org,(646)207-2618,EIN 46-2306250,P. O. Box 1657,Fort Lee,NJ,07024,USA
TASK,http://www.trentonsoupkitchen.org,609-695-5456,EIN 22-2392881,72 1/2 Escher Street  PO Box 872,Trenton,NJ,08605,USA
"GlassRoots, Inc.",http://www.glassroots.org,973-353-9555,EIN 22-3671890,10 Bleeker Street,Newark,NJ,07102,USA
Sharsheret Inc,http://www.sharsheret.org,(201) 833-2341,EIN 13-4198529,1086 Teaneck Rd Ste 2g,Teaneck,NJ,07666,USA
"Volunteer Center of Bergen County, Inc.",http://www.bergenvolunteers.org,201-489-9454,EIN 22-1821282,64 Passaic Street,Hackensack,NJ,07601,USA
Dance Innovations Performance Foundation Inc,http://danceinnovations.org/DIPF,973-635-7000 or ,EIN 22-3688585,13 Roosevelt Ave,Chatham,NJ,07928,USA
"Seeing Eye, Inc.",http://www.seeingeye.org,(973) 539-4425,EIN 22-1539721,PO Box 375,Morristown,NJ,07963,USA
Trenton Education Dance Institute Inc,http://,(609) 658-2674,EIN 52-1775236,635 South Clinton Avenue,Trenton,NJ,08611,USA
Monmouth Conservation Foundation,http://www.monmouthconservation.org,(732) 671-7000,EIN 22-2185314,PO Box 4150,Middletown,NJ,07748,USA
Ridge And Valley Conservancy Inc,http://ridgeandvalleyconservancy.org,(908) 362-7989,EIN 22-3181864,Po Box 146,Blairstown,NJ,07825,USA
Greater Life Inc,http://,,EIN 30-0212814,187 Wainwright St,Newark,NJ,07112,USA
South Jersey Against Aids Inc Dba South Jersey Aids Alliance,http://www.sjaids.org,(609) 347-1085,EIN 22-2686586,19 Gordons Alley,Atlantic City,NJ,08401,USA
Sojihuggles Childrens Foundation,http://www.sojihuggles.org,973-383-8022,EIN 81-1463806,4 Hidden Valley Road,Newton,NJ,07860,USA
Celtic Charms Therapeutic Horsemanship,http://www.celticcharms.org,,EIN 27-2039852,671 Fort Plains Road,Howell,NJ,07731,USA
Freedom House Inc,http://freedomhousenj.org,(908) 537-6043,EIN 22-2638093,Po Box 367,Glen Gardner,NJ,08826,USA
Creative Money Works Inc,http://,(917) 617-1991,EIN 71-1049549,1 Market Street Victor Lofts,Camden,NJ,08102,USA
Big Brothers Big Sisters Of Northern New Jersey Inc,http://www.northjerseybigs.org,(973) 335-3044,EIN 11-3675554,333 Rt 46 W Ste 205,Mountain Lakes,NJ,07046,USA
Epitome of Soul Inc.,http://epitomeofsoul.org,,EIN 45-5496564,38 East Ridgewood Ave. #255,Ridgewood,NJ,07450,USA
Jersey Battered Womens Service,http://www.jbws.org,(973) 267-7520,EIN 22-2170048,Po Box 1437,Morristown,NJ,07962,USA
The College Of New Jersey Foundation Inc,http://,,EIN 22-2448189,Po Box 7718,Ewing,NJ,08628,USA
Daughters Of Miriam,http://www.daughtersofmiriamcenter.org,(973) 772-3700,EIN 22-1500504,155 Hazel St,Clifton,NJ,07011,USA
Imamia Medics International Inc,http://www.imamiamed.org,,EIN 22-3309208,Po Box 8209,Princeton,NJ,08543,USA
Pet Adoption League Inc,http://,,EIN 22-2467373,Po Box 206,Hackettstown,NJ,07840,USA
Charity Kings,http://charitykingsinc.yolasite.com,8482050362,EIN 90-0582653,57 South Main St Ste 262,Neptune,NJ,07753,USA
"Make Some Noise: Cure Kids Cancer Foundation, Inc.",http://www.makenoise4kids.org,973-656-1111,EIN 27-0996732,PO Box 9210,Morristown,NJ,07932-9210,USA
The Evergreens,http://www.evergreens.org,(856) 439-2030,EIN 21-0634485,309 Bridgeboro Rd,Moorestown,NJ,08057,USA
Autism New Jersey Inc,http://autismnj.org,(609) 588-8200,EIN 22-2129739,500 Horizon Dr Ste 530,Robbinsville,NJ,08691,USA
Martin Luther King Youth Center Inc,http://,(908) 526-3688,EIN 22-2043677,1289 Prince Rodgers,Bridgewater,NJ,08807,USA
EL PRIMER PASO LTD,http://,(973) 361-0880,EIN 22-2124259,29 Segur St,Dover,NJ,07801,USA
The Good People Fund,http://www.goodpeoplefund.org,973-761-0580,EIN 26-1887249,384 Wyoming Ave,Millburn,NJ,07041,USA
Samaritan Healthcare & Hospice Inc,http://www.samaritanhealthcarenj.org,(856) 596-1600,EIN 22-2344036,5 Eves Dr Ste 300,Marlton,NJ,08053,USA
Mary Queen of All Nations Missionary Alliance,http://www.maryqueenofallnations.org,973-361-5824  ,EIN 22-2598337,8 Reservoir Ave,Dover,NJ,07801,USA
Partners in Torah,http://www.partnersintorah.org,(973) 221-3650,EIN 27-0000414,228 Aycrigg Avenue,Passaic,NJ,07055,USA
Spring Reins of Life Inc.,http://www.SpringReinsofLife.org,917-275-7765 (SR,EIN 45-2531926,PO Box 5311,Clinton,NJ,08809,USA
Loving Grace Ministries Inc,http://www.lovinggrace.org,(973) 729-6203,EIN 52-1160024,6 Marian Rd,Sparta,NJ,07871,USA
Pound Animal Welfare Society Of Montclair Inc.,https://www.pawsmontclair.org,(973) 746-5212,EIN 22-2133963,PO Box 149,Montclair,NJ,07042,USA
MILFORD BOROUGH HISTORICAL SOCIETY,http://www.milfordnjhistory.org,908-328-6515,EIN 27-0361144,PO Box 430,Milford,NJ,08848,USA
