name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	The China Care Program		Half the Skys Nurture and Education Programs	The Youth Empowerment Program
Petit Family Foundation	http://www.petitfamilyfoundation.org	(860) 479-1436	EIN 26-0627813	Po Box 391	Farmington	CT	06034	USA	Community Foundations, Philanthropy	The primary activity is to raise funds to foster the education of young people, especially those in the sciences; to improve the lives of those affected by chronic illnesses and affected by violence. In keeping with its missions, the foundation makes scholarships to needy individuals and makes contributions to charitable and educational institutions.					Contributions are provided to charitable & educational institutions to foster the education of young people, especially women in the sciences; to improve the lives of those affected by chronic illnesses; and to support efforts to protect and help those affected by violence.   scholarships are provided to children and young adults in need to assist with their education.				
Society For Neuroscience	http://		EIN 51-0145788	75 N Eagleville Rd	Storrs	CT	06269	USA											
Paper For All	http://www.paper4all.org		EIN 				06011	USA		Help children learn in better conditions in one of the most illiterate countries in the world Burkina Faso, Africa.  The organization provides academic resources to improve the learning conditions of children (6-14 years old) in four elementary schools (2,000 children) in Ouagadougou, Burkina Faso and is registered as a 501 (c) (3) in the US (#109090026), in the UK (#1116888), France (#20020080003) and Burkina Faso (#2007366).	The quarterly distribution programme currently targets a select number of schools in Ouagadougou, Burkina Faso, or about 2,000 children:  Cit de lAvenir (670 pupils)  Trame dAccueil A (880 pupils)  Trame dAccueil B (500 pupils)  Yaaka (150 pupils) Overall, in two years of operations, more than 8,000 notebooks and 5,000 pens have been distributed to the children.  In addition, Paper for All launched a tutoring programme for 150 children, to assist them for the academic fees, track their performance and distribute supplies such as mosquito nets and lamps, with the same focus, enabling better learning conditions to enable them to have a greater impact on the development on their country,	Children 6-14 in elementary schools	2400 children	US, UK, France, Burkina Faso					
Guilford A Better Chance Inc	http://	(203) 453-3994	EIN 23-7417687	Po Box 140	Guilford	CT	06437	USA	Human Services, Thrift Shops	Guilford abc is a life-changing program that offers academically gifted girls of color the opportunity to attend guilford high school, live in a caring community surrounded by a strong professional support team, and realize their individual potential. These young women, chosen from many applicants to the national abc program, come from under-represented communities where they lack access to quality educational experiences. Our program's primary mission is to provide these scholars with a better chance to excel in high school, attend a quality college or university, and lead a fulfilling personal and professional life. Guilford abc, which opened its doors in 1974, was one of the very first community-based abc programs in the nation. Since its inception, guilford abc has sent more than 55 young women on to colleges and universities in the country, many of them on full academic scholarships. Given their achievements, many of these guilford abc graduates have become real-life role models.					To provide housing, food, supervision, academic counseling for inner city students attending guilford high school.				
West Hartford Community Tv Inc	http://		EIN 06-0999684	50 South Main Street Suite 326	West Hartford	CT	06107	USA		Offer public access tv to the west hartford,ct community					Community tv  other				
Newmans Own Foundation	http://	(860) 284-4200	EIN 06-1606588	One Morningside Drive North	Westport	CT	06880	USA	Philanthropy, Private Grantmaking Foundations										
Bethel Recovery Center Inc	http://		EIN 06-1337292	1037 Sylvan Avenue	Bridgeport	CT	06606	USA	Health, Rehabilitative Care	The mission of bethel recovery center inc is to provide a safe sober and structured environment for women desiring continua					The organization provided a safe and structured environment and training for more than 52 women recovering from substance abuse				
Holy Family Home and Shelter, Inc.	http://www.holyfamilywillimantic.org	860 423-7719	EIN 06-1329333	P.O. Box 844 88 Jackson St.	Willimantic	CT	06226	USA	Homeless & Housing, Homeless Shelters	Holy Family Home And Shelter was founded in 1989 by Sisters of Charity, Our Lady Mother of the Church to temporarily house homeless families, at no cost to them, regardless of race, religious preference, or family status.	For 25 years Holy Family Home and Shelter, Inc. has been ending homelessness in Connecticut one family at a time. Many families have gone to college, gotten married, bought homes, children have done well in school. Some of our children have received awards at school and have made the honor roll. Through the education program children have received tickets to Jorgensen at UCONN for performances. Some of the children's artwork has been displayed in several venues.	Homeless families--female head of household	125 families with 220 children. We served 16,448 meals.	Willimantic, CT	On-site tutoring for school age children, activities for toddlers, case management for moms, workshops in parenting, health, budgeting, education opportunities,  etc. Three meals a day--emphasis on nutrition, snacks. Holiday assistance, on-site laundry,				
The Circle Of Hands Foundation Inc	http://		EIN 13-0449923	7 Mansfield Ave	West Hartford	CT	06117	USA	International, International Relief										
191914 Ministries Incorporated	http://	860-770-9721	EIN 26-1675759	44 Green St P.O. Box 771	Middletown	CT	06457	USA	Health, Rehabilitative Care	Our mission is to bring faith and creativity together in programs that support community wellness and enhance individual and family crisis recovery efforts by: Drawing diverse populations together to effect positive change; Building innovative bridges to individual and family crisis-recovery; Nurturing the raw creative talents of all ages Revitalizing health, commerce, and arts in our communities; Engendering economic development and enhanced employment opportunities; Promoting faith in God as a contributor to health and wellness in human life.	We spent a lot of time this year fundraising to secure new facilities to increase capacity for service delivery	Low-to-moderate income individuals and families recovering from crisis	Our programs directly benefited 970 individuals last year	State Of Connecticut	*Red Truck Services --provides job training and specialized sanitation, safety, organizing, and relocation services to low-income, at-risk families with barriers to traditional sanitation and organizing solutions *Writers Out Loud! --monthly community open-mic presenting richly diverse sharing of cross-cultural story *Walkabout Outreach --weekly community outreach to interact with neighbors and businesses, building rapport, learning about needs and strengths, sharing about available resources *Speakers Bureau --pool of individual speakers, peer and professional, providing information and education about about psychosocial crises experiences and resources *191914.COM --interactive web site providing public information and eduction resources *YouthARTS Studios --- recreational art groups for at-risk youth (ages 6-17) *Emerging Artist Development Series -- interdisciplinary art groups for at-risk adults. *Dream Capture Groups --10-week seminars for streamlining the pathway to individual life goals *Bridges to Recovery: Books & Gifts --books, art, and gift shop featuring unique writings, artwork, crafts created by 191914 artists. *Ready for the World Teens(RTWF) --interactive teen workshops providing enhanced self-image and life skills education to at-risk teens (age 13-17) *Better Parenting --facilitated parenting groups to help psycho-socially challenged parents-at-risk build better parenting and coping skills *Food-4-Love/Food-4-Life --TBA				
The Battered Women's Safe Territory an Opportunity to Progress, Inc.	http://www.bwstop.org		EIN 56-2455549	94 Bentwood Dr	Waterbury	CT	06705	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	BW STOP provides our clients - the victims of domestic violence and their families - counseling, family/group therapy, medical referrals, babysitting services, educational and vocational training, and temporary residential housing.  BW STOP offers these services to assist in developing self-reliance and independence for our clients									
Mary's Place, Inc.	http://www.marysplacect.org	(860) 688-9621	EIN 06-1462376	6 Poquonock Ave.	Windsor	CT	06095	USA	Counseling, Family Services, Mental Health, Named Trusts, Philanthropy	Our mission is to provide an atmosphere of trust in which children and families who are grieving a death share their experiences, receive support and find comfort. We are able to do this through peer support groups, education and training.					Mary's Place offers peer grief support groups for children ages 3-18. Our Little Kids Group is for children ages 3-7, Big Kids Groupages 8-12 and Teens Group ages 13-18. The peer support groups are offered to children whoare grieving the death ofa parent, sibling or in the case of teens, a close friend. We alsohavea Young Widows and Widowers Group. All groups are offered at no charge to families. Besides our in house support groups we have a resource center and library, offer support and guidance to schools and the community and offer a 6 week course for our parents on Understanding Children's Grief.				
Cardinal Kung Foundation Inc	http://		EIN 06-1334853	185 Echo Hill Dr	Stamford	CT	06903	USA	Gift Distribution, Human Services	To promote the Roman Catholic Church in China, now under persecution, through increased prayers, financial support and other appropriate projects.									
Friends Of The Morris Library Inc	http://		EIN 37-1569786	4 North Street	Morris	CT	06763	USA	Education										
Serious Fun Children's Network	http://www.seriousfunnetwork.org	203-562-1203	EIN 31-1794455	228 Saugatuck Avenue	Westport	CT	06880	USA	Cancer, Diseases of Specific Organs, Health, Mental Health, Mental Health & Crisis Intervention, Pediatrics	The mission is to create opportunities for children with serious illnesses and their families to reach beyond illness and discover joy, confidence and a new world of possibilities, always free of charge.	- 30 camps and programs worldwide and growing; - 75,000 children and families served in 2013; - 518,000 children and families from more than 50 countries served since 1988; - 20,000 volunteers served children and families in 2013;  A 2012-2013 evaluation of SeriousFun parents and children by the Yale School of Medicine found that children with serious illnesses who attend camp showed improved confidence, higher self-esteem, a greater sense of independence and increased interest in social activities. The study also revealed that childrens stress related to their illness decreased as a result of the camp experience.	for children with serious illnesses and their families.	75,000  children and families	International	Each SeriousFun camp is an independent, not-for-profit organization dependent upon private funding to serve children free of charge. SeriousFun programming and facilities are skillfully adapted to fit the different cultures and medical conditions of campers. Every attempt is made to be inclusive and accessible. Through its Global Partnership Program, SeriousFun also collaborates with international organizations to deliver the camp experience to children with illnesses in resouce-limited locations.  The medical expertise at camps enable more than 50 different types of conditions to be supported, including cancer, HIV, blood disorders, heart diseases and severe asthma. Through intentional programming delivered through camp and outreach programs, children are empowered to reach beyond the barriers of their conditions to build connections and foster resilience.				
Holcomb Farm Inc	http://www.holcombfarm.com	(860) 844-8616	EIN 06-1384197	113 Simsbury Rd	West Granby	CT	06090	USA	Environment	To preserve, promote, and utilize an historic new england farm for food production, education, and responsible community use.					Holcomb farm's community supported agriculture program encourages healthy living to the public through the practice and promotion of the sustainable production of fresh produce for families in the greater hartford area, educating the public through the use of an historic new england farm. Every year the fresh access program provides over five tons of fresh produce to over 1300 people with limited access and dietary needs.   holcomb farm's property preservation program raises funding for capital improvements to the property in support of the mission and the ongoing programs.				
The Noroton Fire Department Incorporated	http://	(203) 655-0653	EIN 22-2667419	1873 Post Rd	Darien	CT	06820	USA		The corporation is a 100% volunteer fire department providing 24 hour protection to the town of darien in the state of connecticut and to neighboring towns.					The corporation is a 100% volunteer fire department providing 24 hour protection to the town of darien in the state of connecticut and to neighboring towns.				
Prospect Bible Chapel	http://		EIN 22-2627063	576 Prospect Ave	Hartford	CT	06105	USA											
Hartford Dispensary	http://	(860) 643-3200	EIN 06-0646665	335 Broad Street 3rd Floor	Manchester	CT	06040	USA		Provides highly specialized health & rehabilitative services exclusively geared towards treatment of chronic opiate addiction (primarily heroin) through methadone treatment. Services include medical, pharmacy, psychiatric nursing health education, counseling (individual, family and group) and aids related activities.					Provides treatment and counseling services to narcotic addicts: the hartford dispensary provides highly specialized health & rehabilitative services exclusively geared towards treatment of chronic opiate addiction (primarily heroin) through methadone treatment. Services include medical, pharmacy, psychiatric nursing health education, counseling (individual, family and group) and aides related activities.				
Save the Kid Fund Inc	http://www.savethekid.org/		EIN 06-1158140	33 Stanton Lane	Preston	CT	06365	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion										
Cenconn Healthcare Inc	http://		EIN 22-2836007	100 Grand St	New Britain	CT	06052	USA	Community Health Systems, Health										
Voice For Joanie Inc	http://www.voiceforjoanie.org		EIN 06-1388161	5 Glenwood Rd	New Milford	CT	06776	USA	Health, International, Nerve, Muscle & Bone Diseases, Unknown	Provide computer aided communications devices for people with als					Provide computer aided communications devices for people with als				
STRATFORD ANIMAL RESCUE SOCIETY (STARS)	http://www.stratfordanimalrescue.com/	(203) 494-4881	EIN 06-1596291	PO Box 1371	Stratford	CT	06615	USA	Animal-Related, Animals	Service the homeless animals of the Stratford community by providing the medical care and necessities needed for their survival as well as educating the community on humane treatment of all living things in the goal of abolishing future animal cruelty.	We started our humane education for children the earlier part of 2012 and with each session see an increase in attendees.  This shows the parents of the community are eager to teach their children how to prevent and extinguish animal cruelty.   Fundraising endeavors we have hosted have seen slow increases.  We hold an annual Fall Festival (http://starsfest.com) which last year had over 90 vendors and continues to grow.				Volunteering  Humane Education for Children *Future Programs:       Jr. Volunteer Program (Ages 13-17)       Summer Camp Program				
Essex Land Trust Inc	http://www.essexlandtrust.org	(860) 767-0410	EIN 06-6104076	Po Box 373	Essex	CT	06426	USA	Environment, Land Resources Conservation	Land conservation and management					The organization's primary exempt purpose is land conservation and management through research, environmental education, improvement, and the acquisition of undeveloped land for open space in essex, ct. The total value of the land it holds title to and maintains is over $5 million. Land under elt is open for passive recreation to the general public at no charge.				
Epilepsy Foundation Of Connecticut Inc	http://epilepsyct.com	(860) 346-1924	EIN 22-2535999	386 Main Street	Middletown	CT	06457	USA	Epilepsy, Health	The epilepsy foundation of connecticut leads the fight to stop seizures, find a cure and overcome the challenges created by epilepsy.					The epilepsy foundation of connecticut conducted 39 educational programs for 991 participants, including school nurses, teachers, camp counselors, seniors, caregivers, and college students; responded to 450 requests for information; sponsored an overnight summer camp for 27 children and teens with epilepsy; coordinated consumer telephone networks for 69 parents and adults with epilepsy; sponsored monthly support groups in middletown, milford, stamford, bethel, guilford and groton; and introduced legislation that would provide access to epilepsy emergency medication in schools.				
Roncalli Institute Inc	http://		EIN 06-6263796	PO Box 427	Portland	CT	06480	USA											
Literacy Volunteers Of Greater Middletown, Inc.	http://		EIN 22-2527019	123 Broad St	Middletown	CT	06457	USA											
Yspaniola Incorporated	http://www.yspaniola.org	(203) 623-1805	EIN 27-0697706	158 Ridgewood Ave	North Haven	CT	06473	USA	Education, Health, International, International Academic Exchange, International Development, Public Health, Scholarships, Scholarships & Student Financial Aid	To create a network of communities with access to education, social, and economic capital, we will support bateyes and other marginalized communities in the dominican republic.					Learning center: provides out-of-school time literacy instruction for over 120 children between the ages of 4 and 15 in batey libertad  university scholarships: provides full scholarships for 3 high achieving young adults from batey libertad. One scholar graduated in july 2015.   intern/service-learning: service-learning trips gives u. S. College students week-long immersion experiences in the dominican republic to learn about the situation facing dominicans of haitian descent. Interns spend 2 - 3 months living and working in esperanza and batey libertad to support and learn about yspaniola's work.   documentation project: yspaniola partnered with local and international institutions, including the un high commissioner for refugees, to help over 120 residents of batey libertad register with the dominican government to help protect them from deportation and expulsion.   outreach: efforts to publicize the human rights crisis in the dominican republic and promote yspaniola's work and programs  outreach: efforts to publicize the human rights crisis in the dominican republic and promote yspaniola's work and programs				
Creative Connections, Inc.	http://www.creativeconnections.org	203-803-4376	EIN 13-3697184	3 Quincy Street	Norwalk	CT	06850	USA	Arts & Culture, Cultural & Ethnic Awareness, Performing Arts, Visual Arts	Creative Connections is a registered non-profit international cultural education organization. Our mission is to educate young people by encouraging their awareness, understanding, and appreciation of other cultures, as well as their own. We believe that cultural awareness is an essential element of every childs education in an increasingly interconnected world.  Our programs build bridges between students in the USA and their international peers through the exchange of arts and ideas.  These exchanges promote appreciation for other cultures, customs and traditions.				US and multiple overseas countries	An international cultural education organization that creates and facilitates arts-based exchanges between classrooms in the usa and their peers around the world. Its programs for grades three to twelve educate young people by encouraging their awareness, understanding and appreciation of other cultures as well as their own. Programming includes art exchanges, videoconferencing, workshops and performance tours. Donated services income in the amount 66,600 was included as charitable contributions revenue on the organizations 6/30/15 profit and loss statement but not included in this form 990, according to irs ruling. Donated services expense for salaries in the amount of 66,600 was included on the organizations profit and loss statement but not included in this form 990. These amounts were determined based on market rates.				
Enfield High Athletic Booster Association Inc	http://		EIN 06-1393909	5 Briarwood Dr	Enfield	CT	06082	USA	Education										
Chelsea Players Inc	http://		EIN 22-3357504	47 E Town St	Norwich	CT	06360	USA											
NATIONAL SOCIETY FOR THE GIFTED AND TALENTED	http://www.nsgt.org	203-399-5000	EIN 16-1688811	1 High Ridge Park	Stamford	CT	06905	USA	Education, Student Services	The mission of NSGT is to advance the development of gifted, talented, and high potential youth, in the United States and abroad, through opportunities, advocacy, and exemplary programs and practices.		academically gifted and talented youth	over 2,500 students	the United States	The National Society for the Gifted & Talented (NSGT) is a not-for-profit 501(c)(3) organization created to honor and encourage gifted and talented (G&T) children and youth. It is committed to acknowledging and supporting the needs of G&T children and youth by providing recognition of their significant academic and artistic accomplishments and access to educational resources and advanced learning opportunities directly related to their interests and talent areas. Our Summer Institute for the Gifted (SIG) programs combine academics with social, cultural and recreational opportunities for a truly engaging summer. Programs are available for gifted students ages 5-18.				
Little League Baseball Inc	http://		EIN 06-1334796	Po Box 158	Rocky Hill	CT	06067	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports										
Mercy Housing & Shelter Corporation	http://www.mercyhousingct.org	860-808-2036	EIN 06-1090211	211 Wethersfield Avenue	Hartford	CT	06114	USA	Homeless & Housing, Homeless Centers, Homeless Shelters	Mercy Housing and Shelter Corporation provides housing assistance and supportive services to persons who are homeless or at risk of becoming homeless. Mercy works to empower its clients to become independent, so they may live and work with dignity and respect. Mercy seeks to end homelessness by advocating for changes in the social systems that perpetuate homelessness. Mercy welcomes and serves all in need, in the tradition of the Sisters of Mercy, who founded the organization in 1983.		homeless individuals and families escape the despair and isolation of homelessness	more than 5,000 individuals and families and served more than 49,000 meals in The Friendship Center (our Day Shelter)	our communities	basic humans needs, housing, warm meals, intensive case management support and access to our job developer (once they are ready)				
Double Dog Rescue	http://www.doubledogrescue.org		EIN 26-1293877	Po Box 435	Unionville	CT	06085	USA	Animal Protection & Welfare, Animals	Dog care and rescue					Developed solid business processes, documented best practices and trained all volunteers and fosters about the double dog rescue operations. In addition, we trained southern volunteers and identified shelters and trained everyone in proper vetting techniques. Double dog developed the company to increase the number of dogs that we will be able to rescue in 2015.				
Ballet School Of Stamford	http://www.balletschoolofstamford.org	203-358-8853	EIN 06-1517402	175 Atlantic Street Old Town Hall	Stamford	CT	06901	USA	Arts & Culture, Ballet, Dance, Performing Arts Schools	The purpose of the Ballet School of  Stamford is to foster the Art of Ballet. Towards this end, it will undertake the following activities:Offer excellent ballet training to all levels of students; Work with other educational institutions to develop outreach programs on ballet; develop an awareness in the business community of the value of a disciplined dance education; promote and encourage cultural diversity in ballet training; strengthen the connections between visual and performing arts; engage in cultural activities that will enhance life in Stamford.				Fairfield CT and Westchester County NY	The Ballet School of Stamford teaches classes in ballet, modern,jazz and pilates to 250 children and 60 adults at it's downtown location. We also have "Dance for All" our outreach program where teaches go to head start programs, afterschool programs in underserved communities. Free performances for children to encourage them to try something new by seeing children like them dancing.				
Northeast Medical Group Inc	http://	(203) 688-9642	EIN 06-1330992	226 Mill Hill Ave Attn Payroll	Bridgeport	CT	06610	USA		To render medical treatment to patients without regard to ability to pay for such treatment, and to promote a high quality of medical care and other services for the benefit of all persons in the communities it serves.					Schedule oin pursuit of its charitable, scientific and educational activities, northeast medical group incurred costs related to providing medical care through its physicians to its own patients and to patients of hospitals affiliated with yale-new haven health services corporation and to patients throughout the community served by these hospitals. These services included direct patient care and medical research along with administrative services provided to hospitals affiliated with yale new haven health services corporation, all of which promote and enhance the quality of health care within the community. Example of services provided by the corporation includes the following: 1. The study, diagnosis and treatment of human ailments and injuries by licensed persons. 2. The rendering of medical and surgical treatment, consultation or advice by employees or agents of the corporation, all of whom must be persons licensed under connecticut law, to patients without regard to race, color, creed, sex, age or ability to pay for such care and services. 3. The promotion, enhancement, improvement and development of medical, surgical and scientific research at hospitals affiliated with yale new haven health services corporation and throughout the communities they serve. 4. The promotion, enhancement, improvement and augmentation of the quality of medical and clinical education and patient care at hospitals affiliated with yale new haven health services corporation. 5. The promotion and enhancement of high quality medical care and other human services for the benefit of all persons in the communities it serves. 6. The augmentation of the planning process for the promotion of the general well-being and human health needs of the communities it serves. Free and charity services relate to services provided for which no payment is anticipated. The amount of free and charity care provided was $903,089 and $790,638 for the years ended september 30, 2014 and 2013, respectively. These charges are not included in net patient service revenue for financial reporting purposes. Relationship of activities -northeast medical group provides patient care services involving the diagnoses and treatment of human ailments that improve the quality of health care in the service area of providers affiliated with yale new haven health services corporation. Medical care is provided to anyone requiring care, regardless of whether they have insurance or their ability to pay. In addition, northeast medical group physicians also are involved in providing medical education, research and administrative services to hospitals in yale new haven health services corporation. In addition to providing physicians to care for patients who are in need of care as hospital inpatients or in hospital clinics, northeast medical group also operates practices in the community with a special emphasis on much-needed primary care services. Northeast medical group is the physician practice arm of yale new haven health system, and is well-positioned to assist yale new haven health system respond to the many changes in the industry anticipated as a result of health care reform, including the move to bundled payments, value-based purchasing and accountable care organizations.				
Flanders Nature Center Inc Van Vleck Farm	http://flandersnaturecenter.org	(203) 263-3711	EIN 06-0791823	5 Church Hill Rd	Woodbury	CT	06798	USA	Environment, Environmental Education	Flanders nature center & land trust acquires, preserves and manages land; and uses the land to promote the understanding and appreciation of nature, art and the environment.					Education: in 2014, flanders nature center & land trust continued to enhance its year-round science based curriculum classes and educational workshops, including its popular summer programs for children. Over 400 children participated in weekday, weekend and school vacation programs, while over 6,000 school age students were visited either in their schools or out on field trips to the van vleck farm & nature sanctuary. On site, they learned about important new england traditions, such as raising farm animals and making maple syrup as well as discovering the wonders of the natural world through interpretive visits to flanders ponds, woods, meadows, farm and studio. On other fronts, flanders continued to offer a wonderful variety of adult/family offerings, around the themes of art, farming and nature.   land stewardship: flanders serves as the steward of 50 plus open space properties, totaling more than 2,200 acres, in woodbury and surrounding towns. We carefully manage the land to retain its ecological habitats and ensure that the open space is enhanced for future generations to enjoy. In its role as steward, flanders manages and monitors the properties it acquires while preserving their natural beauty and caring for the eco-system as a whole. These open spaces provide the community wonderful places for quiet contemplation and low impact recreation including a number of terrific hiking preserves. In short, flanders oversees the health of its open spaces and nature preserves, so that the woodlands, wetlands and trails remain open for everyone to appreciate and respect, use and enjoy.   land acquisition: through its land trust activities, flanders works to retain the rural character, ecological integrity and quality of life in the pomperaug river valley region and surrounding areas. Taking a strategic approach to land conservation, flanders protects important natural resources and has continuously added to its land trust holdings since acquiring its first parcel in 1973. Part of flanders strategy for acquiring open space includes using these natural assets to educate and broaden the communities awareness about the importance and value of protecting and stewarding open space. Total lands held in trust (fee simple and conservation easements) totals more than 2,200 acres.				
Hwet Bul Library Ltd	http://		EIN 22-3351768	303 Searles Rd	Pomfret Ctr	CT	06259	USA	Education, Libraries										
New Hartford Art League Inc	http://		EIN 75-3046935	Po Box 160	New Hartford	CT	06057	USA	Arts & Culture, Visual Arts										
Norwalk Hospital Foundation Inc	http://www.norwalkhospital.org	(203) 852-2000	EIN 22-2577707	34 Maple St	Norwalk	CT	06850	USA	Health	The norwalk hospital foundation generates philanthropy and awareness to support norwalk hospital in being a leader in advanced medical care in the region. Gifts to norwalk hospital foundation support world class medical care to meet the highest level patient expectations including the following initiatives: providing quality compassionate patient-centered care for all patients; building state-of-the-art facilities with innovative new technologies and equipment; developing and providing progressive educational programs to assure medical personnel are up-to-date on the most recent treatments and quality of care; attracting and retaining the best, the brightest, and the most dedicated physicians, nurses and other medical staff; and leading relevant research in key areas in medicine and surgery.					Facilities, equipment & technology: foundation funds supported renovations in several areas of the hospital including the new ambulatory pavilion, pediatric department, microbiology, and cp3. Additionally, funds were used to support the purchase of pink aid van, immunoassay open platform analyzer, molecular dna film array system and viral respiratory panel testing, sterilize rd rapid infuser, da vinci instruments and scopes, it scanning system, gi monitors and ems stryker stretchers.   patient care & other programs: foundation funds were used to support a variety of patient care programs including the pediatric development and therapy program, mammogram screening program, lymphedema sleeve program, integrative medicine programs, patient education materials, art and music therapy, spiritual care, community childhood obesity program and individual and group therapy for cancer patients. Interest from endowments and other restricted funds support several key positions including the chairs of pediatrics and psychiatry, pediatric hospitalists, the smilow family breast health director and the grace cole jones gift shop manager.   education, training & research: norwalk hospital foundation supports a variety of learning opportunities for employees as well as scholarships for students pursuing both undergraduate and advanced degrees in nursing. Seventy eight scholarships were awarded to students enrolled in nursing programs at local colleges and universities. Funds were also used to support continuing education and training for medical residents, spiritual care providers, labor and delivery nurses, pulmonary and critical care nurses, and respiratory therapists among others. In addition, foundation funds supported medical grand rounds lectures, library services, and printed educational materials. As a community teaching hospital, research is a key element in attracting new residents, fellows and physicians as well as to continuous improvements in medical care and services for patients in the community. Foundation support enabled norwalk hospital's whittingham cancer center to continue its robust clinical research trial program. In fiscal year 2013, research trials were conducted in breast, colon, esophageal, lung, ovarian, pancreatic and bladder cancers along with hematology trials.				
Neighborhood Housing Services Of New Haven Inc	http://nhsofnewhaven.org	(203) 562-0598	EIN 06-1021268	333 Sherman Ave	New Haven	CT	06511	USA	Homeless & Housing, Housing Support	Community based housing program designed to stabilize neighborhoods mainly through loans to home owners unable to obtain alternative financing and construction and rehabilitation of housing, related services include technical assistance, financial counseling, and referral services.					Community based housing program designed to stabilize neighborhoods mainly through loans to home owners unable to obtain alternative financing and construction and rehabilitation of housing, related services include technical assistance, financial counseling, and referral services.   community based housing program designed to stabilize neighborhoods mainly through loans to home owners unable to obtain alternative financing and construction and rehabilitation of housing, related services include technical assistance, financial counseling, and referral services.				
Under One Roof, Inc.	http://www.underoneroofinc.org	(203) 854-4660	EIN 06-1377860	60 Gregory Blvd	Norwalk	CT	06855	USA	Child Day Care, Children & Youth, Homeless & Housing, Human Services, Senior Citizens Housing & Retirement Communities, Seniors, Supportive Housing for Older Adults	Under One Roof, Inc., an independent, not-for-profit organization, is dedicated to sponsoring, developing and operating quality affordable housing for elderly persons in need of supportive services, which incorporate and promote a strong intergenerational philosophy.					Owner, sponsor and manager of Affordable Congregate Senior Housing with Supportive Services for Frail Elderly.				
New Canaan Mounted Troop Inc	http://		EIN 06-0726610	22 Carter St	New Canaan	CT	06840	USA	Equestrian, Sports										
International Medical Crisis Response Alliance	http://www.imcra.net/		EIN 61-1668609	50 Washington St.	Norwalk	CT	06854	USA	Health, Medical Research	IMCRA is dedicated to providing medical education to healthcare providers worldwide who are faced with both sudden and ongoing medical crises for which they may not be adequately trained.		Healthcare Professionals and Caregivers		Japan, China, Southeast Asia, Middle East, West Africa	We provide educational resources through our online and mobile platforms which include video modules, publications, and consultations with medical professionals internationally.				
Association For Computing Machinery	http://www.acm.org/		EIN 22-2760455	PO Box 961	New London	CT	06320	USA	Engineering & Technology, Science & Technology, Technology	Founded in 1947, ACM is the world's first educational and scientific computing society. Today, our members  over 80,000 computing professionals and students world-wide  and the public turn to ACM for authoritative publications, pioneering conferences, and visionary leadership for the new millennium.									
Ahava Kids, Inc.	http://www.AhavaKids.org	860-760-0370	EIN 11-3723593	PO Box 498	Old Saybrook	CT	06475	USA	Children & Youth, Children & Youth Services, Civil Rights, Civil Rights, Social Action & Advocacy	This is the best place to join the fight against human trafficking. If you are wondering What You Can Do, the answer is here.  "Ahava" means love in the Hebrew language. And right now, in the United States and across the world, victims of human trafficking need your love. Together, we can defend them from the unspeakable evil they face. With God's help, we can lift them out of bondage to discover a better life. Ahava Kids begin_of_the_skype_highlighting     end_of_the_skype_highlighting urges your support of organizations who truly work to rescue victims of human trafficking. Yes, there are hundreds of organizations claiming to work against modern-day slavery. Unfortunately, there are very few who have the courage and experience to make a real difference. The stellar organizations you will find listed at AhavaKids.org are focused on the safety and care of victims. They have been in the struggle for years  and proven themselves worthy of your support.		Human Trafficking Victims		Global	Cybervention StopOnlineExploitation.org Butterflies In The Stall				
United Cerebral Palsy of Eastern Connecticut	http://www.ucpect.org	860-443-3800	EIN 06-0792820	42 Norwich Road	Quaker Hill	CT	06375	USA	Arts & Culture, Birth Defects & Genetic Diseases, Birth Defects & Genetic Diseases Research, Children's Museums, Health, Human Services	To advance the independence and full citizenship of individuals with a disability.		Any Eastern CT resident with a long-term disability.		Eastern CT	Our day programs offer spacious, bright, cheerful environments for adults 21 and older with disabilities. Daily opportunities are provided to enhance skills and develop competencies. Choice is emphasized in all activities and self-advocacy is encouraged. Our program sites are fully accessible and access to wheelchair accessible vans. Nursing services are available to clients, and ucp direct support specialists maintain current medication administration certification and cpr training. We provide services to a variety of people with varying ages and abilities. Participants in our individualized day program work one on one with direct support specialists to learn new skills and to be active members in their local communities through volunteerism, social activities and learning new skills. Services are individualized based on the participants need and take place primarily in the community.   ucp specializes in residential supported living services. Since 1990 we have assisted over 60 adults, ranging in age from 21 to 80, to move into their own apartment. The supported living services provided by ucp enable each person maximum independence, but provides them with person-centered supports, specific to their needs. We provide services to participants living in their own home or apartment in the community. Through the assistance of our dedicated direct support specialists, individuals receive personalized training and support to facilitate greater independence. Supported living services includes emergency, 24-hour, 7-days-a-week, on-call assistance.   the disability support program provides services on an ongoing basis, free of charge, to children and adults with diverse disabilities living in eastern connecticut. Through the program, clients are provided with case management, advocacy, information and research, referrals, financial assistance to purchase disability related equipment, support group activities, and an adaptive toy library to help children with disabilities develop vital skills. We advocate for the needs of individuals with disabilities throughout eastern connecticut and teaches clients how to advocate for themselves, thus empowering clients to achieve their full potential and increase their independence.				
