name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year	
WINGS Guatemala	http://www.wingsguate.org	(415) 230-0441	EIN 31-1759515	1043 Grand Avenue #299	St. Paul	MN	55105	USA	Civil Rights, Family Planning, Health, International, International Development, Reproductive Health Care, Reproductive Rights, Women, Womens Rights	Mission: WINGS creates opportunities for Guatemalan families to improve their lives by providing them with family planning education and access to reproductive health services.  Vision: We envision a Guatemala where every person of or nearing reproductive age:  -Has pertinent knowledge and complete access to reproductive health and family planning services;  -Is free from cultural or religious constraints to use family planning methods;  -Is able to use family planning methods safely and healthfully;     -Can openly and comfortably discuss reproductive issues with their partners and/or parents.	Guatemala	Family Planning Initiative - WINGS' Family Planning Program aims to ensure that Guatemalans are able to make informed decisions around family planning and that they have access to methods when desired. The program revolves around addressing barriers, including geographic isolation, inability to pay for services, lack of knowledge, cultural and language barriers, and paternalistic norms.  Cervical Cancer Detection & Treatment - WINGS has been providing cervical cancer detection and treatment services since 2001. Through this program, we bring these vital services to underserved areas to help prevent this life-threatening illness. During screening clinics, WINGS' staff also provide education and counseling regarding family planning, so that women have a private place to discuss their options and how to access services.  Youth WINGS - Youth WINGS trains selected youth aged 14-19 in mostly Mayan communities to provide information on reproductive health and family planning to their peers.   WINGS for Men - The WINGS for Men program conducts workshops for men on reproductive health issues, trains peer educators to act as advocates in their communities, increases awareness about reproductive health and family planning using mass media campaigns, and sensitizes health care workers to men's needs and concerns.  Advocates for Youth - This program was developed to improve implementation of the 2006 Law of Universal Access to Family Planning.  Working with the Ministries of Health and Education in Chimaltenango, Guatemala, WINGS will train teachers and health care professionals in the provision of sex education and youth-friendly reproductive health services.		Women, men, adolescents in Guatemala	Approx. 20,000 women, men and adolescents in Guatemala	
CAR DONATION FOUNDATION	http://www.wheelsforwishes.org	(952) 456-6100	EIN 26-3408048	2576 Doswell Ave Ste 100	St Paul	MN	55108	USA	Philanthropy	Financially support other charitable organizations through motor vehicle and other property donations.		Financially support other charitable organizations through motor vehicle and other property donations. Donors contribute motor vehicles which are sold by wholesale auction houses to the general public. A share of the proceeds realized through the sale of vehicle donations is donated to charity.				
College Possible	http://www.collegepossible.org	651.288.9455	EIN 41-1968798	540 Fairview Avenue North Suite 304	St. Paul	MN	55104	USA	Education, Higher Education, Secondary & High Schools, Undergraduate Colleges	College Possible, formerly known as Admission Possible, is a nationally-growing 501(c)(3) nonprofit organization making college admission and success possible for low-income students through an intensive curriculum of coaching and support.	Minneapolis-St. Paul, MN; Milwaukee, WI; Omaha, NE; and Portland, OR	College Possible is making college admission and success possible for low-income students through an intensive curriculum of coaching and support. Our services include: (1) academic support through ACT and SAT test preparation; (2) college application assistance; (3) financial aid consulting; (4) guidance in the college transition; and, (5) support toward college degree completion.	Since our founding in 2000, students have increased their ACT test score by an average of 22%; 98 percent of our students have earned admission to college; 92 percent have gone on to enroll; and College Possible students are graduating at five times the rate of their peers. College Possibles results are top in the field.  Two external evaluations conducted in 2005 and 2009 further proved these excellent results. According to a 2011 Harvard study, College Possible more than doubles the chances a low-income student will enroll in a four-year institution.  Additionally, the foremost associations in the college admission field recognized College Possible with their 2009 awards of excellence. To read these evaluations and rewards: www.collegepossible.org/Results and www.collegepossible.org/AwardsandRecognition	helping low-income students at College Possible partner high schools get into and succeed in college.		
Hmr Hmong Mn Radio	http://		EIN 26-3341218	1088 Payne Ave	Saint Paul	MN	55130	USA	Ethnic &  Immigrant Centers, Immigration	Hmong refugee and immigrant services		Helping hmong veteran organizations and elderly vet provide domestic family support online discussion for hmong families luther and hmong alliance church programs  assist hmong for citizenship and community awareness child care resources hmong in the modern time weekend auto education  assist discussions on cultural and society transmater issues new land new life youth entertainment hmong woman leadership				
Huge Improv Theater	http://		EIN 26-3326882	3037 Lyndale Ave S	Minneapolis	MN	55408	USA	Arts & Culture, Theater							
Mano A Mano International Partners	http://manoamano.org	651-457-3141	EIN 41-1796971	774 Sibley Memorial Hwy	Mendota Heights	MN	55118	USA	Community Health Systems, Economic Development, Health, Homeless & Housing, Housing Support	To create partnerships with impoverished Bolivian communities that improve health and increase economic well-being.	Rural Bolivia	Working in partnership with community residents, their local governments, and the Health Ministry, Mano a Mano constructs primary care clinics in isolated Bolivian communities. Clinic staff (a doctor and a nurse) are hired from Bolivia and are funded by the Bolivian Health Ministry or local municipality, medical supplies are collected in the US and distributed to our network of clinics, and Mano a Mano provides continuing health education to the staff and local community.	Constructed 131 community health clinics, shipped over 4 million pounds of surplus medical supplies from the US to Bolivia, constructed 45 schools and teacher housing in rural communities, built 4 large water reservoirs, built or improved almost 1,400 kilometers of roads, and airlifted 1,450 critically ill or injured patients from rural communities to city clinics.	Rural Bolivian communities.		
The American Bear Association	http://www.americanbear.org	(218) 757-0172	EIN 41-1802130	Po Box 77	Orr	MN	55771	USA	Animals, Wildlife Sanctuaries	Education of the public regarding black bears and the environment. Promotion of the welfare of the black bear and natural resources.		Program expenses and revenue are directly related to the promotion, welfare, and education of the black bear. Public access to viewing and education of the black bear, takes place form memorial day to labor day, six days a week.				
Crime Stoppers Of Minnesota	http://		EIN 41-1352695	9036 Grand Ave S	Bloomington	MN	55420	USA	Children & Youth, Crime & Law, Crime & Legal-Related, Crime Prevention, Youth Violence Prevention	Founded in 1979, to promote the welfare of communites throughout the country and to lessen the burdens of federal, state and local governments by:						
Aish Mn	http://		EIN 20-5474141	3033 Excelsior Blvd Ste 575	Minneapolis	MN	55416	USA	Judaism, Religion							
Military Historical Society Of Minnesota Inc	http://		EIN 41-1308785	15000 Highway 115	Little Falls	MN	56345	USA		Preservation and interpretation of minnesota military history through operation of a small museum located at a minnesota national guard training site.		Preservation and interpretation of minnesota military history through operation of a small museum located at a minnesota national guard training site.				
Summit Academy OIC	http://www.saoic.org	612-377-0150	EIN 41-0908458	935 Olson Memorial Hwy	Minneapolis	MN	55405	USA	Employment Preparation & Procurement, Job Training	We exist to assist individuals in developing their ability to earn and to become contributing citizens in their community. We support the development of self-sufficiency in every person, regardless of background, economic status, or level of ability. We strengthen the community by preparing individuals to assume their roles as workers, parents, and citizens.	Minneapolis/St. Paul	Summit academy oic is a non-profit vocational training and educational center based in north minneapolis with over 40 years' experience helping twin cities' residents in economically depressed neighborhoods acquire the tools they need to become educated, employed, and self-supporting. Summit academy is the only community-based vocational training and job-placement program in north minneapolis accredited by the north central association commission on schools and registered with the minnesota higher education services office. At summit academy oic, we believe the best social service program in the world is a job. Graduates from our adult education programs are given the opportunity to lift themselves up from a life of poverty and hopelessness onto a path that will lead to a better life for themselves and their families. Where before, these men and women were limited by chronic unemployment, a complete lack of resources, and in many cases, a lack of faith in themselves, they now have the chance to fundamentally change their circumstances by increasing their income and their quality of life. When adults work full-time living-wage jobs, they become role models to young adults and children, families become more stable, and the cycle that has kept their communities poor and crime-ridden is broken. These positive changes continue to ripple out even further into the larger community as fewer social services and incarceration costs are incurred and graduates begin to pay taxes. After receiving training in community healthcare, energy efficiency and green construction, these graduates have gone on to work in jobs that directly improve minnesota's infrastructure. Summit academy offers adult education and support services that are tailored to the specific needs of the communities we serve. Our career and technology center provides pre-apprentice training in construction (hundred hard hats program), with specific tracks in carpentry, weatherization technology, commercial & green roofing, electrical work, heavy equipment operations and residential rehabilitation technology. The ctc also offers programs in community healthcare with community health worker (chw), certified nursing assistant (cna) training and pharmaceutical technician. These career tracks are all supported with services that develop students' life skills and assist in job seeking, placement, and retention. In this fiscal year (july 1, 2014 - june 30, 2015), summit's career and technology center served 545 adult students, and 281 graduated or remained enrolled to complete their training. Year-to-date summit has placed 279 adults, compared to 295 in the previous period. Job earnings for both programs are at an average of $14. 99 per hour. Current tracking results indicate that 65% of summit's job placements have retained their jobs for more than 180 days.	452 Students Enrolled during fiscal year 2008/2009 (July 1, 2008 - June 30, 2009). 136 Graduates (160 remained enrolled) 112 Students Placed in Jobs Average Placement Wage of $13.05			
MICROGRANTS	http://microgrants.net	(612) 200-8174	EIN 20-4092394	1035 E Franklin Ave	Minneapolis	MN	55404	USA	Philanthropy, Public Foundations	To invest in our community by providing monetary grants to low-income individuals of potential in helping them become self-sufficient.		We give $1000 grants with our partner agencies to low income people of potential	Over the past 6 years MicroGrants has touched people's lives all over the Twin Cities by providing 2000 grants to low income people totalling over $2 million. These grants have helped people fund their educations, start their own businesses or invest in their businesses to take them to the next level.			
American Assoc Of Neuromuscular & Electrodiagnostic Medicine	http://		EIN 41-6036691	2621 Superior Dr Nw	Rochester	MN	55901	USA	Philanthropy, Private Grantmaking Foundations	The mission of the AANEM is to serve physicians who diagnose and treat patients with disorders of muscles and nerves, extend the knowledge of electrodiagnostic and neuromuscular medicine, and improve the quality of patient care. This is achieved through educational programs and products, certification, and distribution of professional journal (Muscle & Nerve).						
Bluff Country Artists Gallery	http://		EIN 20-8167474	111 West Main St	Spring Grove	MN	55974	USA	Art Museums, Arts & Culture	Public charity for education and art		Made available quality art for the consumers to view and purchase provided an outlet for artists to show and sell their work provided educational art classes for all ages				
Star Legacy Foundation	http://www.starlegacyfoundation.org	952-715-7731	EIN 26-0227601	11305 Hawk High Court	Eden Prairie	MN	55347	USA	Health	Our Mission The Star Legacy Foundation mission is to increase awareness, support research, education and family advocacy regarding stillbirth.   Our Vision We believe there is great hope for the future to prevent many stillbirths in the United States and around the world and we intend to bring this hope to light.  We envision that through the utilization of technology, education and grassroots efforts, we can empower parents and families to be an advocate for their unborn babies.   We Believe Many stillbirths are preventable.  Expectant parents should be informed about stillbirth risks and educated on ways to protect their pregnancy.  Standard prenatal protocols should include a third trimester ultrasound to identify known stillbirth risk factors and subsequent management through home fetal monitoring when risk factors are identified.  A national stillbirth registry should be created with mandatory participation to accurately collect stillbirth data.  Stillbirth autopsies should be encouraged and performed consistently with established protocols.  Stillborn children should be recognized with a certificate of birth.  Families deserve and are entitled to support and guidance when facing the delivery of a stillborn child.  Stillbirth, birth injury (cerebral palsy and others), premature birth and miscarriages may have some common denominators - finding answers to stillbirth may enlighten the path to reducing miscarriage, premature birth, and birth injury	Nationwide	See Me, Feel Me - Stillbirth awareness and prevention Birth Planning and Companioning International Stillbirth Research Summit Stillbirth Research The Journal of Stillbirth Stillbirth Registry	During 2010 the Star Legacy Foundation accomplished a number of organizational goals including the publishing of a cookbook as a fund raising effort, redesign of the website, board development, the 5th annual Golfing for Garrett benefit and more.  In 2011 the Star Legacy Foundation developed a stillbirth awareness and prevention campaign "See Me, Feel Me" designed to encourage parents to advocate for their unborn child.  (www.seemefeelme.org)  In late 2011 the Star Legacy Foundation will host the first Stillbirth Summit bringing together an international panel of independent researchers to share their research efforts and collaborate on moving the stillbirth prevention agenda forward.		To date the Star Legacy Foundation has donated over $260,000 to the stillbirth research projects.  In addition the Foundation held the first ever Stillbirth Summit in 2011; published a Summary of the Stillbirth Summit and is currently conducting a research project - the STARS Study.	
SOWING SEEDS FOR THE FUTURE FDTN	https://sites.google.com/site/sowingseeds4thefuture/	651-321-9027	EIN 41-1960080	13955 28TH St N	Stillwater	MN	55082	USA	Human Services	Advocate for the health, education and dignity of children and families at risk in Colombia, South America.	Choc, Colombia, South America	Food bank, Clean birth kits for Midwives.		Children and families at risk		
Wolves Woods & Wildlife	http://		EIN 20-5189772	10132 235th St W	Lakeville	MN	55044	USA	Animals, Wildlife Preservation & Protection							
Minneapolis Recreation Development Inc	http://		EIN 41-1836443	7220 York Ave S Apt 610	Edina	MN	55435	USA	Boys & Girls Clubs, Children & Youth	Provide recreation activities for underprivileqed youth						
Wildlife Science Center	http://www.wildlifesciencecenter.org	(651) 464-3993	EIN 41-1678264	5463 W Broadway Ave	Forest Lake	MN	55025	USA	Education, Graduate & Professional Schools	To serve as an educational resource for all ages by providing exposure to wild animals and the body of knowledge generated for their conservation; to advance understanding of wild animal biology through long-term, humane scientific studies on captive populations, thus contributing to technical training for wildlife agencies, educational institutions and conservation agencies.		Education: the wildlife science center provided programs for over 12,000 visitors. Programs are provided for the general public, non-school organizations and school groups ages pre-k through 12 and post secondary. Every wildlife science center education program is aligned with national and state science standards, but the focus of presentation does not involve science. The subject of wolves and wildlife lends itself to discussions of history, culture, mathematics, literature, art, and other topics. Close-up observation of our wildlife affords unique learning oppotunities from color and size variation to a more in-depth look at adaptations, behaviors, management and conservation. Training: wildlife science center continued a long tradition of providing hands-on training to wild life professionals and students using our real wolves and bears. Research: biologists have spent time researching animals in natural habitat in order to maintain healthy wolf and bear populations.				
Mayo Clinic	http://www.mayoclinic.org	(507) 538-1297	EIN 41-1494881	200 First Street Sw	Rochester	MN	55905	USA	Community Health Systems, Health	To benefit, perform the functions of, or to carry out the charitable, educational, and scientific purposes of mayo clinic hospital-- rochester.		Grants allocated to mayo clinic hospital-- rochester to pay for hospital services provided to patients unable to afford their own care. During 2014, 554 patients were assisted through these grant allocations.				
Place Of Hope	http://		EIN 41-1870347	511 9th Ave. North	St. Cloud	MN	56303	USA	Food, Food Banks & Pantries, Homeless & Housing, Homeless Centers, Human Services, Temporary Housing	Because peoples lives have been broken by homelessness, poverty, drug and alcohol addiction many are in despair.  Place of Hope was founded in 1997 and began providing food, clothing and a safe Day outreach Center for those in need. Our vision is to see peoples lives restored. Our mission is to bring the restorative message of Jesus Christ into peoples lives.						
Pcs For People	http://		EIN 26-2066045	1481 Marshall Ave	Saint Paul	MN	55104	USA	Gift Distribution							
Animal Allies Humane Society Inc	http://www.animalallies.net	(218) 722-5341	EIN 41-0917362	4006 Airport Rd	Duluth	MN	55811	USA	Animal Protection & Welfare, Animals	Aahs strives to ensure a lifetime of loving care for every pet by reducing overpopulation, increasing adoption, and fostering humane values.		Animal adoption program: provides overall animal care and veterinary care (examination, vaccination, spay/neuter, disease testing, micro-chipping) to animals until adopted. During 2014, 1,503 homeless pets were placed with loving adopters.   spay/neuter program: in 2014, 6,393 homeless pets and pets owned by low-income households were spayed or neutered.   humane education program: the humane education program taught 10,281 young people about compassion and caring for animals in 2014.				
Center For Somali Solutions & Unity	http://		EIN 59-3816006	1817 Nicollet Ave Ste 400	Minneapolis	MN	55403	USA	International, International Peace & Security							
FRIENDS OF AMANI US INC.	http://www.amanikids.org		EIN 27-3621599	PO Box 1781	Burnsville	MN	55337	USA		The Friends of Amani US Inc supports Amani Childrens Home and their mission of rescuing children living on the streets in Tanzania, providing a safe and nurturing place for homeless children to heal, grow and learn, reuniting homeless children with their relatives, whenever possible and equipping the reunited families with the tools they need to be self-sufficient .	Tanzania, East Africa	Monthly sponsorships, Business Sponsorship Program, School Sponsorship Program, Events	Over the past 10 years, Amani has rescued more than 400 children from the streets and currently supports 200 children: 80 living at the home, the rest having been reunited with family.  However, Amanis purpose will not be complete as long as there are children living on the streets needing our love and support.	Homeless children in Tanzania, East Africa.	Amani currently supports 200 former street children.	
Munsinger Clemens Botanical Society	http://		EIN 42-1561079	Po Box 7594	Saint Cloud	MN	56302	USA	Botanical Gardens & Arboreta, Environment							
The Institute for Exercise Medicine and Prevention	http://www.iemphit.org	6516052320	EIN 26-3743041	1045 Westgate Dr STE 100	St. Paul	MN	55114	USA	Health, Nursing	Mission Statement: To make a difference in the quality of life of each person by using an interdisciplinary approach to evaluate overall health, enhance the treatment of disease and provide prevention through the promotion of wellness, fitness and nutrition.	Twin Cities Metropolitan Area	Treat chronic disease or special needs through a physician supervised fitness and nutrition program.		people age 1 - 100	Over 500 patients	
Maple Grove Arts Council	http://		EIN 41-1924982	Po Box 2009	Maple Grove	MN	55311	USA	Arts & Culture, Visual Arts							
Healthfinders Collaborative Inc	http://www.healthfindersmn.org	507-646-8964	EIN 20-1805262	PO Box 731	Northfield	MN	55057	USA	Community Clinics, Health	The mission of HealthFinders is to provide quality, accessible and culturally sensitive healthcare services at no cost, to low-income and uninsured residents of greater Rice County.	Rice County, Minnesota	PRIMARY CARE SERVICES  The HealthFinders Clinic operates on Tuesday and Thursday evenings, from 5:30 to 8:30 p.m., at Little Prairie United Methodist Church, located on County Road 88/130th Street in rural Dundas, MN.  EDUCATION AND SUPPORT FOR CHRONIC CONDITIONS  HealthFinders Collaborative aims to provide culturally appropriate education and support for adults and children who meet program guidelines and have chronic conditions  i.e. diabetes, hypertension, asthma. Through proper education, individuals can learn to manage their health condition and keep themselves in a good state of health, thereby avoiding complications resulting from poor management and avoiding hospitalizations.  Diabetes Program: For more than two years, our Diabetic Program has provided monthly support, education, diabetic supplies and medications to diabetic patients. Participants must agree to attend monthly education sessions and track their blood sugar levels. Currently around 60 individuals receive necessary syringes, test-strips, glucometers, medication, lancets, and educational support through the diabetes program.   MEDICATION ASSISTANCE PROGRAM  HealthFinders manages a prescription drug fund in partnership with local pharmacists, medical personnel, and public health officials to provide prescriptions to low-income, uninsured community members. The program uses a specific list of medications (formulary) from which physicians can prescribe; patients can obtain prescribed medications at one of the participating pharmacies in the Northfield, Faribault and Lonsdale communities.  The fund supports prescription medication for HealthFinders Clinic patients, as well as patients at area clinics and emergency departments who meet program guidelines. Physicians at primary care clinics in the area, as well as Faribault and Northfield hospital emergency departments, can access the program for patients in need.	HealthFinders has served over 2,500 patients since 2005.	Un- and under-insured families earning less than 200% of the Federal Poverty Level in greater Rice County.		
Red Lake Rosies Rescue Inc	http://www.redlakerosie.org	(218) 268-4477	EIN 20-3917194	23880 Good Rd	Trail	MN	56684	USA	Animal Protection & Welfare, Animals	Reduce overpopulation of domestic animals on the red lake indian reservation of northern minnesota.		Rescue, shelter and place homeless and abused dogs & cats from the red lake reservation to various rescues statewide and regionally. 829 animals were rescued in 2014.   organize & coordinate 5 free neuter/spay clinics through mn spay/neuter assistance project and act v rescue & rehabilitation. All clinics served the red lake indian reservation. 506 animals were treated in 2014.   providing fostor homes and pet adoption services for the organization's rescued animals through petfinder. These services include neuter/spay services, shots, & a microchip. 15 animals were placed in 2014.				
Help the Helpless	http://		EIN 41-1878721	310 Groveland Ave	Minneapolis	MN	55403	USA	International							
Wingspan Life Resources	http://www.wingspanlife.org	651-646-3846	EIN 41-1742456	2954 Rice Street	St. Paul	MN	55113	USA	Health, Home Health Care	To help people who are challenged by age, ability or health to realize their unique gifts, talents and dreams.  We fulfill this mission by providing individualized support services that promote personal choice, independence, dignity and fellowship in the community.	Twin Cities greater metropolitan area	Residential and support services for people with disabilities in Hennepin and Ramsey Counties. Adult day program for people from the Hmong community who are elderly or have disabilities.	Contributions this year have helped us purchase accessible vans, renovate our homes to provide greater accessibility and independence for the people we serve.	Adults who have developmental and other disabilities from Hennepin and Ramsey Counties in Minnesota.  Adults from the Hmong community who are elderly or have disabilities.		
LAKEVIEW CHRISTIAN ACADEMY INC	http://www.lakeviewchristianacademy.com	218-723-8844	EIN 41-1710169	155 W Central Entrance	Duluth	MN	55811	USA	Education, Elementary & Secondary Schools, Literacy	Christian centered education.	Duluth and Superior area	Christian centered education, focused on pre-school through grade twelve.				
Harmony Theatre Company And School	http://	(763) 442-1628	EIN 26-2329578	11271 50th Pl N	Plymouth	MN	55442	USA	Arts & Culture, Theater	To provide educational benefits to the public by operating a center for performing arts; to create theatre productions; to help children discover and develop their creative potentials; to promote tolerance and multicultural experience.		"lost in shakespeare" theatre production at minnesota fringe festival  (you can't) blame the youth, theatre production  acting classes for children to develop students' individual abilities, creative potentials, general literacy, and to promote tolerance and multi-cultural experience for children and adults.				
Mark A Nugent Medical Research Foundation	http://		EIN 41-1641253	2122 Iglehart Ave	St Paul	MN	55104	USA	Federated Giving Programs, Philanthropy							
The Bridge For Youth	http://www.bridgeforyouth.org	(612) 377-8800	EIN 41-0983062	1111 W 22nd St	Minneapolis	MN	55405	USA	Children & Youth, Children & Youth Services, Family Counseling, Family Services, Homeless & Housing, Homeless Centers	The bridge helps youth in crisis. The agency's vision is to be the premier resource for youth and their families in ending homelessness. The bridge is the twin cities largest provider of emergency and long-term shelter for children between the ages of 10-17. Additional services include crisis counseling for youth and families. All services are free of charge.		New crisis services:the bridge completed product development for two innovative tools that make it easier for youth in crisis to access immediate help. (612)400-safe, a 24-hour live crisis text hotline, launched in late june, 2015. Over 50 volunteers were recruited and trained to staff the hotline. Ysnmn. Org is a live service providing real-time information about the availability of shelter beds in the twin cities. The bridge convened 11 other youth-serving agencies to help develop and launch this new tool. In 2015, staff responded to 4,017 crisis hotline calls, providing counseling and referrals. Youth shelter programs:as the twin cities' largest youth shelter provider for children ages 10-17, the bridge housed 836 youth. These youth experience all sorts of crisis. 80% of youth expressed serious concern about household dynamics. Over one-third experienced violence in the past 90 days. 29% inflicted self-harm and 16% have previously attempted suicide. 799 youth stayed overnight in the bridge's emergency shelter, with 86% exiting to safe and stable housing: 70% reunified with family and 17% exited to a safe alternative. In 2015, the bridge for youth formed a partnership with westwood community church in excelsior, mn and open hands foundation with a shared goal of opening a 6-bed youth shelter to serve at-risk children in 9 southwest suburban communities by year-end 2015. Longer term shelter for youth:transitions, the bridge's longer-term shelter, provided residency to 37 youth. 70% of these youth exited to safe and stable housing: 39% reunified with family and 31% exited to a safe alternative. In 2015, 76% of youth accessing shelter attended school regularly. Counseling for youth and families:the bridge's counseling team provided 280 walk-in counseling sessions, provided 643 family counseling and therapy sessions, and provided 263 support group sessions with 1,216 attendees. After receiving services, 85% of those completing exit surveys were able to identify a positive connection with a caring adult and 69% reported having a better relationship with family. Expanded services: sexually exploited youth:the bridge developed new programming to meet the unique needs of children at high risk for or engaged in sexual exploitation. New assessment tools were developed and implemented leading to better identification of these youth. Specialized services include outreach, case management, a special support group, and more flexible program requirements for youth who stay in shelter.				
Mankato Area Arts Council	http://	(507) 625-2730	EIN 41-1353363	120 S Broad St	Mankato	MN	56001	USA		Visual arts center		Production of visual art exhibits featuring 523 pieces of art by 89 southern minnesota artists for the benefit of 3,284 visitors per year.   provision of affordable art studio spaces for local visual artists.   maintain a gift shop for local artists to sell fine arts and quality craft work on consignment.				
A Single Drop	http://www.asingledrop.org	+1.510.931.6579	EIN 33-1187136	1430 W 280th St	New Prague	MN	56071	USA	Health, Public Health	ASD addresses the need to support the 1.2 billion people who do not have access to water and the 3-5 million people dying of water related diseases per year. ASDs award-winning social entrepreneurial model  provides innovative solutions to improve community health, alleviate poverty and create economic opportunity for the under-served through the creation of self-reliant community-led water service centers that can identify, plan, design, implement and maintain their own water technologies using environmentally and financially sustainable practices. Focusing on Women as Water Stewards is one of the key strategies to ensure programs are gender sensitive and include women in all aspects of the decision-making and in most cases with our programs, a majority are often led by women.	Philippines, 11 Countries in Africa	1)  Women Water Stewards - Transforming Womens Burdens Into Opportunities  2)  Water PODS (People Offering Deliverable Services) - Uniting Communities Through Water Self-Reliance  PODS are independent, income-generating education and service centers that design sustainable water service programs to self-fun their own community development.   3)  WASH Education and Outreach - Comprehensive Integrated approach to Water, Sanitation and Hygiene that approaches WASH holistically and provides easy solutions for behavior changes that have significant impacts.    4)  Greywater Action in the USA  works primarily in Northern California to conserve water by reusing Greywater that flows down sink, shower, and washing machine drains for home food gardens.	Sinceourfoundingin2006:   *Over125,000peoplehaveimprovedaccesstocleanwaterand/orsanitation   *Over60projectslaunched   *Over1,200peopletrainedinappropriateandsustainablewaterand sanitationsolutions,the majority are women  *NinetrainingorganizationshavebegunofferingWater,Sanitation,andHygiene(WASH)strategiesandtechnology trainings  *  Mostprojectsareselfreliant,income generatingprojectslivelihood projects  * Gemma Bulos Founder/Executive Director winner of the Ernst Young and Schwab Foundation Social Entrepreneur of the Year Award 2009  *  Gemma Bulos  awarded  one of the Best Emerging Social Entrpreneurs of 2007 by Echoing Green Fellowship	ASD works with all sectors of the community to provide clean water and sanitation technologies and education. ASD trains women to implement and maintain water service projects and be Water, Sanitation and Hygiene (WASH) Educators in their communities. ASD also strengthens women as leaders of WASH Projects in their communities as well as employing a majority of women as ASD managers,  trainers and facilitators.	In our 3rd year of operation, because of our community development model, our impact beneficiaries tripled from 38,000 to 125,00	
Freshwater Community Church Of The Christian And Missionary Alliance	http://		EIN 41-2014111	4319 Steiner St	St Bonifacius	MN	55375	USA								
GAY AND LESBIAN YOUTH SERVICES	http://		EIN 41-1821571	PO Box 91	Rochester	MN	55903	USA	Children & Youth, Education, Student Services, Youth Development, Youth Development Programs							
Humane Society Of The Lakes	http://www.hsofthelakes.org	(218) 847-0511	EIN 41-1651603	19665 Us Highway 59	Detroit Lakes	MN	56501	USA	Animal Protection & Welfare, Animals	To provide services for abandoned, stray or unwanted animals while they await life long homes. Our vision is that all animals are cared for with dignity and respect.		The humane society of the lakes is a non-profit, volunteer based organization that finds suitable homes for stray, abandoned, and unwanted animals in becker county and surrounding areas in minnesota. Medical services, vaccinations, food, and shelter are provided for these animals while they await adoption.   educate the public on the importance of animal population control; distributing materials and providing education on responsible pet care & ownership; presenting to schools, community groups, and churches; and providing facility tours and volunteer orientations once a month.				
BEACON FOUNDATION	http://www.beaconfoundation.org		EIN 41-1939919	P.O. Box 211756	Eagan	MN	55121	USA	Human Services	Beacon Foundation provides temporary financial assistance to Delta Air Lines flight attendants who are unable to work and financially support themselves and their immediate family members because either they are suffering from, or they are caring for an immediate family member who is suffering from, a serious/terminal illness, injury or disability.						
Northern Cradle	http://		EIN 36-3523971	9267 Turtle River Lake Rd Ne	Bemidji	MN	56601	USA	Family Services for Adolescent Parents							
Scholarship America Inc	http://	(952) 830-7396	EIN 23-7039405	7900 International Dr Ste 500	Minneapolis	MN	55425	USA	Education, Scholarships, Scholarships & Student Financial Aid	The mission of scholarship america is to mobilize america through scholarships and educational support, to make postsecondary education possible for all students. Since its inception in 1958, scholarship america has distributed over $3 billion to more than 2 million students. Scholarship america dollars for scholars affiliates are a national network of community-based, volunteer-operated scholarship foundations in cities, towns, and neighborhoods throughout the united states of america. The affiliates provide an effective way for communities to work together on a local level to provide financial support through scholarships, as well as academic support, and thereby assist local students in achieving their educational goals. Scholarship america affiliated dollars for scholars affiliates serve as leaders, resources and advocates for improving access to postsecondary education.		See schedule o. Scholarship america dollars for scholars affiliates are a national network of community-based, volunteer-operated scholarship foundations in cities, towns, and neighborhoods throughout the united states of america. The affiliates provide an effective way for communities to work together on a local level to provide financial support through scholarships, as well as academic support, and thereby assist local students in achieving their educational goals. In 2014 there were 526 affiliates operating in 32 states and the district of columbia. Over 13,360 volunteers staff their efforts. The volunteers are trained to raise scholarship money, as well as provide academic support to local students. Last year, dollars for scholars raised over $27. 5 million for current and endowed scholarships; they awarded over $17 million with the balance going to endowments and future scholarships. Scholarships were given to 18,323 students. Since its inception in 1958, scholarship america's dollars for scholars affiliates have distributed $606 million to over 758,860 students. In addition, dollars for scholars has enrolled 371 collegiate partners which are postsecondary institutions that agree not to reduce their grant aid when dollars for scholars scholarships come to their institutions. Some partners go a step further and match the dollars for scholars awards. Dollars for scholars affiliates not only provide financial support, they also provide academic support to students in order to prepare them for postsecondary education. Academic support programs include dollars for scholars volunteers who assist in schools, who mentor students, who provide career planning and who assist students evaluate their college and vocational school opportunities. These services combined with funds mean access for more students, who are better able to benefit from the opportunities available to them, and who are aware of what those opportunities can be.				
