name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Emerging Leaders Program	Training Wheels -	After School Program -	Summer Program
Maternal and Child Health Consortium of Chester County	http://www.ccmchc.org	610-344-5370	EIN 23-2775806	30 W. Barnard Street Suite 1	West Chester	PA	19382	USA	Health, Public Health, Reproductive Health Care, Reproductive Rights	MCHC was created to ensure that all children in Chester County, PA have the opportunity to start healthy, stay healthy and succeed in school.  Our flagship program, Healthy Start, works with low-income pregnant and parenting women to help them access the health care, health insurance, and health education they need.  Healthy Start offers home visiting to participants and also has five sites countywide.  MCHC's Kennett Square Family Center works with families in southern Chester County with children 0-5 to help prepare them with the developmental screening and skills they will need to succeed in kindergarten.	Family benefits - mchc coordinates a countywide health insurance enrollment initiative for women, children and families which includes community outreach and education about subsidized health insurance, enrollment assistance into medicaid and chip (children's health insurance program), and advocacy to improve access to health insurance. The program expands throughout the delaware valley with funding from the u. S. Department of health and human services, center for medicare and medicaid.   healthy start - part of a national effort in 100 communities, improves birth outcomes for at-risk, low-income pregnant women. Healthy start's bilingual, bicultural family health advocates provide an array of evidence-informed outreach and support services including countywide prenatal and postpartum home visiting, case management, depression screening, health education, health insurance enrollment, medical interpreting, and transportation linkages. There are five community based offices in chester county located in oxford, kennett square, west chester, coatesville and phoenixville. In addition, mchc provides prenatal and parenting classes in english and in spanish including comenzando bien (healthy beginning), a curriculum developed by the march of dimes and the national alliance for hispanic health. The goal of the program is to provide the culturally and linguistically tailored prenatal and parenting education that women of color have been denied because of language, financial, and other barriers.   family center - the family center in kennett square helps families in southern chester county with young children between the ages of two and five years with early childhood development and school readiness. The program uses the nationally-recognized, evidence-based "parents as teachers" (pat) program, which includes personal in-home visits, parent support groups, resource referrals, health insurance enrollment, child development, and parenting education.   [1] training, education and other services provide spanish language interpreter trainings to other local health and human services organizations with the goal of enabling them to provide high quality, culturally competent services to clients with limited english proficiency. Mchc offers cultural competency trainings for providers to increase access to health services and to increase understanding on issues such as african american women's health and latino cultural beliefs and values. Mchc provides prenatal and parenting classes in english and spanish, including comenzando bien (healthy beginning), the county's only spanish prenatal education classes.		Low-income families across Chester County, PA.	2,000					
Local Government Academy	http://www.localgovernmentacademy.org	(412) 586-5659	EIN 25-1530147	1501 Preble Avenue Suite 202	Pittsburgh	PA	15233	USA	Education, Elementary & Secondary Schools, Literacy	To provide educational programs and continuing training for municipal officials in Southwestern Pennsylvania, primarily Allegheny County.		Over the past 25 years, LGA has consistently produced programs on virtually every aspect of municipal affairs from collecting taxes to road maintenance to strategic planning. Most notably, LGA presents programs that promote economic development and revitalization, environmental quality, and intergovernmental cooperation. Programs are presented to municipal employees and elected officials to help them perform their duties with greater efficiency and effectiveness.	Local governments, community groups and citizens interested in good government within the 10 county region of southwestern Pennsylvania	1,500 +	southwestern Pennsylvania				
Breastfeeding Resource Center	http://www.breastfeedingresourcecenter.org	215-886-2433	EIN 23-3049543	1355 Old York Road.  Suite 101	Abington	PA	19001	USA	Health, Health Care	The BRC is a nonprofit corporation committed to providing expert clinical and educational breastfeeding services.	In patient and Out patient consulting available.								
Images of the Motherland Interactive Theater	http://www.Facebook.com/LivingHistoryHeritageProject	(215) 848-3651	EIN 23-3000591	7812 Michener Avenue	Philadelphia	PA	19150	USA	Arts & Culture, Dance	The Mission of "Images of the Motherland: Interactive Theatre" (IMIT) is to educate and expand public awareness and appreciation of African and American Traditions and History through authentic presentations of drama, art, music, dance , culture and storytelling by creating living historyof an entire people to pass from generation to generation Dignity, Self-Esteem, Tolerance and Mutual Respect	Living History Heritage Project Program Descriptions The Life & Times of Omar ibn Sayyid (1770-1863) is professionally reenacted by Baba Kenya from Images of the Motherland-Interactive Theatre. Time: 1 hr + 15 minutes /1 Act performance with no intermission. This journey is replete with authentic costuming, artifacts, and props. *Special feature for educational institutions includes Timbuktu African Artifacts Museum & Workshop an interactive museum artifacts workshop and Q&A.  https://www.youtube.com/watch?v=lhG_C9mQLWU  A gripping American saga that explores the life of an extraordinary African Fulani (Peul) Arabic scholar, teacher and religious leader from the Fulani State of Futa Torro, who was one of the last Africans sold into slavery in the United States during the Trans-Atlantic Slave Trade. This is the life journey of a man from the land of Futa Torro (West Africa), to Mecca, to Charlestown SC, to Fayetteville NC to Wilmington NC. Omar ibn Sayyid endured 59 years of slavery in South Carolina and North Carolina. He died at 96 years of age during the year 1863 prior to the end of the U.S. Civil War. Omar ibn Sayyid would astound America with his writings from the Quran from memory, as well as his own handwritten autobiography written in the Arabic language and other literary samples that are available today. Omar ibn Sayyid was one of the few documented literary personages from W. Africa that endured slavery in the United States.  He is the only documented African slave who wrote his autobiography in the Arabic language while in captivity.  Omar ibn Sayyids autobiography is American Literature.  This dramatic presentation is based upon his autobiography. Lesson Plan PDF available for all presentations.  Muhammad Ali ibn Sayyid-#292 United States Colored Troops is professionally reenacted by William J. White from Images of the Motherland-Interactive Theatre. Time: 1 hr /1 Act performance with no intermission. Muhammad Ali ibn Sayyid-#292 United States Colored Troops (1833-1882) is the resurrection of an untold story a Legacy of Forgotten Roots.  A truly unique chapter in early American History.  This journey is replete with authentic costuming, artifacts, and props. *Special feature for educational institutions includes additional 30 minute Quiz, Q&A. https://www.youtube.com/watch?v=cF_thrASmlE    Muhammad Ali ibn Sayyid , was an extraordinary African Fulani (Peul) who was enslaved at 16 years of age and even made the Pilgrimage to Mecca with one of his masters.  Muhammad Ali ibn Sayyid was born in 1833 in the Fulani State of Kanem-Bornu, near Lake Chad in Central West Africa.  He was the son of a famous Kanem-Bornu horseman and General known as Barca Gana.  Captured by Tuareg slavers at 16 years old and sold into slavery of the Arab World and Europe, his story reads like a world tour, before he would ultimately end up in the Union Army during the Civil War fighting for the freedom of African-Americans.  He came to America as a free man.  Muhammad Ali ibn Sayyid had learned to speak and write at least 12 different languages.  He wrote his own autobiography while in the United States.  Muhammad Ali ibn Sayyid-#292 United States Colored Troops  is based on The Autobiography of Nicholas Said, written by Muhammad Ali Ibn Sayyid.    It is an amazing comparative journey across the then known world of Africa, the Middle East, Europe, and the Americas.  Muhammad Ali ibn Sayyid speaks to your heart and soul from  languages of Africa, the Middle East, and Europe brought forward full-circle to current African-American descendants culminating the fulfillment of our dreams.  Muhammad Ali ibn Sayyid was 1 of the 292 Muslim African-American Union Soldiers listed in the 1865 US Muster Rolls who fought for the freedom of African-Americans. Lesson Plan PDF available for all presentations.   You, your children and grandchildren will never forget this truly profound untold story a Legacy of Forgotten Roots.   YERO Mahmoud-Forgotten Roots (1736-1823)  In 1753, the British slave ship Elijah sailed from Africas Gold Coast with a human cargo of 164 enslaved Africans.  The voyage would take 286 days finally crossing the Atlantic Ocean to reach Annapolis, MD.  Among the 140 surviving captives was 16 year old YERO Mahmoud and his Sister, Amana from the Fulani State of Futa Djallon (W. Africa).  This was 23 years before America would become a free nation. This is a story of Forgotten Roots.  The story of YERO Mahmoud 45 Minutes-1 Hour: No Intermission. Portrayed by Mumin Yaseen	We have been fortunate to reach a total diversified audience of approximately 3000 with an aggregate total of 7 productions and numerous performances presented in 2009-2015. "The Life & Times of Omar ibn Sayyid" has over 60 performances presented since 2009. We have also dramatically improved our outreach efforts by receiving 2014 Arts & Culture Awards , 2014 Top Rated Non Profit Awards and 2014 Great Non Profits Top-Rated Awards  from Great Non Profits. Additionally our current rating with Guidestar isGuidestar Exchange Bronze Participant.  We have received a considerable number of reviews from laymen and professionals attesting to the quality and impact of our productions. Your lives, and the lives of your children and grandchildren will be forever touched by these truly excellent presentations.  Audience Reviews:  The Life & Times of Omar ibn Sayyid. Timbuktu African Artifacts Exhibit, Living History Heritage Project, Emancipation Proclamation Jubilees Celebration, "Muhammad Ali ibn Sayyid-292 USCT", "YERO Mahmoud-Forgotten Roots", and "Sesquicentennial".  I think that the program was captivating! We need more productions for our children, families, and the community! I love this production! Kim P. Ward  The program is very informative with knowledge and information that can be passed on to the next generation, to help them rise above their circumstances! Cleo Young  Excellent lectures! Excellent dramatic presentations! Actors were wonderful!  Enjoyed the presentation on the life of Sojourner Truth. Fantastic! Joan Harris  It was a wonderful program and deserves to be performed all over! Leah Clouden  This was a really great show!  It was very informative and very realistic!  It helped me to understand the horrors of slavery! Very historical! Derek Washington  "I have been teaching my students about the Civil Rights Movement during Social Studies. My students were very impressed with "The Life & Times of Omar ibn Sayyid". It helped them to understand more about what I am trying to teach them. When we returned to school, my Supervisor came in and the students couldn't stop talking about it. I was amazed at how much information they took with them and really appreciate it." Christine Stickney-Belmont Charter School-5th Grade Learning Support Teacher  "We very much enjoyed and recommend "The Life & Times of Omar ibn Sayyid". Our Middle School students were moved by the dramatic portrayal of this little known historical figure. This presentation is very much in keeping with our mission as a Friends School, and nicely fit with this years theme of "integrity". Judy Smith-Newtown Friends School-Head of Upper School   "The silence in the auditorium shouted words that only the sould could speak. The crowd was captured by an astounding performance about the sojourns of an enslaved man who refused to let the conditions at hand, defer the freedom of his heart."  Mel Leaman-Associate Professor of Religion-Lincoln University	General Public/UnspecifiedEthnic/Racial Minorities -- GeneralBlacksFamilies		Based in Philadelphia, PA with touring throughout the United States.				
West Chester Food Cupboard	http://westchesterfoodcupboard.org	610-344-3175	EIN 46-1420690	545 East Gay St.	West Chester	PA	19380	USA											
House of His Creation	http://www.hohc.org	717-626-0263	EIN 23-1910987	541 West 28th Division Highway	Lititz	PA	17543	USA	Christianity, Family Services for Adolescent Parents, Human Services, Religion	HOUSE OF HIS CREATION provides hope, restoration and service to single young mothers and their children. We help each young woman walk through the immediate challenges in her life and prepare for her and her child's future  Our greatest desire is to cultivate intellectual, physical, emotional and spiritual growth, equipping them with tools to live well-rounded, healthy and productive lives. We anticipate they will provide the same for their children and families, impacting generations!	GED classes, continuing education, life skills, nutrition, parenting and relationship classes, spiritual care, social work services, counseling, love and support. Full-time Houseparents live in the Home to provide supervision, guidance and care to the young women and their children throughout their stay.	HOUSE OF HIS CREATION began over 40 years ago and has served over 1700 women and children.   We assist young women who are pregnant or parenting by providing a home, programs and services. While living at House of His Creation, the young women are under the guidance of loving and supportive houseparents and a social worker. We provide many services at this Home, including; continuation of education, GED programs, parenting classes, nutrition, life skills and relationship classes, counseling, spiritual care, love and support.	single young women and their children		Pennsylvania and surrounding states				
Penn Area Library Association	http://www.pennlib.org	(724) 744-4414	EIN 25-1269322	2001 Municipal Court PO Box 499	Harrison City	PA	15636	USA	Education, Libraries	Ensure that quality library resources and information services are available to all.	Providing free access to computers; the Internet; books; audiobooks; downloadable eBooks through OverDrive; DVDs; Ancestry; POWER Library; Gale Virtual Reference Library; Ask Here PA and much more!		Lifelong learners	59,572 children, teens, and adults	Penn Township and Penn Borough				
Rainbow Kitchen Community Services	http://www.rainbowkitchen.org	(412) 464-1892	EIN 25-1476536	135 East 9th Avenue	Homestead	PA	15120	USA	Human Service Organizations, Human Services		The Rainbow Kitchen Food Pantry serves low-income residents of five Steel Valley communities, providing a 3-5 day supply of supplemental groceries and essential non-food items to 125 households a month. Participants make their own food selections, with quantities based on family size. This distribution method reduces waste, allows for dignity and self-determination and enables those with special dietary needs to select appropriate foods.The pantry provides home delivery service as needed for individuals with health limitations.	Last year, Rainbow Kitchen Community Services provided approximately 7,000 bags of groceries to Food Pantry participants, 15,000 meals to our Breakfast Program participants, and 13,000 Kids Caf meals to low-income children at risk of hunger. We provided Case Management and additional supportive services benefiting approximately 1,000 individuals.   Rainbow Kitchens Anti-Hunger Programs provide a source of nutritious supplemental food for low-income individuals and families:     The Breakfast Program provides a substantial, nutritious hot meal each weekday morning, serving an average of 60 people per day.       The Rainbow Kitchen Food Pantry provides a 3-5 day supply of supplemental groceries to an average of 85 low-income households each month. The pantry served 210 registered households last year.     Rainbow Kitchen also operates the Loving Arms Food Pantry, which serves 160 low-income elderly and disabled residents of a local subsidized apartment complex.       Kids Cafe, a program of Americas Second Harvest, is designed to meet the needs of low-income children who are at risk of hunger. Operating in collaboration with area programs serving at-risk youth, Kids Cafe provides participating children with a hot, balanced dinner meal, Monday through Friday, year round. Since the programs inception in 1995, Rainbow Kitchen has provided well over a half-million meals to needy children. Last year Kids Cafe helped meet the nutritional needs of 140 hungry children.    Case Management services are offered to individuals and families on both a short-term and an extended basis. Immediate/crisis assistance and advocacy are provided as needed, including referral to other social service agencies for additional help. The goal of extended Case Management is to provide ongoing aid to participants as they work towards self-sufficiency.   Rainbow Kitchen Community Services is excited to be partnering with Carnegie Mellon University to bring Strong Women, Strong Girls to our community. Strong Women, Strong Girls is a mentoring program for girls in grades 3 through 5, and is designed to promote self-esteem and the development of skills to help build success, now and throughout life.    Throughout the year, Rainbow Kitchen offers a wide variety of other activities and services to enhance the well-being and quality of life for low-income members of our community, including:       Winter coat and clothing distribution     Adopt-a-Family holiday program; holiday gift distribution; turkey certificate distribution     Thanksgiving, Christmas, and New Years Day dinners     Participation in community events, particularly those targeting youth     Volunteer Income Tax Assistance (VITA) program     Medical Assistance Transportation Program screening and bus ticket distribution     Food stamp eligibility screening and nutrition education host site      Host site for educational and informational presentations by other service providers     Volunteer opportunities, and community service opportunities for youths  2007 was the most successful year yet for our major annual fundraising event, the UPMC Health Plan & Rainbow Kitchen Community Services W.A.R. (Walk And Ride) Against Hunger.  The W.A.R. Against Hunger is a walk and bicycle ride event which also promotes healthy lifestyle choices.    Rainbow Kitchen Community Services is honored to be selected as a Champion in Action by Citizens Bank and WPXI-TV, in recognition of our anti-hunger programming and services.  Rainbow Kitchen was proud to be chosen as the 2006 Steel Valley Chamber of Commerce Organization of the Year.  In 1998, following a successful capital campaign, Rainbow Kitchen purchased, renovated, and relocated to a larger facility, which was designed for improved food storage, preparation, and distribution capacity; increased ability to provide case management and related services in a confidential setting; a more pleasant dining environment; and sufficient space to host community meetings, as well as to accommodate the many additional services we provide.	Since 1984, Rainbow Kitchen Community Services has focused on helping individuals and families to cope with inadequate incomes by addressing their immediate needs, offering guidance and support in times of crisis, and providing the basic stepping stones needed to work towards self-sufficiency. Our programs and services benefit children, the elderly, physically and mentally disabled individuals, single-parent families, homeless individuals, the unemployed, and the working poor.  Most of our program participants live in Homestead, West Homestead, or Munhall.  Among the residents of these communities:     35% of families with children live at or below poverty level     51% of individuals over age 16 are employed; many of those who are employed work only part-time, or at minimum wage jobs     28% of individuals over age 21 are disabled     almost 50% of households rely on Social Security or Supplemental Security Income (SSI)	RKCS provides assistance to over 1,000 community residents annually through our anti-hunger and case management programs and sup	Allegheny County, primarily Homestead, West Homestead, Munhall, West Mifflin and Whitaker				
Veterans Leadership Program of Western Pennsylvania, Inc.	http://www.vlpwpa.org	(412) 481-8200	EIN 25-1434643	2417 East Carson Street	Pittsburgh	PA	15203	USA	Military & Veterans Organizations, Veterans	Veterans Leadership Program of Western Pennsylvania provides essential housing, employment and other vital supportive services to eligible veterans, service members and their families to improve self-sufficiency, sustainability and quality of life. We work "in the trenches" with these homeless, poor, and middle class individuals who are doing the difficult work of rebuilding their lives after military service.	essential housing, employment, and vital support services with the goal of improving their self-sufficiency, sustainability, and quality of life.	Housing Programs  Job Search Assistance  Veterans Information Resource  Case Management Services  Referral Services	provide essential housing, employment, and vital support services to eligible local Veterans, service members, and their families	Serve over 2,100 Veterans and service members, make 5,000 referrals for essential services, and operate one of the most effective homeless Veteran employment programs that place Veterans in meaningful jobs	14 counties of Southwestern PA				
Saint Joseph High School (St. Joseph High School)	http://www.saintjosephhs.com		EIN 30-0499855	800 Montana Avenue	Natrona Heights	PA	15065	USA		Since 1915 in a tradition of excellence, Saint Joseph High School has offered a college preparatory education grounded in the Gospel values of Jesus Christ and has served the families in the Alle-Kiski Valley.The school creates an environment that nurtures the whole person by encouraging spiritual growth, academic excellence, extracurricular participation, and service outreach. Our mission is to graduate men and women who are committed to holiness, justice, integrity, and learning.	The resources available in the new Science and Technology Center provide the opportunity to continue to expand our current robotics and engineering curriculum.Additional funding will allow us to develop the robotics and engineering program from a single elective to a four-year, multi-tier curriculum, with some courses available for college credit.The expanded curriculum will expose all students to the many facets of the field of engineering and more students will be able to explore the possibility of a science or engineering career.The program will give students the opportunity to study robotics and engineering principals through hands-on learning and group problem-solving.The engineering software, Autodesk, will be used in courses in the physics, chemistry and math departments to integrate learning across the school curriculum.								
Friends Of The Pennsylvania Military Museum Inc	http://pamilmuseum.org	(814) 466-6401	EIN 25-1678572	Po Box 160a	Boalsburg	PA	16827	USA	Arts & Culture, Single Organization Support	Education and preservation of military history.	The friends of the pennsylvania military museum is dedicated to preserve history and educate, as well as honor this states's "citizen soldier. " it serves to commemorate the men and women of all branches of service.								
Penn Soil Rc & D Council	http://www.pennsoilrcd.com	(814) 726-1441	EIN 25-1501313	4000 Conewango Ave	Warren	PA	16365	USA	Environment, Natural Resources Conservation & Protection	Natural resource conservation	Tourism - assisted in paving of riverside watchable wildlife trail to meet with ada compliance, the warren county winterfest (a 3 day winter family oriented festival) the purpose is to utilize available natural and manmade resources of the area to promote tourism and economic opportunities to improve the local economy. Hosted several regional geocashing events to increase tourism economic benefits to the area. Refurbished major hiking trail of the allegheny national forest.   soil/water conservation - work to accelerate and enhance the implementation of soil and water conservation practices. The results of this effort will strengthen, increase, and encourage the voluntary approach and participation of private landowners in conservation projects.   wetland reserve - provide technical assistance to landowners interested in enrolling land in the usda wetland reserve program to create more wildlife habitat. Overall goal is to establsh more wetlands and wildlife habitat in northwestern pa. Also, working with landowners to voluntarily agree to construct more wetland habitat.								
Operation Warm Inc.	http://www.operationwarm.org	800-730-WARM	EIN 38-3663310	6 Dickinson Drive Suite 314	Chadds Ford	PA	19317	USA	Emergency Assistance, Human Services	Since 1998, Operation Warm has provided new winter coats to at-risk children who live in need. Our vision is that every child wearing a new winter coat is warm, feels valued, and is empowered to get to school and gain an education, helping break the cycle of poverty.	providing brand new winter coats for kids in partnership with Firefighters, Rotary clubs, radio stations, small and large businesses, churches, schools, foundations, local governments and social service agencies.  The gift of a brand new winter coat brings a child happiness and warmth and empowers her to attend school and play outside on cold winter days.	Since 1998, Operation Warm has distributed approximately 1.7 million new winter coats to children in need. Our most recent surveys from recipient organizations reflect the following successes: Of those surveyed, 99% believed that the coat reduced the financial burden of their family. 75% believed the coats positively impact school attendance. 100% believed the coats had a positive impact on their childrens emotions and self-esteem. Survey respondents went on to state that the coats helped their children feel happy, smart, proud, and/or worthy.	Children living in need	315,000 children through the gift of a brand new winter coat.	Throughout the U.S.				
Wild Wings Rehabilitation Center Inc	http://		EIN 23-3089528	1986 Strasburg Rd	Coatesville	PA	19320	USA	Animals, Wildlife Preservation & Protection	Wild Wings Rehabilitation Center, Inc. is committed to providing expert compassionate treatment and temporary care to injured, orphaned, and displaced wild birds. Our primary goal is to release these birds back into nature once they recover. Wild Wings is dedicated to education and community involvement. We seek to educate children, adults, and community groups on the rehabilitation process and the importance of co-existing with wildlife. We believe that wildlife rehabilitation is a humane and rewarding endeavor, which benefits both people and wildlife and we welcome your participation.					Chester County, PA and surrounding counties				
Wilkinsburg Community Development Corporation	http://www.wilkinsburgcdc.org	4127277855	EIN 41-2241079	1001 Wood Street	Wilkinsburg	PA	15221	USA	Community & Neighborhood Development, Economic Development	The mission of the WCDC is to promote the revitalization of Wilkinsburg and surrounding areas through business and residential development, organizational and individual civic leadership, and cultural enrichment.	our Business District Revitalization, Image and Identity, Green, Clean, & Safe, Education and Youth initiatives.		revitalize the neighborhood		Wilkinsburg				
Pagus:Africa	http://pagusafrica.org	(610) 299-3373	EIN 23-2965192	619 West Washington Street	Norristown	PA	19401	USA	Art Museums, Arts & Culture, Children & Youth, International, International Development, Youth Development Programs	Ellen Berenholz, Exec. Dir., with Enoch at BFSC 2008     Board of Directors  Timothy Hawkesworth, Chair Teresa Atkins Ellen Berenholz Laura Kelly Lynn McGregor Terry Siman        Pagus:Africa. is a 501(c)(3) charitable organization that works at a grassroots level on projects that directly improve people's lives. We are currently working in Ghana, W. Africa. Projects are primarily focused in the Volta Region. We are non-sectarian, non-governmental, and apolitical.  Our mission is to strengthen poor rural communities through targeted projects in education, health and poverty reduction.  We believe the most effective ways to facilitate long term sustainable change is through education of children and through working with adults to build self reliance and sources for sustainable income. We seek to empower communities to improve their schools, water sources and health conditions.	scholarships and sponsorship to attend good schools, educational and art programs, etc.		disadvantaged youth in rural areas						
Taller Puertorriqueno Inc	http://www.tallerpr.org	215-426-3311	EIN 23-1946165	2721 North 5th Street	Philadelphia	PA	19133	USA	Arts & Culture, Arts Education, Cultural & Ethnic Awareness	Taller Puertorriqueno, Inc. (Taller) is a community-based cultural organization whose primary purpose is to preserve, develop and promote Puerto Rican arts and culture, grounded in the conviction that embracing one's cultural heritage is central to community empowerment. Taller is also committed to the representation and support of other Latino cultural expressions and our common roots.	- Cultural Awareness and Advance Cultural Exploration Programs introduce young students to renowned local artists, performers, and educators who guide the children on a year-long journey of self-discovery. The program encourages self-expression through classes in traditional disciplines such as folkloric dance, salsa, drama, ceramics, painting, and printmaking.  - Youth Artist Program is a two-year program for talented high school sophomores, juniors, and seniors. With the guidance of professional artist mentors, students develop their artistic skills and produce a solid portfolio of work they can use to apply to highly competitive arts colleges and universities. Graduates of this program have gone on to Moore College of Art and Design, The Philadelphia Art Institute, and Arcadia University, among others.  - Vistenos is an outreach program in which K-12 grade students and their teachers engage in creative exploration of Latino cultures through videos of traditional dances, music records, and hands-on experiences with vejigante masks, drawing and painting, dance, T-shirt decorating, and more. These experiences meet the criteria of Philadelphia School District Arts Standards and Multicultural Competencies, and promote self-understanding, self-respect, and appreciation for cultural diversity.  With this program, Taller touches the lives of over 5,000 participants on an annual basis.   - The Eugenio Maria de Hostos Archives is a resource center that includes a varied collection of books, periodicals, articles, oral histories and research often out of print--focusing on Latino culture and history. The Archives are a resource for students and scholars.   - The Visual Arts Progam manages the galleries at Taller (The Lorenzo Homar Gallery, Galera de mis Vecinos, and El Vestbulo) as the region's only art galleries dedicated to Puerto Rican and Latin American and Caribbean art, many of the exhibitions highlighting contemporary artists from the Philadelphia region.  Off-site exhibits, like the permanent exhibition at Congreso de Latinos Unidos, provide additional access and audiences to Taller's art collection.   - Julia de Burgos Books and Crafts Store, a destination for original Puerto Rican/Latino artwork, crafts, handmade jewelry and collectibles, serves as the only bilingual bookstore of its kind in the Pennsylvania, Delaware and South Jersey region. Augmenting the store is an ongoing series of book readings and author presentations.  - The annual Arturo Schomburg Symposium brings scholars from around the globe to Taller for discussions about the relationship between the African Diaspora and Latin American culture that feature lectures and panel discussions.		promote Latino arts and culture		Philadelphia				
Pa Caring for K-9's	http://www.pack9.org		EIN 	910J Hanover St	New Oxford	PA	17350	USA											
Hope International	http://www.hopeinternational.org	(717) 464-3220	EIN 23-2836648	227 Granite Run Dr	Lancaster	PA	17601	USA	Boys & Girls Clubs, Children & Youth, Christianity, Economic Development, International, International Development, International Economic Development, Microfinance, Religion	To invest in the dreams of families in the world's underserved communities as we proclaim and live the gospel.	Savings-ledthe hope network of savings and credit associations (scas) provide individuals with a safe place to save. Facilitators train groups of 10-30 members to pool their savings on a regular basis, sometimes as little as 20-50 cents a week. Members use their savings or take out loans from the group to use as a buffer against emergencies, make important household purchases, or invest in businesses. As members meet regularly, they fellowship with one another, pray together, and study god's word. Hope-managed and partner scas currently serve in burundi, haiti, india, malawi, peru, the philippines, rwanda, and zimbabwe.   credit-ledhope-network microfinance institutions (mfis) provide entrepreneurs with savings accounts and small loans typically ranging from $100-$2,000 to invest in their businesses. When individuals meet regularly to repay their loans, they also worship together, receive business training, study scripture, and encourage each other. Once repaid, loan capital revolves back into the fund to lend to more entrepreneurs. Hope-managed and partner mfis currently serve in burundi, central asia, china, the dominican republic, the democratic republic of congo, haiti, moldova, the philippines, the republic of congo, romania, russia, rwanda, and ukraine.   otherhope's other program services include education, the pathways out of poverty exhibit, and the tomorrow clubs. Education: hope regional representatives introduce individuals to the work of hope and share a biblical perspective on poverty, speaking at churches, conferences, and other community events not sponsored by hope. Pathways out of poverty exhibit: this multi-sensory exhibit uses stories of individuals around the world to portray people working themselves out of poverty. Tomorrow clubs: . A christ-centered weekly children's ministry begun in ukraine, the tomorrow clubs reaches over 13,000 children. Tomorrow clubs has since expanded to multiple countries in eastern europe.								
Blue White Scholarship Foundation	http://www.bluewhitefoundation.com	(610) 519-0777	EIN 23-3095631	683 Gulph Rd	Wayne	PA	19087	USA	Education, Scholarships, Scholarships & Student Financial Aid	The Blue White Scholarship Foundation's mission is charitable fundraising to provide scholarships to deserving Villanova University juniors and seniors who have encountered gaps in funding and financial difficulty that could prevent them from achieving their goal of graduating with a Villanova Degree.  The vision of the Blue White Scholarship Foundation is to create a world where no Villanova undergraduate student should have financial hardship preventing him or her from completing their undergraduate degree program.	Scholarship Awards, Mentoring, Volunteering, Networking	In 15 years, The Blue White Scholarship Foundation has awarded scholarships to 287 students, totaling over $2.3 million.	Villanova University Students	16 Villanova Undergraduates	Villanova, Pennsylvania				
Dress for Success Pittsburgh	http://www.dressforsuccesspgh.org	412-201-4204	EIN 20-2388089	332 Fifth Avenue Fifth Floor	Pittsburgh	PA	15222	USA	Employment Preparation & Procurement, Job Training	The mission of Dress for Success  Pittsburgh is to promote the economic independence of disadvantaged women by providing professional attire, a network of support and the career development tools to help women thrive in work and in life.	Image Program - Provides each woman with one on one image consulting and a complete interview outfit, which includes a suit, blouse, pantyhose, jewelry, shoes and other accessories.  Once employed, each woman is invited to return to the boutique to select additional everyday work attire.  All clients of Dress for Success are referred to us by a registered referral agency.  Employment Retention & Advancement - Our innovative Professional Women's Group and Career Center assists women in developing a personal plan for her future success and self-sufficiency.  We offer monthly workshops and networking events, mentors, on-site counseling, on-line training, and special opportunities for the women to build their skills, confidence and self-esteem.				Allegheny County, Fayette County, Greene County, Washington County and Westmoreland County				
Main Line Art Center	http://		EIN 23-1429811	746 Panmure Rd	Haverford	PA	19041	USA	Arts & Culture, Arts Education										
Wood to Wonderful Inc	http://www.woodtowonderful.org	610-378-8697	EIN 52-1778783	1044 N. 8th Street	Reading	PA	19604	USA	Children & Youth, Youth Development	Wood-to-Wonderful was founded by Louise and Doug Brown in 1987 in the Washington, DC, suburbs and relocated to Reading, PA, in 1997. Wood-to-Wonderfuls original grass roots mission was to make wooden toys for less fortunate children. To this end, over 150,000 wooden toys have been made and distributed to needy children over the years. Since moving to Reading, however, Wood-to-Wonderfuls mission has evolved into helping to improve the quality of life for deserving children and now, in addition to wooden toymaking, includes diverse community outreach programs such as Reading is Toyrific, working with adults with disabilities, Re-Bike-Cycle, CAN IT litter abatement program, and neighborhood support. Wood-to-Wonderful is truly a grass roots organization	"Reading is Toyrific," wooden toy making, yoyo and game board making by adults with disabilities, Re-Bike-Cycle, CAN IT litter abatement	90,000 books and related toys given to "Reading is Toyrific" participants, 10,000 toys per year made by volunteers including adults with disabilities, 2,500 bicycles repaired and donated to needy residents of Reading, PA, 800 litter receptacles made and placed throughout the City of Reading	children-in-need, adults with disabilities, bicycles and litter cans for needy city residents	3,000 children and adults	the Berks County, PA, area				
