name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Geographic areas served	Results	Target demographics	Direct beneficiaries per year
Saint Paul Lutheran Church	http://		EIN 42-0757428	400 S 13th St	Fort Dodge	IA	50501	USA							
Wright County Historical Society	http://		EIN 51-0213720	2733 Baxter Ave	Eagle Grove	IA	50533	USA		Organization was formed to refurbish a carnegie library to turn it into a museum of the eagle grove, ia area for community members and people traveling through to enjoy.	Organization was formed to refurbish a carnegie library to turn it into a museum of the eagle grove, ia area for community members and people traveling through to enjoy.   organization was formed to refurbish a carnegie library to turn it into a museum of the eagle grove, ia area for community members and people traveling through to enjoy.				
Iowa State Univeristy Of Science And Technology	http://		EIN 42-6004224	3607 Administrative Services Bldg	Ames	IA	50011	USA							
Faith Bible Chapel	http://		EIN 42-6075168	Local	Orchard	IA	50460	USA							
Americas Choice Community Of Sioux Center	http://	(712) 722-4846	EIN 47-0741948	540 N Main Ave	Sioux Center	IA	51250	USA	Health, Nursing Facilities, Seniors	Provide housing & facilities to the elderly	Provide housing and facilities to the elderly				
First Reformed Church Of Aplington Iowa	http://		EIN 42-0725208	905 Caldwell St	Aplington	IA	50604	USA							
Christ Our Savior Lutheran Church	http://		EIN 42-1388724	Po Box 302	Norwalk	IA	50211	USA							
Society For Preservation & Encrgmnt Of Barbershop Quartet Singing Amer	http://		EIN 93-1218336	4401 Deer View Rd	Cedar Rapids	IA	52411	USA	Arts & Culture, Singing & Choral Groups						
The Gospel Mission	http://www.thegospelmission.org	712-255-1769	EIN 42-0819319	PO Box 3745	Sioux City	IA	51102	USA	Emergency Assistance, Human Services	PROVIDE CLOTHING, SHELTER, NUTRITION, AND PASTORAL SERVICES FOR THE HOMELESS AND THE NEEDY	Provide shelter for the homeless and the needy  provide nutrition for the homeless and the needy  provide pastoral services for the homeless and the needy  provide clothing for the homeless and the needy	60-90 mile radius of Sioux City, IA			
Hopeful Africa Inc	http://		EIN 27-2028604	Po Box 42304	Urbandale	IA	50323	USA	International, International Relief						
HOSPICE OF SOUTHWEST IOWA	http://www.hospiceofsouthwestiowa.org	712-352-1389	EIN 47-0733773	427 East Kanesville Blvd Suite 100	Council BLuffs	IA	51503	USA		Cherishing life's journey through and extra ordinary commitment to compassion, comfort and holistic care. We strive to create a community where all individuals have access to impeccable end of life care.	Our team works with the physician to assist with pain management, symptom control and ongoing education while providing spiritual and emotional support for the patient and the family. We also provide bereavement support for families and friends on their journey through grief. We can offer monthly phone calls, one-on-one visits, memorial services, referrals to community resources, support groups for adults and children, and other events and program throughout the year.	Nine counties in Southwest Iowa, including Adams, Cass, Fremont, Harrison, Mills, Montgomery, Pottawattamie, Taylor and Union.		We provide compassionate end of life care in a variety of settings through a team approach for patients that have decided on comfort care versus curative measures.	Each year we serve more than 200 patients and families through their end of life journey.
Iowa Caregivers	http://		EIN 42-1457592	1231 8th St Ste 236	Wdm	IA	50265	USA	Religion, Religion-Related						
Cedar Foundation Incorporated Of Cedar County Iowa	http://www.cedarmanor.org	(563) 886-2133	EIN 42-1133100	1200 Mulberry St	Tipton	IA	52772	USA	Human Services, Seniors, Supportive Housing for Older Adults	Care of elderly & disabled people	Intermediate extended care of elderly & disabled persons unable to live in individual settings				
Bentonsport Improvement Association	http://		EIN 42-1220136	21864 Walnut St	Keosauqua	IA	52565	USA							
Heartland Care Center Inc	http://	(712) 376-2500	EIN 42-1362288	604 E Fenton St	Marcus	IA	51035	USA	Health, Nursing Facilities, Seniors	To provide residential facilities and services which are specifically designed to meet a combination of physical, emotional, recreational, social, religious, and similar needs of ages persons.	Heartland care center, inc. Offers licensed assisted and nursing care to the elderly  heartland care center, inc. Offers licensed assisted and nursing care to the elderly.				
Agc Of Iowa Foundation	http://	(515) 283-2424	EIN 39-1883004	701 East Court Ave	Des Moines	IA	50309	USA	Education	To foster education, support research, and disseminate information to the general public about the construction industry.	Scholarships provided to university students pursuing a career in the construction industry				
Urbandale Education Foundation	http://	(515) 457-5000	EIN 42-1391976	11152 Aurora Ave	Urbandale	IA	50322	USA		Organization's primary purpose is to provide financial support to a public school district.	Award scholarships  urbandale school projects				
Joo Hyock Incorporated	http://		EIN 42-1204176	606 Se Army Post Road	Des Moines	IA	50315	USA	Education	Educational programs	Martial arts instruction and testing				
Stonehill Benevolent Foundation	http://www.stonehilldbq.com	(563) 557-7180	EIN 42-1337556	3485 Windsor Ave	Dubuque	IA	52001	USA	Human Services, Seniors, Supportive Housing for Older Adults	The stonehill benevolent foundation provides financial assistance for needy residents of stonehill care center, assists stonehill care center in its general operations, generates and attracts substantial support from the public to receive contributions and grants, and holds, administers, converts, invests, reinvests and manages such contributions and grants for the benefit of stonehill franciscan services in various ways.	During the year stonehill benevolent foundation successfully completed the annual appeal, benefit dinner, year end appeal and continued a capital campaign in support of the stonehill franciscan services mission and ministry. A portion of the annual appeal, benefit dinner, and the year end appeal funds were designated for capital items while the capital campaign was designated for the building of a four story household addition necessary to accomplish the objective of a person-centered care center. Most of the funds raised are used for residents who need financial assistance at stonehill franciscan services.				
Beacon Of Life	http://		EIN 42-1253088	1717 Woodland Ave	Des Moines	IA	50309	USA	Homeless & Housing, Homeless Shelters						
Neighborhood Transportation Service Inc	http://www.horizonsfamily.org	(319) 398-3943	EIN 26-1306253	Po Box 667	Cedar Rapids	IA	52406	USA	Public Transportation Systems	To help our customers succeed financially by providing convenient, quality, affordable transportation to employment and education	Operating a curb-to-curb van service, providing affordable night and weekend transportation to work, school or life skill classes during times when the fixed route city buses do not operate. The city of cedar rapids provides vehicles for this program at no cost to the organization.				
Covenant Messenger Ministries	http://		EIN 42-1415237	200 E Grant Ave	Shenandoah	IA	51601	USA	Christianity, Religion						
Emma Goldman Clinic	http://www.emmagoldman.com	800-848-7684	EIN 42-1009939	227 N. Dubuque St.	Iowa City	IA	52245	USA		The Emma Goldman Clinic is a not-for-profit independent organization founded in 1973 by a group of women driven by feminist ideals.  We exist to empower women and men in all life stages through the provision of quality reproductive health care that includes abortion services, gynecology services, safer sex promotion, and active education. We promote respectful, client-centered and participatory health care through informed decision making, client rights, advocacy and expansion, and support of pregnancy choices.   We strive to provide an environment in which diversity is acknowledged and celebrated. We are actively committed to staff diversity in employment policies and practices. We strive to increase economic, geographic, structural, and language accessibility for the clients we serve through fundraising, outreach, and advocacy.   We offer non-judgmental, quality health care services. Our goals are inspired by our belief in the larger ideals of feminist philosophy: political, economic, and social equality.	Vacuum aspiration service: the organization provides education and health services to women for termination of pregnancy. The clinic provided services to approximately 695 clients during the year.   gynecology and walk-in services: the organization provides education and gynecological services. The clinic provided services by appointment and on a walk-in basis to approximately 828 clients during the year.   community education and relations: the organization provides educational services to the community and region on issues and needs of womens health care.	Midwest			
The Orthotic & Prosthetic Assistance Fund, Inc.	http://www.opfund.org	(980) 819-9404	EIN 54-1747398	536 Sunset Road	Waterloo	IA	50701	USA	Amateur Sports, Recreation & Sports, Sports	The Orthotic and Prosthetic Assistance Fund (OPAF & The First Clinics) is a nonprofit organization, a 501(c)(3) public charity, established and incorporated in January 1995 by the Orthotics and Prosthetics National Office. Dedicated initially to providing financial and in-kind support to the 1996 Paralympics, OPAF now generates its own initiatives through partnerships with individuals, groups and institutions working towards health and fitness for those we serve.	The orthotic and prosthetic activities foundation, as their mission and in being true to their founding in support of the paralympic games, offers adaptive recreational sports programs and clinics for those served by the orthotics and prosthetics community. First volley, our nationally recognized and award winning adaptive tennis program offers tennis skills and drills to those with physical challenges who choose not to sit in a wheelchair. First swim brings amputees back to the pool and helps them to feel comfortable both in and around the water. First dive offers anyone with a physical challenge the chance to "try scuba" and experience the freedom that the water provides. In conjuction with the national amputee golf association, opaf hosts first swing/learn to golf clinics, which invites both amputees and rehab professionals to the golf course and encourages their participation in both the game of golf and the social aspects it provides. The organization received 14,833 as in-kind exhibit space, marketing services and shipping expenses which were not included for the purpose of 990 reporting.   the orthotic and prosthetic activities foundation also offers a scholarship to student pursuing orthotics and prosthetics as their career choice at northwestern university's prosthetic and orthotics program. We offer small grant funding to other like minded organizations which promote health and fitness for those we serve. The opaf speaker program is available for groups who wish to learn more about opaf and our programs.			The First Clinics, including our nationally recognized adaptive tennis program, First Volley, along with First Swim, First Dive, First Swing, First Paddle and McKeever's First Ride offer quality adaptive recreational opportunities for amputees and those with physical challenges	
Save Our Youth Ministries	http://		EIN 42-1376676	300 Audubon St	Sac City	IA	50583	USA							
North Iowa Fair Association	http://www.northiowafair.org	(641) 423-3811	EIN 42-0441660	3700 4th St Sw	Mason City	IA	50401	USA	Fairs, Sports	Management of the north iowa	North iowa fair, go-kart racing, equestrian events, and other programs are conducted for the entertainment of the surrounding communities. The fair includes agricultural and educational expositions. Other events include horse shows, craft shows, and various sporting events.				
Norwegian Emigrant Museum	http://		EIN 41-1765488	2601 4th St Sw	Mason City	IA	50401	USA	International, International Cultural Exchange, International Exchange						
National Czech & Slovak Museum & Library	http://www.ncsml.org	(319) 362-8500	EIN 51-0189030	1400 Inspiration Pl Sw	Cedar Rapids	IA	52404	USA	Arts & Culture, Arts, Culture & Humanities, Cultural & Ethnic Awareness, History Museums, Museums	We inspire people from every background to connect to czech & slovak history and culture. We are a museum that celebrates life. Czech life. Slovak life. American life. We are a museum that encourages self-discovery, a museum that asks what it means to be free. Through extraordinary exhibitions and experiences, we tell stories of freedom and identity, family and community, human rights and dignity. Our stories connect yesterday with today and tomorrow.	Operation of museum and community outreach: the national czech & slovak museum & library (ncsml) operates a museum which reaches the community through exhibits, education as well as a non-circulating library. We had 8 exhibits in 2014 including celebration! Rituals and revelry of life, on loan from the national museum in prague, and peter sis: cartography of the mind, a collection of original art from award winning illustrator, peter sis. Education programming featured school study trips that provide a multicultural adventure, connecting students to the larger, global community in a personal manner. In 2014 the ncsml served 1916 students, and provided educational programs that reached 8,596 members of the general public. The multilingual library collection includes books, periodicals, oral histories, and archival materials. The library holds the largest collection of czech and slovak recorded music outside of the czech republic and slovakia.				
The Heart Connection	http://ChildrensCancerPrograms.org	515-243-6239	EIN 42-1313167	1221 Center St Ste 12	Des Moines	IA	50309	USA	Cancer, Children & Youth, Children & Youth Services, Youth Development	We enhance the quality of life for families connected through childhood cancer, and create opportunities to learn, play, and share.	To provide summer camps and one day special activities for children with cancer and their families. Programs in this area include family camps, oncology camp, sibling camp, mid-year mini camp, and family events.   to provide support services and information for children with cancer and their families. Programs in this area include club hope, the survivorship connection, lending library, online support program, and adopt a family.   to provide hospital based programs which provide support for children being treated for cancer. Programs included in this area are arts and crafts, end-of-treatment party, beads for bravery, poke box, and treatment binders.	Iowa and surrounding states			
Jefferson Athletic Booster Club Incorporated	http://		EIN 42-1176048	1243 20th St Sw	Cedar Rapids	IA	52404	USA		The mission of the jefferson athletic booster club is to help defer the cost of the jefferson high school athletic department.	Jefferson high school athletic department1243 20th street swcewdar rapids,ia 52404 the direct grant to the athletic department enabled it to meet the operating expenses of the budget for softball, baseball, volleyball, basketball, wrestling, track, football, and soccer. It also enabled the department to make purchases necessary to improve programs.   cedar rapids community school district346 second ave swcedar rapids,iowa 52404the grant given to the cedar rapids community school district helped the district to offset expenses with the cedar rapids community school district althletic budget.				
Humility Of Mary Housing Incorporated	http://www.humilityofmaryhousing.com	(563) 326-1330	EIN 42-1349437	3805 Mississippi Ave	Davenport	IA	52807	USA	Homeless & Housing, Homeless Shelters	The organization provides transitional and permanent supportive housing for single parent families experiencing homelessness and offers opportunities for growth and development that could result in self-sufficient living.	Humility of mary housing, inc. Provides homeless single parent families opportunites for growth and development that could result in self-sufficiency. The program provides: the support of a social worker, bi-weekly informative group meetings, christmas adoption, a clean, safe environment to raise children, access to a food pantry, access to clothing donations, thanksgiving & easter food baskets, fully furnished apartments, support of site manager at select sites, rent based on income, referrals to community resources, and budget/financial planning assistance.				
Cedar Valley Youth Soccer Association	http://www.cedarvalleysoccerclub.org	(319) 464-0198	EIN 42-1380468	Po Box 391	Cedar Falls	IA	50613	USA	Soccer, Sports	The purpose of the cvysa is to promote and foster the game of soccer on the youth amateur level in the waterloo and cedar falls metropolitan area and surrounding communities. The cvysa carries out its purpose by sponsoring recreational and competitive soccer teams for ages less than nineteen years of age and by providing training opportunities for coaches and referees.	The cedar valley youth soccer association provided soccer education, including training, games, and equipment to over 2,000 youths in the cedar valley.				
Dress for Success Quad Cities	http://www.dressforsuccess.org/quadcities	(563) 322-1010	EIN 45-1825338	311 E 2nd St PO Box 3574	Davenport	IA	52808-3574	USA		The mission of Dress for Success is to empower disadvantaged, job-ready women with free professional attire, professional development and a network of support to help her become economically independent.	free professional attire, professional development and a network of support to help them thrive in work and life.	Eastern Iowa and Western Illinois		empower disadvantaged women	125 women, 75% of whom were single mothers, with free interview suits or business separates
Iowa State University Foundation	http://www.foundation.iastate.edu	(515) 294-4607	EIN 42-1143702	Po Box 22	Ames	IA	50010	USA	Education, Scholarships, Scholarships & Student Financial Aid, Undergraduate Colleges, Universities	Iowa state university foundation's mission is to inspire philanthropy to advance iowa state university's mission to "create, share, and apply knowledge to make iowa and the world a better place. " the foundation maximizes philanthropy in support of iowa state university - its students, faculty and programs. This is accomplished by promoting and nurturing volunteerism and philanthropy, collaborating and building partnerships with university administrators and faculty, building long-term relationships with donors while representing their needs and interests, operating with openness and transparency while honoring donors' privacy, and providing foundation staff and volunteers with the tools and resources needed to achieve these goals. With the leadership and vision of iowa state university president steven leath, the university and foundation work closely together to achieve these results. The foundation raised nearly $165 million in new gifts and commitments for the year ending june 30, 2	Student support: iowa state undergraduate and graduate students received more than $25 million in scholarships, fellowships, loans and awards from private gift support. Students received both merit- and need-based scholarship support across all programs and units of the university. With the university seeing record enrollment numbers, private gift support is critical to ensuring that all willing students are able to explore their educational opportunities, experience college life, and efficiently manage tuition costs and debt loads. In 2015, nearly 6,000 students received scholarships funded by private gift support.   faculty support: with more than $28 million from the iowa state university foundation, university faculty and staff received additional support allowing for increased research opportunities and improved classroom experiences for all students. Private gift support helps meet the university's goal to attract and retain the world-class faculty which ultimately attracts the best and brightest students. During 2015, the number of endowed faculty positions (chairs, professorships and fellowships) increased to 189.   facilities: the foundation provided more than $27 million to the university in support of new building construction, renovation and equipment needs. State-of-the-art facilities help the university attract high quality faculty and students. These facilities provide space, environments, and technologies that promote the highest levels of teaching, learning and research. Private gift support assisted in funding of the expansion of and improvements to jack trice stadium, the construction of the biorenewables complex, and more.				
Brad Gray Ministries Inc	http://		EIN 42-1404192	Po Box 184	Albia	IA	52531	USA	Religion, Religion-Related						
Bellevue Community Club	http://		EIN 42-1371900	Po Box 64	Bellevue	IA	52031	USA	Crime & Law, Crime Prevention						
Enlisted Association Of The National Guard Of Iowa	http://		EIN 51-0179552	Po Box 608	Boone	IA	50036	USA							
Workingmans Christmas Party Committee -For Needy Children-	http://		EIN 42-6081156	1216 Lillian St	Ottumwa	IA	52501	USA							
SIOUXLAND HUMANE SOCIETY INC	http://www.siouxlandhumanesociety.org	712-252-2614	EIN 42-6000336	1015 Tri View Ave	Sioux City	IA	51103	USA	Animal Protection & Welfare, Animals	It is our mission to provide services and programs that promote the humane treatment of animals in the Siouxland area.	Promotion of humane treatment of animals in the siouxland area.				
First Christian Church	http://		EIN 42-0680316	301 E Townline St	Creston	IA	50801	USA							
Iowa Ffa Foundation	http://		EIN 42-1305468	1055 Sw Praire Trail Parkway	Ankeny	IA	50023	USA							
Central Iowa Bible Camp	http://		EIN 42-1106941	18578 335th Ln	Earlham	IA	50072	USA	Protestant, Religion						
United Methodist Church	http://		EIN 51-0249252	308 E Superior St	Missouri Vly	IA	51555	USA							
MAHARISHI FOUNDATION USA INC	http://www.tm.org	(641) 209-1879	EIN 04-3196447	PO Box 670	Fairfield	IA	52556	USA	Education, Educational Services	Maharishi Vedic Education Development Corp, is a not-for-profit educational organization whose purpose is to administer and supervise the teaching of Transcendental Meditation program and its advanced programs throughout the United States. This includes offering programs in all areas of Maharishis Vedic Science and Technology that are needed to create healthy, happy enlightened individuals in a healthy, happy enlightened society.	Teaching transcendental meditation to 20,443 people throughout the united states in venues opened to the general public.   transcendental meditation and consciousness based education was taught to 3,487 students, ages 14-18 in a public and private school setting. It also was taught to veterans and others with ptsd. Grant funding was included in the expenses of this program to accommodate more individuals.   the program enrolled 2,437 in the advanced programs of the transcendental meditation program, predominantly taught by traveling expert faculty visiting cities all over the us.				
Des Moines Park & Recreation Foundation	http://www.friendsofdmparks.org	(515) 490-9777	EIN 42-1390788	1551 E Martin Luther King Dr Pkwy	Des Moines	IA	50317	USA	Physical Fitness & Community Recreational Facilities, Sports	Supporting parks & recreation	Supporting des moines park and recreation programs				
Lutheran Chaplaincy Outreach	http://lcoiowa.org/	(319) 338-4854	EIN 20-2814477	123 E Market St	Iowa City	IA	52245	USA	Religion	To provide an elca chaplain to the patients of the university of iowa hospitals and clinics.	Our chaplain made over 703 visits to patients and family members in the hospita she spent over 1377 hours working in the hospital doing chaplaincy work.				
Friends Of The Bellevue Public Library	http://		EIN 42-1226592	106 N 3rd St	Bellevue	IA	52031	USA							
Women's International Bowling Congress	http://		EIN 51-0222348	107 Madison St Box 81	Sabula	IA	52070	USA							
Cedar Rapids Metro Economic Alliance Foundation	http://www.cedarrapids.org	(319) 398-5317	EIN 42-1206276	501 1st St Se	Cedar Rapids	IA	52401	USA	Chambers of Commerce & Business Leagues	To support the cedar rapids metro economic alliance's programs.	To support the cedar rapids metro economic alliance's programs.				
St Pauls Focus	http://		EIN 42-1390032	Po Box 2065	Cedar Rapids	IA	52406	USA							
Womens International Bowling Congress	http://		EIN 51-0210744	815 11TH Ave	Dewitt	IA	52742	USA							
New Horizons Adult Day Center	http://www.newhorizonsadultday.com	(515) 964-9933	EIN 42-1514387	406 Sw School Street	Ankeny	IA	50023	USA	Residential Care & Adult Day Programs	To enhance the quality of life for adults who are physically and/or	Private contributions to fund general operations, activity supplies, meals and miscellaneous supplies for 55 individuals enrolled in the program  participant contributions to fund general operations, activity supplies, meals and other program expenses for 55 individuals participating in the program				
Nebraska Assn For Developmental Housing	http://	(712) 258-3251	EIN 47-0609108	Po Box 3275	Sioux City	IA	51102	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing	Housing for low income elderly	Expenses incurred to operate a 56 unit apartment complex for the elderly, financed by a section 202 direct loan. Tenant rents are subsidized by a section 8 housing assistance contract.				
Children and Families of Iowa	http://www.cfiowa.org	(515) 288-1981	EIN 42-0680416	1111 University	Des Moines	IA	50314	USA	Child Day Care, Children & Youth, Children & Youth Services, Family Services, Human Service Organizations	Children & Families of Iowa is restoring hope, building futures and changing lives.	Child and family services: provides in-home counselors that provide counseling and skill-building for families to address issues that place children at risk of being abused or neglected.   family violence center provides domestic violence services that use a unique approach to helping victims of domestic violence rebuild their lives.   the parent partner approach celebrates individuals who have overcome obstacles through change, recovery, and accountability by using their skills to mentor families who are currently navigating through dhs as their children are in foster or kinship care.   family counseling; protective payee; youth work readiness; daycare service; residential treatment; chemical dependency; tracking & monitoring				
Ascension Lutheran Preschool	http://		EIN 42-1169748	2210 Grand Ave	Marion	IA	52302	USA		Christian environment	The primary purpose of the ascension lutheran pre- school is to provide preschool education in a christian setting for children 3-5 years of age				
Hooves & Paws Rescue of the Heartland	http://hoovespaws.org	712-527-3721	EIN 20-5593093	27821 Us Highway 34	Glenwood	IA	51534	USA	Animal Protection & Welfare, Animals	Hooves & Paws Rescue of the Heartland is not contracted with any local or government agency. Our services have saved Federal, State, County & Local Government hundreds of thousands of tax payer dollars since the day we opened our doors.  We do not charge for the removal of abused and/or neglected animals when we are called on. We rely on donations to help defer the cost of these animals that are removed and brought into our care.  So this is why your donations are so important to continue the work we do, "Saving Those Who Have No Voice Of Their Own".   Please consider a one time or monthly donation to help us continue this important work we do. Donations can be made through our website at hoovespaws.org using Pay Pal or mailed to our facility Hooves & Paws Rescue of the Heartland at 27821 Hwy 34 in Glenwood, IA 51534.     Hooves & Paws Rescue of the Heartland is a Non-Profit 501 (c)(3) Corporation.  We are a licensed Rescue and Shelter in the state of Iowa. All donations are tax deductible as allowed by law.   Hooves & Paws Rescue of the Heartland is the largest "No Kill" Rescue & Shelter in Mills County, IA for Puppies, Dogs, Horses, Donkeys & Mules.   Thank you for your support & kindness.  We could not continue the work we do without your support!	Our Rescue/Shelter gates are open to those Horses, Donkeys, Mules, Dogs & Puppies who need "A Place To Heal" and to call home until adoption is possible. If for any reason adoption is not possible such animals will live their life out in a safe and loving environment at our "No Kill" Rescue & Shelter.	Iowa, Nebraska & Beyond		abused, starved, neglected and unwanted horses, donkeys, mules, dogs & puppies	
Central Iowa Aquatic Inc	http://		EIN 42-1443780	160 57th Ct	Wdm	IA	50266	USA	Sports, Swimming & Other Water Recreation						
Hope Evangelical Free Church Of Storm Lake Iowa	http://		EIN 42-1126620	2015 W Milwaukee Ave	Storm Lake	IA	50588	USA							
Little League Baseball Inc	http://		EIN 42-1167144	14777 25th St	Hedrick	IA	52563	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports						
Creston Community Theatre Inc	http://		EIN 42-1114620	Po Box 208	Creston	IA	50801	USA							
Iowa Aviation Promotion Group Inc	http://		EIN 42-1470192	3700 Se Convenience Blvd	Ankeny	IA	50021	USA	Chambers of Commerce & Business Leagues						
Ames Waldorf Education Association	http://	(515) 337-1577	EIN 42-1459308	Po Box 387	Ames	IA	50010	USA	Education, Elementary & Secondary Schools, Literacy	To provide early childhood education inspired in the tradition of the waldorf method. Education of the heart and hands as well as the mind. An imaginative approach using natural materials as well as natural world experiences.	Providing a children's center and preschool for children ages 3-6. Providing educational and after school programs for elementary age children.				
WhyDoParents.org, Inc	http://www.whydoparents.org	(678) 653-1341	EIN 80-0674219	2580 270th	Greene	IA	50636	USA	Children & Youth, Education	WhyDoParents.org, Inc is a 501(c)3 non-profit organization aimed at solving humanities structural and operational inefficiencies. We believe in the power of prevention, transparency and objective measures. We do not believe that anyone is fundamentally destined to a life of poverty. We understand the key to world peace has always been collectively held by the parents of our children. Our company name, WhyDoParents was selected to remind us that parents serve as both the fundamental cause and the easiest solution to cure humanities inefficiencies. Our mission is to treat these inefficiencies at their core and to prevent them at their root.	S-O-L-V-E Connecting Roots American Tennis Hall of Fame	All 50 States	Successfully launched three program models:  S-O-L-V-E implements solutions and social metrics to maximize the mission efficiency of other nonprofit organizations.  Connecting Roots provides structure to community initiatives looking to involve children in activities and provide practical mentorships.  American Tennis Hall of Fame recognizes the pioneers of American tennis through children's books and events to inspire the next generation of tennis champions.	Our clients are the hands-on nonprofit organizations who work directly with the general public to improve the lives and well-being of individuals and families in their community.	implement social metrics into nonprofit organizations
St John Of The Cross	http://		EIN 42-1307304	1027 5th Ave Se	Cedar Rapids	IA	52403	USA	Employment Preparation & Procurement, Job Training						
Association For The Severely Handicapped	http://		EIN 42-1172736	1674 Polk Ave Ne	Solon	IA	52333	USA							
American Planning Association	http://		EIN 46-6004932	Po Box 447	Sioux City	IA	51102	USA		The association's purpose is to advance the art and science of planning and the activity of planning physical, economic and social at the local, regional, state and national level.	The association's purpose is to advance the art and science of planning and the activity of planning physical, economic and social at the local, regional, state and national level.   the association's purpose is to advance the art and science of planning and the activity of planning physical, economic and social at the local, regional, state and national level.				
Izaak Walton League Of America, Inc.	http://www.iwla.org		EIN 52-1382328	1200 2nd Ave N	Northwood	IA	50459	USA	Environment, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management	For the last 80 years, the Izaak Walton League, a national conservation organization, has been addressing a broad range of issues affecting our nation's wildlife and natural resources. We work to educate decision-makers and the public through our national program staff and through our 50,000 members and supporters that are organized through 300+ community-based, volunteer chapters and state-level divisions. Our goal is to ensure that America's natural resource base is protected, managed and used to assure the quality of life in the long run. We accomplish this by emphasizing the hands-on role that individuals can play in habitat protection and restoration as well as through their local legislatures. Our current national conservation work includes staffed programs on public lands management, wetlands and clean water policy, sustainable agriculture and forestry, energy efficiency, clean air, citizen stream and wetland monitoring and restoration education, responsible outdoor behavior.					
Metro Arts Alliance Of Greater Des Moines	http://www.metroarts.org	(515) 280-3222	EIN 51-0180623	3209 Ingersoll Ave Ste 208	Des Moines	IA	50312	USA	Alliances & Advocacy, Arts & Culture, Arts & Humanities Councils & Agencies, Performing Arts	Metro arts alliance's mission is to engage central iowans in arts opportunities and education to advance the creative economy and strengthen our community.	Jazz in july - free concerts held in public places to build jazz audiences and employ local musicians. It's iowas longest-running summer music festival that evolves every year by responding to the communitys needs and requests, while keeping its greatest traditions.   dining for the arts is an event that recognize those iowa artists and organizations that have made significant contributions to the arts in iowa. Dining for the arts highlights the fusion of fine food, live entertainment, art and the community.   education programs - outreach education programs in schools, daycare and various other city locations rock'n run - rock out to great local bands				
Iowa City Area Chamber Of Commerce Foundation	http://		EIN 42-1324560	325 E Washington St	Iowa City	IA	52240	USA	Chambers of Commerce & Business Leagues						
Remember Nhu	http://www.remembernhu.com	(515) 964-7516	EIN 20-1461313	1605 Nw Beechwood St	Ankeny	IA	50023	USA	Children & Youth	Ending child sex slavery	Ending child sex slavery through prevention in south east asia and africa.				
St. Luke's Methodist Hospital Workers Compensation Trust	http://		EIN 42-6407592	1026 a Ave Ne	Cedar Rapids	IA	52402	USA	Insurance Providers						
Circle Of Life Hospice	http://	(641) 774-2339	EIN 14-1888077	320 North Western	Chariton	IA	50049	USA	Health, Health Support	Provide hospice care to dying individuals, regardless of the patient's ability to pay for such services.	Maintained a grief support group. Took care of 68 patients with support from nurses, nursing aids, social workers, therapists, and chaplains. Continued on-going education via newspaper articles, speaking engagements, and answering inquiries from the public.				
Pottawattamie County Conservation Board Foundation	http://		EIN 42-1240716	Pottattamie Cty Courthouse Annex	Council Bluffs	IA	51501	USA							
St Columbus Church Of The Resurrection	http://		EIN 42-1373652	3416 Hickman Rd	Des Moines	IA	50310	USA							
Global Mother Divine Organization-Usa	http://tm-women.org		EIN 26-2862425	Po Box 368	Fairfield	IA	52556	USA	Personal Social Services	Teach transcendental meditation technique and its related programs to women and girls	Through independent contractors, gmdo-usa taught the tm technique to 750 ladies. The goal is to ensure that individual students learn the technique correctly and become self-sufficient in the practice.   gmdo-usa supported other non-profit organizations that offer programs for the development of consciousness to unfold the total potential of individual and collective consciousness--enlightenment for every individual and invicibility for every nation. We continue to support via grants and contributions to maharishi global administration through natural law, a non-profit ortganization that provides an opportunity for single ladies to come together in order to deepen their experiences of the tm technique and its advanced programs. The goal is to support those people who have dedicated themselves to pursuing the supreme possibilities offered by these programs.   in the last fiscal year, gmdo-usa focused some of its outreach efforts on certain special interest groups, including nurses, female veterans and educators. This outreach effort included organizing meetings, attending professional conferences and preparing specialized advertising and promotional materials. The goal is to provide information about the technique as a mechanism to deal with a group's common challenges or goals.   to enliven and radiate a profoundly nourishing influence of positivity, peace and harmony in the environment through the group practice of the transcendental meditation and transcendental meditation sidhi program.				
YMCA	http://www.interl.net/~ymcaburl/		EIN 42-0680484	2410 Mt Pleasant St	Burlington	IA	52601	USA	Human Services, Physical Fitness & Community Recreational Facilities, Sports, Young Mens or Womens Associations	Founded in 1883, YMCAs collectively make up the largest nonprofit community service organization in America. YMCAs are at the heart of community life in neighborhoods and towns across the nation. They work to meet the health and social service needs of 16.9 million men, women and children.					
United Way Of Boone County Iowa Inc	http://	(515) 432-8985	EIN 42-0725148	Po Box 511	Boone	IA	50036	USA	Federated Giving Programs, Philanthropy	The objective of the organization is to provide a means by which contributions can be made annually in pledges to charitable health and welfare organizations, to provide for the budgeting and allocation of funds derived from said gifts and pledges to tax exempt agencies in order to most efficiently meet the needs of the community and area.	Contribute annually to local non-profit agencies. The united way of boone is governed by a volunteer board, and in 2014 in-kind contributions of 3,300 were received.				
Timothy Lutheran Church	http://		EIN 42-0776412	3112 W Broadway	Council Blfs	IA	51501	USA							
