name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Crisis Shelter	Childrens Crisis Shelter 	Crisis Hotline
Help Animals Lives Today	http://		EIN 80-0014785	6625 N Massachusetts Dr	Kingman	AZ	86409	USA	Animal Protection & Welfare,Animals									
Liberty Wildlife Rehabilitation Foundation, Inc.	http://www.libertywildlife.org	(480) 998-5550	EIN 94-2738161	PO Box 14345	Scottsdale	AZ	85267	USA	Animal Protection & Welfare,Animals,Veterinary Services,Wildlife Preservation & Protection	Liberty Wildlife is dedicated to nurturing the nature of Arizona's wildlife through quality rehabilitation, community education and conservation services.					Rehabilitation, research and conservation is dedicated to solving human/wildlife conflicts, conducting scientific research as well as providing specialized services, care and rehabilitation for native wildlife. Rescue and transportation teams go out into the field and bring in animals in need for medical services, daily care, and rehabilitation. The organization assists over 5,000 native and non-native animals with a release rate of over 50, above the national norm. This includes over 130 different avian, mammal and reptile species. The organizations programs include hawks and eagles in flighted training programs and releasing numerous native wildlife back into the wild. Over 400 volunteers have participated in programs to care for, feed, and rehabilitate wildlife. The organization uses dedicated staff and contracted biologists to respond to challenges pertaining to wildlife. Annual internships are provided to students for the organization believes strongly in connecting children with the natural world. Their education group visits classroom and civic events with non-releasable wildlife. The organization provided over 825 educational programs across the state at over 485 venues using more than 50 animals in live presentations with trained presenters. Attention is given to conservation and sustainability, state standards, age appropriateness, specific educational requests, and enhancing compassion and engagement with the participants.			
Higher Ground A Resource Center	http://www.higherground.me	(520) 622-1425	EIN 27-3585869	101 W 44th St	Tucson	AZ	85713	USA	Education,Student Services	Higher Ground Youth Center is a project of Higher Ground a Resource Center (HGRC), a non-profit 501c3 organization whose mission is to Reach, Transform and Elevate the southwest community of Tucson by supporting individuals and uniting families to build leaders in the community.					In the year 2013, higher ground moved to wakefield middle school as a partnership with tusd. In addition to that, we were selected by youth on the rise (yotr), a collaborative that leverages collective cross-sector and community-based leadership and investments of pima county to improve pathways to education and employment for opportunity youth ages 16-19 who have dropped out of high school, to become the first re-engagement center in tucson. By coordinating services, leveraging resources, aligning strategies and improving policies, yotr partners break down siloed systems and establish sustainable reforms to improve outcomes for opportunity youth in pima county. Higher ground is now a part of the community in schools alliance which is the driving force for the mayor of tucson's initiative with americorps to increase high school graduation. There are at least 20 primary organizations already involve in this collaboration and higher ground one of its executive leadership. These organizations include americorps, pima county health, several school districts, la frontera, metropolitan education commision, and the mayor's office. The community in school's alliance already engages several businesses to fund community in schools sites with a coordinator such as higher ground. In addition, the university of arizona is using the enterprise project to design their community engagement piece with all their incoming freshman students. Higher ground in itself has over 20 partners that have actual programs and projects within our youth center. Our organization is built on strong community collaboration and is part of a collective impact movement led by united way called cradle to career which engages over 100 key organizations, foundations, businesses, and the government leaders in tucson. Last school year, our outcomes are the following:- 90% of our students improved their grades- 81% of parents stated that their children have displayed skills that reflected grit and resilience ever since attending higher ground. These character traits are the only common indicator for success among students. - 100% of the parents felt that their children increased in confidence- 83% of our students learned and experienced things that taught them to give back to the community- 65% learned to control their emotions better in school and at home- 85% became more physically active- 81% felt happier ever since coming to higher ground---------------------------------------------------------- we have been featured in the us department of education website for our methods and outcomes. - was featured by the az department of education for our methods on youth engagement. - our jujutsu team is #4 in the world kid's no gi division in the sport jiujitsu international federation. Our jujutsu team consists of several students who have never competed before or even joined sports prior to joining higher ground. - higher ground moved to wakefield middle school in order to expand our program and fill a great community need.			
Friends of Public Radio Arizona	http://www.fpraz.org	(480) 774-8448	EIN 01-0579687	2323 West 14th Street	Tempe	AZ	85281	USA	Arts & Culture,Fund Raising & Fund Distribution,Music,Radio,Single Organization Support	Friends of Public Radio Arizona (FPRAZ) assures the future vitality and excellence of two public radio stations in the Phoenix metropolitan area and engages the community with other strategic initiatives.				the Phoenix metropolitan area	KJZZ 91.5 FM is a listener-supported public radio station broadcasting to the Phoenix metropolitan area and is also the NPR affiliate for the region. KJZZ features a mix of local, national, and world news during the day, entertaining weekend shows, and classic jazz and blues in the evenings. The station is a public service of Rio Salado College.K-BACH 89.5 FM is the only radio station in the Phoenix metropolitan area that broadcasts classical music 24/7. The station is licensed to the Maricopa Community Colleges and Arizona State University.KJZZ also operates SPOT 127, two youth media centers that empower low-income and at-risk teens to find their voice and engage with their communities through audio, photo, and video storytelling. SPOT 127 provides teens in west Phoenix and north Tempe the opportunity to learn digital media skills during after-school hours.Soundbite combines the functions of a food truck, mobile production studio, and live performance venue into a 40-foot-long custom truck. FPRAZ collaborates with The Short Leash to operate the food service side of Soundbite, while KJZZ records and transmits live music, standup shows, or interviews.			
Victim Witness Services for Coconino County	http://vwscoconino.org		EIN 86-0481748	201 E Birch Ste 4	Flagstaff	AZ	86004	USA	Human Services,Victims Services									
Arizona Humane Society	http://azhumane.org	602-997-7585	EIN 86-0135567	1521 W. Dobbins Road	Phoenix	AZ	85041	USA	Animal Protection & Welfare,Animals,Veterinary Services	Our mission is to improve the lives of animals, alleviate their suffering, and elevate their status in society. We safeguard, rescue, shelter, heal, adopt and advocate for animals in need, while inspiring community action and compassion on their behalf.		Homeless, injured, abused, and unwanted animals		Arizona	AHS' programs include shelter services and adoptions, low-cost spay-neuter services, and the Second Chance Animal Hospital, where animals receive life-saving veterinary care before being placed up for adoption. As the state-designated companion animal disaster response organization for Arizona, we provide emergency services to companion animals in natural disasters. On a local basis, we also provide animal paramedic services, rescue animals from cruelty or neglect, and lobby for more stringent animal welfare laws. We also offer temporary housing for the animals of domestic violence victims, military personnel and individuals facing a short-term personal crisis.			
Animals Benefit Club Of Arizona Inc	http://	(602) 867-2169	EIN 94-2915092	3111 E Saint John Rd	Phoenix	AZ	85032	USA	Animal Protection & Welfare,Animals	To rescue, rehabilitate and adopt abandoned, abused or unwanted animals.					Operation of a "no kill" animal sanctuary and activity center providing veterinary care and rehabilitation for over 50 cats and 40 dogs at a time. Adoption services to qualified homes. Successfully placed 8 cats and 98 dogs this year. Also runs rescue program to capture & rehabilitate dogs living on the streets of phoenix & the surrounding cities thereby reducing the continual breeding of these animals. We also assist & counsel other rescue groups as well as members of the community on stray dog rescue.			
Kino Border Initiative Inc	http://www.kinoborderinitiative.org	(520) 287-2370	EIN 26-3623357	Po Box 159	Nogales	AZ	85628	USA		To engage in a bi-national apostolic effort to foster education and pastoral formation regarding the position of the roman catholic church on migration and social teachings; to implement socio-pastoral outreach programs on both sides of the border of the united states and mexico; and to engage in research and advocacy to document and address the plight of displaced persons and to implement programs to address their spiritual and temporal needs.					Humanitarian assistance: the kino border initiative offers immediate assistance and pastoral accompaniment to migrants who have been deported from the us by offering meals, basic medical assistance, clothing, and safe room and board to women and children who are vulnerable to exploitation and abuse.  education and formation: the kino border initiative offers workshops and leads discussions on local border reality in light of the christian faith and catholic social teachings. They also offer curriculum appropriate for short-term immersion groups from parishes, high schools, and universities.  research & advocacy: working with committed individuals from regional universities and nonprofit organizations, information is collected on the border reality and collaboration is made with international organizations that advocate on behalf of fundamental human rights and comprehensive immigration reform.			
Sedona Historical Society Inc	http://www.sedonamuseum.org	928-282-7038	EIN 86-0501283	735 Jordan Rd	Sedona	AZ	86336	USA	Arts & Culture,Historical Organizations	The Sedona Historical Societys mission is to research, preserve and teach the history of the greater Sedona area.					Preservation, education and research of the history of arizona and sedona preservation, education and research of the history of arizona and sedona			
HELPING HANDS FOR SINGLE MOMS	http://www.helpsinglemoms.org	602-796-7875	EIN 68-0489835	P O BOX 7737	Glendale	AZ	85304	USA	Women,Womens Service Clubs	Helping Single Moms Obtain a College Education and Financial Independence				Maricopa County	Assistance to single mothers in attaining the education and job skills that will empower them to provide for themselves and their families			
Barry Goldwater Institute for Public Policy Research	http://www.goldwaterinstitute.org	(602) 462-5000	EIN 86-0597661	500 E Coronado Rd	Phoenix	AZ	85004	USA	Education	The Goldwater Institute is an independent government watchdog supported by people who are committed to expanding free enterprise and liberty. The Institute develops innovative, principled solutions to pressing issues facing the states and enforces constitutionally limited government through litigation. The Institute focuses its work on expanding economic freedom and educational opportunity, bringing transparency to government, and protecting the rights guaranteed to Americans by the U.S. and state constitutions. The Goldwater Institute was founded in 1988 with Barry Goldwaters blessing.					The Goldwater Institute publishes research, and hosts policy forums, lectures, luncheons, and other events with the goal of advancing ideas that benefit all Arizonans.			
Kingman's Healing Hooves	http://www.kingmanshealinghooves.com	928-279-7581	EIN 35-2439100	4390 N. Glen Rd	Kingman	AZ	86409	USA	Animal Protection & Welfare,Animals	Our mission is to improve the minds, bodys and spirits of children and adults with disabilities through equine-assisted therapeutic riding. Joy can heal in so many ways and we strive to help in the healing process for family and friends of the special needs client.	Marked progress with cognitive development, improved muscle control, confidence, and most of all self esteem.	youth and adults with mental and physical challenges to build self esteem and confidence through the use of horses.	20 special needs youth and 5 special needs adults.	Kingman Az	We are a 501(c)3 facility, Mohave County's PREMIER Therapeutic Riding Program. Services for ages 3-90, from wheelchair dependent to able bodied.We offer services for those ranging from (including but not limited to): ADD, ADHD, Soto's Syndrome, PTSD, all spectrum of Autism, Down Syndrome, and varied physical disabilities. We are the only facility in Mohave County equipped to safely work with limited range of motion clients, including para and quadriplegic riders. Our state of the art hoist system coupled with back support saddles enable us to accommodate all riders in a safe and therapeutic environment.We have also paired with Mohave County Probation Department with their Division Program.			
Animal Adoption Center Of Rocky Point Inc	http://		EIN 04-3736270	Po Box 1031	Lukeville	AZ	85341	USA	Animal Protection & Welfare,Animals									
Rogue Theatre	http://		EIN 20-2501781	300 E University Blvd Ste 150	Tucson	AZ	85705	USA	Arts & Culture,Theater	To provide challenging theatre for the Tucson community								
Kurt Warner First Things First Foundation	http://		EIN 43-1921463	1 N 1st St Ste 730	Phoenix	AZ	85004	USA	Philanthropy,Public Foundations	PROMOTE EDUCATION, PROVIDE TANGIBLE GOODS TO ECONOMICALLY DISADVANTAGED CHILDREN, FAMILIES AND OTHER PERSONS, COORDINATE WITH CORPORATE SPONSORS TO PROVIDE UNFORGETTABLE EXPERIENCES FOR CHILDREN WITH DISEASE (PHYSICAL OR MENTAL), PARTNER WITH HOSPITALS TO ASSIST IN THE CREATION OF RECREATIONAL AREAS IN HOSPITALS FOR CHILDREN BATTLING LIFE-THREATINING DISEASES AND PROMOTE CHRISTIAN VALUES.								
B-26 Marauder Historical Society	http://B-26MHS.org	5203226226	EIN 31-1253622	3900 E Timrod St	Tucson	AZ	85711	USA	Arts & Culture,Historical Organizations									
Childhelp Inc	http://www.childhelp.org	(480) 922-8212	EIN 95-2884608	4350 E Camelback Rd	Phoenix	AZ	85018	USA	Child Abuse Prevention,Children & Youth,Children & Youth Services,Crime & Law,Domestic Violence,Foster Care,Hot Lines & Crisis Intervention,Mental Health	Childhelp exists to meet the physical, emotional, educational and spiritual needs of abused, neglected and at-risk children. We focus our efforts on advocacy, prevention, treatment and community outreach.					Residential - the childhelp merv griffin village in beaumont, california, and the childhelp alice c. Tyler village in lignum, virginia are childhelp's long-term residential treatment facilities. These facilities house child victims of severe neglect and abuse who require special attention with regard to behavioral and emotional well-being. Combined, the two villages housed an estimated 270 children and provided over 9,000 services last year. These villages are located in rural settings allowing the program to utilize treatment such as animal assisted therapy, art therapy and organized wilderness activities (over 300 recreational therapeutic activities). Other childhelp residential facilities include group homes in california.  advocacy/diagnostic - childhelp provides advocacy and education for issues of child abuse, neglect and at-risk children and youth. Childhelp's advocacy programs include child advocacy centers, which provide a one-stop location for integrated services from law enforcement, county social service agencies, pediatricians and trauma-focused mental health therapists. Childhelp has advocacy centers in arizona, colorado, tennessee and virginia and a mobile advocacy unit in northern arizona. In fiscal year 2014, these advocacy centers provided services to over 9,000 children and worked on more than 3,000 new cases of suspected child abuse. Education services include childhelp's public awareness and education initiatives such as the childhelp's speak up be safe(r) virtual learning portal for personal body safety program reaching children in 40 states and 10 countries and reaching at least 50,000 children. Childhelp outreach and awareness facilities include childhelp community center in avondale, arizona, which served more than 1,100 children and adults in the fiscal year ended in 2014. Additonally the merv griffin village in beaumont, california, provided non public school education to over 300 children, and alice c tyler village in lignum, virginia, provided non public school education to over 300 children.  education - the childhelp non-public schools (nps) of merv griffin village in beaumont, california and the alice c. Tyler village in lignum, virginia cater to children who require a therapeutic environment as a component of their elementary or secondary education. The non-public schools serve students with extreme emotional disturbances that cannot be accommodated in a public school. The non-public schools provide high quality supervision, structure and individual programming designed to transition the child to a functional level in society. The two schools served approximately 850 students in the fiscal year ended in 2014 with a combined capacity of more than 180 students.			
Ear Candy Charity	http://www.earcandycharity.org	480-965-3477	EIN 26-1477597	200 E Curry Road Lower Level	Tempe	AZ	85281	USA	Arts & Culture,Children & Youth,Education,Music,Primary & Elementary Schools,Youth Development	Providing youth access to music education.	We are on track to IMPACT well over 15,000 youth each year in Arizona and we are actively working on expanding our sustainable community driven model to other areas of the country.	Children and Youth		Arizona and currently working on expanding to other areas of the country	1.) Online Instrument Drives connects Music Teachers with Instrument & Financial Donors to place high quality, refurbished instruments in the hands of their students. Old instruments become the solution to music education by getting a New life!2.) Play It Forward is a service learning program that equips any group with the tools, training, and mentoring they need to create and host their own physical Instrument Drive. From businesses, schools, civic groups, places of worship, associations and clubs...Wherever there is a collection of passionate individuals who want to help give youth access to music education, there is a Play It Forward Instrument Drive ready to be launched!3.) Backstage Class music-based field trips expose youth to the other side of music education, through once in a lifetime opportunities to experience music in unique and impactful ways. The goal of Backstage Class field trips is to inspire youth to think differently about career opportunities available to them through the appreciation of music and culture.			
Alport Syndrome Foundation Inc	http://www.alportsyndrome.org	(480) 800-3510	EIN 20-8237159	1608 E Briarwood Ter	Phoenix	AZ	85048	USA	Birth Defects & Genetic Diseases,Health,Kidney Diseases,Patient & Family Support,Specifically Named Diseases Research	The foundation was created to educate and support patients and families that have been affected by this genetic kidney disease with a goal of funding research, to find more effective treatment protocols and to ultimately find a cure.					1. Awarded research funding to dr. Stefano da sacco of the childrens hospital of los angeles for his one-year study that will continue the research into podocyte influence in alport syndrome. His project was podocyte response to injury in alport syndrome an answer from human amniotic fluid kidney progenitors. Support of dr. Clifford kashtan, university of minnesota medical foundation for the expansion and continuation of the alport syndrome treatments and outcomes registry.  sponsored or co-sponsored two international research workshops in both philadelphia, pa and oxford university, uk with researchers, physicians and pharma in attendance resulting in continued international collaboration and expanding interest into alport syndrome research.  attended and exhibited at the american society of nephrology kidney week in philadelphia, pa in november 2014 increasing awareness and distributing educational information to the over 13,000 medical and research community attendees. Met with members of the asf medical advisory committee and key researchers to discuss 2014 performance and plan for 2015. Participated in the first kidney patient summit on capital hill with 13 other kidney organizations organized by the national kidney foundation.			
New Age Study Of Humanitys Purpose	http://www.eraofpeace.org	(520) 885-7909	EIN 86-0510717	8247 E Brent Pl	Tucson	AZ	85710	USA		Provide educational services					Provide educational seminars			
Golden Bone Rescue And Rehab	http://		EIN 20-3178708	Po Box 2547	Sedona	AZ	86339	USA	Animal Protection & Welfare,Animals									
Flagstaff Family Food Center	http://hotfood.org	(928) 774-3188	EIN 86-0754044	Po Box P	Flagstaff	AZ	86002	USA		Provide meals for those in need.					Family food service to those in need			
Sunshine Rescue Mission	http://www.srm-hc.org	928 774 3512	EIN 86-0264747	PO Box 426	Flagstaff	AZ	86002	USA	Christianity,Religion	PROVIDING A HAND UP AND OUT OF HOMELESSNESS FOR OVER 57 YEARS!Over the years, Sunshine Rescue Mission Inc.has shared the love of Christ Jesus in Word and deed to the many weary souls who came to us for help. Providing guidance, ministry, and meals to anyone in our community who needed a helping hand!	This Flagstaff institution has provided food and shelter to homeless men, women and children in Flagstaff when no one else did. We currently house 150 to 200 men, women and children every night and feed 200 to 250 everyday of the week. We also provide transitional housing and training.  We are more than a shelter... We provide resources to help our guests break the cycle of homelessness.	The Homeless	Provided over 30,000 bed nights of shelter at our facilities	Flagstaff, Arizona	Hope Cottage (our women and children's facility), The Mission (our men's temporary housing facility and community outreach center) and Dorsey Manor (our men's transitional program).			
HIMALAYAN AID	http://		EIN 27-2620691	PO Box 1164	Flagstaff	AZ	86002	USA	Human Service Organizations									
Chicanos Por La Causa, Inc. (CPLC)	http://www.cplc.org	602.257.0700	EIN 86-0227210	1112 E. Buckeye Rd.	Phoenix	AZ	85034	USA	Economic Development,Human Service Organizations	Chicanos Por La Causa (CPLC) is a community development corporation committed to building strong, healthy communities as a lead advocate, coalition builder and direct service provider. CPLC promotes positive change and self-sufficiency to enhance the quality of life for the benefit of those we serve.			100,000	State of Arizona	Neighborhood stabilization program:this is a federally funded program being used to stabilize and revitalize neighborhoods that have been negatively impacted by foreclosures, the program purchases and rehabilitates foreclosure or abandoned properties and resell these properties to income-qualified individuals.  health & human services - (includes, carl hayden 17, domestic voilence 35, elderly services 46, parenting arizona 47, hiv 53, immigration services 55, workforce training 60 & 63, migrant headstart 70, early headstart 73, tucson youth 92, phoenix emergency services 93):de colores is a domestic violence shelter that serves woman and children fleeing violent relationships. The shelter was opened in 1986 with 16 beds. Today de colored has 58 beds for the crisis program and 42 beds for the transitional living program. The staff is bi-cultural/bi-linual and specializes in serving monolingual spanish speaking women. The program provides all of the basic needs for the families living in the crisis program. For the families living in the transitional program the shelter provides apartments and training that will assist them as they begin their journey toward healing and independence. The shelter serves approximatley 430 clients annually with majority being children. The average number of children entering with their mother is four. The shelter provides services for both the women and children that have been created to be relevant for the latino population. The shelter is funded by a variety of sourced including government, foundations, and individual donations. Elderly services: cplc addresses the needs of arizona. S growing senior population, a comprehensive, center based proram that offers advocacy and case management services, which include but are not limited to medical checkups, safe transportation, recreation, entertainment, and companionship. Parenting arizona: cplc parenting arizona provides positive parent education to all arizona families through home visitation, parenting classes, community outreach, school based and after school programs. The program serves over 16,900 participants annually through national/international certified professional staff and uses numerous evidence based curriculums such as "parents as teachers", "triple p", and "parenting and nurturing parent". The program has an extensive statewide collaboration effort with partner agencies and support through the use of over 5000 volunteer hours annually. Immigration services provides affordable and comprehensive case management in various immigration procedures. Staff is fully trained in immigration law and procedures and provides the support necessary to ensure that the needs of every individual case are met. The program has been serving the somerton community since 1978. Workforce development: cplc workforce development center has been in operation for 30 years, its mission is to strengthen the local workforce and help constituents improve their quality of life. This is accomplished by helping individuals who are underemployed unempolyed find gainful employment. The wdc highly motivated bi-lingual staff help customers with all aspects of obtaining and keeping a job. Program staff work closely with local employers to ensure they fulfill their hiring needs, which provides great employment opportunities for the many participants who seek employment assistance. Workforce development serves people in need of various services including general education classes (ged), occupational training, job placement assistance and support services. The center resource room provides out clients access to internet ready computers, current job listings, job fair information, fax machine, telephone and resume writing assistance. In addition to the self-service aspect of the operation, the center also has a strong network of employers who utlize the services of the center to recruit employees. The center offers services that revolve around education, employment, and training. Arizona migrant & seasonal head start:this is a federally-funded, early childhood education program that isavaiable to migrant and seasonal families and serves children from 6 weeks old to six years old. The program is individuaized, multi-cultural and utlizes appropriate developmental practices. Children learn to be self directed and interact in group settings. Staff develop partnerships with parents to involve them as the prime educator in the development of their children. The program serves over 900 children and familes annually. Early headstart: this is a federally-funded, community-based program for low-income pregnant women, infants, toddlers and their families. The focus of this program is to promote healthy prenatal outcomes for pregnant women, enhance the development of very young children, and promote healthy family functioning. Youth and community services (cplc communtiy center in phoenix and tucson youth center) is an after-school resource facility and summer recreation center for youth in grades 4 through 12. Activities and resources aim to provide educational support, promote positive attitudes and interpersonal relationships, and create a safe and supportive environment. Emergency services: an assistance program that helps eligible individuals and families in crisis obtain assistance for needs that fall outside of cplc's program areas to enable them to overcome emergencies such as funeral expenses, health care, rent, and basic needs like clothing and food. Misc closed programs includes promesa 44, mag 19, hiv 53 behavioral health services (centro 48, corazon 49):cplc offers outpatient behavioral health services to families, adults, children, and adolescents; shelter and services for women who are victims of domestic violence, hiv behavioral health and treatment pre-natal care to south phoenix women. Centro de la famila-program provide psychiatric evaluations, medication management, couseling services, marriage and family counseling, group counseling and case management for children and adults. Ryan white case services- (part of centro) the program has two basic components, behavioral health treatment and targeted outreach to the latino community. The cast majority of the clients that we provide servies to are latino, individuals who are predominantly spanish-speaking and who are uninsured or underinsured. Corazon is a licensed level ii residential substance abuse treatment center for men over the age of eighteen. Corazon has been providing services to the community since 1983. The center currently has 41 beds for in patient services and 17 beds for the six month transitional living program. The center specializes in providing substance abuse treatment in an environment that is culturally sensitive and inclusive. Corazon utilizes a variety of treatment modalities, integrating identified best practices with traditional healing activities. Corazon provides the tools necessary for the men to be successful as they pursue a life long challenge to live free of substance abuse. Between both programs approximately 250 clients are served annually by corazon programs.			
Tucson Audubon Society	http://www.tucsonaudubon.org	(520) 629-0510	EIN 86-6053779	300 E University Blvd Ste 120	Tucson	AZ	85705	USA	Animals,Bird Sanctuaries,Environment,Land Resources Conservation,Natural Resources Conservation & Protection	To promote the protection and stewardship of southern arizona's biological diversity through the study and enjoyment of birds and the places they live.					Tucson audubon society promotes the protection and stewardship of southeast arizonas biological diversity through the study and enjoyment of birds and the places they live. We work to connect the people of southeast arizona to their natural world through birds so they will protect and use our natural resources in a responsible and sustainable manner. Founded in 1949, tucson audubon society is southeast arizonas leading nonprofit engaging people in the conservation of birds and their habitats. We involve people through recreational birding, extend their horizons through education activities and engage them in conservation actions from planting trees and counting birds, to working with local, state and national policy makers. Some of tucson audubons work includes: in february 2014, tucson audubon society took title to the paton center for hummingbirds from the american bird conservancy, which purchased it from the family. This unique and special place will now be preserved for generations to come as a place where people from all over the world can come to see rare birds. For over thirteen years, tucson audubon has been coordinating the arizona important bird areas (iba) program as part of a global initiative to identify the most important sites for native birds throughout the world. As one of the most active and involved iba programs in the united states, the arizona program stands out for its data-driven approach and impressive volunteer participation. Four years ago, tucson audubon began coordinating the annual tucson bird count. This count successfully completed its 15th annual urban bird count in the spring of 2014. Tucson audubon coordinated this citizen-science effort with a strong conservation goal. In 2015, on behalf of the forest service, tas conducted surveys of yellow billed cuckoos throughout southeast arizona sky islands, leading to additional critical habitat designations. Tas regularly partners with federal agencies to conduct citizen-science research on birds and their habitats. The tas restoration team collaborates with area ngos, state and federal governments, and private entities to restore lands to suitable bird and wildlife habitat. Tas engagement staff worked with area youth, particularly those from disadvantaged circumstances, to learn about, enjoy and experience the natural world, especially birds. Tas field trip programs offer hundreds of people of all ages the opportunity to observe and experience birds and their habitats in their natural settings throughout southeast arizona and beyond. Tas adult education programs provide engaging and informative programs for adult learners.			
YOUNG ARTS ARIZONA LTD	http://www.youngartsaz.org	602-852-3605	EIN 86-0933814	2009 N 7th Street	Phoenix	AZ	85006	USA	Arts & Culture,Arts Education,Children's Museums,Children & Youth,Youth Development	Increasing the self-concept of challenged children through art creation and exhibition. Young Arts Arizona Ltd. is dedicated to:Serving challenged children through the artsMaking childrens art accessible to the community through public exhibition.Empowering children who are ill and at risk to achieve their full potential through artistic expression, art education, and exhibition of their art. Providing quality art programming, exhibition, advocacy, and accessibility for children and the Arizona community.	Since 1998, Young Arts Arizona  has served children and the community by exhibiting children's art in public galleries. In 2002 YA began offering children's art workshops in detention centers, and in 2007 in medical facilities. Now, Young Arts exhibits children's art in 28 galleries in Arizona. Children's art is provided through collaboration with 37 social agencies, 3 school districts, 49 local schools, and our art workshops. In 17 years, 24,500 pieces of art in 900+ exhibits have been seen by more than 15.5 million audience members.	children who arechildren who are sick, abused, homeless,  disabled, detained, and more	2621 children through art making and exhibition. 1,231,420 audience members	Phoenix, Arizona	art workshops for underserved children and the exhibition of their art.			
Cactus Cats Rescue	http://www.catuscats.net	480-814-8801	EIN 72-1616382	PO Box 50673	Phoenix	AZ	85076	USA	Animal Protection & Welfare,Animals	Our mission is to find loving homes for our adoptable cats and help educate the public on the care, safety and need to have their pets spayed or neutered.		Homeless cats and Kittens	over 280 cats find new homes	Arizona	Cactus Cats Rescue is a a non-profit 501(c)3, rescue organization. We are a group of volunteers, most of whom have been in the rescue 'business' for 30+ years. We are dedicated to finding forever homes for every kitty! All of our kitties reside in foster homes with knowledgable and caring foster parents and their families. We work closely with other rescue groups and animal shelters and all of your donations are tax deductible!			
Cystic Fibrosis Foundation	http://		EIN 86-0185398	Arizona Chapter 3800 North Central, Ste 700	Phoenix	AZ	85012	USA										
Yavapai Association For The Blind And Visually Impaired Inc	http://	(928) 778-0055	EIN 86-0392327	8123 E Manley Dr	Prescott Valley	AZ	86314	USA	Eye Diseases, Blindness & Vision Impairments,Health	Provide services for the blind and visually impaired.					We provide programs that assist blind and visually impaired participants in coping with their disability. We also provide social and therapeutic activities for all ages. Approximately 200 clients are served with an average age of 65 years.			
Dancers and Health Together Inc	http://www.dahtinc.org/		EIN 27-1640171	P.O. Box 13303	Phoenix	AZ	85002	USA	Arts & Culture,Dance,Health,Rehabilitative Care	To present opportunities that develop awareness of the mind and body connection through dance.	We have introduced thousands of people of all ages, sizes, and abilities to the benefits of connecting the mind and body through dance.	Everyone		The Phoenix Metro Valley and Texoma areas.	We present workshops for trained dancers, programs for children with special needs, classes for people who want to access their health through dance, and an annual showcase to show the public all the great styles of dance that exist in Arizona.			
Phoenix Metropolitan Opera	http://	866-OPERA4U	EIN 20-4517566	3120 W Carefree Hwy Ste 106	Phoenix	AZ	85086	USA	Arts & Culture,Opera	The Phoenix Opera has been established to perpetuate the performance of professional opera in the Greater Phoenix Metropolitan Area. Founded by John Massaro and Gail Dubinbaum, the success of Phoenix Ooera will stem from presenting a consistent artistic vision: the promotion and performance of traditional operatic productions, drawn from a repertoire of popular works from the late 18th through early 20th centuries that continue to delight audiences throughout the world. Phoenix Opera's success will also stem from a strong business model with an absolute commitment to fiscal responsibility, exceptional marketing, effective fund raising, innovative educational outreach activities and the cultivation of new audiences throughout the Greater Phoenix Metropolitan Area.	This is our fifth full season	All ages	17500		Year-round events that partner Phoenix Opera with several for profit and not for profit organizations.			
HALO Animal Rescue	http://www.halorescue.org	602-971-9222	EIN 86-0832160	2500 South 27th Avenue	Phoenix	AZ	85009	USA	Animal Protection & Welfare,Animals	Our mission is helping animals live on through increased adoptions, sterilization, and pet care education.	In 2013, HALO Animal Rescue was helped 7,037 homeless dogs and cats find loving forever homes.	rescue, rehabilitate and find forever homes for homeless pets	7,037 dogs and cats find loving forever homes.	Phoenix, AZ	dog and cat adoptions to the public. HALO Animal Rescue rescues animals in danger of euthanasia for treatable or manageable conditions. All animals are medically treated, vaccinated, spayed/neutered, and microchipped before adoption.			
