name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served	Results		 
Pusong Pinoy (Heart of a Filipino)	http://www.pusongpinoy.org		EIN 27-4533351	3233 Grand Avenue, Suite N-521	Chino Hills	CA	91709	USA	Children & Youth, Children & Youth Services	Pusong Pinoy.Org is committed to assisting various organizations that have effective programs designed to advance the well-being of disadvantaged children, especially in the areas of education, healthcare, and social services,  with primary focus on promotion of literacy through reading.	Book Drive, School Supplies Project, Food Drive, Christmas Project, Birthday Project	low-income children in the Philippines.			We are a 100% volunteer group.  Donations will help fund our current projects.  Please visit our website (http://www.pusongpinoy.org) to see projects that we've completed to date.		
Operation Freedoms Paws	http://operationfreedomspaws.org		EIN 45-2566382	777 First Street Pmb 515	Gilroy	CA	95020	USA	Military & Veterans Organizations, Veterans								
Youth Mentoring Connection	http://www.youthmentoring.org	(323) 525-1049	EIN 95-4845105	1818 S Western Ave Ste 505	Los Angeles	CA	90006	USA	Adult & Child Matching Programs, Children & Youth, Education, Educational Services, Mental Health, Substance Abuse Prevention, Youth Development Programs	To mentor and connect with "at-risk" youth in order for them to be a productive part of society	Youth mentoring connection (ymc) operates facilitated mentoring programs in partnership with corporate worksites, schools, municipalities, and community agencies throughout los angeles. Our primary focus is to generate innovative new mentoring programs that are site-based and have a group dynamic. We then combine life-skills training with the development of supportive relationships between adults and youth. This currently manifests itself in the following types of programs: - work site mentoring - school site mentoring - youth center programs - school-to-work programs - life skills workshopsin addition, we serve the mentoring community by offering: - program coordination - technical assistance - mentor tips e-mail campaign						
ACTERRA: Action for a Healthy Planet	http://www.acterra.org	650-962-9876	EIN 23-7064937	3921 E Bayshore Rd	Palo Alto	CA	94303	USA	Environment	Acterra brings people together to create local solutions for a healthy planet	The Business Environmental Awards program recognizes and celebrates the accomplishments of businesses with innovative sustainable programs.  The program also recognizes leaders in the industry, and provides an educational forum that increases awareness and motivates all companies to adopt sustainable business practices.  The Energy and Climate Program helps communities take action to reduce global warming by making their homes more energy efficient. We train volunteers, host energy and climate workshops, and create awareness of sustainable living practices.   Our Public Lecture Series provides innovative and motivating lectures that build awareness of emerging environmental issues and solutions from leading thinkers in industry, government and nonprofits.  Our new Go EV Program educates the public on how electric vehicles are a key to accelerating the shift from fossil fuels to a renewable energy economy.  Acterra provides our constituents with the tools, information, and support they need in order to "Go EV." Program activities include workshops, Ride and Drive Events, and an EV Ambassadors program.	Acterra inspires action to protect our local environment, and the entire planet	500 individuals learn about environmental issues that face our planet and our region, and solutions that they can take part in to slow climate change and reduce their carbon footprint.  We honored 9 organizations throughout the Bay Area for for their unique and important sustainability practices.   From their stories, we can educate hundreds of local businesses on how to improve their own sustainability efforts.	Bay Area			
Sunnyvale Community Services	http://www.svcommunityservices.org	408-738-4321	EIN 94-1713897	725 Kifer Rd.	Sunnyvale	CA	94086	USA	Emergency Assistance, Human Services	To prevent homelessness, utility disconnections, untreated medical problems, and hunger for low-income families and seniors facing temporary crises.		Low-income families, seniors, and persons with disabilities	7,500	Sunnyvale residents and homeless clients	Our proudest accomplishments are providing financial aid and food to every qualified family/senior, turning no one away because we lacked the resources to help them. However, we did so by the skin of our teeth.  Four years ago, we distributed $390,000 of financial aid; last year, $610,000. Four years ago, we distributed $660,000 of food; last year, $1,335,000. After expenses over $2.6 million, we ended the fiscal year with $5,750 left over. Need continues to escalate. and we continually try to raise more money and to obtain more food to meet the most basic needs of the low-income clients we serve.		
Los Angeles Maritime Institute	http://www.lamitopsail.org/	310-833-6055	EIN 33-0515416	Berth 73 Suite 2	San Pedro	CA	90731	USA	Children & Youth, Crime & Law, Human Services, Marine Science & Oceanography, Recreation & Sports, Sports, Technology, Youth Violence Prevention	The Los Angeles Maritime Institute (LAMI) serves to empower youth to discover their greater potential through extraordinary at-sea experiences aboard the tall ships Irving Johnson and Exy Johnson. Sail training uses the experience of being at sea, as part of the ship's crew, as a means to help youth learn about themselves, discover hidden strengths and talents, understand the value of working as a team, and develop 21st century leadership skills.	TopSail Youth Program, Student Ocean Scientist Program, Science at Sea Programs, Volunteer Youth Crew Program, Boat Building Program, Adventure Learning Voyages to Channel Islands.	young people develop the problem solving and leadership skills needed for adult life, and discover maritime and marine biology career paths.	3,500 youth	Title 1 schools and socio-economically challenged communities throughout Los Angeles County.	Sail training requires youth to confront many demanding challenges, both physical and emotional. It inspires self-confidence and personal responsibility. It promotes an acceptance of others whatever their social or cultural backgrounds, and develops a willingness to take controlled risks. For most youth who undertake sail training on a Tall Ship, it is a positive life-changing experience.   Since our founding in 1992, we have served more than 60,000 youth in under-served communities throughout the Greater Los Angeles Area with transformational experiences at sea.		
ProCon.org	http://www.procon.org	310-451-9596	EIN 57-1210185	233 Wilshire Blvd Ste 200	Santa Monica	CA	90401	USA	Citizen Participation, Education	"Promoting critical thinking, education, and informed citizenship by presenting controversial issues in a straightforward, nonpartisan primarily pro-con format."	The pros and cons of 50+ issues at www.procon.org. You get nonpartisan content, free of charge, fully sourced, transparent, and with no agenda other than to promote critical thinking, education, and informed citizenship.	As many people, including students and seniors, as we can reach	23.3 million readers. For every one dollar spent at ProCon.org, over 26 people get a free education on our website.	Everywhere people have access to the Internet	We had 23.3 million unique visitors in 2015 (100+ million since we started). We have provided free educational resources to over 7,000 schools in all 50 states (and more than 85 countries), and helped 2,000+ media entities, 20+ foreign governments, and 30+ state governments with our nonpartisan research.  Our reader survey showed that 36.7% of readers changed their "perceptions, feelings, or opinions on an issue based on what they learned at ProCon.org. 74.1% reported that ProCon.org helped them to "think more critically, make better judgments on the subject matter, or see issues in a new light."		
LifeChronicles	http://www.lifechronicles.org	805-682-3411	EIN 77-0256868	113 W. Mission St.	Santa Barbara	CA	93101	USA	Arts & Culture, Family Services, Film & Video	The services that LifeChronicles provides were inspired by an experience of our founder, Kate Carter. A recently widowed friend of Kate was diagnosed with cancer and told she had a short time to live. Kate was concerned that her friend's three children would lose the memories of their father and mother. This concern inspired Kate to speak to her friend about making a video to deliver messages of love, sharing her stories and passing on advice for the future. Although Kate's friend passed before they had a chance to tape her, from this experience LifeChronicles was born.   Through videotaping individuals and families across the country, LifeChronicles strives to preserve the memory and essence of individuals, to tell the stories that could have gone untold and to solidify the bonds between people. With the help of our youth volunteers, LifeChronicles has served over 1,200 families in 38 states and 250 cities who have found a need for our video-recordings in a variety of similar situations.	By videotaping an elderly family member or a seriously ill loved one.	families heal and connect	families across the United States.	Everywhere	We are now creating a certification program after requests from major medical and hospice institutions wishing to be trained to provide our experience and expertise so their patients will have a LifeChronicle whenever needed.		
Kiva.org: Loans that Change Lives	http://www.kiva.org	(415)-358-7500	EIN 71-0992446	3180 18th Street Suite 201	San Francisco	CA	94110	USA	Economic Development, International, International Economic Development, Microfinance, Promotion of International Understanding	Kiva's mission is  to connect people through lending for the sake of alleviating poverty.  Kiva is the world's first person-to-person micro-lending website, empowering individuals to lend directly to unique entrepreneurs in the developing world.  The people you see on Kiva's site are real individuals in need of funding - not marketing material. When you browse entrepreneurs' profiles on the site, choose someone to lend to, and then make a loan, you are helping a real person make great strides towards economic independence and improve life for themselves, their family, and their community. Throughout the course of the loan (usually 6-12 months), you can receive email journal updates and track repayments. Then, when you get your loan money back, you can relend to someone else in need.  Kiva partners with existing expert microfinance institutions. In doing so, we gain access to outstanding entrepreneurs from impoverished communities world-wide. Our partners are experts in choosing qualified entrepreneurs. That said, they are usually short on funds. Through Kiva, our partners upload their entrepreneur profiles directly to the site so you can lend to them. When you do, not only do you get a unique experience connecting to a specific entrepreneur on the other side of the planet, but our microfinance partners can do more of what they do, more efficiently.  Kiva provides a data-rich, transparent lending platform. We are constantly working to make the system more transparent to show how money flows throughout the entire cycle, and what effect it has on the people and institutions lending it, borrowing it, and managing it along the way. To do this, we are using the power of the internet to facilitate one-to-one connections that were previously prohibitively expensive. Child sponsorship has always been a high overhead business. Kiva creates a similar interpersonal connection at much lower costs due to the instant, inexpensive nature of internet delivery. The individuals featured on our website are real people who need a loan and are waiting for socially-minded individuals like you to lend them money.	Kiva.org is the first person-to-person micro-lending Web site, creating a way for individuals to connect with and make personal loans to small businesses in developing countries.  Kiva.org partners with microfinance institutions across the globe, giving them access to Kiva.org's website to post their funding needs for loans to micro-entrepreneurs.  Individuals across the globe fund these loans by sending payment via PayPal.  Repaid loans are returned to individual lenders. Kiva.org's ultimate beneficiaries are micro-entrepreneurs who need a loan to start or expand a small business.  Kiva.org's secondary beneficiaries are microfinance institutions for whom Kiva.org both provides an additional source of debt capital and provides an average 9% savings on their cost of capital.  Finally, Kiva.org provides a way for individuals to connect with micro-entrepreneurs around the world and directly participate in microfinance.	Impoverished entrepreneurs in the developing world	>40k entrepreneurs	Global	Time since launch (January 2006): 30 months  Loans: $37 million, growing $1 million every 10 days  Lenders: 270 thousand people from +70 countries  Borrowers: 40 thousand entrepreneurs from +40 countries  MFI Partners: 100 MFIs, growing at 3 a month  Traffic: +100 thousand visitors / week  Activity: Loan made every 37 seconds  Risk: 97% active loans on time / 1.72% default rate (all partners)  Org Size: 30 employees / +400 volunteers   Leverage: Platform raises $8 for every $1 in expenses.  Goal: $1 Billion from 10 million lenders in 5 years.  Total value of all loans made through Kiva:    $37,281,060  Number of Kiva Lenders: 320,425  Number of loans that have been funded through Kiva: 52,847  Percentage of Kiva loans that have been made to women entrepreneurs: 77.20%  Number of Kiva Field Partners (microfinance institutions Kiva partners with): 89 (growing 3 a month)  Number of countries Kiva Field Partners are located in: 42  Current repayment rate (all partners): 98.28%  Average size of loan for funding: $480.44  Average total amount loaned per Kiva Lender (includes reloaned funds): $116.74  Average number of loans per Kiva Lender: 3.03		
Parents Education Network	http://www.parentseducationnetwork.org	415-751-2237	EIN 43-2008436	6050 Geary Blvd 101A	San Francisco	CA	94121	USA	Developmentally Disabled Centers, Disabilities, Human Services	Parents Education Network (PEN) is a coalition of parents collaborating with educators, students and the community to empower and bring academic and life success to students with learning and attention differences.	Pen brings nationally and locally known speakers to our speaker series lectures, workshops, support groups and national conference (edrevsf) to educate parents, educators and students about the strengths and challenges of students with learning and attention differences. We provide opportunities for our members to connect with each other to share resources and work together for student success.   student advisors for education (safe) is a student community that strives to educate, mentor and support students, parents and teachers regarding the strengths and challenges of students with learning and attention differences(ld). They meet monthly, speak on panels, have written a book and created videos about their experiences as students with ld. They gather annually as a national community at edrev-up to support other students in finding their unique voice in their own educational journeys.   pen is launching a national affiliate program to connect more families, educators and students dealing with learning and attention differences. This community will provide education about the strengths and challenges that accompany these differences, provide models on how to collaborate and include the student voice in conversations around learning differently and support and empower students to find their unique voice to transform their educational journeys.   other program accomplishments include participation in events such as learning & the brain and celebrate dyslexia.			San Francisco Bay Area			
Rest Ministries	http://restministries.com	858-486-4685	EIN 33-0811933	PO Box 502928	San Diego	CA	92150	USA	Christianity, Counseling, Health, Mental Health, Religion, Voluntary Health Associations & Medical Disciplines	RM serves people who live with chronic illness or pain by providing spiritual, emotional relational and practical support. Rest Ministries also equips church in the US to minister to and with the chronically ill. Through programs and resources we seek to transform hurting Christians into disciples and un-believers into Christians who live with faith and hope.	We are Rest Ministries, an encouragement ministry for those with chronic illness.  We provide an oasis of comfort through pain, while nourishing spiritual growth through our peer-to-peer mentoring environment.  We embolden churches to confidently and powerfully reach out to the the invisible community of the chronically ill by teaching churches about the chronically ill's challenges and strengths, through tools, resources, and communication. The result it that a church's good intentions are bolstered into the most efficient ways to, not only reach out to the chronically ill, but to have them become an integral and influential part of your community.  The social network The Sunroom which includes over 4000 people and a variety of programs, HopeKeepers groups in over 300 churches around the world, daily devotionals, articles, and our bookstore http://chronicillnessbooks.com	people with chronic and invisible illness discover the joy and hope that life can hold, despite unpredictability and suffering.					
Wounded Warrior Homes Inc	http://WoundedWarriorHomes.org	760-483-3553	EIN 27-1537405	1145 Linda Vista Dr. #104	San Marcos	CA	92078	USA	Group Homes, Human Services	Provide homes for veterans who served	transitional housing, facilitating continued access to hands-on resources, and a defined path for each member to transition from active-duty military service to independent living as a veteran of foreign wars.	single post-9/11 combat veterans with Traumatic Brain Injury and Post-Traumatic Stress	10 wounded warriors	San Diego County			
Silicon Valley Independent Living Center	http://www.svilc.org	408-894-9041	EIN 94-2332246	2202 N. First Street	San Jose	CA	95131	USA	Centers to Support the Independence of Specific Populations, Civil Rights, Disabilities, Disabled Persons Rights, Human Services	The mission of the Silicon Valley Independent Living Center (SVILC) is to empower people with disabilities by providing advocacy, training, skill development, and services that enhance every individual''s capabilities. SVILC is unique in that it is the only organization in Santa Clara County that offers comprehensive services to individuals with disabilities. It is also the only organization in the area that provides comprehensive services for people with ALL types of disabilities.	SVILC's four core programs: (1) Advocacy, both systems advocacy and teaching consumers self-advocacy skills; (2) Independent Living Skills training, meeting the individual needs of consumers who choose to live independently; (3) Information and Referral, ensuring that consumers with needs beyond what SVILC can provide are served; and (4) Peer Counseling, providing mentorship and training for people with disabilities from people with disabilities.  We also provide: (1) Assistive Technology (AT) services, showing people with disabilities the available technology that can help them succeed both at home and work; (2) Housing and Personal Assistant (PA) services, assisting with everything from direct housing referral/placement to how to hire/manage an in-home personal assistant; and (3) The Olmstead Community Transitions Program, working with individuals to transition from nursing homes and long-term care facilities into community-based housing.	persons of any age with any disabilities	2,366 persons with disabilities by providing services and information and referral.	Santa Clara County	During FY 2011-2012 year, some of SVILC's main accomplishments included:  - Served a total of 526 community members, and 1,898 people received Information &Referral!  - Successfully transitioned 14 individuals from nursing homes and institutions into the community, saving the state and taxpayers $350,000! Brings total to 35 = $875,000 savings!   - At a time when people all over the country are losing their homes, SVILC staff assisted 341 people in their search for accessible, affordable, integrated housing.  - Provided security deposit and rental assistance in the amount of more than $100,000 to over 70 people.  - More than 30 community outreach events throughout the year  - Approximately 20 Board, staff, and community members attended Disability Capitol Action Day in Sacramento on May 23rd  - U.S. Representative Zoe Lofgren cosponsored the ABLE Act (H.R. 3423) on Feb. 3  - Several actions in coalition with the South Bay Partnership  - Helped get the CA Domestic Worker Bill of Rights (AB 889) passed  - Successfully closed the year with a positive balance of $3,085.  - Achieved an unqualified, unconditional audit report!  - Successful leadership of personnel, streamlined organization's hiring process, provided leadership in hiring five qualified and diverse individuals, and revised and updated all staff job descriptions.  - Developed SVILC salary table   - Maintained strong internal fiscal controls and segregation of fiscal duties  - Won a 2012 Top-Rated Nonprofit Award from GreatNonprofits  - The City of Mountain View was the New Location for SVILC's 3rd Annual Disability Pride Parade & Festival and generated $10,000 in unrestricted funding  - New grant funding: SCC Homeless & Transitioning General Funds - $30,000 for Housing, SCAN Foundation for preparing to secure Health Plan contract - $50,000, Rotary of San Jose funding for new workstations for staff - $10,000  - Accessible, Affordable Playhouse story aired April 19, 2012 on ABC7 Evening News with Reporter David Louie  - 3rd Annual SVILC People's Thanksgiving attended by 100  - On September 17, $20,268 for SVILC's transitional home in Santa Clara was withdrawn  - By December 4 (less than 12 weeks later), due to some kick-butt advocacy by SVILC Board, staff, and community members.  - $62,625 of housing services funding was restored benefiting not only SVILC ($10,134) but all the RDA grantees: Catholics Charities, Council on Aging, Next Door, EHC Lifebuilders and Project Sentinel		
Donate Life California	http://www.donateLIFEcalifornia.org	866-797-2366	EIN 20-2349106	3465 Camino Del Rio South Ste. 410	San Diego	CA	92108	USA	Health, Organ & Tissue Banks	Donate Life California saves lives by creating opportunities for all Californians to sign up on the official state organ, eye and tissue donor registry.	#GivingTuesday (http://bit.ly/I5xOr9), high school education, registration drives, fundraising events, DMV training & education, public outreach, hospital volunteer education, Living Donation California (www.LivingDonationCalifornia.org)	21,000+ Californians waiting for life-saving organ transplants, and the thousands more waiting for life-enhancing eye and tissue transplants	Thousands of people receive life-saving and life-enhancing organ, eye and tissue transplants each year	California	As of July 2016, 13,248,477 Californians have signed up on the state organ, eye and tissue donor registry. We are the largest state registry in the U.S., and have the greatest need with more than 21,000 people waiting for life-saving organ transplants. On average, three people die in California each day because the organ transplant they need doesn't come in time.		
Kitten Rescue	http://www.kittenrescue.org		EIN 95-4670174	3519 Casitas Ave	Los Angeles	CA	90039	USA	Animal Protection & Welfare, Animals, Emergency Medical Services & Transport, Health, Veterinary Services	Kitten Rescue was founded in the spring of 1997 and has grown to become one of the largest and well-respected rescue groups in Los Angeles. We are a non-profit organization devoted to finding loving new homes for unwanted and abandoned cats and kittens.   We are equally dedicated to giving the public vital information about responsible pet ownership, care of kittens and cats, managing feral cats, and most importantly, the importance of spaying and neutering. Our website at www.kittenrescue.org features information on cat rescue, care, and adoption for animal lovers all over the world.  The majority of our cats are cared for in foster homes until they are placed with adopters, who are screened carefully to ensure the stability and quality of an animal's new environment. Before going home, each cat or kitten is fixed, tested for Feline Leukemia and FIV, vaccinated, dewormed, treated for fleas and microchipped.  We also provide full medical care for the cats in our care until they are adopted.  In March 2006 Kitten Rescue purchased the Kitten Rescue Sanctuary, a private, no-kill shelter and boarding facility in Atwater Village, that can  house up to 150 cats. In 2016, we converted the front house of the Kitten Rescue Sanctuary to a full time Nursery, where we care for orphaned, unweaned kittens around the clock. Unweaned kittens brought into city shelters are euthanized within hours of intake if a foster home or rescue group cannot be found. The Nursery has increased our lifesaving ability tremendously.  Kitten Rescue is a member of NKLA (NO-KILL LOS ANGELES), an initiative led by Best Friends Animal Society, bringing together passionate individuals, city shelters and an entire coalition of animal welfare organizations to end the killing of pets in L.A. city shelters simply because they don't have safe places to call home.	Rescue and adoption services for cats and dogs saved from city shelters and the streets.	homeless cats and dogs.		Los Angeles, CA	Since our inception Kitten Rescue has placed around 17,000 cats into loving homes.		
Beacon House Association of San Pedro	http://thebeaconhouse.org	310-514-4940	EIN 23-7376148	1003 S Beacon St P O Box 328	San Pedro	CA	90731	USA	Ambulatory & Primary Health Care, Counseling, Health, Mental Health, Public & Societal Benefit, Substance Abuse Treatment	The mission of the Beacon House Association is to assist men recover the disease of alcoholism and addiction. We provide food, shelter, counseling  and time to build a foundation for long term recovery and a return to normal, useful life.	Provides residential alcohol and drug community recovery programs and facilities to men. The association's population is comprised of males 18 years and older who have a high rate of homelessness, unemployment, criminal and institutional histories, post-traumatic stress disorder from military combat and/or childhood abuse, untended health issues and alienation from family and society. The association's services and strategy involve continuous peer to peer support throughout a wide range of daily structured groups and classes, recreational activities and outings, community service and events. These are designed to teach adult responsibility, discipline, communication, teamwork, leadership, work ethics, honesty, humility, gratitude, character development, esteem building and social connectedness. The association intervenes on dysfunctional and destructive attitudes and behaviors through individual and group counseling, peer to peer mentoring, accountability group, peer group, resident council meetings, 12-step recovery meetings, 12-step recovery literature group study, 12-step work and classes in relapse prevention, anger management, parenting and re-parenting techniques and leadership skills. The association's goals are to prepare the men to establish and sustain sobriety, stable housing, employment, legal compliance and healthy family and social connectedness, thus enhancing their overall quality of life.   as part of their recovery, beacon house residents undertake certain entrepreneurial projects that serve as both a way to engage the residents in the community while earning money for the beacon house. These resident enterprises include landscaping and community beautification projects, managing a thrift shop, staffing community events and catering breakfast and specialty-themed dinner events onsite at the beacon house. These provide opportunities for the men to learn comprehensive job skills and contribute to the financial health of the association.			Greater Los Angeles Area			
My Safe Harbor Inc	http://www.mysafeharbor.org	714-399-0590	EIN 26-3001119	819 S Harbor Blvd	Anaheim	CA	92805	USA		Investing in mothers is at the heart of  the mission of My Safe Harbor.  We do not provide crisis intervention.  Instead, we provide a place for the "next step" for mothers who have weathered a crisis and are ready to do the long, hard work of changing their lives and the lives of their children.  At MSH, we are literally mothering mothers -- many of whom have had little or no access to adequate role models.   Our programs build trusting relationships and equip mothers with real, life changing tools that empower honest personal assessment and the dignity of self-reliance.	The Mothers Clubs and Electives   introduce women to the MSH culture, present new opportunities and begin the relationship building process.  Enrichment Electives are 2-6 weeks sessions that are more in-depth and require pre-registration.  Topics range from crocheting and cooking to computers and parenting.  and there are expectations for attendance and commitment.  The Strong Families Institute (SFI) is our intensive, year-long program where the real work of change begins.   It It offers over 100 class hours over 32 weeks for in-depth information, participation and evaluation.  Go to our website for more information.   Our programs build trusting relationships and equip mothers with real, life changing tools that empower honest personal assessment and the dignity of self-reliance.	build strong families and break generational cycles of poverty and dysfunction	188 mothers with over 450 children and have graduated 10 cohorts of the Strong Families Institute.	Long term support for low income mothers committed to changing their lives and the lives of their children.	We have graduated 81 from our Strong Families Institute (SFI) and 60% of them are still connected to us as leaders and volunteers in our programs.  This fall we are running Mother's Clubs in 5 of our local elementary schools.  All of these clubs are being facilitated by SFI graduates.		
Food Empowerment Project	http://		EIN 26-1743952	PO Box 7071	San Jose	CA	95150	USA	Animal Services, Animals, Civil Rights, Food, Food Programs								
Recreational Music Center	http://rmcsandiego.org	619-225-9597	EIN 90-0603019	2590 Truxtun Rd Ste 202	San Diego	CA	92106	USA	Arts & Culture, Arts Education, Bands & Ensembles, Music	The Mission of Recreational Music Center (RMC) is to cultivate the joy of making music through relevant, cutting edge teaching methods, making them available to everyone regardless of financial resources or other barriers.	school programs, music camps, private lessons, live band experience, homeschool classes, ensembles and adult lessons.	Youth and adults to actively participate in music making in the San Diego communities, regardless of financial resources or other barriers.		San Diego, California			
Children of Grace	http://www.childrenofgrace.com	(415) 766-0981	EIN 68-0474040	PO Box 2394	Danville	CA	94526	USA	Children & Youth, International, International Development, International Relief, Religion, Religion-Related, Youth Development Programs	Children of Grace demonstrates the love of Jesus Christ by offering hope to Ugandan orphans and other children affected by poverty and AIDS. We do this through education, healthcare, and empowerment programs to enable a better future.	education, healthcare and empowerment programs so each student can reach their own potential.	vulnerable children.	over 800 Ugandan youth.	Uganda			
ETM-LA Inc.	http://www.etmla.org	818-433-7600	EIN 87-0776958	847 N Hollywood Way	Burbank	CA	91505	USA	Arts & Culture, Arts Education, Children & Youth, Youth Development Programs	Education Through MusicLos Angeles, an independent 501(c)3 organization, began in the Fall of 2006 to provide and promote the integration of music into the curricula of disadvantaged schools in order to enhance students' academic performance and creative and general development.	In the 2010-2011 school year, etm-la served approximately 3,000 children in ten los angeles partner schools with music instruction once a week throughout the school year - disciplines included general music, chorus, recorder, guitar, violin, viola and cello - taught by professional teaching artists who use a comprehensive and sequential, skills-based curriculum that meets national and state content standards. Etm-la's ten partner schools in 2010-2011 were: castelar elementary, el dorado elementary, foster elementary, madison elementary, nativity school, norwood elementary, rio vista elementary, st. Ignatius school, and st. Sebastian school, west hollywood elementary. Etm-la employed 12-15 teaching artists and interns, 2 field supervisors, and 2 program coordinators. Etm-la provided ongoing mentoring and extensive training with monthly site observations and professional development for teaching artists and teachers. Working closely with each school principal, etm-la designed a music program that addresses each individual partner school's needs. Etm-la continues to build collaboration between teaching artists and academic teachers, to engage the parents and overall community, and to guide school leaders to create strategies for long-term programming and self-sustainability. Furthermore, etm-la partners with other arts organizations to further enhance and to bring more opportunities for students' musical learning, including afterschool enrichment and concert assemblies.			Los Angeles County			
Gentle Barn Foundation	http://www.gentlebarn.org	(661) 252-2440	EIN 95-4776451	15825 Sierra Hwy	Santa Clarita	CA	91390	USA	Animal Protection & Welfare, Animal Services, Animals, Children & Youth, Crime & Law, Education, Youth Violence Prevention	To rescue, rehabilitate and give sanctuary to abused animals. Through the interaction with our animals, people learn reverence for all life.	Educational programs were designed to foster in children a sense of respect and responsibility towards animals and each other.						
Food For Thought	http://www.fftfoodbank.org	(707) 877-1647	EIN 68-0181095	Po Box 1608	Forestville	CA	95436	USA	AIDS, Food, Food Banks & Pantries, Food Programs, Health	Food for thought's mission is to nourish and serve our community by providing healthy food and compassion to people living with hiv/aids and other critical illnesses.	The food and nutrient bank program provides food and nutrition services to sonoma county residents with hiv and other life-threatening illnesses. Our services include weekly groceries, fresh produce, protein-rich foods (beef, chicken, fish, and tofu), high calorie nutritional supplements, vitamins, prepared meals (for those unable to cook), and county-wide delivery to 750 clients. All services are provided free of charge. In 2014 we distributed more than 16,000 weekly orders, which provided enough food for 350,000 meals.   the project africa program partners with hope initiatives south africa - namibia providing consultation and education about feeding persons with hiv/aids, as well as grants to feed children from namibian settlements hardest hit by the aids pandemic.						
10,000 Degrees	http://www.10000degrees.org	415.459.4240	EIN 95-3667812	1650 Los Gamos Dr., Suite 110	San Rafael	CA	94903	USA	Children & Youth, Education, Scholarships, Scholarships & Student Financial Aid, Youth Development Programs	Our mission is to achieve educational equity, and support students-with-need to access and complete higher education to positively impact their communities and the world. Our vision is that every student has the support and resources to earn a college degree and achieve his/her potential,regardless of race, ethnicity and socioeconomic status.	college admission and financial counseling, mentoring, workshops, scholarships, and support throughout college.	underserved students get into and through college.	3,300 students and parents through our programs	the North Bay	84% of our students graduate from 4-year colleges compared to 54% of all students nationally. || 100% of our students are from low-income backgrounds and 90% will be the first in their families to attend college || 84% are students of color. We award scholarships and help students find other financial aid grants, which has resulted in a total package of $21,148 per student.		
Best Day Foundation	http://www.bestdayfoundation.org	8003092815	EIN 26-2223078	567 Auto Center Drive Suite 6	Watsonville	CA	95076	USA	Autism, Children & Youth, Developmentally Disabled Centers, Disabilities, Health, Human Services, Youth Community Service Clubs, Youth Development Programs	Best Day helps children with special needs build confidence and self-esteem through safe, fun filled adventure activities which stretch their limits, expand their true potential, reinforce their achievement, and connect them with diverse populations in their community. Current activities include Surfing, Body Boarding, Kayaking, SUP (stand up paddling), Outrigger Canoeing, and Snow sports.	Best Day offers beach events in California and New Jersey, and snow events in New York.	children with special needs aged 4-24.			Since 2008 Best Day has served over 1,900 children with special needs in 65 beach and snow events in California, New Jersey, and New York.		
San Diego Civic Youth Ballet	http://www.sdcyb.org	619-233-3060	EIN 23-7079373	1650 El Prado Suite 209	San Diego	CA	92101	USA	Arts & Culture, Ballet	To provide the youth of San Diego with an opportunity to study, understand and appreciate, through education and participation, the art of ballet, and to enrich the cultural life of the community.	classical ballet education, affordable family performances, and community outreach programs in urban elementary schools.	youth and families experience the art of ballet	over 400 students weekly through our studio classes and over 600 students through our community outreach classes and workshops.	San Diego			
W.O.M.A.N., Inc. - Women Organized to Make Abuse Non Existent Inc	http://www.womaninc.org	415-864-4777	EIN 94-2607750	26 Boardman Place	San Francisco	CA	94103	USA	Human Services	W.O.M.A.N., Inc. supports those impacted by violence using an innovative approach to services and programs that build stronger, safer communities.	The W.O.M.A.N., Inc. 24-hour support line offers support via peer counseling, safety planning, and referrals for needed resources. Very often our support line is used as a safe space for survivors to openly share details of their lives including the abuse they survive. As peer counselors, our role is to support them. Many times a survivor just needs someone to listen without judging, to help them better understand their experience, and to validate their feelings and choices. During drop-in support times, survivors of domestic violence, their friends and/or their family members can meet with a trained advocate for in-person support. In this meeting, we provide peer counseling, safety planning, and referrals. Additionally, survivors, their friends and/or family can learn more about W.O.M.A.N., Inc. services. We offer both ongoing individual therapy and family therapy for survivors with their children. Therapy services are offered in English and Spanish and are provided by trained MFT Interns and Trainees who are supervised by a licensed psychotherapist. Low-cost weekly sessions are based on a sliding scale. Led by trained facilitators, our peer support groups offer a safe space for survivors of domestic violence to share their experience with and gain insight from each other. In these groups, survivors are invited to explore their feelings, receive and offer support, and gain important tools needed to heal from the effects of violent relationships. Our groups include practical information about the dynamics of abuse. We often use art and other expressive modalities in our groups. We also have a Latina Program which offers in-depth case management to Spanish-speaking survivors of domestic violence, and works to support survivors in a culturally appropriate setting. Working collaboratively with a team member, the survivor creates short and long-term goals designed to help overcome the obstacles preventing them from creating a life free of violence. Lastly, our innovative Domestic Violence Information and Referral Center, an online interactive community network involving 34 agencies, provides a safe space for domestic violence service providers to share, network, and access updated information so that to domestic violence survivors.	domestic violence survivors, their friends & family	10,000 callers on our 24/7 support line, 200 people in therapy or support groups, 100 Latina Program participants	San Francisco Bay Area			
