name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Goals	Objectives		Activities
Inspiration Corporation	http://www.inspirationcorp.org	7738780981	EIN 36-3673980	4554 N Broadway Suite 207	Chicago	IL	60640	USA	Homeless & Housing, Homeless Centers, Housing & Shelter, Human Services, Job Training	In an atmosphere of dignity and respect, Inspiration Corporation helps people who are affected by homelessness and poverty to improve their lives and increase self-sufficiency through the provision of social services, employment training and housing. Inspiration Corporation has six core values: 1) We believe in treating all people with dignity and respect; 2) Sharing high quality meals is a foundation of our organization; 3) Inspiration Corporation does not work in isolation: honest, constructive and engaged relationships enable us to achieve our mission; 4) We are committed to quality, creativity and continuous improvement; 5) We cultivate a spirit of social entrepreneurship to support our mission; 6) Every person is worthy of acceptance, assistance and support and has the right to make his or her own choices				The Employment Project offers career counseling, employment preparation training, employer outreach, a Job Club, and job placement and retention services throughout Chicago. In collaboration with Chicago House, Growing Home and St. Leonard's Ministries, and Broadway Youth Center, The Employment Project provides training and employment services to people living with HIV and AIDS, ex-offenders, and at-risk youth, respectively. Career Connections provides scholarships and linkages to vocational education that will lead directly to employment.Community Voice Mail provides free voice mail service for phoneless, homeless and low-income individuals enabling them to connect with employers, housing and service providers. Financial Literacy covers topics such as budgeting, credit and the culture of money. The Resource Center offers access to computers, the Internet, a printer, fax machine, phone and a small library for all job seekers.					
Cristo Rey St Martin College Prep	http://www.smdpwaukegan.org		EIN 42-1597059	501 S Martin Luther King Jr Ave	Waukegan	IL	60085	USA	Education, Scholarships, Scholarships & Student Financial Aid, Secondary & High Schools	St. Martin de Porres High School, a Catholic, coeducational college preparatory school located in Waukegan, Il. is committed to academic excellence made affordable through each students participation in the Corporate Internship Program.  The school strives to develop the full potential of each student in an atmosphere of mutual respect for the religious and cultural heritage of every individual.									
Emilia Plater Polish Saturday School	http://	(847) 949-9082	EIN 76-0777865	Po Box 681366	Schaumburg	IL	60168	USA	Education, Elementary & Secondary Schools, Literacy	To teach students the language,				The school had 482 students, representing 338 families. Ages ranged from preschool up to junior high. Activities involved religious instrucion, the polanie dance ensemble (polish national and folk dances and songs), etc.					
Community And Economic Development Association Of Cook County Inc	http://www.cedaorg.net	(312) 782-2332	EIN 36-2597741	567 W Lake St Ste 1200	Chicago	IL	60661	USA	Community & Neighborhood Development, Economic Development	Ceda is a county-wide community development agency that provides economic development and human services that address the needs of suburban cook county and chicago residents working in partnership with business and government. Ceda offers education, advocacy and direct services.				Energy services: energy services assists eligible applicants in reducing home heating and cooling costs. A one time monetary benefit towards energy bills is provided on behalf of the applicant. Counseling, outreach, information and referrals to other energy related programs are also provided.   day care and child development: an early childhood development center and home based program, daycare and half-day care for children and various services to pregnant women, infants, toddlers and pre-schoolers. Basic program activities are education, health and nutrition, social services, parent involvement, and disability service. In addition, head start programs are available, as well as after-school daycare and family-needs assessment services.   energy conservation: energy conservation offers weatherization and rehabilitation to eligible, low income households. The process entails assessing the home, evaluating its energy efficiency through sophisticated testing, and then developing a work order to correct deficiencies.					
Theatre-Hikes	http://www.Theatre-Hikes.org	872-202-4963	EIN 36-4477765	2820 W Montrose Ave	Chicago	IL	60618	USA	Arts & Culture, Theater	The specific purposes for which Theatre-Hikes is formed are for establishing and maintaining theatrical performances combined with hiking, offering an event that travels to various locations; and as most performing will be outdoors, Theatre-Hikes hopes to nurture in the public, a respect for the preservation of hiking trails and the local, city, county, state and national parks where these trails can be found.  Theatre-Hikes will seek to involve diverse populations in its staff, board members, volunteers and audiences.  It will have a strong commitment to use actors who are members of Actors Equity Association (AEA), the union of professional actors and stage managers.  Theatre-Hikes will compensate all staff and actors who are not members of AEA.	Performed at least 4 productions per year since 2002 at The Morton Arboretum, Pullman State Historic Site, North Park Village Nature Center, City of Blue Island, University of Chicago Rockefeller Chapel, Grant Park, Little Red Schoolhouse Nature Center and more.	Families and individuals in the Chicago-land area who enjoy combining excersize, nature and entertainment in one enjoyable afternoon.	Chicago-land	Resurrected: Grave Chicago Tales, written by Mike Manship, Music by David Kornfeld WORLD PREMIERE October 2014.	3,708 people enjoy an afternoon outoors				
Fire Wagon Hockey Inc	http://www.firewagonhockey.com	(815) 356-8500	EIN 20-2682112	320 E Prairie St	Crystal Lake	IL	60014	USA	Sports, Winter Sports	The entity is organized for charitable and educational purposes, to foster youth athletics, primarily in the sport of ice hockey. The organization also provides instructional and competitive hockey programs from learn-to-skate instructional programs to organized, competitive league team play as a usa hockey affiliate.				The organization operates the yellow jackets hockey club, to foster youth athletics, primarily in the sport of ice hockey.   the organization operates the crystal ice house ice arena. The purpose is to offer and operate a variety of ice programs for all ages.   the organization mentors program participants by promoting public service. The organization is honored to provide support to other charitable organizations.					
Mane in Heaven	http://www.maneinheaven.org	847-477-7825	EIN 45-4598512	117 S. Cook Street Suite 237	Barrington	IL	60010	USA		Mane In Heaven is a recognized 501(3)non-profit organization that provides therapeutic benefits to disabled and able-bodied children and adults through animal-assisted activity and therapy visits with miniature horses leading to improved outcomes of physical, mental and emotional well-being.		those in need	the NW Suburbs of Chicago	animal-assisted activity and therapy visits with our registered miniature therapy horses!					
Wheaton Drama Inc	http://www.wheatondrama.org	(630) 260-1820	EIN 36-2603079	111 N Hale St	Wheaton	IL	60187	USA		Organization is dedicated to the study and promotion of the theatrical arts for the benefit of the local community				To make available to the general public programs, lectures, classes and similar activities that will foster the performing arts					
Illinois Police Association Inc	http://www.ipacops.org	(708) 452-8332	EIN 36-2158895	7508 W North Ave	Elmwood Park	IL	60707	USA		Conserve and protect the interest of its members who are made up of civil service workers throughout the state. It promotes the civil service laws and pension laws for its members.				Death benefits paid to active or paid-up life members who died during the year. For the year ended 7/31/15, 73 death benefits were paid.   association benefits to member police officers.					
Pulmonary Fibrosis Foundation	http://www.pulmonaryfibrosis.org	888.733.6741	EIN 84-1558631	230 East Ohio Street Suite 304	Chicago	IL	60611	USA	Health, Lung Diseases, Unknown	The mission of the Pulmonary Fibrosis Foundation (PFF) is to help find a cure for idiopathic pulmonary fibrosis (IPF), advocate for the pulmonary fibrosis community, promote disease awareness, and provide a compassionate environment for patients and their families.				Pff patient registry: the pff patient registry is a collaborative effort that will bring together multiple stakeholders including patients, health care providers, and researchers. The registry is an electronic database of patient information that will be de-identified (made anonymous) and independently managed by a data-coordinating center. The goals of the pff patient registry are to provide a robust dataset of clinical and quality of life (qol) data on the full spectrum of pulmonary fibrosis patients, help shape and improve clinical care patterns to advance patient outcomes, serve as an invaluable tool in support of research to improve qol and outcomes and to aid awareness of and enrollment into clinical trials.   pff care center network:the goal of the pff care care center network is to elevate the standard of care for patients with pulmonary fibrosis. The pff care center network connects leading medical centers throughout the us that have expertise in treating fibrotic lung diseases. The institutions that comprise the network use a multidisciplinary approach to deliver comprehensive patient care. These specialized care teams include individuals with expertise in pulmonary medicine, rheumatology, radiology, pathology, gastroenterology, and thoracic surgery. This multipronged, collaborative approach is critical to managing a complex disease like pulmonary fibrosis and ensuring individuals receive an accurate diagnosis, obtain quality clinical care, and acquire important support services.   research:the pulmonary fibrosis foundation (pff) places enormous importance on creating an environment that will assist in the development of effective treatments for pulmonary fibrosis (pf). We are developing this environment by directly funding research, promoting advocacy efforts, encouraging collaborative relations between industry and academic researchers and developing solutions to bridge existing gaps in pf research. The pff research fund supports projects that offer a high likelihood of improving the understanding of pf in the following areas: basic science, translational science, clinical medicine/research and social science/quality of life. The pff research advisory committee administers the peer-reviewed process which funds multiple grants including four $50,000 grants per grant cycle.   1 outreach and awarenesspff ambassador program-the pff ambassador program empowers patients, caregivers, and health care professionals as spokespersons for the pf community on behalf of the pff. Pff ambassadors promote disease awareness, provide up-to-date information, and offer hope and inspiration to those affected by pulmonary fibrosis. Pff ambassadors are available to speak at pff care center network events, support group meetings, fundraising events, and other disease awareness and education programs. Pff disease education webinar series-the pff disease education webinar series engages the pf community in an online webinar discussion where they learn from, connect with, and pose questions to leading pulmonary fibrosis specialists each month. Ten webinars were presented in 2014 and all can be viewed on the pff website at www. Pulmonaryfibrosis. Org/webinars. Global pulmonary fibrosis awareness month-the pf community unites during global pulmonary fibrosis awareness month as a collective voice to enhance disease awareness and provide outreach to those in need. In 2014 the entire pf community joined the pff and participated in the #blueup4pf campaign, attended educational events, hosted team pff fundraising events, participated in webinars and spread disease awareness through social media. In chicago, the pff kicked off the month with mayor rahm emanuel proclaiming september global pulmonary fibrosis awareness month. 2 pff patient communication center (pcc)launched in 2014, the pcc serves as the central information hub for pulmonary fibrosis patients, caregivers, and health care professionals. The pcc staff answers questions and provides information that is tailored to individuals' needs. Resources available to callers include: information about pulmonary fibrosis; how to find medical care, access support services, obtain available treatments, and enroll in clinical trials; pff patient education and advocacy materials; and information on pff programs and services. 3 patient and physician education: the pulmonary fibrosis foundation is committed to providing quality disease education to the pulmonary fibrosis community. The pff strives to provide patients, caregivers, family members, and health care providers with the resources necessary to more fully understand pf, and to provide patients with the tools necessary to live with the disease and improve their quality of life. The foundation's suite of printed educational materials for physicians, patients, and caregivers includes: the pff patient information guide, pff physician notepad, pff disease awareness brochure, and pff disease awareness poster. The pulmonary fibrosis foundation's educational materials are distributed by the pff patient communication center and the support group leader network (see support group section). The foundation also facilitates physician education by attending and providing funding support for educational conferences. 4 pff summit:pff summit 2015: from bench to bedside is the pff's biennial international health care conference on pulmonary fibrosis (pf). The goal of the summit is to foster a collaborative environment to improve education and awareness of pf and to identify new approaches to treat, and ultimately cure, this devastating disease. The summit features an innovative continuing medical education (cme) program for health care professionals and sessions for pf patients and caregivers that address their growing educational needs. {note: the majority of expenses for the pff summit 2015 will be included on the 2015 990. 5 support groups:support group leader network-the pff support group leader network provides a forum for pf support group leaders to connect, exchange ideas, and share best practices. The leanne storch support group fund further enhances the support group experience and assists the needs of the network by funding educational events, helping establish new groups, and supporting related activities. In 2014 the pff awarded 18 leanne storch support group fund grants. Online support group communities-online support groups are a great way for patients, caregivers, family members, and friends to virtually connect for support and information. For those who are unable to attend an in-person group, or simply want additional interactions between meetings, the pulmonary fibrosis foundation offers two online support communities: inspire and rareconnect. Visit http://www. Pulmonaryfibrosis. Org/life-with-pf/support-groups/online-support-communities to learn more. 6 advocacy:in 2014 the pff launched an independent pf patient and caregiver survey to collect essential insights about living with the disease and presented the initial results to the us food and drug administration at its public meeting on idiopathic pulmonary fibrosis (ipf) patient-focused drug development. The purpose of the meeting was to obtain a better understanding of how ipf patients and caregivers cope with symptoms, the impact of the disease on their daily lives, and to learn more about their views on current treatment approaches.					
Umoja Student Development Corporation	http://www.umojacorporation.org	773-312-3898	EIN 36-4263664	954 West Washington Blvd, Suite 225	Chicago	IL	60607	USA	Education, Educational Services, Vocational & Technical Schools	Umoja partners with Chicagos most challenged public high schools to create positive, youth-centered environments that increase student attendance and engagement, reduce violence, promote academic success and increase graduation and college enrollment rates. Founded in 1997 at Manley High School  a school on the west side of Chicago with a 99.8% African-American and 97% low income student population  Umoja has supported driving a 67% increase in the graduation rate, a dramatic increase in the college enrollment rate from less than 10% to close to 60%, and a 45% decrease in out-of-school suspensions. By building a web of dynamic relationships where schools, families and communities partner to bridge the gap between the talents and ambitions of low-income youth and the resources they need to thrive, Umoja equips young people to succeed in college and confidently claim their future.		Nearly 100% of Manleys 2012 seniors applied for college, collectively submitting almost 1,000 college applications and 87% received college acceptance letters. 	Manleys Class of 2012 collectively earned more than $1 million in scholarships. 	More than 95% of the seniors in Manleys Class of 2012 completed and submitted the Free Application for Federal Student Aid (FAFSA), an integral step on the road to college for low-income students.  This completion rate far exceeded the 57% FAFSA completion rate for seniors nationally in 2010. 	More than 120 teachers and administrators from 12 schools attended the Umoja University 2012 Summer Institute. Nearly 100% of participants reported that the week-long training was well-organized and a productive use of their time; 94% said the workshops would positively influence their teaching practice. 	Since implementing the Restorative Justice program at Manley, out-of-school suspensions have decreased by more than 40% and school attendance has increased by more than 18%.		Chicago						
House Theatre Of Chicago	http://www.thehousetheatre.com		EIN 36-4441644	4611 N Ravenswood Ave Ste 206	Chicago	IL	60640	USA	Arts & Culture, Theater	It is the mission of The House to unite Chicago in the spirit of Community through amazing feats of Storytelling.									
Project: VISION, Inc.	http://www.projectvisionchicago.org		EIN 20-0293881	2301 S Archer Ave Unit #3	Chicago	IL	60616	USA	Children & Youth, Youth Development Programs	Project: VISION, Inc. is a nonprofit organization founded in 2003 with a mission to provide youth of Chicagos Chinatown and Bridgeport communities with tools for educational, personal, and civic development. In the fall of 2004, volunteers piloted a homework tutoring program in borrowed space at the local library and Boys and Girls Club. Since then, Project: VISION has moved on to its own space in Chinatown and has reached over 300 youths with its programs while remaining primarily volunteer-run and continuing to provide all programs free to youth.  Project: VISION takes a holistic approach to youth development, with a goal of helping each youth achieve success in all areas of life by providing positive role models and positive activities. We strive to help youth build strengths, develop skills, gain confidence and positive attitudes that will help them succeed in school and beyond as future community leaders.		Project: VISION serves youth ages 12-21 in Chicagos Chinatown, Bridgeport, and surrounding neighborhoods. Youths seek out our organization for many reasons and needs; some are looking for a means to connect with peers and mentors, and some seek to receive homework help, while others want to get involved in the community. Still, our community is often overlooked as underserved; in reality, many of the youths Project: VISION serve are from economically and socially disadvantaged backgrounds. Currently, 96% of Project: VISION youths are Chinese American, with 90% from low-income first generation immigrant families. While many families come to this country seeking better opportunities for their children, language, long work hours in service-oriented jobs, and little understanding of the American education system are all barriers to the parental involvement youth need. This leaves many youth in need of guidance, support, and encouragement, which after school programs like ours can help provide.		Since the beginning of the 2011-2012 school year, Project: VISIONs programs have served 65 youths, providing services to an average of 50 youths each week in several core programs. Programs take place in a 1200 square foot facility consisting of two classrooms, one general tutoring area, library, and computer area with three student workstations. The Youth Center is open from Mondays-Thursdays from 2-7pm.   The After School Homework Tutoring Program is the cornerstone of Project: VISIONs programs as education is the key to future success and eventually to building a stronger community. Tutoring is available at the Youth Center during all hours of operation and is staffed with volunteer tutors available for homework help and one-on-one tutoring. In addition to fostering academic success in terms of helping students improve grades and test scores, the program also strives to help students develop effective academic skills and build appreciation for learning that will serve them well as they move on to college and beyond. So far, in the first semester of this school year, 40 students have benefited the program, increased from serving 30 students over the entire last school year, attesting to the need for this program. The program retention rate is 85%, and on average each student receives six hours of tutoring per week (increased from an average of five hours per week last year). Upon enrolling, each student now completes an initial assessment, consisting of a set of three academic goals and objectives. After the first semester, preliminary estimates show that 70% of tutored students are meeting at least one objective under each academic goal. Furthermore, student surveys show that participants recognize the benefits of the program: 89% feel the program helps them do better in school, while 72% feel more confident at school, and 56% feel tutors help them improve their study skills.   Every Project: VISION student should aim to attend college, and the College Prep program has helped many students achieve this. We continue to send 100 percent of our high school seniors to college after preparing them with programs such as ACT test prep classes, college application, essay writing, and financial aid workshops throughout the school year. The ACT prep program has been particularly successful; over the years, the program has prepared over 100 students for the exam, with over 70% achieving a 2-point or greater improvement in composite scores.   Leadership opportunities and community service are fundamental to positive youth development. While many youths seek service opportunities to fulfill school requirements (Chicago Public School high school students are required to complete 40 community service hours prior to graduation), Project: VISION strives to foster a sense of social responsibility in youth that goes beyond obligation. Project: Youth Initiative is a service learning program that aims to provide meaningful service learning opportunities that help youth learn about the problems in their community, develop positive attitudes toward service, and understand the importance of volunteerism. These are the experiences that will encourage youth to stay involved and help them grow into active community members willing to give back to others. Each semester, Project: Youth Initiative provides three service opportunities to students. Last school year, 50 youths participated in community service projects, collectively earning over 500 service learning hours, and this year, 30 youth have already collectively participated in 270 service hours after one semester. Youths engaged in many projects including recycling projects, community health fairs, production of an anti-tobacco public service announcement, and a community anti-obesity campaign. These meaningful projects have helped youth build positive attitudes toward community service. For example, after participating in an anti-tobacco service project, 90% of students stated that they learned something new and that as a result of the program are encouraged to continue volunteering in the community!					
POWER CONNECTION	http://www.thepowerconnection.org		EIN 32-0089675	999 Remington Blvd Ste F	Bolingbrook	IL	60440	USA	Adult Education, Education, Job Training	To provide comprehensive life skills and educational training free to individuals who desire to enhance their workforce skills.									
Childrens Museum in Oak Lawn	http://www.cmoaklawn.org	708-423-6709	EIN 36-4389897	5100 Museum Drive	Oak Lawn	IL	60453	USA	Arts & Culture, Children's Museums, Education, Educational Services	The Children's Museum in Oak Lawn's mission is to empower and engage children, and those who love and care for them, in the joy of learning. As they EXPLORE their world with changing, hands-on exhibits and activities, they will SOAR with their newfound knowledge.	In 2011, we installed three new exhibits focused on public safety:  a police car, and ambulance, and a fire truck.		Chicago area and beyond!	The museum has welcomed over 415,000 visitors since opening in its new location in 2009. The museum continued its "access for all" initiative throughout the fiscal year and waived field trip fees for one-on-one aides working with special needs children. Another program the museum is very proud off is the easter egg hunt for children living with disabilities. The new "nano: the science of small" exhibit was installed during the fiscal year and was met with positive reviews as it helps to continue the organization's educational alignment with schools. A new handicapped accessible admissions desk was also installed.					
Opportunity International	http://www.opportunity.org	(312) 487-5000	EIN 54-0907624	2122 York Rd Ste 150	Oak Brook	IL	60523	USA	Economic Development, International, International Economic Development, Microfinance, Small Business Development	To empower people to work their way out of chronic poverty, transforming their lives, their children's futures and their communities.	We provided microfinance services to more than 2 million people in 2009.	Entrepreneurs who are working their way out of poverty in the developing world.	We have clients in more than 20 countries throughout the developing world, including in Africa, Asia and Latin America.	Opportunity international, inc d/b/a opportunity international - us is a tax exempt, publicly supported christian-based corporation that helps people in developing nations work their way out of poverty, strengthen their families and improve their communities. Opportunity international inc. Is part of the opportunity international network that currently provides loans, savings programs, insurance and other financial services and training to more than 5 million clients in 22 countries across africa, asia, latin america and europe. In 2014, the network made more than $1. 18 billion in loans through more than 17,500 employees around the world. Discover more at opportunity. Org.   oi provided support to member agencies via the home office in chicago and regional offices. Support in the form of oversight, operations consulting and partner agency staff training.   oi granted funds to affiliate opportunity transformation investments, inc.   oi provided funds for member agencies lending operations. Member agencies provided consulting visits with poor borrowers and poor participants attended several small business training seminars.					
Animals Deserving Of Proper Treatment	http://adoptpetshelter.org/	(630) 355-2299	EIN 36-3683984	420 Industrial Dr	Naperville	IL	60563	USA	Animal Protection & Welfare, Animals	A. D. O. P. T. Provides shelter and medical care for unwanted animals, while seeking permanent homes for unwanted animals, as well as neutering services to prevent overpopulation. The services are provided to approximately 1,000 animals per year.				Provide shelter, medical care, and permanent homes for unwanted animals.					
Administer Justice	http://www.administerjustice.org	847.844.1100	EIN 36-4348917	1750 Grandstand Place Ste 15	Elgin	IL	60123	USA	Crime & Law, Crime & Legal-Related, Dispute Resolution & Mediation, Financial Counseling, Legal Services	To administer justice through comprehensive legal, financial, conflict resolution and educational services to empower the powerless, give hope to the hopeless and show God's mercy and compassion to all in need.	In 2012 we assisted 6,560 individuals, reaching another 16,000+ through our outreach programs.  Our averge client is a single Mom with 2 dependents making less than $16,000 a year.	Low-income individuals with civil legal matters and IRS tax issues.	Northwest suburbs of Chicagoland	Administer Justice provides free legal assistance, financial counseling and conflict resolution services to low income individuals and families.  We also assist with tax controversy through our Low Income Tax Clinic.  We help all who come regardless of race, age, religion or any other status.	5,000-7,000				
Erika's Lighthouse: A Beacon of Hope for Adolescent Depression	http://www.erikaslighthouse.org	8473866481	EIN 20-1069100	897 1/2 A Green Bay Rd	Winnetka	IL	60093	USA		Erika's Lighthouse is a not-for-profit organization dedicated to educating and raising awareness about adolescent depression, encouraging good mental health, and breaking down the stigma surrounding mental health issues.	With a modest start just over ten years ago, Erikas Lighthouse has gone from educating roughly 1,500 students, parents and school professionals in 2004 to touching the lives of 42,425 individuals in 37 communities and 60 schools across the country in 2014. In the last two years alone, Erikas Lighthouse has extended its impact over 300% through the expansion of turn-key programming, online resources and social media efforts.	Adolescents & Middle/High School Communities	Depression Awareness, Stigma Reduction, Mental Health Empowerment & Suicide Prevention	Erikas Lighthouse addresses the challenges surrounding teen depression using the most impactful, innovative and accessible methods available today. Interactive web-based resources, multi-media classroom teaching tools and teen-to-teen interventions make Erikas Lighthouse a trail blazer for mental health education in the Chicago area and beyond. Programs and services are always free and resources are easy and accessible on the website.	42,425				
Heartland Institute	http://www.heartland.org		EIN 36-3309812	One South Wacker Drive Suite 2740	Chicago	IL	60606	USA	Education, Human Services					The Heartland Institute publishes four national monthly newspapers covering free-market ideas in school reform, environmental protection, health care finance, and tax and budget matters. Heartland also publishes three policy newsletters, addressing the digital economy; lawsuit abuse; and public policy from a free-market multicultural perspective. It also publishes a members' newsletter. Heartland has a substantial presence on the Internet (http://www.heartland.org), including PolicyBot -- the Internet's largest collection of free-market public policy research. Eight Heartland Senior Fellows travel the country giving speeches to audiences of all sizes. Heartland also publishes occasional books and policy studies and hosts seminars and other events.					
AMERICAN INDIAN ASSOCIATION OF ILLINOIS	http://www.chicago-american-indian-edu.org	773.338-8320	EIN 26-1972785	5751 N Richmond Ste 2	Chicago	IL	60659	USA	Arts & Culture	To provide education  to American Indians and others who may benefit from it.	Graduated over 70% of all American Indian college students.  Over 70% of all CPS students tutored improved one or more grades. Over 2,000 Chicago children and adults learn about American Indian history and culture through the American Indian Association of Illinois.	Low Income American Indians and others in the Chicago area.  All ages	Chicago and Greater Illinois	Medicine Shield-EIU University Program Native Scholars Tutoring Black Hawk Dance and Performance Company Chicago American Indian Museum Without Walls Bear Claw Multi-Media Productions Thunder Spirit Financial Institute American Indian Language Insitute	2,050 children and adults				
SPIRIT CENTER	http://spiritcentersoberliving.com/donate.html	815.861.5448	EIN 46-1765003	12618 Davis Rd	Woodstock	IL	60098	USA	Human Service Organizations, Mental Health, Personal Social Services, Substance Abuse Treatment	The eyes and lives of the men who transition with the SPIRIT Center are testaments of how heart to heart experience serves each individual. SPIRIT Center mentorship is purely holistic within an approach that thrives here. Striveto Live Happy, Joyous, and Free to Be, Learn, Seeing and rid each day's Spiritual Debris. This takes a healthy balance of love and understanding with active guidance to achieve results. We sense freedom resides within.  Mission: Evaluating and Inventorying Responsibility of Our Daily Lives - Community Recovery Approach.	The SPIRIT Center returns previously broken individuals back to the community roots: Well on their way of healing mentally, spiritually, and emotionally through an individually assembled recovery network - with majority being consistently full-time employed with accountable responsiblity.   We have effectively set the bar in family and community wellness. To date we have sustained recovery transition for many dozens of our residents, 24/7 safety, active participation by all members, disciplined rapport, environmental maintenance, and unselfishness. We promote all inclusive guidance in processed recovery steps for valued living. The list goes on.  Read more about the program at www.SPIRITCenterSoberLiving.com. If you are able and willing to support our efforts, it would be greatly appreciated as this home solely runs with private funds. Our financial goal is to meet the demand of clear recovery growth into the next stage. We welcome you to be the part of us serving the 'recovery safety' needs. You are experienced in how the bigger picture unites. Please give your experience, strength and passion in connecting with us!	There is a constant need within the McHenry County community to provide a 'clean living example' in an environment that engages, prospers, and encourages the improvement of health and life. SPIRIT Center community helps to understand each phase of development in the journey of individual steps of recovery.	Mission: Evaluating and Inventorying Responsibility of Our Daily Lives - Group Recovery Approach	SPIRIT Center believes in 'Embracing Recovery Life'. SUMMARY The simplicity of the SPIRIT Center Recovery Home endeavors to build upon simple steps. These steps encompass the improvement of healthy decisions and actions with the resolution of lingering issues. The Center utilizes the members' Group Conscious Approach in Real-Time.    SPIRIT Center members maintain recovery etiquette guidelines:   1. Seek: By learning the principles in how it works right into the use of 12 Steps & Traditions.   2. Heal: Being accountable, inquiring, and evaluating. We live responsibly in daily care of self and eachother.   3. Grow: Action speaks louder than words. Put "Principles before Personalities (Trad. 12)". SPIRIT Center utilizes Tradition Two (we are but trusted servants) to the benefit of all resolution: That's Recovery!	Substance Abusers				
Dystonia Medical Research Foundation	http://www.dystonia-foundation.org	(312) 755-0198	EIN 95-3378526	1 E Wacker Dr Ste 2810	Chicago	IL	60601	USA	Brain Disorders Research, Health	THE FOUNDATION HAS THREE MAIN PURPOSES: (1) TO ADVANCE RESEARCH BY AWARDING GRANTS TO CLINICAL INVESTIGATORS AND MEDICAL/SCIENTIFIC INSTITUTIONS COMMITTED TO FINDING THE CAUSE AND CURE FOR DYSTONIA; (2) TO BUILD AWARENESS BY SPONSORING WORKSHOPS AND SYMPOSIUMS FOR MEDICAL PROFESSIONALS AND PATIENTS AND BY PRODUCING AND DISTRIBUTING EDUCATIONAL MATERIALS BOTH PRINTED AND ELECTRONIC; AND (3) TO SPONSOR PATIENT AND FAMILY SUPPORT GROUPS AND PROGRAMS.				Science-includes:issuing 2 requests for applications, managing the peer-review process of 72 submitted grant, research fellowship and clinical fellowship applications, selecting, funding and managing 4 research grants, 1 research fellowship, 3 clinical fellowships, and 3 research contracts, all aimed at creating a better understanding of the mechanics and pathophysiology of dystonia, identifying genes, and developing improved treatments and ultimately a cure; meeting with pharmacological and biotech companies to engage them in the development of treatments for dystonia; continued funding of a clinical fellowship program designed to support training of physicians in preparation for a clinical and/or research career in movement disorders with special focus on dystonia;sponsoring and participating in domestic and international scientific meetings including "toward discovery of novel treatments for dystonia", "integrated approaches to dystonia", and meetings which were attended by researchers from all over the world;reviewing current research data and exploring studies needed to accelerate improved treatments;participating as a speaker at forums with the national institutes of health (nih) office of rare diseases research (ordr) to promote research and patient group relationships or collaborations;supporting and maintaining the availability of resources to accelerate dystonia research globally such as the dystonia brain collective, global dystonia registry, and dystonia international patient registry for use by the international dystonia community; serving in the fifth year as the administrative center for the dystonia coalition which was awarded a five-year national institutes of health (nih) grant to develop an international dystonia clinical network consisting of three projects: 1) developing a natural history study and biorepository; 2) revising the twstrs rating scale for cervical dystonia; and 3) developing, testing and refining a new diagnostic tool for spasmodic dysphonia. The foundation was responsible for managing $729,300 restricted for dystonia coalition work not included in the foundation's revenues and expenses.   awareness and education-includes:publishing the "dystonia dialogue" news magazine three times a year under the direction of the volunteer editorial board and distributing it via mail or electronic copy to over 44,000 patients, families, and interested persons to inform them of the latest research and foundation activities; creating and disseminating over fifteen dystonia-related educational resources as well as promoting and distributing a children's book about dystonia and cd/dvd's to requesting individuals to educate them about the various forms of dystonia and treatment options; developing and launching a new website, hosting webinars, and electronic social networks such as the online dystonia bulletin board, twitter, facebook, and youtube to support easy access to information for affected persons and their families; creating and disseminating a monthly electronic newsletter and periodic email alerts to share information on events, news, and activities;creating and disseminating a dystonia awareness program designed to empower people to create awareness by sharing their personal stories; and participating in advocacy activities to promote awareness amongst lawmakers on topics important to dystonia patients. See schedule o, part iii 4c for details.   advocacy-the dmrf provides the staff and administrative support for the dystonia advocacy network, a collaboration of five dystonia organizations working to meet the policy needs of the dystonia community. For the past eight years,the dystonia advocacy network has been instrumental in educating congress about the benefits of listing dystonia as a condition eligible for study on the department of defense (dod) peer-reviewed medical research program, resulting in them making the condition eligible for investigators to compete for research funding. On behalf of the five dystonia advocacy network organizations, the dmrf utilizes a legislative consultant to track legislative activities on capitol hill, maintains an advocacy website, and electronically disseminates action alerts to stay connected with key legislators. The dmrf also supports a nationwide network of volunteer advocates who continually work to educate members of congress about dystonia and advance the community's legislative agenda. Volunteers meet with policymakers during the annual advocacy day and as needed throughout the year to advocate on behalf of the dystonia community on issues such as increased research funding for the national institutes of health, access to healthcare, and appropriate, affordable reimbursement for dystonia treatments.					
Changing Worlds	http://www.changingworlds.org		EIN 36-4340874	329 W 18th St Ste 506	Chicago	IL	60616	USA	Arts & Culture, Civil Rights, Cultural & Ethnic Awareness, Education, Educational Services, Intergroup & Race Relations, Race	Changing Worlds mission is to foster inclusive communities through oral history, writing and art programs that improve student learning, affirm identity and enhance cross-cultural understanding.	http://changingworlds.org/what-the-results-show-165.html	grades K-12, teachers, and community members							
