name	url	telephone	tax_num	street	locality	region	postcode	country	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Causes	Results
Spay-Neuter Action Project	http://snapalabama.org	(256) 539-8163	EIN 63-1121259	Po Box 4450	Huntsville	AL	35815	USA	Promoting the spay and neuter program for animals and pets in order to lower the over-population of animals and pets. Assist low income residents to provide spay and neuter surgeries for their pets.				Promoting the spay and neuter program for animals in order to lower the over-population of animals and pets. Approximately, 2,159 spay and neuter surgeries where performed during the year.	Animal Protection & Welfare, Animal Services, Animals, Veterinary Services	
Pickens County Partners In Education Foundation	http://		EIN 58-2000814	PO Box 32	Carrollton	AL	35447	USA						Education	
Divine Life World Outreach Church	http://		EIN 63-0882372	Po Box 4811115	Linden	AL	36748	USA							
Friends Of Old Mobile Inc	http://		EIN 63-1029756	Po Box 161314	Mobile	AL	36616	USA						Arts & Culture, Historical Societies & Historic Preservation	
Alabama Jazz Hall Of Fame Inc	http://www.jazzhall.com	(205) 254-2731	EIN 63-0870612	1631 4th Ave N	Birmingham	AL	35203	USA	Promotion of jazz music as an art form.				To foster, educate and encourage the general appreciation of jazz music as an art form.		
Individual & Family Support Of South Alabama	http://		EIN 63-1113720	1050 Government St	Mobile	AL	36604	USA	We provide all forms of assistance.					Developmentally Disabled Centers, Disabilities, Human Services	
Holy Of Holies	http://		EIN 72-1350144	311 Hidden Creek Trail	Pelham	AL	35124	USA						Christianity, Religion	
KultureCity	http://www.kulturecity.org	205-9075659	EIN 46-3701145	732 Montgomery Highway, PMB 392,	Vestavia Hills	AL	35216	USA	We are a non profit organization with the mission to create a world where all individuals with autism and their families are accepted and treated equally. Stand with Us.	families and children with autism	14210 people helped, 4772 toys delivered, 437 ipads gifted, 329 blankets delivered.	the United States of America	Toys AUcross America: our toy project that provides free toys to children on the ASD spectrum. Tablet Project: our ipad project that gives free ipads to children with autism to help them communicate. TherapyKulture:our project that provides financial scholarships to pay for therapy for those that cannot afford it. KultureARTS: our free art and music camps that expose children with special needs in the rural and inner city to arts and music. Our Hope: our global project that started the very first special needs orphanage in Jinja, Uganda. SuperMoms: our project that selects a mom with a special needs child every week and sends flowers to them to honor them and show them that they are not alone		
Alga Funeral Services Education Inc	http://		EIN 80-0481226	PO Box 1769	Phenix City	AL	36868	USA						Job Training	
Union Hill Primitive Baptist Church Inc	http://		EIN 63-1019448	Po Box 3945	Huntsville	AL	35810	USA							
Golden Cross Of North Alabama Inc	http://		EIN 63-0933108	115 Della Rose Dr	Birmingham	AL	35214	USA						Health, Health Care	
Family Career And Community Leaders Of America Inc	http://www.fcclainc.org/		EIN 63-1156907	1 Martin Luther King Dr	Headland	AL	36345	USA	FCCLA has a national membership of nearly 222,000 young men and women in nearly 8,000 local chapters. There are 53 state associations including the District of Columbia, Puerto Rico, and the Virgin Islands.					Children & Youth, Youth Development - Agricultural	
Alpha Pi Chi National Sorority Inc	http://		EIN 64-0836759	3550 Rigby Dr W	Mobile	AL	36695	USA							
United Saints For Education Making An Effort Inc	http://		EIN 80-0502448	2751 N Thompson Drive	Mobile	AL	36606	USA						Human Service Organizations	
Tracy Dent Foundation	http://		EIN 20-5492240	15769 Thomas Chapel Rd	Cottondale	AL	35453	USA						Homeless & Housing, Homeless Shelters	
Gulf South Conference	http://		EIN 63-1152743	2101 Providence Park Suite 200	Birmingham	AL	35242	USA	To promote, regulate and control all recognized intercollegiate athletics sponsored by the member institutions through the maintenance of high standards of honor and fair play				To promote, regulate and control all recognizedintercollegiate athletics sponsored by the memberinstitutions through the maintenance of highstandards of personal honor, eligibility and fairplay	Professional Athletic Leagues, Sports	
Harvest Time Churches Inc	http://		EIN 63-1027056	2520 Winchester Rd Nw	Huntsville	AL	35810	USA						Protestant, Religion	
Mary P Gallagher Tr Uw Item Iv	http://		EIN 63-6069635	Po Box 2886	Mobile	AL	36652	USA	TO PROVIDE SUPPORT TO THE MONTGOMERY CITY-COUNTY LIBRARY AND THE MONTGOMERY AREA UNITED WAY FR THE GENERAL PURPOSES OF THE ORGANIZATIONS						
Road Runners Club Of America	http://		EIN 63-1192968	Po Box 20375	Tuscaloosa	AL	35402	USA						Amateur Sports Competitions, Sports	
St Vincents Health System	http://www.stvhs.com	(205) 939-7098	EIN 63-0931008	810 St Vincents Drive	Birmingham	AL	35205	USA	Our catholic health ministry is dedicated to spiritually centered, holistic care, which sustains and improves the health of individuals and communities. In furtherance of its mission and in an effort to reduce the government's financial burden, st. Vincent's health system supports the efforts of its hospitals and health facilities providing care to individuals and communities.				The hospital is dedicated to spiritually centered, holistic care that sustains and improves the health of the individuals and communities. It furthers this goal through delivery of patient services, care to the elderly and indigent, patient education and health awareness programs for the community. For detailed information on the hospital's program service accomplishments and statistical data. See schedule h.   st. Vincent's health system is committed to providing healthcare that works, healthcare that is safe, and healthcare that leaves no one behind. To this end, the health system supports various 501(c)(3) organizations including: american sports medicine institute, st. Vincent's foundation of alabama, inc. , st. Vincent's birmingham, st. Vincent's east, st. Vincent's blount, and universal health system.	General Hospitals, Health	
Atap Community Development Corporation	http://		EIN 30-0510138	1530 Lawrence St	Selma	AL	36703	USA						Human Service Organizations	
Interfaith Medical Mission Corps, Inc.	http://		EIN 63-1126572	116 Pineville Dr	Somerville	AL	35670	USA						Community Clinics, Health	
Birmingham Museum of Art	http://artsbma.org	205.254.2565	EIN 63-0767725	2000 Rev. Abraham Woods, Jr. Blvd.	Birmingham	AL	35203	USA	The mission of the Birmingham Museum of Art is to provide an unparalleled cultural and educational experience to a diverse community by collecting, presenting, interpreting, and preserving works of art of the highest quality.				To assist the birmingham museum of art in the acquisition of art works.	Art Museums, Arts & Culture	
Keep Athens-Limestone Beautiful Inc	http://keepathenslimestonebeautiful.com/		EIN 63-0736502	Po Box 1089	Athens	AL	35612	USA	To promote, plan, direct and coordinate programs for the general improvement of the environment of athens and limestone county alabama.				Promoted, planned, directed and coordinated programs for the general improvement of the environment of athens and limestone county alabama.	Environment, Environmental Beautification	
Point Of Grace	http://		EIN 63-0841785	500 Commons Dr	Birmingham	AL	35209	USA							
Angels Arms Animal Rescue And Transportation Services	http://www.angelarms4paws.org		EIN 27-1641535	3716 Calderwood Drive	Mobile	AL	36608	USA	Animal rescue				Provided veterinary care, food and temporary homes to abused, abandoned and injured animals, while waiting to place them in responsible loving homes.	Animal Protection & Welfare, Animals	
Crisis That Resolve Interactive Behavior Solutions - Cribs	http://		EIN 73-1705359	110 3rd St	Andalusia	AL	36420	USA						Family Services	
Truth Holy Ghost Temple Church Of Deliverance	http://		EIN 58-2190372	5978 Pulaski Pike Nw	Huntsville	AL	35810	USA						Christianity, Religion	
Hand in Paw	http://www.handinpaw.org	205.322.5144	EIN 63-1190375	617 38th Street South	Birmingham	AL	35222	USA	Hand in Paw's mission is to improve human health and well-being through animal-assisted therapy.	children and adults	97,000+ people in Central Alabama	Central Alabama		Petscription  Positive distraction from pain and worry for patients in hospitals and motivation for meeting therapeutic goals in rehabilitation units and early intervention programs 	Pawsitive Living & No More Bullies A curriculum-based, goal-directed program for troubled youth, teaching anger management, relationship-building, empathy and compassion 	Sit, Stay, Read!  Encouragement for reluctant young readers to gain confidence, sharpen their skills and improve school performance by reading aloud to a nonjudgmental furry friend	Health, Health Support, Human Service Organizations	
Focus Walker County Work Force Developmetn And Education Inc	http://	(205) 384-4571	EIN 63-1190915	Po Box 972	Jasper	AL	35502	USA	Promotion and economic development				Promotion and betterment of the civic, economic, industrial, educational and social welfare of the city and the people of walker county, alabama.	Fairs, Sports	
ALABAMA ART CASTING INC	http://www.alabamaartcasting.org		EIN 63-1221751	700 Mesopotamia St	Eutaw	AL	35462	USA	Those who participate in our demonstrations not only learn the technical aspects, but also create a small artwork to keep. The demonstrations are  educational, fun and inspiring! Iron pouring is historically significant in the industrial, economic and cultural development of Alabama.	Iron casting demonstrations and mold making workshops Foundry program development, operational and safety training Technical assistance and consulting for artists Fully functional portable foundry available by appointment for road pours Have Furnace, Will Travel !!			Alabama Art Casting is a nonprofit organization, featured regularly at Tannehill Ironworks Historical State Park and offers demonstration pours for events, schools and groups across the Southeast	Arts & Culture, Arts, Culture & Humanities	Past activities include demonstrations and workshops at events such as the Magic City Art Connection in Birmingham, Alabama, the Montgomery Museum of Fine Art's FLIMP festival, the Sucarnochee River Folklife Festival in Livingston, Alabama, numerous ABANA sponsored artist blacksmith events as well as the International Conference on Contemporary Cast Iron Art and the Soule' Live Steam Festival in Meridian, Mississippi.   Partners with Alabama Art Casting include the Alabama State Council on the Arts, the University of West Alabama, the Museum Of Steel Sculpture in Coalbrookdale,England, Red Top Mountain State Park in Georgia, Alabama Power Foundation, Sculpture Trails of Solsberry, Indiana and Meridian Community College.
Hospice Of Montgomery Inc	http://www.hospiceofmontgomery.org	(334) 279-6677	EIN 63-0768381	1111 Holloway Park	Montgomery	AL	36117	USA	Hospice of montgomery offers specialized services to meet the physical, emotional, social and spiritual needs of patients and their families during the final stages of life.				To provide quality palliative care to meet the physical, emotional and spiritual needs of those in the community affected by terminal illness and to educate families about end of life issues.	Hospices, Human Services	
The Child Advocacy Center Inc	http://	(251) 432-1101	EIN 63-0917400	1351 Spring Hill Ave	Mobile	AL	36604	USA	Prevention & prosecution of child abuse				Public education - child abuse education  community services - helping children who are victims of child abuse		
Covenant Lutheran Church	http://		EIN 63-0897012	Po Box 36	Jacksonville	AL	36265	USA							
Alabama Ears Encouraging Alabama Rabbit Support	http://		EIN 36-4502028	Po Box 130218	Birmingham	AL	35213	USA						Animal Protection & Welfare, Animals	
Red Elephant Club Of Mobile Inc	http://	(251) 343-1200	EIN 27-4522732	Po Box 160004	Mobile	AL	36616	USA	To promote on a nonsectarian, nondiscriminatory and nonprofit basis the athletic programs and activities of the university of alabama throughout mobile county, alabama.				Gifts to the crimson tide foundation to put on football camp and have speakers  gifts to the university of alabama athletic scholarship fund.   gift to nick's kids fund for operations.	Recreational Clubs, Sports	
Blount Animal Rescue Kennel Inc	http://		EIN 72-1360007	208 Ray Drive	Locust Fork	AL	35097	USA						Animal Protection & Welfare, Animals	
League For Animal Welfare Inc	http://leaguepets.org		EIN 63-0946332	2726 Bynum Leatherwood Rd	Anniston	AL	36201	USA	Stray animal welfare - three to four hundred animals rescued,				To rescue stray animals and provide stray animal welfare. Some three to four hundred animals are rescued and provided medical expenses for animals at variuos calhoun county vets. Spay/neuter; shots; injured animals treated and standard health exam prior to adoption	Animal Protection & Welfare, Animals	
Respect Organization	http://		EIN 63-1151077	Po Box 39588	Birmingham	AL	35208	USA						Children & Youth, Youth Development Programs	
Fathers of St Edmund Southern Missions Inc DBA Edmundite Missions	http://www.edmunditemissions.org/	1-888-540-7722	EIN 63-0302130	1428 Broad Street	Selma	AL	36701	USA	As a Catholic organization that is rooted in the Gospel of Jesus Christ, Edmundite Missions provides food, clothing and shelter to poor and marginalized children and families, young adults and seniors of all faith traditions to meet their immediate needs and helps them address the long term issues of systematic poverty in the Deep South.	address the overwhelming prevalence of homelessness, extreme poverty and hunger.	the hungry by serving 141,353 hot meals, delivering 54,750 meals to the homebound elderly and disabled, and distributing 59,085 bags of groceries. In addition, we served 5,788 clients via our Catholic Social Services program and 1,300 clients that needed emergency shelter and housing assistance.	six counties in the Black Belt Region of Alabama and in New Orleans, LA	The Bosco Nutrition Center in Selma - a soup kitchen serving a hot, nutritious lunch and dinner 365 days a year.    Meals of Hope  delivering nutritious meals to homebound elderly and disabled.   Food Pantries  providing both meals and grocery bags of nutritious food from our centers located in the rural communities of Selma, Pine Apple, Mosses and Vredenburgh.   Catholic Social Services  a program that exclusively helps families, children and seniors who have suffered a catastrophic emergency; need utility and/or rental assistance, clothing and prescription assistance; and/or require help securing transportation to doctor visits.   Family Emergency Housing - currently providing emergency shelter for those displaced by a home fire, in need of shelter during inclement weather, about to be evicted from their residence or who are completely homeless.	Emergency Assistance, Food, Human Services, Meals on Wheels, Soup Kitchens	-we move individuals and families from being food insecure to food secure -improve the health of seniors and the homebound -free up clients limited resources so they can purchase medicine and other critical needs -keep children nourished so they are healthier and perform better in school -provide clothing to help reduce self-esteem issues -gain employment for the unemployed -keep people in their homes -keep utilities on -provide emergency shelter and housing repairs -improve the overall health, hygiene and safety of the community -reduce crime and violence -give hope and joy to those feeling overwhelmed by lifes circumstances
Caring Now For Kids With Cystic Fibrosis Inc	http://		EIN 20-1857120	PO Box 27	Bay Minette	AL	36507	USA						Birth Defects & Genetic Diseases, Health	
THOMAS-HINES EDUCATIONAL TRAINING CENTER	http://www.thetrainingcenter-bhm.org/		EIN 63-1229158	555 Sparkman Drive, Suite 1602-F	Huntsville	AL	35816	USA		Youth and young adults who are at-risk, individuals with prior convictions and the economically disadvantaged	twenty individuals	Madison County	Microsoft Office suite to include Word, Excel, Power Point and Access leading to Computer Aided Drafting in addition to assistance with the students learning needs	Education	
Lunches for Learning	http://www.lunchesforlearning.org	334-657-9069	EIN 20-4355066	6670 Vaughn Rd	Montgomery	AL	36117	USA	Lunches for Learning, Inc. exists to help break the cycle of poverty by providing nutritious lunches to the children in public elementary schools in the Valle Province, Honduras.		Over 1,400 elementary students in 2012	Valle Province, Honduras		Food, Food Programs	1,434 elementary students fed in 2012; 193 sixth graders graduated in 2012; 0 students dropped out of school in 2012
Alabama Harvest, Inc.	http://		EIN 63-1208303	312 Montgomery St  #312	Montgomery	AL	36104	USA	ALABAMA HARVEST?s mission is to reduce the waste of good food and safely provide it to social service agencies feeding Alabama?s hungry men, women and children.    Operating as a telephone and transportation system, our commercial truck drivers now pick up donated food in a ten county area and deliver it immediately to approved soup kitchens and shelters feeding those in need.    Our proven specialty is our proper handling of perishable food.  Our uniqueness is our dependability and professionalism.    ALABAMA HARVEST is an ?all win? situation for food companies, social service agencies and Alabama?s people in need.					Centers to Support the Independence of Specific Populations, Food, Food, Agriculture & Nutrition, Human Services, Unknown	
The Church Of God Of Deliverance Of The Apostles Faith	http://		EIN 63-0911100	Star Route	Silas	AL	36919	USA							
FACES	http://facesofmorganco.org		EIN 72-1355615	PO Box 964	Decatur	AL	35602	USA	PROVIDE SUPPORT TO FOSTER FAMILIES				Provide support to foster families	Children & Youth, Foster Care	
Alabama Emmaus Community Of N Al Conference United Meth Church Inc	http://	(205) 985-9608	EIN 63-1095144	1513 Bridgewater Ln	Hoover	AL	35244	USA	Sponsorship spititual renewal retreat				Sponsorship of numerous retreats at which individuals participated in activities designed to bring about spiritual renewal	Protestant, Religion	
ONEONTA FOUNDATION FOR EDUCATIONAL RESOURCES INC	http://www.oneontacityschools.com/	(205)625-3252	EIN 63-1242866	27605 State Highway 75	Oneonta	AL	35121	USA	O.F.F.E.R. Oneonta Foundation Mission Statement  The mission of Oneontas Foundation for Educational Resources (OFFER) is to support Oneonta City Schools in providing a challenging and enriching educational experience, maximizing the learning potential of every student while forming the cornerstone of our communitys future.  Who We Are 501(c) (3) nonprofit - tax exempt, philanthropic organization of citizens.  Volunteers sharing a vision to enhance education at OCS.  What We Do Provide funding for educational programs that fall outside the system budget.  Expand community involvement through fundraising events.  We Believe and Are Committed To All students deserve the best education our community can deliver. Oneonta City Schools are the foundation for our community. Working in partnership with the system to understand educational priorities. Operating ethically with the utmost professionalism and integrity, with clarity, transparency and accountability in all we do within the organization and community. Improvement and organizational renewal through continuous board planning and development.  A comprehensive approach to fundraising and responsible stewardship of all donations.  Why You Should Support OFFER Through community support OFFER continues to expand our annual income in order to ensure long-term viability for Oneonta City Schools. As our school grows, so should our foundation in order to meet greater needs. Currently OFFER has begun working to help support the systems goal of transitioning to a 1:1 technology environment. The system goal of every student having access to their own device, supported by digital content with immediate access to needed resources, will help our schools engage students and support teaching and learning. College and career readiness is a key priority in our education community. The increasingly competitive global economy makes it imperative more students enter career fields, enabling higher wages and greater potential for growth. Technology opens these doors and gives our students a clear advantage to help them succeed in the classroom and beyond.	OFFER is a 501(c)3 nonprofit organization formed to service the needs of all students and teachers at Oneonta City Schools in Oneonta, Alabama.	1476 Students enrolled in Oneonta City School System, K-12.	The mission of Oneontas Foundation for Educational Resources (OFFER) is to support Oneonta City Schools in Oneonta, Alabama by providing a challenging and enriching educational experience, maximizing the learning potential of every student while forming the cornerstone of our communitys future.	Through community support OFFER continues to expand our annual income in order to ensure long-term viability for Oneonta City Schools. As our school grows, so should our foundation in order to meet greater needs. Currently OFFER has begun working to help support the systems goal of transitioning to a One to One technology environment. The system goal of every student having access to their own device, supported by digital content with immediate access to needed resources, will help our schools engage students and support teaching and learning. College and career readiness is a key priority in our education community. The increasingly competitive global economy makes it imperative more students enter career fields, enabling higher wages and greater potential for growth. Technology opens these doors and gives our students a clear advantage to help them succeed in the classroom and beyond.  Additional OFFER Programs and Services Include:  Capital Campaign, Homecoming Tailgating Party, Family Movie Nights, Teacher of the Year Grants, Classroom Assistance Program, Educational Grant Writing, Community Supported Programs, A Midsummer Night's Run, Semi-Annual Raffle Fundraisers, Active Social Media and School Promotion.	Education	Manages OFFER's annual budget and cash flow to ensure a financially healthy 5013 organization. Increased annual incomes from 10K to over $200,000.00. Awarded $5,000.00 CAWACO RC&D Grant 2016 Cycle. Awarded $10,000.00+ Walmart Foundation Grants 2013 - 2016 Cycles.  Awarded $310,000.00 ARC Grant 2015 & 2016 Cycles. Pending awards of $75,000.00 additional grants completed 2016.  Spearheaded the following activities: Capital Campaign for Technology, Homecoming Tailgate Party, Teacher of the Year Grants and Classroom Assistance Program, Special Programs Assistance, and Educational Grant Writing. Forged community supported fundraising projects: Family Movie Nights, OFFER Raffles, Bake and Rose Sales, A Mid Summers Night Run and Hometown Focus on ABC 33/40. Spur active social media and public relations to engage the public and advance the Foundations mission.  https://www.facebook.com/OneontaFoundationforEducationalResources/ https://twitter.com/OFFER_Oneonta
Nexus Energy Center	http://www.nexusenergycenter.org	(256) 539-6225	EIN 27-1665380	One Tranquility Base C/o Ussrc - Et	Huntsville	AL	35805	USA	Promoting eneregy efficiency				Nexus energy center has been administering the wise program using grant funds from the doe better buildings program and the state energy program through adeca. Using the grant funds, we have been providing rebates to homeowners for eneregy efficiency measures installed as well as providing marketing and educational services to the community.   nexus manages a revolving loan program for energy improvements through adeca using state energy program funds	Environment, Natural Resources Conservation & Protection	
Alabama Blues Project	http://www.alabamablues.org	205-752-6263	EIN 63-1265205	712 25th Avenue	Northport	AL	35476	USA	Our mission is the preservation of blues music as a traditional and contemporary art form through interactive programs that educate and entertain. With educational programs, live performance, exhibits, and the development of archival and curriculum materials, we increase awareness of the role blues music has played in the development of popular American music, with a special focus on Alabamas contribution to that history. We pass on Alabamas blues culture to children while teaching self-esteem, discipline, cross cultural understanding, interaction, and teamwork.	Our blues camps serve children between the ages of 8-17. While we are open to the entire community, we make a special effort to recruit at-risk children. Our camps are often very diverse. Any school may bring the Alabama Blues Project in for a program. We especially travel to schools in rural areas where funding for arts and music has been cut. Our Alabama blues preservation programs benefit the state for tourism and blues lovers from everywhere!		Blues Camps in the West Alabama are and School Programs nationwide	Educational programs about blues music	Arts & Culture, Arts Education, Children & Youth, Children & Youth Services, Cultural & Ethnic Awareness, Music	The Alabama Blues Project is a non-profit 501(c)3 organization which started in 1995 with a mission to educate the public about the importance of our wonderful Alabama blues heritage. Through programs that educate and entertain, the Alabama Blues Project has grown into an award-winning organization celebrating past and present Alabama blues artists while helping to preserve the rich blues culture of this state.  The late, great, legendary blues man Johnny Shines realized the importance of blues education and often visited schools in the Tuscaloosa, Alabama, area. He became our inspiration for creating the Alabama Blues Project's educational programs. We now present a wide range of blues education programs, workshops, and school residencies across our state and beyond.  These education programs have become part of a wider movement of innovative arts and education programming throughout the country. The ABP is proud to have been the recipient of several awards for its arts programming, including the Druid City Arts Award, the Blues Foundation's "Keeping The Blues Alive" award, and the national "Coming Up Taller" award from the Presidents Committee on the Arts and Humanities.  The importance of the multi-cultural and interdisciplinary character of teaching about the blues cannot be overstated: it is an outstanding way to connect to America's social and musical history. Through a study of the blues, students learn that "black history" is American history, and that the blues is the result of the blending of African and European musical cultures. While learning blues history, students also learn about geography, history, politics, economics, the study of culture, and music appreciation. Lyrics spark history lessons, and songwriting is used to develop creative-writing and critical-thinking skills. The active involvement and sense of achievement gained from engaging in performing arts foster self-esteem and confidence in students. They develop skills in communication and teamwork by participating in the performing arts with fellow students. Because the blues began as an African American art form, students witness a slice of America's cultural heritage and learn to respect the contributions of diverse groups within the fabric of society. The arts should be at the core of any well-rounded curriculum, and at a time when cuts for arts education have become widespread, blues education programs offer a way to bring the arts back into schools in a relevant form.  The blues originated as a uniquely Southern art form, so students of the blues learn about the impact our region has had on modern American musical culture. Our programs emphasize regional artists, which helps to build cultural self-esteem, a sense of history, and a mutual respect between the races. Studying the blues is a perfect way to jump-start students into a deeper appreciation of the music they hear every day by linking it to the roots of American music. Students can then more easily make connections to other forms of music, such as rock and roll, country, and rap, which evolved from the blues. As our unique blues heritage is revealed to us, we can develop a sense of cultural pride in ourselves as Alabamians.  Despite the crucial role the blues has played in the evolution of American music, it is not currently in the mainstream of modern popular music. Like jazz and classical music, the blues is rarely heard on commercial radio, though it can be heard on weekly blues shows thanks mostly to public and university-owned radio stations. It has been many years since a blues song became a Top 40 radio hit, and children rarely have the opportunity to hear blues music performed live. Blues education programs like ours are designed to counter these effects while providing the many benefits outlined above.  The state of Mississippi and cities such as New Orleans, Memphis, and St. Louis, are among the many areas that have celebrated and promoted their unique blues history. Mississippi presents many annual blues festivals throughout the state and actively pursues international blues tourism. There are an increasing number of blues museums across the state which document and celebrate regional blues musicians and blues culture. The University of Mississippi's Center for the Study of Southern Culture publishes the internationally renowned monthly magazine "Living Blues" and is also building an impressive blues archive. A new Mississippi Blues Trail celebrating significant blues sites and contributors to the state's blues music tradition has been launched through the Mississippi Development Authority's Tourism Division Heritage Trails Program and The Mississippi Blues Commission.  In contrast, it seems that Alabama is only beginning to recognize and celebrate its rich blues history. We would like to stimulate and encourage a greater awareness, understanding, and appreciation of Alabama blues throughout the state and beyond so we can help bring attention to the many outstanding Alabama blues men and women who have worked so hard to create this wonderful music.
Walker Area Community Foundation	http://www.wacf.org	(205) 302-0001	EIN 63-1154984	PO Box 171	Jasper	AL	35502	USA	The mission of the Walker Area Community foundation is to serve as a nonprofit dedicate to the nurture and advancement of the community through forming and preserving charitable capital and using the proceeds of that capital to better the community as a whole.				A program to engage youth in community service, to teach them about philantrophy, and to allocate funds to local nonprofits.	Arts & Culture, Community Coalitions, Community Foundations, Philanthropy	
Madison Dont Drugs Offer No Tomorrow	http://		EIN 59-3162300	100 Hughes Rd	Madison	AL	35758	USA						Mental Health, Substance Abuse Prevention	
North Alabama Wildlife Rehabilitators	http://		EIN 63-0990740	PO Box 2305	Huntsville	AL	35804	USA							
Exchange Club Of Irondale Foundation	http://		EIN 63-1125168	PO Box 100192	Irondale	AL	35210	USA							
Englewood Pto Inc	http://	(205) 792-7237	EIN 72-1364807	10300 Old Greensboro Road	Tuscaloosa	AL	35405	USA	Provides for englewood elementary school				Englewood pto provides technology equipment and other school support for the benefit of the students (approx. 650) of englewood elementary  englewood pto provides funds needed to pay salaries, support and purchase needed supplies for music and isi teachers of englewood	Education, Parent & Teacher Groups	
Bucket Foundation	http://www.thebucketfoundation.com	(256) 533-7040	EIN 20-0292424	1388 Mcmullen Rd	Gurley	AL	35748	USA					Animal shelter	Animal Protection & Welfare, Animals	
First Christian Church	http://		EIN 63-0859872	Po Box 966	Athens	AL	35612	USA							
Warrior Baseball Association Inc	http://www.warriorbaseball.info/	(205) 759-9127	EIN 63-0753053	Po Box 29	Northport	AL	35476	USA	Warrior baseball association, inc. 's mission is to provide a wholesome athletic program for the youth of the city of northport, alabama in a family friendly environment.				Summer and fall youth little league baseball program for children 4-18 years of age.   summer baseball program for youth ages 4 through 18.		
Progressive Agriculture Foundation	http://progressiveag.org/	303-601-2915	EIN 63-1166618	PO Box 530425	Birmingham	AL	35253	USA	Our vision is that no child would become ill, be injured or die from farm, ranch and rural activities.  Our mission is to provide education and training to make farm, ranch and rural life safer and healthier for children and their communities.	Rural youth and families throughout North America	100,000	United States and Canada	Progressive Agriculture Foundation Safety Day Program	Children & Youth, Disaster Aid, Philanthropy, Public Safety, Disaster Preparedness & Relief, Voluntarism Promotion, Youth Development, Youth Development - Agricultural	The rate of childhood injury on farms and ranches has declined by nearly 60 percent since 1998, an encouraging sign that research and public awareness efforts are making an impact in one of the nations most hazardous industries.  An independent evaluation by the University of Alabama has shown there is a marked improvement in safe behaviors for those who attend our programs.  Highlights include:  A rigorous evaluation of the program was conducted by the University of Alabama Institute for Social Science Research.  This evaluation was funded by the National Institute for Occupational Safety and Health (NIOSH).   Results indicate Safety Day participation has an effect on safety awareness and behavior in children.  When comparing three-month and one-year follow-up interviews to pre-event responses, there is a significant increase in knowledge and safe behaviors for the participants.  Knowledge scores for each age group in the sample show similar results, regardless of age.  The data also indicate indirect benefits of a Safety Day.  As children and adult volunteers disseminate the information learned, the community as a whole has a stronger sense of safety awareness.  Results also show enhanced community strength and cohesiveness, due to the cooperation of individuals and organizations to achieve a common goal.  A new multi-year evaluation, funded by NIOSH and conducted by the University of Alabama and University of Kentucky, will conclude in 2011.  It also includes an analysis of the benefits of follow up boosters after the Safety Days.
National Council Of Negro Women	http://		EIN 91-1917239	PO Box 861463	Tuscaloosa	AL	35486	USA							
Family Of A Vet Inc	http://		EIN 27-1777696	Po Box 669	Daphne	AL	36526	USA						Military & Veterans Organizations, Veterans	
Carlisa, Inc.	http://www.pleasebelievepeoplearehungry.com/	(251)727-2411	EIN 94-3421300	1198 Old Castleberry Road Lisa Thomas McMillan	Brewton	AL	36426	USA	Carlisa Inc. is a 501c3 non-profit food organization thats been feeding the hungry and needy in America from 2002. Lisa Eleze Thomas Mc-Millan, founder of Carlisa Inc. was personally a victim of hunger all through her student life and knew how divine it felt like when one shared their food and blessings with another. And it was 1995 when she vowed to herself that nobody should ever have to worry about having enough to eat thereafter. Lisa started her community service in her hometown Brewton, Al by preparing and delivering hot lunches for the elderly and the disabled. As she became more aware of the hunger crisis that prevailed in society, she also started a Rolling Grocery Store on her van and delivered essential groceries and vegetables to people who couldnt afford them. She also started offering a free feeding program in her restaurant and started Brewtons first Thanksgiving Day and Christmas Day dinners. Then came into existence, Carlisa Inc. in 2002, a non-profit food bank, in fact Brewtons first food bank to be open to the public seven days a week. Along with feeding the senior and disabled citizens of Brewton, Carlisa Inc. also provides hot lunches for students in college campuses of major American universities including the Jefferson Davis Community College four days a week. To know more about our non-profit food bank and to make donations, visit http://www.pleasebelievepeoplearehungry.com/ and http://www.pleasebelievepeoplearehungry.com/blog/.	Make sure no one goes hungry in our community.	53 elderly people, over 100 college students and hundreds of people in our community.	Brewton, AL and all surrounding small towns.	Hot meals program...and hot meals delivery program.	Centers to Support the Independence of Specific Populations, Emergency Assistance	
Pta Alabama Congress	http://www.alabamapta.org		EIN 63-6056015	990 Ryland Pike Central Middle	Huntsville	AL	35811	USA	The mission of the National PTA is threefold:					Education, Parent & Teacher Groups	
Alabama Casa Network Inc	http://www.alabamacasa.org	(205) 423-0516	EIN 72-1374587	1919 Oxmoor Rd Suite 381	Homewood	AL	35209	USA	Child protective services				Child protective services  child protective services	Child Abuse Prevention, Children & Youth, Children & Youth Services, Civil Rights, Crime & Law, Domestic Violence, Protection Against Abuse	
Alabama Reclamation Association	http://		EIN 57-0901415	PO Box 809	Jasper	AL	35502	USA							
The Community Foundation Of Greater Decatur	http://		EIN 63-0864276	Po Box 2003	Decatur	AL	35602	USA	Betterment of the community				All programs through the community foundation of greater decatur are expressly for the betterment of the greater decatur, alabama community.   to support charitable organizations and specific projects that help to improve the quality of life for the residents of the decatur, alabama area		
