name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served
Central North Dakota Cancer Registry Inc	http://	(701) 222-6135	EIN 45-0373656	500 N 8th St	Bismarck	ND	58501	USA	Cancer	Accumulation of data concerning cancer tumors to assist in the development of methods and treatments of the disease.		Central nd cancer registry collects cancer data pertaining to the site, histology, incidence, procedures and therapies performed for survival statistics and outcome analysis of cancer diagnosis in central north dakota			
Leach Foundation	http://		EIN 45-6011507	714 4th St N	Wahpeton	ND	58075	USA							
Rebuilding Together Greater Bismarck-Mandan Area	http://	(701) 221-3232	EIN 45-0448654	Po Box 874	Mandan	ND	58554	USA	Community Improvement & Capacity Building, Homeless & Housing, Housing Rehabilitation	Sponsor a community effort on one day each year to rehabilitate the houses of low-income, elderly, and disabled so they may continue to live independently.		Sponsor a community effort to rehabilitate the houses of low-income, elderly, and disabled so they may continue to live independently. Seven homes were rehabbed in 2015 by volunteers. The majority of the work is done on a designated rebuilding day and volunteers also provide general spring clean up and light maintenance to local non-profits.			
St Marys Catholic Education Foundation	http://		EIN 36-3428688	332 2nd St N	Richardton	ND	58652	USA							
Newburg Area Senior Citizens	http://		EIN 45-0351994	228 Akin St	Newburg	ND	58762	USA							
Womens International Bowling Congress Inc	http://		EIN 45-0363802	405 S 5TH St	Wishek	ND	58495	USA							
Handi-Wheels Transportation Inc	http://www.handi-wheels.org/	(701) 232-3231	EIN 45-0348910	2525 Broadway	Fargo	ND	58102	USA	Human Services, Transportation Assistance	It is handi-wheels' mission to provide a safe, reliable means of accessible and affordable transportation service to individuals who have a disability, persons who are elderly, and individuals who live within the limits of a poverty income. Handi-wheels embraces and is fully committed to the observances of human and disability rights. As such, handi-wheels is dedicated to the rights of its patrons to a transportation service of the highest quality.		In 2014, we provided 11,400 rides to physically, visually, and/or developmentally disabled persons and aides. This number also includes rides provided to senior citizens, low income, refugees, church fares, and medical related rides.			
Hurdsfield Senior Citizens Club	http://		EIN 51-0198371	PO Box 5	Hurdsfield	ND	58451	USA							
Best Friends Mentoring Program	http://www.westernwellness.org	701-483-8615	EIN 45-0442812	PO Box 542 135 W Villard St	Dickinson	ND	58602	USA	Federated Giving Programs, Philanthropy	Western Wellness Foundation Inc. was founded in 1995. Today, our mission is making a positive difference in children and families, one at a time. We serve the eight-county region of southwest North Dakota. The Best Friends Mentoring Program is the main program of Western Wellness, which holds the 501(c)3 status for all its programs.	We match a minimum of 175 youth each year with a trained, caring adult volunteer mentor. Our recently-completed external evaluation showed that: 94% of mentored youth in Best Friends Program improved their behavior 90% of mentored youth improved their academic competency 88% improved their social skills 42% demonstrated overall GPA improvement in math and reading, combined	School-based mentoring: the mentor meets with the mentee at school, usually during the student's lunch time, to eat together and play on the playground or read or have computer time. Community-based mentoring: the mentor and mentee meet together outside of school time to enjoy activities together. Literacy Mentoring: the mentor provides encouragement, support and tutoring to the mentee during the school day.	at-risk youth, ages 6-16, in the 8 county region of southwest North Dakota.	More than 175 at-risk youth who need extra adult guidance and support to be successful.	8 counties of southwest North Dakota
Faith United Methodist Church Foundation	http://		EIN 45-0392806	909 19th Ave N	Fargo	ND	58102	USA							
Spaces For Living	http://	(701) 772-8188	EIN 45-0435851	Po Box 13932	Grand Forks	ND	58208	USA	Health, Nursing Facilities, Seniors	Spaces for living inc provides low income housing to eligible persons in grand forks nd		Spaces for living inc provides low income housing to eligible persons in grand forks nd			
AFRICAN SOUL AMERICAN HEART	http://www.asahinsudan.org	7014787800	EIN 26-2221116	300 NP Ave Ste 308 Debra Dawson	Fargo	ND	58102	USA	Centers to Support the Independence of Specific Populations	The mission of African Soul, American Heart (ASAH) is to Protect, Educate, and Empower orphaned girls from South Sudan. Due to the ongoing civil war, we operate our program in northern Uganda to ensure the safety of our students and to have access to schools and other opportunities unavailable in their home country.	We opened our boarding school in Jonglei State, South Sudan in 2012 with 13 students in South Sudan and 11 in Kenya. By 2013 we had total 40 students. Our South Sudan students fled with their extended families in February 2014 after the war reached their villages. We located them in 11 different refugee camps in three countries and moved them to Moyo, Uganda. We currently have 47 students in Uganda and two in Kenya, including our first girl in college.	housing and compassionate care at our compound, food, clothing, medical care, school fees and uniforms, sports, and extracurricular activities.	Protect, Educate and Empower orphaned girls from South Sudan	47 orphaned students	Uganda and South Sudan
Sanford	http://		EIN 45-0228899	Po Box 2010	Fargo	ND	58122	USA	Community Health Systems, Health	The mission of Union Hospital is to provide high quality, comprehensive health care services for the population that the hospital serves. Its goal is that of improving the health and well-being of that population.					
North Dakota Adult Education Association	http://		EIN 45-0131964	1610 Earl Cir	Grand Forks	ND	58201	USA	Sports						
Lake Region Baseball Boosters	http://	(701) 662-7105	EIN 45-0436414	Po Box 1061	Devils Lake	ND	58301	USA	Baseball & Softball, Sports	Provide support for the devils lake american legion baseball team		Organization pays for coaches, team travel, baseball field maintenance, team uniforms, baseball equipment and supplies, umpires for games, and prints an annual booklet containing information on the team.			
International Peace Garden Inc	http://www.peacegarden.com	(701) 263-4390	EIN 45-0282156	10939 Highway 281	Dunseith	ND	58329	USA	Camps, Sports	Signify ongoing peace between the united states and canada.		General operation of the garden.			
Youth For Christ Usa Inc	http://		EIN 45-0444046	PO Box 276	Cando	ND	58324	USA	Children & Youth, Youth Development - Religious Leadership						
Sleepy Hollow Summer Theatre	http://www.shst.org	(701) 319-0894	EIN 45-0424373	Po Box 675	Bismarck	ND	58502	USA	Arts & Culture, Arts Education	To play a significant role in the welfare and educational growth of our citizens while nurturing youth by providing quality pre-professional educational opportunities in the arts that result in the cultural enrichment of our communities and state.		The organization provides an environment where young people ages 6-20 learn about and participate in theatre and musical productions through classes and performances.			
Tuttle Senior Citizens	http://		EIN 45-0348084	306 E Highway 36	Tuttle	ND	58488	USA							
Good Shepherd Foundation New Rockford Inc	http://		EIN 36-3711479	1226 1st Ave N	New Rockford	ND	58356	USA	Health, Nursing Facilities, Seniors						
Society Of American Foresters	http://		EIN 52-1273258	1916 Mesquite Loop	Bismarck	ND	58503	USA							
Unified Christian Ministry Corp At University Of North Dakota	http://		EIN 45-0274882	Po Box 13496	Grand Forks	ND	58208	USA							
Companions For Childrens Inc	http://www.companionsforchildren-minot.org	(701) 838-5784	EIN 45-0341987	308 2nd Ave Sw	Minot	ND	58701	USA	Adult & Child Matching Programs, Big Brothers & Big Sisters, Children & Youth	Youth mentoring organization		Companions for children provides positive, screened role models to youth from single parent homes. Cfc insures the safety of youth with a rigorous mentor screening process.			
Cavalier Hook And Ladder Society	http://	(701) 265-4753	EIN 36-4028160	Po Box 183	Cavalier	ND	58220	USA	Emergency Medical Services & Transport, Health	Raising funds for the fire department and rescue squad and other local nonprofit organizations		Provided funds to local daycare facility for furnace ($1210), cavalier retail committee for promotion($779), cavalier school for prom($1088), pembina county hospital for room update ($1210); united lutheran church for mission trip ($1088); and park river youth hockey for equipment ($778)			
Touch Inc	http://		EIN 36-3337511	720 N 14th St	Bismarck	ND	58501	USA							
Linton Hospital	http://lintonhospital.com	(701) 254-4511	EIN 45-0253272	518 N Broadway St	Linton	ND	58552	USA	General Hospitals, Health	The mission of linton hospital and clinics is to enhance the health, well-being, and quality of life of the people we serve.		Linton hospital is a 14-bed critical access hospital that has available 24-hour licensed healthcare practitioners and nursing services. Swingbed services are available for patients requiring skilled care. Emergency room care is provided to over 1,500 emergency room visits per year. Linton hospital also provides the following services: operating room, anesthesia services, dietary services, medical records services, pharmaceutical services, laboratory services, housekeeping, electrocardiograms, sleep studies, cardiac rehab, physical therapy, ultrasound services, radiology, digital mammogram services, cardiac stress tests, mri services, ct scan and diabetic education services. The organization provides these services through participation in the government programs such as cms. Linton hospital's community caring program (charity care) policy provides discounted or free services to patients who qualify. This policy is designed to ensure that the communities served have access to needed healthcare.   linton hospital owns and operates 3 clinics in the cities of linton and hazelton, nd and herreid , sd. Two of these clinics are designated rural health clinics and the hazelton clinic is a free-standing clinic. Linton hospital employs one family practice physician, three nurse practitioners, and one physician assistant to provide services to the hospital and clinics. Total clinic visits were 9,463 this year. The organization provides these services through participation in government programs such as cms. Linton hospital's community care program policy provides discounted or free services to patients who qualify. This policy is designed to ensure that communities served have access to needed healthcare.   linton hospital operates the emmons county emergency ambulance service (including foot care) which covers a service area of 1,555 square miles. Emmons county is surrounded by kidder, logan, and mcintosh counties in north dakota and campbell county in south dakota. The emmons county emergency ambulance service provides 24 hour, 7 days a week advanced life support service to a population of approximately 3,500 residents. Linton hospital provides these services through participation in government programs such as cms. The organization's community care policy provides discounted or free services to patients who qualify. This policy is designed to ensure that communities served have access to needed healthcare.   other revenue includes income generated from contracted physicians, cafeteria sales, sale of supplies and rental of hospital space.			
Ag Foundation	http://		EIN 45-0384204	2975 Highway 25	Mandan	ND	58554	USA	Arts & Culture, Arts Education						
Society Of Saint Pius X Dickinson North Dakota Inc	http://		EIN 45-0425266	Hc 1 Box 86g	Manning	ND	58642	USA							
Pine To Prairie Girl Scout Council	http://www.gsusa.org		EIN 45-0279082	P.O. Box 12499	Grand Forks	ND	58208	USA	Children & Youth, Girl Scouts of the U.S.A.	Pine To Prairie Girl Scout Council was founded in 1912 by Juliette Gordon Low to inspire in all girls the highest ideals of character, conduct, patriotism, and service, that they may become happy and resourceful citizens.					
North Dakota Knights Of Columbus Foundation	http://		EIN 45-0382102	3221 46th Ave S	Fargo	ND	58104	USA							
Mon-Dak Gymnastics Support Group	http://	(701) 572-6113	EIN 45-0404721	Po Box 53	Williston	ND	58802	USA	Amateur Sports, Sports	To provide an instructive environment for young gymnasts.		Held many classes for young gymnasts and provided opportunities			
Southeast Rural Vision Enterprises Foundation	http://		EIN 45-0433247	3312 42nd St S Ste 200	Fargo	ND	58104	USA							
The Arnegard Booster Club Inc	http://		EIN 45-0432360	Po Box 503	Arnegard	ND	58835	USA	Fairs, Sports						
Hunter Friendship Club	http://		EIN 45-0336875	515 1st St W	Hunter	ND	58048	USA							
Golden Jet Set	http://		EIN 45-0336070	Po Box 385	Parshall	ND	58770	USA							
Aglow International	http://		EIN 45-0451188	3589 Sunrise Dr	Valley City	ND	58072	USA							
Ronald Mcdonald House Charities Of Bismarck	http://www.rmhcbismarck.org	(701) 258-5131	EIN 36-3705683	Po Box 7323	Bismarck	ND	58507	USA	Homeless & Housing, Housing & Shelter	The mission of ronald mcdonald house charities of bismarck (rmhc) is "to improve the lives of children and their families. " in support of this mission, rmhc-bismarck owns and operates the ronald mcdonald house, the ronald mcdonald care mobile, the rmhc grant and scholarship programs.		Ronald mcdonald house program: as its core program, rmhc owns and operates the ronald mcdonald house of bismarck which provides temporary housing for the families of seriously ill children receiving medical treatment at the local medical facilities. In 2014, the house served 189 families for a total of 1,767 night's occupancy. Families are asked to contribute $10/night for their stay, but no one is turned away for inability to pay. The house serves pediatric patients and their families, age 0-18.   rmhc grant program: the rmhc grant program awards grants to local 501(c)(3) organizations that directly benefit children and their families. Grant focus areas are healthcare and medical research, civic and social services, and education and the arts. The grants are funded by promotions in the local mcdonald's restaurants and a matching grant program funded by rmhc, inc. In 2014 rmhc of bismarck provided total grants of $17,500 to other nonprofits serving children.   ronald mcdonald care mobile program: the ronald mcdonald care mobile is a state of the art mobile dental clinic that brings oral health care to underserved children in their own neighborhoods. The program serves children age 0-21 who do not have a regular dentist or who have not seen a dentist in the past two years. Rmhc-bismarck contracts with bridging the dental gap to provide the dental services. In 2014 we treated 1,008 children. We bill insurance when possible, but no child is turned away for inability to pay.   rmhc scholarship program: the rmhc scholarship program awards scholarships to outstanding high school graduates based upon academic achievement, financial need and community involvement. In 2014, rmhc-bismarck awarded six $500 scholarships with equal matching grants from rmhc, inc. The scholarships are funded by promotions sponsored by the local mcdonald's restaurants and a matching scholarship fund by rmhc, inc. In oakbrook, il.			
Bismarck Chemical Health Foundation	http://		EIN 36-3521760	1107 Airport Rd	Bismarck	ND	58504	USA	Mental Health, Substance Abuse Prevention						
Noonan And Community Senior Citizens Club Inc	http://		EIN 45-0336287	Po Box 295	Noonan	ND	58765	USA							
United Way Of Dickinson Inc	http://www.dickinsonunitedway.org	(701) 483-1233	EIN 45-0345635	Po Box 501	Dickinson	ND	58602	USA		To fund various community nonprofit organizations in southwest north dakota.		Payments to other 501(c)(3) organizations who have applied for and met the criteria established by the board of directors and the organization's bylaws and articles of incorporation.			
New Life Assembly Of God	http://		EIN 45-0369792	520 Winter Show Rd Sw	Valley City	ND	58072	USA							
Nutrition For North Dakota Day Care Children North Inc	http://www.minot.com/ndc	(701) 838-6709	EIN 45-0383110	1408 20th Ave Sw Ste 5	Minot	ND	58701	USA	Food, Nutrition	Sponsor the us department of agriculture child and adult care food program in north dakota. Through this program, ndc reimburses meals and snacks served to children in licensed day care homes, monitors the homes and the food served to children, and provides nutritional education to the providers.		Provide financial reimbursement for nutritional meals to approximately 200 eligible home licensed day care providers per month.			
Patricia Vogel Foundation	http://		EIN 45-6015911	PO Box 1389	Fargo	ND	58107	USA							
Episcopal Diocese Of North Dakota	http://		EIN 45-0232404	3600 25th St S	Fargo	ND	58104	USA							
Harvey Ambulance Service Inc	http://	(701) 693-6316	EIN 45-0354864	Po Box 4	Harvey	ND	58341	USA		Provide emergency medical		Provide emergency medical and ambulance service			
Camp Rokiwan Inc	http://		EIN 45-0258851	Po Box 484	Jamestown	ND	58402	USA							
Griggs County Community Youth Project	http://		EIN 45-0413375	Po Box 44	Cooperstown	ND	58425	USA	Human Services, Thrift Shops						
Western Region Odyssey Of The Mind	http://		EIN 45-0445907	1140 N Fourth St	Bismarck	ND	58501	USA	Arts & Culture, Arts, Culture & Humanities						
Gary Fulsebakke Ministries, Inc.	http://		EIN 45-0411156	PO Box 105	Dunseith	ND	58329	USA							
Civil Air Patrol	http://www.capnhq.gov/		EIN 45-0433558	PO Box 2104	Bismarck	ND	58502	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.					
Fort Pembina Historical Society	http://		EIN 45-0349955	375 S 2nd St	Pembina	ND	58271	USA							
Greater Grand Forks Area Crime Stoppers, Inc.	http://		EIN 45-0381348	PO Box 5483	Grand Forks	ND	58206	USA	Children & Youth, Crime & Law, Crime & Legal-Related, Crime Prevention, Youth Violence Prevention	Founded in 1979, to promote the welfare of communites throughout the country and to lessen the burdens of federal, state and local governments by:					
4-H Clubs & Affiliated 4 H Organizations	http://		EIN 45-0438430	13411 24th St Sw	Belfield	ND	58622	USA							
Grand Forks Koinonia Center Inc	http://		EIN 45-0385270	305 S 4th St	Grand Forks	ND	58201	USA							
John Wilwerding Trust	http://		EIN 45-6060480	406 Main Ave.	Fargo	ND	58126	USA	Federated Giving Programs, Philanthropy						
National League For Nursing North Dakota League For Nursing	http://		EIN 45-6012060	411 7th Ave W	Williston	ND	58801	USA							
North Dakota Boys State Inc	http://	(701) 293-3120	EIN 45-0348478	Po Box 5057	West Fargo	ND	58078	USA	Children & Youth	Operate american legion boys state program		Fund educational program, american legion boys state that teaches the students the fundamentals of government to include "hands on" instruction of local, county & state government			
Pi Lambda Theta	http://		EIN 45-6014002	1014 Campbell Dr	Grand Forks	ND	58201	USA							
Germans From Russia Heritage Society	http://		EIN 23-7101332	1125 W Turnpike Ave	Bismarck	ND	58501	USA							
Fargo Jewish Welfare Association	http://		EIN 45-0429983	809 11th Ave S	Fargo	ND	58103	USA	Camps, Sports						
Shiloh Christian School	http://www.shilohchristian.org	(701) 221-2104	EIN 45-0348120	1915 Shiloh Dr	Bismarck	ND	58503	USA	Education, Preschools	Shiloh christian school is a private, inter-demoninational school		Education of children grades pre-school to grade 12.			
North Dakota Veterans Home Foundation Inc	http://		EIN 36-3615756	Po Box 673	Lisbon	ND	58054	USA							
Mortar Board Inc	http://www.mortarboard.org/		EIN 45-6013596	Box 8377	Grand Forks	ND	58202	USA	Education, Student Services	Mortar Board chapters across the nation are challenged to provide thoughtful leadership to the campus and community, to create an environment of effective communication, to move toward a meaningful goal, and to maintain the ideals of the society.  Each chapter has the autonomy to determine its own implementation of the goals, National Project, and resolutions and recommendations set forth by delegates to the National Conference.					
Saint Paul Lutheran Church	http://		EIN 45-0308638	372 79TH Ave Nw	Halliday	ND	58636	USA							
Ransom County Historical Society	http://		EIN 45-0335268	12128 59th St Se	Nome	ND	58062	USA							
Suzuki School Of Music	http://		EIN 45-0397942	120 Lake Ave Apt 8	Bismarck	ND	58504	USA	Arts & Culture, Performing Arts Schools						
Senior Citizens Of Cavalier And Surrounding Community	http://		EIN 45-0342299	Po Box 193	Cavalier	ND	58220	USA							
Dunn County Historical Society	http://		EIN 45-0363742	Po Box 145	Killdeer	ND	58640	USA	Community Service Clubs						
Nome Senior Citizens Get-To-Gether Club Inc	http://		EIN 45-0345455	Local	Nome	ND	58062	USA							
Lutherans For Life	http://		EIN 45-0398350	Po Box 1202	Fargo	ND	58107	USA	Civil Rights, Right to Life						
Kidder County Council On Aging	http://	(701) 475-2708	EIN 45-0349498	202 1st Ave Nw	Steele	ND	58482	USA	Human Services, Senior Centers, Seniors	To provide seniors with title iii meals, outreach, health, and transportation services		To provide meals and transportation for seniors			
St Michaels Foundation	http://		EIN 45-0424499	520 N 6th St	Grand Forks	ND	58203	USA	Religion, Roman Catholic						
Mountain-Plains Youth Services Coalition	http://www.youthworksweb.com	(701) 255-7229	EIN 46-0345922	221 W Rosser Ave	Bismarck	ND	58501	USA	Group Homes, Human Services	Mountain plains youth works provides a comprehensive range of support services for youth and their families to meet goals for strong, healthy relationships.		Runaway and homeless youth: the runaway portion of this program provides services to youth that have run away from home or are at risk of running due to serious parent-child conflict. The key services provided include family counseling/reunification and emergency placement. The homeless portion of this program provides services to homeless youth and young adults (under 22 years of age). Young parents and expecting moms (under 22 years of age) are a priority population. The key services provide transitional housing and indiviudal counseling focused on removing the barriers to further education and employment. Also provides juvenile diversion program services to unruly youth diverted by the juvenile court. The primary services are individual counseling and family support.			
Greater Minot Zoological Society	http://		EIN 45-0321791	Po Box 538	Minot	ND	58702	USA	Animals, Zoos & Aquariums						
Sunset Center Club	http://		EIN 45-0309372	46 1st Ave E	Dickinson	ND	58601	USA							
Grafton Mennonite Church Church Of God In Christ Mennonite	http://		EIN 74-2760948	Rr 1 Box 89	Grafton	ND	58237	USA							
Family Career And Community Leaders Of America Inc	http://www.fcclainc.org/	(701) 328-3186	EIN 23-7571723	Po Box 6022	Bismarck	ND	58506	USA	Children & Youth, Youth Development - Agricultural	Organization assists high schools in the state of north dakota in education of students in family & consumer sciences.		Statewide student organization in north dakota high schools promoting family consumer sciences education through national, regional and statewide conventions and meetings.			
St Petri Lutheran Church	http://		EIN 45-6039287	Po Box 217	Hope	ND	58046	USA							
Stony Creek 4-H Club	http://		EIN 45-0418295	R 1 Box 24A	Epping	ND	58843	USA							
Central Dakota Sportsmens Club	http://		EIN 45-0384660	6480 Main St E	Carrington	ND	58421	USA							
Matpac Wrestling Club Inc	http://		EIN 45-0410854	6130 Carefree Cir	Bismarck	ND	58503	USA	Amateur Sports, Sports						
Griggs County Council Of Aging Cooperstown Senior Citzens	http://		EIN 45-0350567	603 Odegard Ave Sw	Cooperstown	ND	58425	USA							
Emergency Food Pantry Inc	http://www.emergencyfoodpantry.com	(701) 237-9337	EIN 51-0138107	Po Box 2821	Fargo	ND	58108	USA		Provide food to people in need		Providing food to people in need, who are referred by charities and social agencies; total served - 47,584 people  donation to other exempt organizations.   providing food to people in need, who are referred by charities and social agencies; total served - 47,584 people			
Mouse River Loop Genealogical Society	http://		EIN 45-0352067	Po Box 1310	Minot	ND	58702	USA							
Abuse Resource Network	http://	(701) 683-5061	EIN 45-0408516	Po Box 919	Lisbon	ND	58054	USA		Support services to victims of domestic violence - sexual assault and other crimes. We serve city and rural populations, men, women & children.		Support services to victims of domestic violence, sexual assault & other crimes. We serve city and rural populations - men - women & children.			
Hillsboro Charities, Inc.	http://		EIN 45-0336874	PO Box 280	Hillsboro	ND	58045	USA							
Lakehouse Kids Program	http://		EIN 41-1904819	PO Box 148	Dickinson	ND	58602	USA	Children & Youth, Youth Development Programs						
Golden Valley Manor Inc	http://	(701) 872-4282	EIN 45-0283294	260 5th St Sw	Beach	ND	58621	USA		Provide housing, meals and assisted living services to the elderly		Expenses related to the operations of the facility to provide housing, food and assisted living services for the elderly			
Cats Cradle Shelter Inc.	http://catscradleshelter.org	(701) 356-7877	EIN 45-3595537	9 9th St S	Fargo	ND	58103	USA		Our mission is to create a more humane and compassionate world one cat at a time. We rescue, care for, protect, and place cats for adoption in loving lifelong homes, and work to prevent abuse, neglect and cruelty to animals by educating the citizens of our community in the proper and humane care of not only cats, but all animals.	Prior to Cats Cradle Shelter opeining in 2012, there were HUNDREDS upon HUNDREDS of healthy, adoptable cats and kitten being euthanized in the 3 city pounds because there was no place for them to go.  The euthanasia rate immediately dropped to Zero and for the past 4 years it has remained at ZERO.  Our focus is to help acheive a no-kill nation.   Direct donations can be mailed to:  Cats Cradle Shelter, 9-Ninth St. So., Fargo, ND 58103 or online at www.catscradleshelter.org/donate	Since our inception, Cats Cradle Shelter has completed nearly 2000 adoptions. All of these had complete veterinarian services, including felv/fiv testing, vaccinations, spay/neuter and vaccinations. All intact cats had spay/neuter procedures done. We continued the renovations to our individual community-style rooms our rescue cats reside in. We were featured in many radio, magazine, newspaper and television presentations.	Rescue, shelter, and find loving homes for thousands of  lost, abandoned, abused and neglected cats and kittens.	In 2015 we rescued 524 cats and kittens and completed 525 adoptions.  We also helped many other rescues by donating food, accepting animals in need of medical care from other rescues.	Fargo, North Dakota
Church Of The Living God	http://		EIN 45-0408166	Po Box 1045	Minot	ND	58702	USA							
New Salem Historical Society	http://		EIN 23-7148100	4248 43rd Ave	New Salem	ND	58563	USA							
Lillian And Coleman Taube Museum Of Art	http://www.taubemuseum.org	(701) 838-4445	EIN 45-0309815	2 Main St N	Minot	ND	58703	USA		Enriching lives through the visual arts.		Promotion of visual arts through art museums, art shows and classes.			
HERO, Healthcare Equipment Recycling Organization	http://www.HEROFargo.org	701-212-1921	EIN 45-0457109	5012 53rd Street South Suite C	Fargo	ND	58104	USA	Environment, General Hospitals, Health, Health Care, International, International Relief, Recycling	HERO collects and redistributes donated healthcare materials to benefit those in need.	In 2012, HERO served a volume of 3,119 individuals and agencies in our local and regional community. A total of 33 different medical mission teams received over 97,000 pounds of supplies and we saved over 152,000 pounds of supplies from area landfills.	HERO serves people locally, regionally and globally.  Primary recipients are residents of North Dakota and Minnesota.  HERO is open Monday through Friday to provide individuals and agencies with medical supplies and equipment and accept equipment donations to redistribute to those in need.  HERO has 3 staff and hundreds of volunteers that sort, clean, and pack donations to give to those in need. Many college and high school students are provided volunteer service opportunities at at HERO.			
United Day Nursery Inc	http://		EIN 45-0311469	324 Chestnut St	Grand Forks	ND	58201	USA	Education, Preschools	child care and education; see attachment					
Near Fund 2020 Inc	http://		EIN 35-2461116	3120 25th Street Sw Ste 113	Fargo	ND	58103	USA	Brain Disorders Research, Health						
Emmanuel Evangelistic Association	http://		EIN 45-0319115	11 S 4th St	Grand Forks	ND	58201	USA							
United Methodist Churches	http://		EIN 45-0428831	13751 16 R St Se	Page	ND	58064	USA							
Northland Christian Counseling Center Inc	http://	(701) 795-8550	EIN 45-0430824	2315 Library Cir	Grand Forks	ND	58201	USA	Mental Health, Mental Health Associations	Christian counseling services		To provide counseling service in a christian setting that integrates biblical truths with healing process			
Volunteer Caregiver For The Elderly	http://		EIN 36-4059036	600 S 2nd St Ste 8	Bismarck	ND	58504	USA	Human Services, Senior Centers, Seniors						
Abate Of North Dakota	http://		EIN 45-0369430	1001 S 22nd St	Bismarck	ND	58504	USA	Automotive Safety, Disaster Aid						
North Dakota School For The Blind Foundation Inc	http://		EIN 45-0418222	2300 S Columbia Rd	Grand Forks	ND	58201	USA							
Action Resource Center	http://		EIN 36-3362412	Po Box 538	Stanley	ND	58784	USA							
Alumni Association Of The University Of N D	http://www.undalumni.org	(701) 777-2611	EIN 45-0363216	3501 University Avenue Stop 8157	Grand Forks	ND	58202	USA	Alumni Associations, Education	The alumni association was formed in 1889. Its mission of work includes:1. Retaining and strengthening friendships made on the campus by keeping graduates and former students in lifelong contact with each other. 2. Keeping graduates and former students informed of happenings at the university of north dakota. 3. Involving the graduates, former students and special friends in the ongoing growth and development of the university of north dakota. The alumni association of the university of north dakota aspires to promote a sense of pride, excitement and loyalty for its university by adapting to the ever-changing needs, attitudes and interests of und alumni and friends.		Alumni review:program accomplishments include a strong, consistent readership rate(roughly 80%) as determined in periodic alumni surveys. Additionally, reader feedback is strong and positive, collected via email, phone and letter in response to specific articles, inquiries for submissions, photographs, etc. The objective of the magazine is to fulfill the organization's mission of connecting alumni to each other, engaging them in campus happenings and educating them on how to help grow the university of north dakota, which is done through articles, pitches, photographs, and advertisements. The longer-term goal is to keep the magazine competitive against corporate magazines, as well as offer valuable online readership options.   alumni events:service accomplishments include meeting the organization's mission by gathering alumni together across the country,introducing alumni and friends to campus representatives such as the president, first lady, provost, deans, faculty or others. Objectives include targeting a 10% attendance rate based on the number of alumni in the community of the event.   marketing & public relations:as other programs indicated the goal is to fulfill the mission of the organization through education and building awareness. Accomplishments include media coverage of award recipients, fundraising success, local/regional events, and other matters of public service. The objective is less tangible for marketing and public relations; results are typically based on media coverage, event attendance, alumni feedback, and a general sense of awareness.			
Kulm Baptist Church	http://		EIN 45-0283404	Po Box 178	Kulm	ND	58456	USA							
Women's International Bowling Congress	http://		EIN 45-6038482	Box 461 502 Jackson Ave	Lisbon	ND	58054	USA							
Womens International Bowling Congress	http://		EIN 45-0385762	9897 106TH Ave Se	Oakes	ND	58474	USA							
Society For Preservation & Encourmt Of Barbershop Quartet Singing Amer	http://		EIN 45-6015310	305 N 48th St	Grand Forks	ND	58203	USA							
Community Betterment Association	http://		EIN 45-0432611	513 E Expressway 1	Bismarck	ND	58504	USA	Community & Neighborhood Development, Economic Development						
Abused Persons Outreach Center	http://	(701) 845-0078	EIN 45-0396802	Po Box 508	Valley City	ND	58072	USA		Provide advocacy, referral services, & education for victims of domestic violence & sexual assault.		The center provides referral services, advocacy, and public education in the areas of domestic violence and sexual assault. The center also maintains and staffs a 24-hour crisis line.			
Greater Grand Forks Community Theatre	http://	(701) 746-0847	EIN 45-0339467	412 2nd Ave N	Grand Forks	ND	58203	USA	Arts & Culture, Theater	Community theatrical productions		Theatrical productions - includes the total cost for producing 8 theatrical productions, production staff and set building costs with total attendance of 6,000 and 325 performers and volunteers			
Hoff Lutheran Church	http://		EIN 45-0351180	305 Highland St	Heimdal	ND	58341	USA							
