name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	In-Home Respite Care
The Movement Center	http://		EIN 99-0336987	1215 Center St Ste 211	Honolulu	HI	96816	USA	Arts & Culture, Dance							
Childrens Discovery Center	http://		EIN 99-0241632	111 Ohe St	Honolulu	HI	96813	USA	Arts & Culture, Children's Museums							
Hilo Family Practice Residency Clinic	http://		EIN 99-0313786	1292 Waianuenue Ave. 111	Hilo	HI	96720	USA	Ambulatory & Primary Health Care, Health							
Soil And Water Conservation Society	http://		EIN 99-0281819	Po Box 50004	Honolulu	HI	96850	USA								
Shdc No 6 Inc	http://		EIN 99-0312310	888 Iwilei Rd Ste 250	Honolulu	HI	96817	USA	Homeless & Housing, Housing Development, Construction & Management							
Koolauloa Educational Alliance Corporation	http://www.keac.org	(808) 293-8919	EIN 94-3262594	56-490 Kamehameha Hwy	Kahuku	HI	96731	USA	Education, Educational Services	The purpose of the ko'olauloa educational alliance corporation is to (1)provide career awareness, focus and experience for the students in the kahuku educational complex; (2) develop gender equitable curricula to infuse quality educational opportunities related to careers and career applications; (3) ensure that all students develop requisite affective attitudes, skills, values and ethics as a basis for successful living; (4) develop an appropriate school-to-career transition plan for every student; (5) encourage and facilitate communication and articulation between complex elementary schools, intermediate/high school and post secondary educational institution; (6) increase academic standards and (7) increase contextual learning.					We provide students with "hands-on" job training in merchandising, sales and accounting through a school store known as kahuku. Org.   we provide funding for avid college preparation courses, scholarships, and school to work programs at kahuku high school.   we provide funding for kahuku high school athletics and other school programs.	
Teen Challenge Hawaii	http://		EIN 99-0145008	PO Box 740	Waialua	HI	96791	USA	Religion, Religion-Related							
Leahi Soccer Club	http://		EIN 99-0260640	Po Box 10647	Honolulu	HI	96816	USA	Soccer, Sports							
Hoopono Koolau Loa Community Foundation	http://		EIN 94-3278712	2381 Kipuka St	Koloa	HI	96756	USA	Community Coalitions							
Ethnic Education Foundation Of Hawaii	http://www.kndi.com	(808) 946-2844	EIN 99-0304188	888 Mililani Street	Honolulu	HI	96813	USA	Arts & Culture, Television	Ethnic education to immigrants in their own language					Radio broadcast education programs for immigrant minorities in their own language that cover legal assistance, health and welfare, domestic violence to name a few	
Lanakila Church	http://		EIN 99-6011639	3518 Maunalei Ave	Honolulu	HI	96816	USA								
Hawaii Heart Foundation Inc.	http://www.hawaiiheart.org	8084408988	EIN 80-0652459	677 Ala Moana Blvd Suite 605	Honolulu	HI	96813	USA		Hawaii Heart Foundation is a 100% volunteer Hawaii based 501(c)3 established in 2010 with the mission to improve the cardiac arrest survival rates in Hawaii. As a part of this foundation a program based on an innovative, age-appropriate, reality-based, technology-rich approach to teaching lifesaving CPR and AED use in schools has been designed to help turn the sudden cardiac arrest (death) statistics upside down!			we taught over 5,000 people how to perform CPR and use an AED.	we teach on all of the Hawaiian Islands		
Agape Mission Baptist Church	http://		EIN 99-0241380	1635 A Palolo Ave	Honolulu	HI	96816	USA								
ALII PAUAHI-HAWAIIAN CIVIC CLUB	http://		EIN 99-0250059	99-045 Nalopaka Place c/o Keali`i T. Lum, President	Aiea	HI	96701	USA	Community & Neighborhood Development, Economic Development	To educate, research, preserve, and perpetuate the Hawaiian culture		Cradle to grave				
Na Po E Kokua Inc	http://		EIN 99-0295174	Po Box 492	Kahului	HI	96733	USA	Unknown							
National Spiritual Assembly Of The Bahais Of The Hawaiian Islands	http://		EIN 99-0187161	Po Box 162	Waianae	HI	96792	USA								
Arc Of Hawaii Housing Project Number 9 Inc	http://		EIN 99-0230651	3989 Diamond Head Rd	Honolulu	HI	96816	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing							
Hawaiian Island Water Polo	http://www.hiwpclub.com	(808) 544-3626	EIN 99-0251831	3844 Pokapahu Pl	Honolulu	HI	96816	USA		To educate, instruct, train, improve and develop amateur water polo players.					To provide an opportunity to learn and play water polo, supply coaching, training, as well as an annual water polo tournament.	
Kalani Mala Inc	http://	(808) 523-8826	EIN 99-0327623	1001 Bishop St Ste 2880	Honolulu	HI	96813	USA	Homeless & Housing, Housing Development, Construction & Management	To provide affordable housing for very low, low and moderate income families					Provided general support to eah, inc. , a related california nonprofit public benefit corporation, in furtherance of eah, inc. 's exempt purpose of providing affordable housing to elderly, very low, low and moderate income individuals and families.   through march 18, 2015, the corporation operated a 119 unit apartment complex for low-income families in honolulu, hi under section 236 of the national housing act. On march 19, 2015, the apartment complex was sold by means of an installment sale to a limited partnership that will rehabilitate the building for continued use as a low-income housing project.	
Jewish Community Of Kauai Inc	http://		EIN 99-0279708	Po Box 3749	Kapaa	HI	96766	USA								
Enterprise & Development Resources For The Pacific	http://		EIN 99-0255876	1485 Linapuni Street	Honolulu	HI	96819	USA	Unknown							
Mu Ryang Sa Buddhist Temple	http://		EIN 52-1993182	2333 Kapiolani Blvd Apt 3411	Honolulu	HI	96826	USA								
Edith Kanakaole Foundation	http://www.edithkanakaolefoundation.org	(808) 961-5242	EIN 99-0294540	1500 Kalanianaole Ave	Hilo	HI	96720	USA	Education, Scholarships, Scholarships & Student Financial Aid	The edith kanaka'ole foundation perpetuates the teachings, beliefs, practices, philosophy and traditions of edith k. Kanaka'ole and the native hawaiian traditional hula as practiced by mary kekuewa kanaele and edith k kanaka'ole. The organization strives to teach and encourage indigenous hawaiian cultural education through media material, teaching hawaiian language, rituals, chants, literature and other activities.					Kula kamali'i o hi'ikeakaikamalama is a comprehensive native-hawaiian family based early education center. Education is greatly enhanced through hawaiian cultural experiences within the preschool sector. Children are prepared to enter kindergarten in either a hawaiian immersion school or a non-immersion school.   halau o kekuhi is a traditional classical dance company that can account for seven generations of family practitioners and leadership in the indigenous hawaiian performing arts of hula (dance) and oli (chant). The internationally recognized halau performed at several venues during the year, including the opening ceremonies for the annual merrie monarch festival and the international aha hula 2014. The halau perpetuates the native hawaiian traditions of hula as practiced by mary kekuewa kanaele and edith k kanaka'ole.   the edith kanaka'ole foundation is collaborating to establish a hawaii fish trust, addressing our ocean resources. Aquaculture provides nearly 50% of the seafood needed for human consumption today. Our program seeks to explore alternatives for seafood, utilizing aquaponics technology to provide affordable systems able to provide fish and produce for individual families and help us shed dependence on imported foods. Our youth are educated in the conservation of our marine resources and in the propagation of fish for consumption.   the organization operates over a dozen other programs teaching and promoting hawaiian culture. The most notable of these is	
Achievement Rewards For College Scientists Foun Inc Honolulu Chap	http://		EIN 51-0183563	Po Box 10052	Honolulu	HI	96816	USA								
Toastmasters International, Inc.	http://www.toastmasters.org		EIN 99-0243863	2153 N King St Rm 324	Honolulu	HI	96819	USA	Community Service Clubs	The mission of a Toastmasters Club is to provide a mutually supportive and positive learning environment in which every member has the opportunity to develop communication and leadership skills, which in turn foster self-confidence and personal growth.						
Ohana Hale	http://		EIN 99-0216575	PO Box 148	Waianae	HI	96792	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment							
PATCH	http://www.PatchHawaii.org	808-839-1988	EIN 99-0167464	560 North Nimitz Hwy Suite 218	Honolulu	HI	96817	USA	Food, Nutrition	To support and improve the quality and availability of care for the young people of Hawaii.	Government funding and contracts support some of PATCH's key programs and services.  Government funding isn't enough to support all of our programs -- private funding and donations are making up the difference.  So far, this year, fundraising efforts have been focused on a technology upgrade for our offices, as our previous system is defunct, and we are raising funds to support the rising needs of the lowest-income families, with programs to assist families to send their children to preschool, funding for extra training classes and recruitment services for child care professionals, funding for grants to child care business to purchase supplies and equipment, and more.	Families, children, child care professionals, and the community at large in Hawaii.	10,000+	Hawaii, statewide.	Child and adult care food program: licensed family child care providers are eligible for this program which provides partial reimbursement for nutritious meals served to children while in a family child care setting. This federally funded program is supported by congress to ensure that all children in family day care homes have access to balanced and nutritious meals with the goal of improving their eating pattern and habits. The usda's child and adult care food program plays a vital role in improving the quality of day care and making it more affordable for many low income families. Patch screens the income eligibility of providers and children and provides monthly reimbursement payments to the providers directly. Patch provides access to nutritional resources, training and technical assistance. Providers also receive assistance in menu planning, basic sanitation as well as keeping accurate records for claiming reimbursements and tax purposes. In fye 6/30/2014, patch monitored the service of 713,448 meals to low-income children and supported 221 daycare homes to ensure nutritious foods.   child care training program: patch offers more than 100 different free or low-cost training classes to child care professionals from all types of child care settings and other caregivers including informal child care providers and parents. All classes are aligned with standards of the state's ask core areas and the subject areas of the national child development associate credential. Some classes are offered for continuing education units. Classes are held in a variety of locations on each island. Resource libraries with videos on a variety of child care topics are available at patch offices. Each quarter, patch publishes a training calendar full of current child care information and scheduled classes, which is distributed to professionals and the public. In fye 6/30/2014, patch offered 550 free classes in early care and education, which were attended by a total of 5,284 persons.   other child care services to foster community awareness of the needs of children, parents, and child care providers. The registry program verified the credentials of 2,619 people working in preschools and daycare centers and counseled 59 people on careers in early care and education. The family child care recruitment program provided 511 people with technical assistance and support to start a home daycare business resulting in 276 new licensed child care spaces in hawaii. The quality care program helped 237 daycare homes improve the quality of their child care which served 1,422 children.	
The Contemporary Museum	http://tcmhi.org	808-237-5210	EIN 99-6014447	2411 Makiki Heights Drive	Honolulu	HI	96822	USA	Art Museums, Arts & Culture	The mission of The Contemporary Museum is to develop public appreciation and understanding of contemporary art through exhibition and education programs, through the collection and preservation of art since 1940, and to preserve and maintain the historical residences and surrounding gardens for the enjoyment and enrichment of Hawaii's residents and visitors. TCM is the only museum devoted exclusively to contemporary art-- the art of today.				Honolulu and the State of Hawaii	Operation and maintenance of a public art museum.	
Hawaii Big Game Fishing Club	http://		EIN 99-0317614	Po Box 3106	Kailua Kona	HI	96745	USA	Fishing & Hunting, Sports							
Special Education Center Of Hawaii	http://www.secoh.org	(808) 734-0233	EIN 99-0141008	708 Palekaua St	Honolulu	HI	96816	USA		The organization provides personalized services to people withdisabilities in the spirit of enriching lives.					Medicaid home and community based waiver services to 180 individuals with developmental disabilities.   day care for 20 adults with acquired disabilities due to aging with a specialty in supporting people with alzheimer's and dementia.	
American Baptist Churches In The Usa Community Baptist Church Of Pe	http://		EIN 99-0146568	1313 Pensacola St	Honolulu	HI	96814	USA								
Civil Air Patrol 51060 Kona Composite Squadron Civil Air Patrol	http://www.capnhq.gov/		EIN 51-0153276	PO Box 2053	Kailua Kona	HI	96745	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.						
Charity Ministry C/O Rev Joseph Enos	http://		EIN 99-0183132	99-1689 Hoapono Pl	Aiea	HI	96701	USA								
Friends Of The City And County Of Honolulu	http://		EIN 99-0322152	737 Bishop St Ste 2100	Honolulu	HI	96813	USA	Unknown							
Pacific Primate Sanctuary, Inc.	http://www.pacificprimate.org	(808) 572-8089	EIN 99-0285731	500 A Haloa Rd	Haiku	HI	96708	USA	Animal Protection & Welfare, Animals, Protection of Endangered Species, Wildlife Sanctuaries	Pacific Primate Sanctuary is located on the Island of Maui, Hawaii and is staffed by volunteers. The Sanctuary was founded in 1984 to provide safe haven and rehabilitation for threatened, endangered and distressed Central and South American monkeys given refuge from research laboratories, and rescued from tourist attractions and the pet trade. The Sanctuary has created naturalistic habitats where displaced primates can reclaim some of their birthright, living outdoors in rainforest enclosures in social groups. The Sanctuary maintains a successful federally authorized rehabilitation program for threatened and endangered New World Primates, including tamarins, marmosets, capuchin, and spider monkeys. PPS also offers resident immersion internships and innovative environmental education programs to students, volunteers and the community to help end the mass extermination of the Earth's plants and animals and promote respect for all living things.					Provided a wildlife refuge for the protection and preservation of over 50 simian species in need.	
United Presbyterian Korean Church	http://		EIN 99-0277715	1580 Makaloa St Ste 1080	Honolulu	HI	96814	USA								
Hualalai Academy Parents Association	http://	(808) 325-2186	EIN 94-3273612	74-4966 Kealakaa Street	Kailua Kona	HI	96740	USA	Education, Educational Services	To further the development and growth of hualalai academy.					Provided funds for school activities such as holiday parties,dances, teacher appreciation, science fair, earth day, grandparents day, field day, and various other activities.   provided funds directly for hualalai academey's main fundraiser, the annual gala  provide classroom supplies, materials, and equipment	
Hale Opio Kauai Inc	http://www.haleopio.org	(808) 245-2873	EIN 99-0155279	2959 Umi St	Lihue	HI	96766	USA	Developmentally Disabled Centers, Disabilities, Human Services	Embracing children and youth entrusted to our care by providing residential and community programs to enhance their quality of life and strengthen ohana.					Therapuetic foster homes - program is built around professional parents who provide each youth with on going family based treatment and daily opportunities for success. Clinical consultation and support is provided 24 hours a day seven days a week by therapists and parent supervisors. Respite homes are provided to support the foster parents, and assist youth with generalizing skills. The youth's birth families are included in regulary scheduled therapy and ohana outings. Serves approximately 13 youth.   emergency shelter services - emergency shelter is provided for children aged from birth to 21 years, both males and females, who are in need of sanctuary and counseling. Services are available in group homes or in an individual warm home setting. Normal acitivities of the youth are continued such as participation in sports, work and school. Serves approximately 21 youth.   other program services:kauai teen court, school connections, family group conferencing, court diversion program and victim impact classes.	
United Japanese Society Of Hawaii	http://		EIN 99-0091260	2454 South Beretania Street	Honolulu	HI	96826	USA	Arts & Culture, Cultural & Ethnic Awareness	The United Japanese Society of Hawaii, established in 1959, is an umbrella group of organizations and individuals which engages in various charitable, educational, religious, social and cultural activities that promote the welfare of the Japanese in Hawaii, foster positive relationships with other ethnic groups and promote better understanding and friendship between the people of Japan and the U.S.						
Polynesian Cultural Center	http://polynesia.com	(808) 293-3005	EIN 99-0109908	55-370 Kamehameha Hwy	Laie	HI	96762	USA	Arts & Culture, Cultural & Ethnic Awareness	Educational & cultural museum					The polynesian cultural center (the center) and its next door neighbor, brigham young university hawaii(byuh), both were established and are wholly controlled by the church of jesus christ of latter-day saints (the church). The polynesian people have special significance in the church doctrine, and the church has been active in the polynesian islands since very soon after its establishment in the united states in the 1830s. It conducts many activities in polynesia intended to improve, both spiritually and economically, the lives of its members there, most of whom live in what are commonly termed "disadvantaged" communities and "underdeveloped" nations. (continued on schedule 0)one of the main thrusts of the church in polynesia is to educate its members to enable them and their communities to adapt to and be self-sufficient in the encroaching modern world and yet not to abandon or lose respect for their native cultures or themselves. In furtherance of this objective, the church has established byuh (initially known as church college of hawaii) and the center. Byuh was opened in 1955. Its primary purpose is to provide a college education for polynesian students who would not otherwise have that opportunity. Byuh and the church actively recruit polynesian high school students with college potential to attend byuh, obtain an education and then return to their home nations and communities and help improve them, economically and otherwise. The church substantially subsidizes byuh, which charges tuition far below that charged by most private colleges. Nevertheless, most of the students have no money to pay living expenses, transportation or tuition, however low. Most of the students lack job experience and skills and do not speak english fluently when they first enroll. The center was opened in 1963 as an integral part of the overall church program in polynesia and specifically as an adjunct to byuh. The center operates an authentic living museum of the native cultures of seven major polynesian islands samoa, fiji, new zealand (maori), tahiti, marquesas, tonga and hawaii. It provides continual opportunities for hundreds of byuh students from these islands to work in all aspects of the centers operations. This is intended to, and does, accomplish the following with respect to such students: teaching them the traditions of their native cultures which are threatened by modernization. Instilling in them pride and respect for their own cultures (and themselves) and respect for other cultures. Giving them a first job experience and on-the-job training. Giving them an experience in sustaining themselves in the modern western world. Enabling them to work their way through college. In addition, the broader cultural and educational functions performed by the center include the preservation and exhibition to the visiting public of important aspects of each of the polynesian cultures represented, including: authentic replicas of representative village structures in typical settings, daily living activities such as cooking, agriculture, artifacts, arts and crafts (both the objects themselves and the skills), costumes, traditions, and songs and dances (which have a far more significant role in polynesian cultures than in most western cultures). The center also conducts, directly and indirectly, scholarly research necessary to assure the authenticity of the centers activities and to foster the preservation and appreciation of polynesian cultures. The revenues listed in part viii are generated primarily by admissions paid by visitors to the village complex. In addition, since many visitors spend most of the day and evening at the center and the location of the center is somewhat remote, cafeteria-style dining facilities and snack bars are provided for the convenience of the center's visitors. Approximately 664,634 guests visited the center in 2014.	
Konawaena High & Intermediate School Foundation Inc	http://		EIN 99-0302988	Po Box 311	Holualoa	HI	96725	USA	Education, Scholarships, Scholarships & Student Financial Aid							
HAWAII ARTS ALLIANCE (Hawaii Alliance for Arts in Education)	http://www.hawaiiartsalliance.org	(808) 533-2787	EIN 99-0211535	P.O. Box 3948	Honolulu	HI	96812	USA	Alliances & Advocacy, Arts & Culture, Arts, Culture & Humanities, Arts Education	For 30 years, the Hawaii Alliance has been promoting ALL the arts as essential to the complete education of all children, and an effective vehicle for community engagement.					1. COMMUNITY:   "Ohana Arts" programs serve families and communities throughout the state, providing intergenerational culture and arts education, bringing together all ages in creative sharing.  Over 20,000 in economically disadvantaged areas in the state have been reached.	
Congregation Sof Ma Arav Incorporated	http://		EIN 99-0235019	Po Box 10850	Honolulu	HI	96816	USA								
East Hawaii Cultural Council	http://	(808) 961-5711	EIN 99-0192768	141 Kalakaua St	Hilo	HI	96720	USA	Arts & Culture, Cultural & Ethnic Awareness	Our mission is to promote the expression and appreciation of our diverse cultures by increasing public awareness and involvement in the arts through leadership.					Provided programs and community assistance in partnership with hilo downtown improvement association and historic hawaii foundation and lyman museum.	
Leilani Farm Sanctuary	http://		EIN 26-1111144	260 E Kuiaha Rd	Haiku	HI	96708	USA	Children & Youth, Youth Development - Agricultural							
Pacific Cultural Institute	http://		EIN 99-0307873	48-501 Waiahole Valley Rd	Kaneohe	HI	96744	USA								
Kano Eau Dance Academy Corp	http://		EIN 99-0287807	220 W Kauai St No A	Kahului	HI	96732	USA	Arts & Culture, Dance							
Hawaiian Music And Dance Foundation	http://www.hawaiimusicmuseum.org	(808) 441-6146	EIN 99-0315552	Po Box 4717	Honolulu	HI	96812	USA	Arts & Culture, Museums	To preserve, perpetuate and promote hawaiian music for the future by celebrating the achievements of composers, singers, and performers of hawaiian music; sponsoring exhibits and performance and providing educational opportunities for all.					Educate the public about the achievements of hawaiian composers and singers by sponsoring performances and exhibits through permanent koa displays in public arenas.	
American Rose Society	http://www.ars.org/		EIN 58-1832615	Po Box 1932	Honolulu	HI	96805	USA	Botanical Gardens & Arboreta, Botanical, Horticultural & Landscape Services, Environment, Garden Clubs	The Mission of the ARS is to encourage amateur and professional rose culture, to increase the general understanding of and interest in all aspects of roses, and to promote education of the horticulture, history and future of the genus Rose among members of the ARS and the rose growing public.						
Keiki Cupboard	http://www.keikicupboard.com/Home_Page.html	808-280-1021	EIN 26-2527501	310 Waipalani Rd. Haiku, HI 96708	Haiku	HI	96708	USA		Keiki Cupboard is a non-profit organization dedicated to providing essentials to Maui's school children.  We believe that no child attending school should lack the basic needs for successful integration into their academic environment.	In three years we have opened 10 complete Cupboards in Maui schools.	low income schoolchildren from 5-18 years old on the island of Maui.	850	Maui Hawaii	We are a sister program with the Maui Food Bank and an approved food distribution site!	
Na Lei Nani O Waialua	http://		EIN 99-0350937	Po Box 836	Haleiwa	HI	96712	USA	Arts & Culture, Cultural & Ethnic Awareness							
Aloha United Way Inc	http://www.auw.org	(808) 536-1951	EIN 99-0073494	200 N Vineyard Blvd Ste 700	Hon	HI	96817	USA	Community & Neighborhood Development, Economic Development, Federated Giving Programs, Philanthropy, Voluntarism Promotion	Aloha united way strives to build a stronger, healthier community by partnering with business, labor, government and nonprofits to deliver measurable and sustainable solutions to our community's most critical problems.					Community support: we address the greatest needs of our community, offer hope, and provide opportunities for a better quality of life. Through community-wide fundraising, we help amplify the power of each gift to make a difference. Continued donations provide keiki with the best possible opportunity to succeed in school and life, help break the cycle of poverty in families and assist our elderly so they can age gracefully. This funding is used to provide services that touch the lives of over 830,000 individuals and families. Our volunteer councils review and fund programs in education, poverty prevention and safety net services.   combined federal campaign: auw, as the principal combined fund organization for the hawaii pacific combined federal campaign, organizes the campaign and disburses funds to agencies that qualify under federal regulations.   211 program: 211 is a free, confidential service offered statewide for people who need help. Each year, we connect over 40,000 callers and help them get the support they need from thousands of non-profit services. 211 provides information on a broad range of health and human services for the whole community including job placement, child care, and summer camp information, as well as basic food, shelter, crisis and other needs. 211 is also the number to call when people want to donate goods or volunteer in the community.	
Hale Mahaolu Elima Incorporated	http://www.halemahaolu.org	(808) 872-4100	EIN 99-0312168	200 Hina Avenue	Kahului	HI	96732	USA		To develop and maintain elderly housing projects and other related programs to benefit the elderly.					To provide low income housing for the elderly.	
Hale Kipa Inc	http://www.halekipa.org	(808) 589-1829	EIN 23-7061499	615 Piikoi St Ste 203	Honolulu	HI	96814	USA	Children & Youth, Children & Youth Services	To provide services in a safe and nurturing environment to strengthen youths, their families and the community.					Residential programs:hale kipa has a range of residential programs that provides temporary residence and transitional living for youths experiencing homelessness. The programs provide a place for youths to practice living skills and achieve educational and employment goals. Served approximately 237 youths.   prevention/intervention:hale kipa has a range of programs seeking to reach youths who exhibit at-risk behaviors. These programs work with youths in home and school settings and through street outreach to prevent runaways and truancy, improve school performance, and stabilize families and strengthen family relationships. Referrals come from schools, child welfare, probation and in some cases, self referrals. Served approximately 1,609 youths.   foster care:these programs are designed to match a particular youth with a foster family that will best meet the youth's needs. The family provides the youth with basic care and structure as it teaches living skills and healthy relationships. Hale kipa maintains a foster home program that recruits, trains and supports foster families. Foster families may specialize in skill building, therapeutic care or respite care, and may house youths from a few days to 18 months. Served approximately 75 youths.   shelter services and outreach services:hale kipa provides physical shelter and emotional support for youths, many of whom are awaiting placement in a more permanent setting. For runaways and youths in crisis, hale kipa's shelters provide a place to regroup while their problems are worked out.	
Makana Hale Cooperative	http://	(808) 591-9139	EIN 99-0321756	1221 Kapiolani Blvd Ste 810	Honolulu	HI	96814	USA	Homeless & Housing, Housing Support	To preserve decent housing that is affordable to very low to moderate income families in the area					Exempt purpose is to operate a 126 unit limited equity housing cooperative for very low and moderate income residents	
Civil Air Patrol 51065 Mokuele Sr.	http://www.capnhq.gov/		EIN 58-1781027	PO Box 3494	Honolulu	HI	96811	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.						
St Francis Healthcare Foundation Of Hawaii	http://www.stfrancishawaii.org	(808) 547-8035	EIN 99-0240060	Po Box 29700	Honolulu	HI	96820	USA								
Punahou School	http://www.punahou.edu	(808) 944-5714	EIN 99-0073523	1601 Punahou St	Honolulu	HI	96822	USA	Education, Elementary & Secondary Schools, Literacy	We are committed to providing an environment where students can: Develop moral and spiritual values consistent with the Christian principles on which Punahou was founded, affirming the worth and dignity of each individual. Develop intellectual, academic and physical potential to the fullest degree, preparing them for college and for challenges facing them now and in the future.Develop and enhance creativity and appreciation of the arts. Appreciate cultural diversity and develop social responsibility.						
Island Breeze Ministries	http://		EIN 20-1630850	75-5851 Kuakini Hwy	Kailua Kona	HI	96740	USA	Arts & Culture, Cultural & Ethnic Awareness							
American Statistical Association	http://		EIN 23-7428900	1676 Ala Moana Blvd	Honolulu	HI	96815	USA								
Mililani Foursquare Church	http://		EIN 99-0266171	Po Box 893549	Mililani	HI	96789	USA								
Light Of The World Missions	http://		EIN 99-0306994	1316 Kaumualii St Ste 2	Honolulu	HI	96817	USA	Religion, Religion-Related							
Windward Christian Church	http://		EIN 99-0140603	Po Box 146	Kailua	HI	96734	USA								
Bible Institute Of Hawaii	http://www.biblehawaii.org	(808) 595-4700	EIN 99-0224764	2345 Nuuanu Ave	Honolulu	HI	96817	USA		Instruction in scriptures					Held bible training courses and seminars for ministers and lay people. Approximately 800 participants in courses and seminars.	
Taoact Foundation The Advancement Of Alternative Cancer Treatment	http://		EIN 31-1738331	Po Box 32	Ninole	HI	96773	USA	Cancer							
Na Kalai Waa	http://		EIN 99-0304846	Po Box 748	Kamuela	HI	96743	USA	Arts & Culture, Cultural & Ethnic Awareness	NA KALAI WA'A PROVIDES CULTURAL EDUCATIONAL EXPERIENCES UTILIZING HAWAIIAN VOYAGING CANOES. THE PROGRAMS FOCUS ON REVIVING AND TEACHING THE WAY FINDING TRADITIONS OF THE HAWAIIAN PEOPLE TO INSTILL PRIDE, BUILD SELF-ESTEEM, AND DEEPEN HAWAIIAN SCIENTIFIC AND CULTURAL KNOWLEDGE TO ALL INTERESTED LEARNERS, BOTH YOUNG AND OLD.						
Queens Medical Center	http://www.queensmedicalcenter.net	(808) 538-9011	EIN 99-0073524	1301 Punchbowl Street	Honolulu	HI	96813	USA	Health, Health Support	The mission of qmc is to fulfill the intent of queen emma and king kamehameha iv to provide in perpetuity quality healthcare services to improve the well-being of native hawaiians and all the people of hawaii.					The queen's medical center is the largest private, nonprofit, acute care medical facility in hawaii. Its staff is dedicated to providing quality health care to the people of hawaii and the pacific. See schedule o for more information.	
The Jewish Congregation of Maui	http://mauijews.org	808-874-5397	EIN 	634 Alulike Street	Kihei	HI	96753	USA		The Jewish Congregation of Maui will work to serve the needs of all Jews who reside on Maui or visit Maui. Beit Shalom is an open invitation to Jews from all backgrounds - from all the movements, observance levels and practices of Judaism.				County of Maui, Islands of Maui-Lanai-Molokai		
Pacific Arts Foundation Inc	http://	(808) 599-6403	EIN 94-3276000	2098 Mauna Pl	Honolulu	HI	96822	USA	Arts & Culture, Film & Video	Pacific island history & education					Expenses are for produce of videos / documentaries on pacific island drug abuse	
Hawaiian Acres Community Association	http://		EIN 99-6015041	Po Box 368	Kurtistown	HI	96760	USA								
Goodwill Industries Of Hawaii Inc	http://www.higoodwill.org	(808) 836-0313	EIN 99-6001264	2610 Kilihau St	Honolulu	HI	96819	USA	Employment Preparation & Procurement, Goodwill Industries, Human Service Organizations, Human Services, Job Training	Goodwill industries of hawaii, inc. Helps people with employment barriers to reach their full potential and become self-sufficient.					Rehabilitation program:provided vocational evaluation, training and job placement services; supported employment and community outreach programs for people with disabilities and other barriers to employment (welfare to work programs) that serviced over 12,519 persons. Over 1,731 persons were placed into employment.   retail thrift stores:training centers in retail store formats provided job training and job placement for persons with disabilities and other barriers to employment.   training service centers:training service centers in facility and community-based sites provided job and skills training for people with disabilities and other barriers to employment.	
Ho ola Na Pua	http://www.hoolanapua.org	808.445.3131	EIN 46-5139164	PO Box Box 401	Haleiwa	HI	96712	USA		Hola N Pua is committed to providing a nurturing home that meets the unique needs of underage female sex trafficking victims through the utilization of individualized, comprehensive, and restorative therapies.	Our volunteers work tirelessly, networking and collaborating with political figures, the justice system, faith-based communities, state licensing institutions, foundations, health care professionals, and other like-minded community members and organizations in Hawaii that share our mission to improve the lives of young girls.	underage females rescued from sex trafficking..		Hawaii	Hola N Puas fourfold approach to addressing sex trafficking in Hawaii includes:  1.  Education and Awareness  promoting community awareness  of sex trafficking  2.  Decreasing Demand  supporting legislation that protects our keiki  3.  Limiting Supply  conducting awareness, prevention, and outreach programs in schools  4.  Rescue and Restoration  providing a long-term licensed residential facility for underage, sexually exploited girls	
HAWAII LITERACY INC	http://www.hawaiiliteracy.org	(808) 537-6706	EIN 23-7198698	245 N. Kukui Street Suite 202	Honolulu	HI	96817	USA	Adult Education, Children & Youth, Education, Literacy, Remedial Reading & Encouragement, Youth Development Programs	To help people gain knowledge and skills by providing literacy and lifelong learning services.	Last year, Hawaii Literacy helped over 2,700 increase literacy, learning, access to books and learn to use reading and writing to reach life goals like doing better in school, improving employment, or helping their own children.		2,756	O'ahu and Kaua'i, with a strong focus on public housing residents and service to low-income families.	Our Adult Literacy Program recruits and trains people to act as volunteer literacy tutors to adult students under the Laubach Literacy Method.  The Family Literacy Program is located at two housing projects in Honolulu, and includes activities designed to simultaneously increase the literacy levels and love of learning of both children and their parents.  The Bookmobile program brings books and literacy building activities to children at 12 high need sites on the Wai'anae Coast. The English Language Learner programs are targeted newly arrived immigrants include a drop in assistance service and ELL classes focusing on practical life-skills, spoken English, and understanding their new home.	
Little League Baseball Inc	http://www.littleleague.org/		EIN 99-0288742	89-246 Kauwahi Ave	Waianae	HI	96792	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports	To provide healthy activity for children using the ball field as a classroom to instill discipline, team work, sportsmanship and fair play, and to establish a set of values to guide them into adulthood.						
