name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Geographic areas served	Results	Direct beneficiaries per year	 
Missoula Museum Of The Arts Foundation	http://		EIN 81-0342839	335 N Pattee St	Missoula	MT	59802	USA	Art Museums, Arts & Culture							
Civil Air Patrol	http://www.capnhq.gov/		EIN 81-0497085	Mt State Univ Afrotc Det 450	Bozeman	MT	59717	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.						
Knights Templar Educational Foundation Of The Grand Encampment	http://		EIN 81-6020459	Po Box 1131	Great Falls	MT	59403	USA								
Montana Land Reliance	http://www.mtlandreliance.org		EIN 81-0369262	Po Box 355	Helena	MT	59624	USA	Environment, Land Resources Conservation, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management	The Mission of the Montana Land Reliance is to provide permanent protection for private lands that are ecologically significant for agricultural production, fish and wildlife habitat and open space. The immediate accomplishments of MLR''s conservation work are measured in miles of streambank and acres of land and habitat protected. The lasting benefits of our work are the perpetuation of a lifestyle and an economy that rely on responsibly managed private land, and the increasingly valuable Montana spaces that will continue to nourish the spirit of future generations.	MLR utilizes conservation easements to provide permanent protection to private lands.  We assist conservation buyers in the purchase and protection of Montana lands.  We also provide educational outreach to landowners, professionals and the public about private land conservation.					
Pet Paw-See Inc	http://www.petpaw-see.com	(406) 231-1132	EIN 26-1973398	Po Box 6491	Great Falls	MT	59406	USA	Animal Protection & Welfare, Animals	Pet paw-see, inc is dedicated to promoting and protecting the safety and welfare of all animals, through rescue, rehabilitation, relocation and retirement. The main mission of the organization is to find forever homes for those abandoned pets in need of a family. Trap, neuter and release of feral cats has become a part of what the organization has done as well with the help of a grant and donations.	Amounts spent for veterinary care, pet food and supplies for the animals in our care. The animals are rescued, rehabilitated and then placed in permanent homes					
CARTER COUNTY GEOLOGICAL SOCIETY	http://cartercountymuseum.org		EIN 81-6012684	306 N Main Street PO Box 445	Ekalaka	MT	59324	USA	Arts & Culture, History Museums, Museums, Natural History & Natural Science Museums	To increase and diffuse knowledge and appreciation of history, art and science; to discover, excavate and preserve fossils, fossil bones, and human artifacts; to advance the science of archaeology and paleontology; to collect and preserve objects of historic, artistic, and scientific interest; and to acquire and maintain a library to assist in the above purpose.	exhibitions, the annual Dino Shindig event and lecture series, outreach, and educational programming	educate the community and visiting public on local paleontological, archaeological and cultural history	Southeastern Montana			
Evangelical Free Church Of Cut Bank	http://		EIN 81-0401891	Po Box 162	Cut Bank	MT	59427	USA								
American Guild Of Organists	http://		EIN 51-0213288	1292 Quiet Pines Ln	Missoula	MT	59802	USA								
Montana School Boards Association	http://		EIN 81-0247703	863 Great Northern Blvd Ste 301	Helena	MT	59601	USA	Education							
Friends Of The Fairfield Library	http://		EIN 84-1406854	Po Box 183	Fairfield	MT	59436	USA	Education							
Montana Rural Development Partners	http://		EIN 84-1378318	118 E 7th St Ste 2a	Anaconda	MT	59711	USA	Community & Neighborhood Development, Economic Development							
The Bozeman Area Community Foundation	http://www.bozemanfoundation.org	(406) 587-4300	EIN 81-0519514	1627 W Main St Box 404	Bozeman	MT	59715	USA	Community Foundations, Philanthropy	Local community foundation to foster philanthropy for the benefit of charitable organizations in southwestern part of montana (management of endowment accounts)	The foundation accumulates permanent endowments from which grants are made to 501(c)(3)organizations. Grants were distributed to 39 local nonprofits.   held annual meeting for the benefit of local nonprofits october 2013  facilitation of monthly meeting for area nonprofits  facilitation of monthly meeting for area nonprofits					
Kay Mckenna Youth Foundation	http://		EIN 84-1377286	Po Box 245	Helena	MT	59624	USA	Children & Youth, Youth Development Programs	To assist in funding a summer parks program for the youth of the helena area.	Provide funding to assist the city of helena in providing parks programs for the youth of helena. These programs take place during the weekdays of the summer when the children are out of school and in need of organized activities.					
Job Connection Inc	http://jobconnection.org	(406) 245-6323	EIN 81-0415271	2070 Overland Ave Ste 101	Billings	MT	59102	USA		Job connection is dedicated to enhancing lives by connecting people with barriers to work and community.	Developmental disabilities programs locate jobs for disabled adults, providing on-site training and long-term follow up for clients and their employers.   vocational rehabilitation locates jobs for disabled adults, providing on-site training and long-term follow up for clients and their employers.   agency with choice assists individuals to gain an increased level of self-determination when they assume shared responsibility for the hiring and management of the employees who provide waiver services to them. The program allows individuals with intellectual disabilities and their family members to experience a greater level of self-determination as they learn new skills through the sharing of management and supervision responsibilities.					
Blackfeet Opportunities Inc	http://	(406) 338-5364	EIN 81-0361211	Po Box 247	Browning	MT	59417	USA			Community home/ssi. : housing and care for persons with developmental disabilities.   transportation: transportation of persons with developmental disabilities.   day services: provides habilitation for persons with developmental disabilities.   work opportunities: provide work opportunities for persons with developmental disabilities					
Touch Factor Foundation	http://		EIN 95-4576079	822 W Broadway St	Butte	MT	59701	USA	Health, Health Care							
Seedlings of Change	http://www.seedlingsofchange.org		EIN 27-0773272	239 Red Fox Road P.O. Box 21	Lolo	MT	59847	USA	Arts & Culture, Arts, Culture & Humanities, Environment, International, International Exchange, Unknown	Seedlings of Change (SoC) mission is to co-create a sustainable future by advancing global consciousness, self-empowerment, and holistic living and sustainability education through a mini-grant program and multi-media including publications promoting opportunities to live and learn together.  Seedlings of Change (SoC) vision is a sustainable, healthy, vibrant future where individuals live everyday life with conscious thought and action; where individuals at the grassroots level transcend all religious, social, ethnic, and political barriers in support of harmony, fairness, integrity and compassion with our environment and each other. Where individuals adopt recipe(s) for resilience and pass them on to their families; where we, the collective, can make a healing difference co-creating positive change in the world.	One of the programs we offer is Bread for the Soul mini grant. Seedlings of Change efforts bring positive change in our global community. Our Bread for the Soul mini-grant program is made possible by your monetary contributions and when you donate to Seedlings of Change you support our work, which is contributing toward a world of positive shared experiences and stewardship for future generations; a world that works for everyone!	Seedlings of Change reach out to individuals, groups, and nonprofits in our local to global community to create win-win cooperative relationships.	Seedlings of Change is located in Montana, US. We currently have projects in the US, Uganda, and  Afghanistan	Seedlings of Change Bread for the Soul mini-grant program is made possible by your monetary contributions collected via our fundraising events. The projects currently supported are highlighted throughout the Seedlings of Change website.   Current projects:  * Wildhorse Therapeutic Riding Program for all abilities in Missoula County, Montana.  * The Cat Fight project humanely addressing the feral cat issue taking place in California.  * Sustainable Smiles Student Action Program (SAP) is currently working in Afghanistan to educate and empower SAP students to lead the way to a greener future. This program is integral in encouraging community members via SAP students in becoming actively dedicated in improving environmental quality and educating on the importance of safeguarding the environment through stewardship.  * The first Seedlings of Change Bread for the Soul mini-grant was awarded in 2010 to Zootown Arts Community Center ZACC to create and maintain their Creative Gig Service (CGS) in Missoula, Montana. CGS is successful and focuses on all that is creative.  * Seedlings of Change provided a Bread for the Soul mini-grant to The Girls Way in Missoula, Montana this is a safe place for all Missoula County girls ages 9-18 that promotes healthy emotional, physical, and social development by encouraging healthy choices in physical activity and nutrition, while offering unique learning opportunities.  * Seedlings of Change support AniMeals of Missoula, Montana by advertising on a recycling container, which is located at the Brooks Street Walmart parking lot. Funds collected from the recycling benefits AniMeals. * We also have our ongoing sustainable projects in Uganda; from farming, to providing safe drinking water as well as teaching sewing and knitting skills.	Seedlings of Change honors everyone from all walks of life. Motivating individuals through positive action, inspiring individuals to share their gifts and talents through our educational outreach events, programs, and projects. We believe in the ripple effect; when children realize their self-worth, they share their esteem with the world. Equally true, when adults realize their self-worth, they have respect and show kindness our global community.	
Polson-Flathead Historical Museum Inc	http://		EIN 81-6017638	Po Box 206	Polson	MT	59860	USA								
Yellowstone Boys & Girls Ranch	http://www.ybgr.org	(406) 655-2100	EIN 81-0262019	1732 S 72nd St W	Billings	MT	59106	USA	Mental Health, Residential Mental Health Treatment	Ybgr provides quality education and treatment services, which promote the emotional, behavioral, spiritual, and physical development of children, adolescents and their families. Values: faith is being sure of what we hope for and certain of what we do not see, based upon our belief in god. Hope is anticipation with confidence and trust. Integrity is doing what is right, putting the needs of others above your own and living by the highest values. Relationships are being committed to one another in a mutually respectful, dignified, healthy and honoring manner. Respect is an attitude of valuing others, caring about people and treating them with dignity. Safety is the condition of being physically,psychologically, socially,and emotionally safe from pain,injury or loss. Stewardship is the use of any resource or talent entrusted to ybgr to fulfill the mission and vision. Excellence is represented by the practice of faith, hope, integrity, relationships, respect, safety and stewardship	Residential services:yellowstone boys and girls ranch, inc. (ybgr) provides quality education and treatment services, which promote the emotional, behavioral, spiritual, and physical development of children, adolescents and their families. Ybgr has been serving youth and families since 1957 and is an accredited, private, not-for-profit multi-service organization providing mental health programs and services to emotionally disturbed youth and their families. Ybgr is a non-profit, fully accredited, comprehensive mental health service organization providing psychiatric residential treatment for emotionally disturbed youth. Ybgr youth may access a variety of services including individual cognitive-behavioral, family, recreation, and equine therapies. Special education programming is offered through our on-campus educational facility, yellowstone academy. Youth also have the opportunity to be involved in a number of additional programs including chemical dependency, transitional services, competitive athletics, outdoor recreation, and spiritual care. The psychiatric residential treatment center is located on a 400-acre campus, west of billings, mt and serves boys age 8-18, and girls 12-18. Youth are housed in one of our twelve residential lodges and are supervised by a 24 hour a day residential staff trained in therapeutic crisis intervention.   community-based services: ybgr offers multiple community based services (cbs). Cbs is a licensed and accredited mental health center providing multiple services that expand ybgr's continuum of care into communities. The cbs programs focus on prevention and work with children and families to provide support and treatment. Cbs serves over 600 children each day in programs that include therapeutic foster care, youth case management, comprehensive school and community treatment, therapeutic family living, and community homes. The cbs team members work closely with at-risk youth and families to provide mental health services in a supportive and structured environment.					
Sun River Valley Historical Society	http://		EIN 81-0370847	Po Box 155	Sun River	MT	59483	USA								
Whitefish Youth Soccer Association	http://	(406) 253-3393	EIN 81-0409811	Po Box 241	Whitefish	MT	59937	USA		Youth soccer league	Whitefish youth soccer provides a soccer league for approximately 500 youth. The association provides equipment, coaching, referees, and maintains fields for recreational soccer league.					
Beaverhead County Museum Association	http://		EIN 51-0172776	Po Box 265	Dillon	MT	59725	USA	Arts & Culture, History Museums							
Soil And Water Conservation	http://		EIN 23-7096823	1101 11th Ave	Helena	MT	59601	USA	Environment, Natural Resources Conservation & Protection							
FOOTLOOSE MONTANA	http://www.footloosemontana.org		EIN 30-0419819	PO Box 8884	Missoula	MT	59807	USA	Animal Protection & Welfare, Animals	Promoting trap-free public lands for people, pets and wildlife.	Facilitated trap release workshops, organized and attended tabling activities and presentations in order to educate the public about the dangers of trapping activities on public lands.					
Glacier Mountaineering Society	http://		EIN 84-1380224	Po Box 1241	Kalispell	MT	59903	USA								
Skyword Ministries Over Montana Inc	http://		EIN 81-0466643	Box 2770	Columbia Falls	MT	59912	USA	Community Service Clubs							
Emerson Center for the Arts & Culture	http://www.theemerson.org	406-587-9797	EIN 81-0478307	111 South Grand Avenue	Bozeman	MT	59715	USA	Arts & Culture, Performing Arts Centers	The Emerson's mission is to build community by promoting art and culture, set in a historic building.	18 curated exhibits in our three gallery spaces including our Schools in the Gallery program which hosts approximately 1,500 students annually, year round art education for all ages, affordable gallery/studio space for 54 Arts/Culture related tenants, summer concert series - Lunch on the Lawn, and three beautiful spaces for public events (Crawford Theater, Ballroom, and the Weaver Room Gallery).	engage our community in Arts and Culture	southwest Montana	The Emerson builds Community through the Arts and Culture.   Since being founded in 1993 the Emerson has become the arts and culture hub in southwest Montana. We currently host 250,000 visitors annually including 1,500 students that participate in our Schools in the Gallery program. We house 54 arts and culture related tenants in our building. Additionally we provide three venues for public use - the 750 seat Crawford Theater, Ballroom, and the Weaver Room Gallery. We host approximately 675 events annually in these three spaces. The events range from community meetings to internationally known performers.		
Dracut Junction/Stone Barn Co	http://		EIN 81-0384035	33 Ashuelot	Simms	MT	59477	USA								
Bitteroot Therapeutic Riding	http://bitterrootriding.org		EIN 47-0879601	599 Popham Ln	Corvallis	MT	59828	USA	Equestrian, Sports	See scedule o	See scedule o					
Swan View Coalition Inc	http://		EIN 81-0423034	3165 Foothill Rd	Kalispell	MT	59901	USA	Environment, Land Resources Conservation							
Montana Associated Physicians Health Care Foundation, Inc.	http://		EIN 81-0455411	PO Box 2532	Billings	MT	59103	USA	Health							
Institutes For Journalism & Natural Resources	http://www.ijnr.org	(608) 630-5738	EIN 52-2073018	114 West Pine No 1	Missoula	MT	59802	USA	Arts & Culture, Arts, Culture & Humanities, Environment, Environmental Education	The organization pursues higher standards of news coverage of natural resources and the environment -- standards of accuracy, fairness, balance, depth and context.	Shale country institute - see schedule o  north carolina institute - see schedule o  detroit river institute - see schedule o					
International Federation Of Fly Fishers Inc	http://www.fedflyfishers.org		EIN 81-0501312	5237 Us Highway 89 S Ste 11	Livingston	MT	59047	USA	Fishing & Hunting, Sports	The mission of the Federation of Fly Fishers is to lead activities that enhance and support the sport of fly-fishing for all anglers who fish with the artificial fly.  The FFF, was founded in 1965 and currently has approximately 10,000 members and over 300 clubs in the US, Canada, and 15 foreign countries.  Through the FFF's members and affiliated clubs the FFF engages in conservation projects that support the enhancement and sustainability of fisheries important to the fly-fishing community.  Our members and clubs also offer educational programs, such as fly-casting and fly-tying activities, which expose their respective communities to the joys of fly-fishing.  The FFF operates the International Fly Fishing Center (IFFC) in Livingston, MT.  The IFFC gives visitors the opportunity to learn more about the world of fly-fishing and view native fishes that are important to the sport of fly-fishing.  The FFF also runs a Certified Casting Instructor program, which certifies fly-casting instructors with the purpose of establishing the highest standards for fly-casting instruction.						
Foundation For Endowment Of Faith Lutheran Church Inc	http://	(406) 454-1309	EIN 81-0461843	1601 2nd Ave N Ste 300w	Great Falls	MT	59401	USA	Religion	To provide scholarships to confirmed members of faith lutheran church that are full-time students with a gpa higher than 2. 0 and to provide donations to community charity organizations.	Provided scholarships to confirmed members of faith lutheran church that are full-time students with a gpa higher than 2. 0.   to advance and support acitivities of faith lutheran church in great falls, mt					
Women's Voices for the Earth	http://www.womensvoices.org	406-543-3747	EIN 81-0501011	PO Box 8743	Missoula	MT	59807	USA	Civil Rights, Environment, Health, Public Health, Women, Womens Rights	Womens Voices for the Earth (WVE) amplifies womens voices to eliminate the toxic chemicals that harm our health and communities. WVE envisions a world where women lead to create a healthy environment without toxic chemicals in our workplaces, homes, and communities.	Safe cleaning products initiative is designed to reduce women's exposure to toxic chemicals by removing potentially harmful chemicals in household cleaning products and labeling all product ingredients. Our successes include:-moving the largest consumer product company on the planet, procter and gamble, to remove the carcinogen 1,4 dioxane from all of their laundry detergents (representing 70% of the u. S. Market share) through a campaign engaging nearly 100,000 women nationwide;-publishing the report and accompanying info-graphic, secret scents: how hidden fragrance allergens harm public health. Reaching over 2 million people with critical information about hidden allergy inducing ingredients in fragrances and moving simple green, clorox, and reckitt-benckiser to agree to disclose hidden allergens in fragrances;- convincing corporate giants clorox, sc johnson and son (windex), and procter and gamble (tide) to remove reproductive toxins from their products;- providing more than 50,000 individuals with critical information about the health impacts of cleaning product chemicals through five reports, resulting in more than 600 press stories and millions of people reached through news outlets such as "good morning america," the new york times, ebony, the la times, univision, and many more; and, - reaching more than 15,000 women in their homes through the creation of the green cleaning party kit, a tool to educate and activate women on toxic chemicals in cleaning products by providing recipes for nontoxic cleaning alternatives and local, state and national advocacy actions to promote safer cleaners.   safe cosmetics and healthy salons, a program that works to increase the health, safety, and rights of salon workers and consumers by reducing toxic chemical exposure in salons. Success include:- successfully advocating for the occupational safety and health administration to issue a hazard alert to salons about dangerous hair straightening products that contain formaldehyde;- organizing a congressional briefing on toxic exposures in salons to urge support for federal legislation that would result in safer salon products;- organizing three "healthy salons weeks of action" in washington, dc, bringing salon workers to d. C. To meet lawmakers and federal agency representatives to talk about the need for safe salon legislation and programs;- through our role as a co-founder and leader in the campaign for safe cosmetics, convincing johnson & johnson to reformulate all of their produces to remove a number of harmful chemicals by 2015.   safe feminine care products, a program aimed at eliminating use of toxic chemicals in feminine products. Our accomplishments to date include:- publishing the groundbreaking report, chem fatale: potential health effects of toxic chemicals in feminine care products. The report kicked off a campaign targeting tampax and always to disclose all of their ingredients and remove harmful ones. To date, we have generated over 20,000 emails and petition signatures to procter and gamble (makers of tampax and always) and the report has been downloaded nearly 15,000 times;- producing a spoof video to highlight this issue, which has been viewed more than 57,000 since its may 2014 release, reaching thousands of women with critical information about toxic chemicals in tampons and pads and encouraging them to take action (www. Womensvoices. Org/detoxthebox);- working with representative maloney (d-ny) to introduce the robin danielson act of 2014. The bill requires more research and regulation of chemicals used in feminine care products used to control menstruation like tampons, pads, cups, etc. ;- establishing a diverse advisory committee for the campaign to ensure culturally competent messaging and appropriate mediums of communication for various audiences; and- conducting product testing of always pads, finding harmful ingredients like acetone, styrene, and more.   women's voices for the earth works with businesses and organizations that believe in the power of women's voices as a means to create and uphold a less-toxic future built on honesty and trust.					
Fellowship Baptist Church	http://		EIN 81-0445931	Po Box 11889	Bozeman	MT	59719	USA								
BITTER ROOT RESOURCE CONSERVATION AND DEVELOPMENT AREA INCORPORATED	http://bitterrootrcd.org		EIN 81-0360178	1709 North First Street	Hamilton	MT	59840	USA	Environment, Natural Resources Conservation & Protection	The mission of the bitter root resource conservation & developement area, inc. Is to provide leadership and support on natural and human resource issues and projects in our service area of missoula, mineral, and ravalli counties, and beyond, by facilitating (continued on page 2)	Land management projects - these projects fall under two different goals:the first goal is to assist the us forest service, montana departments of natural resources and emergency services, local fire departments, and private land owners in our three county area in reducing the potential damage from wildfires to forest lands, personal property, and reduce the risk to fire fighters. The second goal is to encourage the substitution of locally available renewable energy resources including wood biomass boiler systems and manure-methane digesters to reduce fossil fuel dependence. Bitter root rc&d's annual report, which contains much more information as to these projects, is available at our website - bitterrootrcd. Org  community development projects also fall under two different goals:the first goal is to work with more than 10 governments, non-governmental entities, nonprofit groups, and individuals to develop and implement efforts to enhance our communities and quality of life for our residents. The second goal is to work with rc&d sponsors and other nonprofits and wholesome foods, medical assistance, recreation, transportation and education for all of our residents and especially those with low and moderate incomes and physical or mental disabliities. Bitter root rc&d's annual report, which contains much more information as to these projects, is available at our website - bitterrootrcd. Org  mission statement (continued from above)planning, coordinatiion, and implementation of initiatives which promote a sustainable rural lifestyle for current and future generations.					
Montana Higher Education Student Assistance Corporation	http://www.mhesac.org	(406) 495-7800	EIN 81-0393527	2500 E Broadway St	Helena	MT	59601	USA	Education, Scholarships, Scholarships & Student Financial Aid	Dedicated to helping montana citizens with financing their post-secondary education.	Acquisition and servicing of guaranteed student loans as a secondary student loan market for the federal family education loan program (ffelp). Benefits provided to borrowers through rebate, incentive, and rate reduction programs totaled $2. 08 million for 25,640 borrowers in fiscal year 2015. $53. 2 million in benefits have been provided to borrowers since inception of borrower benefit programs in 1996. Since inception, mhesac has provided more than $3. 7 billion in student loans to over 241,000 borrowers.					
HEART OF THE VALLEY HUMANE SOCIETY INC	http://www.heartofthevalleyshelter.org/	406-388-9399	EIN 23-7375919	PO Box 11390	Bozeman	MT	59719	USA	Animal Protection & Welfare, Animals	The mission of Heart of the Valley Inc. is to compassionately shelter the lost and surrendered pets of Gallatin and Madison valleys, and to enhance the lives of people and companion animals through pet adoption and education.	To create a humane community by sheltering domestic animals; securing quality homes for domestic animals; abolishing pet overpopulation; promoting reasonable pet ownership through education; eliminating needless suffering of animals.					
Great Falls Community Concert Association	http://gfcca.org	(406) 727-1917	EIN 81-0141708	Po Box 858	Great Falls	MT	59403	USA		Promoting the arts	Provide cultural programs for approximately 900 members					
Sheridan Memorial Hospital Association	http://www.sheridanmemorial.net	(406) 765-1420	EIN 81-0243720	440 W Laurel Ave	Plentywood	MT	59254	USA	General Hospitals, Health	Providing quality care to improve the health and well-being of the people and community we serve. We are committed to the future healthcare needs of our community. We endeavor to be a leader and innovator in providing reliable, compassionate, comprehensive, high quality, cost effective healthcare services.	The organization operates a 19-bed critical access hospital, a 78-bed long term care facility and a provider based rural health clinic that benefits the people in the surrounding area.					
Intermountain	http://www.intermountain.org	(406) 442-7920	EIN 81-0231775	3240 Dredge Drive	Helena	MT	59602	USA	Adoption, Children & Youth, Mental Health, Mental Health & Crisis Intervention, Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations, Residential Mental Health Treatment	Intermountains mission is Healing Through Healthy Relationships. With holistic, integrated services and a relationship based approach, we help families create and sustain nurturing, healthy environments where children can thrive and grow.	our flagship residential campus at 500 South Lamborn in Helena, Montana, includes our integrated private school as well as our Child and Family Assessment Center.  Providence Home, a therapeutic group home in the Flathead Valley, provides another care center.  Community clinics in Helena and Kalispell include some or all of the following: outpatient therapy, psychiatric medication management, psychological testing and evaluation, school based services and family based services, including adoption, foster care and in-home therapeutic care.	families create and sustain nurturing, healthy environments where children can thrive and grow.	Montana and the US	In our 105 year history, Intermountain has helped thousands of children and their families heal from early childhood trauma and adverse childhood experiences.  In the last 10 years, we have expanded to provide community services for families struggling with the mental health stresses and struggles of the modern world	over 1350 children and families.	
BUTTE RESCUE MISSION	http://	(406) 782-0925	EIN 81-0410116	1204 E 2ND St	Butte	MT	59701	USA	Christianity, Religion	PROVIDE FOOD & SHELTER TO THE HOMELESS	The butte rescue mission provides tempory shelter and meals for transients and homeless people. The mission also provides a place of worship  the butte rescue mission opened a thrift store selling used clothing and misc items. They also provide free of charge these items to those who cannot afford to pay.   during the 4th of july the mission has a fireworks stand to raise additional revenue					
The Policy Institute	http://	(406) 442-5506	EIN 81-0542433	Po Box 1362	Helena	MT	59624	USA	Education	To provide public education on matters of public policy in montana.	Publication of reports and white papers, working with media resources, organizing community meetings, classes and seminars to facilitate discussions with policy makers.					
Catalyst For Kids	http://www.catalystforkids.info	(406) 624-9657	EIN 20-0415640	225 Red Fox Ln	Bozeman	MT	59718	USA	Education, Health, Human Services, International, International Relief, Special Education	Assisting orphans,needy families, disabled, churches	Prompting education & a high standard of care for children world wide by: funding learning and therapy programs, benefiting over 250 special needs childlren, granting funds to a ngo in tanzania that places orphan children in foster homes.   advancing religion by assisting churches through: bible clubs in orphanages, providing sunday school materials and training,monthly support for 8 pastors and indigenous missionaries, providing funding for indigenous youth ministry teams, funding vbs and other evangelical programs of indigenous churches.   assisting familes: working in partnership with local churches, ngos and government departments over 30 families have received assistance with medical needs, home repairs, food parcels, clothing and other material needs.   buildings: assisting a foreign govemenment orphanage in repairing and maintaining its facilities that house 90 special needs children  disabled:eliminating the discrimination of disabled through assisting a center of rehabilitation					
Henry Brandt Ministries Inc	http://		EIN 20-8921324	Po Box 222	Clinton	MT	59825	USA	Arts & Culture, Printing & Publishing, Religion, Religious Media & Communications							
Church Of Christ	http://		EIN 81-0344327	3400 Central Ave	Great Falls	MT	59401	USA								
Realization In Truth Church Inc	http://		EIN 81-0378636	Route 1 Box 76ab	Victor	MT	59875	USA								
World Wide Film Expedition Inc	http://		EIN 48-0957192	243 Mount Ave	Missoula	MT	59801	USA								
National Huguenot Society	http://		EIN 81-6012694	15501 Bridger Canyon Rd	Bozeman	MT	59715	USA								
Northwest Montana Head Start Inc	http://www.nwmtheadstart.org	(406) 752-7011	EIN 23-7056959	79 7th Avenue East N	Kalispell	MT	59901	USA		Northwest montana head start promotes the well-being and self-sufficiency of children and their whole family by providing opportunities in a nurturing environment.	Head start program - providing comprehensive services to hundreds of children and their families.					
Cardwell Community Church Inc	http://		EIN 23-7060908	289 Mckeown Ln	Cardwell	MT	59721	USA								
Class Of 61 Inc	http://		EIN 81-0497400	Po Box 1961	Libby	MT	59923	USA	Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations							
Child Care Resources Inc	http://childcareresources.org		EIN 23-7096799	500 N Higgins Ave Ste 202	Missoula	MT	59802	USA	Child Day Care, Children & Youth	Child care resources' mission is to help kids grow into successful adults by enriching the learning environment of their crucial early years.	Child and adult care food program - includes activities associated with administering the usda child and adult care food program. Activities include nutrition training, menu review and processing, provider reimbursement and compliance monitoring.   family services - includes activities associated with parent education related to child care, serving as a liaison between families, providers, and the dphhs to determine family eligibility and processing child care scholarship payments for low-income families. In addition, the program provides services that support early childhood development, increase parent effectivness, and increase early learning readiness of young children.   provider services - includes the activities associated with training child care providers. The training includes assisting providers to advance through montanas quality rating improvement system, stars to quality, training and support to help providers serve children with challenging behaviors, health education, and on-site consultation, intensive workshops, and online training. This program also includes activities associated with recruiting and training child care providers. The montana dphhs also directly pays child care providers for child care services based on eligibility and service information provided by ccr.					
Mission Valley Senior Citizens Inc	http://	(406) 676-2371	EIN 23-7214280	528 Main St Sw	Ronan	MT	59864	USA	Human Services, Senior Centers, Seniors	To help senior citizens enjoy their lives in their later years through various activities and programs	Our center has many programs that assist our seniors in having a great life in their later years. We have card parties, bake sales, we play pool, and have numerous meal and snack options. Our nutrition program serves both shut-ins and those that can still get to the center.					
Lukes 100 Inc	http://		EIN 23-7088808	Po Box 785	Glasgow	MT	59230	USA								
Church Women United Of Columbia Falls	http://		EIN 84-0718224	Po Box 195	Columbia Fls	MT	59912	USA								
Billings District Council	http://	(406) 252-1855	EIN 91-0879988	2610 Montana Ave	Billings	MT	59101	USA	Human Services	To promote and perform works of charity through personal service.	The charitable works office:1. Served 18,610 sack lunches; distributed 1,026 food vouchers for food boxes. 2. Provided thrift store gift cards to 1,026 households;3. Assisted 207 people with rent;4. Assisted 5 individuals with adult education classes;5. Helped 238 people with utility assistance, including electric, gas, water, and propane;6. Distributed 580 bus tokens;7. Helped 142 people with in and out of town transportation;8. Provided 373 people with furniture and 306 with household goods;9. Provided 218 families with holiday gifts and toys;10. Provided 14 people with assistance obtaining birth certificates and other forms of identifications;11. Assisted 1,043 households with laundry services;12. Provided 109 individuals with access to a job service representative; andthe representative payee program:1. Managed funds for 112 payees;2. Wrote over 7,500 checks;3. Reconciled 98 bank statements each month;4. Submitted 112 annual reports;5. Reviewed and submitted 28 social security administration disability reviews;6. Completed 2 nursing home reviews;7. Submitted 1 montana state hospital applications;8. Completed 28 medicaid reviews;9. Submitted 5 medicaid applications; 10. Completed 30 food stamp applications;11. Reviewed 8 housing authority of billings applications;12. Completed 4 lieap applications;13. Completed 2 ymca applications;14. Provided 9 financial statements for others to subsidize housing; and15. Located an apartment for 8 payees  thrift - the program operates two thrift stores where donated clothing and household items are distributed free of charge or at nominal costs.					
Missoula Nordic Ski Club	http://		EIN 81-0476496	91 Campus Dr Pmb 2805	Missoula	MT	59801	USA								
Water Of Life Radio	http://		EIN 81-0543557	Po Box 4104	Missoula	MT	59806	USA	Religion, Religious Radio							
Society For Preservation & Encourmt Of Barbershop Quartet Singing Amer	http://		EIN 81-6030585	4891 Highway 93 West	Whitefish	MT	59937	USA								
Rocky Boy Health Board	http://	(406) 395-4486	EIN 81-0349437	96 Clinic Rd N	Box Elder	MT	59521	USA	Community Clinics, Health	Providing native american health services	Providing health care support, treatment and preventative services and programs to the men, women and children of the chippewa cree tribe.   maintanence and support for the rural water development and sewer system used by the chippewa cree tribe.					
TIBETAN CHILDRENS EDUCATION FOUNDATION	http://	(406) 443-6078	EIN 84-1387172	PO Box 1403	Helena	MT	59624	USA	Philanthropy, Public Foundations	The tibetan children's education	Children's education sponsorship programs-see attached statement of program service accomplishments.   service trip program-see attached statement of program service accomplishments.   grandparent's fund-see attached statement of program service accomplishments.   english aquisition project, and cultural, educational and service projects-see attached statements of and service projects-see attached statements of					
Christian Hosptitality Center	http://		EIN 23-7219835	Po Box 75	Stanford	MT	59479	USA								
Beaverhead Allied Senior Services	http://		EIN 81-0396947	225 S Nelson St	Dillon	MT	59725	USA								
Little League Baseball Inc	http://www.littleleague.org/		EIN 52-1545144	1216 Claim Jumper Ln	Billings	MT	59105	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports	Little league baseball softball programs	Provide athletic opportunities through the sport of little league baseball serving approximately 750 children in the billings community					
