name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Humanitarian AidTrips and On-Site Assistance: 
Yokid Stretch Your Limits Inc	http://yokid.org/	(703) 475-0046	EIN 26-0714762	500 North Washington Street	Alexandria	VA	22314	USA	Children & Youth,Youth Development Programs	Enable students to foster self-awareness through regular instruction in yoga and meditation. With greater self-awareness, they can realize their full potential academically, socially, and emotionally.					Yoga classes teacher training conferences staff development	
Heart Havens Inc	http://www.hearthavens.org	(804) 237-6097	EIN 54-1823934	812 Moorefield Park Dr Ste 301	N Chesterfld	VA	23236	USA	Developmentally Disabled Centers,Disabilities,Group Homes	Heart havens empowers adults with intellectual disabilities to live and thrive in a safe and nurturing environment.					Heart havens operates 12 homes in lynchburg, winchester, richmond, varina, norfolk, newport news, virginia beach, colonial beach, rappahannock, stuarts draft, and ashland. All of the homes have the capacity to support and house four to five residents, who are fully supervised at all times with dedicated and experienced staff. A person-centered approach is utilized in service delivery. We serve individuals of any faith, race, age or gender.	
Baptist World Alliance	http://www.bwanet.org	+1 703-790-8980	EIN 53-0204667	405 N Washington St	Falls Church	VA	22046	USA	Christianity,Economic Development,International,International Development,Religion	Networking the Baptist family to impact the world for Christ.	The Baptist World Alliance (BWA) mission is expressed in broad ministries and distilled into effective programs.  The BWA promotes Baptist unity throughout the world such as at Annual Gatherings, evangelism and training conferences, and in Congresses, held every five years.  (BWA's Baptist Family Celebration 2020 will be in Rio de Janeiro, Brazil.)The BWA resources churches in evangelism training around the world through conferences providing resources for each local organization that participates.  The BWA remains faithful to Baptist principles regarding human rights and religious freedom by helping people who suffer from injustice.  Our consultative status before the United Nations gives us a voice for the oppressed of all races and religions.  The BWA responds to people in need through its relief and development arm, working to prevent hunger and sickness through support of ongoing educational, agricultural and medical programs.  The BWA has ongoing development programs in dozens of countries.  The BWA promotes relevant theological reflection through study groups, exchanges with other expressions of the Christian faith, and meetings of scholars and theologians who collaborate to address the issues of today and express Baptist perspectives on those matters.	the wider communities where our 235 member conventions, churches and institutions reside, and to equip them in their desire to faithfully participate in God's purpose to reconcile all things to God's self in Christ Jesus.		122 countries and territories in Africa, Asia-Pacific, Caribbean, Europe, Latin America, North America	evangelism, relief and development, human rights and religious freedom, theological reflection and worldwide fellowship.	
Bread and Water for Africa	http://www.africanrelief.org	703-317-9440	EIN 54-1884520	8301 Richmond Highway Suite 300	Alexandria	VA	22309	USA	Economic Development,International,International Agricultural Development,International Economic Development,International Relief,Microfinance	Bread and Water for Africa provides funding to  African grassroots initatives community-based organizations and leaders addressing critical needs such as the impacts of HIV/AIDS, orphan care, vocational and education training, water and sanitation, and access to healthcare services and information.Countries served include, Ethiopia, Kenya, Mozambique, Sierra Leone, Uganda, Zambia and Zimbabwe.					Health - general and rehabilitative- sierra leone is home to three non-governmental organizations (ngos) with healthcare projects, clinics, and hospitals supported by bread and water for africa (bwa): the united methodist church (umc), the faith healing development organization (fhdo), and christian health association of sierra leone (chasl). Combined, these three ngos provide care to more than 75,000 people every year, with a focus on general healthcare for pregnant, lactating women and children under five. (sierra leone has some of the highest maternal and infant mortality rates in the world). (see schedule o for continuation)in addition to $17,250 in cash grants to health care-focused projects, bwa provided in-kind donations to fhdo, umc and chasl: medicines, medical supplies, medical equipment, personal protection kits for ebola, ambulance, hygiene items and relief items valued at $6,904,659. This is aligned with our long-term mission to improve health conditions in under-served parts of africa and to ensure that the clinics we helped construct are able to continue to operate effectively and efficiently. Fhdo operates five clinics in various towns and villages throughout the country. This year, all five clinics benefitted from donated medicine and medical supplies. In addition to basic healthcare services, fhdo runs a feeding program for pregnant women and lactating mothers to increase their vitality and nutrition level. This year for the ebola crises in sierra leone, bread and water for africa has been, and remains, on the forefront in providing assistance to rev. Mambu as he continues his heroic effort to treat the sick by providing hundreds of tyvek suits and personal protection kits, hundreds of thousands of dollars' worth of medicines and medical supplies, and $140,000 in cash grants to purchase emergency food supplies to make sure that more than 1,200 households across sierra leone receive all the basic food and supplies they need. In addition, in fy 2015, bread and water for africa funded the construction of waterloo primary school water well near to a local clinic; the water well will serve more than five thousand people living in the waterloo community including the nearby clinic. Chasl and umc have more than 120 members' hospitals and clinics across sierra leone with the mission of providing quality medical care to all patients and ministering to their physical and spiritual needs. In addition to providing inpatient care, surgery, obstetric delivery and newborn care, the hospital provides laboratory, ultrasound and x-ray services. Full-service outpatient clinics are operated six days per week along with a full malnutrition program in the area. In zambia, the kabwata orphanage and transit centre focused their efforts on building upon the past successes of its mobile clinic by preparing to open the permanent clinic in the kaweza district that had previously been funded by bwa. Much progress has been made in the past years, and the new clinic has been fully operational since march 2014. Additionally, because the government is providing doctors and other medical staff - as part of its new effort to improve its countrywide healthcare program - the clinic has been self-sufficient in its operations from the start. The new clinic has been a huge benefit to residents, some of whom would otherwise have to walk up to 24 miles to get basic and emergency medical care. Hope services (hps) and hope outreach foundation (hof) based in yaounde and buea, cameroon are the most recent healthcare partners for bread and water for africa. The objective of these organizations is to provide holistic care primarily in areas of medicine, psychology, social needs, and education. The health centers in yaounde and buea meet the needs of more than 45,000 people each year at little or at no cost to the patients. Additionally, hope services provides medical outreach to villages in the northwest region twice a year. The hps and hof programs are also currently addressing the health needs of yaounde urban refugees. This year, bread and water for africa provided a total in-kind support valued at $781,689 in medical equipment, medical supplies, hygiene items, and other relief items to continue support their healthcare mission in cameroon. In 2012, bread and water for africa established a partnership with haramaya university, which is located in the eastern region of the federal republic of ethiopia. This learning institution is comprised of ten or more colleges of different disciplines, including a college of medicine and college of health education. The haramaya university also has a campus clinic, community clinics and hospitals that provide educational and health services to a population of more than 50,000 residents. Through this partnership, bread and water for africa donated medicine, medical equipment, health care supplies, and hygiene items with a total value of $4,555,911 to haramaya university's healthcare efforts.  educational institutions and related programs:a key tenet of bread and water for africa's mission is that education is the future of africa. Educating africa's younger generation has been a priority for bread and water for africa since our founding. In our fiscal year 2015, we provided $252,000 in in-kind value of primary and secondary schools books to wolo university in ethiopia. (see schedule o for continuation)in addition, bwa granted in total $138,816 in cash grants to construct a primary school in cameroon and to support educational programs in kenya, sierra leone, zambia and zimbabwe while bolstering partnerships that have been helping children in these countries for over a decade. Fhdo's seven schools in sierra leone have been educating children in need for many years. In 2016, the first ever class that began their primary education at fhdo-run schools will graduate from secondary school, marking a great success for these educational programs and demonstrating the longevity of impact that an investment in local partners can yield. Bwa is looking forward to this landmark graduation and is honored to have been a part of this journey. The kipkeino primary school, founded by bwa's volunteer spokesperson phyllis keino, remains one of the top-rated primary schools in kenya, educating many orphans from the lewa children's home (lch) as well as other children from the towns and villages surrounding eldoret. The school currently has 420 students. As is the case with its partner organizations (lch and baraka farm) its reputation has made it a model of education in the region and for our other partners. It is a continuing source of pride for bwa to continue its enthusiastic support of the kipkeino primary school in 2015 by funding the school administrator's salary and upgrading computers. Bwa granted $76,766 to hope outreach foundation in cameroon for the construction of a primary school in buea, cameroon. The project is still under construction and is expected to be completed by december, 2015. The school will provide quality education for orphans and destitute children in addition to other students living in the community.  orphan care:many children in africa have been made orphans because of hiv/aids, preventable diseases, warfare, and social conditions that have pre-maturely claimed the lives of their parents. Without help, these children have little hope for future prospects of economic and social advancement, and sometimes even for survival. We are proud to support our partners' efforts to give these children a brighter future and thus granted $75,800 to orphanages in three countries this year. (see schedule o for continuation)in kenya, the lewa children's home is a model for the many other programs we support. The lewa children's home began when bread and water for africa's volunteer spokesperson phyllis keino took in four children whose parents - who had been good friends of the keino family - died in a car crash in the early 1970s. Today, the lewa children's home provides comprehensive shelter and care for 87 children on-site, and provides 126 additional children from surrounding communities with money for school fees and basic necessities like food and clothing. Over the years, phyllis has expanded her efforts by founding the kipkeino primary school and baraka farm, all within the same 500-acre complex, working together to make the community stronger. Bread and water for africa continued its enthusiastic support of the lewa children's home in 2015 with a quarterly grant funding used for the upkeep of the home and to provide operational daily support for the staff and children. The kabwata orphanage and transit centre (kotc), located in lusaka, zambia, was founded by angela miyanda to provide a loving, caring, secure and healthy environment for orphans in this country (though their efforts have since expanded operations to include community healthcare - see above). Most of the children taken in by kotc have lost their parents to the terrible aids epidemic in the country. The kotc children are provided quality nutrition, shelter, education, and skills training. 319 orphans and more than 2,000 other individuals benefit from these services, which bwa is proud to fund. As it continues down its path toward self-sufficiency, the centre has been developing an income-generating project in the form of a banana plantation and a vegetable garden, which is currently earning over $27,000 per year. The shinga development trust in mutare, zimbabwe reaches out to 396 children per year through their feeding and nutrition program and school fee support program. Given the desperate economic situation in zimbabwe (with an unemployment rate of 95% and per capita gdp of under $100), the shinga development trust's mission is to care for the neediest children. Shinga provided school fees, feeding program and foster care sponsorship to many children in the area. Shinga focused on developing a farm that will benefit the orphans feeding program in dora east and dora west since 2014. In addition, bread and water for africa is funding the construction of an orphans' house, which is still under construction. We look forward to supporting shinga's future farming project.  other programs	
Association For Research And Enlightenment Inc	http://www.edgarcayce.org	(757) 428-3588	EIN 54-0573802	215 67th St	Virginia Bch	VA	23451	USA	Arts & Culture,Printing & Publishing	The mission of association for research and enlightenment (a. R. E. ) is to help people transform their lives for the better, through research, education, and the application of core concepts found in the edgar cayce readings and kindred materials that seek to manifest the love of god and all people and promote the purposefulness of life, the oneness of god, the spiritual nature of humankind, and the connection of body, mind, and spirit.					Educational programs: headquarter and field conferences provide organized educational programs based on and related to the edgar cayce topics and teachings. In 2014, we conducted 37 field weekend seminars consisting of 3,507 attendees at various locations across the country. At our headquarters location, the a. R. E. Conducted 15 hq conferences consisting of 1,324 attendees from all parts of the country. On-site bookstore: promotes and sells a. R. E. Press publications, a. R. E. Conference dvd's, related outside publications, and peripheral items. This sales venue is for the convenience of our members, donors, and supporters, including conferees, massage therapy students, and spiritual / health seekers to assist them in improving their lives physically, mentally, and spiritually. Prison outreach: provides prisoners and prison libraries with free books based on the edgar cayce material. Thanks to the generosity of our donors, in 2014, the prison outreach program distributed over 12,500 free books to prisoners and prison libraries. Prayer & meditation services: serves as both a resource center and a well networked international prayer service. Our monthly international printed prayer service includes an inspirational prayer letter (electronic or mailed) and is promoted to help those in need. Www. Worldprayergroup. Org. In 2014 there were approx 28,500 prayer participants. Study groups/spiritual growth groups: serves as a resource center for the numerous study groups and spiritual growth groups in the u. S. And abroad. In 2014, 20 new study groups were formed bring the usa total to 271 & worldwide total to 112. This department aids in the start-ups of new groups, dissiminates the appropriate cayce material (books, publications, etc. ) and study group guidelines, responds to various groups' inquiries, and resolves issues that arise with the various study group operations. Outreach: although the international headquarters of the edgar cayce work is located in virginia beach, virginia, the a. R. E. Community is a global network of individuals who offer conferences, educational activities, service projects, outreach and fellowship around the world. In addition to 6 regional offices (incorporated affiliates) and approximately 37 volunteer area teams, there are "edgar cayce centers" in 38 countries and volunteer representatives in 55 countries. This outreach provides individuals around the world the opportunity to meet with local a. R. E. Representatives and cayce enthusiasts, take part in ecumenical spiritual discussion groups, attend education programs and hear how the cayce information continues to help individuals change their lives for the better - physically, mentally, and spiritually. In addition to hundreds of international study groups and ongoing educational programs, the a. R. E. Community offers a wealth of free information on a variety of websites, ongoing service projects, such as prison outreach, educational programs for youth and classes on a variety of topics. More information about these and more opportunities can be found at: www. Edgarcayce. Org. Camp: approx 315 attendees were at 2014 summer camp coming to experiment with the simple lifestyle suggested by the edgar cayce readings. Guided by a spirit of love and cooperation, traditional and nontraditional camp activities are woven together to provide a balance in the areas of body, mind, and spirit while improving the environment for all around. Activities include nature education, arts and crafts, hiking, swimming, drama and music, dream exploration, quiet time, meditation, and study and discussion of the cayce material. Tours: in 2014 a. R. E. Tours hosted 5 travel programs and 150 a. R. E. Members/travelers. For over 40 years, a. R. E. Has been providing a unique educational travel program for members and friends of the cayce information. In addition to providing organizational opportunities for fund-raising and development with individual travelers, each tour presents knowledgeable speakers and relevant information from the edgar cayce readings, along with the experience of visiting special areas of the globe with historical, spiritual,or metaphysical significance that can be tied to the unique insights found in the cayce readings. In addition, the tour provides members with the chance to meet with and get to know likeminded fellow travelers with similar interests, and the opportunity to meditate daily and work on dreams together. Archaeological research: coordinates archaeological expeditions in search of (and finding evidence of) ancient cultures that are mentioned in the cayce discourses. Metaphysical library: the a. R. E. Library is a living memorial to the life and work of edgar cayce, whose more than 14,000 psychic readings form the core of the collection. In addition to the cayce readings, the library houses one of the largest collections in the world - 65,000 volumes - specializing in the fields of metaphysics, parapsychology, comparative religious studies, holistic health, ancient civilizations, and foreign language editions of edgar cayce books. Our library houses the largest repository of metaphysical books, cds, dvds, videos, and audiotapes in north america and some of the largest collections in the world, including the edgerton sykes collection (atlantis), the andrew jackson davis collections (psychic experiences), as well as verbatim copies of the complete edgar cayce readings. Books may be checked out to members of edgar cayce's a. R. E. , students of atlantic university or cayce reilly school of massotherapy, or hampton roads resident library members. Also available are use of our wi-fi lounge and esp tests, which include remote viewing, sequential card test, and more.  health center- school of massotherapy and spa: the cayce/reilly school of massotherapy offers a quality, comprehensive education in both the art and science of massage therapy based on the holistic principles of the edgar cayce readings and in the spirit of dr. Harold j. Reilly. Students of the cayce/reilly school experience the convergence of leading-edge technical instruction with the concepts and philosophies of the holistic healing arts, with an emphasis on the health philosophies and remedies contained in the edgar cayce readings. The school also offers a continuing education program for already licensed/certified massage therapists. All classes offered through this program are in alignment with the health and holistic principles of both the cayce/reilly school and the a. R. E. In 2014, the school provided education to 33 full-time students, 22 part-time students and approximately 412 weekend continuing education seminar participants. Health and spa services: health and spa services provides and administers the health care modalities recommended in the edgar cayce readings while assisting individuals in utilizing their own innate healing abilities. Our goal is to provide application of the edgar cayce health readings in a responsible, caring and professional manner such that these services align with both the spirit and philosophy of the readings. In 2014, the following services were provided to seekers: massage therapies (including cranial sacral, body talk, reflexology, reiki, and caster oil packs), as well as colonics and clinical services (chiropractic & hypnotheraphy). All combined, the number of services totaled 10,353.  publication and dissemination: promotes and sells a. R. E. Press publications, and a. R. E. Conference dvd's. This sales venue is for the convenience of our members, donors, and supporters, including conferees, students, and spiritual / health seekers to assist them in improving their lives physically, mentally, and spiritually. This venue promotes and reaches outside of the local virginia beach demographics to national and international seekers. In-house publications: a. R. E. Press publishes and distributes books and media to wholesale and retail bookstores that are based on and related to the edgar cayce topics and teachings. Certain publications are also offered in spanish.  a. R. E. 's total membership was 28,536 at 12/31/14, consisting of 14,922 regular memberships, 5,704 online emembers, and 2,982 life members and 4,928 etrial (test) emembers (total excl trial are 23,635). Some of our accomplishments in 2014 include: * we provided a free annual membership to 975 individuals who were not able to pay for their membership. * we provided 10,000 copies of the magazine and 8,000 copies of the newsletters to various organizations and individuals free of charge* online membership (emembership) grew by 13% year-over-year and represents 24% of the total members* overall traffic to edgarcayce. Org was up over 2014 17. 6 million page-views, and 3. 8 million sessions; average daily session of 10,296 * we continue to have a global appeal with 29% of visitors outside of the u. S. Top countries for web activity (ranked by site visits) include canada, united kingdom, australia, india, philippines. Top sources of traffic include google, direct, yahoo, and bing * google grant ads brought in over 7. 7 million impressions and nearly 120,000 clicks (waived cost of $99,563) * reflections: the wisdom of edgar cayce, our internet radio show with cbs sky radio, has over 100 podcasts available for download to the public (edgarcayce. Org/radio)with 5,000 facebook fans* our video views on youtube have now reached nearly 4. 05 million. * our social networking statistics continue to grow: the official edgar cayce page on facebook had 131,000 fans at year-end and twitter had 7,403. * we expanded our facebook, google+, and pinterest posts to include images with cayce quotes, available for sale as prints, and we are also on google+, foursquare, pinterest, and meetup.	
Shenandoah Community Foundation Inc	http://www.ShenandoahCF.org	540-459-7737	EIN 54-1963011	PO Box 31	Woodstock	VA	22664	USA	Community Foundations,Philanthropy	We connect people who care with causes that matter.	As of 6/30/12, grants and scholarships for 2012 totalled over $95,000. By the same date, two new funds had been started in 2012.	Area donors and nonprofit organizations		Shenandoah County, Virginia, and surrounding areas	Annual nonprofit grants program; Ongoing donor development and support program; Ongoing scholarship programs;	
Rappahannock Council Against Sexual Assault	http://www.rcasa.org	540-371-6771	EIN 54-1443112	2601 Princess Anne Street, Suite 102	Fredericksbrg	VA	22401	USA	Crime & Law,Hot Lines & Crisis Intervention,Mental Health,Sexual Abuse Prevention,Sexual Assault Services	Our mission is to provide education, prevention and intervention on sexual violence in our community.	We have been serving our community since 1986 (over 23 years) and have served over 10,000 people.	We serve all ages, genders, sexual orientations, ethnicity, and races.	We serve on average 400 - 600 survivors of violence a year	Central Virginia: Fredericksburg, Caroline County, Spotsylvania County, King George County, Stafford County	Education and Outreach, Allied Professional Training, Volunteer Training, Primary Prevention ProgramsIntervention Services = 24 hour hotline and crisis support, 24-hour medical and forensic accompaniment, legal advocacy, comprehensive counseling (trauma-informed, art therapy, support groups, parent education, individual and group, short and long term).	
Good360	http://about.good360.org	(703) 836-2121	EIN 54-1282616	1330 Braddock Place Suite 600	Alexandria	VA	22314	USA	Homeless & Housing,Housing & Shelter,Human Services,International,International Relief	At Good360, our mission is to fulfill the needs of nonprofits with corporate product donations. We are driven by a vision that demands constant innovation, leveraging the latest technological and social networking developments to create new and engaging online solutions that strengthen nonprofits and expand corporate citizenship.					At good360, we bring together nonprofits, individuals and companies to make a greater social impact in communities around the world. We work with our partners to deliver more than $300 million in product donations each year to our 40,000+ nonprofit members across the globe. Our nonprofit partners receive the resources they need to help their communities, and corporate and individual donors witness the tangible good from their giving. From books for children to clothing and personal care items for disaster victims to mattresses for homeless shelters or technology for schools, good360 gives corporate product donations a new and sustainable afterlife by keeping them out of landfills. We help companies achieve zero-waste initiatives while fulfilling the growing needs of our network of pre-qualified charities.	
LOUDOUN WILDLIFE CONSERVANCY	http://www.loudounwildlife.org/	(703) 229-7871	EIN 54-1762533	PO Box 2088	Purcellville	VA	20134	USA	Animals,Wildlife Preservation & Protection	Loudoun Wildlife Conservancy was formed in 1995 by a small group of concerned citizens who saw our wildlife habitats and healthy environment slipping away.With the exception of some very limited part-time help, we remain an all-volunteer organization made up of local residents who care deeply about the future of our environment and who want to share this love for the natural world with others.Our mission: Promote the preservation and proliferation of healthy wildlife habitats in Loudoun County, Virginia					Habitat restoration - see schedule o environmental education - see schedule o citizen science - see schedule o see schedule o	
Law Enforcement Legal Defense Fund	http://www.policedefense.org	(703) 807-1875	EIN 52-1095066	2560 Huntington Ave	Alexandria	VA	22303	USA		Our mission is benevolent and educational. We support and defend the law enforcement profession and those law enforcement officers who have devoted their lives to upholding the constitution and serving the united states and its citizens while enforcing its laws. We also seek to educate the public about the many risks and threats to law enforcement personnel in order to build a more informed, respectful, and appreciative society.					We seek to educate and inform the public about the many risks and threats to law enforcement personnel in order to build a more informed, respectful, and appreciative society by publicizing the many challenges and dangers faced by our nation's law enforcement officers in the media and through direct mail campaigns, our website, social media, and by other means. We also raise awareness of the risks to the livelihood, health, and safety of our nation's law enforcement officers and provide support and appropriate recognition for their many sacrifices.  we support and defend the law enforcement profession and those law enforcement officers who have devoted their lives to upholding the constitution and serving the united states and its citizens while enforcing its laws. We support the defense of wrongfully accused/charged law enforcement officers by providing funds for defense counsel, court and subsistence costs, and expert witnesses.  we support activities of law enforcement professional associations, fraternal organizations, and related groups. We also provide recognition to exceptional private citizens who defend and protect law enforcement officers engaged in official actions.	
Misfit Critter Farm & Sanctuary	http://www.misfitcritterfarm.com	504-390-9008	EIN 47-1199797	Private Property Please contact for address or directions!	Ivanhoe	VA	24350	USA	Animals	Mission Statement To provide homeless cats and kittens, and special needs/injured/ill/owner surrender/stray/dumped/shelter cats in Virginia; rescue, vaccination, disease testing, spay/neuter, any medical care, treatment, surgeries and rehabilitation through quarantine, sanctuary and adoption services. I pull every cat that is not adopted, reclaimed or rescued from the Wytheville Cat Shelter and after their health care is finished, adopt them out or provide permanent care for them at the sanctuary, if adoption is not an option due to special needs. Misfit Critter Farm & Sanctuary also provides assistance to the community by providing low cost spay/neuter, vaccinations, combo testing, rehabilitation, food, medicine, removal, trapping, transport, colony sterilization/vaccination and emergency medical services. Despite any diseases or illnesses, no cat is euthanizes unless all possible treatments have been extinguished, the cat's quality of life will remain poor and suffering is permanent. I also assist with neglect and abuse cases regarding any type of animal. The focus is on cats and farm animals/horses since this area is flooded with dog rescue groups and the kill rate at the nearby shelters for cats is near 100%. Also, we educate the community about disease/virus prevention, spay/neuter importance and animal care/health with our large online following and through brochures, flyers and posters. Adoption, meet & meow, and educational events take place as time/volunteering allows. We hope to bring light to many issues involving animals in this area and create a better educated, safer, distemper free, population controlled, actively proactive and compassionate community.	Accomplishments & Projects Currently, we are offering low cost annual vaccines in order to eradicate the serious distemper problem that has mutated from being species specific and is now affecting and killing cats, dogs, raccoons, fox, mink, and ferrets. Also, after years of insisting on an honest shelter system and teamwork, it is now required that the Wytheville Cat Shelter allows every cat that comes in to be photographed, posted online for people to see and share so that the cat has a chance at being reclaimed, adopted or rescued. If the cat is still there when their time is up, regardless of age, health, social ability, they are picked up by Misfit Critter Farm and given a second chance at life after being tested, vaccinated and spayed/neutered.	The cats of Southwestern Virginia and other animals in need	Hundreds of cats in homes, ferals, strays, abandoned, neglected, abused and otherwise forgotten. We specialize in taking in and fixing up animals that are at death's door and give them our best shot at survival. We have taken in many cats who became homeless due to their owner passing away or because of the caretaker's health issues. Vet care, surgeries, medications and any needs are met and the cats are given a permanent home here or adopted out, depending upon the situation.	Emergency feline rescue, special needs sanctuary, preventive care, hospice, living will rescue, hope for cats that would otherwise face certain death or suffering, cage-free sanctuary and rescue, top rated quarantine of ill, unvaccinated or newly brought in cats.	Adoption, emergency medical care, crisis control, colony maintenance, spay/neuter, low cost vaccines for anyone, supportive care for panleukopenia/distemper cats with an excellent survival rate, long term sanctuary and medical care for cats that are not adoptable due to a long term medical condition, hospice for elderly, cancer, diseased and dying cats, intensive 24/7 care for cats and kittens in crisis at any age, 24/7 council and emergency contact, transportation, trapping, removal of cats, providing food for cats being cared for by the community at no cost, providing vet clinic with low cost vaccines, taking in any Wytheville Cat Shelter cat that has not been reclaimed, adopted or rescued, speaking with community leaders about current laws and future amendments, providing financial assistance for cats in need of surgery or other medical needs when payment cannot be met, never turning away a cat for any disability, illness, disease or issue, remaining a cage-free sanctuary and rescue, not euthanizing unless all other options and treatments have been extinguished, there is no hope for a quality life and the animal is suffering, providing education to the community and general public through printouts, booklets and an active global Facebook page and many volunteer opportunities and sanctuary tours upon request.	
Planned Parenthood of Southeastern Virginia Inc	http://www.ppsev.org	(804) 355-4358	EIN 54-0929058	515 Newtown Rd	Virginia Bch	VA	23462	USA	Family Planning,Health,Reproductive Health Care,Reproductive Rights	Education of public and clinic services, educational information and counseling; community services and outreach programs.					Clinic services - treatment of thousands of patients in 2014.  educational information and counseling - providing education and counseling to thousands, conducted home healthcare parties for low income individuals in the local area.  public affairs	
Airline Ambassadors International Inc	http://www.airlineamb.org		EIN 75-2679444	550 14th Rd S Apt 1014	Arlington	VA	22202	USA	Economic Development,International,International Economic Development,International Exchange,International Relief,Microfinance	Airline Ambassadors provide humanitarian assistance to children and families in need as well as international relief and development to under-priviliged communities worldwide.					Humanitarian Missions Program: Airline Ambassadors missions hand-deliver humanitarian aid to children in orphanages, clinics and remote communities on 3 - 10 missions per month. Please join us on a "Journey of the Heart" and help with global hunger, health, education, disaster relief or the environment.  CASA Corps Program The CASA Corps Program within Airline Ambassadors International was established in September 2003 to facilitate the transfer of the culture of building codes. The program allows building professionals to engage in a exchange through travel. By imparting critical information on building codes and the culture in which supports them to developing nations, the CASA Corps Program seeks to reduce deaths and economic loss due to earthquakes and other natural disasters.  Children's Escort Program: Members volunteer to escort orphans to new homes and new families or children in need to hospitals for medical care not available in their home countries.  Special Events Program: Members volunteer to host civic or charitable events locally and globally. This gives them an opportunity to meet key global dignitaries and network with others while providing aid to children.  Special Projects Program Airline Ambassadors' members may identify substantive projects or particular needs of a community. For example, members might raise money to build wells in a developing country, build an orphanage wing, pay the  annual salary of a teacher or purchase medical equipment for a hospital.  Youth Program: Airline Ambassadors involves young people in our programs providing an exciting opportunity for them to learn, appreciate diversity, form cross-cultural friendships and grow in self esteem.	
World Children's Choir, Inc.	http://www.worldchildrenschoir.org	703-883-0920	EIN 54-1532063	4022 Hummer Road Suite 109	Annandale	VA	22003	USA	Arts & Culture,Arts Education,International,International Cultural Exchange,International Exchange,Singing & Choral Groups	The World Childrens Choir, founded in 1990, serves as a voice for children worldwide a voice that celebrates cultural diversity through music, builds positive international relations, and asks people to work together to create a healthy, peaceful world for all children.	The Choir has been appointed to the Artists Roster of the John F. Kennedy Center for the Performing Arts. Performances have been given for former U.S. Presidents Bush and Clinton, Queen Noor of Jordan, Queen Sofia of Spain, the United States Supreme Court and on numerous other occasions at the White House, the Kennedy Center, on Capitol Hill and for national and international television broadcasts.We fulfill our mission in three ways:First, to local children of all cultures, nationalities, and economic circumstances, we offer professional instruction and unique opportunities to sing with beauty, artistry, and joy.Second, we direct our music to inspire our audiences  reinforcing and sustaining our belief that by working together we can truly create a peaceful, healthy world.Third  through our projects and activities of our Voices for Children Campaign (benefit concerts, CD sales, and community outreach) we raise money and coordinate activities to directly support children in need  both locally and throughout the world.The Choir has helped raise money for national and international childrens causes and organizations such as the Childrens Defense Fund, UNICEF, and the CARE Foundation. The Choir raised funds to purchase an entire years worth of school supplies for children in Morolica, Honduras, whose village was destroyed by Hurricane Mitch. WCC partnered with St. Peters Episcopal Church to raise $12,000 to build a blood-testing wing in the Kgabo District Mission Clinic in South Africa. Most recently WCC singers appeared in a benefit concert for Missions Schools International that raised enough funds to build three boarding schools in Kenya.The Choir performed for former Soviet President, Mikhail Gorbachev and guests at the Embassy of the Russian Federation, as part of a very special dinner to raise funds for Childhood Leukemia Research.The Choirs Voices for Children Festival and concerts were given in Ireland in honor of the UN High Commissioner for Refugees first World Refugee Day. Concert proceeds were contributed to programs for child refugees living in Ireland and the UNHCR Educational Trust .Additional workshops and performances were given in Dublin, Cork, Carlow, Waterford, Galway City, and Connemara. Performances in Dublin and Cork were shown on national television throughout Ireland.Through our music, we reach out to audiences far and wide to reinforce our message of hope and unity. The World Childrens Choir gives a voice to local children to earn support and attention for the needs of all children worldwide, and calls upon adults throughout the world to do the same.	Culturally, socially, economically diverse children and teens (and parents) in the Washington, DC area ages birth - 18 years old.International program focuses on children and teens living in underserved communities affected by violence and conflict.	Child/Teen Performers: 50  ~ Int. Institute Children/Teens: 300	Washington, DC area	 Professional Children's Choir African Drumming and Dancing Ensemble Community Chorus:  International Friends Chorus Prenatal and Early Childhood Music and Movement Classes Outreach:  scholarships and concert tickets for children from families that are financially disadvantaged; performances for hospitals, retirement, and nursing home residents; special event charity galas and benefit concerts International Concert Tours International Cultural Exchange International Voices for Children Institute	
Life Unlimited of Virginia Inc	http://www.rikkisrefuge.org	540-854-0870	EIN 54-1911042	7321 Franklin Rd	Annandale	VA	22003	USA	Animal Protection & Welfare,Animals,Christianity,Religion,Wildlife Preservation & Protection,Wildlife Sanctuaries	Rikki''s Refuge is an independent, all species, no-kill sanctuary located on over 330 acres of land in Orange, Virginia. Most of this land, which includes streams and beaver ponds, is set aside as a protected area for native Virginia plants and wildlife. The remaining acreage is used to house and care for companion and farm animals who have been abandoned or displaced. From the very beginning, Rikki''s Refuge has accepted animals into the sanctuary without discriminating against age, health condition, breed, adoptability, or any of the other labels that often warrant a death sentence. All are welcome to live a comfortable life at the refuge.			Over 1200 animals of various species and special needs	Virginia. United States		
