name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Education 	Improving Grades & GPAs:	Improving Physical Fitness & Health:	Juvenile Drop out Prevention:	Activities that Strengthen Families
Education For Successful Parenting	http://www.eduparents.org	949-646-6016	EIN 26-2098947	9016 Tenderfoot Trail	Raleigh	NC	27615	USA	Children & Youth, Children & Youth Services, Education, Health, Secondary & High Schools, Youth Development Programs	ESP is improving the health and well-being of children in our communities by educating adolescents about parenting before they conceive the next generation of children.  Our goal is to empower young adults with the information and life-planning skills they need to form a healthy family.  ESP is working to reduce rates of teen pregnancy, absent fathers, and child abuse.	Among teens who have attended ESP programs, over 90% report being more willing to wait until adulthood before parenting, and they report feeling more prepared to provide for, protect, and nurture a child.	improve children's well-being	pre-parenting education	"Healthy Foundations for Future Families" which educates teens about the effect of their choices today on the well-being of their future family.	over 1,000 teens.					
North Raleigh Athletic Association	http://www.popwarner.com		EIN 56-1745721	PO Box 98872	Raleigh	NC	27624	USA	Football, Sports	To operate a pop warner youth football league including a cheerleading squad				Children played a fall schedule for football and cheerleaders cheered during the games, cheerleading competitions were entered, referees were hired and paid for the games, uniforms were purchased for the players and cheerleaders, coaches uniforms were purchased and parental assistance was offered for parents who could not pay the full amount of registration.						
Soar Inc	http://		EIN 58-1505954	Po Box 388	Balsam	NC	28707	USA	Environment, Environmental Education											
Wake Interfaith Hospitality Network, Inc.	http://www.wihn.org	919-832-6024	EIN 56-1843022	903 Method Rd Suite	Raleigh	NC	27606	USA	Health, Homeless & Housing, Homeless Shelters, Specialty Hospitals	Wake Interfaith Hospitality Network (WIHN), is a non-profit corporation whose mission is to assist homeless families in achieving independence with dignity.  WIHN assists families in the transition from homelessness to self-sufficiency by providing an average of 39 days of service.  To both involve and educate the community, WIHN mobilizes more than 2000 volunteers from 50 congregations to provide families with shelter, meals and encouragement.  The professional staff provides resource oriented case management, individualized counseling and loving encouragement to each family.	In 2012, WIHN served 50 families (58 adults and 113 children) in our Emergency Shelter Program.  In transitional housing, we served 25 families, consisting of 99 individuals, with 32 adults and 67 children.  Of those 25 families, 14 have exited the program and 11 carried over into 2013.  For those who exited, 12 families (86%) moved into permanent housing.	homeless families with children	Wake County, NC	Emergency Shelter Transitional Housing Program Aftercare						
Alpha Pregnancy Support, Inc.	http://www.alphapregnancysupport.com	336 - 242 - 1218	EIN 58-1918989	23  West 3rd Street, Suite B PO Box 1385	Lexington	NC	27292	USA	Children & Youth, Civil Rights, Counseling, Family Services, Mental Health, Right to Life, Youth Development - Religious Leadership	We are a Christian organization offering Free Counseling Service, including Emotional, Spiritual and Practical support to women in a Crisis Pregnancy. We are supported by financial donations from, businesses, Churches, Community and individuals.  We counsel and minister to women, couples families and those who are hurting and abused. We teach parenting skills, abstinence, adoption education and alternatives to abortion. We offer confidential pregnancy  tests, on - going counseling, before and after the pregnancy. We also offer Bible Study, GED referrals, resume skills  and MOMS Support Classes. Clients earn Vouchers by attending classes and redeem coupons for baby clothing, diapers and new layette items.	The primary focus of the organization is to serve the Clients and meet their needs one on one. The Long - term goal is a new facility.	Young  girls and single mothers with babies and small children.	All the 14 Townships of Davidson County	MOMS Support, Resources, diapers, Parenting Classes, Character Education and Relationship skills	We serve an average of 300 to 375  returning, long - term clients in sessions per year.					
Literacy Volunteers of America-Pitt County	http://www.pittliteracy.org	252-353-6578	EIN 56-1630291	105 E Arlington Blvd Ste A Room/suite E	Greenville	NC	27858	USA	Adult Education, Education	The mission of Literacy Volunteers  Pitt County (LV-PC) is to promote literacy in Pitt County through trained volunteer tutors who provide one on one and small group tutoring to adults with limited reading, writing or English speaking/literacy skills.   Adult literacy is the ability to read, write and speak English proficiently, to compute and solve problems, and to use technology in order to become a life-long learner and be effective in the family, in the workplace and in the community.				One-on-one and small group instruction: Pre-GED Reading Writing Basic Math English Communication  Monthly classes available: Computer Basics Computer Applications I Computer Applications II						
Preservation Chapel Hill	http://www.preservationchapelhill.org	919-942-7818	EIN 23-7218278	610 East Rosemary Street	Chapel Hill	NC	27514	USA	Alliances & Advocacy, Arts & Culture, Historical Organizations, Management & Technical Assistance, Professional Societies & Associations	Preservation Chapel Hill is dedicated to protecting the character and heritage of the Town of Chapel Hill, and the surrounding community, through the preservation and conservation of its historic buildings and cultural landscapes.   To achieve our mission, our approach is three-fold:  PRESERVE  We preserve historic structures and places by offering Preservation Loans for rehabilitation and renovation projects, preparing Historic Structure Reports and conducting resource surveys at a reduced fee, and consulting with property owners during the design phase of projects in preparation for making applications to the Historic District District Commission, Planning Board, or Town Council.   ADVOCATE  We advocate for preservation initiatives by encouraging projects that balance the need for development and growth with the desire to retain our historic resources. We work with partners in economic development, heritage tourism, public education, and local government to ensure a voice for historic preservation is present in the decision-making process.   EDUCATE  We educate the public and our partners about what historic preservation is, why it matters, and how it can be a tool to achieve our community's goals. The field of historic preservation has developed and changed over the last fifty years, and we are a resource for understanding its role in today's society. 	Since 1972, PCH has purchased, rehabilitated, and sold numerous properties in Chapel Hill, protected twelve properties in perpetuity by administering preservation easements, advocated successfully for development projects that are sensitive to surrounding historic properties, and assisted countless property owners with researching, rehabilitation, and preserving their historic homes and businesses.	our community balance the need for growth with the protection of historic resources	Chapel Hill and Carrboro	technical services (research, National Register, tax credits, preservation easements) educational tours (downtown Chapel Hill, downtown Carrboro, women's history, Old Chapel Hill Cemetery) special events (Voices from the Grave, Holiday House Tour, Preservation Showcase Tours)	advocate for development projects sensitive to the historic districts, create an inventory of Chapel Hill's historic buildings, and add interpretive signage and information at the Old Chapel Hill Cemetery					
Comfort Socks	http://www.comfortsocks.org		EIN 80-0281035	PO Box 477	Supply	NC	28462	USA	Philanthropy, Public Foundations	Comfort Socks provides new socks to any agency that serves homeless people and families. Putting aside for a moment the hygiene benefit of socks for the homeless, for us, this mission is one of comfort. We provide the secure and comfortable feeling that putting on new pair of socks can give someone who feels lost or forgotten by this world. Every step taken by a homeless person is a painful step Comfort Socks eases that pain with the simple comfort of new socksComfort Socks also recognizes that sock drives encourages kindness and purpose for young and old alike. Part of our mission is to inspire others, so that ultimately, the comfort these socks bring can be enjoyed soulfully by the provider and recipient.										
North Carolina Therapeutic Riding Center, Inc.	http://www.nctrcriders.org	919-304-1009	EIN 56-1381694	4705 Nicks Rd	Mebane	NC	27302	USA	Equestrian, Sports	To empower children and adults with physical, emotional,  mental and social challenges to create active, healthier and more fulfilling lives through equine-assisted activities and therapies (EAAT).	Of the 205 goals developed for clients in 2013, 80 (39%) were achieved, 113 were partially achieved, with progress made toward the goal (55%), and 12 (6%) showed no progress.  Every client demonstrated progress toward at least one of their established goals.  Goals include skills applicable to daily life  examples include:  Maintain standing balance for 5 minutes or longer while engaged in functional activity, Coordinate leg aids for effective cue to walk on 50% of the time with verbal assistance, Increase independence and confidence in grooming, tacking, and leading, Consistently use signs, words, or alternative communication strategies for go and trot without assistance, Improve balance and core strength as well as gross motor skills, etc.	children and adults with physical, emotional, mental, and social disabilities	Mebane, NC	therapeutic horseback riding, hippotherapy, inclusive summer camp opportunities, and camps for children and teens with cancer.	72 clients, with a significant increase expected this year					
Summer Science Program	http://www.summerscience.org/	866-728-0999	EIN 94-3341965	108 Whiteberry Dr	Cary	NC	27519	USA	Education, General Science, Higher Education, Physical & Earth Sciences, Technology	SSPs mission is to inspire exceptionally talented and motivated high school students to accelerate their intellectual and social development.  Our college-level, residential program immerses students in a challenging science curriculum with team-based, hands-on research to solve a central scientific problem.  Since 1959, we have created a cultural environment of excellence, collaboration, and creativity, and we push our students beyond anything they have previously experienced.  We measure our performance by the number of alumni who look back at SSP as a formative experience and support the program for future generations.	Life-changing!	High school juniors, gifted & talented in math & science.	worldwide	Two campuses: at Univ. of Colorado Boulder, and New Mexico Tech in Socorro	72					
Sistah Keepers Cafe	http://		EIN 20-3046557	1456 Mandy Place Ct	Charlotte	NC	28216	USA												
Fuzzy Faces Refuge Inc	http://www.fuzzyfacesrefuge.org		EIN 46-4155393	600 Ryans Lane	Clayton	NC	27520	USA	Animal-Related, Animals, Human Services, Protection of Endangered Species	Fuzzy Faces Refuge is a North Carolina 501c3 non-profit that provides a sanctuary for endangered heritage breed farm animals and rehabilitation focused services for Veterans, their families and others in need of personal growth activities and education within our community.   We provide an environment where people of all abilities can interact safely with animals, providing positive, therapeutic experiences that build confidence, enable positive progress and afford opportunities that may otherwise be unavailable.		Critically endangered heritage breeds of farm animals and people with physical, mental or emotional challenges - with a focus on Veterans and their families	The Clayton NC area including Raleigh, Garner, Wendell, Knightdale, Zebulon, Selma, Smithfield	Fuzzy Friends, Back in the Saddle						
Full Circle Farm Sanctuary	http://fullcirclefarmsanctuary.org/	8283671620	EIN 36-4735749	Jacks Creek Township	Burnsville	NC	28714	USA	Animal Protection & Welfare, Animals, Wildlife Sanctuaries	Full Circle Farm Sanctuary acknowledges that farmed animals are among the most abused animals on the planet. As a counterpoint to the undeniable cruelty and exploitation inherent in factory farming practices and within the animal agriculture industry as a whole, Full Circle Farm Sanctuary exists in order to provide sustained, nurturing, safe and loving lifetime homes for individual farmed animals who otherwise would continue to face horrendous suffering, neglect and horrific, violently premature deaths. Further, we exist to inform and to educate the public in regards to the innate beauty, dignity and worth of each and every individual animal through one-on-one interactions with our precious animal residents. To that end, we further acknowledge that the best way to alleviate animal suffering, sustain the environment, prevent world hunger, and improve human health is to embrace the compassionate vegan lifestyle.	We have welcomed scores of visitors to our sanctuary to meet our rescued resident animal ambassadors.    Such one-on-one interactions between animals and people we find to be very powerful exchanges which often serve to help open one's heart to compassion's call.  We have also distributed thousands of informative pieces of literature exposing the ugly truth behind the exploitation and senseless suffering of billions of non-human animals each year, and all for learned palate preferences.	Abused and Neglected Farmed Animals	Southeastern US	We offer a lifetime loving home to abused and neglected farmed animals at our sanctuary where we provide nurturing care, a loving environment, regular veterinary care, proper nutrition and peaceful surroundings.  We also conduct regular vegan outreach events at numerous festivals and events throughout western NC and beyond.  Additionally, we network with other sanctuaries and rescue groups to assist in placing additional animals in great homes!	75 animals saved last year					
Stop Hunger Now	http://www.stophungernow.org	(919) 839-0689	EIN 16-1541024	615 Hillsborough Street Suite 200	Raleigh	NC	27603	USA	Emergency Assistance, Human Services, International, International Relief	To end hunger in our lifetime by providing food and life-saving aid to the world''s most vulnerable and by creating a global commitment to mobilize the necessary resources.	Since our founding in 1998, Stop Hunger Now has packaged 114,150,125 meals in 65 countries worldwide.		Worldwide	Meal packaging events and aid procurement						
American Whitewater	http://www.americanwhitewater.org		EIN 23-7083760	Po Box 1540	Cullowhee	NC	28723	USA	Environment, Land Resources Conservation, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management	To conserve and restore Americas whitewater resources and to enhance opportunities to enjoy them safely.				http://www.americanwhitewater.org/content/Stewardship/view/ Stewardship is an umbrella that covers the major project areas of AW.Stewardship is the process for an integrated approach to AW mission work.Stewardship includes an educational approach and tools for turning recreational users into conservation advocates.Stewardship builds partnerships with land management agencies.Stewardship enhances the public perception of boaters.						
Phantom Riders Motorcycle Club	http://		EIN 47-0940976	PO Box 161	Newell	NC	28126	USA	Human Service Organizations											
Jupiter Crest Property Owners Association	http://		EIN 56-1496524	11 Crest Circle Dr	Weaverville	NC	28787	USA	Homeless & Housing, Homeowners & Tenants Associations											
Home Of Hope India-Us	http://www.homeofhopeindia.org	(910) 815-0695	EIN 42-1731241	1413 Hawthorne Rd	Wilmington	NC	28403	USA	Children & Youth, Community & Neighborhood Development, Economic Development, Education, Elementary & Secondary Schools, International, International Relief, Literacy, Youth Development Programs	A collaboration with the salesian sisters of don bosco,india, to rescue, house and educate 700+ orphan girls, the unwanted "street children", and educate , 20,000 boys and girls, the poorest of the poor.				See schedule o building: two major orphanage projects (2 secunderabad and 4 solabasti) were completed this year, and one orphanage project (5 at kokrajhar) was launched and will be completed in late 2015. Our orphanage at secunderabad has the capacity for 150 girls. Our girls now sleep in a bed something most of them have never experienced before. They have study rooms, computers; in a sanitary kitchen they help prepare healthy food. And we will have room for some 80 girls in addition. At solabasti, in assam, in the northeast of india, we completed construction of an orphanage/hostel/training centre that will transform the life of this poor tea-growing village. There, women earn 1. 50 per day, picking 50 pounds of tea and their daughters would have faced a similar future. Now, orphaned and neglected girls have a home and villagers the opportunity to learn skills that will lift them out of poverty. In kokrajhar, also in assam, ethnic fighting and extreme poverty have been especially hard on girls they are the most vulnerable. Some are orphaned, others abandoned, others suffer extreme neglect. We have gathered them into a temporary shelter and have begun to build them a new home. We will have room for 150+ girls. Education: this is the third year for our exciting new program, the thinking schools academy. Led by dr. David paige of bellarmine university in louisville, the objective is to teach methods to teachers so that they might encourage higher level thinking in their instruction. Too much of indian education is based around memorization. With thinking schools, we are preparing our indian students to be problem solvers, to think outside the box, to be creative and innovative. We held two education summits in summer, 2014 that extended thinking schools to a total of 18 schools. We are demonstrating that it can be the model for education throughout india and in other developing countries. Health and wellness: water is critical and safe drinking water essentialso we drilled wells, built storage tanks this year secured still more grants to purchase solar- powered water purification units and install reverse osmosis units so that all our 32 sites in the bangalore province have clean water. We procured grants to fund critically needed medical procedures. We provided funds for purchase of nutritious brown rice, fruits and vegetable to supplement diets						
East Carolina University Real Estate Foundation Inc	http://		EIN 56-1929013	2200 South Charles Blvd 1100	Greenville	NC	27858	USA	Education, Universities											
Stanfield Youth Athletic Association	http://		EIN 56-1992880	Po Box 242	Stanfield	NC	28163	USA	Amateur Sports, Sports											
Piedmont Wildlife Center	http://www.piedmontwildlifecenter.org	919-489-0900	EIN 47-0890261	364 Leigh Farm Road	Durham	NC	27707	USA	Animals, Children & Youth, Environment, Environmental Education, Wildlife Preservation & Protection, Youth Development Programs	Piedmont Wildlife Center fosters healthy connections among people, wildlife and nature. This is accomplished through the following programs:	We are creating a volunteer staffed wildlife hotline this spring so answer phone calls from citizens dawn to dusk so any injured or orphaned wildlife can be sent to local rehabilitators as quickly as possible.	children aged 4-18 and adults in the Triangle area of North Carolina	Triangle region of North Carolina	Piedmont Wildlife Center has 3 operating programs: 1) Education Program; 2) WildlifeConservation Program (with internships); 3)Wildlife Emergencies. Our education is aimed at elementary, middle and high school students and teaches them natural history information about wildlife, causes of injury to wildlife and gives children options of things they can do to make a positive impact on their environment. The Conservation Program works with college interns year-round on various conservation projects to study native wildlife and to improve wildlife habitat in our local area.  The Wildlife Emergencies program answers citizens questions about wildlife issues and directs citizens finding injured or orphaned wildlife to local rehabilitators for assistance.	7,000	 Our goal is to stress the importance of the natural world and teach how we can live more harmoniously with the wildlife that share our environment and to live a more sustainable life.				
The Mariposa School	http://www.MariposaSchool.org	919-461-0600	EIN 91-2103623	203 Gregson Dr	Cary	NC	27511	USA	Education, Special Education	To provide intensive instruction in a supportive environment designed to improve communication skills and therefore quality of life for children with autism and other developmental disabilities and their families.	Mariposa provides intensive individualized instruction to children with autism, targeting a broad range of educational, behavioral, speech, social and motor dysfunctions, in a single integrated setting. The teaching methodology we use has been scientifically validated and is based on the principles of applied behavior analysis. Special attention is given to the factors that motivate each individual to learn. Through the practice of daily measurement of progress towards individual goals, the educational team, consisting of the program director, lead instructor, instructor(s) and parents are kept abreast of the students progress. Data analysis allows the team to make dynamic changes in each students program in order to achieve maximum progress. Intensive one-on-one interaction occurs between each student and his or her instructor to provide continuous opportunities for the children to learn new skills throughout the day. Students may also spend scheduled time in group activities when appropriate. As part of the individualized plan for each student, opportunities are also created to teach students how to interact with peers in order to acquire, practice and generalize appropriate social behaviors.  The goal for the students is to learn to communicate effectively, become increasingly independent, interact appropriately with others, and enjoy their learning experience.	The Mariposa School admits students of any race, color, national and ethnic origin to all the rights, privileges, programs, and activities generally accorded or made available to students at the school. It does not discriminate on the basis of race, color, national and ethnic origin in administration of its educational policies, admissions policies, scholarship and loan programs, and athletic and other school-administered programs.  The age range of our students is 18 months to 12 years old.		The Mariposa School offers a verity of programs ranging from one-on-one, after school and summer social butterflies, track out, and consulting.  Our one-on-one is offered 5 days a week full day, as well as 5, 3, or 2 day a week half day, and after school.  Our social programs range from our track 4 track out program to our summer social butterflies and after school social butterflies programs.  Details about each program and cost can be found at www.mariposaschool.org.						
Conservators Center	http://www.conservatorscenter.org	888-650-1139	EIN 56-2149941	676 E Hughes Mill Rd	Burlington	NC	27217	USA	Animal-Related, Animals, Education, Wildlife Sanctuaries, Zoos & Aquariums	The Conservators Center reconnects people with wildlife by introducing visitors to rare, threatened, and endangered speciesup close and personal. The conservancys animal residents serve as ambassadors for their wild counterparts: You are more likely to become invested in these species after you meet them and learn about their inherent value. Looking a tiger in the eye, hearing lions call to one another, howling with wolves, and meeting a binturong for the first time will forever change your perspective. You protect what you know.	We provide permanent homes to dozens of wild animals and have networked to place hundreds of animals in excellent homes; we reach thousands of visitors and program recipients each year; graduate 40+ interns per year; provided critical support for overseas conservation programs in Chile and Vietnam; placed educational animals in several outstanding zoos in the US, Europe, and the Middle East	Wildlife and wildlife professionals	United States	Educational tours and events for the general public. Internships for college students. Workshops and activities for wildlife professionals and educators. Collaboration with North Carolina State University Center for Veterinary Medicine's Carnivore Team to provide students with real-world learning experiences. Home for wild animals who need to move from their current situationthis includes retirement/rehoming from zoos and other facilities; owner surrender of a wild animal for which they cannot provide care; and assistance to authorities who have confiscated wild animals from inappropriate homes.	About 100 animals on site, about 20,000 visitors and program recipients, local and national government agencies who need assistance with emergency placements					
Rebuilding Together Of The Triangle	http://www.rebuildingtogethertriangle.org		EIN 56-1955629	301 W Main St	Durham	NC	27701	USA	Home Improvement & Repairs, Homeless & Housing, Housing Rehabilitation											
Operation Bandanas for Bragg, dba Operation Bandanas	http://www.operationbandanas.org	910-578-8840	EIN 26-0284959	PO Box 87356	Fayetteville	NC	28304	USA	Christianity, Human Service Organizations, Human Services, Military & Veterans Organizations, Religion, Veterans	Ministering to our military with a Psalm 91 bandana, one soldier at a time.	As of 9/11/11, Operation Bandanas has provided 180,000 Psalm 91 bandanas to our deployed troops in Iraq and Afghanistan.  By year's end, we fully expect 200,000 bandanas to have been provided.  We have donors from all over the country now.  What started as a ministry to cover and bless deploying Ft. Bragg soldiers, has turned into a nationwide ministry of spiritual support and encouragement.	Our deployed military.  Also, those serving in other parts of the world away from their families and home.	Whereever our military are training and preparing to deploy, and those deployed and serving in hostile environments and around the world.		approximately 40,000					
Taking Care Of Our Own	http://		EIN 47-2104889	Po Box 72164	Durham	NC	27722	USA	Senior Centers, Seniors											
Cedar Farm Inc	http://		EIN 56-2555564	143 E Depot St	Mocksville	NC	27028	USA	Animal Protection & Welfare, Animals											
Helps International Ministries, Inc.	http://www.helpsintl.com		EIN 56-1133231	573 Fairview Rd	Asheville	NC	28803	USA	Christianity, Religion	Proclaiming the Gospel in "Extraordinary Ways". HIM's family of 30 ministries is structured around a three-fold approach to missions: Missions Support provides technical services to like minded missions and ministries; Missions Mobilization seeks to mobilize the Church to be committed Disciples of Christ, equipping them to be actively involved in proclaiming the Gospel of Christ; Missions Direct is actively involved in missionary endeavors in Europe, Asia, Africa, Latin America and the United States.										
North Carolina Association Of Soil And Water Conservation Districts	http://		EIN 23-7075599	5968 Gordonton Rd	Hurdle Mills	NC	27541	USA	Environment											
Godbey Creek Canine Rescue Inc	http://	336.403.2912	EIN 46-1930818	1147 Godbey Rd c/o Godbey Creek Canine Rescue	Mocksville	NC	27028	USA	Animal Protection & Welfare, Animals	Protect, Provide, Promote and Place canines that come into the care of Godbey Creek Canine Rescue.	Placed over 130 canines into their forever home and assisted over another forty plus canines along their freedom journey from high kill shelters.	homeless, abandoned and surrendered canines	Davie County, North Carolina and surrounding counties	Godbey Creek Canine Rescue's mission -  Protect, Provide, Promote and Place the canines that come into our care.	We have successfully placed over 130 canines into their forever homes and assisted sister rescues with over forty canines on their journey to their forever home.					
Genesis Home	http://www.genesishome.org	(919) 683-5878	EIN 56-1633998	300 N Queen St	Durham	NC	27701	USA	Homeless & Housing, Homeless Shelters	Genesis Home works to end homelessness for families with children by providing housing and supportive services to foster independence.	For over 23 years we have helped hundreds of families move from homelessness to stability.	We serve homeless families in the Durham, NC area.	North Carolina	Family Matters, Turning Point & Circles of Support						
National MS Society Mid-Atlantic Chapter	http://www.nationalmssociety.org/chapters/NCP/index.aspx	1-800-FIGHT-MS	EIN 56-6019372	9801-I Southern Pine Blvd	Charlotte	NC	28273	USA	Health, Nerve, Muscle & Bone Diseases, Neurology & Neuroscience	The Mid-Atlantic Chapter of the National Multiple Sclerosis Society is a community of individuals who want to achieve a world free of MS. The Chapter is committed to the philosophy of wellness, offering those living with MS the encouragement, materials and skills necessary to achieve and maintain meaningful, productive lifestyles.  Founded in 1955, the Chapter helps over 8,000 individuals in western North Carolina and the state of South Carolina impacted by MS. We provide comprehensive support services and educational programs to people with MS, their family and friends, and raise money to fund cutting edge research into the cause and cure of multiple sclerosis.		Everyone affected by multiple sclerosis (MS) living in South Carolina or western North Carolina	South Carolina, western North Carolina	The Chapter provides direct services for people living with MS, including emergency financial assistance and employment, financial planning, information and referral, and service management resources. MS Service Days connect volunteers with people living with MS for a day of home repair and visitation, while the brand-new Friendly Visitor Program sends volunteers to visit patients with MS living in long-term care facilities. Chapter-supported Self-Help Groups allow people living with MS to learn from others sharing the same struggles.        In addition to direct services, the Chapter hosts teleconferences, including monthly educational phone conferences and quarterly conferences for people newly diagnosed with MS. The Chapter also sponsors educational conferences, retreats for families / children / couples living with MS, wellness programs and trainings, and a scholarship program for children either living with MS or having a parent with MS.       The Chapter also raises awareness of multiple sclerosis through local, state and federal advocacy opportunities and by working with healthcare providers to educate them about the challenges of managing patients with MS.	More than 8,000					
Benevolence Farm	http://		EIN 26-3685507	Po Box 1313	Graham	NC	27253	USA	Homeless & Housing, Temporary Housing	To provide an opportunity for women leaving prison to live and work on a farm where they grow food, nourish self and foster community.				During 2014 the farm and house were being prepared for residents and farm operations as well as developing comprehensive programming.						
The Alice Aycock Poe Center for Health Education	http://www.poehealth.org	866-402-4799	EIN 56-1500678	224 Sunnybrook Road	Raleigh	NC	27610	USA	Education, Graduate & Professional Schools, Health, Health Care	The mission of the Poe Center for Health Education is to educate and empower North Carolina children, youth and their families to make choices that increase positive health behaviors.	Since opening in Raleigh in 1991, the Poe Center has educated more than 850,000 participants from 76 counties using innovative teaching theaters, exhibits and offsite programs.	All North Carolina children, youth and their families		The center provides the state of nc with a curriculum which enhances the public school curriculum, compliments other community health resources and addresses the community's health education needs.   in an effort to increase healthy nutrition and physical activity with eligible individuals and those who receive supplemental nutrition assistance, the poe center provides education on healthy dietary habits and the importance of physical activity through direct education sessions, policies, systems and environmental changes, as well as social marketing initiatives.   in and effort to reduce substance use initiation and address risk factors, the substance abuse prevention programs provide evidence based programming that is ongoing for opportunity youth and one time programming for universal populations throughout wake county. Additionally, educational programming is offered to tobacco merchants.						
Humane Society of Davie County	http://davienchumane.org	(336) 751-5214	EIN 56-1759771	291 Eaton Road	Mocksville	NC	27028	USA	Animal Protection & Welfare, Animals	The humane society's mission is to prevent cruelty and suffering among dogs and cats through rescue, adoption, and education.	We adopt out approximately 200 dogs and cats annually, and provide access to low-cost spay/neuter for over 300 area pet owners.	rescue, care for, and adopt out abandoned cats and dogs plus promote spay/neuter as the solution to pet overpopulation	Piedmont North Carolina	Provide humane care and treatment for abandoned dogs and cats needing protection in the area served by the organization.	over 500 families across NC and beyond					
Storieswork	http://storieswork.org		EIN 56-2199144	3719 Northampton Rd	Durham	NC	27707	USA	Arts & Culture, Arts, Culture & Humanities, Crime & Law, Domestic Violence, Family Services, Spouse Abuse Prevention	StoriesWork, founded in May 2000, promotes the unique use of folk story analysis in group and individual counseling, through skills-building workshops, consultations, educational materials, and online training for staff and volunteers who work with survivors of domestic violence. StoriesWork's educational web-site (storieswork.org), launched in October, 2000, is expanding to offer resource material and on-line self-study courses for domestic violence counselors. Our techniques empower abused women to gain greater understanding, reduce fears, build self-esteem, evaluate resources, and consider realistic solutions to difficult problems.										
Meals on Wheels of Durham, Inc.	http://www.mowdurham.org		EIN 56-1729111	2522 Ross Road	Durham	NC	27703	USA	Food, Meals on Wheels	Each weekday, Meals on Wheels of Durham provides hot, home-delivered meals consisting of 1/3 of the minimum daily nutritional requirements for adults, to Durham county residents who are unable to provide or prepare meals for themselves due to illness, advanced age or handicap.  The service is available to people of all income levels and age groups on either a temporary or permanent basis.				Meals on Wheels serves approximately 315 clients each weekday.  We have a volunteer pool of 300 people who deliver 26 routes from 10:30 am to 12 noon Monday through Friday.						
Franklin County Humane Society	http://www.fchsnc.org		EIN 01-0621772	Po Box 338	Youngsville	NC	27596	USA	Animal Protection & Welfare, Animals											
Mount Eagle Foundation	http://		EIN 27-5292009	470 W Hanes Mill Rd Ste 109	Winston Salem	NC	27105	USA	Job Training											
Nepal Orphans Home Inc	http://		EIN 20-3545915	PO Box 1254	Davidson	NC	28036	USA	Children & Youth, Children & Youth Services, Homeless & Housing, Housing & Shelter, Residential Care & Adult Day Programs	Nepal Orphans Home attends to the welfare of children in Nepal who are orphaned, abandoned, or not supported by their parents.  NOH provides for the childrens basic needs of food, shelter, and clothing, as well as schooling and health care, and administers to their emotional needs with love and compassion, allowing them to grow up in a nurturing environment.  Our mission is not just to rescue children from abject poverty, but to enable the children to develop and realize their potentials.	Now, in its seventh year, Nepal Orphans Home (NOH) operates five homes (known locally as Papas Houses) for 130 children in Dhapasi, in the Kathmandu Valley of Nepal.  An active volunteer program, Volunteer Nepal, draws talented, compassionate people of all ages from around the world.  In 2011 over 100 volunteers from a dozen countries served, several returning from the previous year.			Teaching, Medical Assistance, Community Outreach, Orphanage Assistance, Cultural Exchange						
AMERICAS EQUINE SANCTUARY	http://americasequinesanctuary.org	980-234-5043	EIN 46-3187174	270 Old Postal Rd	Denton	NC	27239	USA	Animal Protection & Welfare, Animals			unwanted, abandoned, neglected horses, donkeys, mules and ponies	central NC	shelter for unwanted equine, education by presenting lectures and workshops, finding homes for horses	12 horses, 2 donkeys, 1 pony and 1 mule, 3 volunteer groups for service projects					
Matthews Help Center	http://www.matthewshelpcenter.org	704-847-8383	EIN 58-1408738	PO Box 91 119 N. Ames St.	Matthews	NC	28106	USA	Counseling, Mental Health	To care for those in the community by providing programs and services that will meet life's basic needs, and by connecting those in need with resources that improve quality of life.	30 years of progressively growing in our community and caring for those in need.	Anyone experiencing a financial crisis, living within our service area.	5 mile radius around the center, 10 miles into Stallings & Indian Trail, and anyone with a Matthews residential address.	Back to School Program - school supplies and backpacks for students in the fall Bounceback Back Pack Program - food for hungry kids on the weekends  Holiday Adoption Program - pairing families in need with caring donors of holiday gifts Medical Equipment Lending Program - lending medical equipment to people in need						
Unchain Cumberland County	http://		EIN 26-3784960	7132 Sim Canady Rd	Hope Mills	NC	28348	USA	Animal Protection & Welfare, Animals											
North Carolina Cat Adoption Team Inc	http://		EIN 26-3634997	170 Deer Path	Summerfield	NC	27358	USA	Animal Protection & Welfare, Animals											
