name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Results	DomesticViolence Emergency Shelter
Shreveport Opera	http://www.shreveportopera.org	(318) 227-9503	EIN 72-6021455	212 Texas St Ste 101	Shreveport	LA	71101	USA	Arts & Culture, Opera, Performing Arts	The mission of shreveport opera is to produce professional opera and musical productions of the highest artistic quality and to provide educational programming and outreach to children, youth and adults in the ark-la-tex region.		The shreveport opera produces professional opera and musical productions of the highest artistic quality and to provides educational programming and outreach to children, youth and adults in the ark-la-tex region.				
Higher Dimensions Evangelistic Center	http://		EIN 72-1229028	Po Box 47	Natchitoches	LA	71458	USA								
New Orleans Metro Fast Pitch Softball Association Inc	http://	(504) 737-7416	EIN 72-1391111	128 Celeste Ave	River Ridge	LA	70123	USA	Baseball & Softball, Sports	Entity's purpose is to create an environment in order for children to maximize their athletic abilitiy and to pursue leadership qualities while participting in high level athletic events.		Entity's purpose is to create an environment in order for children to maximize their athletic abilitiy and to pursue leadership qualities while participting in high level athletic events.				
Chimp Haven	http://www.chimphaven.org	318-925-9575	EIN 74-2766663	13600 Chimpanzee Place	Keithville	LA	71047	USA	Animal Protection & Welfare, Animals, Protection of Endangered Species, Wildlife Preservation & Protection	Our mission is to provide and promote the best care of sanctuary chimpanzees and inspire action for the species worldwide.	a national scope	Chimp Haven is The National Chimpanzee Sanctuary and offers a permanent home for retired chimpanzees to live their lives in the company of other chimpanzees.  We provide expert veterinary care, nutritious diet, and daily enrichment activities.	retired chimpanzees	Chimp Haven is home to more than 200 chimpanzees, the vast majority of whom were retired from research.	Chimp Haven is The National Chimpanzee Sanctuary and is currently home to 212 residents.  We were founded in 1995 by an alliance of professionals from research, animal welfare, and the pharmaceutical industry who saw the need for humane, cost-effective social housing for unwanted chimpanzees.  Chimp Haven opened its doors to its first two residents in 2005.  Since then, more than 300 chimpanzees have called Chimp Haven home.   In June 2014, the migration of 110 chimpanzees from the New Iberia Research Center to Chimp Haven was completed - nearly doubling our population over the previous year.  With over 200 chimpanzees to feed, we go through nearly 4,000 pounds of produce in just one week.  Multiply that by 52 weeks in a year and you can see why your support is so critical to us!	
NO/AIDS Task Force	http://www.noaidstaskforce.org	504-821-2601	EIN 72-1059635	2601 Tulane Ave Ste 500	New Orleans	LA	70119	USA	AIDS, Education, Health, Human Service Organizations	The mission of NO/AIDS Task Force is to reduce the spread of HIV infection, advocate empowerment, safeguard the rights and dignity of HIV-affected individuals, and provide for an enlightened public.	Southeast Louisiana	Medication: the task force contracts with a local pharmacy to provide medication to hiv-infected individuals. The task force also assists with insurance (and medical) copayments for qualified individuals. Staff assists eligible clients in enrolling in pharmaceutical medication assistance programs for access to free or low cost medications. The task force is a covered entity in the u. S. Department of health and human services, health resources and services administration, office of pharmacy affairs and participates in the 340b drug pricing program whereby medications are purchased by a qualified third party pharmacy company for task force clients at a discounted price, resulting in revenue for the task force based on these savings. The intent of the 340b program is to permit the covered entity to stretch scarce federal resources as far as possible, reaching more eligible patients and providing more comprehensive services.   primary medical care: the task force operates two full service primary care clinics which provide comprehensive medical care to over 1,600 hiv-infected or exposed individuals and over 120 clients from the community at large. In the clinic, the task force employs five full-time physicians, three full-time nurse practitioners, six full-time registered nurses, one full-time medical assistant, one licensed practical nurse, and one phlebotomist. The clinics are open five and a half days per week and provide care to all individuals in need.   case management: the task force provides case managers who serve as liaisons between clients and the network of community resources to ensure that the infected live comfortably and with dignity. Case managers work with those living with hiv and aids to develop a plan of care that addresses their medical, financial, emoitional and social needs.				
West Monroe Soccer Club	http://		EIN 72-1377635	PO Box 1317	West Monroe	LA	71294	USA	Children & Youth, Youth Development Programs							
Caddo Ward Ii Industrial Development Corporation	http://	(318) 929-4518	EIN 72-1302659	Po Box 1043	Vivian	LA	71082	USA	Community Service Clubs	To attract businesses to ward ii of caddo parish, louisiana.		Receives legislatively allocated share of gaming boat boarding fees that are used to improve the infrastructure of ward ii of caddo parish, louisiana in order to attract businesses to the region.				
High Voltage Girls Fastpitch Softba Ll Organization	http://		EIN 72-1331735	72711 Highway 1077	Covington	LA	70433	USA	Baseball & Softball, Sports							
Louisiana SPCA	http://www.la-spca.org	(504) 368-5191	EIN 72-0471368	1700 Mardi Gras Blvd	New Orleans	LA	70114	USA	Animal Protection & Welfare, Animal Services, Animals, Veterinary Services	The Louisiana SPCA is a private nonprofit dedicated to the elimination of animal suffering through innovative services and programs.	Louisiana	feral cat program, pet adoptions, volunteer opportunities, foster care, humane education, spay/neuter, wellness appointments, sheltering of homeless and unwanted animals				
Louisiana Elks Fund	http://www.laelks.com	(504) 909-1654	EIN 72-0914640	Po Box 409	Hahnville	LA	70057	USA		Drug awareness,hoop shoot,scholorships, veteran home,va hospital, & americanism		Louisiana elks association - youth activities				
Cmms Deshae Lott Ministries Inc	http://		EIN 20-8381986	Po Box 9232	Bossier City	LA	71113	USA	Protestant, Religion							
SHARED HOUSING OF NEW ORLEANS INC	http://	(504) 896-2575	EIN 72-1132780	PO Box 15316	New Orleans	LA	70175	USA	Health, Health (General & Financing), Homeless & Housing, Housing Search Assistance, Human Service Organizations, Human Services	Provide assistance to the homeless		Shared housing helps elderly and/or disabled adults remain in thier homes by matching them with homeless persons.				
Women Outreaching Women Wow	http://www.womenowomen.com		EIN 43-1957621	PO Box 904	Watson	LA	70786	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing, Housing Support, Victims Services	The mission of Women Outreaching Women is to empower battered women, empower children and to create community awareness about family violence.						
Shreveport Chamber Of Commerce Inc	http://www.shreveport.chamber.org	(318) 677-2527	EIN 72-0315700	400 Edwards Street	Shreveport	LA	71101	USA		Shreveport chamber of commerce provides various projects throughout the year for chamber members.		Shreveport chamber of commerce provides various projects throughout the year for chamber members.				
Foundation Industries Inc	http://	(225) 654-6283	EIN 72-0947928	9995 Main St	Zachary	LA	70791	USA	Job Training, Sheltered Employment	Foundation industries, inc is a non-profit private agency striving to meet the vocational needs of individuals with developmental disabilities.		10the organization trains and rehabilitates the mentally handicapped individuals(sheltered workshop). The organization usually has in excess of 125 clients.				
Word Of Liberty Christian Fellowship Inc	http://		EIN 91-1899984	Po Box 48	Luling	LA	70070	USA	Christianity, Religion							
Society For Preservation & Encrgmnt Of Barbershop Quartet Singing Amer	http://		EIN 72-1290756	4145 N Maiden Dr	Baton Rouge	LA	70809	USA								
Baton Rouge Green Association Inc	http://www.batonrougegreen.com	(225) 381-0037	EIN 72-1124182	439 N 11th St	Baton Rouge	LA	70802	USA		To make baton rouge greener by educating, leading, and inspiring our community to conserve, plant, and sustain trees.		As part of the national neighborwoods program, baton rouge green selects one environmentally-underserved neighborhoods each year throughout the city of baton rouge for tree plantings, held during tree planting season - october through march. Partnering with neighborhood organizations, residents, and volunteers, baton rouge green shares information and technical assistance about planting and maintaining trees, empowering local citizens to implement tree planting and maintenance programs in their neighborhoods.   baton rouge green has planted thousands of trees at medians and intersections along baton rouge's highly traveled roadways. With help from our generous sponsors, the green team, we still provide regular maintenance for nearly 5,000 of these trees in roadside green spaces around baton rouge.				
Louisiana Lawyers For Life	http://		EIN 58-1966764	Po Box 24106	New Orleans	LA	70184	USA	Crime & Law, Legal Services							
Baton Rouge Model Railroad Club Inc	http://		EIN 31-1619989	7172 Sheffield Ave	Baton Rouge	LA	70806	USA	Recreational Clubs, Sports							
New Bethany Home For Girls	http://		EIN 72-0740672	PO Box 764	Arcadia	LA	71001	USA	Camps, Sports							
United Jewish Charities Of N E Louisiana Inc	http://		EIN 72-6022343	Po Box 6058	Monroe	LA	71211	USA	Federated Giving Programs, Philanthropy							
North Monroe Baptist Church Of Monroe Inc	http://		EIN 72-0651467	210 Finks Hideaway Rd	Monroe	LA	71203	USA								
Toastmistress International Clubs, Inc. Shreveport Chapter	http://		EIN 72-6033887	236 East Fairview	Shreveport	LA	71104	USA								
Camellia Club Of New Orleans Inc	http://		EIN 72-1102008	13 Glacier St	Kenner	LA	70065	USA								
Haven Of Hope Church	http://		EIN 72-1233756	Po Box 1421	West Monroe	LA	71294	USA								
Peoples Institute For Survival & Be Yond	http://		EIN 72-1160700	601 N Carrollton	New Orleans	LA	70119	USA	Civil Rights, Intergroup & Race Relations, Race							
Lakeview Shepherd Center Inc	http://		EIN 72-0819404	316 38th St	New Orleans	LA	70124	USA	Human Services, Senior Centers, Seniors							
Gods House Of Prayer And Deliverance	http://		EIN 72-1311947	57610 Eli Craig Rd	Plaquemine	LA	70764	USA	Christianity, Religion							
American Red Cross Southeast Louisiana Chapter	http://		EIN 72-0408907	2640 Canal St	New Orleans	LA	70119	USA								
Learning Land Inc	http://	(870) 260-2886	EIN 72-1289352	7096 White Oak Ln	Natchitoches	LA	71457	USA	Child Day Care, Children & Youth	Abeka based education programs for pre-school children. Serving 70 children on a full time on going basis and another 20 to 30 after school.		Daycare center				
James Burton Foundation	http://	(318) 222-7403	EIN 54-2156197	714 Elvis Presley Ave	Shreveport	LA	71101	USA	Arts & Culture, Music, Performing Arts Centers	To increase music education, specifically guitar, in schools by providing guitars and other equipment to the schools.		The foundation was created to promote music education, specifically guitar, in middle and high schools in louisiana. The program has expanded in 2008 to include music programs in childrens hospitals in louisiana and tennessee and veterans homes and hospitals. Since the inception of the program over 4000 guitars have been purchased and distributed by the foundation.				
Salvation Army	http://www.salvationarmysouth.org	(225) 355-4483	EIN 58-0660607	7361 Airline Highway	Baton Rouge	LA	70805	USA		The salvation army, an international movement, is an evangelical part of the universal christian church. Our message is based on the bible, our ministry is motivated by the love of god, and our mission is to preach the gospel of jesus christ and to meet human needs in his name without discrimination.		Corps - provides programs to both adults and children. These programs consist of education, character building, recreation, and etc. The salvation army not only wants to meet the physical and emotional needs of the people but also their spiritual needs as well.   social services - to serve each client's emergency needs through cas management and financial support. Services are rendered to help stabilize families and individuals in times of crisis and to assist them with maintaining their standard of living.   to provide short-term lodging for men who are transient or situationally homeless. The program provides the men with food, lodging, and laundry facilities. The program also provides counseling, social service assistance and substance abuse treatment that will assist them with combating homelessness.				
Louisiana Volunteers For Family & Community Inc	http://		EIN 72-0961092	610 Holiday Dr	Houma	LA	70364	USA				Awarded 1800 in scholarships and grants in amounts of 100 and 300				
Absolute Care Enterprise Inc	http://		EIN 72-1316771	2024 Bayou Rd	New Orleans	LA	70116	USA	Health, Home Health Care							
Friends Of Hilltop Arboretum Inc	http://hilltop.lsu.edu	(225) 767-6916	EIN 58-1799472	Po Box 82608	Baton Rouge	LA	70884	USA	Environment	Preserve the arboretum as an educational and national resource for the community and to provide help and support to louisiana state university.		Provided a sanctuary and educational opportunities where students and visitors can learn about natural systems, plants, and landscape design.				
Greater Baton Rouge Youth Sports Association	http://		EIN 72-1269072	3151 Seracedar St	Baton Rouge	LA	70816	USA	Amateur Sports, Sports	To operate a program to introduce children to sports		The organization operates four year-round sports programs designed to foster confidence and positive self-image in children. Each program serves about 200 children				
Sci-Port: Louisiana's Science Center	http://www.sciport.org	(318) 424-3466	EIN 72-1136273	820 Clyde Fant Pkwy	Shreveport	LA	71101	USA	Arts & Culture, Education, General Science, Science & Technology Museums, Technology	Sci-Port: Louisiana's Science Center provides a fun, educational environment for people of all ages to explore and actively engage in the world of mathematics, science and technology.  Sci-Port serves to spark curiosity about the world around us, provides hands-on tools for using scientific discovery in everyday life, and encourages a passion for life-long learning.		Exhibits and programs: sci - port discovery center organizes activities to promote the sciences with traveling exhibits and provides permanent "hands on" museum displays. The center features over 290 science, math and space exhibits, daily changing programs, and a space dome planetarium.   gift shop: supports sci-port's mission through the sale of educational science-themed items.   cafe: eating facility for staff and visitors to support sci-port's mission.				
Baton Rouge Christian Education Foundation Inc	http://	(225) 767-7097	EIN 72-0921878	11111 Roy Emerson Dr	Baton Rouge	LA	70810	USA		Education		The organization provided education services to 755 students in grades pre-kindergarten through 12th, including our academic center.				
American Statistical Association	http://		EIN 52-1665936	161 Ag Admin Bldg	Baton Rouge	LA	70803	USA								
Junior Auxiliary Of East St Mary La Inc	http://		EIN 72-1258107	Po Box 3492	Morgan City	LA	70381	USA	Community Service Clubs							
VOLUNTEERS FOR YOUTH JUSTICE	http://		EIN 72-1057695	900 Jordan St Ste 301	Shreveport	LA	71101	USA	Children & Youth, Crime & Law, Youth Violence Prevention							
Louisiana Human Resources Development Institute	http://		EIN 72-1124184	1991 Wooddale Blvd	Baton Rouge	LA	70806	USA								
Nazareth Ii	http://		EIN 72-0993840	1000 Howard Ave Ste 100	New Orleans	LA	70113	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors							
AUTISM SOCIETY OF AMERICA - Greater New Orleans Chapter	http://www.autism-society.org/chapter168	504-464-5733	EIN 72-0942376	P.O. Box 26057	New Orleans	LA	70186	USA		Our Mission is to provide information and referrals, advocacy and support for individuals with Autism Spectrum Disorder (ASD) and their families: to help families identify qualified professionals in their communities; to assist families in securing benefits and services provided by law; and to promote lifelong opportunities for persons with Autism Spectrum Disorder in order to be fully included members of their communities.  Our Vision is for all individuals affected by ASD will enjoy better quality lifestyles.	Serving Jefferson, Orleans, Plaquemines, St. Bernard, and St. Tammany Parishes in Louisiana.		Children and adults with Autism Spectrum Disorders and their families.			
Trinity Full Gospel	http://		EIN 72-0949476	PO Box 1585	Deridder	LA	70634	USA								
Heritage Ranch	http://www.hrbr.org	(225) 658-1800	EIN 41-2118848	20090 Tucker Rd	Zachary	LA	70791	USA	Children & Youth, Youth Development Programs	Heritage ranch is a christian children's home that serves boys and girls in the midst of personal or family crisis from which they require respite. Our staff provides a safe and nurturing environment where these valuable young people are empowered to regain personal stability and, whenever possible, achieve healthy family reunification. Ultimately youth are equipped to become productive members of society who will pass on the inheritance of hope and healing they have received to subsequent generations.		Our staff will provide a safe and nuturing environment where valuable young people, ages 8-18, are empowered to regain personal stability and whenever possible, achieve family reunification. Our ultimate goal is that youth are equipped to become productive members of society who will pass on the inheritance of hope and healing they have received to subsequent generations.   a week long summer camp for the kids in the community that is focused on promoting educational achievement and good habits.				
Pride And Hope Ministry & Activity Center	http://	(985) 986-2808	EIN 72-1481855	25502 Highway 21	Angie	LA	70426	USA	Children & Youth, Youth Development Programs	The mission of pride and hope inc is to provide services to at-risk individuals and families with special needs. We believe that systems such as vocational, educational, and recreational will help prevent and break the cycle of institutionalization of disadvantaged children and adults.		Through pride and hope efforts for 2014 over 150 single parents were given part - time and temporary jobs. Youth camps were used as tools to present activities to youth that would both build self esteem and encourage them to excell in education. Phm through its progams endeavored to remove any obstacles that might prevent the youths realizing their displayed or stated purpose in life. A daycare building was renovated. Daycare services are helping more single parent household use a safer enviroment for children that are under school age. The daycare gives parents an opportunity to seek employment. The daycare also gives an enviorment that prepares the children who participate for the upper levels of education.				
The Idea Village	http://ideavillage.org	(504) 304-3284	EIN 45-0470675	839 St Charles Ave Suite 305	New Orleans	LA	70130	USA	Business & Industry	The idea village is a 501(c)(3) non-profit organization with a mission to identify, support and retain entrepreneurial talent in new orleans.		Core programseach year, the idea village's entrepreneur season installs rhythms and rituals that strategically and efficiently engage a global network to support high-growth entrepreneurs, educate the larger entrepreneurial community, and promote new orleans as an entrepreneurial hub. The season culminates each march with new orleans entrepreneur week, the premier entrepreneurship showcase event in new orleans. Last year, the 2014 entrepreneur season (from july 2013 to march 2014), engaged over 5,000 people through more than 138 innovative events that resulted from 26 partner organizations that engaged throughout the season and continued schedule oleveraged the noew platform to showcase 70 local ventures with innovative solutions in technology, water, education, food, arts, and tourism. These programs include:ideax: an intensive, 11-week, startup-focused program leveraging successful entrepreneurs as mentors for a cohort of up to 15 early-stage, new orleans-based ventures. Over 160 entrepreneurs applied for the 2014 program and the idea village selected a portfolio of 13 companies poised for growth to participate. 60 percent of the class was revenue generating upon selection and 80 percent tech-based. With innovative ideas in a number of industries, including digital media, education, health care, finance, and retail, the 2014 class was a true reflection of the evolution and growth of the local entrepreneurial ecosystem. Ideasessions: focused strategy sessions led by seasoned entrepreneurs and business experts. The goal is for participating entrepreneurs to walk away with actionable next steps that they can immediately implement. During the 2014 season, the idea village provided ideasessions to 121 ventures. Capitalx: an invitation-only program that develops, refines, and strengthens new orleans entrepreneurs' investor pitches for a variety of innovative capital access opportunities for equity capital (coulter ideapitch; demo day @ noew); and grants (the big idea). Zlien won the 2014 coulter ideapitch (a vc investment pitch that was created in partnership with jim coulter, founding partner of tpg), receiving a customized, all-expense-paid trip to california to meet with investors. Demo day @ noew featured six startups representing new approaches to established local industries: athletic performance testing, snap real estate photography, mobilequbes, maritant, education everytime and your nutrition delivered. Demo day @ noew was developed in direct response to new orleans' burgeoning angel community to serve as a platofrm that will contribute to the continued momentum of local angels and emerging businesses. During the 2014 big idea (a crowd sourced funding event), cajun fire brewing company won $54,300 in the big idea, presented by iberiabank. The other 12 new ventures that split the remaining $29,000 included: 4d supplements, athletic performance testing, bats on tees, bit bike, culture connect, funddat, i see change, krewe du optic, locally preserved, makerstate, threadix and where y'art. Ideacorps: the nationally-recognized experiential learning program that engages mba students to provide direct strategic consulting to select high-growth new orleans entrepreneurs during noew. Mbas from six leading national universities including university of california haas school of business, university of chicago booth school of business, cornell university's johnson graduate school of management, loyola university new orleans, university of pennsylvania's wharton school, and tulane university's a. B. Freeman school of business participated in the ideacorps program during noew 2014. Ideainstitute: a weekly series of workshops, panels, keynotes, and networking events covering a gamut of topics relevant to entrepreneurs, from business fundamentals to today's hot issues, delivered by industry experts. The 2014 season featured 24 unique sessions on topics critical to startups.   special projectseach entrepreneur season, the idea village executes select special projects. Special projects allow the organization to test new programs and partnerships before fully integrating them into the season. Special projects during the 2014 entrepreneur season included:water challenge: a targeted program in partnership with the greater new orleans foundation that identifies and supports entrepreneurial solutions that apply innovative approaches to how we live with water in southeast louisiana. Continued schedule owater challenge (continued): after completing an intensive educational series with the idea village, 4 members were invited into a 3-month accelerator with the idea village entrepreneurs-in-residence in preparation for a $50,000 pitch during new orleans entrepreneur week, which ora estuaries won. New orleans food challenge: a 9-week accelerator focused on supporting entrepreneurial activity in the food and beverage industry. Locally preserved, drinkology, and sugah were named the winners and each received a $2,500 grant. Destination hackathon: a 2-day event designed to inspire the creation of frameworks for mobile applications that will ultimately benefit the new orleans tourism industry. Hearhere! Was name the winner and received a $1,000 grant. 3d printed design contest: presented by the new olreans museum of art (noma) to encourage new forms of production of artwork made possible by 21st century methods of computer-assisted digital fabrication. There were a total of 17 submissions, which were displayed at noma. Shea trahan won. Rosen technology fellowship: business development and mentorship programs aimed at lsu-based entrepreneurs. Applied biopolymers, electrochemical materials, and evisive were each awarded $1,250 grants. Education challenge: an initiative in partnership with 4. 0 schools that supports startups tackling critical problems within education. Select entrepreneurs are invited into the 4. 0 accelerator program and then mentored by idea village entrepreneurs-in-residence as they prepare for the final pitch during new orleans entrepreneur week. Cultureconnect won the 2014 pitch. Youth entrepreneurship day: 3 synergistic programs powered by google for education. All programs fouces on empowering students to do incredible things through education and technology. Incubating the incubators - latvia: at the request of the u. S. Embassy, the idea village launched a pilot ecosystem mentorship initiative with latvia. The idea village developed a curriculum on igniting an entrepreneurial movement and delivered it to the latvians via google hangout. The idea village's annual entrepreneur season culminates in new orleans entrepreneur week (noew). Noew has become the premier showcase event for the new orleans entrepreneurial ecosystem. Noew 2014 was ten times the size of the inaugural year with 3,000 of the nation's most innovative business leaders, financiers, entrepreneurs, and students engaged to support local entrepreneurs through 64 events. 92% of noew 2014 attendees thought the quality of the sessions was excellent or good 96% of noew 2014 attendees are planning on attending noew 2015.				
Wayfinding Foundation Inc	http://		EIN 72-1506393	1617 Tallwood Dr	Baton Rouge	LA	70816	USA	Blind & Visually Impaired Centers, Disabilities							
AIDSLaw of Louisiana	http://www.aidslaw.org	504-568-1631	EIN 	3801 Canal Street Suite 331	New Orleans	LA	70119	USA		The mission of AIDSLaw is to provide excellent, specialized legal services for people living with HIV/AIDS in Louisiana, to improve their quality of life and access to health care, related to their HIV/AIDS status.	Louisiana					
Cbno-Mac Foundation	http://www.cbno.org	(504) 267-4666	EIN 72-0955656	4902 Canal St Ste 300	New Orleans	LA	70119	USA	Arts & Culture	Cbno-mac is a diverse community		Mlf: since 1968, the bryan bell metropolitan leadership forum bbmlf has sought to identify emerging community leaders and stimulate their interest and involvement in community service. Drawing from all sectors of the community - business, faith, nonprofit, neighborhood and civic groups- the purpose is to provide information about, analysis of and opportunities to explore key metropolitan issues and needs. By introducing emerging leaders to the issues they will face as they assume leadership roles, the bbmlf provides a unique opportunity to gain knowledge and insight into the serious problems that face our community - as well as potential solutions to the problems. In particular, the focus is on addressing these issues at systematic levels, as that tracks the fundamental approach of cbno/mac. In addition, the forum brings together individuals from diverse, ethnic, racial and socio-economic backrounds. By providing the opportunity for socializing over dinner (served at the beginning of each regular forum session) and then engaging in frank and open discussion among themselves and with experts in the various fields, the bbmlf promotes human understanding and encourages committment to solving the problems and overcoming the barriers that divide our community. In 2014, the bbmlf held 11 sessions and graduated 32 participants.   cpp: the purpose of the citizen participation program (cpp)project is to bring the citizens of new orleans together to design a permanent, formal mechanism for citizen participation in city government policy-setting and decision-making. In 2014, the organization worked with the city's neighborhood engagement office and various community members to draft policies for city government departments and agencies to obtain and work with citizen input. Similar work was done with the city planning commis  peoples budget project: the peoples budget project works to inform community members about the city's budgeting process and how it connects to their daily lives. Guided by a steering committee of residents and representatives of other community organizations, it seeks to create meaningful opportunities for community members to provide input into the city budget, and ultimately to bring participatory budgeting to new orleans.				
Society For Preservation & Encourmt Of Barbershop Quartet Singing Amer	http://		EIN 58-1909656	406 Cheyenne Cir	Scott	LA	70583	USA								
Louisiana Section Air & Waste Management Association	http://		EIN 72-1291068	5920 Grand Coteau Dr	Baton Rouge	LA	70817	USA	Environment							
Mid South Conference	http://		EIN 72-1160808	735 Pershing Hwy	Jonesboro	LA	71251	USA								
Yogie And Friends Exotic Cat Sanctuary	http://www.yogienandfriends.org	(318) 795-0455	EIN 72-1474170	128 Fob Ln	Frierson	LA	71027	USA	Animals, Protection of Endangered Species, Wildlife Sanctuaries	Sanctuary for the rescue and preservation of exotic cats.		Sanctuary for the rescue and preservation of exotic cats.				
Louisiana Steam Train Association	http://		EIN 72-1382807	Po Box 1084	Metairie	LA	70004	USA	Arts & Culture, Science & Technology Museums							
Martin Luther King Health Center	http://www.mlkhealth.org	318-227-2912	EIN 72-1079721	827 Margaret Pl Ste 201	Shreveport	LA	71101	USA	Community Clinics, Health	The mission of the Martin Luther King Health Center is to improve the health of our patients by extending comprehensive patient-centered primary healthcare, pharmacy, and case management services at no cost to uninsured or underinsured patients with chronic illness who otherwise often forgo routine medical care because of a lack of resources.	Northwest Louisiana	Primary Healthcare; Pharmacy; Laboratory; Respiratory, Diabetic, Cardiovascular, & HIV specialty clinics; Women's Health clinic & Mammography; STD/HIV Testing & Counseling; Patient Advocacy & Health Education; Medicaid Application Center; Diabetes Prevention Program; Services in English & Spanish; Wellness Program; Evening & Weekend Hours	patients without insurance with chronic disease do not qualify for Medicaid or Medicare that would otherwise forego healthcare due to a lack of resources.	increase access to health care by providing over 2,000 patient care visits valued over $250,000 and over 40,000 prescriptions valued at over $2 million.	Won the 2012 Community Foundation Return on Investment (ROI) Award. For every $1 donated to the center, $23 was returned to the community in services provided. It is the largest ROI by an organization that the award has been given.	
We Heart Veterans Corp	http://www.wehrtvets.org	985-778-2775	EIN 46-4025875	399 Asbury Drive Suite B	Mandeville	LA	70471	USA		We Heart Veterans mission is to help provide our aging wartime military Veterans and widows of wartime Veterans with essential aid, where benefits and income fall short. We Heart Veterans promises to remain sensitive and helpful to veterans and their families in their time of need. We Heart Veterans is making the difference one veteran at a time.	non-medical home care	the freedom paid fund and helping heroes gala, which raise money to provide non-medical home care to aging veterans and their surviving spouses and helps provides access to medical equipment that they can not afford.	aging wartime military veterans	over 150 local veterans		
Vernon Historical And Genealogical Society	http://		EIN 72-1415687	275	Leesville	LA	71496	USA								
New Orleans Pharmacy Museum Ltd	http://www.pharmacymuseum.org	(504) 565-8027	EIN 58-1727748	1210 Decatur St	New Orleans	LA	70116	USA	Arts & Culture, History Museums	To further the interest in the history of pharmacology and promote its further development for the benefit of the general public.		The organization maintains and operates the new orleans pharmacy museum for the city of new orleans.				
Literacy Works Inc	http://		EIN 72-1316807	Po Box 66172	Baton Rouge	LA	70896	USA	Adult Education, Education							
Bnai Israel Congregation	http://		EIN 72-6001871	2400 Orell Pl	Monroe	LA	71201	USA								
Central Louisiana Community Foundation	http://www.clcf.net	(318) 445-7702	EIN 72-1446378	1107 4th St	Alexandria	LA	71301	USA	Community Foundations, Community Improvement & Capacity Building, Philanthropy	To connect people to priorities they care about and increase charitable giving in order to advance the quality of life for all in our community.		To connect people to priorities they care about and increase charitable giving in order to advance the quality of life for all in our community.				
Apostolic Ministries Inc	http://	(850) 857-4775	EIN 72-0940644	2901 Ridgelake Dr	Meatirie	LA	70002	USA	Protestant, Religion	Religious		Various ministerial & evangelistic outreach services to the general public including preaching, camps, teaching the gospel of jesus christ.				
American Chemical Society	http://		EIN 72-6023867	1 Drexel Dr	New Orleans	LA	70125	USA								
Family Missions Company	http://www.familymissionscompany.com	(337) 893-6111	EIN 72-1366886	12624 Everglade Rd	Abbeville	LA	70510	USA	Religion, Religion-Related	Family Missions Company is a ministry of lay, Catholic missionaries dedicated to spreading the Gospel wherever we are, both at home in the States and particularly to the poor in foreign countries. We are families, married couples, and singles who have given up everything to bring the love of Jesus Christ to those most in need. We serve under the blessing of our bishop and at the invitation of the bishops in the areas we serve, working in concert with local pastors and in fidelity to the Magisterium of the Roman Catholic Church. Our missionaries' devotion to Gospel Poverty, living in solidarity with the poor we serve, means that every dollar donated goes further in helping those most in need.	USA, The Philippines, India, Ecuador, Mexico, Peru, Haiti, Costa Rica, and China	Bible studies, home visits, prison ministry, food dispensaries, medical assistance, mission trips, RCIA, retreat ministry, building projects, evangelization training, scholarships and school supplies, teaching ministry, stateside Faith Camp, stateside Proclaim Conference	the poor in their spiritual and material needs; stateside evangelism efforts			
Southern Heritage Air Foundation	http://www.southernheritageair.org	318-574-2731	EIN 38-3667786	179 VTR Airport Rd	Tallulah	LA	71282	USA	Arts & Culture, Museums	Our mission is to preserve Aviation and WWII history so that all generations can appreciate the America's history, and learn more about it. We have a museum that features the stories and memorabilia of local and regional heroes from WWII, and we have several planes that you can get up close to and see. We have a  1945P-51D Mustang n amed Charlotte's Chariot II, A 1942 AT-6 Texan, a 1948 Twin Beech, a 1935 model WACO Classic Bi-plane and a 2001 Amphibious Aviat Husky! All of which still fly today.  We offer a rides program, flyover program, make appearances at many air shows and host a bi-annual airshow. We offer group tours!	The field of Aviation and WWII History.	educational, living history, honoring our veterans and those currently serving, Our group tours will provide you with a trading card of a person, plane or event somewhere within the walls of our museum.  That is who you are during the tour. At the end, individuals keep their trading card as a souvenir. If time permits, the group can off on a Recon Mission (Scavenger Hunt) and test their knowledge on what they have learned!	Our mission is to preserve Aviation and WWII history so that all generations can appreciate the America's history, and learn more about it. We have a museum that features the stories and memorabilia of local and regional heroes from WWII, and we have several planes that you can get up close to and see. We have a  1945P-51D Mustang n amed Charlotte's Chariot II, A 1942 AT-6 Texan, a 1948 Twin Beech, a 1935 model WACO Classic Bi-plane and a 2001 Amphibious Aviat Husky! All of which still fly today.  We offer a rides program, flyover program, make appearances at many air shows and host a bi-annual airshow. We offer group tours!	Last year over 7,000 people came through our small museum and attended our bi-annual air show which has been dubbed "The Best Little Air Show in the World"!		
Casa New Orleans	http://www.nationalcasa.org/		EIN 72-1054889	421 Loyola Ave	New Orleans	LA	70112	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Civil Rights, Crime & Law, Domestic Violence, Protection Against Abuse	National CASA's mission is to ensure that every child in or risk of being placed in foster care has a CASA Volunteer, appointed by judges to be a voice for these children in court. The result is that they are placed into safe, loving homes where they can thrive.						
