name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results		We Provide Essential Resources.	We Advocate for Change.	We Counter the Marriage-Only Movement.	We Educate People About the Issues.	Honor Them Foundation, Inc. 	All gave some and some gave all.
Holistic Help Inc	http://		EIN 20-5416025	24909 Se 448th St	Enumclaw	WA	98022	USA	Mental Health, Mental Health Treatment													
AtWork!	http://www.atworkwa.org	425-274-4000	EIN 	1935 152nd Pl NE	Bellevue	WA	98007	USA		MIssion: To help people with disabilities be productive, integrated and contributing members of their communities.  Purpose: To help people with disabilities learn marketable skills; find and keep good jobs in the community; and earn wages and benefits that help them escape poverty.	Adults with disabilities in Western Washington	230	King County Washington									
WHITE BLUFFS QUILT MUSEUM	http://www.whitebluffscenter.org	509-967-2555	EIN 83-0478512	PO Box 4664 4034 D W Van Giesen St.	West Richland	WA	99353	USA	Art Museums, Arts & Culture	Our Mission   The mission of the White Bluffs  Center is to promote and celebrate the art and craft of quilting and textile arts through educational opportunities for children and adults; to preserve the history of textile arts as uniquely American art forms; and to enhance the community by providing a welcoming place where people can share their knowledge and heritage through their love of quilting, weaving, spinning, basketry and textile arts.			Pacific Northwest									
C.A.S.T. for Kids Foundation	http://www.castforkids.org	425-251-3202	EIN 91-1582848	297 SW 41st St.	Renton	WA	98057	USA	Child Day Care, Children & Youth, Philanthropy, Public Foundations, Recreation & Sports, Sports	The C.A.S.T. for Kids Foundation mission is to provide disabled and disadvantaged children the opportunity to enjoy a quality outdoor recreational experience through the sport of fishing.			National	C. A. S. T. For kids - these events are held nationally for disabled, physically or mentally, participants and are partially sponsored by the department of the interior, bureau of reclamation. Participation ranges between 30 and 250 participants. Approximately thirty-five events are held annually with about 3,000 participants.   fishing kids - there are two fishing kids events held each year in the washington state. The renton event had 800 participants and the bremerton event hosts 300 participants.   take a warrior fishing events: conduct fishing events for active military, targeting wounded soldiers.								
Delta Dental Of Washington	http://www.deltadentalwa.com	(206) 522-1300	EIN 91-0621480	9706 4th Ave Ne	Seattle	WA	98115	USA	Group Health Practices, Health					See schedule o  see schedule o  see schedule o								
Overlake Service League	http://www.bellevuelifespring.org	(425) 451-1175	EIN 91-0658331	13122 Ne 20th St 100	Bellevue	WA	98005	USA	Children & Youth, Children & Youth Services, Emergency Assistance, Thrift Shops	To foster stability and self-sufficiency of bellevue's children and their families through programs that feed, clothe and educate.				Feeding children and their families: breaktime-mealtime malnutrition has a very serious cost on children's emotional, physical and intellectual development. Breaktime-mealtime makes a real difference in children's lives by helping to ensure that no child suffers from lack of food. The program provides boxes of breakfast, lunch and snack food items during the school breaks for low-income families to compensate for food they would normally receive while school is in session. For the year ended june 30, 2015, 1,374 children were assisted for winter break, 1,490 children were assisted for mid-winter break and 1,505 children were assisted for spring break, and summer break assisted 350 children for a total of 90,260 meals provided to 4,719 children through this program. Adopt-a-family - bellevue lifespring embraces the spirit of thanksgiving and christmas by matching community sponsors, who provide holiday food and gifts, to families in need. For the year ended june 30, 2015, 392 adults and 527 children were helped with food at thanksgiving and 443 adults and 594 children were helped with food and gifts at christmas.   clothing children and their families: clothes-4-kids inadequate clothing can prohibit a child from feeling warm, participating in activities and developing healthy self-esteem. Clothes-4-kids distributes gift cards so students can select new back-to-school clothing, coats and shoes from local merchants. For the year ended june 30, 2015, 430 children ages 4-18 received a total of $59,769 in clothes-4-kids vouchers. Thrift shop the bellevue lifespring thrift shop provides good-quality used clothing and merchandise at affordable prices and free to those who can't afford to pay. Families receive gift cards from bellevue lifespring on an as-needed basis to help provide work and school clothing, as wells as emergency needs in times of crisis. It also serves as a training ground for clients allowing them to learn valuable customer service and retail job skills while gaining self-esteem and giving back to the community. In addition, the shop offers a venue for high school students to earn community service hours while gaining valuable skills.   assist:families with children can turn to bellevue lifespring for immediate assistance and referrals. Every day, bellevue lifespring emergency service programs help provide basic necessities eviction and utility shutoff prevention, food and household essentials. For the year ended june 30, 2015, bellevue lifespring helped 468 families in crisis representing 738 adults and 1,124 children.								
SPEAR MINISTRIES	http://		EIN 26-2998013	1827 E Pacific Ave	Spokane	WA	99202	USA														
Jam For Justice	http://		EIN 91-1842858	2801 25th St	Bellingham	WA	98225	USA	Civil Rights, Civil Rights, Social Action & Advocacy													
History News Network	http://		EIN 91-2107919	2120 8th Ave N Apt 103	Seattle	WA	98109	USA	Arts & Culture, Museums													
Camp Victory	http://	(360) 665-4249	EIN 31-1750539	Po Box 711	Ocean Park	WA	98640	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	We provide residential camps for the gathering and nurturing of boys and girls between the ages of 5 to 18 who are the survivors of sexual abuse. We also try to educate the community about the issue of child abuse and help pay for counseling for those who cannot afford it.				Annual residential camps to gather, nuture, educate and help in the healing of survivors of sexual abuse; attended by approx. 30 girls and separately 15 boys (ages 5-18) with 70 adult "big buddies".   retreat weekend to screen and train adult volunteers attendance is approx. 75 adults.   helping to pay counseling bills for children without resources.								
Northwest Center	http://www.nwcenter.org	206-285-9140	EIN 91-0786790	7272 W. Marginal Way S.	Seattle	WA	98108	USA	Children & Youth, Children & Youth Services, Developmentally Disabled Centers, Disabilities, Human Services, Job Training, Vocational Rehabilitation		We serve children and adults with disabilities in King and Spokane Counties in Washington State. our programs for children start at birth and continue through teen years. The adult employment program starts in the student's last year of school to ease the transition into the workforce.			Child Development Program was the first program created at Northwest Center. Its roots reach back to our founding parents whose children were not accepted into public schools. They refused to accept the prevailing notion that their children with developmental disabilities could not be taught so they hired their own teacher and developed a curriculum that was designed for kids with special needs. Today, we serve children with and without developmental disabilities from 6 weeks to 12 years of age in our inclusive programs:	In 2009, our Early Intervention and Learning programs served 370 children in King County. We also supported 400 adults in their employment goals. Through our businesses, we employed 360 adults with disabilities.							
Hope for Horses	http://www.hopeforhorses.net	360-453-4040	EIN 80-0027743	PO Box 1790	Woodinville	WA	98072	USA	Animal Protection & Welfare, Animals, Crime & Law, Law Enforcement	Hope for Horses improves the quality of life of abandoned, abused, and neglected horses in Washington State through their rescue and protection, and through advocacy on their proper care and handling.			Washington State									
Global Insular Conservation Society	http://www.islandecosystems.org	206-293-1766	EIN 26-2566944	P.O Box 77796	Seattle	WA	98177	USA	Environment	Preserving species and habitat through conservation, education and research			Global									
Grays Harbor Historical Seaport Authority	http://www.historicalseaport.org	(360) 532-8611	EIN 91-1357638	Po Box 2019	Aberdeen	WA	98520	USA	Arts & Culture, Children & Youth, Crime & Law, Education, Historical Societies & Historic Preservation, History Museums, Vocational & Technical Schools, Youth Violence Prevention	The organization owns two tall ships, the lady washington and the hawaiian chieftain. The ships provide sails in washington, oregon and california, providing people the opportunity to experience sailing on an 18th century ship.				The tall ships lady washington and hawaiian chieftain provide voyages and education programs to people in washington, oregon and california. Passengers experience life as it was aboard ships in the 18th century. Volunteers also learn to sail and manufacture ships parts. The seaport has 150 volunteers contributing thousands of hours of service to the organization. The value of in-kind services donated, including the use of equipment and other property, as well as services that require professional or technical expertise totaled $60,615 in 2014.								
New Moon Farm	http://newmoonfarm.org	844-438-4628 	EIN 26-3888614	19111 Burn Rd	Arlington	WA	98223	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	New Moon Farm Goat Rescue and Sanctuary is dedicated to the rescue, rehabilitation and adoption of animals in need.  Whether victims of financial difficulties, neglect or abuse, we are committed to taking in unwanted animals brought to us via owner surrender, as well as by animal control.  In addition to caring for these animals, New Moon Farm strives to promote compassion and respect for all living creatures through a presence in the community and by offering educational opportunities.	farm animals in need	over 150 animals and their people	the pacific northwest	rescue, rehabilitation, adoption and education	As of January 2015, New Moon Farm has placed over 1400 animals into safe, loving homes.  We have taught all adopters, as well as the hundreds who have attended our Goats 101 Workshops, about basic goat care.							
Gage Academy of Art	http://www.GageAcademy.org	206 343-GAGE	EIN 91-1992593	St. Nicholas Building 1501 Tenth Ave East, #101	Seattle	WA	98102	USA	Adult Education, Arts & Culture, Children & Youth, Education, Visual Arts, Youth Development	Guided by the belief that artists are made, not born, Gage strives to educate, enrich and engage artists and the community in the visual arts. Gage offers instruction in the principles of drawing, painting and sculpting and is dedicated to helping students of all ages and skill levels realize themselves as artists in contemporary society    Gage Youth Programs offer practical art instruction in drawing, painting and 3-D design for 6 to 18 year old artists. Our curriculum encourages students to explore new materials and techniques, develop creative problem solving skills and celebrate self-expression. We are dedicated to providing professional teaching artists to present engaging, age-appropriate classes that empower young artists to "be seen and heard."	Annually, Gage serves over 10,000 members of our community through educational and community programs in the visual arts. Our Youth Prorgrams engage young artists ages 6 to 18 and our open enrollment Adult Programs draw artists of all skill levels from beginners to professionals. Gage year-long ateliers provide professional training in drawing and painting to a core group of 40 artists who work in on-site studios under the mentorship of master teaching artists.	Each year, Gage awards $160,000 in tuition relief to over 300 deserving students.	Gage serves artists across the NW region	ADULT PROGRAMS - classes, workshops, ateliers, evening lecture series, national & international art tours.  YOUTH PROGRAMS - after-school & Saturday classes, family programs & art tours, summer workshops, pre-college Teen Intensive, plus free, drop-in Teen Art Studios, running 50 Friday nights a year.  COMMUNITY PROGRAMS - exhibitions, evening lectures, art competitions, public art events.	In spite of the difficult economy, Gage has shown strong enrollment patterns this year with an increase of 12% in its adult classes.							
Hearing Loss Association Of America Inc	http://www.hearingloss-whatcom.org/	(360) 676-1012	EIN 20-8415266	4600a Village Dr	Bellingham	WA	98226	USA		The group offers support and information to residents of whatcom county, washington, who are hard-of-hearing. Each year the organization offers informational programs at 10 of monthly meetings and holds two potlucks for members. The programs include such topics as interacting with people who do not have a hearing loss, helpful devices (hearing aids, extra-loud alarm clocks, service dogs), hints about travel and hospital stays. We provide surround sound, fm assistive listening devices, and real-time captioning at each meeting.				Hla-whatcom held monthly meetings attended by 30-55 people. Ten meetings offered speakers on topics related to coping with hearing loss. The other two meetings were potlucks. We publish a newsletter that contains news relating to hearing loss, such as time/location of captioned movies and plays.								
Sunergos International	http://sunergosint.org		EIN 30-0157990	24 Roy Street, Suite 191	Seattle	WA	98109	USA	Children & Youth, Children & Youth Services, Christianity, Human Service Organizations, Religion	Serving orphans, widows and the poor in Russia												
Seattle Latino Film Festival	http://		EIN 45-5363567	Po Box 81185	Seattle	WA	98108	USA	Arts & Culture, Cultural & Ethnic Awareness													
World Concern Development Organization	http://www.worldconcern.org	800-755-5022	EIN 91-1155150	19303 Fremont Ave N	Seattle	WA	98133	USA	International, International Development	World Concern provides life, opportunity and hope to suffering people around the world through disaster response and development programs. Motivated by our love of Christ, we bring hope and reconciliation to those we serve, so they may in turn share with others.	Those living on less than $1.25 per day	885,785	Asia, Africa, Haiti	Health, Education, Water & Sanitation, Disaster Response, Food Security, Microfinance, Vocational Training, Child Protection								
Step By Step Family Support Center	http://stepbystepnews.org	1-888-996-0903	EIN 91-1871945	PO Box 488	Milton	WA	98354	USA	Human Service Organizations, Human Services	HEALTHCARE AND RELATED SERVICES.	Low-income women who are pregnant or have an infant under 3 months living in Pierce, King, and Snohomish Counties		Pierce, King, and Snohomish Counties of Washington State	Maternity support services and infant case management provided through in-home and clinic visits by professional case managers. Our clients are low-income pregnant women and our main goal is for a healthy baby to be born at 37 weeks gestation or greater and weighing 5. 8 pounds or greater. Case managers develop a plan of care personalized to meet each woman's needs and address those needs throughout the pregnancy and through the first year of the child's life.	We serve around 1000 women and their families each year							
Cross Creek Alpaca Rescue	http://www.crosscreekalpacarescue.org	360 350-9708	EIN 26-4363682	4225 Old Military rd SE	Tenino	WA	98589	USA	Animal Protection & Welfare, Animals	The mission of Cross Creek Alpaca Rescue, Inc. is to foster compassion and responsibility for Alpacas and other animals through rescue, intervention, education and outreach.  We will continue to help the North American alpaca industry grow and improve by promoting the value of non breeding alpacas for their fiber. We are a non-profit volunteer organization dedicated to the rescue, foster care and placement of alpacas in need.	Alpacas and other animals	over 300 alpacas and other animals	Tenino Washington. We have been networking all over the US	Alpaca rescue and re homing. Sanctuary for animals that can't be re homed.  Adoption,  volunteer, sponsor and foster opportunities available.	Since starting in 2009 we have been directly responsible for the rescue and re homing of upwards of 500 alpacas and other animals to date.							
Wild Love Preserve	http://www.wildlovepreserve.org	206. 954. 7733	EIN 27-3729450	126 SW 148th Street Suite C100, Box 326	Burien	WA	98166	USA	Animals, Environment, Land Resources Conservation, Wildlife Preservation & Protection, Wildlife Sanctuaries	Wild Love Preserves Mission remains steadfast in our efforts to protect and preserve native wild horses in their native environments and nurture the legacy of respective indigenous ecosystems in a collaborative, responsible and sustainable manner with regional engagement and benefit. Wild horses lead the way to cultivating the health and balance of our wild places as an interconnected whole. Kindness, mutual respect, integrity, science and education are paramount.	Idaho wild horses on home turf, respective indigenous ecosystems, community, stakeholders and taxpayers.	Approximately 350 Challis, Idaho wild horses: 225+ free-roaming on the Challis Herd Management Area and WLP's adopted/rescued 130 Challis, Idaho wild horses; Stakeholders; Community; American Taxpayers.	Idaho + Nationwide	Idaho Wild Horse Preservation; Responsible + Sustainable Wild Horse Population Management;  WLP Adoption Project; Education + Awareness; Community Involvement; Idaho Youth Employment; Eco-tourism; Taxpayer Savings.	Viewed as a paradigm project, Wild Love Preserve has pioneered an innovative model in wild horse preservation which has garnered national attention and serves as a pilot for other western states. Wild Love Preserve is located in Sun Valleys backyard and engages public and private lands. Founded in 2010 by contemporary visual artist, Andrea Maki, the focus of Wild Love Preserve has been in bringing people together in a new light to collectively implement new working solutions which serve to benefit wild horses and the whole.Wild Love Preserve addresses all facets ofregional wild horse conservationon home turf in central Idaho, from the 130 Challis, Idaho wild horses they rescued as result of the 2012 Challis Helicopter Roundup, to their collaborative work on the range and creation of a permanently protected wild expanse in the heart of Idaho wild horse country. As a non-profit Wild Love Preserve is funded by donors and grants, and at a savings of $50,000 per lifetime for each wild horse, WLP programs have saved taxpayers $7.5 million since 2013. Wild Love Preserves preservation of this American icon speaks to our greater good and collective well-being by bridging divides and bringing stakeholders together to collaboratively address total range health, sustainable ecosystems, co-existence with all wildlife, and livestock where applicable. Kindness, mutual respect, science and education are cornerstone to Wild Love Preserves mission. Learn more at WildLovePreserve.org  Listen to interview with Wild Love Preserve founder, Andrea Maki, on Beth Markley's Elemental Idaho on Radio Boise: http://bit.ly/24rAV4G  This is not but a mere fenced wild horse sanctuary. The objective of Wild Love Preserve is the protection and preservation of native ecosystems as an interconnected and balanced whole. Great beauty and benefit lie in the fact, indigenous wild horses offer such unique opportunity to achieve this intent by walking new paths together.  - Andrea Maki, WLP Founder							
Transitional Programs for Women	http://www.help4women.org	(509) 328-6702	EIN 91-1307272	1002 N. Superior St	Spokane	WA	99202	USA	Homeless & Housing, Homeless Centers, Homeless Shelters, Human Services, Residential Care & Adult Day Programs	Transitions sponsors and initiates programs which in faithfulness to the mission of Jesus foster the personal growth and wholeness of women and children in need. Transitional Programs for Women pursues this mission through the operation of EduCare, Miryam''s House, the Women''s Hearth, and Transitional Living Center. Our values state:Respect for Human DignityWe believe in the dignity and inherent worth of individuals and respect their right to self determination. CommunityWe believe that the fullness of each person is realized in relationship with others. Growth/WholenessWe believe each individual is a work in progress on a journey toward the integration of mind, body, and spirit, with the hope of emotional, physical and spritual peace. JusticeWe believe in advocating for what is right, honest and moral both for whom we serve and with whom we serve.				The Womens Hearth is a day center in Spokane, Washington that serves 100--150 homeless and low income women per day.At the heart of the services is a safe welcoming community. Multiple services are offered in this hospitable environment:showers, food, clothing, 1-1 individual attention, and access to resources and referrals;12 step groups, life skills classes, and art activities.Renter Responsibility classes Legal Preparedness project; three transitional apartments off site where womenreceive ongoing case management A job training program in the food service industry								
Wildlife Rescue	http://		EIN 91-2142032	PO Box 4273	Bellingham	WA	98227	USA	Animals, Wildlife Preservation & Protection													
Adams County Pet Rescue	http://www.adamscountypetrescue.com	(509) 431-0843	EIN 91-1829881	Po Box 612	Othello	WA	99344	USA	Animal Protection & Welfare, Animals	Rescue, care and find homes for abandoned and abused pets				Rescue, care and find homes for abandoned and abused pets  construction on animal shelter facilities. Construction costs for 2014 were $40,063.								
Plateau Area Writers Association	http://		EIN 05-0550926	Po Box 1974	Buckley	WA	98321	USA	Arts & Culture, Arts & Humanities Councils & Agencies													
ARTWERKS dba Fremont Abbey	http://www.fremontabbey.org	206-414-8325	EIN 74-3123187	4272 Fremont Ave W	Seattle	WA	98103	USA	Arts & Culture, Arts Education, Children & Youth, Youth Development	The mission of artwerks dba fremont abbey arts center is to curate welcoming arts & cultural experiences where people of all ages and incomes can explore and grow.				Art: artwerks dba fremont abbey arts center facilitated arts education and performance opportunities for people of all ages, incomes and skill levels. In 2014 approximately 507 artistic events, classes, rehearsals, and workshops (326 in 2013)resulted in an estimated total attendance of 22,994.   youth: artwerks dba fremont abbey supported arts education and experiences for all ages and incomes enabling over 2,000 unique youth to engage in arts education including music, dance, visual, literacy and other artistic programming throughout 2014. Through our programs and partnerships, youth attendance reached 2,560 in arts activities, classes and performance opportunities on-site and off-site.   culture: in 2014, artwerks dba fremont abbey hosted and supported approximately 77 cultural community events (91 events in 2013) with an estimated attendance of 6,961. These events showed a diverse array of local community members and nonprofit organizations who gathered to celebrate and support one another in a welcoming and accessible space.								
NORTHAVEN FOUNDATION	http://www.northaven.com	206-362-8077	EIN 91-1608759	11045 8TH Ave Ne	Seattle	WA	98125	USA	Human Service Organizations, Human Services	Northaven Foundation serves Northaven through philanthropic and stewardship endeavors to ensure affordable housing and needed services for older adults in our community.	Low-income older adults in Seattle, WA.	260	Seattle, Washington	Northaven is a vibrant affordable housing community in Seattles Northgate neighborhood, dedicated to meet the needs of people older in age. Northavens core programs are:  Independent living where 194 residents pay no more than 30% of their monthly adjusted income up to our very low market rate.   Assisted Living designed to remind, guide and assist residents in their activities of daily living. Northaven is one of very few facilities in Seattle to accept more than a handful of residents who rely on Medicaid-COPES, a state program that subsidizes less than 70% of assisted living care costs for those who have outlived their savings. Twenty-eight of our 40 residents rely on Medicaid-COPES  a 125% increase since opening our doors in 1992.   Northaven Foundation serves Northaven through philanthropic and stewardship endeavors to ensure affordable housing and needed services for older adults in our community. The Foundation raises support for assisted living uncompensated care and for critical services like transportation to and from medical appointments, and dental care.	Last November, Northavens newly formed Philanthropy Committee presented our first public fundraiser, Summit Celebration 2010, at the Mountaineers Club in Seattle. The event was small, but presented and followed-up with strategic intention  to gain new donors and increase our public awareness. We were grateful to have the support of David and Nole Ann Horsey (David is a local Pulitzer Prize-winning editorial cartoonist), who have long-time family ties with Northaven. Our goals were 75 guests and to raise a net of $3,000. We had 80 guests and raised a net of $7,919 for uncompensated care. We acquired 43 new donors. Our 2011 Event is scheduled for Friday, Oct. 21 and our goals are to double attendance and raise a net revenue of $16,000 to benefit uncompensated care. The committee is growing and is also presenting on June 4th at Northaven Retirement an outreach program, Aging Gracefully: What we all need to know. This seminar presents three panelists who specialize in elder care and who will address issues of health, finance and affects of recent State budget cuts to local services. We are consistently recruiting new volunteers to join us in our fundraising and community outreach efforts. Most recently, the Foundation received a $34,000 grant from the Employee Community Fund of Boeing Puget Sound for our Health & Wellness program.							
Northshore Schools Foundation	http://www.northshoreschoolsfoundation.org	(425) 408-7680	EIN 91-1680139	3330 Monte Villa Pkwy	Bothell	WA	98021	USA	Education	The Northshore School District has the well-deserved reputation as an outstanding school district providing a quality education for its 20,000 students. Maintaining this quality and serving the needs of all students is a BIG JOB and poses enormous challenges. As state funding for public education decreases and the cost of providing top-notch education increases, the school district needs to increasingly rely on non-traditional funding sources. Local educational foundations such as NPEF play an important role bringing our community together and leveraging resources that can be used by the district to benefit its students.	student	36,600	Bothell, Kenmore, Woodinville and the Northshore School District	enhanced learning opportunities, Teacher certification, Classroom Libraries, Career and Tech ed support, Robotics, After school programs for teens.								
Agape' Unlimited	http://agapekitsap.net	360 373-1529	EIN 	5464 Kitsap Way	Bremerton	WA	98312	USA		Drug/alcohol treatment. Help save lives, and families.The need to help low income individuals find funding for drug/alcohol treatment is needed now more then ever before.The Alcohol and Drug Abuse Treatment and Support Act (ADATSA) is being cut in the new state bugit cuts. This means that many individuals will die from their disease of addiction if we can't find an alternative funding sourse. We are going to try and develop a Scalar ship program, and are asking you to particapate in that program. To find out how to make your tax deductable contributions for the cause just e-mail David Musser at:  (agapedavidm@comcast.net) Thank you for your support.			Washington State									
Issaquah Alps Trails Club	http://		EIN 91-1081852	Po Box 351	Issaquah	WA	98027	USA														
Renaissance 21	http://		EIN 26-0687369	9428 Rainier Ave S	Seattle	WA	98118	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion													
Bellevue Boys & Girls Club	http://www.bgcbellevue.org	(425) 454-6162	EIN 91-0776451	209 100th Ave Ne	Bellevue	WA	98004	USA	Boys & Girls Clubs, Children & Youth, Education, Preschools	To enable all young people, and especially those who need us most, to realize their full potential as productive, caring and responsible citizens. We provide prevention-focused programming for youth, ages 2-19, within our core program areas.				Project learn: after school program serving over 600 youths age 6 to 18 at 12 clubhouse locations. We encourage social interaction with a focus on education. Programs offered include educational homework assistance and drop out prevention programs. There is also a focus on the arts, sports fitness and recreation, health and life skills and character and leadership development. All members have access to state of the art technology labs.   teen center: the club teen center offers a safe, positive place for middle school & high school students. Using professionally trained staff, programs are offered in core areas including homework assistance, athletics, the arts, community service, and technology. The club teen center also features a state-of-the art technology center focused on fostering technology related skills and creativity. In addition, this facility is also the home of the ground zero music program, a teen-founded music program that includes a concert venue and soundproof practice room, as well as the "be great" graduate program, a targeted high-school drop out prevention program that provides targeted academic support and resources to middle and high school students.   athletic program: the club offers a variety of structured athletic leagues including soccer, basketball, football, baseball. These recreational leagues are open to all members and are designed to encourage team play, sportsmanship and skill-building. Additionally the club offers programs in gymnastics, golf, tae kwon do, chess, and judo. The programs serve youth between the ages of 5 to 18 throughout the year.   preschool: early education programming for children between 2 1/2 - 5 years old. Classes encourage social and physical development through active play, sports activities, science, music and art.								
PATH	http://www.path.org	206-285-3500	EIN 91-1157127	PO Box 900922	Seattle	WA	98109	USA	AIDS, Health, International, International Development	PATH''s mission is to improve the health of people around the world by advancing technologies, strengthening systems, and encouraging healthy behaviors.												
Rescue 4 All Inc	http://		EIN 46-3728964	4809 N Greenwood Blvd	Spokane	WA	99205	USA	Animal Protection & Welfare, Animals													
Celtic Arts Foundation	http://www.celticarts.org	(360) 416-4934	EIN 91-1878785	PO Box 1342	Mount Vernon	WA	98273	USA	Arts & Culture, Cultural & Ethnic Awareness, Dance, Music	The Celtic Arts Foundation''s mission is to sponsor, encourage and promote Celtic culture through events and educational activities. We entertain and inspire.	the Celtic Community		Washington State	The Skagit Valley Highland Games in aCeltic festival which attracts over 10,000 people each year in Mount Vernon, WA. We feature bagpipe bands, Highland dancing, traditional Scottish athletic events, arts and craft vendors, folk music, and much more.								
OPERATION TEDDYCARE	http://teddycare.coastside.net		EIN 68-0493592	PO Box 790	Freeland	WA	98249	USA	Animals, Disaster Aid, Gift Distribution, Public Safety, Disaster Preparedness & Relief, Victims Services	We provide "bearapy" -- new Teddy Bears and support for trained post-traumatic stress disorder counselors who respond to kids during natural and manmade disasters. We encourage kids to get involved helping other kids by donating new Teddy Bears or making cards of hope to attach to Teddy Bears.												
Faith Assembly Christian Center Of The Ag	http://		EIN 91-0891782	1800 N Road 72	Pasco	WA	99301	USA														
GAMBIA HEALTH EDUCATION LIAISON PROJECT (GambiaHELP)	http://www.GambiaHELP.org	206-660-5826	EIN 91-1980614	3860 Surber Dr. NE	Seattle	WA	98105	USA	Economic Development, Education, Elementary & Secondary Schools, Higher Education, International, International Economic Development, International Relief, Literacy, Microfinance	GambiaHELP provides health and education resources & seed funding to projects that alleviate poverty and enhance the well-being of people in The Gambia.	the children, the women, the economically disadvantaged and the environment.	over 200 children and adults to be actively engaged in sustainable development and learning.	the rural villages of The Gambia engaging communities to develop sustainable projects.	The Library/Book Project: The development and building of libraries in primary and secondary schools throughout rural Gambia; Women's Empowerment Project is the training of women in cooperatives with marketable skills such a rice milling, cereal banking, sewing and small enterprise development (poultry farming and gardening); Education Fund is a program to send economically disadvantaged and orphaned boys and girls to school by payment of school fees, clothing, supplies, shoes and a daily lunch.	This year we are supporting 60 children, mostly orphans through our Educational Fund, providing books and school supplies to 50 rural schools requesting assistance, and rehabilitating several libraries that were damaged by heavy rains.  We are currently fundraising to build a poultry farm and garden in the village of Kerewan [to fight malnutrition among very young children] and to build an 8--classroom block at Berending.							
Money Wise Women Educational Services	http://	(360) 509-0515	EIN 20-2056876	Po Box 2508	Silverdale	WA	98383	USA		Providing educational conferences to women regarding fiscal matters.				2 live conferences educating women regarding financial literacy 24 teleconferences educating women regarding various aspects of financial literacy.								
Sou Digna-I Am Worthy	http://		EIN 90-0731023	1037 Ne 65th St Suite 159	Seattle	WA	98115	USA	International, International Relief													
One Day's Wages	http://www.onedayswages.org	206-659-5859	EIN 26-2566653	P.O. Box 18071	Seattle	WA	98118	USA	International, International Development	One Days Wages (ODW) is an international grassroots movement dedicated to ending extreme global poverty. ODW promotes awareness, invites giving, and supports sustainable relief through partnerships, especially with smaller organizations in developing regions. Our vision is to aid global issues of injustice affecting millions of people, regardless of race, culture, sex, age, or religion.			Internationally	One day's wages allows donors to contribute the equivalent of an individual's wages for one day. The organization reviews and approves existing poverty relief organizations to receive funds. Fourteen organizations received grants in 2014.								
Push International	http://www.pushinternational.org	1-866-702-PUSH	EIN 	14241 N.E. Woodinville Duvall Rd #424	Woodinville	WA	98072	USA	Human Services	Push International works to provide sustainable, mobile, communities for people with disabilities in need in Mexico. Push International collects new and used mobility and therapy equipment in the USA, refurbishes, redistributes and personally adjusts each and every piece of equipment to benefit people who do not have access to these services. Push shares a campus in Mazatlan, Mexico with Padres y Compadres. Together we have a wheelchair repair and refurbishing shop staffed all year round to provide sustainable services, adjustments and maintenance to the equipment we deliver.	We serve poverty stricken individuals and families with disabilities who are living in or around Mazatlan, Mexico. We recycle donated mobility equipment from the USA and donate it to people in Mexico who can not afford the equipment that they so desperately need.	300+	Mazatlan, Mexico and surrounding areas.	Hippotherapy, Hydrotherapy, Job skills training, wheelchair and mobility skills and Kineseotaping. Further training in Neurodevelopmental Treatment, Sensory Integration, Feeding Therapies and more are taking place everyday in Mexico.	Over the last 5 years, Push International has welcomed over 24 teams of volunteers from the USA, Canada and Guam to our facility in Mexico. Together we have distributed over 2,000 pieces of mobility equipment to people with disabilities in need. We have employed people with disabilities, provided countless therapy interventions and home programs, modified people's homes to increase wheelchair accessibility and much much more!							
MEDIA ISLAND INTERNATIONAL DTD 0391	http://www.mediaisland.org		EIN 91-1514384	PO Box 7204	Olympia	WA	98507	USA	Arts & Culture, Education, Libraries, Media & Communications, Research Institutes & Public Policy Analysis	Media Island International is a resource and networking center for individuals, organizations, and movements working on Social Justice, Economic Democracy, Ecological Sustainability, and Peace. We gather, evaluate, and distribute underpublished information on critical issues at strategic times.												
Summit Assistance Dogs	http://www.SummitDogs.org	(360) 293-5609	EIN 91-2048706	P.O. Box 699	Anacortes	WA	98221	USA	Animal Services, Animals, Centers to Support the Independence of Specific Populations, Children & Youth, Human Services, Youth Development	Summit Assistance Dogs is a nonprofit organization that empowers people and animals to greater heights by providing highly skilled assistance dogs to people living with disabilities or institutions such as rehab centers and long-term care facilities that can benefit from their use. Summit trains dogs for mobility assistance, hearing and professional therapy for people of all ages (including children) .				To provide highly-skilled mobility, hearing and therapy dogs for people with disabilities. During 2014, summit assistance dogs had the following program accomplishments: -graduated 5 new service dog partnerships -provided follow-up support and recertification for 45 existing partnerships -provided a rehabilitative training program for inmates at the monroe correctional complex -provided numerous educational presentations for various community organizations -rescued and provided permanent homes for 8 shelter dogs -received accreditation from assistance dogs international -purchased land for future construction of a new training facility								
Hope For Chernobyls Child	http://		EIN 80-0267483	Po Box 58353	Renton	WA	98058	USA	Human Service Organizations													
