name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs		The Greenway Foundation (GF) 	Cub Scouting	Boy Scouting	Venturing
Institute For Shipboard Education	http://www.semesteratsea.com	(434) 243-4072	EIN 95-3075415	Campus Delivery 1587	Fort Collins	CO	80523	USA	Education, Higher Education	The institute for shipboard education (the institute) organizes and administers the semester at sea program, the world's premier program for study abroad. Open to students of all majors, semester at sea offers 12 to 15 transferable credit college level courses per semi-annual voyage, as well as a 9 to 12 credit summer voyage, which coincides with traditional university semesters. The program is academically sponsored by the university of virginia. Driven by the intention to educate individuals with the global understanding necessary to address the challenges of an interdependent world, the institute also sponsors short duration educational voyages attended by alumni, lifelong learners and staff as ship availability permits.					The institute for shipboard education organizes & administers the educational semester at sea program. Undergrad students take college level courses in conjunction with traveling the world for a semester. The institute plans two voyages to coincide with the traditional semiannual semesters offered by most universities, as well as a summer voyage. The program is acedemically sponsored by the university of virginia and administered by the institute.					
Montrose Christian Church	http://		EIN 84-0724945	2351 Sunnyside Rd	Montrose	CO	81401	USA												
Compassionet Impact International	http://www.compassionateimpact.org		EIN 20-0256249	Po Box 1106	Loveland	CO	80539	USA	Children & Youth, Children & Youth Services, Philanthropy, Voluntarism Promotion	Community transformation through coordinating the human, technical and physical resources of strategic partners and volunteers. We also provide small business loans and home mortgages to the poor and disenfranchised.										
Habitat for Humanity of Eagle and Lake Counties	http://habitatvailvalley.org	970-748-6718	EIN 58-1285159-001	P.O. Box 4149 455 Nottingham Ranch Road	Avon	CO	81620	USA		Habitat for Humanity brings people together to build homes, communities and hope!	In Eagle and Lake Counties, we have built 42 homes creating safe, affordable homeownership opportunities for hardworking local families.	provide homeownership opportunites	six families realize their dream of homeownership providing safe, affordable homes for families.	partnership with local families	home building construction program.					
WorkLife Partnership	http://www.worklifecolorado.org	(303)298-1625	EIN 84-1493585-001	1625 East 35th Avenue	Denver	CO	80205	USA		To support employers' ability to retain valuable employees by leveraging community resources that result in economic prosperity for businesses and workers	In 2013, WorkLife Partnership's employer members experienced a 97% retention rate, compared to a market average of 60%.  The average value of WorkLife services to our clients in 2013 was $65,951.00 per year and our employer members experienced, on average, a 596.6% return on investment.  We provided over 500 training hours to our clients, and spent 6,385 hours working with clients to provide other direct services.	low-income workers and their families	367 clients, 18 Colorado companies,	Colorado	Navigator (trained employee advocate) counseling, computer literacy training, workplace communication classes, ESL training, financial literacy classes and individual counseling, public transportation passes, clothing drives, employer-sponsored small dollar loan program, GED counseling, self-sufficiency assessments, return on employee investment reports, post-TANF program.					
Coloradogs Rescue And Rehab	http://		EIN 45-3620933	Po Box 273217	Fort Collins	CO	80527	USA	Animal Protection & Welfare, Animals											
Global Orphan Prevention	http://www.globalorphanprevention.org		EIN 45-4074515	2880 E. Cedar Ave.	Denver	CO	80209	USA	Civil Rights, Education, Health, International, International Development, Reproductive Health Care, Reproductive Rights	Through social entrepreneurship, education, and a clean birthing program, we keep mothers and children together.	2011: Made three families self-sustained through an income generating farming business  2012: Built one primary school for low-caste children  2014: Built a dairy farm to provide income generation for a low-caste primary school in Nepal  2015: In response to Nepal's series of earthquakes, we are reestablishing maternity wards in the remote mountain regions and providing a clean birthing kit program to save the life of mother and child.	Low-caste children, families, and schools	100 students and 3 families!	Nepal and Vietnam	Income generation, social entrepreneurship, and skills training so that they can help themselves out of poverty, as well as implementing a clean birthing program.					
Team Fort Collins Inc	http://www.teamfortcollins.org	970-224-9931	EIN 84-1501128	PO Box 1808	Fort Collins	CO	80522	USA	Mental Health, Mental Health & Crisis Intervention	TEAM FORT COLLINS IS DEDICATED TO PREVENTING THE ABUSE AND ILLEGAL USE OF ALCOHOL, TOBACCO, AND DRUGS, ESPECIALLY AMOUNG YOUTH AND FAMILIES, BY PROMOTING HEALTHY LIFE STYLES THROUGH COMMUNITY MOBILIZATION, EDUCATIONAL PROGRAMS, AND INTERACTIVE EVENTS.		youth, young adults, parents	over 10,000	Greater Fort Collins	Underage drinking prevention - the prevention of underage drinking advocating for effective public policy and initiating enforcement collaborations to reduce youth access to alcohol.   decreasing persistent drunk driving - the program focuses on a social norm campaign at the community college level, information dissemination, and increased supervision of persistent drunk drivers.   define youth program - this mentorship program was developed to reach youth on the brink of substance use or before being pulled in unhealthy directions. The mission of this program is to promote wellness and prevent future substance use issues through education, volunteerism, and personal projects focused on the strengths and interests of each participant.   actuality social norm marketing campaign - this program challenges teen misperceptions about unhealthy behavior ranging from school climate to substance abuse. Using a social norms model, actuality engages students and communities in a positive approach to health promotion. Other program services include the campus community coalition, a group of key leaders on the colorado state university campus and in the community, with a goal of reducing the high risk and underage drinking and marijuana use. Transition talks consist of parent talks at local schools that address teen issues. Responsible alcohol retailers and downtown after dark provide strategies for responsible alcohol use. The community information resource center provides current and relevant information for educating the community on the effects of alcohol, tobacco and drug use.					
Boulder County CareConnect	http://careconnectbc.org	(303) 818-9012	EIN 84-0769724	2540 Frontier Ave., Suite 109	Boulder	CO	80301	USA	Philanthropy, Voluntarism Promotion	Recruit staff and volunteer services to and for senior populations.		Seniors and adults with disabilities	almost 1700 seniors and adults with disabilities remain in the living situation of their choosing	Boulder County	grocery delivery, escorted rides to medical appointments, minor home repairs, grab bar installation, snow removal, lawn maintenance, and financial education services.					
All Breed Rescue & Training	http://www.haveanicedog.org	719-264-6460	EIN 84-1325815	20 Mount View Ln Ste C	Colorado Spgs	CO	80907	USA	Animal Protection & Welfare, Animals	Rescue, Rehab, ReHome (re)Train at-risk shelter dogs and provide professional education services for all dog owners.	In 2014 we rescued 91 dogs and puppies from euthanasia.  We are on track in 2015 to rescue even more.  We are excited to be the premier trainer recommended by the Humane Society of the Pikes Peak Region.  We also won Best of the Springs for dog trainer again this year.	at-risk dogs in our community and provide educational services to the public		greater Colorado Springs and Colorado	* Rescue Program: We place at risk shelter dogs in foster homes until a permanent adoption home can be found. * Training Program: We offer "training thru trust" based training courses that range from the puppy level up to advanced competition levels. We also offer "train the trainer" mentorships for those wanting to become dog trainers. * Extended Services: We offer canine behavior analysis, modification and other counseling services.					
CILS Benefactors Inc.	http://www.cils.net/	970-460-1232	EIN 	254 Grand, 2300 Mount Werner Circle	Steamboat Springs	CO	80487	USA	Education, International, International Academic Exchange, Philanthropy, Scholarships, Scholarships & Student Financial Aid	CILS Benefactors Inc. has as its mission to solitation of contributions in order to make travel grants to American law students undertaking training overseas, to young academics from Eastern Europe and the former Soviet republics studying American law, to American lawyers undertaking pro bono teaching assignments in Eastern Europe and the former Soviet republics, and to universities seeking support to send teams to the annual Foreign Direct Investment Disputes Moot program.				International						
Aspen Writers Foundation Inc	http://		EIN 84-1106211	110 E Hallam St Ste 118	Aspen	CO	81611	USA	Arts & Culture, Humanities											
Compassion & Choices	http://www.compassionandchoices.org	800.247.7421	EIN 84-1328829	4155 E Jewell Ave Suite 200	Denver	CO	80222	USA	Civil Rights, Right to Die & Euthanasia	To improve care and expand choice at the end of life.  We support, educate and advocate.	2009 Milestones  On January 1, the Terminal Patients Right to Know End-of-Life Options Act, AB 2747 (Berg-Levine) goes into effect in California. Read more about the Terminal Patients Right to Know End-of-Life Options Act here.  Compassion & Choices calls on the Obama Administration to repeal last-minute regulations allowing denial of medical services based on health care worker religious beliefs.  On March 5, Washingtons Death with Dignity Act begins implementation.  As the health insurance reform debate heats up in Washington and around the country, Compassion & Choices aggressively responds to mis-information campaign launched by opponents of end-of-life choice to undermine a key provision of health insurance reform. Recent action and statements indicate the end-of-life consultation provision may survive in a final health care bill. Read more about end-of-life choices in health insurance reform here.  On October 7, Compassion & Choices Legal Director, Kathryn Tucker, files suit in Connecticut on behalf of two Connecticut physicians, Gary Blick and Ron Levine, asserting that the Connecticut statute which makes a crime of assisting someone to commit suicide does not reach the conduct of a physician providing aid in dying. Read more about Blick at al v. Connecticut here.  On October 29th, Congressman Earl Blumenauer of Oregon stood with leaders of the House of Representatives as they unveiled House Resolution 3200, Section 1233, the Life Sustaining Treatment Preferences Act of 2009 that would provide coverage under the Medicare Program for consultations regarding POLST.  Senator Jay Rockefeller champions end-of-life care in his in his report to the Senate Finance Committee's health care reform legislation. Compassion & Choices continues work to assure end-of-life choice remains a key component of final health insurance reform package.  On October 13-14, Compassion & Choices hosts Dignity & Choices, A Symposium on End-of-Life Advocacy in Washington, DC. Two days of discussion, exploration and study, Dignity & Choices provides an opportunity to promote principles and practices that focus on patients. Physicians, social workers, nurses, attorneys and advocates for end-of-life choice filled the National Press Club to hear aspects of end-of-life care rarely discussed and illuminate the way forward. Watch video highlights from Dignity & Choices here.  On December 31, the Montana Supreme Court ruled in favor of the landmark case brought by Compassion & Choices (Baxter v. Montana) affirming that it is not against public policy of the state of Montana for a physician to provide aid in dying to a mentally competent, terminally ill individual. Read more about Baxter v. Montana here.  2010 Milestones  The Older Womens League (OWL) devotes its 30th anniversary Mothers Day Report to end-of-life choices and hosts a Capitol Hill policy briefing on the issue. The report features a piece, Aid in Dying: A Matter of Elder Justice and Civil Rights, by Kathryn Tucker, Compassion & Choices Director of Legal Affairs.  On June 2 Blick et al v. Connecticut is dismissed without reaching the merits, on sovereign immunity grounds, denying plaintiffs the opportunity to make their case to distinguish committing suicide from a mentally competent terminally ill patient ingesting medications to bring about a peaceful death.  New York passes the Palliative Care Information Act (PCIA) in August. The law, drafted by Compassion & Choices and modeled after a similar measure in CA, requires healthcare workers to provide information and counseling on end-of-life options..  Compassion & Choices files the groundbreaking lawsuit Hargett v. Vitas seeking accountability for the unnecessarily painful death of 43-year-old mother of three, Michelle Hargett-Beebee, who was never informed of the availability of palliative sedation. This is the first case in the nation to allege that failure to tell a patient about palliative sedation falls outside the standard of care.  2011 Milestones  Legislative opponents introduced SB 116 in Montana, to nullify the Montana Supreme Courts landmark ruling in Baxter v Montana, a case litigated by Compassion & Choices. The Montana Medical Association testified in official opposition to the measure. On February 16 the Montana Senate Judiciary Committee declined to adopt this measure, preserving the option of aid in dying for Montanans.  A bill amending Washingtons Death with Dignity Act, SB 5378, fails to pass out of committee, in response to Compassion & Choices proactive efforts and voter support. SB5378 would have amended the section of DWDA specifying deaths under the Act do not constitute suicide.     Compassion & Choices launches successful public campaign throughout Oregon to defeat HB 2016, a bill requiring all terminally ill patients who request aid in dying to undergo psychiatric evaluation.  The Oregon House HealthCare Committee holds no hearing or work session on HB 2016.			Nationwide						
Tindakan	http://www.tindakan.org/	720-364-0972	EIN 84-1364135	1205 Columbine St. Suite 205	Denver	CO	80206	USA	Arts & Culture, Bands & Ensembles, Community & Neighborhood Development, Economic Development, Environment	Bands for Lands is a Colorado based 501 (c)(3) nonprofit organization that is dedicated to communicating the message and practice of sustainability, conservation and social awareness issues through the mediums of music, the creative arts, inspirational speakers, educators and activists.				Colorado						
Durango Botanical Society	http://		EIN 45-2504868	1400 Main Ave	Durango	CO	81301	USA	Botanical Gardens & Arboreta, Environment											
Mountain Song Community School Llc	http://www.mountainsongschool.com	(719) 203-6364	EIN 45-4315338	2904 W Kiowa St	Colorado Spgs	CO	80904	USA	Charter Schools, Education	A community of families and educators dedicated to the conscious evolution of the whole child utilizing developmentally appropriate holistic education that nurtures body, mind, and heart. To bring forth healthy, confident, free-thinking, self-directed children who are passionately engaged with their education and empowered to contribute positively to the world.					Organized and operated exclusively for educational purposes.					
Westernaires	http://www.westernaires.org	(303) 985-2537	EIN 84-6036101	15200 W 6th Ave	Golden	CO	80401	USA		Education of youth					Education of youths in western horsemanship, leadership and responsibility. They perform as teams in shows before the public to display their accomplishments.					
PSC Partners Seeking A Cure	http://www.pscpartners.org		EIN 20-2112635	6900 E Belleview Ave., #202	Greenwood Village	CO	80111	USA	Health	The mission of the psc partners seeking a cure foundation is to provide education and support to psc patients, families and caregivers and to raise funds to research causes, treatments and potential cures for primary sclerosing cholangitis. Other significant activities the members of the pscp scientific/medical advisory committee are actively engaged in deciding where to allocate our funds for psc research. Through this competitive program, pscp has awarded research grants to prominent psc researchers. In 2014, pscp launched the psc partners patient registry. The goal of the registry is to collect de-identified (anonymous) information on patients diagnosed with primary sclerosing cholangitis (psc) in order to increase and accelerate research, enable clinical and drug trials, and find effective treatments for psc. Psc is a poorly understood disease for which there are currently no effective therapies and no known cure. We hope that our patient registry will provide a forum for psc patie					Provide education and support to primary sclerosing cholangitis (psc) patients and their families through website and our annual conference for patients and caregivers. To raise funds and support research to find the cause, better treatments and a cure for psc. All grants awarded by our scientific/medical advisory committee pursue these efforts.					
Conservation Lands Foundation	http://www.conservationlands.org	(970) 247-0807	EIN 20-8924520	835 E 2nd Ave Ste 314	Durango	CO	81301	USA	Environment, Land Resources Conservation	To protect, restore, and expand the national conservation lands through education, advocacy, and partnerships.				National	Constituency development program: the conservation lands foundation makes grants under our constituency development program. We provide financial and training resources to support organizations working to protect, restore and expand national conservation lands. The bulk of our resources in this program go to organizations that are in our friends grassroots network. Resources include, but are not limited to: grants for project-specific work; grants for general support and organizational development; fundraising support, including trainings and resource development; consulting for planning, policy or technical help; trainings for board and staff development; media and communications training; restoration projects and participation at our annual conference, the friends grassroots network rendezvous.   national monuments campaign: the conservation lands foundation is leading efforts topermanently protect naturally, culturally and historically significant public landsaround the west. To achieve this, we are building place-based, local proposals for new national monuments. Our work ensures that the voices of conservationists, business owners, sportsmen, tribes and others from these local communities are heard.   communications program: the goal of the communications program is to build awarenessand to communicate the values and beauty of the national conservation lands to theamerican people and beyond. Clf worked with the bureau of land management to formally adopt more effective communications tools, and encouraged more media coverage of the national conservation lands.					
Trees, Water & People	http://www.treeswaterpeople.org	(970) 484-3678	EIN 84-1462044	633 Remington Street	Fort Collins	CO	80524	USA	Energy Resources Conservation & Development, Environment, Natural Resources Conservation & Protection, Pollution Abatement & Control	Trees, Water & People is a 501(c)(3) nonprofit organization that works to improve people's lives by helping communities to protect, conserve and manage the natural resources upon which their long-term well-being depends.	Nationally, TWP is actively involved with helping to improve the lives of Native American families living on the reservations of the Great Plains. There, where the winters are extremely long and harsh, Native Americans commonly spend more than half of their income on their exorbitant utility bills. Together with our reservation-based partner, we have built 850 economic solar heating systems, saving tribal families 20-30% on their annual heating bills, and trained more than 175 tribal members in residential and facility-scale renewable energy applications. We have also planted trees and shrubs around the home sites for more than 160 additional families, further lowering heating costs and associated emissions by acting as an important wind blocks during the frigid winter and providing much-needed shade during the sweltering summer.   Internationally, TWP works extensively in Central America and Haiti. Together, with our country-based partners, we support 8 community tree nurseries that produce over 650,000 trees annually to aid in reforestation efforts, planting over 4.3 million trees to date. We have built 47,800 clean cookstoves. Each cookstove decreases a familys need for firewood by 50-70%, as compared to standard open fire cooking, and reduces carbon emissions by at least 1.5 tons per year. When vented to the outside of the home, these improved cookstoves also decrease indoor air pollution, which is responsible for the death of 1.9 million women and children globally every year.	low-income, rural and peri-urban communities in Central America, Haiti and on Native American Reservations in the U.S.		Latin America and U.S. Native American Reservations	Clean Cookstoves Program, Reforestation Program, Solar Energy Program, Tribal Renewable Energy Program					
Adam's Camp	http://www.adamscamp.org	303-563-8290	EIN 74-2432104	6767 So. Spruce St. Ste 102	Centennial	CO	80112	USA	Autism, Developmentally Disabled Centers, Disabilities, Down Syndrome, Health, Pediatrics		We began serving children in 1986 and Adams Camp began with 5 families and one program.   Now we serve nearly 1000 children, youth and young adults as well as their families each year. We utilize over 250 volunteers for all programs.  Adam's Camp raises funds in order to be able to cover over half of the cost of providing programs for the families we serve, charging less than half of the actual cost.  Additionally, we provide over $50,000 in scholarships each year.	children, youth and young adults with special needs and their families	977 individuals with developmental disabilities and their family members	Colorado and nationally	Early Start - Intensive therapy for infants and toddlers with developmental disabilities. Pathfinder Mountain Therapy - Intensive therapy,education, support and respite for children with developmental delays and their families.Trailblazer - Therapy, socialization and independence building for children with developmental disabilities, ages 8-14, and support, respite and education for their families. Adventure camp for children, youth and young adults with developmental disabilities, ages 8-25, a 5 day/night sleep-away camp in the Colorado mountains providing recreation, social skill development and independence building while providing respite to families and caregivers.					
CHINOOK FUND	http://www.chinookfund.org	303-455-6905	EIN 84-1076325	3280 Downing Street Suite B	Denver	CO	80205	USA	Civil Rights, Federated Giving Programs, Philanthropy, Philanthropy, Charity & Voluntarism Promotion	Chinook Fund is building the foundation for a Colorado by bridging the divides between privilege and poverty, the powerful and the voiceless. We celebrate social and racial equality, environmental sustainability, economic justice, and shared social responsibility.	878 GRANTS $2.85 MILLION GIVEN 331 GRASSROOTS ORGANIZATIONS	everyone		state of Colorado	Chinook Fund supports grassroots organizations working on issues of social and economic justice; by pooling our collective resources, we seed groups making a positive, systemic impact to improve the quality of life for all Coloradoan.					
The Maxfund Inc	http://www.maxfund.org	(720) 266-6081	EIN 84-1116882	1000 Inca St	Denver	CO	80204	USA	Animal Protection & Welfare, Animal-Related, Animals, Veterinary Services	No kill animal shelter, hundreds of animals served, elderly					The first program is adoption which is part of the shelter operations: total expenses for the shelter are $1,294,885. The largest expenses are 1)medical services - $244,787, 2)medical supplies - $93,300, 3)supplies - $76,754, 4)program salaries - $464,078. Total of these expenses are $878,919. This represents over 67% of total expenses of $1,294,885.   the next program is the low cost clinic: total expenses are $849,889. The largest expenses are 1)medical services - $61,746. 2)medical supplies - $187,627. 3)program salaries - $432,087. Total of these expenses are $681,460. This represents over 80% of total expenses of $849,889,  the third program is outreach: total expenses are $40,519. The largest expenses are 1)medical services - $26,745, 2)medical supplies - $3,129, 3)contract labor - $2,775. Total of these expenses are $32,649. This represents over 80% of total expenses of $40,519.   other smaller program expenses including cattery					
Mesa County Land Conservancy Inc	http://www.mesalandtrust.org	(970) 263-5443	EIN 74-2155358	1006 Main St	Grand Jct	CO	81501	USA	Environment, Land Resources Conservation	Conserving agricultural heritage, wildlife habitat, and natural lands in and around mesa county for public's benefit.					Land protection & stewardship - to negotiate conservation easements with private landowners and conserve land for agricultural heritage, wildlife habitat, and natural land for perpetuity for public's benefit. Land trust staff stewardship activities include monitoring easements for compliance with easement terms and conservation values, and defending easements, if necessary, through legal action. Revenue does not include a grant receivable of $83,525 to reimburse the land trust for an internal loan made to complete a conservation easement acquisition.   outreach & education - to reach out to the community, organizations, and other points of contact to educate them on the mission and purpose of the land trust for public's benefit.					
Colorado Children's Chorale	http://www.childrenschorale.org	303-892-5600	EIN 84-0682417	2420 W. 26th Ave Ste 3350-D	Denver	CO	80211	USA	Arts & Culture, Arts Education, Singing & Choral Groups	The Colorado Childrens Chorale presents professional choral concerts and educational programs that entertain, inspire and bring joy to audiences and communities. Children of all ethnicities and socio-economic backgrounds thrive in an engaging, disciplined and nurturing environment in which they receive an outstanding music and performance education as well as the skills, experiences, and confidence to succeed wherever their lives may take them.				Denver metro area, Colorado and surrounding states, nationwide	Production of concerts and performances by children including preparation in training camps and weekly rehearsals: the chorale performed 6 public concerts in the denver metro area with attendance of 6,479 adults and children; 18 concerts in the denver metro area and beyond with attendance of 31,663 adults and children; and, 21 school shows and workshops in the denver metro area and beyond with attendance of 5,893 children and teachers. 441 chorale members received 57,557 hours of performance and music training. 383 elementary school students in under-resourced schools received 14,880 hours of performance and music training.					
Yobel International	http://yobelinternational.org		EIN 27-1736236	27 S Sierra Madre St	Colorado Springs	CO	80903	USA	International, International Relief	Alleviate global poverty					14 awareness events hosted impacting 734 americans  166 emerging entrepreneurs received business training in the developing world  30 americans traveled on service and education based exposure trips  other program services					
Orphans Tree Inc	http://www.orphanstree.org	(719) 359-8449	EIN 26-2733214	PO Box 62904	Colorado Springs	CO	80962	USA	International, International Development	Bringing the benefits of family and God's hope to Russian orphans when they are most alone.		Orphans who have aged out of orphanages		Russia	Life skills training and mentoring. Orphans Tree provides steady support to Russian orphans, ending multigenerational cycles of isolation, poverty and orphanhood.					
Colorado Organization for Victim Assistance	http://		EIN 84-0972509	2460 West 26TH Avenue Suite 255-C	Denver	CO	80211	USA	Human Service Organizations, Human Services, Mental Health, Mental Health & Crisis Intervention, Victims Services											
National Mill Dog Rescue	http://milldogrescue.org	719 445-6787	EIN 26-0574783	PO Box 88468	Colorado Spgs	CO	80908	USA	Animal Protection & Welfare, Animals	To rescue, rehabilitate and rehome discarded breeding dogs and to educate the general public about the cruel realities of the commercial dog breeding industry.  National Mill Dog Rescue was established in February 2007, in honor of a forgiving little Italian Greyhound named Lily. Theresa Strader, NMDRs Founder, rescued Lily from a dog auction in Missouri. Prior to that day, Lily had spent the first seven years of her life as a commercial breeding dog, a puppy mill mom. Determined that her years of living in misery would not be in vain, Strader started NMDR, giving a voice to mill dogs across the country.	As of May 2016 National Mill Dog Rescue has saved 10,727 puppy mill survivors.	the puppy mill dogs and to educate the public about the cruel reality of the puppy mill industry.		We work to rescue, rehabilitate and rehome discarded commercial breeding dogs	Rescue Program Veterinary Care Program Animal Care & Rehabilitation Program Adoptions Program Education & Outreach Program					
Global Refuge International	http://globalrefuge.org		EIN 01-0833397	5613 Olde Wadsworth Blvd	Arvada	CO	80002	USA	Disaster Aid, Disaster Preparedness & Relief Services	To provide refuge to those displaced by persecution, poverty and disaster worldwide.				Burma and Uganda as well as those areas affected by disaster worldwide.						
Alums and Friends of GW	http://gwhs.dpsk12.org/alumni.php		EIN 20-8455645	655 So Monaco Prkwy Library PO Box 460595	Denver	CO	80246	USA	Alumni Associations, Education, Human Service Organizations, Secondary & High Schools	To support George Washington High School in Denver, Colorado and its students through grants for classroom equipment and materials, library collection, faculty development, and building improvements. We plan to make grants to help GW continue successful academic, creative programs if school budget shortfalls threaten the discontinuance of any such program.    We will provide encouragement of new projects and programs developed by or recommended by students, teachers, and administrators, and will work towards building a mentoring program in co-operation with other charitable organizations.										
Realities For Children	http://www.realitiesforchildren.com	9704849090	EIN 84-1411828	1610 South College Avenue	Fort Collins	CO	80525	USA	Children & Youth, Children & Youth Services, Emergency Assistance, Family Services	The mission of Realities For Children is to provide for the unmet needs of children who have been abused, neglected or are at-risk by uniting local businesses, youth agencies and community in collaborative and mutually beneficial service.    With the support of our Business Members and partnership with 31 Affiliate Youth Agencies, we are creating a safety net for thousands of local children who have been abused, neglected or are at-risk... Because No Child Should Be Forgotten!		Youth who have been neglected, abused, or are at-risk.	over 4,000 children.	Larimer County, Colorado	Triumph College Scholarship Awards, Keeping Dreams Alive Awards, Kids Matter, Back To School supplies, Bikes for Tykes, Santa's Workshop, Nightlights, monthly youth activities, funds for emergencies.					
Judaism Your Way	http://www.judaismyourway.org	303-320-6185	EIN 46-0517841	3030 E 2ND Ave #107	Denver	CO	80206	USA	Judaism, Religion	JYWs mission is to offer innovative opportunities to connect Jewishly for Jews and their loved ones	Over the last 12 months we have touched the lives of more than 2000 people through our programs and lifecycle event services. Our email list of those interested in hearing about our offerings has grown to more than 1600.	* those not affiliated with existing institutions,     * those otherwise disengaged from active Jewish life,     * interfaith couples and families,     * LGBT individuals, couples, and families     * Jewish-plus individuals and families, that is, those whose spirituality and identity encompasses more than Judaism, and     * individuals and families of all financial means		Greater Denver/Boulder Metro Area	Provide life cycle events in jewish lives ranging from the celebration of birth to death and all holidays found on the jewish calendar; to provide the necessary spiritual counseling addressing jewish laws and customs and education regarding living a jewish life.					
Ralston House	http://www.ralstonhouse.net	(720) 898-6745	EIN 84-1222085	10795 W 58th Ave	Arvada	CO	80002	USA	Child Abuse Prevention, Community Improvement & Capacity Building, Crime & Law, Domestic Violence, Family Violence Shelters, Homeless & Housing, Sexual Abuse Prevention	The mission of the ralston house is to provide professional, comprehensive services for sexually, physically and/or emotionally abused children and their families in a safe place, so they can share their stories and begin to heal.					Ralston house serves child victims of sexual assault. Services provided to these children and their families include victim advocacy, forensic interviews, professional referrals, pediatric sexual assault exams, information/resources, family support and case management.					
Pandas International	http://www.pandasinternational.org	303-933-2365	EIN 84-1544557	PO Box 620335	Littleton	CO	80162	USA	Animal-Related, Animals, Protection of Endangered Species, Veterinary Services, Wildlife Sanctuaries	The mission of Pandas International is to ensure the preservation and propagation of the endangered Giant Panda.  By providing public awareness and education, support for research, habitat preservation and enhancement, and assistance to the Giant Panda Centers in China. The Giant panda is one of the most delightful and captivating of animals, yet one of the most endangered species in the world. The best scientific estimates place the number at only approximately 1,600.	Great Green Project- Pandas International has embarked on a bamboo replanting project to mitigate the disastrous effects of the 2008 earthquake on the Giant Pandas primary food source, and, to replenish bamboo lost as a result of floods, landslides and unusually heavy snows during the years following the earthquake. Pandas International is committed to a sustainable approach for providing food, shelter and safe migration corridors for the Giant Panda as part of its belief that without sustainable habitats and a plentiful food supply, the opportunities for achieving its mission will be dramatically diminished. Pandas International also provides annually a special formula to the panda nurserys for the young cubs.  We also send medicines and vaccines, medical equipment, veterinary supplies, and provide advanced training for staff.				Direct Suport of  the Panda Centers at Wolong and Bifengxia					
Colorado Families for Hands & Voices	http://www.cohandsandvoices.org	719-650-3159	EIN 84-1393822	PO Box 3093	Boulder	CO	80307	USA	Ear & Throat Diseases, Health	Colorado Families for Hands & Voices is dedicated to supporting families with children who are Deaf or  Hard of Hearing without a bias around communication modes or methodology. We're a parent- driven, non-profit organization providing families with the resources, networks, and information  they need to improve communication access and educational outcomes for their children. Our  outreach activities, parent/professional collaboration, and advocacy efforts are focused on enabling Deaf and Hard-of-Hearing children to reach their highest potential.	Along with two partner nonprofits, we co-authored the Seven Agreements for Closing the Gap in Colorado's Deaf Education. We are excited that we had so much support from parents, professionals, and organizations on this work. We will be releasing an updated Colorado Resource Guide for all parents of deaf/hard of hearing children in 2016. We updated the Parent Funding Toolkit in 2014 for funding and insurance appeal information for hearing aids and other equipment, and will be updating it in the fall.   More than 300 families received personal parent to parent support through phone calls or home visits for their young children with hearing loss last year.	Serving families raising children with any kind of hearing loss from birth to age 21 in the state of Colorado, along with collaboration with the professionals who serve them.	over 1200 families and professionals, with approximately 150 new family contacts each year.	Statewide in Colorado, with experienced parent mentors both statewide and regionally, including a Spanish speaking parent guide.	Guide By Your Side Program Advocacy Support and Training (ASTra Program)  Parent to parent networking, resources, and support from experienced families who also have a child who is deaf or hard of hearing Informational support for professionals and school districts.  OUR Children's Safety Project					
Light Gives Heat Inc	http://www.lgh.tv	(970) 242-1958	EIN 26-2107370	2507 Weslo Ave	Grand Jct	CO	81505	USA	Economic Development, International, International Economic Development, Microfinance	Global empowerment through film and commerce, spreading economic sustainability globaly					In 2014 the hansow's shared their story with the conscious millianaire reaching more than 100,000 viewers. The huffington tpost named them as one the top 5 entrepreneurs  lghtv and the find webseries - focus on telling the stories of those taking risks, acting in love, and changing their communities on a daily basis.					
Relationship Resources Inc	https://relationshipresources.org		EIN 84-1512197	PO Box 62454	Colorado Spgs	CO	80962	USA				missionaries and others in ministry		worldwide	books and training empowering them for greater success in their ministries.					
Salvation Army	http://		EIN 84-0402712	1370 Pennsylvania St	Denver	CO	80203	USA												
Prairie Wildlife Research, Inc.	http://www.prairiewildlife.org	970.219.1659	EIN 46-0462687	PO Box 308	Wellington	CO	80549	USA	Animals, Biological & Life Sciences, Environment, Protection of Endangered Species, Wildlife Preservation & Protection	In order to live with our wildlife resources effectively, managers require quality information with which to make management decisions. Prairie Wildlife Research works with government agencies, non-governmental organizations, universities and private landowners to obtain high quality wildlife data and translate that data into effective management. We do not lobby politically or attempt to influence legislation through campaigns. Our partnerships create effective solutions to wildlife management problems.				North America	Black footed ferret monitoring and recovery of endangered species. Monitoring of other prairie wildlife species and monitoring of disease agents that threaten endangered animals.					
