name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Target demographics	Geographic areas served	Programs	Mission	Results	Direct beneficiaries per year
Society Of Mayflower Descendants In State Of Ri & Prov Plantations	http://		EIN 23-7159762	314 Pine Hill Rd	Wakefield	RI	02879	USA							
Karf & Ida Schmidt Brown Memorial Fund Tr	http://	(888) 866-3275	EIN 06-6104482	Po Box 1802	Providence	RI	02901	USA							
Oasis International	http://	(401) 421-1252	EIN 05-0470205	600 Broad St	Providence	RI	02907	USA	Unknown			Youth program  health care program  financial litteracy program	Promote multi cultural recognit		
Pemberton Place Housing Corporation	http://	(401) 423-1561	EIN 22-3022656	45 Pemberton Avenue	Jamestown	RI	02835	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors			Operation of a 12 unit elderly housing complex subsidized by hud under sections 8 and 202 of the us national housing act.	Provide housing for low and moderate income persons, specifically a 12 unit hud subsidized elderly complex		
Rhode Island 4-H Club Foundation Inc	http://	(401) 874-7143	EIN 05-6016234	Po Box 1925	Kingston	RI	02881	USA				Student scholarships  animal programs  other 4-h programs  various programs	Educational programs		
Volunteer Center Of Ri	http://www.vcri.org		EIN 51-0166799	55 Bradford St Ste 302	Providence	RI	02903	USA	Human Services, Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations, Public & Societal Benefit, Voluntarism Promotion				We promote volunteerism statewide, connect people to community needs and train volunteers and their managers to be more effective.  Specific programs target families, busy professionals with limited volunteer time, and senior citizens.  We also manage volunteers during times of disaster.		
The National Society Of Colonial Dames In The State Of Rhode Island	http://	(401) 596-2714	EIN 05-6010439	60 Elm St	Westerly	RI	02891	USA				Preservation & restoration of buildings, manuscripts, relics, and traditions associated with the early history of the united states.	Preservation & restoration of buildings, manuscripts, relics, and traditions associated with the early history of the united states.		
Roger Williams Medical Center	http://www.rwmc.org	(401) 456-3312	EIN 05-0258959	951 N Main St	Providence	RI	02904	USA				Patient healthcare services - roger williams medical center provides medical care to patients, a multi-disciplinary approach to the treatment of cancer, surgical services, dermatology, diagnostic imaging, laboratory services, gastroenterology, emergency room facilities and other ancillary services primarily to the rhode island community. *see schedule o*  direct research - roger williams medical center is home to scientists, researchers, and investigators actively involved in a variety of medical research activities. Research programs are supported by federal funds, external institution grants, and other sources. Awards received by roger williams medical center and its faculty include peer-reviewed grants from the national institutes of health and others. Current research includes a multitude of basic and clinical studies in cancer, which is a primary interest of the hospital. Currently, there are ongoing trials for a variety of cancers including head, neck, breast, prostate, gi, hematological malignancies, and others.   free care - per the medical center's public notice, roger williams medical center is proud of its commitment to provide quality care to all individuals who need it. The medical center provides financial aid to patients without insurance and who may not be able to pay for the care provided. *see schedule o*	Roger williams medical center is a 220-bed, acute care general hospital established to provide healthcare services in providence, rhode island and surrounding communities.		
Boy Scouts Of America Trust Fund	http://www.BSA.scouting.org/		EIN 04-6745235	PO Box 14777	East Providence	RI	02914	USA	Boy Scouts of America, Children & Youth, Named Trusts, Philanthropy				The Mission of the Boy Scouts of America is to prepare young people to make ethical choices over their lifetime by instilling in them the values of the Scout Oath and Law. To support Boy Scouts of America, visit www.give2bsa.org.		
The Guardian Angel Cat Haven Inc	http://		EIN 16-1767054	581 Trimtown Rd	N Scituate	RI	02857	USA	Animal Protection & Welfare, Animals						
Chopmist Hill Fire Department	http://		EIN 22-3406450	Po Box 415	N Scituate	RI	02857	USA	Disaster Aid, Fire Prevention						
Rhode Island Council For The Humanities	http://www.rihumanities.org	(401) 273-2250	EIN 05-0376246	131 Washington St 2nd Fl	Providence	RI	02903	USA				The rhode island council for the humanities (the council) marked several significant accomplishments during the 2014 fiscal year. The council continued its robust grantmaking program, awarding over $165,000 to 42 grant projects in support of public history, cultural heritage, civic education, and community engagement across the state. Overall, these investments leveraged more than $640,600 in additional sources of funding for the council's grantees. The council also opened access to the archive of grants with the launch of the 40th anniversary digital library, showcasing rhode island's culture, stories, and past humanities research that can inform projects today. The council forged strategic partnerships to develop a smartphone application, "rhode tour", which will broaden public access to rhode island's compelling local history. The council completed the first year of "catalyzing newport", an initiative to convene cultural and historical organizations in newport in order to build audiences, expand access to the city's history, and contribute to newport's economic development. The council also convened rhode island cultural, historical, and community leaders for "humanities lab: a community strategy session" to imagine a future catalyzed by public humanities. With the input of over 80 participants, the council released a five-year strategic plan outlining a renewed mission statement and strategic objectives to advance the humanities sector in rhode island. The rhode island center for the book's 2014 reading across rhode island program selection, "mr. Penumbra's 24-hour bookstore" by robin sloan, connected thousands of rhode island readers through intergenerational programming at schools, libraries, businesses, bookstores, and senior centers. The center for the book also engaged over 700 rhode island students in grades 4-10 in the letters about literature reading promotion program, distributed over 600 copies of the 2014 kids reading across rhode island selection, "escape from mr. Lemoncello's library" by chris grabenstein, to rhode island families, and hosted the 2014 art of the book series "mine! Ownership marks from curses to book plates. "expansion arts, a joint program of the rhode island foundation, the ri state council on the arts, and the council, provided consultation, development, and technical assistance to community-based arts and humanities organizations, and marked the graduation of a cohort of four organizations that completed three years of participation in the program. The council expanded its recognition for excellence in the humanities through four awards presented at the 2014 celebration of the humanitites, held at the biltmore hotel grand ballroom. Over 400 community members, board directors and alumni, grantees, government leaders and leaders of arts and cultural institutions gathered to celebrate the achievements of the humanities in rhode island.	The mission of the rhode island council for the humanities is to inspire and support intellectual curiosity and imagination in all rhode islanders. Founded in 1973, the rhode island council for the humanities is a state affiliate of the national endowment for the humanities. As a non-profit 501(c)(3), the council receives funding from federal, state and private sources.		
Exeter-West Greenwich Youth Basketball Association	http://		EIN 06-1491718	C/o Hernandez 375 Wiliam Reynolds R	Exeter	RI	02822	USA	Basketball, Sports			The ewg youth basketball association was created to provide a recreational basketball league for boys and girls in the communities of exeter and west greenwich between the ages of 5 and 18.   the ewg youth basketball association was created to provide a recreational basketball league for boys and girls in the communities of exeter and west greenwich between the ages of 5 and 18.	Recreational basketball		
Michael J Jones Scholarship Foundation Inc	http://		EIN 05-0470472	22 Bayberry Ln	E Greenwich	RI	02818	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Newport Rotary Charitable Foundation	http://		EIN 22-3025342	Po Box 164	Newport	RI	02840	USA	Philanthropy				Gives charitable donations to local and international benef		
Society For Preservation & Encourmt Of Barbershop Quartet Singing Amer	http://		EIN 23-7068276	6 Colony Ct	Saunderstown	RI	02874	USA	Arts & Culture, Singing & Choral Groups						
Paws Watch	http://pawswatch.org/		EIN 05-0513435	Po Box 3711	Newport	RI	02840	USA	Animal Protection & Welfare, Animals, Veterinary Services			Provide trapping assistance to ri residents with free roamingferal stray or abandoned cats provided low cost veterinary services to sterilize 1700 cats in 2014	Reduce the overpopulation of cats		
Trust U/W Mary Alice Fitch 2-3576	http://	(888) 866-3275	EIN 04-6025499	Po Box 1802	Providence	RI	02901	USA	Health						
Little League Baseball Inc	http://www.littleleague.org/		EIN 05-0412714	41 N Capalbo Dr	Bradford	RI	02808	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports			Operation of little league program open to all children within certain age limits	Little league program		
Community Investors, Inc.	http://		EIN 22-3208199	80 Rodney Rd	Warwick	RI	02889	USA							
Ahepa Newport Foundation Inc	http://		EIN 31-1588067	10 Child St	Warren	RI	02885	USA	Education, Scholarships, Scholarships & Student Financial Aid						
South Providence Hebrew Free Loan Assoc	http://		EIN 05-0277510	400 Reservoir Ave	Providence	RI	02907	USA	Emergency Assistance, Human Services			Give interest free loans to members who show the need	Give interest free loans to needed indiv		
Manna International Inc	http://	(401) 254-9651	EIN 51-0448451	20 Andrews Ct	Bristol	RI	02809	USA	Philanthropy, Public Foundations			Rock church educational foundation: at risk children who come from impoverished backgrounds are brought to our facilities. Here the children are fed, clothed and educated.   rock church ministries india - childcare, education, relief, health clinics, rural care, spiritual education and media.   arunodaya ministries india - spiritual educational programs thru media  childcare, spiritual education, relief and development, and leprosy work	To promote and propagate the gospel of jesus christ. To establish, maintain and assist orphanages, family care and child care programs,nursing homes, leprosarium, hospitals, clinics. To engage in relief and development projects in underdeveloped areas.		
Grace Church Housing Corporation	http://	(401) 861-7524	EIN 05-0375300	280 Washington Street	Providence	RI	02903	USA				Pursuant to the organization's articles of incorporation, all net assets of the organization were distributed upon dissolution to grace church in providence, an exempt organization under section 501(c)(3) of the internal revenue code.	The organization's primary exempt purpose is to provide rental housing to the elderly and disabled and low income families.		
Transitions Foundation Of Guatemala Inc	http://www.transitionsfoundation.com		EIN 22-3749558	1625 Hill Farm Rd	Coventry	RI	02816	USA	Centers to Support the Independence of Specific Populations, Health, Health Care, Homeless & Housing, Housing Rehabilitation, Job Training, Sheltered Employment				In the aftermath of three decades of civil strife and armed conflict, Guatemalans are involved in the process of rebuilding society.   Presently, Guatemala continues to be a violent environment where crime, transit and industrial accidents are commonplace.  Whirlwind Wheelchair International estimates that over 55,000 physically disabled persons need to use wheel chairs in Guatemala.  Of this group 20,000 are young adults and children who require a wheel chair for active use at school, work and for social integration.  Due to poor or non-existent medical care, rehabilitation programs, therapeutic devices, housing, education and vocation opportunities many disabled persons confront a secluded and despairing existence.		
Roman Catholic Bishop Of Providence	http://		EIN 05-0258960	1 Cathedral Sq	Providence	RI	02903	USA	Religion, Roman Catholic						
Codac Inc	http://codacinc.org	(401) 461-5056	EIN 05-0414696	1052 Park Ave	Cranston	RI	02910	USA	Mental Health, Substance Abuse Treatment			The methadone maintenance program is a medicated assisted treatment center which provided services to approximately 2,700 patients throughout the year.   the substance abuse treatment is a general outpatient treatment program which provided services to approximately 2,600 patients throughout the year.   the substance abuse prevention program provides service to three school systems including over 400 students.	The organization's purpose is to provide the highest standard of care, comprehensive resources, and compassionate services for the prevention and treatment of, and recovery from, the impact of substance abuse and other related behavoirs.		
Trust Uw Marshall Simonds	http://		EIN 04-6032675	Po Box 1802	Providence	RI	02901	USA							
May M Vert Park Fund	http://		EIN 14-6014135	Po Box 1802	Providence	RI	02901	USA							
Lizzie M Davenport Trust Uw	http://	(888) 866-3275	EIN 04-6036936	Po Box 1802	Providence	RI	02901	USA							
100 Club Of Rhode Island Inc	http://		EIN 23-7179478	222 Chestnut St	Providence	RI	02903	USA					Benefits and scholarships to children		
Junior Achievement Of Rhode Island	http://		EIN 05-0263443	57 Greene St	Warwick	RI	02886	USA	Economic Development, Education, International, International Economic Development, Microfinance				We are the passionate people behind a movement that seeks to educate and inspire young people to value free enterprise, business and economics to improve the quality of their lives.		
Barrington Christian Academy	http://www.bcacademy.org	(401) 246-0113	EIN 05-0425477	9 Old County Rd	Barrington	RI	02806	USA	Education, Elementary & Secondary Schools, Literacy, Primary & Elementary Schools			The accredited regional school serves more than 200 boys and girls in grades kindergarten through grade 12.	Our mission is to train and nurture students in a caring environment committed to high standards, to encourage them in the development of their God-given gifts and abilities, to prepare them to be successful in rigorous high school programs, to equip them to live fulfilling lives of service to God and their neighbor, and to support parents in their God-given responsibility to educate their children.		
Ralph Lerche Tr Fbo N E Kurn Hattin Homes 30021877	http://	(888) 866-3275	EIN 22-3118030	Po Box 1802	Providence	RI	02901	USA							
Doreen A Tomlinson Foundation	http://		EIN 22-2863715	9 Blue Mist Dr	Manville	RI	02838	USA							
Resourceful Family Of Rhode Island, Inc.	http://		EIN 22-2522566	6 Ruthven St	Providence	RI	02906	USA							
May M Vert Memorial Fund	http://	(888) 866-3275	EIN 14-6014134	Po Box 1802	Providence	RI	02901	USA							
Hopkinton Historical Association Inc	http://		EIN 22-2596534	Po Box 37	Hopkinton	RI	02833	USA	Public & Societal Benefit						
2 Hands 4 Paws	http://2Hands4Paws.org		EIN 27-0484385	3970 Post Rd	Warwick	RI	02886	USA	Animal Protection & Welfare, Animals			Provide short-term foster care for pets whose families have lost their homes due to foreclosure, eviction, or disaster. Short-term care is also available for pets whose sole caregivers are hospitalized for an extended period.	Our mission is to provide short-term care for pets whose families are temporarily unable to care for them.		
Rhode Island Public Radio	http://www.ripr.org	(401) 351-2800	EIN 05-0498502	One Union Station	Providence	RI	02903	USA	Philanthropy, Public Foundations			We have accomplished a great deal in 2015 and continue to produce first-rate journalism and public programs that reach audiences across rhode island. Our dedicated reporting beats cover education, the environment, health care and politics. Specific areas of focus included the opioid crisis, hepatitis c and accountability issues at the ri department of children, youth & families. Other coverage included debates over arming university police officers and funding for charter schools. Through an ongoing series, "battle with the sea," rhode island public radio is examining the range and scope of rising sea levels and extreme weather related to climate change. Our political roundtable team brings in the state's top decision-makers and politicos each week. Through our partnerships with other institutions and nonprofit organizations, we have expanded our reach and engaged listeners. Ripr is part of the new england news exchange. Our stories are shared and aired on other stations in new england, and in turn, we have access to their reports. We work together to ensure that new englanders are informed about issues around the region. Each year we partner with the providence athenaeum to produce one or two public forums on topics critical to our community. This year the topic was revenue and renewal: raimondo's first two months in office and the challenge of balancing the state budget. Our political roundtable team talked about whether the first woman governor was living up to her promises and how the state can generate more economic development. The built-in question and answer (q&a) segment allows community members to engage with the subject matter and have their voices heard. This year we also produced a public forum on the question of public subsidies for a baseball stadium, which was hosted by brown university. To reach an even larger audience, our forums are recorded live for broadcast at a later date and are also available on our website. Each summer we host a one day pledge drive to benefit the rhode island community food bank. The money we raise is matched by the rhode island foundation and given directly to the food bank. This year more than $14,000 was raised by this partnership	To provide quality journalism and compelling storytelling that informs, educates, and inspirescommunity.		
