name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Direct beneficiaries per year	Target demographics	Geographic areas served	HandReach works at three levels:	Individuals:	Institutions:	Society:	TO	GirlsEyeView	Get Up Get Down	Video Vanguards
Circle of Women	http://www.circleofwomen.org	(917) 207-5627	EIN 20-4576506	P.O Box 381365	Cambridge	MA	02238	USA	International, International Development	We mobilize students to provide access to education for girls without it.  We collaborate with communities eager to implement innovative, sustainable, and localized solutions to increase girls access to secondary schools. In doing so, we cultivate a new generation of global citizens by providing students at home with hands-on opportunities in organizational leadership, fundraising, and project management.  We also raise public awareness about the health, education, and interests,  so that our project becomes a global exchange of information and resources.	Provided funds to barli development institute for rural women, which educates rural, village and tribal women who have not had the opportunity to receive secondary education, to build classroom, computer room and dormitory space for 50 additional students.   provided funds to daraja academy, a free boarding secondary school for girls in east africa, to create additional dormitory housing for 5th year transition students and four secondary classes. Funds also provided for multi-use common room to be used for testing, seminars, study hall and speakers as well as for other social and recreational events.	In 2009, after 18 months of construction and fundraising about $180,000, Circle opened the doors to its first girls school. The two-story building has twelve classrooms that service the community as a gathering place after school hours. Local leaders registered the school with the Afghan Ministry of Education and designed the curriculum after state standards.  In 2010, after the major earthquake hit Pakistan and badly damaged the local secondary school for girls,  Circle of Women, in partnership with the Nathiagali Residence Committee, embarked on a large-scale re-building of the girls school involving the construction and installation of four new bathrooms and a septic tank, a computer lab, two drinking water tanks and a library.  Currently, Circle of Women is building a boarding house in Cumbum, India, to increase access to education for girls who would otherwise have to stay at home because of recent increases in reports of sexual assault, and the single-sex (male-only) policy of many local hostels.											
Friends Of Payir Inc	http://		EIN 61-1642735	39 Anderson Way	East Walpole	MA	02032	USA	International, International Development														
Trustees Of Tufts College	http://www.tufts.edu	(617) 627-3264	EIN 04-2103634	62r Talbot Ave	Medford	MA	02155	USA	Education, Universities	Tufts university's focus on innovation and progressive thinking took root at its founding as a liberal arts college in 1852. Today, tufts undergraduate, graduate and professional schools are recognized for their dedication to educating new leaders for our changing world, and tufts is recognized among the most selective academic and research universities in the united states. Superb teaching and world-class research equip tufts graduates to address multi-faceted challenges around the globe. Creative cross-school collaborations and multidisciplinary centers engage students in seeking solutions to complex economic, health, political and environmental issues even before they graduate. A growing number of innovative research initiatives and joint degree programs are available for both undergraduate and graduate students in liberal arts, sciences and engineering and the university's graduate and professional schools.	Instruction - during the 2013-2014 academic year, the following degrees were conferred: 1,389 undergraduate, 1,376 graduate and 482 professional.   research -there were 1,448 government and 688 non-government grants active in fiscal year 2014. Sponsored research at tufts was performed in the medical, dental, and veterinary schools as well as in the basic science departments of arts & science & engineering. Research is also being performed at the usda human nutrition research center on aging. Also, clinical and other research activities include 30 clinics that are operated by the dental and veterinary schools to train students and support their research. Other educational activities include, among others, veterinary school newsletters and continuing education programs for health school professionals.   auxilliary enterprises - activities primarily consist of services for students, including student housing, dining services and health services. During the 2014 fiscal year there were 42 residence halls housing 3,462 students. Approximately 4,212 meal plans were sold to students each semester.												
Lowell Parks and Conservation Trust, Inc.	http://www.lowelllandtrust.org	978-934-0030	EIN 22-3070912	PO Box 7162 street: 660 Suffolk St. Suite 120, Lowell, MA 01854	Lowell	MA	01852	USA	Environment, Environmental Beautification, Natural Resources Conservation & Protection	The Lowell Parks & Conservation Trust's mission is to improve the quality of life for the people of Lowell through the creation, conservation, and preservation of parks, open spaces and special places.	urban forestry, youth and adult environmental education, whitewater rafting, land protection, historic preservation		over 300 youth receive after-school STEM-based environmental education; plant169 trees; and hosted 41 events which 2,550 attended.	Improve the quality of life for the people of Lowell through the creation, conservation, and preservation of parks, open spaces, and special places.	Lowell, MA								
Strongwater Farm Therapeutic Equestrian Center	http://www.strongwaterfarm.org	978-851-5540	EIN 04-3436653	500 Livingston St	Tewksbury	MA	01876	USA	Animal-Related, Animals, Equestrian, Health, Mental Health, Mental Health Associations, Rehabilitative Care, Sports	STRONGWATER FARM Therapeutic Equestrian Center strives to enrich lives through the healing power of horses. The mission is to enhance and enrich lives by providing education, social opportunities and emotional support for its communities through equine assisted activities and therapies.	After School Enrichment, Autism Rides, Change of Lead, Freedom Riders, Home School Program, Hospice, Pegasus Employee Assistance, Stable Friendship, Strides in Reminiscing, Therapeutic Riding		approximately 150 people weekly	children, youth, adults, seniors, people with all ability levels, and Veterans and their families	Tewksbury, the Merrimack Valley, Greater Lowell area								
AMERICAN FRIENDS OF GEORGIA INC	http://www.afgeorgia.org	1-508-349-2180	EIN 13-3797759	PO Box 1200	Truro	MA	02666	USA	International	Providing humanitarian assistance, education, medical care and rehabilitation for the most needy children and elderly in the country of Georgia since 1994.	The first Hospice in Georgia. Housing and education for street children. Day Care and early education for abandoned children in poverty.	120 Street children raised and 25 sent to higher education schools 107 Ill Elderly cared for. Improved care for children with leukemia. and more.. please see our website www.afgeorgia.org	107 Ill Elderly Persons and 120 Street Children and more...	vulnerable children and elderly	the Country of Georgia								
KESTREL EDUCATIONAL ADVENTURES	http://www.kestreleducation.org	(978) 515-7177	EIN 06-1703921	186 Main Street	Gloucester	MA	01930	USA	Environment, Environmental Education	Natural science & ecological literacy education	School, afterschool and homeschool programs: natural science and ecological literacy programs, all including components taught at publicly accessible wild spaces. This year we taught over 1160 students in our school and homeschool programs.   summer programming: this year we developed our own kestrel summer adventures nature-science programs, which, like school programs are designed as local nature science adventures, in addition to our summer partner programs. We taught 42 students in five weeks of our own programming and 330 students in our partner programs.   expanding horizons partnership with salem public schools: kestrel designed and led extended day and afterscool programs at collins middle school in partnership with salem public schools and leap for education. Integrating nature and technology, the programs also fostered student interest in learning, leadership skills, and positive relationships with adults. We served 80 students												
Inspire Arts And Music Inc	http://www.iaminspired.org	(617) 268-4600	EIN 04-3081057	Po Box 51391	Boston	MA	02205	USA	Arts & Culture, Music, Performing Arts, Visual Arts	Youth activity-providing music education, travel, and performance opportunities for appoximately 150 teenagers and young adults.	Performances, camps, souvenirs and music festivals.												
North Country Sustainability Center, Inc.	http://www.northcountrysustain.org	978-252-5021	EIN 27-3902973	PO Box 914	Ashburnham	MA	01430	USA	Economic Development, Environment	to develop and promote the environmental, economic and cultural well being of North Central Massachusetts through education, building community, promoting traditional knowledge and re-purposing existing resources.	The Porch - a crafters outlet The Farmers Porch - a farmer's market outlet The SchoolHouse Gallery - an artist-run exhibit gallery Classes in Goat-keeping, Soapmaking, Crafting Holiday and Arts Fairs	In less than 2 years we have taken the seed of an idea and formed it formally, started offering programs, and leased a retired school building to begin operations.	1000 in our first year	families, farmers and residents of Central New England	Central Massachusetts, Southern Vermont, New Hampshire and Northern Rhode Island								
Newton San Juan Del Sur Sister City Project Inc	http://sanjuandelsursistercityproject.wordpress.com/adult-education/	(617) 482-4900	EIN 04-2955943	Rodney Barker  49 Wooodcliff Road 02461 Margaret M. Gullette 68 Pembroke Street 02458	Newton	MA	02458	USA	Education, International, Job Training, Promotion of International Understanding, Secondary & High Schools, Vocational & Technical Schools	Our mission is to empower the 18,000 far-flung people of San Juan to develop their education and skills and improve their health. Current programs include  maintaining school buildings, providing biosand filters and eco-stoves in the rural areas, and overseeing  the free High School for Adults/ Technical Institute.	Supplies and services exclusively for charitable activities for the relief of poverty in san juan del sur, nicaragua including construction of schools, educational and cultural programs.	By the end of this year the Free High School will have graduated 616 people. It enrolls about 700 every year, the most-underprivileged in the region.  Over 700 biosand filters have been given out.  We built or renovated 17 schools, including new pre-schools in rural villages.	In 2013, 681 people enrolled in our three high-school programs	Under-served low-income women and men who have been excluded from regular high schools	The 250-square mile area of San Juan del Sur  Nicaragua								
15-40 Connection, inc.	http://www.newcancerconversation.org	508.869.5200	EIN 26-2873903	53 Otis Street PO Box 1153	Westborough	MA	01581	USA	Cancer, Health	Cancer takes the lives of more 15 to 40-year-olds than any other disease. The mission of the 15-40 Connection is to create awareness that improvements in teen and young adult cancer survival rates have remained near 0% since 1975 and to promote health awareness, self-advocacy and action to provide this age group with the life-saving advantage of early detection.	Education, empowering people to recognize cancer symptoms & overcome obstacles that delay diagnosis & cost lives.			15-40 year olds	Global								
Oxfam America	http://www.oxfamamerica.org	(617) 482-1211	EIN 23-7069110	226 Causeway Street Fifth Floor	Boston	MA	02114	USA	International, International Agricultural Development, International Development, International Relief, Refugees		Regional ProgramsOxfam works with local organizations, providing funds and empowering poor people to play a central role in the development of their families, communities, and regions. Policy & AdvocacyOxfam combines research, advocacy, and campaigning to engage world public opinion and influence decision makers on behalf of people living in poverty. Public Education Oxfam fosters a broad understanding of the root causes of poverty and injustice and promotes the role each individual can play in a global movement for social change. Humanitarian Relief & RehabilitationOxfam provides immediate assistance to save lives in the event of a disaster. Once urgent danger passes, Oxfam continues to help people restore their livelihoods and prepare for future crises. Haiti Relief & Rehabilitation EffortsOxfam has received $97 million in aid, which has beenput towards a threeyear plan for disaster relief in Haiti. Oxfam's programsare targeting to reach more than 1,000,000 people across both our earthquake and cholera response  with clean water, sanitation, shelter, seeds and running cash for work programs. Oxfam is providing water and sanitation to more than 317,000 quake survivors andis also collaborating with the Haitian government agency responsible for civil protection on activity planning and community accountability issues.												
House Rabbit Network Inc	http://www.rabbitnetwork.org	(781) 431-1211	EIN 04-3503789	Po Box 2602	Woburn	MA	01888	USA	Animal Protection & Welfare, Animals	Caring for unwanted rabbits and providing rabbit education.	Provide care, shelter, and medical for discarded rabbits, provide publications, outreach, and education.												
Newburyport Preservation Trust Inc	http://nbptpreservationtrust.org		EIN 20-1258336	20 Ship St	Newburyport	MA	01950	USA	Arts & Culture, Historical Organizations		Hosted preservation week in newburyport including educational preservation lectures and presenting of awards conducted preservation advocacy to save town historic architecture  update newburyport historical information on the website conduted school class tours and lectures at loca powder house to over 400 students  completed most of the landscapting surrounding the powder house and the learning center												
REEL RECOVERY INC	http://www.reelrecovery.org	800-699-4490	EIN 91-2193394	160 Brookside Road Att: Stan Golub, Executive Director	Needham	MA	02492	USA	Cancer, Health, Health Support	Our mission is to help men in the cancer recovery process by introducing them to the healing powers of the sport of fly-fishing, while providing a safe, supportive environment to explore their personal experiences of cancer with others who share their stories.	Reel recovery provides a unique and innovative program of support and education to men in cancer survivorship. We conduct free 3-day fly-fishing retreats that blend outdoor activity with directed psychosocial support activities, to offer a relaxed, reflective environment for men to come together, share their stories and gain a network of support among people with common experiences. Fly-fishing and cancer. Why? To those of us with a passion for the sport and for the outdoors, the connection is easily understood: life's troubles drifting away as we focus on rod, fly and rising trout; the peace and serenity we receive from the healing connection with nature; the power of friendship as we stand with a fishing buddy and share the day's triumphs and failures. For people with cancer, a day or two on a stream brings relief from their suffering, and hope for their future. Reel recovery is dedicated to providing cancer patients with information, education and a network of support that will help them as they proceed through their cancer treatment and/or recovery. We are directly enhancing their ability to learn about and manage their disease. We provide participants an opportunity to gain new insights about living with cancer and about coping with the psychological, social and emotional aspects of having the disease. Our participants learn about treatment options, navigating the healthcare system, facing mortality, coping with stressful family and work related situations - in sum the whole gamut of experiences that life with cancer entails. By learning from others in similar situations, our participants can gain a fresh perspective about their disease and renewed hope about fighting and surviving it. Reel recovery has grown from our boot-strapped beginnings in 2003, to a thriving, successful non-profit, that has now offered a total of 182 retreats in 19 states, all completely free to the participants, serving well over 2,000 men. 25 retreats were conducted in 2014, serving approximately 300 men. By all our measures, every single retreat has been a success, providing a powerful, meaningful and enjoyable experience for the men served. We have succeeded with a very lean budget and low overhead, with only two full-time staff members, teamed with a very active board of directors and a dedicated crew of over 600 active volunteers across the country.												
Community Legal Services And Counseling Center Inc	http://www.clsacc.org	(617) 661-1010	EIN 04-2470335	1 West St	Cambridge	MA	02139	USA	Community Mental Health Centers, Crime & Law, Domestic Violence, Legal Services, Mental Health, Spouse Abuse Prevention	Agency provides free civil legal aid & affordable psychological counseling to low income people. Staff & volunteer professionals work to combat effects of poverty and violence by helping clients meet their families' needs for safety, income, health & housing	The legal program provides free civil legal aid to clients whose income is at or below 125% of federal poverty level. The program provides a full range of services from advice to representation in complex litigation. Cases are handled in the areas of family law and domestic violence, housing and homelessness prevention, disability benefits, and immigration and refugee rights (including political asylum cases and relief for battered immigrants). Services were provided to 952 clients by a staff of 3 full-time and 3 part-time attorneys and a bilingual paralegal, and 89 volunteer lawyers, law students, paralegals, interpreters and asylum evaluators. Attorneys also conduct community legal trainings and collaborate extensively with community partners. Legal program staff make client referrals to the in-house counseling program as needed and frequently consult with counseling program staff to better meet clients' legal needs. Total donated hours 11,013.   the counseling program offers affordable counseling to low income individuals who have difficulty gaining access to mental health services in the community, most of whom are struggling with poverty, social isolation, depression, or anxiety, and/or are working to overcome the effects of violence, torture, sexual abuse, and incest. The program provides short-term, long-term & intermittent counseling for individuals, groups, and couples. It conducts forensic psychological assesments of immigrant trauma victims who seek legal status in the usa and provides social work services for immigrant & refugee victims of crime & political trauma. Services are provided by a part-time staff psychologist, one part-time and one full-time staff social worker, and a team of 43 volunteer mental health professionals and 3 graduate students. 402 clients received services during the year, covering 2,176 appointments. 240 individuals referred to alternative settings to meet their mental health needs. Total donated hours 5,041.												
Home Away Boston Inc.	http://www.HomeAwayBoston.org	617-398-6458	EIN 45-5215923	250 1st Ave. #321	Boston	MA	02129	USA		The mission of Home Away Boston is to provide comfortable housing close to the hospital, a caring community of volunteers, and other services free of charge to families with critically ill children. Families coming from afar for their childrens medical care face enormous hurdles coping with the complexities of the health care system, extraordinary costs, and emotional and physical stress. Our objective is to remove some of the stress of daily living and so enable them to focus on their childs health and healing.	We cover the cost of rent and utilities in comfortable, family-friendly apartments. We also provide activities and emotional support to families during their stay.	Between October 2012 and October 2014, Home Away Boston welcomed 42 families into their apartments for a total of 1,736 nights. Hotels in Boston cost an average of $256/ night. This amounts to a cumulative savings of $444,416 or approximately $10,581 per family.	Each apartment hosts, on average, 8 families each year.	Families who have a child with a life-threatening medical condition who travel to Boston for medical care.	Families who travel to Boston from the U.S. and around the world.								
The Steppingstone Foundation	http://www.tsf.org	617-423-6300	EIN 04-3086666	One Appleton Street 4th Floor	Boston	MA	02116	USA	Education, Elementary & Secondary Schools, Literacy, Primary & Elementary Schools, Secondary & High Schools	Founded in 1990, The Steppingstone Foundation is a not-for-profit organization that develops and implements programs that prepare underserved students for educational opportunities that lead to college success. Based on the premise that, regardless of circumstance, children can achieve at high levels with effective preparation and support, Steppingstone programs emphasize rigorous standards and achieve meaningful results.	The Steppingstone Academy, the College Success Academy, the National Partnership for Educational Access	99% of Scholars who complete The Steppingstone Academy graduate from high school, 92% enroll at four-year colleges, and more than 80% earn their degree from a four-year college within six years.	1,600 Scholars and their families	Steppingstone supports families who dream of college for their children, but face serious obstacles. The average income for Steppingstone Academy families is less than $40,000 a year. Steppingstone Scholars commit in 4th or 5th grade to the hard work necessary to graduate from college. They enjoy challenges, thrive among other motivated classmates, and are typically the first in their families to earn a college degree.	Boston								
Network Health	http://www.network-health.org/	(888) 257-1985	EIN 80-0721489	101 Station Landing	Medford	MA	02155	USA	Group Health Practices, Health	Since 1997, we have been committed to our mission of improving the health and well-being of our members and their diverse communities. Today, as a Tufts Health Plan affiliate, we provide access to high-quality, comprehensive health care coverage to more than 215,000 residents who qualify for MassHealth, Commonwealth Care, and the Medical Security Program in more than 300 cities and towns across Massachusetts.   Our mission:  Our health plan improves the health and well-being of our members and their diverse communities.  Our vision:  Network Health is the plan of choice for MassHealth and Commonwealth Care members and providers. We are nationally recognized for our innovative programs and partnerships.  Our core values:  Our members come first.  Their health care needs guide all our decision-making.  Our partners are key to our success.  We partner with members, health care professionals, and community groups to advance excellence in care and service.  Our employees are our greatest asset.  We respect the worth of each employee. Our work environment promotes creativity, teamwork, professional growth, and a bias to action.  Our integrity is absolute.  We are good stewards of our resources while being socially responsive to the needs of the diverse communities we serve.  Our services are driven by quality.  We strive for continuous improvement and innovation in all that we do.	Operating as a nonprofit, we are one of six organizations contracted by the Commonwealth of Massachusetts to serve a portion of our states Medicaid and Medical Security Program population. We offer three health plans: Network Health Together (our MassHealth plan), Network Health Forward (our Commonwealth Care plan), and Network Health Extend (our Medical Security plan).	We offer an integrated care model, providing a team of in-house medical, behavioral health, social care, and pharmacy professionals to coordinate member care, and partner with more than 20,000 primary care providers, specialists, hospitals, and community organizations across Massachusetts.   We earned National Committee for Quality Assurance (NCQA) Excellent Health Plan Accreditation, NCQAs highest accreditation rating, for our Network Health Together plan. Since 2010, we have been ranked a top-10 Medicaid health plan nationally, according to NCQA's Medicaid Health Insurance Plan Rankings. Additionally, we are nationally recognized for our innovative programs, garnering a Case In Point Platinum Award for Best Overall Case/Care Management Program from Dorland Health, and for having the Top Leadership Team among health plans nationally from HealthLeaders Media.											
Massachusetts Business Alliance for Education Inc	http://www.mbae.org	617-737-3122	EIN 04-3274599	400 Atlantic Ave	Boston	MA	02110	USA	Education, Educational Services	The Massachusetts Business Alliance for Education (MBAE) is committed to excellence, opportunity and innovation in our public education system to prepare all students to engage successfully in a global economy and society.	advocating for statewide education policies that will achieve this goal.			all students have access to high quality public education that will prepare then for success in college and career	Massachusetts								
