name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Youth Leadership Task Force	National Schools of Character Program	National Schools of Character Expectations	From Competition to Meeting a Standard	An Achievable Path to Excellence
National Association of Railroad Passengers	http://www.narprail.org/	(202) 408-8362	EIN 36-2615221	505 Capitol Ct NE Suite 300	Washington	DC	20002	USA		THE MISSION OF THE NATIONAL ASSOCIATION OF RAILROAD PASSENGERS IS TO WORK FOR A MODERN, CUSTOMER-FOCUSED NATIONAL PASSENGER TRAIN NETWORK THAT PROVIDES A TRAVEL CHOICE AMERICANS WANT.			public education and legislative advocacy to bring about an expanded, more modern and customer-focused national passenger train network.	the traveling public						
Foundry Gallery Ltd	http://foundrygallery.org	(202) 463-0203	EIN 52-2236606	2118 8th St Nw	Washington	DC	20001	USA	Arts & Culture, Visual Arts	Educate and promote appreciation of fine arts.			Twelve months of art exhibits by members of the gallery. Exhibits from visiting artists from kurdistan.   "success as an artist" workshop  artists talks from director of public affairs, kurdistan regional government, donna mcgree, foundry artist and brian whelan, irish artist							
Central American Resource Center- Carecen	http://www.carecendc.org	(202) 328-9799	EIN 52-1271888	1460 Columbia Road Nw No C-1	Washington	DC	20009	USA	Ethnic &  Immigrant Centers, Homeless & Housing, Homeowners & Tenants Associations, Human Service Organizations, Human Services, Immigration	Promote the comprehensive development of the latino/central american community in the washington metropolitan area by responding to its changing needs as they deepen their roots in the united states. The central american resource center's mission is to provide direct services in immigration, housing and citizenship while also promoting employment, civil rights advocacy, and civic training for the latino community in the washington metropolitan region.			Legal and conseling - provides immigration legal counseling and assistance in completing a variety of immigration applications including family petitions, adjustment of status, work permits, consulate processing, asylum and citizenship. Also provides court representation in certain cases, referrals to other legal service providers, and information services with regard to immigrant rights and immigration laws.   housing - provides technical assistance to tenants in forming tenant associations as well as comprehensive housing counseling, financial literacy, and credit counseling, pre-purchase and foreclosure prevention counseling, as well as paralegal assistance in tenant/landlord issues.   citizenship and civic participation - community empowerment, leadership traning, and educational workshops are offered to community members to educate them about language access, school systems, housing laws, citizen rights, and immigration laws. Served 506 individuals directly and approximately 60,000 on hispanic radio stations. In addition, there were three simultaneous classes conducted on saturdays, and one on tuesday for 10 weeks, to prepare individuals for the u. S. Citizenship exam  community support services (css) program, helps clients overcome and prevent common problems such as tax debts and workplace abuse. Community support services hosts three main activities: 1) a low-income taxpayer clinic that provides outreach and education to latinos on their rights and responsibilities as taxpayers; 2) a bilingual dispute resolution clinic on -site once a month in partnership with the d. C. Superior court and; 3) education, outreach and navigation services to victims of crime in d. C.							
Youth Service America	http://www.ysa.org	202-296-2992	EIN 52-1500870	1101 15th St NW Ste 200	Washington	DC	20005	USA	Children & Youth, Philanthropy, Voluntarism Promotion, Youth Community Service Clubs	Founded in 1986, YSA supports a global culture of engaged youth committed to a lifetime of service, learning, leadership, and achievement.  With half the worlds population under 25, our mission is to improve communities by increasing the number and the diversity of young people, ages 5-25, serving in substantive roles.	With young people serving at record rates, YSAs 2012-2013 program year was our biggest and best ever, with more kids taking real actions to improve their communities. Highlights include:  5,967 reported service projects in 135 countries through YSA programs.  715 YSA Grants worth $1,006,500 awarded to youth, schools, and organizations.  330,689 youth volunteers served 615,213 hours.  1.2 million people in 3,589 communities benefited from youth-led projects.  800+ organizational partners engaged worldwide.  1,300 school partners, including 137 Semester of Service grantees.  1,333 public officials attending or supporting projects.  1,300 local media stories about YSA grantees and GYSD participants.  1,440 people attended YSA Trainings.	International	The YSA program model ACTIVATES students and youth through campaigns like Global Youth Service Day and Semester of Service; FUNDS teachers, youth facilitators, and youth with YSA Grants; TRAINS teachers, youth facilitators, students, and youth with free resources, online and in-person trainings; and RECOGNIZES teachers, youth facilitators, students, and youth through awards, communications, and visibility campaigns.  Through YSAs programs, students and youth are presented with opportunities and support to lead community change through Awareness, educating others to change behaviors; Service, using their passion, creativity, and idealism to solve problems through volunteerism; Advocacy, to change policies and laws; and Philanthropy, generating and donating financial and in-kind support.	all youth, ages 5-25	millions of children and youth and the communities they serve.					
Catholics For Choice	http://		EIN 52-1154418	1436 U St Nw Ste 301	Washington	DC	20009	USA	Civil Liberties, Civil Rights, Reproductive Rights, Women, Womens Rights	Catholics for a Free Choice was founded in 1973 to shape and advance sexual and reproductive ethics that reflect a commitment to womens well-being, and respect and affirm the moral capacity of women and men to make sound and responsible decisions about their lives.			Through discourse, education, and advocacy, CFC works in the US and internationally to infuse these values into public policy, community life, feminist analysis, and Catholic Social thinking and teaching.  CFC researches, produces, and distributes a wide range of publications on reproductive health, theology, ethics, and other topics ($262,269).  CFC also provides education through publications, seminars and conferences to policymakers, the media, and the general public about issues related to pro-choice Catholicism ($143,143).							
Multitasking Hearts Corporation	http://www.multitaskinghearts.org		EIN 46-3905136	P.O. BOX 3145	WASHINGTON	DC	20010	USA		To help empower while providing needs, and support to children being raised by single parents. To enrich our community by bringing together a more stable outlook on our childrens futures and family values.		Washington, DC	Educational Needs, Day Care Payment Assistance, Tutoring, Scholarship Fund, Job Placement-Vocational Training, Health Care Screening, Mentoring Program, Fitness and Nutrition, Financial Literacy, Food Bank, Clothing and Personal Care, Family Planning, Domestic Violence and Rape Counseling, Rehab/Therapy Service, STD/AIDS Awareness, Low-Income and Temporary Housing  Prom Assistance, Summer Camp, Summer Internship Program, Community Service Program, High School Senior Scholarship Fund, and Extracurricular Activities Assistance	assist and provide support to children being raised by single parents	100 children get the things they needed to live a productive and healthy life					
DC Central Kitchen, Inc.	http://www.dccentralkitchen.org	202-234-0707	EIN 52-1584936	425 Second St. Nw	Washington	DC	20001	USA	Employment Preparation & Procurement, Food, Food Programs, Homeless & Housing, Homeless Centers, Human Services, Job Training	DC Central Kitchen turns leftover food into millions of meals for thousands of at-risk individuals while offering nationally recognized culinary job training to adults overcoming homelessness, addiction, and incarceration. We use food as a tool to strengthen bodies, empower minds, and build communities.	Since opening our doors twenty-one years ago, we have:       Served over 21 million mealsnow in the amount of 4,500 each dayto our regions hungry and homeless men, women, and children through our Food Recycling and Meal Distribution program.      Graduated nearly 800 once-homeless and hungry men and women from our Culinary Job Training program. Since the economic crisis of 2008, our graduates have attained a 94% job placement rate and seen their starting average hourly salary increase over our earlier trainees.      Engaged a daily average of 250 chronically homeless men and women through conversation and breakfast through our First Helping program, building relationships and connecting them with vital services.      Recruited hundreds of thousands of volunteers for the fight against hunger. Last year, 14,000 individuals donated their time and talents to our organization.      Replicated our model on the campuses of 26 colleges and high schools across America through our student-powered hunger relief program, The Campus Kitchens Project. Since 2001, CKP has recovered more than 1,000,000 pounds of food and served over 1,000,000 meals.	Washington, DC	Our programs provide a comprehensive continuum of care to the people we serve. First, we provide breakfast, outreach, and counseling services to chronically homeless people living on the streets. Next we recycle 3,000 pounds of food each day, converting it into 4,500 meals we distribute to 100 shelters, transitional homes, and rehabilitation clinics throughout the DC area. These partner agencies then refer clients to our Culinary Job Training program, where they receive the tools to start new careers. We complete the empowerment process by employing our graduates in our full-service catering company or by placing them in full-time jobs at restaurants and hotels throughout the region. Today, we are expanding our operations, partnering with local farmers to procure fresh produce and begin new revenue-generating social enterprises.	Our Meal Distribution program provides quality nutrition to 4,500 children, families, adults, and seniors each day. Recipients of our meals are clients of our 100 partner social service agencies, and thus represent a wide-cross section of our community, but all represent low-income and at-risk populations.  Our Culinary Job Training students are unemployed adults working to overcome histories of substance abuse, incarceration, and homelessness. Nearly all are DC residents and approximately 80% of each class identify themselves as African-American.   Our Healthy Returns program provides healthy meals and snacks, along with nutrition education, to low-income children in Washington, DC. Last year, 1,300 children benefited from Healthy Returns programming.  Our First Helping street-level outreach program serves chronically homeless men and women in DCspecifically in downtowns Golden Triangle District and Wards 7 and 8 east of the Anacostia River. Notably, we are the only outreach service working east of the river.	10,000					
Kids Connection Haiti Inc	http://www.kidsconnectionhaiti.org	(202) 657-3537	EIN 27-1116662	1376 E Capitol St Ne	Washington	DC	20003	USA	International, International Relief	Providing financial support for education and micro business training to young adults in haiti			Education: financial support for secondary education (high school) for 10 students in haiti, financial support for 8 university students in haiti, financial support for 5 trade school students in haiti, including financial support for all school related expenses (transportation, books, uniforms, exams, tuition) as well as emergency housing (rent) for 6 students. Financial support for micro business training for 20 aspiring entrepreneurs in haiti.							
Center For Mind-Body Medicine	http://www.cmbm.org	(202) 966-7338	EIN 52-1755744	5225 Connecticut Ave Nw 414	Washington	DC	20015	USA	Health, Hospitals	The center for mind-body medicine is a non-profit , 501 (c)(3), educational organization dedicated to reviving the spirit and transforming the practice of medicine. The center is working to create a more effective, comprehensive and compassionate model of healthcare and health education. The center's model combines the precision of modern science with the wisdom of the world's healing traditions, to help health professionals heal themselves, their parents and their communities.			Community education- activities providing research, speaking engagements and educational products to the public related to mind-body medicine, nutrition and cancer care.   educating healthcare professionals-programs providing educa- tional trainings to healthcare professionals and medical school faculty and students on mind-body medicine, nutrition and cancer care.   global trauma relief-a three-phased program, providing mind-body training to local leaders in mental health, health, education and religion in communities affected by traumatic events such as war, natural disaster and terrorism. The program utilizes a "train-the-trainer" model selecting future faculty from local participants who continue to train their peers and communities disseminating a sustainable approach to healing trauma that can be interwoven into existing organiza- tional structures.							
Just Foreign Policy	http://www.justforeignpolicy.org	(202) 448-2898	EIN 56-2587092	4410 Massachusetts Ave, NW #290	Washington	DC	20016	USA	International, International Human Rights, International Peace & Security, Promotion of International Understanding	Just Foreign Policy is an independent and non-partisan mass membership organization dedicated to reforming U.S. foreign policy through coordinating the broad majority of Americans to advocate their interests and values.  Although just foreign policy will focus exclusively on foreign policy, we appeal directly to Americans for whom foreign policy is not a primary concern.  We have seen through the Iraq war that unnecessary military actions can undermine civil liberties and democracy at home, and can be used to remove pressing domestic issues from the political agenda to the detriment of the great majority.  During the Cold War, the United States spent trillions of dollars on an arms race with the USSR, as well as wars such as Korea and Vietnam. Yet we were able to create Medicare, Medicaid, and enact large enough increases in Social Security to drive the poverty rate among the elderly down from 35 percent in 1959 to less than 12 percent by the end of the era. But for a number of reasons-fiscal, economic, and political-our current circumstances are very different.  For example, at the height of the Vietnam War in 1968, the U.S. gross federal debt was 43.5 percent of our economy and falling. Today it is over 67 percent and rising. Maintaining our current foreign and military policy and possible large increases in military spending (for example if we have an arms race with China, whose economy will be larger than ours within a decade) will lead to serious declines in U.S. living standards.  U.S. foreign policy therefore threatens to impede-perhaps as never before-the country's economic and social progress. It has become extremely important to the lives of all Americans, and we cannot afford to leave it in the hands of the "experts" without influence from the public.  Eventually the United States must move towards a more multilateral approach to foreign relations-one that relies less on raw U.S. military and economic power and more on international law and treaties, co-operation, and diplomacy. Our goal is to accelerate this transition through education, organization, and mobilization of concerned citizens.			Public information campaigns - through education, organization and mobilization of concerned citizens, just foreign policy provides the public with accurate and balanced information on foreign policy issues. The public information campaigns focus on promoting a more multilateral approach to foreign relations, one that relies less on raw u. S. Military and economic power and more on international law and treaties, cooperation, and diplomacy. During 2014, the campaigns included promoting diplomatic engagement with iran, a diplomatic solution in syria, the removal of u. S. Troops from afghanistan, an end to the blockade of gaza, cuts to the u. S. Military budget, transparency in the u. S. Drone program, and an improvement in relationships with leaders in latin america.   fiscal sponsorship: other worlds creates educational materials that are free for public use regarding topics about international social and economic issues that affect food and agriculture, development, human rights, women's right and disaster response. The educational material is created from other worlds' own research, analysis, experiences, and innovations from countries around the world. The materials are prepared and distributed in the united states primarily via the internet in the form of reports and booklets. Other worlds also engages in charitable activities to financially support organizations that help improve social and economic conditions relating to the topics in which other worlds educates.							
National Federation Of The Blind Of The District Of Columbia	http://		EIN 52-1697024	Po Box 29141	Washington	DC	20017	USA	Centers to Support the Independence of Specific Populations, Civil Rights, Eye Diseases, Blindness & Vision Impairments, Health, Human Service Organizations, Human Services	The NFB believes blindness is merely an inconvenience and, with proper skills and training, a blind individual can obtain success in his or her personal and professional life. The NFB offers many role models for blind children and newly blinded adults. The NFBC makes is possible for blind individuals to reach their full potential by providing information, scholarships, seminars, support networks and by keeping legislators informed of issues pertaining to blindness.										
Solar Electric Light Fund	http://www.self.org	202-234-7265	EIN 52-1701564	1612 K St, NW Ste 402	Washington	DC	20006	USA	Economic Development, Energy Resources Conservation & Development, Environment, International, International Economic Development, Microfinance, Natural Resources Conservation & Protection, Rural Economic Development	SELF''s mission is to provide solar power and wireless communications to a quarter of the world''s population living in energy poverty. Acting as a catalyst, SELF provides technical and financial assistance to empower these people to change their lives.	Since 1990 SELF has completed rural electrification projects in 18 countries, including China, India, Sri Lanka, Nepal, Vietnam, Indonesia, South Africa, Tanzania, Uganda, Zimbabwe, Brazil, Solomon Islands, Bhutan, Nigeria, Lesotho, and most recently in Benin, Burundi and Rwanda. We are expanding into Haiti this year. Our projects have improved the health, education and economic opportunities of tens of thousands of people. In 2008, SELF brought electricity to 10 health centers and 3 schools and completed the initial site assessment phases for 17 additional health centers and 2 whole-village electrification projects.	International	Seventy percent of people in the developing world have no access to electricity and are completely isolated from the modern world's wealth of resources. In communities with no electricity grid, SELF brings clean, solar power to light their homes, schools and health clinics; pump safe drinking water and irrigate their fields; refrigerate their vaccines; and power their micro-enterprise centers. We also bring wireless Internet to improve the education in their schools and diagnostics in their clinics. Our Solar Integrated Development (SID) model dramatically improves the quality of life for people at the bottom of the pyramid without contributing more greenhouse gases to global warming. Projects are funded with micro-finance. Since our founding in 1990, SELF has launched solar rural electrification projects in 18 countries: China, India, Sri Lanka, Nepal, Vietnam, Indonesia, South Africa, Tanzania, Uganda, Zimbabwe, Brazil, Solomon Islands, Bhutan, Nigeria, Lesotho, and most recently in Benin, Burundi and Rwanda.	the one quarter of humanity that lives without electricity	Each new health clinic directly benefits an estimated 10,000 rural villagers. In 2008, SELF electrified 10 health centers in Rwanda and Lesotho. SELF also brought solar electricity and Internet access to three schools in the remote Eastern Cape region of South Africa, benefitting 2,000 children and their families.					
Citizens For Global Solutions Inc	http://		EIN 22-2083167	418 7th St Se	Washington	DC	20003	USA	Arms Control & Peace, International, International Peace & Security											
New Israel Fund	http://www.nif.org	(202) 842-0900	EIN 94-2607722	1101 14TH Street Nw No 6TH Fl	Washington	DC	20005	USA	International, Promotion of International Understanding	THE NEW ISREAL FUND (NIF) IS THE LEADING ORGANIZATION ADVANCING DEMOCRACY AND EQUALITY FOR ALL ISREALIS. WE BELIEVE THAT ISREAL CAN LIVE UP TO ITS FOUNDERS' VISION OF A STATE THAT ENSURES COMPLETE EQUALITY OF SOCIAL AND POLITICAL RIGHTS TO ALL ITS INHABITANTS, WITHOUT REGARD TO RELIGION, RACE, GENDER OR NATIONAL IDENTITY			Democracy and civil and human rights: nif works to protect and promote the rights of all citizens of israel, and to establish a shared society. From women's and lgbt rights to the controversial issues of synagogue/state and minority rights, nif supports and trains human and civil rights organization in israel. In 2014, the democracy, civil and human rights program continued working on three main areas of activity: 1) promoting a shared society and combating racism; 2) upholding human rights, and 3) safeguarding democracy. An emerging focus, made evident during the 2014 gaza war, is safeguarding freedom of speech.   social and economic justice: nif's long-term goal is to reduce social and economic gaps by working to empower israel's most disadvantaged citizens. Nif works with grantee organizations to foster a broad culture of citizen action and to promote workable policies and programs addressing poverty, homelessness, unemployment, and urban decay in low-income communities, especially in the geographic and social periphery. The gaza war exacerbated cleavages within israeli society and revealed significant areas in which discrimination has left some sectors - for instance, israel's arab minority - lacking critical infrastructure. Nif worked to bridge the gaps, end discrimination, and connect israelis with each other.   religious freedom: nif aims to promote freedom of - and from - religion in israel, and to encourage a more tolerant society that embraces the rich diversity of jewish identity and practice. Our grantees work to change the legal structure that limits religious freedom; to advocate for equal allocation of resources to include non-orthodox jewish services and education; to strengthen liberal elements within orthodoxy; and to combat religious extremism including the exclusion of women from the public sphere.   other program activities							
Margaret Mcnamara Education Grants	http://www.mmmf-grants.org	(202) 458-2436	EIN 52-1655741	1818 H Street Nw Msn J2 202	Washington	DC	20433	USA		The mission of the mmmf is to award educational grants to women students from developing countries, enrolled at universities in the us, canada, south africa and several latin american counties; women who are committed to returning to their countries upon completion of their degrees to work to improve the well being of women and children. Since 1981 the mmmf has spent just over $2 million in educational grants to over 250 women, from over 67 low and middle income countries. Among former mmmf grantees surveyed, over 75% report they are working to improve the quality of lives for women and children in public sector professions, as university researchers and lecturers, civil society and community advocates, in key areas such as health, education, agriculture, human rights, domestic abuse, to mention a few.			In fy 2014 the mmmf awarded grants to 22 outstanding women including to ten women enrolled at universities in the us and canada, to seven women studying at the universities of witwatersrand and cape town in south africa, and to five women attending universities in argentina, colombia, mexico, and peru. In fy15 mmmf is significantly increasing the scope of its grant program to reach a larger number of female grantees who are completing their professional degrees. In addition, mmmf is working on strategic financial and fundraising plans to further enhanse and expand its grant program mmmf is an all-volunteer organization, administered by dedicated mmmf board members and supported by hundreds of volunteers from the world bank family network and from many world bank staff. A part-time coordinator manages mmmf day to day operations including the important roles of board of directors who fund, do financial oversight and oversee program direction. Many volunteers serve on selection committees, which manage the selection of grantee finalists. Through its long standing affiliation with the wbfn, the mmmf receives support from the world bank; office space, equipment and printing. Mmmf directs around 80% of its budget to grants and grant-related program. The mmmf's largest fundraising source is its annual international craft fair. The mmmf program is also supported through generous donations from world bank staff and retirees, as well as non-world bank affiliated donors. Further details about each grantee are available on our website www:mmmf-grants. Org where a short video about mmmf's 2011 grantees and the 30th anniversary history of mmmf booklet (e-version) can be viewed.							
Amyotrophic Lateral Sclerosis Assn	http://www.alsa.org	(202) 407-8580	EIN 13-3271855	1275 K Street Nw	Washington	DC	20005	USA	Health, Nerve, Muscle & Bone Diseases, Voluntary Health Associations & Medical Disciplines	Leads the fight to cure and treat als through global, cutting-edge research and to empower people with lou gehrig's disease and their families to live fuller lives by providing them with compassionate care and support.			Research programs - the association funds scientific research grants to doctors/scientists to find the cause and cure of amyotrophic lateral sclerosis (als). During the year ending january 31, 2015, research grants were $12,918,711, which almost doubled the amount of research grant funding from the prior year. The significant increase was made possible by the ice bucket challenge (ibc), an organic fundraising event that empowered individuals to raise awareness and funds for als by pouring ice water over their heads and challenging their friends to do the same. The association was the main benefactor of this event and received approximately $115 million in contributions as a result. Because of the success of the ibc, the association plans on further increasing research funding in ensuing years with the goal of spending over $20 million annually on research.   patient and community services - the association's national care services department, in working with the association's network of chapters, is committed to providing fully developed, managed and evaluated programs and services to people living with als, families, caregivers and professionals across the united states. Programs incorporate the perspectives from key stakeholders including people living with the disease, subject matter experts, clinical best practice, caregivers, technology, academicians and research. Activities address current needs and explore future services, creating a foundation for innovative and advanced program development based on specific community needs and knowledge advancements. Specific activities include (1) developing and implementing clinical and professional education programs based on ongoing needs assessments and best practice; (2) implementing certified care center certification and recertification programs based on nationally-recognized standards of practice, including grants to support centers of excellence; (3) developing strategies and actualizing plans to deliver care through 'other than' certified centers; (4) providing current information, resources and referrals to the communities we serve; and (5) developing and implementing comprehensive, consistent programs and services that address individual, family and caregiver needs based on 'best practice' and available resources. As a result of the success of ibc, the association was able to provide grants of approximately $8. 5 million to its chapter network to help support chapter initiatives for the year ending january 31, 2015. In addition, the association provided approximately $1. 1 million in grants to its certified treatment centers of excellence.   public and professional education - the association's public policy department develops awareness and understanding of als and the work of the association among the general public, healthcare professionals, the scientific community and elected and other government officials. For the year ending january 31,2015, the association worked with congress to continue funding for the national als registry and the als research program at the department of defense as well as funding for als research at the national institutes of health. The association also worked with congress to help ensure access to speech generating devices and advance the development of new treatments for als by working to pass the moddern cures act.							
Levine Music Inc	http://www.levineschool.org	(202) 686-8000	EIN 52-1063325	2801 Upton St Nw	Washington	DC	20008	USA	Arts & Culture, Bands & Ensembles, Children & Youth, Performing Arts Schools, Youth Development Programs	Levine school of music, washington d. C. Region's preeminent center for music education, is a welcoming community where children and adults find lifelong inspiration and joy through learning, performing, listening to, and participation with others in music.			Education - levine offers outstanding music instruction and programs to students of all ages, interests, and skill levels at four campuses in the dc area. Levine's core values -- excellence, opportunity and community -- are exemplified in levine's teaching philosophy:--> we provide our students with a strong musical foundation, developed through high educational standards and delivered through a standard of excellence in all areas of study by our dedicated and talented faculty-artists. --> we provide a diverse, well-rounded music experience to each of our students regardless of age, ability or financial situation. --> at levine we come together in music to build a comprehensive community for all students and families to enhance their musical learning experience. --> we strive to develop a lifelong love of music throughout the lives of each of our students.   outreach & scholarships - levine provides music instruction to more than 300 at-risk children in selected dc public schools. Our early childhood and elementary music programs provide these children with essential skills that enhance social, emotional, and academic development. Levine recognizes that there are students throughout our community who need financial assistance to be able to study with us, and the school is committed to supporting these students. Levine provides both need-based tuition assistance and merit-based stipends to students at all of our locations. Each year more than 200 students receive scholarship funding for music instruction. Total for outreach and scholarships for the year ended 6/30/2013 exceeded $800,000.   marketing and public relations - levine conducts various events and performances and uses social media, radio advertising, and newsletters in order to inform the public and raise awareness of the benefits of music.							
Stop Predatory Gambling Foundation	http://www.stoppredatorygambling.org		EIN 38-3244246	100 Maryland Ave Ne Ste 311	Washington	DC	20002	USA	Education, Gambling Addiction, Mental Health, Mental Health & Crisis Intervention	EDUCATION REGARDING THE SOCIAL AND ECONOMIC IMPACTS OF PREDATORY GAMBLING										
National Organization For Women	http://		EIN 51-0242304	1100 H St Nw 3RD Flr	Washington	DC	20005	USA												
National Black Justice Coalition Inc	http://	202-319-1552	EIN 20-0667808	1325 Massachusetts Ave NW Ste 250	Washington	DC	20005	USA	Civil Rights, Lesbian & Gay Rights, LGBTQ	The National Black Justice Coalition (NBJC) is a civil rights organization dedicated to empowering Black lesbian, gay, bisexual, and transgender people.			The National Black Justice Coalition's (NBJC) Key Issue Areas include: Anti-Discrimination Anti-Violence  Economic Security and Justice Hate Crimes  Marriage Equality Family and Relationship Recognition  Safe Schools							
Spina Bifida Association of America	http://www.spinabifidaassociation.org	(202) 944-3285	EIN 58-1342181	4590 MacArthur Blvd Nw Ste 250	Washington	DC	20007	USA	Health, Nerve, Muscle & Bone Diseases	TO PROVIDE INFORMATION RELATED TO THE BIRTH DEFECT OF SPINA BIFIDA, INCLUDING PROGRESS IN THE AREAS OF MEDICINE, EDUCATION, LEGISLATION AND FINANCIAL SUPPORT; TO HELP FUND RESEARCH INTO THE CAUSES, EFFECTS AND TREATMENT OF SPINA BIFIDA; TO ENCOURAGE THE TRAINING OF PROFESSIONALS INVOLVED IN THE TREATMENT OF SPINA BIFIDA.			Research - the spina bifida association is developing the spina bifida collaborative care network to improve the health care of people with spina bifida enabling them to have better care. The sbccn, when completed, will build a system that monitors, tracks, and evaluates care provided in spina bifida clinics and other health care settings. The sbccn is made up of people of different backgrounds and experiences: spina bifida association (sba) staff, chapter leaders, doctors, nurses, psychologists, the centers for disease control and prevention (cdc), parents of children with spina bifida, and adults with spina bifida.   education - the spina bifida association's education programs provide parents, caregivers and persons living with spina bifida with tools and resources at critical points in development and transition. Education and informational resources were provided to over 4,900 people with spina bifida, parents, and caregivers.   member services/chapter development - the spina bifida association promotes the growth and development of its 19 chapters through technical assistance in capacity building, communications, programmatic resources and grants.							
Freedomworks Inc	http://www.freedomworks.org	(202) 783-3870	EIN 52-1349353	400 N Capitol St Nw Ste 765	Washington	DC	20001	USA		Freedomworks recruits, educates, trains and mobilizes grassroots activists to advance the ideas of lower taxes, less government and more freedom. Freedomworks is a public policy, education and advocacy organization focused on fiscal, economic and personal liberty issues.			Public education: use of various media, including mail, email, embedded programming and other means to advocate, promote, educate, train, equip and mobilize our donors and activists about limited government at the local, state and federal level.   public affairs, public policy and government affairs: to include traditional media outreach, through tv radio and interviews, opinion editorials, and online/new media outreach through blogging, social networking, paid advertising, and development of activist networking platform. Track legislation on capitol hill, analyze bills and alert freedomworks donors and activists when issues of interest become relevant. Publish voting records of congress on key votes.   strategic planning and research: development of strategic research and planning promoting consumer-focused economic policies in u. S and international economic markets including, regulatory policy, fiscal policy, health care policy, tax policy, energy, environmental policies and other mission-related issues.							
Kingsbury Center	http://www.kingsbury.org	(202) 722-5555	EIN 53-0132223	5000 14th St Nw	Washington	DC	20011	USA		The kingsbury center provides a transformative educational and social experience for children and adults with learning differences.			Kingsbury day school - day school for children grades pre-k through 12 with learning disabilities. Aproximately 202 students served this year.   assessment department - psychological and educational assessment and therapy for children and adults with learning difficulties. Aproximately 143 persons serviced by this department this year.   related services - occupational, physical and speech therapy designed to enhance student's ability to fully access and succeed in the learning environment as well as speech and language therapy designed to facilitate students written and oral communication skills. Aproximately 90, 115 and 15 persons received monthly occupational, speech and physical therapy respectively.   tutoring department - specialized tutoring services for children and adults. Approximately 88 persons used tutoring deparments services this year.							
Rwandan International Network Association Inc	http://	(202)706-5002	EIN 20-8995712	901 15th Street NW C/O The Chicago School of Professional Psychology	Washington	DC	20005	USA	Arts & Culture, Community Coalitions, Cultural & Ethnic Awareness	Our mission is to encourage the utilization of collective talents and resources in order strengthen the community by providing mutual support and supporting economic sustainability in our communities as well as in Rwanda.				Rwandan Diaspora and friends of Rwanda throughout the world						
Aga Khan Foundation Usa	http://www.akdn.org	(202) 293-2537	EIN 52-1231983	1825 K St Nw Ste 901	Washington	DC	20006	USA	International, International Development				Education for marginalized children in kenya (emack). Objectives: to ensure equitable access to quality basic education for marginalized children in the coast and north eastern provincess of kenya. Emack employs a strategy that strengthens the entire school community to create a primary school learning environment in which parents support, children enjoy, and teachers facilitate quality education. In the north eastern province in particular, emack indentifies and addressess the unique educational needs of children from pastoralist communities.   multi-input area development global development alliance (miad gda). Objectives: (1) to improve quality of life for residents of afghanistan's badakhshan province including their social and economic status; (2) to establish a model for a sustainable, replicable financing mechanism for both regional social and economic development. Quality of life will be improved through social development activities within health, education, rural livelihoods, and sub-national governance implemented within badakhshan. After five to ten years, investments into economic drivers within afghanistan and central asia will generate revenues to fuel social development beyond the miad gda's program life.   food for the progress in mali: the project will increase agricultural productivity by developing new rice and garden plots, while rehabilitating current plots. The project will also train producers in improved agricultural techniques, and build business management capacity. Akf has created and/or built the capactiy of village organizations, cooperatives, and community based savings group in management, group selling, resource mobilization, and good governance. The project also integrates functional literacy training into its capacity building activities. The project will also expand trade of agricultural products by training farmers in post-harvest techniques; strengthening cereal value chains; creating market linkages; and providing microfinance services.							
Paypal Charitable Giving Fund	http://paypalgivingfund.org	(202) 551-9076	EIN 45-0931286	1250 I Steet Nw Suite 1202	Washington	DC	20005	USA	Philanthropy, Public Foundations	To raise funds for charitable purposes online, primarily in the ebay inc. And paypal marketplaces, and distribute those funds to other charitable organizations.			Paypal charitable giving fund - is operated for the benefit of the nonprofit sector. The program raises awareness and support for nonprofits, primarily through the ebay marketplaces and paypal. Ebay sellers can give all or a portion of the proceeds from their sales; buyers can add a donation to their purchase; and, paypal users can simply make a donation to one of more than 29,000 participating organization. Thanks to operating support from ebay inc. , paypal charitable giving fund grants 100% of donations received through the programs it enables.							
