name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Prince William Sound Aquaculture Corp	http://www.pwsac.com	(907) 424-7511	EIN 92-0047772	Po Box 1110	Cordova	AK	99574	USA		Rehabilitation of the prince william sound salmon fisheries through research and development of funding for construction and operation of salmon hatcheries.				Carried out rehabilitation and development activities to create and sustain viable economy through natural resources while completing management contracts with state of alaska for construction and operation of salmon hatcheries in furtherance of fishery development and maintenance.	
Alaska Native Medical Center Auxiliary Inc	http://		EIN 92-0055126	4315 Diplomacy Dr	Anchorage	AK	99508	USA	General Hospitals,Health	TO PROMOTE, SUPPORT AND ADVANCE THE WELFARE OF THE PATIENTS.					
American Guild Of Organists	http://		EIN 92-0094320	808 N Mccavit Ln	Wasilla	AK	99654	USA							
Talkeetna Christian Center	http://		EIN 92-0059879	Po Box 282	Talkeetna	AK	99676	USA							
Wasilla Ministries Inc	http://		EIN 92-0133462	2600 Ptarmigan Pl	Wasilla	AK	99654	USA	Christianity,Religion						
Petersburg Arts Council	http://		EIN 23-7237812	Po Box 1648	Petersburg	AK	99833	USA							
Mustang Hockey Association	http://		EIN 92-0097188	Po Box 773904	Eagle River	AK	99577	USA							
Alaska Arts Southeast Inc	http://www.fineartscamp.org	907-747-3085	EIN 23-7240278	PO Box 3086	Sitka	AK	99835	USA	Arts & Culture,Arts, Culture & Humanities	To provide Alaska youth with the opportunity to develop personal artistic interests and skills in an intensive artistic experience through stimulating, high quality, professional instruction in visual arts, music, dance, theater, writing and Alaska Native Arts	In February 2011, we were given the Sheldon Jackson Campus, a campus whose doors had been shut in 2007.  This year we spent more than 15,000 volunteer hours and raised over $250,000 to begin revitalizing the 20 buildings and 20 acres.  Our dream is to make a campus thriving in the arts, sciences and culture of Sitka.	Students, from kindergarten through 12th grade, from Alaska and throughout the country.		Aase runs the only fine arts camp in alaska, the camp just completed its 40th year. It offered over 70 different multidisciplinary arts classes taught by faculty drawn from prestigious venues across the country. The 2013 camp served over 700 students in three age-divided sessions. Students came from a number of alaskan communities and around the world. In addition, aase manages and staffs the sitka performing arts center. Out- of-town artists and art educators give performances and instruction in the center and in the sitka schools.  hames recreation center is the largest of 20 buildings gifted to aase in 2011. The building allows aase to further its mission of providing arts and recreation to sitka. The facility houses the only community gymnasium in sitka along with workout and training rooms. The fee structure for the use of the facility includes both drop-in and membership rates. There are currently approximately 600 active memberships. Hames recreation center offers a number of programs which emphasis community wellness through physical activity. The center is administered by one paid position and a large number of volunteers including those serving on the administrative comittee.	almost 600 students
Christian Pilots Association Of Alaska Inc	http://		EIN 92-0076019	12145 Avion St	Anchorage	AK	99516	USA							
Alaskas Healing Hearts	http://	(907) 232-1527	EIN 27-4036000	Po Box 876061	Wasilla	AK	99687	USA	Human Service Organizations					Recreational activities, counseling and outreach. Programs include veteran's hunting and fishing trips to improve mental health and fitness, also strengthen relationships.  state of alaska grant to train 33 veterans for new careers.	
Association For The Severly Handicapped	http://		EIN 92-0147958	3500 Walker Cir	Anchorage	AK	99502	USA							
Friends Of Recycling	http://		EIN 92-0165523	Po Box 822	Haines	AK	99827	USA	Environment,Recycling						
Friends Of The Tanana Valley Railroad Inc	http://		EIN 92-0143398	Po Box 84498	Fairbanks	AK	99708	USA							
Peace Feather	http://		EIN 92-0147418	PO Box 2085	Homer	AK	99603	USA	Health,Health Care						
Wasilla-Kink Historical Society	http://www.wkhsociety.org	(907) 376-2005	EIN 92-0058042	300 N Boundary St	Wasilla	AK	99654	USA	Arts & Culture,History Museums	Historic preservation				Operate knik museum and mushers hall of fame	
Friends of the Campbell Creek Science Center	http://www.friendsofcampbellcreek.org	(907) 267-1254	EIN 20-3140552	5600 Science Center Drive	Anchorage	AK	99507	USA	Camps,Education,Educational Services,Environment,Natural Resources Conservation & Protection,Sports	Environmental education,				Providing bus transportation for public school students who then travel to the center and receive an educational experience outside of the classroom.  special events and fundraising for the activities of the science center in support of outdoor, environmental and recreational education.  contributions to endowment	
ALASKA FINE ARTS ACADEMY	http://		EIN 92-0103270	12340 Old Glenn Hwy Ste 200	Eagle River	AK	99577	USA	Arts & Culture,Arts Education						
Alaska Joint Electrical Apprenticeship And Training Trust	http://ajeatt.org	(907) 337-9500	EIN 92-0081203	5800 B St	Anchorage	AK	99518	USA	Job Training	Provide training in the electrical industry for electrical apprentices and journeymen.				Training in the electrical industry for qualifying applicants.	
Indigenous Messengers International	http://		EIN 92-0163822	1231 Northern Lights Blvd 431	Anchorage	AK	99503	USA	Judaism,Religion						
Northern Lights Swim Club Boosters	http://		EIN 92-0132684	Po Box 110754	Anchorage	AK	99511	USA	Sports,Swimming & Other Water Recreation						
Tanana Chiefs Conference	http://www.tananachiefs.org	(907) 452-8251	EIN 92-0040308	112 First Avenue	Fairbanks	AK	99701	USA	Community Clinics,Health	Tanana chiefs conference provides a unified voice in advancing sovereign tribal governments through the promotion of physical and mental wellness, education, socioeconomic development, and culture of the interior alaska native people.				Health services: in partnership with those we serve, promotes and enhances spiritual, physical, mental and emotional wellness through education, prevention and the delivery of quality services, manages the health delivery system for the villages of interior alaska and also manages smaller satellite clinics in 28 villages.  client development: the client development division provides and integrates education, employment, training, and a wider range of supportive services to enable tribal members to develop their knowledge and skills and build safe, stable, and economically self-sufficient families that protect, nurture, and educate their children and supports and encourages the practice of the values, traditions, and culture of interior alaska tribes.  natural and cultural: the mission of the natural and cultural resources division is to provide service to tribal members in land and forest management, land surveys, archaeology, appraisal, environmental restoration, energy alternatives and efficiency, and subsistence studies and advocacy.  tribal development provides assitance to local governments andindividuals with regard to community government and services, includingthe villge public safety officer program, tribal government services,tribal transportation and economic development.	
BREAD LINE INC	http://www.stonesoupcafe.org	(907) 452-1974	EIN 92-0111082	Po Box 73715	Fairbanks	AK	99707	USA	Christianity,Religion	The organization exists to serve the hungry and the homeless of fairbanks north star borough with nutritious meals. We serve a hot meal every week day and prepare take-away sack lunches. We treat our guests with respect and offer them a safe and warm place to be for several hours each day.				Over 28,000 hot meals and over 11,000 sack lunches were served to over 600 unique individuals during 2014. This was done with one employee and the help of many volunteers from the community. Food is largely donated to the stone soup cafe from the fairbanks community food bank supplemented by donations from individuals. Our expenses relate to the cost of doing business. In 2014 this included, utilities, garbage disposal, dry goods and supplies, insurance and accounting costs. Funds are raised through fundraisers and through local community support. These are leveraged, when possible, with the fnsb match assistance grants for essential human services. Serving meals was our main and only program service in 2014. Warm clothes that we distribute are donated by the community and are only a small part of what we do.	
Road Runners Club Of America	http://anchoragerunningclub.org	(907) 277-2431	EIN 92-0085126	Po Box 243362	Anchorage	AK	99524	USA		Promote and encourage running				Running race expenses incurred for activities in the anchorage, alaska area	
Christian Mission Ministry Inc	http://		EIN 20-8762418	Po Box 2622	Seward	AK	99664	USA	Centers to Support the Independence of Specific Populations						
Alaska Celebrates	http://		EIN 94-3117886	PO Box 109	Soldotna	AK	99669	USA	Fairs,Sports						
Lynn Canal Medical Corp.	http://		EIN 92-0131507	PO Box 1549	Haines	AK	99827	USA	Health,Health Support						
Anchorage Zen Community Inc	http://		EIN 92-0156131	900 W 5th Ave	Anchorage	AK	99501	USA	Buddhism,Religion						
Anchorage Youth Soccer Club Inc	http://anchorageyouthsoccer.org	(907) 563-9143	EIN 92-0132118	1225 E International Airport Rd	Anchorage	AK	99518	USA	Unknown	Youth soccer development				Provided coaching and participation opportunities for over 400 youths in anchorage.	
The Anchorage Daily News Neighbor To Neighbor	http://		EIN 92-0107674	PO Box 149001	Anchorage	AK	99514	USA	Human Service Organizations,Human Services						
Church Of The Living God	http://		EIN 94-3140267	501 W International Airport Rd 18	Anchorage	AK	99518	USA							
HANNAH MINISTRIES INC	http://		EIN 06-1737303	Hc 34 Box 2732	Wasilla	AK	99654	USA	Christianity,Religion						
Alaska Association For Historic Preservation Inc	http://www.aahp-online.net	(907) 929-9870	EIN 92-0085097	Po Box 102205	Anchorage	AK	99510	USA	Unknown	The alaska association for historic preservation (aahp) is dedicated to the preservation of alaska's prehistoric and historic resources through education, promotion and advocacy. Preservation of the built environment provides a vital link and visible reminder of the past, emphasizing the continuity and diversity of alaska.				Friends of nike site summit - provide administrative support and grant assistance to group restoring several buildings at cold war nike site in anchorage/eagle river in agreement with joint base elmendorf richardson. Public tours of the site are part of this agreement and were first offered in 2012.  history day in alaska - assist in planning for national history day events national park service - task agreements administration for contractors funded through projects	
Ketchikan Youth Soccer League Inc	http://		EIN 92-0133187	Po Box 5271	Ketchikan	AK	99901	USA							
Tundra Tykes Incorporated	http://		EIN 92-0143472	750 D St	Anchorage	AK	99501	USA							
Anchorage Post Society Of American Military Engineers Benjamin B	http://www.sameanchorage.org/	(907) 563-3835	EIN 92-0162011	Po Box 6409	Jber	AK	99506	USA	Education,Scholarships,Scholarships & Student Financial Aid	Scholarships to engineering, math or science college students.				Provide $10,000 in college scholarships to engineering, math and science students	
South Kachemak Corp., Inc.	http://		EIN 92-0072108	PO Box 197	Seldovia	AK	99663	USA	Mental Health,Substance Abuse Dependency, Prevention & Treatment						
Service Cougar Organization Of Roundball Enthusiasts	http://		EIN 92-0121308	PO Box 110236	Anchorage	AK	99511	USA	Emergency Medical Services & Transport,Health						
Church Of Christ	http://		EIN 92-6002112	Po Box 845	Palmer	AK	99645	USA							
Emmonak Womens Shelter	http://	(907) 949-1443	EIN 92-0080723	Po Box 207	Emmonak	AK	99581	USA		To provide shelter services to victims of domestic violence and sexual assaults				To provide shelter services to victims of domestic violence and sexual assaults	
Western History Association	http://www.westernhistoryassociation.org	(904) 474-6508	EIN 54-6044435	605 Gruening	Fairbanks	AK	99775	USA	Arts & Culture,Historical Societies & Historic Preservation	Founded in 1961, the western history association exists to promote the study of the north american west in its varied aspects and broadest sense.				Organization promotes the study of the north american west through organizing an annual conference, with attendance in 2013 of 661,and supporting two journals: the western historical quarterly and the montana: the magazine of western history. Membership numbers have been around 950 this year and are more current than ever before as we are using new membership management software.  awards given to authors, publishers, and students who have been chosen because of their outstanding writing on historical issues. Twenty four (24) recipients were chosen by the board of committees to receive the awards.	
Ministry Without Walls	http://		EIN 92-0157655	Po Box 140451	Anchorage	AK	99514	USA							
Boy Scouts Of America Trust Fund	http://www.BSA.scouting.org/		EIN 23-7295327	3117 Pattersun 610 Western Alaska	Anchorage	AK	99504	USA	Boy Scouts of America,Children & Youth	The Mission of the Boy Scouts of America is to prepare young people to make ethical choices over their lifetime by instilling in them the values of the Scout Oath and Law. To support Boy Scouts of America, visit www.give2bsa.org.					
Ladies Charity Classic	http://		EIN 92-0157747	Hc 62 Box 5780	Delta Jct	AK	99737	USA	Federated Giving Programs,Philanthropy						
Spiritual Assembly Of The Bahais Of Kalifornsky	http://		EIN 92-0165754	Po Box 2508	Kenai	AK	99611	USA							
ZONTA YELLOW ROSE FOUNDATION	http://		EIN 32-0240565	PO Box 241305	Anchorage	AK	99524	USA	Human Service Organizations						
Kitty And K-9 Connection - - A New Leash On Life	http://	(907) 345-2096	EIN 81-0609673	13140 Midori Dr	Anchorage	AK	99516	USA	Animal Protection & Welfare,Animals	To rescue abandoned animals and find permanent homes				Rescuing abandoned animals and finding suitable, permanent homes	
Arc Of Anchorage	http://thearcofanchorage.org	(907) 277-6677	EIN 92-0028571	2211 Arca Dr	Anchorage	AK	99508	USA	Developmentally Disabled Centers,Disabilities,Family Services,Human Services,Job Training	To encourage and celebrate the potential of people who experience disabilities.				Community living services provides in-home family support, respite,case management, and residential homes for members of the community who experience intellectual or developmental disabilities, as well as those who experience hearing impairments.  the behavioral health program serves children and adults with a mental illness or severe emotional disturbance (sed) in combination with a devlopmental disability.  the recreation center provides recreation, socialization, and life skills training to more than 375 teens and adults who experience intellectual or developmental disabilities.	
Full Gospel Businessmen's Fellowship International	http://		EIN 74-1879020	PO Box 72503	Fairbanks	AK	99707	USA							
Society For Preservation & Encourmt Of Barbershop Quartet Singing Amer	http://		EIN 36-3398471	PO Box 107	Sterling	AK	99672	USA							
St Hermans Theological Seminary	http://		EIN 92-0045228	414 Mission Rd	Kodiak	AK	99615	USA							
Polar Evangelism Inc	http://		EIN 23-7213403	Po Box 1053	Nome	AK	99762	USA	Religion,Religion-Related	To conduct Radio Ministry, Evangelism, Prayer Groups and Summer Camps to Eskimos and Indians in villages on the Yukon River and at the Univ. of AK.					
North America Outdoor Institute	http://www.naoiak.org	(907) 376-2898	EIN 90-0194610	Po Box 870415	Wasilla	AK	99687	USA	Sports	The mission of the north america outdoor institiute( naoi) is to save lives from unintentional injuries related to outdoor recreation and raise awareness about our environment through interactive safety education training programs. Most significant activities: avalanche training, snow machine safety, and wilderness medical safety and survival.	We have reached more than 25,000 people since our inception in 2005.	Youth ages 6-18 and adults	the Northwest United States and Alaska	Avalanche training	We reach approximately 10,000 individuals per year
Just For Kids Inc	http://		EIN 92-0132143	PO Box 58617	Fairbanks	AK	99711	USA	Unknown						
Little League Baseball Inc	http://	(907) 247-7878	EIN 52-1234703	Po Box 5455	Ketchikan	AK	99901	USA	Amateur Sports Competitions,Baseball & Softball,Recreation & Sports,Sports	To teach the skills and rules of baseball to children.				The program services of ketchikan little league teach skills of baseball and rules of the game, sportsmanship and teamwork. These programs benefit children 7-16 years of age. Approximately 275 children and 50 adults are involved.	
Alaska Statewide Special Education Conference	http://www.assec.org	(907) 458-7600	EIN 92-0148152	Po Box 110268	Fairbanks	AK	99502	USA	Education,Educational Services	Forum for education of students with special education requirements, their parents, and their teachers.				Planning and implementing annual alaska statewide special education conference for students, parents, and teachers.  sent steering committee and directors to the annual asseca conference to keep them apprised of developments in the special education field.	
Farm Loop Christian Center Inc	http://		EIN 92-0047232	Po Box 893	Palmer	AK	99645	USA							
Alaska Urban And Community Forest Council	http://		EIN 92-0160787	Po Box 241282	Anchorage	AK	99524	USA	Environment,Natural Resources Conservation & Protection						
Trinity Baptist Church Of Fairbanks Alaska	http://		EIN 92-0091620	Po Box 10076	Fairbanks	AK	99710	USA							
North Pole Christian School	http://	(907) 488-0133	EIN 92-0089892	2936 Badger Rd	North Pole	AK	99705	USA	Education,Preschools,Primary & Elementary Schools,Secondary & High Schools	The purpose of north pole christian school is to provide a quality christian education which, in cooperation with christian parents, will train children in harmony with god's word and encourage a personal faith in god resulting in citizens who are fully equipped to influence their world for christ. We believe the successful development of each child's spiritual and academic potential is promoted by a combined effort of the christian home, bible-believing church, and school.				It is the goal of north pole christian school (npcs) to work as a ministry to support christian families who desire to see that the christian beliefs, values and world view taught to their children at home and in church are reinforced in the school's academic and extra-curricular activities. The fiscal year ending june 2015 saw that goal realized for 112 students in preschool through twelfth grade. With a staff of nine full-time, three teacher aides, one business office secretary, and one administrator, npcs is able to offer two preschool classes, two full-day kindergarten classes, first, a combined second and third, fourth and fifth grade class, sixth, seventh and eighth grade; and a combined ninth through twelfth grade. We had one graduating senior who is now attending oklahoma baptist university. The annual standardized test (teranova) scores show that kindergarten through grade 12 was performing at or above national norms. Our sat and act test score results were at or above national norms. In addition to the academic program, students participated in several mission projects that allowed them to serve others, to help develop the concept of servant leadership, and to raise local and global mission awareness. Students of all ages collected over 2,200 pounds of pantry items and non-perishable food items for the local food bank. They collected clothing, diapers, beds, and baby formula for the pregnancy crisis center. Our junior/senior high students participated in world vision's 30-hour famine and collected nearly $1,000. 00. North pole christian school also supported love, inc. S adopt a family program. The high school continues to support a child in tanzania through compassion international with an annual donation of $513. 56. We also supported the fund raising efforts of the fairbanks youth advocates during one homeless night. As npcs continues to support its families and their churches we are seeing the successful integration of educating mind, body and spirit	
Anchorage Community Theatre Inc	http://	(907) 344-4713	EIN 92-0025223	1133 E 70th Ave	Anchorage	AK	99518	USA	Arts & Culture,Theater	To promote and encourage amature theatre in alaska.				The organization's achievements include production of main stage productions with non compensated actors and technicians for public audiences.	
Seward Composite Squadron	http://		EIN 92-0148380	PO Box 716	Seward	AK	99664	USA							
Jim Martin Scholarship Fund	http://		EIN 92-0103248	Po Box 593	Seward	AK	99664	USA							
Safe And Fear-Free Environment	http://www.besafeandfree.org	(907) 842-2320	EIN 92-0088380	Po Box 94	Dillingham	AK	99576	USA		Safe's mission is to provide				To prevent and reduce violence by providing advocacy and support services to victims of violence.	
Distributive Education Clubs Of America	http://		EIN 23-7066212	2195 Mavencamp Cir	North Pole	AK	99705	USA							
Montana Creek Dog Mushers Inc	http://		EIN 94-3111202	Po Box 971	Willow	AK	99688	USA	Animals,Wildlife Preservation & Protection						
Chiniak Public Library Association	http://		EIN 92-0104770	Po Box 5610	Chiniak	AK	99615	USA							
Association For The Education Of Young Children	http://www.aeyc-sea.org	(907) 789-1235	EIN 92-0118896	3100 Channel Dr Ste 215n	Juneau	AK	99801	USA	Education,Preschools,Primary & Elementary Schools,Unknown	With a cohesive voice, our membership encourages excellence through leadership, advocacy and education, for the needs and rights of all young children in our communities.				Resource and referral program - this program provides referral services for families looking for quality childcare programs, provides support, professional development training and resources to child care providers, and provides support to parents through classes and information. In fy14, aeyc supported 526 childcare providers in southeast alaska with 55 different trainings for a total of 1,239 training hours, 63 providers with assistance in obtaining their child development associate credential and 49 providers receiving technical assistance. In addition to providing 1,125 referrals to parents for child care services, we supported 10 families with special needs children. Travel reimbursement grants were given to 43 providers. 125 providers received training reimbursements for trainings, tuition and self study fees. Also provided on-site consultation to six programs to improve the quality of care. We began a targeted program of recruitment for new child care providers including evening informational meetings, training by a national speaker on the benefits of a home based child care business, attendance at community events and work with the local economic development council on reaching businesses about job based child care centers.  strengthening families special projects - projects related to parenting, literacy and health promotion. Family nights at the library were held the first tuesday for nine months at the juneau library and another 4 special family events were held throughout the year at various locations with a total participation of 1,554. Family night at the turf field was held for fifteen sessions with total participation of 1,498. Headstart, family child care homes and centers participated in weekly sessions at the turf field house with 1,568 children for at total of 6,272 participant hours of physical education activities. Born learning bulletins were sent to 1,400 families each month for 9 months of the grant year. Dolly parton's imagination library had 2,000 children signed up to receive a book a month and over 23,792 books were distributed in fy14.  home visitation program for families with children from birth to three years old. In fy14 provided services to 50 families in the community of juneau. Program also sponsors monthly parent connect meetings which are an opportunity for families in the program to meet each other, socialize and learn a theme based skill. In fy14, we held 12 meetings with a total of 501 participants child care food program - family child care providers are enrolled each month in usda funded child care food program which reimburses costs for breakfast, lunch, dinner and two snacks. In fy14, aeyc provided reimbursement for 55,655 meals by 20 child care providers for over 200 children. The child care food program is offered to all licensed family child care programs in juneau, wrangell and haines. Early childhood educators received professional development activities in the form of educational incentives, training reimbursements, web based elearning modules and affiliate membership with the national organization. This is the second year aeyc was awarded a special initiative from the city of juneau to try to increase the availability and quality of juneau child care services. To that end, we awarded educational wage incentives to 24 providers who had higher education credentials. In fy14 we had 58 participants on the on-line training modules we offer called abcd elearning on 4 different topic areas. Our annual southeast early learning conference was held this year with 170 participants receiving 18 hours of training	
First Korean Presbyterian Church Of Anchorage	http://		EIN 92-0088390	3300 Wyoming Dr	Anchorage	AK	99517	USA							
PAWS	http://		EIN 92-0114252	Po Box 83697	Fairbanks	AK	99708	USA	Emergency Medical Services & Transport,Health						
Alaska Missions And Retreats	http://	(907) 317-9894	EIN 27-4580514	Po Box 230851	Anchorage	AK	99523	USA	Religion,Religion-Related	The mission of alaska missions and retreats is to transform hearts and lives with the message of hope in christ jesus.				Ministry, missions and religious retreats	
Coalition Housing Corporation	http://		EIN 92-0148163	821 N St Ste 207	Anchorage	AK	99501	USA							
Fairbanks Tennis Association	http://www.fairbankstennis.org	(907) 455-4301	EIN 92-0155602	Po Box 73993	Fairbanks	AK	99707	USA	Children & Youth,Youth Development Programs	To promote the health, education and well being of all youth and adult residents of the fairbanks north star borough and interior alaska. To promote and support tennis programs in the fairbanks area. To promote year-round tennis facilities and improve tennis facilities in the community for the public benefit. To foster national and international competition and develop amateur athletes or such competition in cooperation with the united states tennis association and other associations.				Children's and adult's tennis - provided free learning sessions for children and adults, a community rally, family & youth tournaments.  school tennis - provided volunteer instructors for several after-school sessions and also during school continued high school and middle school tennis.	
Oceansalaska	http://		EIN 94-3194998	Po Box 6383	Ketchikan	AK	99901	USA	Animals,Zoos & Aquariums						
Scenic Park Community School Association	http://		EIN 92-0047578	3933 Patterson	Anchorage	AK	99504	USA							
Boy Scouts Of America Council	http://www.bsa.scouting.org/		EIN 92-0022428	9220 Lee Smith Dr	Juneau	AK	99801	USA	Boy Scouts of America,Children & Youth	The Mission of the Boy Scouts of America is to prepare young people to make ethical choices over their lifetime by instilling in them the values of the Scout Oath and Law.					
Kodiak Christian School	http://www.kodiakchristianschool.com	(907) 486-4905	EIN 92-0060455	3300 E Rezanof Dr	Kodiak	AK	99615	USA	Education,Preschools	Private, faith-based educational institution that serves preschool-8th grade students and families in the kodiak community				Tuition for preschool-8th grade education	
Trout Unlimited Rainbow	http://		EIN 51-0208692	P.O. Box 770453	Eagle River	AR	99577	USA	Environment,Natural Resources Conservation & Protection,Pollution Abatement & Control,Water,Water Resources, Wetlands Conservation & Management	Founded in 1959, TU is the leading conservation organization dedicated to conserving, protecting, and restoring, North America's trout and salmon fisheries and their watersheds. Our 100,000 members are organized into 450 local chapters nationwide.  These volunteer chapters are the "watchdogs" of their local rivers and streams.  They conduct stream restoration projects, monitor legislation, and fight for "fish friendly" policies with state and local officials.  Through its Washington DC-based national headquarters, TU conducts valuable scientific and economic research to foster more enlightened trout and salmon management practices, lobbies to strengthen environmental legislation like the Clean Water Act and Endangered Species Act, and provides a voice for its 100,000 members.					
Great Land Trust Inc	http://www.greatlandtrust.org	(907) 278-4998	EIN 92-0155014	Po Box 101272	Anchorage	AK	99510	USA	Environment,Farmland Preservation,Food,Land Resources Conservation,Water,Water Resources, Wetlands Conservation & Management	The mission of great land trust				Conservation of southcentral alaska's wetlands, open spaces and critical habitat. The trust has conserved over 11,000 acres since it was founded including over 40 miles of salmon streams and over 6,000 acres of wetlands. The trust has created 7 new parks, conserved 7 homesteads, 3 farms and 7 access projects to public lands. This also includes all mapping and prioritization work, site selection, project development,and due diligence. This includes outreach and communication with landowners, site visits, report preparation and negotiations with landowners.  stewardship and monitoring of all conservation easements currently owned by the great land trust. This also includes meeting with landowners and management of all properties currently owned in fee or conservation easement by the trust.  acquisition of conservation easements and wetland property. This program also includes purchasing properties with funding from developers paid to the trust via the in-lieu fee agreement with the army corps of engineers.	
St Pauls Orthodox Church	http://		EIN 91-1754098	P0 Box 89	Hyder	AK	99923	USA	Religion,Religion-Related						
Valdez Christian Center Inc	http://		EIN 92-0059471	Po Box 667	Valdez	AK	99686	USA							
Tba Theatre Inc	http://www.tbatheatre.org	(907) 677-7529	EIN 77-0607918	635 W 54th Ave	Anchorage	AK	99518	USA	Arts & Culture,Arts Services,Performing Arts Schools,Theater	Theatre arts fundamental skills				Primary focus on using medium of theatre arts to provide an environment of learning fundamental skills for performers and technicians, in a fun/safe environment. Three largest programs are (1) summer academy day camp youths 5-18 (2) season of 6 plays suitable for families and (3) staff performances at public community events/fund raisers.	
Help Outreach	http://		EIN 92-0152411	PO Box 103913	Anchorage	AK	99510	USA	Community Service Clubs						
Lynn Canal Human Resources Inc	http://	(907) 766-2177	EIN 92-0103798	Po Box 90	Haines	AK	99827	USA	Mental Health,Mental Health Associations	To provide behavioral health services to the haines and skagway boroughs of alaska.				Provide mental health and counseling services in haines alaska, skagway alaska, and outlying areas of each. 248 clients served during fiscal year ending 6/30/14.	
Mt Bether Bible Center At Game Creek Inc	http://		EIN 92-0061452	Po Box 95	Hoonah	AK	99829	USA							
Alaska Mountain Safety Center Inc	http://		EIN 92-0116028	9140 Brewsters Dr	Anchorage	AK	99516	USA							
Beans Cafe Inc	http://beanscafe.org/#_	(907) 274-9595	EIN 92-0072522	1101 E 3RD Ave	Anchorage	AK	99501	USA	Emergency Assistance,Homeless & Housing,Homeless Shelters,Human Services	PROVIDE MEALS, TEMPORARY SHELTER, SOCIAL SERVICES AND REFERRAL SERVICES TO HOMELESS AND INDIGENT INDIVIDUALS RESIDING IN SOUTHCENTRAL ALASKA				Provide meals, temporary shelter, social services and referral services to homeless and indigent individuals residing in southcentral alaska	
Girl Scouts of Alaska	http://girlscoutsalaska.org/	(907) 248-2250	EIN 92-6000179	3911 Turnagain Blvd East	Anchorage	AK	99517	USA	Children & Youth,Girl Scouts of the U.S.A.	Girl Scouting builds girls of courage, confidence and character who make the world a better place.Girls who want to make Alaska and the world a better place join Girl Scouts.	The Girl Scout Leadership Experience provides girls with three keys to leadership: Discover, Connect, and Take Action.Discover: Girls understand themselves and their values and use their knowledge and skills to explore the world.Connect: Girls care about, inspire, and team with others locally and globally.Take Action: Girls act to make the world a better place.All experiences in Girl Scouting incorporate the Discover, Connect, and Take Action keys to leadership. Girl Scout experiences are also girl led and encourage learning by doing and cooperative learning.	Girls throughout Southern Alaska	Girl Scouts of Alaska serves girls who live south of the 63rd parallel in Alaska.	troops, Women of Science and Technology, Encampment, Robotics, Alaska Native Cultures, Out of This World Planetarium Series	We are over 5,000 girl members and 1,500 adult volunteers strong
Kenai Watershed Forum	http://www.kenaiwatershed.org	(907) 260-5449	EIN 91-1829284	44129 Sterling Hwy	Soldotna	AK	99669	USA	Environment,General Science,Natural Resources Conservation & Protection,Pollution Abatement & Control,Technology	Kenai Watershed Forum, founded in 1997, our mission is to work together for healthy watersheds on the Kenai Peninsula, Alaska.Our Goals:Maintain the health of the Kenai Peninsula WatershedsEnsure quality of life for communitySeek local solutions to local environmental and community issuesEnhance and expand learning opportunitiesImprove understanding of Kenai Peninsula Watersheds				Kenai Watershed Forum programs include Research, Education and Outreach, and Restoration.	
