name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results	 	Bay Grasses In Classes 	Best Buddies Colleges	Vision Statement
Tampa Baywatch Inc	http://www.TampaBayWatch.org		EIN 59-3191962	3000 Pinellas Bayway S	Tierra Verde	FL	33715	USA	Environment, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management										
NASDVOB - National Association of Service Disabled Veteran Owned Businesses	http://		EIN 32-0341071		Altamonte Springs	FL	32701	USA	Military & Veterans Organizations, Veterans										
Florida Association of Public Health Nurses, Inc.	http://		EIN 56-2339603	P.O. Box 22994	Fort Lauderdale	FL	33335	USA	Health, Leadership Development, Public Health	The Florida Association of Public Health Nurses, Inc. provides leadership for the nursing profession and promotes quality health care for consumers through education, advocacy and influencing public health practices in the State of Florida.				Educational Programs open to the public and Public Health Nurses with focus on Building Healthier Communities; addressing the increase of comunicable disease, human trafficking and prevention to name a couple.	Funding of two educational programs in year 2012...no registration fee to members; providing current information applicable to the public duties they perform.				
Biosphere Expeditions	http://www.biosphere-expeditions.org	800-407-5761	EIN 72-1614948	PO Box 917750	Longwood	FL	32791	USA	Environment, Natural Resources Conservation & Protection	Biosphere Expeditions is a wildlife conservation non-profit first and foremost. But we also empower ordinary people by taking them on our expeditions worldwide to work hands-on in wildlife research and conservation.  Biosphere Expeditions is an award-winning not-for-profit conservation organisation, and a member of IUCN (International Union for the Conservation of Nature) and the United Nations Environment Programme. For us successful conservation is the collective effort of individuals. We invite everyone to join us on our wildlife and wilderness projects all over the world. Whether young or old, become a citizen scientist for one or two weeks, or more.  The foundation of our work is science and local need. We focus on sustainable conservation projects that target clearly defined, critical issues that humankind has the power to change. International volunteers work hand-in-hand with local biologists and communities to drive positive outcomes for biodiversity - the creation of a protected area for snow leopards in the Altai is just one recent example.  Biosphere Expeditions is a member of the IUCN (International Union for the Conservation of Nature) and of the United Nations Environment Programme's (UNEP) Governing Council & Global Ministerial Environment Forum. Achievements include the implementation of our conservation recommendations and species protection plans by numerous national and regional governments and NGOs, the creation of protected areas on four continents, scientific and lay publications, as well as capacity-building, training and education all over the world.	Wildlife conservation		Worldwide	Wildlife conservation expeditions funded mostly through volunteer and voluntourism contributions	Southern Africa  Data collected by our expeditions in Namibia have helped our local and international partners make arguments that have led to the declaration of the Kavango Zambezi Transfrontier Conservation Area, or KAZA TFCA. The KAZA TFCA is the world's largest conservation area, spanning five southern African countries; Angola, Botswana, Namibia, Zambia and Zimbabwe, centered around the Caprivi-Chobe-Victoria Falls area. Also in Namibia, fewer lions, leopards and cheetahs have been killed in farmer-predator conflict due to our data collection, awareness-building and educational work.  Oman  Data collected by our expeditions as well as our intensive work to influence decision-makers have led to the creation of two MPAs (marine protected areas) in the Musandam Peninsula of Oman, where all fishing except local handline fishing has been banned by a new ministerial decree.  Ukraine  Data collected by our expeditions in the Ukraine have helped our local partners make arguments that have led to the declaration of a national park in the Ukraine. This park now protects a unique steppe area jutting into the Black Sea and a stop-off point for many migratory birds, as well as a haven for fauna (e.g. birds & wolves) and flora (it boasts amongst other things Europe's biggest orchid field).  Altai Republic  Data collected by our expeditions in the Altai have helped our local and international partners make arguments that have led to the declaration of a protected area in the Altai Republic, Central Asia. This area now provides a protected habitat for a number of endangered species, including the snow leopard. Also in the Altai, we have converted local poachers into conservationists by paying them for verifiable camera trap pictures of snow leopards surviving year-on-year. This is obviously not a long-term strategy, but with so few snow leopards remaining, some stopgap solutions are needed until the long-term ones can be reached.  Australia  When Australia created the world's largest network of marine reserves in 2012, the Roebuck Commonwealth Marine Reserve, site of our flatback turtle study, was part of the network. Along with our local partners, we were working towards getting flatback turtles listed within the major conservation values of the reserve and this is what happened, with the citation being Foraging area adjacent to important nesting sites for flatback turtles.   SOME STATISTICS  Over 150,000 hours worked in voluntourism wildlife conservation & research.  Over 1.5 million pounds put directly into conservation project worldwide. Over half a million pounds put into local projects and communities as in-kind donations.				
Tsr Adventures Inc.	http://www.thesmartride.com		EIN 45-1442103	4708 Monroe Street	Hollywood	FL	33021	USA		Tsr adventures, inc. Is committed through the combination of individual contributions and public/private partnerships to creating, producing and/or overseeing community based events in which 100% of what the participant raises is returned to benefiting non-profit organizations.				The smart ride (the southern most aids/hiv ride) - tsr adventures, inc. Produces an annual bicycle event over 2 days to raise money to donate to organizations that provide direct services to individuals infected or affected by the hiv/aids virus. Tsr also contributes to organizations that provide hiv testing, counseling, education services and community outreach programs. The smart ride contributes 100% of the pledges it receives to benefit those organizations.   the 10% lifeline was developed to help more agencies receive funding from money raised by the participants of the smart ride. These funds are available to agencies that serve the hiv/aids community, to fund special projects and initiatives to provide education to those at risk of hiv, or are living with the daily effects of hiv/aids.   bike it for life					
Bit-By-Bit Medical Therapeutic Riding Center	http://bitbybittherapy.com/	954-512-7986	EIN 03-0468799	515 NE 12th Ave	Fort Lauderdale	FL	33301	USA	Human Services	Our mission is to heal, enrich, and empower the lives of special needs children and disabled veterans through medical therapy & the help of the horse!	disabled children and veterans	6000 children, veterans, and their families	South Florida	a FREE veterans' program called Horses for Heroes, as well as providing affordable rehabilitation for specials needs children!	In the last year, we have served over 6000 veterans, children, and adults with special needs. Please join our quest to reach as many people as possible!				
Special Operations Warrior Foundation	http://www.specialops.org	(813) 805-9400	EIN 52-1183585	P.O. Box 89367	Tampa	FL	33689	USA	International, National Security	Provides the opportunity for children of Special Operations forces who die in combat or training to obtain a full four year colleg degree. Also provides immediate financial assistance for families of special operations people wounded in combat.	the families of fallen and wounded special operations warriors	145 students with $4 million in tuition, books, fees, room and board and counseling services.	nationwide	1.  Ensuring college educations for the surviving children of fallen Army, Navy, Air Force and Marine Corps special operations forces; 2.  Providing immediate financial stipends to the families of severely wounded special operators to help with the financial burden of having a loved one hospitalized; and 3.  Providing counseling and advocacy to the families of special operations personnel.					
Chromosome Disorder Outreach, Inc.	http://www.chromodisorder.org	561-395-4252	EIN 52-1774908	PO Box 724	Boca Raton	FL	33429	USA	Birth Defects & Genetic Diseases, Health	CDO provides detailed information and emotional support to all those diagnosed with any rare chromosome disorder.  CDO promotes research and a positive community understanding of these disorders. CDO envisions a time in the not too distant future when doctors will have a great deal of information available on each and every chromosome disorder. They will be able to tell parents symptoms associated with a particular deletion, duplication or other disorder as well as what not to worry about. It is also our hope that appropriate therapies or other treatments will be recommended specific to particular disorders and that affected individuals will have a much greater chance of a fuller life. This is already beginning to happen and it is CDO's goal to further support this research in any way possible.   Individuals and families contacting CDO are reassured that they are alone and help is available to them.	all those diagnosed with any rare chromosome disorder	over 1000 individuals and families	the United States and worldwide	personalized networking programs - matches by chromosome disorder, medical and developmental symptoms and regional location available.  Database registry maintained and updated daily.  Library containing thousands of recent articles as well as original chromosome chapters.  Periodic newsletter.  Interactive website					
NAMI Florida Inc	http://www.namifl.org	(850) 671-4445	EIN 59-2859337	1030 E Lafayette St Ste 10	Tallahassee	FL	32301	USA	Mental Health, Mental Health Associations	ADVANCEMENT OF THE RIGHTS OF THE MENTALLY ILL				Support and advocacy-serving families and friends of people with mental illness, helping to improve the quality of life for persons affected by mental illness. Providing inter-related activities for outreach, education and training, information and referrel, and advocacy and governmental relations. Goal to improve research, services and education to professional, providers, consumers and the general public.					
Dog Liberator Inc.	http://thedogliberator.com		EIN 45-2061719		Deltona	FL	32738	USA	Animal Protection & Welfare, Animals	The Dog Liberator is a non-profit organization dedicated to rescuing homeless and abandoned dogs, primarily dogs from high-kill shelters and owners who can no longer care for them. By working with committed volunteers, local veterinarians, trainers, and foster homes, we are able to rescue hundreds of dogs every year.  From June of 2009 to date, we have rescued, rehabilitated, spay/neutered, and re-homed over 700 dogs throughout the Southeast.  Our dogs are fostered in a home environment which enables us to evaluate the dogs true temperament, provide them with loving temporary care, and find them well-matched, carefully screened homes. We also serve as a resource to our community and all pet owners by providing education and information on responsible pet ownership, including the importance of spay/neuter, positive behavior training, and good nutrition.  Our dogs are examined, vaccinated, micro-chipped, spayed or neutered before they are re-homed.  The Dog Liberator continues to focus on rescuing herding dogs.  Herding dogs have specific needs, both physical and mental, and when adopted to the wrong environment, they can develop behavioral issues.  Herding breeds consist of Collies, Border Collies, Australian Shepherds, Shetland Sheepdogs, and herding mixes.    The Dog Liberator prides themselves on rescuing and adopting deaf/blind dogs and shy fearful dogs that are at high risk for euthanasia.	homeless death row dogs	200 beautiful dogs	Southeast United States	rescue, rehabilitation, medical care, behavioral assessments, training, spay/neuter and adoptions.	Over 700 gorgeous and highly adoptable animals have been saved from unnecessary euthanasia  and placed in loving homes.				
Equestrian Inc.	http://www.equestrianinc.org	813-407-6805	EIN 27-0886432	4902 Timberlan Street	Tampa	FL	33624	USA	Animal Protection & Welfare, Animals	Equestrian Inc. Horse Rescue is dedicated to providing a rehabilitative sanctuary for abandoned, abused, unwanted, or slaughter-bound horses.  We strive to bring people who love horses together with the horses we love.	the unwanted horse population	85 students and 47 community service people	Tampa, Florida	Rescuing, rehabilitating, rehoming horses.  We also reach out to the community by offering Bright Future hours to high school students and we work with the Hillsborough County Sheriff's Department's community service program.	During 2015 we took in 9 horses from race tracks and adopted out 6 horses to loving families.				
Southeastern Guide Dogs, Inc.	http://www.guidedogs.org	(941) 729-5665	EIN 59-2252352	4210 77th Street East	Palmetto	FL	34221	USA	Blind & Visually Impaired Centers, Disabilities, Eye Diseases, Blindness & Vision Impairments, Health, Human Services	Founded in 1982, Southeastern Guide Dogscreates and nurtures a partnership between a visually impairedindividual and a guide dog, facilitating life''s journey withmobility, independence and dignity.All services - which include the breeding and training of dogs; on-campus instruction for the students; and lifetime follow-up for graduates - are provided free of charge. Our school is accredited by the International Guide Dog Federation, based in Reading, England, and is the only such guide dog school in the southeastern United States.				PAWS FOR INDEPENDENCE partners individuals with visual impairments with professionally trained guide dogs. Our certified trainers provide students with 26 days of individualized instruction at our Palmetto, Florida campus - and lifetime support and follow up. Currently we serve more than 800 active graduates. We provide the guide dogs, equipment, single-room lodging, all meals, outings, instruction and post-graduation support completely free of charge, thanks to the generosity of our important contributors. The average working life of a guide dog is eight years, and the majority of our graduates obtain multiple guide dogs from Southeastern Guide Dogs. The process of developing and serving a successful guide dog team takes an average of ten years (two years of training and eight years of post-graduation services) and approximately $60,000. Paws For Independence, like all programs at Southeastern Guide Dogs, receives no governmental funding. We rely solely on the generosity of people like you.					
Kindred Spirits Sanctuary Inc	http://www.kindredspiritssanctuary.org		EIN 20-0712233	12600 N Us Hwy 27	Ocala	FL	34482	USA	Animal Protection & Welfare, Animals, Wildlife Sanctuaries	Kindred Spirits Sanctuary is a home for abused, abandoned, neglected and disabled farm animals.	Abused, abandoned, neglected and disabled farm animals		Ocala Fl						
F.I.S.H. of Sanibel-Captiva, Inc	http://www.fishofsancap.org	239-472-4775	EIN 20-8892375	2430-B Periwinkle Way	Sanibel	FL	33957	USA	Human Services	F.I.S.H of Sanibel-Captiva, Inc. is a human services organization, focused for over thirty years on neighbors helping neighbors. The mission of F.I.S.H. is to lend a helping hand to those who live, work or visit here. The F.I.S.H. vision is to enrich the lives of everyone on Sanibel and Captiva Islands through an array of Food Programs, Island Based Workshops, Social Services and Helping Hands.	those who live, work or visit Sanibel and Captiva Islands		Sanibel and Captiva islands, SWFL	non-medical transportation, food pantry, meals, medical equipment loan, youth scholarships, financial assistance, etc.  Our mission is to lend a helping hand to those in need on Sanibel or Captiva who live, work or visit  here.  Our objective is to make a social investment in our community that assists our neighbors to live independently with dignity in their homes	The F.I.S.H. Walk-In Center is a designated United Way House that offers enhanced services to our clients. Several United Way agencies in Lee County work with F.I.S.H. to develop more effective, cost-efficient social service programs.  The F.I.S.H. Walk-In Center also houses our Food Pantry in partnership with Harry Chapin Food Bank of Southwest Florida.  In 2014, F.I.S.H. impacted the lives of 1,317 households representing 1,737 individuals.  86% of our 2014 annual budget was used for client programming   Seniors 386 senior households benefited from F.I.S.H. programming such as Alzheimers Assessment / Daily well-check calls / Daily prepared meals / Emergency financial assistance / Food pantry / Friendly Faces luncheon / Healthcare assistance / Hurricane preparedness / Medical/health equipment loan service / Non-emergency medical related appointment transportation / Visitation / Workshops   Youth 192 children benefited from F.I.S.H. programming such as Backpack Program / Emergency financialaAssistance / Youth lunches / Youth scholarships   Families 931 households benefited from F.I.S.H. programming such as 211 referral / ACCESS program assistance / Adult education assistance / Community resource referrals / Counseling / Emergency financial assistance / Employment/Unemployment Assistance / ESOL  instruction / Food pantry / Friendly Faces luncheon / Healthcare assistance / Holiday food programs and gift assistance / Hurricane preparedness / Medical/health equipment loan service / Non-emergency medical related appointment transportation / Notary services / VITA   We genuinely thank our volunteers for providing 6,598 hours of service on behalf of F.I.S.H. and our clients, and for  driving 28,700 miles on behalf of F.I.S.H. and our clients.				
Miami Heart Research Institute Inc	http://www.floridaheart.org	(305) 674-3020	EIN 59-0674260	4770 Biscayne Blvd Ste 500	Miami	FL	33137	USA	Health, Heart & Circulatory System Diseases & Disorders Research	Miami heart research institute is an independent, not-for-profit 501(c)(3) organization with the mission to stop heart disease through research, education and prevention. Miami heart research institute's novel approach to collaborative research on the national level serves as a critical impetus to the introduction and development of innovative research efforts. This unique approach has proven highly effective in directing critical resources to open new and vital areas of scientific exploration.				Cardiovascular research: the miami heart research institute is well positioned for a long and productive future in cardiovascular research, education and prevention by combining our unique resources with those of other established centers. Whether in partnership with another research center of excellence nationally or another community service organization locally, we believe that we are stronger as a team than we each are individually. Working collaboratively with other organizations allows each entity to participate fully where their individual strengths lie. Our independence allows us to pursue research, education and prevention programs based solely upon scientific merit and pursuit of our mission. Miami heart research institute's programs and alliances are not influenced by political agendas or projected profits. Unlike affiliated research facilities, this freedom permits us to focus on projects and research partners that demonstrate the most promise for advancement in the field. Partnerships are selected based upon their world-class expertise, credentials and their ability to contribute to the project. These cooperative relationships allow mhri to "fast track" the project bypassing the usual bureaucracy endured by larger institutions. Research projects are selected based upon their scientific validity and their contribution to the advancement of our understanding of the prevention, diagnosis, treatment of heart disease and the disease process. Projects are reviewed by our scientific advisory panel, which is comprised of the physician members of mhri's board. Projects where there has not yet been sufficient interest, knowledge or support are preferred which gives mhri a cutting edge niche as an innovator and leader.   education and prevention: education and prevention projects are pursued that improve public health, reduce health disparities and / or increase access to care in measurable and meaningful ways. At the miami heart research institute, we believe that through basic and clinical research combined with education about the causes, risk factors and lifestyle options, heart disease can be stopped. Research discoveries benefit all humanity and education promotes informed choices thereby improving outcomes and quality of life. Research is imperative for our future health while education and prevention are key to health today.					
Daystar Life Center Inc	http://www.daystarlife.com	(727)825-0442	EIN 65-0523539	226 - 6th Street South	St. Petersburg	FL	33701	USA	Emergency Assistance, Food, Food Banks & Pantries, Homeless & Housing, Homeless Centers, Human Services	Daystar Life Center, Inc.''s provides our neighbors in need with basic necessities in times of hardship and in our ever changing community. We do this by providing services and advocacy with compassion, volunteers, donations and charitable support.			Pinellas County, Florida	Daystar Life Center, Inc. provides the following services to neighbors in need: -Food Pantry-Local transportation (bus tokens,daily/weekly passes, GPTMS)-Rent assistance-Power, gas and water utility assistance-Financial assistance to obtain Florida IDs, including birth certificates -Internet Project ACCESS Gold Member (clients apply on-site for public benefits such as food stamps, Medicaid and TANF)-USDA Food Distribution to two low-income housing units serving 200 clients per month.-Traveler's Aid (sole source for Pinellas County-Confidential mail boxes for 1400+ clients,  RX assistance-Clothes Closet-Personal hygiene products-Holiday food baskets-Information/referrals for other services. Daystar serves on average 100 clients per day,clients usually receive more than one service per visit. All services are provided by a committed corps of trained volunteers who literally do every job, allowing Daystar to maintain a very limited staff: two full-time, two grant-funded and two part-time.	During the last fiscal year, nearly 50,000 clients avoided hunger, homelessness and hopelessness, at least temporarily, because of Daystar.  13,734 clients avoided hunger and enjoyed nutritious meals; 154 clients used gas vouchers so that a mom or dad could go to work or visit a sick child in the hospital; 1156 clients used daily bus tokens to go for a job interview or keep a medical appointment; 11,986 clients avoided health issues because they had dry socks, a change of underwear, a change of clothes, or a jacket during cold weather; 1,596 clients were able to cook a meal or stay warm and wash dishes because their electricity or water was not turned off; 75 clients were able to remain in their apartments because they received rent assistance; 671 clients were able to take showers because their water was not turned off; 6,130 clients were able to brush their teeth, wash their hair, or wash themselves because they received personal hygiene items; 301 clients were able to travel to a safe haven at a friend or relatives home because they received Travelers Aid; 106 clients were able to live healthier lives because they received prescription medication assistance; 2,909 clients were able to apply for jobs, housing, or social security because they received assistance for a state-issued identification card. Another 1400 people had a safe place to receive mail because of Daystars secure mail service.				
Panzou Project Inc	http://www.panzouproject.org	305-956-2523	EIN 26-0865580	% Laura Kallus 1541 Ne 167TH St	N Miami Beach	FL	33162	USA	Children & Youth, Community & Neighborhood Development, Crime & Law, Crime Prevention, Economic Development, Youth Development Programs, Youth Violence Prevention	Our mission is to prevent gang & youth violence by offering our youth a vision of change and the tools to make those changes in their lives and communities!		Over 100 youth AND their families	Miami Dade County		PanZOu has changed the lives of hundreds of young people and their families since 2004. Most of our clients are multiple offenders who began their criminal activies while still a juvenile. We have an 88% success rate in keeping our clients from offending or re-offending while in our program!   As validation of our success, PanZOu received a 2005 Coordination Award from the National Weed and Seed Strategy, 2007 Angels Among Us Award from Department of Children & Families, 2009 Gang Violence Prevention Award from the US Attorneys Office Project Safe Neighborhoods Initiative and has been highlighted by the Attorney General as a model program for his Gang Reduction Strategy 2009-2012. As well, OJJDP recognized the PanZOu Project in its Best Practices to Address Community Gang Problems: OJJDP's Comprehensive Gang Model (2008). The Urban Institutes recent interim evaluation report on our program described our experience and capability implementing and managing such an effort as: One of the strengths of the North Miami Beach GRP has been its organizational capacity and leadership to bring together a diverse yet collaborative and cooperative group of partners who worked to ensure full implementation of the GRP model.  The collaborative functioning within the committee has continued and expanded over time, and the building of such a collaborative partnership has been one of the sites most important accomplishments Community Collaborative Addressing Youth Gangs: Interim Findings from the Gang Reduction Program (May 2008).				
Orlando Film Festival, Inc.	http://www.orlandofilmfest.com	(407) 217-1390	EIN 20-2237306	5131 Gramont Ave	Orlando	FL	32812	USA	Arts & Culture, Film & Video	The mission of the Orlando Film Festival is to support and promote the arts in Downtown Orlando through the medium of film. The Orlando Film Festival seeks to inspire filmmakers and enhance the movie viewing experience in Downtown Orlando through creative, unique and entertaining events. We put a strong emphasis on celebrating our filmmakers because we are all filmmakers ourselves. We truly are a film festival for FILMMAKERS by FILMMAKERS!	Filmmakers who love their craft and subscribe to the concept of continuing their understanding of film as an art form.	1000's of actors, writers, producers, and directors who earn the right to showcase their work to a receptive and captive audience.	Central Florida	300 + films, panels, workshops, social events, and networking opportunities.					
Cat Network, Inc.	http://www.thecatnetwork.org	305-255-3482	EIN 65-0597008	PO Box 347228	Miami	FL	33234	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	The Cat Network is a grass-roots organization with over 2500 volunteer and donor members. Its members have trapped,sterilized and vaccinated against rabies over 51,000 stray and abandoned cats since its inception in December, 1995. It is our mission to make everyone aware of this huge community problem and to be proactive in fighting it by spaying and neutering pets and strays, alike. We encourage the public to adopt stray and abandoned cats as indoor-only pets and practice responsible ownership. We also mediate with planned communities and multi-family developments to enact TNR (trap/neuter/release) efforts rather than extermination of stray cats on their properties. Through combined efforts with other local animal agencies we are working to make South Florida a No-Kill community. We also cooperate with and assist other local governmental agencies in animal hoarder situations.	Stray and feral cats.		South Florida	The Cat Network maintains several programs to provide a better life for stray and abandoned cats. Our Spay/Neuter Program is supported by over 40 local area veterinary clinics, and provides low cost sterilization and vaccination. Our Adoption Referral Program provides a much needed outlet for adopting stray and abandoned cats. Our Special Needs Program financially assists members seeking medical attention for injured and ill cats that they have rescued.	Our members have trapped and sterilized over 51,000 stray and abandoned cats and have adopted out over 7,000 cats since our inception in December of 1995.				
Bubba The Love Sponge Foundation Inc	http://www.btlsfoundation.org	(813) 289-7778	EIN 26-3450255	5025 W Lemon St Ste 200	Tampa	FL	33609	USA	Human Service Organizations										
CJ Acres Animal Rescue Farm	http://www.cjacres.org	904-600-7676	EIN 26-3967446	5728 Jones Creek Road	Keystone Heights	FL	32656	USA	Animal Protection & Welfare, Animals	CJ Acres Animal Rescue Farm (www.cjacres.org) is a 501(c)(3) non-profit, all-volunteer organization that exists to rescue, rehabilitate, and reintroduce in-need animals suffering from abuse, abandonment, neglect or catastrophic disasters, all while promoting compassionate animal care to the community.	In-need animals throughout the United States. Currently, our "residents" come from Arizona, Florida, Iowa, North Carolina, South Carolina and even Canada.		United States						
Love INC of Brevard Inc	http://www.loveincbrevard.com/	321-273-9542	EIN 36-4512166	830 N. Apollo Boulevard	Melbourne	FL	32935	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion	Our mission is to "mobilize local churches to transform lives and communities in the name of Christ."  Love INC takes churches across denominational lines to meet the multifaceted needs of people in need. Existing resources operating independently are not adequate to meet current and growing levels of need in our country. Love INC can do what the others can't.  Agencies, charities and government can provide a safety net to help those in need, but it can't Love and bring transformation like Love In the Name of Christ can.  We look for the time when the Church will rise up and follow the teachings of Jesus and stand against community woes such as the working poor and other forms of poverty, human trafficking and other forms of victimization, and respond together saying, "Not on our watch. We will face these problems together!"	people in various forms of poverty facing a time of need.	Our Home Repair Team served 77 clients in 2013. The team completed 104 volunteer workdays, 93 Client Home projects, with 77 Clients Served. Those projects included 58 Client Home Repair Projects and 12 Client Home Renovations. We aided our elderly and disabled clients with house cleaning and yardwork and pressure washing. This team dedicated 2,760 volunteer in service hours. That's what happens when the church does what we call "Jesus in Action!"	Brevard County	Our Gap Ministry provides assistance to clients in areas where people need help such as:  home repairs, home renovations, our client voucher program providing 80% discounts on items like: furniture, appliances, housewares, clothes.  Personal Care Pantry voucher program 25 cents per family-sized hygiene products.  It is done in dignity. Our clients choose the furniture they want for their home, that they like. The hygiene products are the brands their family uses, not like agencies where you get handed whatever is available without freedom of choice.   Our Transformational ministry provides education and mentorship (budget mentoring, career building, home maintenance, navigating Medicaid and Medicare and other health insurance, Basic computer skills, starting a small business, Bible studies, etc.)  Through education and mentorship we partner with our clients with dignity and respect providing the tools for a lasting impact in their lives.	Founded in 1977, Love INC has 157 affiliates nationwide. Our local affiliate, Love INC of Brevard, is a non-profit partnership of 47 Churches, 35 community organizations, 20 businesses and 1,300 volunteers in Brevard purposed to help people break the cycle of need.  We celebrated our 10th anniversary of the ministry this past year, providing help and hope to people in need by giving a "hand up" not a "hand out".  As Christians, we follow the teachings of Jesus, to love our neighbors as we love ourselves. In 2013, we served 400 clients and continue to receive referrals through our client call center where we assess a client's needs, complete an intake, make an action plan, and partner with clients throughout their time with our ministry. We have a calling to value and serve the needy, walking side by side in dignity and respect, providing the tools to making a lasting impact through assistance and accountability.				
Liberty Manor for Veterans Inc	http://www.LibertyManor.org	813-900-9422	EIN 02-0775720	10015 N 9TH St	Tampa	FL	33612	USA	Homeless & Housing, Housing Support, Military & Veterans Organizations, Senior Citizens Housing & Retirement Communities, Seniors, Veterans	The mission of Liberty Manor is to promote the developmental and social needs of disabled, honorably discharged veterans who have fallen victim to homelessness providing transitional, supported housing and establishing objectives designed to attribute to self-sufficiency.	Honorably Discharged Homeless and Disabled Veterans	Fifty Veterans	Tampa	Quality housing to homeless and disabled veterans	Business of the Year Finalist Chamber of Commerce  Florida State Senate Proclamation  Hillsborough County Sherriff Office Community Award City of Tampa Mayors Alliance Volunteer Award Hillsborough County Veterans Council Spirit Award  Tampa Mayors Alliance Volunteer Award Bay News 9 Community Hero Am Vets National Americanism Award  Elks National Veterans Service Commission Freedom Award  WEDU Judges Choice Category Finalist Cambridge Whos Who Among Executives, Professionals and Entrepreneurs  Who's Who in Executives and Businesses and Whos Who of American Women  International Women's Leadership Association The Business Journals - Biz Women on the Move Women-N-Charge 2011, 2015, 2016 Tampa Bay Buccaneer Community Quarterback Award Winner Board Member Patriotic Instructor VFW Auxiliary  American Legion Auxiliary Second VP  Temple Terrace Chamber of Commerce James Haley & Bay Pines Veterans Advocacy Council Operation Enduring Gratitude Board Member Hillsborough County Homeless Coalition Board Member/General Member  Cambridge Whos Who Among Executives, Professionals and Entrepreneurs Arthur Young Entrepreneur of the Year Finalist - INC. Magazine  Alumni Member - Gamma Beta Phi Society				
The Critter Place	http://thecritterplace.weebly.com/	352-584-8724	EIN 45-5214244	10396 Snowbird Ave.	Weeki Wachee	FL	34614	USA	Animals	The Critter Place is a forever home sanctuary for "throw away" animals saved from abuse, neglect or abandonment. We are a private couple who just care about animals of all kinds that need a place to rest and live their lives without abuse, neglect and will never be abandoned as long as they live. We are a Florida Non Profit charitable organization.	Animal lovers and advocates	35 cats and 6 dogs	Weeki Wachee, Fl	Animals Healing Veterans and the Disabled Outreach Program  https://www.facebook.com/AHVATD/					
Zooville USA	http://www.ZoovilleUSA.com	813-690-9696	EIN 27-0457726	4702 Cooper Road	Plant City	FL	33565	USA	Animals, Zoos & Aquariums	To connect our visitors with the wonders of the natural world, and through wildlife exhibition and education, to inspire actions that will create a better future for wild animals and wild places	Children in Hillsbrough and surrounding counties, Tampa Bay			The organization priovides a safe and comforatable invirnment for exotic anamals that have been abandoned or have been mistreated. It also educates the community about exotic animals and the care and treatment thereof.					
Majical Miniatures and the Cat's Cradle inc	http://www.majicalminiatures.org	941-981-9121	EIN 20-8403804	16502 Golf Course Rd	Parrish	FL	34219	USA	Animal Protection & Welfare, Animal Services, Animals, Wildlife Sanctuaries	Majical Miniatures, a 501c3 not for profit animal sanctuary, is a place where second chances are born. Animals arrive here for many reasons and in all kinds of conditions; our goal is to save them all. While that is humanly impossible, we save as many as we can, and the ones we lose are lost with deep sorrow. No one is forgotten as we move on to the next one that needs us	everyone who loves animals	200+ animals that currently reside at Majical MIniatures rehab center		Majical miniatures is a place where second chances are born. Injured, orphaned, neglected of just unwanted exotic and farm animals are treated like the heroes they are. Their bodies heal with the best care we can give them. But as important, their will and spirit heals as they learn to trust the love and respect that surrounds them. Our goal is to save them all. While that is humanly impossible, we save as many as we can, and the ones we lose are lost with deep sorrow. None are forgotten as we move on the the next one that needs us. Our main goal for the wildlife we care for is to repair their bodies and keep their spirits as wild as we can, so they may be released into their wild world again. Willife that is permanently disabled live here for life, and they become the teachers that only they can be - to educate humans about their kind. Their very presence here is one of the surest ways of teaching why they need to be left in the wild, not picked up and taken home as pets.	We are currently working on a volunteer drive as well as fundraising events & campaigns to open our new education center to help educate the public about the animals we rescue & rehab.				
New Image Youth Center Inc	http://www.newimageyouth.org	(321) 388-1627	EIN 56-2482818	212 S Parramore Ave	Orlando	FL	32805	USA	Children & Youth, Youth Centers & Clubs	Community development				Community foundation of cf-selected by the city of orlando, fl as one of the children inititatives in the metro-area servicing 85 kids with college preparation, community outreach, counseling, life skills, mentoring and tutoring  summer camp - servicing 85 kids hosting a summer program filled with fun activites and events that help students stay engaged in positive activities  healthy living - all 85 students take part in the garden program. The purpose of this program as a whole is to teach the students healthier living physical activity incorporating dance, sporting activites, and other exercise.   other misc. Programs including scholorship program for assistance to students in need					
Compass Community Center	http://www.compassglcc.com	561-533-9699	EIN 65-0052657	201 North Dixie Highway	Lake Worth	FL	33460	USA	AIDS, Children & Youth, Fairs, Health, Public Health, Sports	Compass aims to diminish stereotypes by challenging long-standing misconceptions about the character of the lesbian, gay, bisexual and transgender community. We accomplish this by emboldening our youth, promoting pride in our community, and acting as an educator, advocate, health service provider, and focal point for community organizing.  As good neighbors, effective partners, and respected participants in our civic responsibilities, Compass promotes awareness of the caring nature of our diverse community.	the LGBTQ community	over 35,000 visitors in our center	Palm Beach County and South Florida	HIV prevention, youth program, young adults programs, social & support groups, PrideFest of the Palm Beaches, Stonewall Ball and many other events throughout the year.					
