name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Direct beneficiaries per year	Geographic areas served	Programs	Target demographics
Friends Of Patterson Park Inc	http://		EIN 52-2094989	27 S Patterson Park Ave	Baltimore	MD	21231	USA	Environment, Environmental Beautification	To preserve and promote Patterson Park.					
Witness Justice	http://witnessjustice.org	(301) 846-9110	EIN 04-3670246	Po Box 2516	Rockville	MD	20847	USA	Disaster Aid, Mental Health, Mental Health & Crisis Intervention, Public Safety, Disaster Preparedness & Relief, Victims Services	Support & advocacy for survivors of violence & trauma				Began new federal dhhs contract to complete a literature review and environmental scan on mental health interventions to school shootings.   continued art advocacy efforts to address trauma and promote personal and community mental health resilience.   continued to work with federal policymakers to educate them on the nature and impact of trauma and how this impacts an individual from childhood through adulthood.	
Arts Business Institute Inc	http://		EIN 03-0431837	3000 Chestnut Ave Ste 300	Baltimore	MD	21211	USA	Arts & Culture, Arts Education						
International Society For Ethical Psychology And Psychiatry Inc	http://psychintegrity.org	(575) 522-8371	EIN 23-7378417	5884 Joshua Pl	Welcome	MD	20693	USA	Education	The principal purpose is to function as an independent, nonprofit research and educational institute to examine and disseminate information concening the impact of psychiatric theory and practice upon personal freedom, liberty and a moral and spiritual conception of humanity.				Conference and workshops to further educate professionals and the public on the benefits and how to deliver psychosocial approaches to mental health and hazards of bio-medical model pf psychiatry. Research and data collection of scientific and explanatory materials and the distribution of said materials to further knowledge of the hazards of bio-medical model of psychiatry and the benefits of psychosocial approaches.	
Gentle Giants Draft Horse Rescue Society Ltd	http://www.gentlegiantsdrafthorserescue.org	443-285-3835	EIN 59-3822764	17250 Old Frederick Road	Mount Airy	MD	21771	USA	Animal Protection & Welfare, Animals	Gentle Giants Draft Horse Rescue was formed to facilitate the rescue of Draft and Draft Cross horses from slaughter, abuse, and neglect.	Thanks to the support of our generous donors, Gentle Giants has expanded and can now house 100 horses!	150 horses	the United States	rescue, rehabilitation, retraining, and re-homing.	save draft and draft cross horses from slaughter, abuse, and neglect
Carson Scholars Fund, Inc.	http://www.carsonscholars.org	410-828-1005	EIN 52-1851346	305 W Chesapeake Ave Suite 310	Towson	MD	21204	USA	Education, Elementary & Secondary Schools, Literacy, Remedial Reading & Encouragement, Scholarships, Scholarships & Student Financial Aid	The goal of the Carson Scholars Fund is to address the problem of academic underachievement by motivating young people to strive for academic excellence and to use their intellectual and leadership skills to contribute to society.   The objective of the Ben Carson Reading Project is to enhance existing curricula/practices and to give a school an opportunity to create an environment to engage children in independent reading and to help them develop a love for reading at an early age.	The scholarship program started in 1996 with 25 scholars in 3 states. Today, we have over 6,700 scholars in all 50 states and the District of Columbia. Since 2000, the Ben Carson Reading Project has established over 155 Reading Rooms in 21 states and the District of Columbia.	We award scholarships to students in grades 4-11 who maintain a 3.75 GPA and are involved in community service. Our reading rooms build libraries in schools that otherwise may not have funding for a library or a full-time librarian.	United States of America	The Carson Scholars Fund offers scholar awards to students as early as the fourth grade. Awards are based on academic achievement and humanitarianism, regardless of financial need. Carson Scholars are honored at an annual awards banquet, where they receive personalized medals, certificates, peer recognition and a large trophy for their school, which lists names of the award winners.  In addition to providing scholarships, the Carson Scholars Fund has established over 150 reading rooms in 21 states and Washington, D.C. The Ben Carson Reading Rooms provide a safe haven for students to discover the joy of independent reading.	Carson Scholarships are awarded to United States students grades 4-11. Reading rooms are predominantly built in elementary schools, across the country.
The Shepherd's Table, Inc.	http://www.shepherdstable.org		EIN 52-1381738	8210 A Colonial Ln	Silver Spring	MD	20910	USA	Emergency Assistance, Homeless & Housing, Homeless Centers, Human Services					Shepherd's Table's programs include:- serving a hot evening meal 365 days a year- providing "gently used" clothing to men, women, and children through our "Clothes Closet" - operating a Resource Center which provides information and referral to services provided by community and government agencies; homeless client advocacy; mail receipt and distribution for those with no fixed address; telephone access; shelter referrals and transportation assistance; prescription assistance; emergency response to crisis situations; on-site medical, psychiatric, mental health, and legal services; Veterans' Homeless Outreach assistance; free haircuts- operating a free Eye Clinic which provide no cost eye testing, glaucoma testing, and prescription eyeglasses to those in need	
Court Appointed Special Advocate -CASA- Prince Georges County, Inc.	http://www.pgcasa.org	301-209-0491	EIN 52-1772617	6811 Kenilworth Avenue Suite 402	Riverdale	MD	20737	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Crime & Law, Domestic Violence, Protection Against Abuse	Court Appointed Special Advocate (CASA)/ Prince George's County, Inc. is a volunteer-based organization that partners with the juvenile court to improve the lives of children living in foster care who have suffered from abuse and neglect.  With a strong commitment to diversity, CASA/ Prince George's County trains and supervises volunteers from the community who advocate for the best interest of children, recognizing and respecting each child's individual needs.  By providing a voice to children in the foster care system, it is our goal to help children and promote the timely placement of those we serve in safe, permanent homes.	In the past three years, 278 children received direct, one-on-one support in relationships from caring CASA volunteers. Each of these children had a volunteer who focused on permanence and stability.  In the past three years, 140 children we served achieved permanence. Of the children who achieved permanence, there were no reports of new abuse or neglect.  Of the recommendations CASA volunteers make during court hearings, 81% are ordered by the court which means more services for children served by CASA.  CASA was invited to participate in the Prince George's County Model Court Steering Committee and has helped to prioritize the permanency needs of the county's children and improving outcomes for older foster youth preparing to transition to independence. In 2011, created one of the first Transitioning Youth Programs amongst CASA programs to dedicate resources to preparing youth for successful transitions to adulthood.  CASA has expanded services despite one of the worst economic climates. CASA has diversified our volunteer force to nearly mirror the ethnicities of the children and youth we serve.	180	Prince George's County, Maryland	Child Advocacy; Transitional Youth Programming (for youth preparing to transition out of foster care to independence); Lesbian, Gay, Bisexual, Transgender and Questioning (LGBTQ) Task Force; Professional Child Welfare Training	Children 0-21 years old who have been adjudicated Children in Need of Assistance (CINA) by the Juvenile Court due to the severity of abuse and neglect they have endured.  All children we serve are deemed low-income by the Federal government due to their foster care status.
National Fallen Firefighters Foundation	http://www.firehero.org	(301) 447-1365	EIN 52-1832634	16825 S Seton Ave PO Drawer 498	Emmitsburg	MD	21727	USA	Disaster Aid, Fire Prevention, Public Safety, Disaster Preparedness & Relief	To honor and remember america's fallen firefighter heroes, to provide resources to assist their survivors in rebuilding their lives, and work within the fire service community to reduce firefighter deaths and injuries.				Survivor programs - to provide support to fire service survivors. Sponsored the 9th annual fire service survivors conference in clayton, missouri, with more than 195 attending. Conference workshops focused on dealing with grief and life skills. There are now more than 450 fire service survivor support network members from 44 states and the district of columbia. These survivors assisted the foundation by providing peer support to new families. Newly bereaved families were carefully matched with network members. There were 135 network members who sent 3,729 remembrance cards to families on the anniversary of their loved one's death. More than 145 network members supported activities of the national fallen firefighters memorial weekend. Network members also volunteer with fundraising activities. The foundation provided 311 grief brochures to survivors in 11 states. Prepared and sent six issues of the journey dealing with loss and survivor-to-survivor support. Each issue was sent to more than 4,000 survivors. Awarded 78 scholarships to spouses, life partners, children, and stepchildren, enabling them to pursue their educational and career goals. The third year of the hal bruno camps for children of fallen firefighters helped children cope with the loss of a parent. These are weekend bereavement camps that provide children an opportunity to network with other children and gain tools to cope with their grief. Camps were held in missouri and florida with 41 children ages 4-17 attending. While the children were at camp, parents attended a session providing information on how to help their children through the grief process.   fire service programs - established as the cornerstone outreach element of the nfff to reach out to the fire service to reduce line of duty deaths and injuries among the nations fire service. The fire service programs include the local assistance state teams (last). Every state has an established team or the foundation is actively working to establish a team. Last members provide various levels of assistance for all reported firefighter fatalities. They also assist fellow public safety agencies by aiding the families and departments who experience a line of duty death. Everyone goes home advocates provide grass roots assistance and introduction of the 16 firefighter life safety initiatives. There are advocates in every state and they promote the fire service training programs and assist departments in focusing attention to personal and organizational responsibilities to reduce firefighter deaths and injuries. Fire service programs has also established an online training network so firefighters can obtain on-line training at their own pace and at no cost to the user.   memorial weekend - national tribute to all firefighters who died in the line of duty during the previous year. In october, the foundation sponsored the official national tribute honoring 97 firefighters who died in 2013 and nine from previous years. Provided lodging, meals, and travel assistance to families. Hosted 538 survivors who attended the memorial weekend. Offered group counseling sessions for 244 survivors. Involved honor guard units and family escorts from across the country. Survivors from previous years returned to manage family registration and family day activities. More than 6,000 attended the national memorial service. Broadcasted the candlelight and memorial services live and streamed over the internet.	
My Sisters Circle Inc	http://		EIN 52-2335639	Po Box 84	Timonium	MD	21094	USA	Children & Youth, Youth Development Programs						
Y-U BREAST CANCER FOUNDATION INC	http://		EIN 90-0811014	137 National Plz Ste 300	Oxon Hill	MD	20745	USA	Health, Patient & Family Support						
Justice Through Music Project Inc	http://		EIN 27-0051467	8416 Westmont Ter	Bethesda	MD	20817	USA	Civil Rights, Voter Education & Registration, Voting Rights						
Inabangnons In The United States And Canada Inausca	http://		EIN 52-1911822	5914 Somerset Rd	Riverdale	MD	20737	USA	Philanthropy, Voluntarism Promotion						
Casey Cares Foundation Inc	http://www.caseycares.org	(443) 568-0064	EIN 52-2259802	3918 Vero Rd Ste C	Baltimore	MD	21227	USA	Arts & Culture, Cancer, Fund Raising & Fund Distribution, Health, Patient & Family Support, Pediatrics	The casey cares foundation provides ongoing, uplifting programs with a special touch to critically ill children and their families.				The family festivities program provides families with tickets to sporting events, area attractions, group events, and concerts. We personalize the experience with snacks, disposable cameras, parking, meals and seating for children that have special needs. In 2014 there were 8,235 participants in the family festivities program.   the kami's jammies program provides sleepwear and themed pajama parties to pediatric patients on extended stays in area hospitals. In 2014, there were 6,309 participants in the kami's jammies program.   the caring connections program encourages casey cares families to meet, share and lean on each other while taking part in fun group activities. In 2014, there were 1,014 participants in the caring connections program.   the birthday blast program helps children celebrate with surprise deliveries of balloons, cookies, flowers or gift cards on their special day. Every child's birthday is special, but for the children of casey cares, it is a special milestone to be celebrated. In 2014, there were 538 participants in the birthday blast program. The celebration vacation program supports families by providing customized weekend getaways. Providing stress-free family time, with lodging, food and activities, is what makes celebration vacations special. In 2014, there were 243 participants in the celebration vacation program.	
THE SOUTH AFRICAN LACROSS PROJECT INC	http://www.southafricanlacrosse.org		EIN 26-0352355	6901 Charles Ridge Rd	Towson	MD	21204	USA	International, International Development				Limpopo, South Africa	annual lacrosse camps	orphans affected by the AIDS virus
IGLESIA PENTECOSTAL CAMINO ALA VIDA ETERNA INC	http://www.ipcalve.org	301-944-2838	EIN 52-1783999	25520 Woodfield Rd	Damascus	MD	20872	USA	Christianity, Religion						
Interfaith Community Pantry Inc	http://		EIN 52-1689915	301 Cumberland St	Cumberland	MD	21502	USA	Food, Food Banks & Pantries						
Sjogrens Syndrome Foundation, Inc.	http://www.sjogrens.org	(301) 530-4420	EIN 11-2779073	6707 Democracy Blvd Ste 325	Bethesda	MD	20817	USA	Diseases of Specific Organs, Health	The SSF mission is to educate patients and their families about Sjgren's syndrome, increase public and healthcare provider awareness, and encourage research to find better treatments and a cure.				Research grants to promote continued medical and scientific research in the area of sjogren's syndrome. Five grants were awarded to university affiliated researchers during fye 2015. Two student fellowships were also awarded for internships in a sjogren's research laboratory.   newsletter - the ssf produces two newsletters. "the moisture seekers" is a patient focused newsletter with information about sjogren's and its many manifestations. Tms is produced monthly. The "sjogren's quarterly" is a professional publication produced 4 times a year and offered free to all healthcare professionals to increase awareness and education around sjogren's.   awareness activities help to promote sjogren's syndrome and educate potential patients through media and public relations. These programs include speaking at professional conferences as well as distributing educational materials to the public and to professionals.   one national patient confernce was held this past year. This conference was held for patients and their families to learn from healthcare professionals about treatment and management of sjogrens syndrome. Over 400 individuals attended these conferences. In addition, the foundation performed other various services benefitting the industry at large. It also sells products and materials that are relevant to those with sjogren's syndrome.	
Freedom Hill Horse Rescue	http://	(301) 806-1708	EIN 20-1933165	Po Box 606	Dunkirk	MD	20754	USA	Animal Protection & Welfare, Animals	To rescue, rehabilitate and adopt unwanted abused and neglected horses				Adoption of horses (over 18) training and rehabilitation of horses (over 12)	
CASA Of Baltimore County, Inc.	http://www.casabaltco.org/	410-828-0515	EIN 52-2258847	305 West Chesapeake Avenue Suite 117	Towson	MD	21204	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Crime & Law, Domestic Violence, Protection Against Abuse, Youth Development	National CASA's mission is to ensure that every child in or risk of being placed in foster care has a CASA Volunteer, appointed by judges to be a voice for these children in court. The result is that they are placed into safe, loving homes where they can thrive.	We provide on average 175 volunteers who serve up to 200 children, based upon our financial ability.  Our county has nearly 600 children in foster care currently.  Our fundraising efforts are all directed toward costs of recruiting and training more volunteers in order to reach even more children.  Our goal is to provide a CASA for each child who needs one.	200 children	Baltimore County, Maryland	Screening, including background checks, training, and supervision of volunteer advocates; tracking through database of court cases; presentation of court reports for individual cases.	We serve a diverse group of children, birth through 18 years or age, who are in foster care.
HARFORD FAMILY HOUSE INC	http://www.harfordfamilyhouse.org	(410) 273-6700	EIN 52-1706367	53 E Bel Air Ave Apt 3	Aberdeen	MD	21001	USA	Homeless & Housing, Homeless Shelters	To help homeless families with children become self-sufficient and productive members of society.	Provided 22,908 nights of shelter and support to homeless mothers, fathers and children. 82% successfully moved on to permanent, stable housing Served 143 individuals, including 88 children			Transitional housing, emergency shelter and supportive housing for homeless families with children	
Caroline Friess Center Inc	http://caroline-center.org		EIN 52-1920377	900 Somerset St	Baltimore	MD	21202	USA	Economic Development, Job Training, Urban & Community Economic Development	Caroline Center's mission is to enable unemployed and underemployed women to find work in a career with potential for growth and advancement, thus creating a future of hope for themselves and their families.					
National Tuberous Sclerosis Association Inc	http://www.tsalliance.org	(800) 225-6872	EIN 95-3018799	801 Roeder Rd Ste 750	Silver Spring	MD	20910	USA	Health				Nationwide	1. Family Services develops programs and services that provide individuals with tuberous sclerosis crisis counseling and direct access to the information, resources and specialists experienced in the diagnosis, treatment, and management of tuberous sclerosis.2. Research stimulates and supports genetic, clinical and basic research into the various manifestations of tuberous sclerosis to further the development of genetic testing, gene therapy and clinical therapies.3. Public Health Education heightens awareness of tuberous sclerosis throughout the general public to broaden the scope of support and understanding beyond the tuberous sclerosis individuals and their families.4. Professional Education expands programs targeting those specialists who treat patients with tuberous sclerosis, medical students, genetic counselors and educators to minimize the tragic consequences of ignorance and misinformation.5. Government Relations focuses on obtaining federal resources for tuberous sclerosis research, clinical care and information dissemination.	
Trees for the Future, Inc.	http://www.plant-trees.org	800-643-0001	EIN 52-1644869	9000 16th St	Silver Spring	MD	20910	USA	Environment, Food, Forest Conservation	Trees for the Future is an agroforestry resource center, working with people to improve livelihoods and restore degraded lands to sustainable productivity through planting beneficial trees.	2010 saw a year of significant growth for the international tree planting program. We are presently working in 28 developing countries: Belize, Bolivia, Brazil, Burkina Faso, Burundi, Cameroon, Columbia, Ecuador, Ethiopia, Ghana, Guinea, Haiti, Honduras, India, Indonesia, Kenya, Malawi, Mauritania, Nepal, Nicaragua, Niger, the Philippines, Rwanda, Senegal, Tanzania, Uganda, Zambia and Zimbabwe. TREES has been able to provide more on-site technical support to these projects and this has resulted in a major increase to approximately 17,100,000 trees planted in 2010 -- about 21% more than in the previous year.	17,100,000 trees planted in 2010, Thousands of lives changed	Africa, Asia, Central America, South America, Caribbean	- On-site country programs - The Global Cooling Action Center - Loret Miller Ruppe Center For Sustainable Development - Long Distance Agroforestry Training Program	Instead of targeting specific projects or countries, people in developing communities come to us for help. We work hard to make it known to the people of these communities that there is help for them to save their lands and their way of life - and that it's FREE because concerned people here (like you) are aware of the critical problems they are facing and want to help.
Chesapeake Arts Center	http://www.chesapeakearts.org	410-636-6597	EIN 52-2056995	194 Hammonds Lane	Brooklyn Park	MD	21225	USA	Arts & Culture, Arts Education, Bands & Ensembles, Performing Arts, Theater	Chesapeake Arts Center provides opportunities for culturally diverse and rewarding experiences in the literary, visual and performing arts.				Classes - dance, music, woodworking, drawing and other classes working in the arts.   theatre revenues - revenues generated by renting the theatre out to local artists for shows, performances, and recitials, as well as a revenue sharing component where, the center allows certain established groups to put on performances in exchange of a share of the ticket sales.   the center puts on performance for the community with a number of recognized artists through out the area, where the center puts up a fee for the performance, subsidizing the cost.	
The Real News Network (Independent World Television, Inc.)	http://therealnews.com	(410) 800-4295	EIN 01-0808098	231 N Holliday Street	Baltimore	MD	21202	USA	Arts & Culture, Film & Video, Television	The Real News Network (TRNN) is a Baltimore based non-profit video-news and documentary service that reports international, national, and local news. We believe that a vibrant public media ecosystem is essential to maintaining a healthy democracy.  At TRNN, we report the news with the interests of the average citizen in mind. We encourage viewers to imagine a government that works for them by connecting the abstract policies enacted by politicians to the concrete consequences they have on citizens lives. We provide the context needed to understand current events, investigate solutions to modern crises, and empower viewers to demand change from their government. Our goal is to start a conversation and encourage our viewers to question the news and ask Why is this happening to me? and What can I do about it? By searching for solutions to modern problems, we can combat citizen apathy and paralysis and offer hope for a better future.	Since 2007, the more than ten thousand stories weve produced have been viewed over 200 million times. Each month we reach over a million people on our website and across multiple social media platforms.   By thoroughly examining the effects of policy on the everyday lives of citizens, we can create a more politically aware populace of voters. Through promoting inter-community dialogue and providing a public forum where people can share their ideas, we create opportunities for collaboration and collective action. With the help of our viewers we will continue and expand upon the work we have begun in Baltimore and elsewhere. Only an informed and engaged electorate will produce a political system capable of meeting the greatest challenges of our time.				
THE AMERICAN UNIVERSITY OF NIGERIA FOUNDATION	http://aunf.org/	(301) 770-6000	EIN 14-2002886	6931 Arlington Road, Suite 575	Bethesda	MD	20814	USA	Education	To raise funds for the american university of nigeria to provide an education for vulnerable nigerian youth and humanitarian assistance to survivors of boko haram viloence. The foundation also provides scholarships for needy youth.				Raising funds for american university of nigeria and providing scholarships for needy youth.	
Friskys Wildlife & Primate Sanctuary Inc	http://friskys.org	(410) 418-8899	EIN 52-2055816	10790 Old Frederick Rd	Woodstock	MD	21163	USA	Environment, Land Resources Conservation	Medical care and home for primates - federally licensed facility				Emergency medical care for wild animals and permanent home for primates	
Maryland Crime Victims' Resource Center, Inc	http://www.mdcrimevictims.org/help	301-952-0063	EIN 52-1376744	1001 Prince George's Blvd. Suite 750	Upper Marlboro	MD	20774	USA	Civil Rights, Crime & Law, Public Interest Law, Victims Services	To ensure that victims of crime receive justice and are treated with dignity and compassion through comprehensive victims'rights and services.	Originally the Stephanie Roper Committee and Foundation, we have successfully advocate for the passage of numerous laws to assist victims of crime.  We assist victims of crime so that they are empowered through legal and social services including by representing crime victims and survivors in criminal case to assert and protect their rights.  We also provide national leadership in identity theft through the National Identity Theft Victim Assistance Network.  (NITVAN)	Many victims and victims' representatives	Maryland, DIstrict of Columbia, and throughout the United States	criminal justice education, court accompaniment, counseling, support groups, community education, national identity theft leadership, legal information and assistance, direct legal representation of crime victims, policy advocacy, technical assistance for allied professionals and criminal justice agencies, and faith-based referrals.	victims of crime and survivors of homicide victims
Jacques A Clermont Memorial Funds	http://		EIN 52-1958380	Po Box 1304	Columbia	MD	21044	USA	Children & Youth, Children & Youth Services						
Girls on the Run of MontgomeryCounty Inc	http://www.girlsontherunofmoco.org	301-881-3801	EIN 20-5531978	11821 Parklawn Dr Suite 105	Rockville	MD	20852	USA	Camps, Sports	Our mission is to deliver a quality program that educates and prepares young girls for a lifetime of self-respect and healthy living. We strive to touch the lives of young girls throughout Montgomery County, Maryland regardless of their families economic status.	Since our inception in 2007, we have provided the program to over 15,500 girls on Montgomery County and given over $550,000 in scholarship support to their families.	1,000 girls with $120,000 in scholarship funds and shoes	elementary and middle schools	The Girls on the Run and Girls on Track curriculum which inspires girls to define their lives on their own terms. Throughout the season, the girls make new friends, build their confidence and celebrate all that makes them unique.The Girls on the Run lessons encourage positive emotional, social, mental and physical development.  Participants explore and discuss their own beliefs around experiences and challenges girls face at this age.  They also develop important strategies and skills to help them navigate life experiences. We start with helping the girls get a better understanding of who they are and whats important to them.  Then, we look at the importance of team work and healthy relationships.  And, finally, the girls explore how they can positively connect with and shape the world. Physical activity is woven into our program and the season ends with a celebratory 5K Fun Run for both the participants and their families.	young girls with self-esteem
National Prayer Garden	http://nationalprayergarden.org		EIN 39-2053785	PO Box 370	Welcome	MD	20693	USA	Christianity, Religion	To bridge the gap between cultural, ethnic, and denominational barriers, and to unite the Body of Christ through prayer under one roof.					
SHARPERMINDS MOTIVATING CHANGES INC	http://www.sharpermindsconsultants.org/		EIN 45-4396761	p/o box 1851	Owings Mills	MD	21117	USA		SharperMinds strives to be the premier resource for education and information on the prevention of domestic violence.   SharperMinds is a 501 (c)3 (EIN: 45-4396761) and the recipient of the 2010 Recipient of theTop 100 Minority Business in the Mid-Atlantic Region. We have been named Baltimore's Best by the Examiner.  Our largest outreach is the Annual Symposium on Dating & Domestic Violence and Inter-Personal Relationships each year in October Domestic Violence & Bullying awareness month. We need your support. Donations are tax exempt within the boundaries of the law.	Highlights  SharperMinds was founded by a husband and wife, who have over 30 years combined law enforcement experience.  SharperMinds has been awarded 2010 Top 100 Minority Business in The Mid-Atlantic Region by the Small Business Administration.   SharperMinds has been named 2011 Baltimore Best by The Examiner.  SharperMinds has received a Community Citation from Mayor Stephanie Rawlings.  SharperMinds has received a Proclamation from Delegate Mary Pat Clarke.  SharperMinds is the premier educational resource in Maryland for Dating Violence Education as the founder of the Annual Symposium on Dating & Domestic Violence and Inter-Personal Relationships.   SharperMinds was the pioneer in recognizing and responding to Dating & Domestic Violence in Maryland among teens.   SharperMinds has proudly educated over thousands teens and families.   SharperMinds is the only organization that host teen & family symposium on Dating & Domestic Violence.	over 100 families each year	Maryland, Washington D.C., Virginia, Pennsylvania		
Mother Of Many Inc	http://		EIN 73-1720948	9701 Apollo Dr Ste 301	Largo	MD	20774	USA	Human Service Organizations						
Baltimore Outreach Services Inc	http://www.baltimoreoutreach.org	410.752.1285	EIN 56-2291915	701 S Charles St	Baltimore	MD	21230	USA	Centers to Support the Independence of Specific Populations, Homeless & Housing, Homeless Shelters, Human Service Organizations				Baltimore, MD	Emergency 24 hour 40 bed homeless shelter for women & children in Baltimore City in addition to 5 transitional houses, culinary arts training program and GED classes.	
Moveable Feast, Inc.	http://www.mfeast.org	410-327-3420	EIN 52-1663825	PO Box 2298	Baltimore	MD	21203	USA	AIDS, Cancer, Centers to Support the Independence of Specific Populations, Food, Food Programs, Health, Human Services	Moveable Feast is the only organization in the Baltimore region that provides meals and grocery to those in need living with HIV/AIDS and other life challenging illnesses.			Greater Baltimore Area, Maryland's Eastern Shore	Home Delivered Meals: Our Daily Home Delivered Meal service is provided to individuals experiencing the most severe stages of HIV/AIDS. Each new client is contacted by a staff dietitian for a nutritional assessment and customized meal plan. Meals can be customized to meet eight special diets: diabetic and/or renal, texturally modified, and non-dairy, as well as diets that accommodate religious or cultural practices (such as no pork, no beef, or no meat). Three meals are delivered each day, Monday through Friday, with extra meals on Friday for the weekend, for a total of 18 meals each week. Moveable Feast's dietitians maintain ongoing communication with the client to monitor his or her health status. Meals for a Week Groceries: We offer a Meals for a Week Grocery service to our clients whose health status has improved, making meal preparation more manageable. The majority of our clients with breast cancer receive this service. Each week, bags of groceries are delivered with enough food to prepare 16 meals, as well as five freshly-prepared frozen entrees for each member of the family. Drop-in Centers Meal Delivery: Monday through Friday, Moveable Feast delivers more than 600 meals to: Chase Brexton Health Services; HERO (Health Education Resource Organization), for homeless men living with HIV/AIDS; STAR (Sisters Together and Reaching), dedicated to assisting women infected with HIV/AIDS; and YANA (You Are Never Alone), serving women living with HIV/AIDS. Transportation Services - Moveable Feast has the largest transportation program for homeless individuals in Baltimore City. People on the Move, a daily shuttle service, helps homeless men and women to help themselves and their families. (Projections show that close to 50 percent of this population has HIV/AIDS.) The Shuttle typically transports over 100 men, women, and children each weekday, from 6:30 a.m. to 6:30 p.m., from shelters to social services that assist with employment, healthcare, and housing, and then returns them to shelters in the evening. During the winter months, we also provide a Code Blue shuttle to transport homeless men and women to shelters in severe weather. Medical Transportation - Moveable Feast's Ryan White Medical Transportation Program provides transportation to and from medical appointments to clients that are too ill to drive or do not have access to a vehicle. This service enables people living with HIV/AIDS, including those who are not ambulatory, to improve their health status by keeping scheduled medical appointments. Employment Training - Culinary Arts and Life Skills Training: Moveable Feast launched this program in 2003 for individuals with few, if any, marketable skills. Over 12 weeks, students learn basic kitchen, cooking, and sanitation skills. They then put their new skills to work, assisting in the preparation of meals for clients. These adults, all of whom are living below the poverty level upon enrollment, have the opportunity to seek employment with benefits after graduation.	Men, women, and children living with HIV/AIDS or in treatment for Breast Cancer in Greater Baltimore and Maryland's Eastern Shore
Training Source, Inc.	http://www.thetrainingsource.org		EIN 52-1843341	59 Yost Pl	Seat Pleasant	MD	20743	USA	Job Training, Microfinance, Small Business Development, Vocational Counseling	The Training Source was founded in 1993 by the current Executive Director, Evelyn Kim Rhim.  As Ms. Rhim witnessed the first downsizing in the history of the IBM Corporation, she recognized the need to assist the unemployed in gaining the competence and confidence to successfully transition to the workplace.  The mission of The Training Source is to provide superior training and related services, using state-of-the-art equipment and methodologies, to meet individual and workplace development needs.TTS has designed comprehensive programs to assist welfare recipients, dislocated workers, displaced homemakers, and other unemployed and underemployed citizens gain the skills and motivation needed to successfully transition to full-time, unsubsidized employment.  Program components include life skills, professional skills, and computer skills training, individual and group counseling, and job placement and follow-up services.In working with government and private sector employers, TTS designs and delivers results-oriented management and employee development workshops to improve workplace effectiveness and efficiency, and to create a motivated and committed workforce.Our motto is "We develop people, not just skills."				Professional and computer skills training, job placement assistance for unemployed and/or economically disadvantaged people.	
Pinnacle Empowerment Center	http://www.empowerctr.org	410-799-1097	EIN 27-1626568	8180 Lark Brown Road	Elkridge	MD	21075	USA	Centers to Support the Independence of Specific Populations	PEC helps women to develop the resources and support they need to create unlimited career success!	We have helped nearly 100 individual clients by phone and in person or at our free monthly Job Clubs & Empowerment Circles.  We hosted our first annual Women's Empowerment event in October 2011 with nonprofit partners, makingCHANGE with over 100 registered attendees. We continue to create awareness about the specific issues facing women and the interaction between career and finance within in the community.		Baltimore - Washington Metro Areas	Job Clubs, Empowerment Circles, one on one individualized career and life coaching, virtual career coaching access, annual Women's Empowerment Conference	We serve women who are seeking employment or seeking to advance from one level to the next in their career who may be on the verge of slipping into poverty and are unable to receive assistance elsewhere.
SUITED TO SUCCEED INC	http://www.suitedtosucceed.org/	(410) 528-1799	EIN 31-1598027	20 E Timonium Rd Ste 111	Timonium	MD	21093	USA	Employment Preparation & Procurement, Job Training	The mission of suited to succeed is to empower baltimore area women in their efforts to transition from training programs and unemployment to self-sufficiency by providing free professional clothing and workshops.				Providing business appropriate clothing to women rentering the workforce.	
