name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served
MACON COUNTY SHELTERED WORKSHOP INC	http://	660-385-3111	EIN 43-1430912	1103 Enterprise Rd	Macon	MO	63552	USA	Job Training, Sheltered Employment	To contract, or create, dignified employment opportunities for people with disabilities seeking to further their independence by learning work, social and life skills associated with employment. We aqccomplish this mission by operating in valuable and beneficial community services, as well as, contracting with businesses for production work.	employment for people with disabilities under state aid programs, operations in a community recycling center and a thrift store supported by public donation of goods.		our community	our rural population of 27,000 residents in our tri-county service area, and employed 27 people with disabilities.	Macon, Mo
Studio Place dba The Studio Place	http://www.thestudioplace.org		EIN 80-0667409	3224 Locust Street Suite 301	Saint Louis	MO	63103	USA							
The Dental Health Theatre Inc	http://	(314) 241-7391	EIN 75-3018876	1100 Macklind Ave	Saint Louis	MO	63110	USA	Arts & Culture, Education, Educational Services, Health, Public Health, Theater	To educate and inspire children and the community to make positive oral and overall health choices to achieve optimum health. We make health fun!	Educational: promote health education amoung children. The theatre served 16,444 students through theatre performances and outreach programs. The dental health theatre receives donated services valued at $273,387 for the programs and administration of the theatre. These contributed services and offsetting expenses are not included in the revenue and expenses reported on the 990. The donated services are comprised of salaries of $188,216, benefits of $65,344, payroll taxes of $15,241, and other expenses of $4,586.				
Tauheed Youth Development Life Skills Corporation	http://		EIN 43-1598475	5010 San Francisco Ave	Saint Louis	MO	63115	USA	Children & Youth, Youth Development Programs						
Discovering Options	http://www.discoveringoptions.org	(314) 721-8116	EIN 72-1552730	1514 Bellevue Ave	Saint Louis	MO	63117	USA	Adult & Child Matching Programs, Children & Youth, Youth Development Programs		PREP (promoting responsibility through education and preparation)serves a minimum of 50 children a year through its after school programs.  PREP facilitates 4 10 week education and enrichment programs a year, and upon completion matches each child with a mentor.   ETI (employment and training initiative) serves 150 adults a year. ETI prepares adults with a variety of disabilities mental illness, physical disabilities, visual and hearing impairments to increase their skill base through IT training and customer service skills.				
United Fund Of Cuivre Township Inc	http://		EIN 23-7100521	117 W Church St	Bowling Green	MO	63334	USA							
All American Conference To Combat Communism	http://		EIN 06-0682859	1522 Brush Creek	Kansas City	MO	64110	USA							
CASTAWAY ANIMALS RESCUE EFFORT  (C.A.R.E. Animal Rescue)	http://www.carerescue.org		EIN 43-1765927	1328-A W. Sunshine St.	Springfield,	MO	65803	USA	Animal Protection & Welfare, Animals	Our Mission is to rescue as many adoptable animals from death row as we can properly care for.  To provide medical treatment to sick or injured stray animals.  To combine an aggressive spay/neuter program with a high volume adoption program while providing quality lifetime care for unadopted pets.   To network with and provide a rescue service for other shelters, ultimately reducing the kill rate in southwest Missouri.	An aggressive spay/neuter program, no animal leaves the rescue without being spayed or neutered first.  All animals are vetted and have received all vaccines and are in good health.   Helping to eliminate the BSL (breed specific law) against pit bulls in Springfield so they can be adopted without being being euthanized and punished because of their breed.  C.A.R.E.  provides an educational program to all the volunteers to help them with handling the animals at the shelter, they go to schools and provided question and answer sessions with the students and are out weekly with the mobile trailer doing mobile adoptions in various locations in Springifeld, MO.  At the C.A.R.E. sanctuary there are hospice animals that will live the remainder of their life and unadoptable to the public animals that will live there til the end of their life.   They also, have pigs, goats, cows, horses and any animal that needs a rescue from unexceptable living conditions.	C.A.R.E. has adopted over 16,000 animals since it began in 1992.	Every day, we strive to ease the pain victims of neglect and abuse endure, offering safety and hope, and finding them the loving homes they so richly deserve.  We are proud to work alongside government agencies and other nonprofits making a difference in the lives of the animals we care so deeply about.  Our dream is to eliminate pet overpopulation and stop the killing of adoptable animals in our local shelters and pounds.	On an average of over 1,000 animals per month were adopted into their forever homes	SW Missouri as the largest No-Kill shelter, 1991
COMPASSION SERVICES INTERNATIONAL	http://www.compassionservices.org		EIN 27-3067958	3333 RUE ROYALE #1	ST. CHARLES	MO	63301	USA	International, International Relief	Compassion Services International exists to offer help and hope to people living in desperate situations around the world. We want to be the hands and feet of Christ by helping to provide for the physical and spiritual needs of those who are suffering. CSI does this by providing Disaster Relief, Humanitarian Aid and Medical Missions around the world. These endeavors not only help to meet immediate physical needs but it also opens doors for the love of Jesus to be displayed and the gospel to be shared. From Him To Them, Through Us.	Disaster Relief, Humanitarian Aid and Medical Missions while sharing the love and hope of Jesus Christ.		People around the world who have suffered the affects of natural disasters, who live in areas where there is an ongoing hunger crisis, lack of clean water and inadequate medical care.	Thousands of the worlds most vulnerable citizens in the United States and abroad	Globally
Columbia Art League	http://www.columbiaartleague.org	(573) 443-8838	EIN 43-1103761	207 S 9th St	Columbia	MO	65201	USA	Arts & Culture, Arts & Humanities Councils & Agencies	Columbia art league provides the community with a stimulating environment for experiencing the visual arts through exhibitions, education, appreciation, promotion, and creation.	Art education: the columbia art league offers a variety of educational activities and experiences designed to foster creativity and encourage artistic awareness. High quality classes are offered to children, teens, & adults. The classes are taught by experienced instructors and professional artists.   in the main gallery, a changing schedule of 6 shows a year allow both members and non-members to display and sell their artwork. In the smaller side gallery, cal members artwork is displayed and sold. Artwork in the gallery reflects the artistic voice of the community. Both the themed and un-themed shows feature work by high school students, amateurs, beginners alongside university professors, experienced and professional artists. For many aspiring artists, cal's walls are the first place their work is displayed publicly. Additionally, cal frequently includes work by elementary school children from its partner in education school.   art in the park is the oldest & largest fine arts festival in mid-missouri. The festival features 110 local, regional and national visual artists displaying a variety of media including painting, photography, pottery, jewelry, sculpture, and glass. There is no entrance charge to the festival, which is held in a disability-accessible public park and is thus open to all socio-economic groups. As well as the artist village, the festival features free art-making activities for children, a venue for displaying local high school artists' artworks, roving entertainment, and a music stage.   the art league occupies a gallery in downtown columbia, missouri. The space includes a public sales & exhibition area and a classroom area.				
American Red Cross	http://		EIN 43-1352568	10195 Corporate Square	St Louis	MO	63132	USA	American Red Cross, Human Services						
Thank You Walt Disney Inc	http://www.thankyouwaltdisney.org	(913) 449-5864	EIN 43-1687946	Po Box 30584	Kansas City	MO	64112	USA	Arts & Culture, Arts Services	Thank you walt disney, inc. Is committed to being a leader in art animation study, while encouraging confidence and entrepreneurial individualism. The efforts to restore the laugh-o-gram studio in kansas city represent more than just a fascination with walt disney and his incredible life. They represent our opportunity to preserve a part of our history that would have otherwise disappeared, and will ultimately serve as a catalyst to link education and hope with our youth, enabling them to become true leaders in our community.	Thank you walt disney, inc. Has succeeded in saving the historic site of walt disney's first professional film studio in kansas city, missouri! The building which housed walt's laugh-o-gram studio at 31st and forrest streets was very near collapse and had been scheduled for demolition by the kansas city dangerous buildings office before tywd acquired it. Efforts continue to renovate the building in order bring to the community a restored historical structure that can promote art animation and community relations.				
The Independent Living Center Inc	http://www.ilcenter.org	(417) 659-8086	EIN 43-1714219	2639 E 34th St	Joplin	MO	64804	USA	Arts & Culture, Arts, Culture & Humanities, Health, Personal Social Services, Senior Centers, Seniors	To increase the independence and overall health of people with disabilities and chronic health problems.	Operation of center, including programs for public education, independent living, and advocacy for rights and needs of persons with disabilities.   public education, implementation of the americans with disabilities act, and health-related services including: 1) medically necessary home modifications (ie: wheelchair ramps, bathroom safety adaptations, etc. ) 2) institution transition (assisting the elderly and disabled return to the community from a nursing facility) 3) miscellaneous consumer services, health assessments, and attendant care. This category includes: diabetic nail care; health assessments to determine level of care needed; medication setup and monitoring; vital sign monitoring; respite care; home bathing assistance; toileting assistance (including catheter and ostomy care); meal preparation and feeding assistance (including tube feeding); basic housekeeping; medically necessary transportation; health and disability related support groupls; pro time tests for monitoring patients on blood thinners; and general case coordination to ensure individualized and effective care. 4)medically necessary durable medical equipment 5) community health education and outreach 6) health and disability related information and referral services 7) health and dental screenings (includes travel, materials, etc. ) 8) emergency food pantry operation and supplies 9) home and community accessibility and assessments				
Marian Middle School	http://www.mms-stl.org	(314) 771-7674	EIN 43-1873629	4130 Wyoming Street	Saint Louis	MO	63116	USA	Education, Primary & Elementary Schools, Secondary & High Schools	Marian Middle School, a Catholic school serving adolescent girls of all religious, racial, and ethnic backgrounds, is committed to breaking the cycle of poverty by fostering their spiritual, academic, social, moral, emotional, and physical development in preparation for and successful completion of college preparatory high schools.	quality, holistic education, enrichment programming, and graduate support.	gnp_url = 'marian-middle-school'; gnp_num = '1';	economically disadvantaged girls	over 100 students in grades five through twelve	the St. Louis metropolitan area
Arnold Food Pantry	http://		EIN 43-1284008	2024 Key West Dr	Arnold	MO	63010	USA		Food Pantry					
Coalition For Animal Rescue And Education	http://www.caretakersnetwork.org	(314) 280-5428	EIN 02-0727541	Po Box 2203	Hillsboro	MO	63050	USA	Animal Protection & Welfare, Animals	Volunteers, professionals, companies and organizations working as one to provide rescue services, shelter facilities, medical care, and adoption placement for animals in need.	Provide for animal health through local veterinarians and clean, safe housing; assist in pet adoptions through the entitys animals and funding adoption fees				
International Association Of Administrative Professionals	http://www.iaap-hq.org	(816) 891-6600	EIN 43-6069531	Po Box 20404	Kansas City	MO	64195	USA	Education	To advance the careers of administrative professionals through research and education initiatives that enhance their professional development.	Continuing education series  unrealized gain on investments				
LITTLE PATRIOTS EMBRACED INC	http://www.littlepatriotsembraced.org	314-821-5800	EIN 11-3715553	325 N Kirkwood Rd Suite 104	Kirkwood	MO	63122	USA	Human Services	Our mission is to enhance the lives of our Military Families in needWhile their loved one is protecting our freedom.	Project Bear Essentials: which gives the children an opportunity to talk about how they are feeling about a family members deployment, be honored for their service, and know that what they are feeling is ok; Military Kids Fir For Life: exercise classes and videos, plus stress management as well as tools to help military kids children live an active and healthy life; MD-TEC Fund: Emergency funding for Military families; Deployment Package Program: a package is delivered to each family of a deployed service member to give emotional support, and show how much we love them; Financial assistance for camp tuition, Adopt a Military family:one Military family is adopted for an entire year and assisted in any way possible; Christmas toy drive: toys are collected at the holidays and presented to the surrounding bases and several adopted families.	We have served over 18,000 children in the past 9 years, and over 4,000 families	military families and children		46 States, Japan, Germany
Christian County Humane Society Inc	http://		EIN 43-1462263	PO Box 272	Ozark	MO	65721	USA	Animal Protection & Welfare, Animals						
Assistance League of Kansas City	http://www.alkc.org	816.453.6011	EIN 43-1307672	6101 N Chestnut Ave	Gladstone	MO	64119	USA	Community Service Clubs, Human Service Organizations, Human Services, Thrift Shops	Assistance League of Kansas City (ALKC), a chapter of National Assistance League, fulfills specific unmet needs of children and adults in the Kansas City area through philanthropic programs developed, funded and operated by dedicated volunteers and community partners.   ALKC has served those in need since 1982.  ALKC's programs provide school clothing, backpacks, school supplies and other necessitites for children in need, teach safety skills to elementary age students, supply teddy bears to comfort children in crisis, provide clothing to women and men who are victims of sexual assault, support seniors in area nursing homes and provide clothing for individuals who are entering or re-entering the job market.	Operation School Bell, Operation Child In Need, Assault Survivor Kits, Birthday/Celebration Bags, I'm In Charge, Operation Hug, Senior Outreach Service and Best Foot Forward.	Assistance League of Kansas City has 350 members who contributed over 54,600 volunteer hours to serve 15,500 children, adults and seniors in 2013-2014.  There are no paid employees.	fulfill specific unmet needs of children and adults	During 2013-2014, over 15,500 children and adults were served by our diverse community-based philanthropic programs.	the Kansas City area
Friends Of Abilities First Inc	http://www.abilitiesfirst.net	(417) 886-0404	EIN 27-5438649	1370 E Primrose Rm/ste A	Springfield	MO	65804	USA	Human Service Organizations	The mission of friends of abilities first is to promote abilities first to positively impact the lives of greene county citizens with developmental disabilities.	Art inspiredthe mission of art inspired is to create social enterprise employment opportunities which empower individuals with developmental disabilities. Art inspired provides springfield, missouri with products and services such as document disposal, art gallery space, craft activities for all ages, event hosting, and the opportunity to purchase unique art pieces and useful items made from recycled paper products all under one roof. The program creates an opportunity to provide employment for persons with developmental disabilities, many of whom have outstanding talents, but may find it difficult to find employment. Our most innovative and largest source of revenue is an environmentally conscious system which turns paper waste into custom, creative and usable pieces of art. There are currently 24 people employed by art inspired. Positions include:* general manager* store manager* assistant store manager* product developer* sales floor staff* driver* merchandise production staff* outside sales manager* production managerthe vision of art inspired is to continue to offer a sustainable, meaningful work environment for individuals with developmental disabilities. We want to become an integral part of the business and art community in springfield and serve as a leader in environmental sustainability and innovative business solutions for years to come. Art inspired is dedicated to enhancing and positively impacting the lives of its employees and those who live and work in the springfield community. The concept is inspired by our employees who continue to be a source of inspiration every day. We are inspired by the idea of supporting local business; we are inspired by the way springfield citizens come out to support the community. With this inspiration as our foundation, we hope to reach new levels of innovation, integration, and community involvement. We are proud to provide opportunities that change people's lives.   friends of abilities firstfriends of abilities first was formed because of growing needs that people with developmental disabilities have but which cannot be funded by the tax levy from abilities first. The program currently raises funds and accepts donations to assist in meeting the needs of eligible individuals. Friends of abilities first's priorities are to help educate the general public about issues related to developmental disabilities, and to provide funds and other resources to assist the individuals served by abilities first in covering the needs and expenses not covered by available resources. Friends of abilities first has assisted individuals with rent, utilities, washers and dryers, fans, funeral expenses, clothing, camp, bus passes and miscellaneous items. The number of people served with funding since inception is 258. The number of people served with donated goods is approximately 4,135. The major fundraiser for friends of abilities first is the price cutter charity golf fundraiser. As people learn more about friends of abilities first, they choose to donate to our organization and patronize our sales.   inspired boutique				
Justine Petersen	http://www.justinepetersen.org	314-533-2411	EIN 43-1769074	1023 N. Grand Blvd.	St. Louis	MO	63106	USA	Economic Development, Home Improvement & Repairs, Homeless & Housing, Housing Development, Construction & Management, Real Estate Associations, Urban & Community Economic Development	To connect institutional resources to the needs of low- and moderate-income families in order to build assets and create enduring change	Credit Building and Financial Education; Homeownership Services and Micro-enterprise Training and Lending	Since 1997, staff has counseled over 25,000 families on credit building strategies, assisted 4,300 to purchase homes, and originated $13 Million in micro-enterprise and consumer finance products.	Justine PETERSEN assists people that currently do not have access to safe and affordable financial services.	We counsel approximately 1,200 annually on credit building strategies and originate 350 micro-loans.	
NEWHOUSE	http://www.newhouseshelter.org	1-800-799-SAFE (	EIN 43-0962293	PO Box 240019	Kansas City	MO	64124	USA	Education	To break the cycle of domestic violence by providing the tools that allow women (and children) to make positive choices and lead self-sufficient lives.	Residential shelter and support services include safe shelter and transitional/permanent housing; food/clothing/personal hygiene items; case management and advocacy; support groups; life/job skills classes; financial management workshops; parenting classes; individual therapy; group therapy; K-8 youth education and GED; spirituality programs; and referrals to job training, job placement, substance abuse counseling, and medical services.		women and children fleeing domestic violence	over 10,000 women and children through housing, support programs, and 24-hour hotline	Greater Kansas City MO
Special Horses	http://www.specialhorses.org		EIN 27-0544576	PO Box 23279	St. Louis	MO	63156	USA	Animal Protection & Welfare, Animal Services, Animals	Our goal with www.specialhorses.org is to provide fundraising opportunities, marketing assistance, educational opportunities, and community outreach for registered 501(c)3 not-for-profit groups involved with equine rescue, rehabilitation, and retirement.	on line fundraisers (auctions, Secret Santas), promotion and marketing, creating brochures and flyers, and assistance with grant applications.	Since 2009, Special Horses has raised several thousand dollars each year to help gold standard, in-the-trenches equine welfare organizations carry out their missions.	gold-standard 501(c)3 equine welfare organizations with their rescue, rehabilitation and rehoming efforts.	11 rescues by raising over $13,000 to help with their rescue efforts.	the United States
Womens Crisis Center Of Taney County Inc	http://www.thewomenscrisiscenter.net	(417) 561-5105	EIN 43-1562094	Po Box 282	Branson	MO	65615	USA	Human Services	The mission of the crisis center is to provide quality residential and non-residential services to victims and survivors of domestic and sexual violence.	Provided crisis intervention, case management, shelter for women and children, counseling and other services as needed by domestic and sexual violence victims. During 2014 the following services were provided: 291 sheltered, 453 non-residential individuals served, and 13 individuals were provided transitional housing. Provided 192 women with 272 crisis intervention hours, provided 471 women with 6,675 case management hours, provided 7,346 emergency shelter bed nights, and 2,414 transitional housing bed nights.				
Guardian Oak Growth by Giving Assc.	http://www.guardianoak.org		EIN 46-1360917	1473 County Road 2235 Guardian Oak	Moberly	MO	65270	USA	Animal Services, Animals					80 horses, 4 dogs, 30 cats, 6 opossums, pig,	the mission of
Center Housing Iii Inc	http://		EIN 43-1573068	4245 Forest Park Ave	Saint Louis	MO	63108	USA	Centers to Support the Independence of Specific Populations, Human Services						
New Life Project	http://		EIN 20-0736981	Po Box 1947	Lebanon	MO	65536	USA	Crime & Law, Half-Way Houses for Offenders & Ex-Offenders	Assist people released from jail	The new life project is a transitional program designed to assist people just released from a correctional facility				
International Association of Assessing Officers	http://www.iaao.org	(816) 701-8100	EIN 36-2210012	314 W. 10th Street	Kansas City	MO	64105	USA	Crime & Law, Education	To promote innovation and excellence in property appraisal, assessment administration, and property tax policy through professional development, education, research, and technical assistance.	All IAAO courses, webinars and workshops are developed under the guidance of the IAAO Education Subcommittee as part of a curriculum on appraisal procedures and assessment administration offered throughout the world.				
Turkish American Cultural Alliance- St Louis In Missouri	http://		EIN 23-7074722	957 N Spoede Rd	St Louis	MO	63146	USA							
Variety the Children's Charity of St. Louis	http://www.varietystl.org	314-453-0453	EIN 43-6078016	2200 Westport Plaza Drive STE 306	St. Louis	MO	63146	USA	Children & Youth, Community Service Clubs, Health, Health Support, Philanthropy, Youth Development Programs	To help local children with disabilities reach their full potential by providing services every time they need assistance.	Kids on the Go Mobility Program Variety assists  St. Louis-area children by providing them with durable medical equipment  including wheelchairs, augmentative speech devices, leg braces, hearing aids, prostheses, and van lifts  that empowers them to be physically independent.  In-House Programs 	Adventure Camp: Three weeks of fun, challenging activities in the areas of sports, fitness, sensory art and music. 	Bikes for Kids: Providing custom therapeutic bikes, as well as traditional bikes, to Variety children. 	St. Louis through the Eyes of a Child with a Disability: A field trip for Variety children and their families to experience some of the citys most treasured attractions together. 	Variety Childrens Chorus: Comprised of talented children who receive equipment and/or funding from Variety, as well as children without disabilities. 	Variety Childrens Theatre: Bringing together children of all abilities with professional adults in one of the citys top performance venues to create an unforgettable experience for theater-goers, cast and crew alike.  Partner Agencies To further serve children with physical and/or mental disabilities, Variety partners with 60+ specialized agencies throughout the metro area to provide therapy/medical services, education, and counseling.    Emerson Resource Center Provides valuable information and community connections to resolve the legal, social, therapeutic, education, medical and counseling issues often encountered by families of children with disabilities.		Children under the age of 21 who have physical or intellectual disabilities in the St. Louis metro area with a household income under $65,000 (or otherwise exhibits extenuating circumstances such as multiple children or exorbitant medical bills).	Each year, Variety serves more than 7,925 children with physical and/or mental disabilities throughout the St. Louis area.	Metro St. Louis, Missouri (spanning 547 zip codes across 30 counties)
American Rehabilitation Ministry Inc	http://		EIN 43-1037106	Po Box 1490	Joplin	MO	64802	USA	Crime & Law, Inmate Support						
Founders Foundation Trust Fund Inc	http://		EIN 43-6362550	Local	South West City	MO	64863	USA	Named Trusts, Philanthropy						
Veterans Advocacy Foundation Inc	http://www.vetbiz.com		EIN 43-1751593	315 Lemay Ferry Rd Ste 116	Saint Louis	MO	63125	USA	Economic Development, Military & Veterans Organizations, Veterans	The St. Louis Veterans Business Resource Center (VBRC) is dedicated to helping men and women, who have served in the U.S. Armed Forces achieve the American dream of owning and successfully operating their own businesses. The Center will serve all Veterans and Active Duty personnel, including National Guard men and women and Reservists of all branches.	Rigorous training program designed to help veterans research and write a viable business plan in order to understand the feasibility of desired business. Veterans have the opportunity at the end of the 6-week program to submit a completed business plan and compete for up to $5,000 in start-up grants.				
Paws 4 Autism	http://www.paws4autism.org		EIN 27-3058379	4065 SW Pendant Dr	Lee's Summit	MO	64082	USA	Animal Services, Animals, Autism, Developmentally Disabled Centers, Disabilities, Education, Health, Special Education		Canine Assisted Social Skills in Education, autism service dog training, social and communication skills groups.		Youth and young adults on the autism spectrum	137 youth	MO, KS, NE, IA, OK
Rose Brooks Center, Inc.	http://www.rosebrooks.org	(816) 523-5550	EIN 51-0231573	P. O. Box 320599	Kansas City	MO	64132	USA	Community Improvement & Capacity Building	The mission of Rose Brooks Center is to break the cycle of domestic violence so that individuals and families can live freeof abuse.	Rose Brooks Center is about saving lives. Not just protecting the hundreds of women and children who need our emergency shelter to escape immediate danger, but the thousands of families who dream of a life safe from violence  a complete life built on respect, love and compassion. Rose Brooks Center is the leader in innovative domestic violence programs and support. We believe the destructive cycle of abuse can only be broken by offering a full continuum of care including prevention programming, crisis intervention, life skills development, and other supportive and therapeutic services.  Our Programs include:  100-bed Emergency Shelter  First Pet Shelter in the region  Therapy and Counseling  Housing and Economic Advocacy  Childrens Programing  Project SAFE, a school-based violence prevention program  The Bridge Program, a hospital-based advocacy and training program  Lethality Assessment Program with the KCPD  Court Advocacy		end the cycle of domestic violence	Over 15,000 women, children, and pets.	Kansas City
OATS, Inc.	http://www.oatstransit.org	573-443-4516	EIN 43-1016961	2501 Maguire Blvd. Ste. 101	Columbia	MO	65201	USA	Developmentally Disabled Centers, Disabilities, Human Services, Senior Centers, Seniors, Transportation Assistance	The mission of OATS is to provide reliable transportation for transportation disadvantaged Missourians so they can live independently in their own communities.	By increasing mobility, OATS makes it possible for people to live active, independent lives in their own community.  People with disabilities and seniors are the primary focus although the general public is served in rural areas. OATS offers transportation for non-emergency medical appointments, dialysis treatments, employment, essential shopping, business and nutrition sites.			more than 35,000 Missourians	87 Counties in the State of Missouri
Paul Prince Ministries Incorporated	http://		EIN 55-0891208	200 Solley Dr	Winchester	MO	63021	USA	Christianity, Religion						
Mastodon Art-Science Regional Fair	http://www.masrf.net	(636) 797-3000	EIN 43-1613401	1000 Viking Drive Tc 101	Hillsboro	MO	63050	USA	Arts & Culture, Arts, Culture & Humanities, Children & Youth, Education, Fairs, Scholarships, Scholarships & Student Financial Aid, Sports, Youth Development Programs	The promotion of art and science	The organizations plans, promotes and produces the largest combined art and science fair in the nation. This fair seeks to provide a forum to award excellence and showcase the talents and abilities of the k-12 students in public, private and home schools.				
Saint Charles County Golden Games Association	http://		EIN 43-1562823	Po Box 1081	Saint Peters	MO	63376	USA	Amateur Sports, Sports						
Community Assistance Council Inc	http://www.cackc.org		EIN 23-7439079	10901 Blue Ridge Blvd	Kansas City	MO	64134	USA			This program is targeted to prevent homelessness by assisting families with housing assistance and/or utility assistance				
Community Day Care Learning Center Inc	http://		EIN 43-0971256	1416 E Mckinsey St	Moberly	MO	65270	USA		To provide day care for pre school and school age children mission statement is available upon request	To provide day care for pre school and school age children				
Stray Rescue Of St Louis	http://www.strayrescue.org	(314) 771-6121	EIN 43-1823801	2320 Pine St	Saint Louis	MO	63103	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	To rescue stray animals in need of medical attention, restore them to health and place them in loving adoptive homes	Rescue of stray animals  restoration of health to stray animals				
Kansas City Chapter Of Young Audiences Inc	http://www.kcya.org	(816) 531-4022	EIN 43-6046557	5601 Wyandotte	Kansas City	MO	64113	USA	Arts & Culture, Arts, Culture & Humanities	The mission of the organization is to engage all youth in the arts, promote creativity, and inspire success in education. The organization is to work in collaboration with educational and cultural institutions to improve aesthetic, academic and cultural education through the presentation of performances, workshops, conferences, seminars and dissemination of information throughout metropolitan kansas city and the surrounding areas.	Arts partners and school and community programs provide in-school arts programming that integrates the arts with the core curriculum, bringing artistic resources of the community to the youth, providing professional development for teaching artists and teachers.   community school of the arts operates a high quality school that is accessible to all members of the community.				
THE ANIMAL SHELTER OF TEXAS COUNTY	http://www.tastc.com	(417) 967-0700	EIN 56-2610775	PO Box 228 Rita Romines	Houston	MO	65483	USA	Animal Protection & Welfare, Animals	To care and rescue animals	Taking care of animals				
Pets A Lone Sanctuary Of Lincoln	http://		EIN 43-1507779	Po Box 462	Troy	MO	63379	USA	Animal Protection & Welfare, Animals	Shelter for homeless animals	The shelter provides low-cost spay services for animals and adopts stray animals out to permanent homes in 2013 the organization adopted out 322 total dogs and cats				
Stained Glass Players	http://www.sgtheatre.com	(417) 581-9192	EIN 43-1326065	Po Box 355	Ozark	MO	65721	USA	Christianity, Religion	Christian family threatre productions in sharing the gospel of jesus christ	Presented seven plays that presented the gospel of jesus christ				
Mothers Refuge	http://www.mothersrefuge.org	(816) 353-8070	EIN 43-1454628	14400 E 42nd St S Ste 220	Independence	MO	64055	USA	Civil Rights, Family Services for Adolescent Parents, Homeless & Housing, Homeless Centers, Homeless Shelters, Right to Life	Our mission is to shelter and educate homeless, pregnant and parenting young women by providing comprehensive services that empower them to make successful life decisions for themselves and their babies.	The organization provided shelter to and educated homeless, pregnant and parenting young women by providing comprehensive services that empowered them to make successful life decisions for themselves and their babies.				
Down Syndrome Association of Greater St Louis	http://www.dsagsl.org	(314) 961-2504	EIN 43-1108833	8531 Page Avenue Suite 120	St. Louis	MO	63114	USA	Civil Rights, Developmentally Disabled Centers, Disabilities, Disabled Persons Rights, Down Syndrome, Health, Job Training, Vocational Rehabilitation	Our mission is to benefit the lives of people with Down syndrome and their families through individual and family supports, information, public awareness and advocacy.	To benefit the lives of people with down syndrome and their families through individual and family support, information, public awareness and advocacy.				
Faith Aloud	http://www.FaithAloud.org	888-717-5010	EIN 43-1258031	P.O. Box 430070	St. Louis	MO	63143	USA	Family Counseling, Health, Philanthropy, Private Independent Foundations, Religion, Reproductive Health Care, Reproductive Rights	Faith Aloud works to overcome the religious stigma of abortion and sexuality.	Training in Spiritual Care Before and After Abortion for clergy, seminarians, clinic staff, medical professionals, and activists.  Free telephone clergy counseling for women before or after abortion.  Media materials that celebrate women's strength and decision-making.	In 2011 we have trained over 350 clergy, seminarians, clinic staff, and activists in Spiritual Care Before and After Abortion.  We have produced and distributed posters and other media materials that honor a woman's strength to make good decisions.			United States
Special Olympics Missouri	http://www.somo.org	(573) 635-1660	EIN 23-7328374	1001 Diamond Rdg Ste 800	Jefferson Cty	MO	65109	USA	Children & Youth, Human Services	Through year-round sports and training, individuals with intellectual disabilities are given the chance to gain confidence, seek opportunities to improve their physical fitness, demonstrate pride, and participate in their communities.	Special olympics missouri (somo) serves individuals with intellectual disabilities each year, by combining the health, fitness, social, and emotional benefits that result from participation in sports. Somo will substantially increase its capacity to serve these individuals through a state-of-the art training for life campus. This world-class, 44,000-square-foot facility will be built on 16. 5 acres in jefferson city, mo, centrally located for more than 120,400 individuals in the state who qualify for and would benefit from somo programs. Research shows developed economies like the united states have reduced physical activity levels by as much as 32% in fewer than two generations. The science is clear. Physical activity does more than create good health. It contributes to leadership, productivity and innovation. Special olympics provides training for life. One-third of somo athletes have autism spectrum disorder and another third have down syndrome. There are an estimated 120,400 individuals with intellectual disabilities in missouri. Athletes who participate in special olympics can double the likelihood to find and keep employment, making it far more than a sports organization. The motor skills of our children participating in the young athletes program improved at twice the rate of children who were not involved. Special olympics is the largest public health platform for people with id in the world, partnering with healthcare professionals in missouri to offer free screenings. Special olympics is proud to have 83% program expenses for 2014. This is especially impressive during a capital campaign while continuing to serve over 16,5000 children and adults with intellectual disabilities with the invaluable assistance from 21,040 volunteers. Special olympics received over $2. 2 million in contributed goods and services that are budget relieving. While this amount is excluded form the form 990, somo believes this is integral to our success. According to a recent athlete survey, 64% of somo athletes live below the federal poverty level and an additional 7% live below 133% of the federal poverty level.   the healthy athletes program is an initiative developed by special olympics, inc. , with a mission of improving the overall health of our athletes through various health screenings. This program offers athletes the opportunity to improve their health in an environment that is focused on the needs of individuals with intellectual disabilities. Screening programs include funfitness, healthy hearing, fit feet, health promotion, opening eyes, special smiles, and medfest. With the help of local volunteer health professionals, medfest provides athletes with physical examinations. Medfest exams also address questions and concerns of athletes' parents and guardians. All healthy athletes programs are provided free of charge to all special olympics athletes. 1,448 athletes were screened during 2014. $1 of healthy athlete expense results in $5 of service (pro bono). These programs were mainly funded by donated services in 2014, which were valued at $23,260.				
P.O.W. Network	http://www.pownetwork.org	660-928-3304	EIN 42-1360341	PO Box 68	Skidmore	MO	64487	USA	Arts & Culture, Education, Historical Organizations, Military & Veterans Organizations, Veterans	For many years, people have asked what happened to the men captured or lost on the battlefield. For 20 years, we have provided answers, directions, information sources to answer that question. We can also verify claims of captivity. Our expertise is the Vietnam War.		We are reaching our demographic. Email queries and site visits continue to increase.	Veterans, activev duty personnel, law enforcement, historians, researchers, journalists, general public, familiesof the missing and captured, teachers, students.	We are able to provide answers or direction on most queries.	all
