name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Furkids'' Main Goals: 	ACR REF Rheumatology Investigator Award
Golden Harvest Food Bank, Inc.	http://www.goldenharvest.org	(706) 736-1199	EIN 58-1466516	3310 Commerce Dr	Augusta	GA	30909	USA	Food, Food Banks & Pantries, Food Programs	The Mission of Golden Harvest Food Bank is to end hungerin 30 counties in Gerogia and South Carolina.Golden Harvest will end hunger by: -gathering the food, financial, and volunteer resources necessary to feed the hungry in our communities -distributing grocery products to every area of need in every county of its service area -educating the public about the nature of and solutions to the problem of hunger -operating direct service programs -developing and supporting other nonprofit organizations and churches that feed the needy -serving God in the persons of those who hunger		feed the hungry.	300 agencies feed nearly 200,000 people.	Georgia and South Carolina	Food Pantry Services, Mobile Food Pantry Program, BackPack Program, Senior Food Box Program, and Master's Table Soup Kitchen.		
Gospel Of Faith Worship Center Inc	http://		EIN 58-2168076	3897 Covington Hwy	Decatur	GA	30032	USA	Protestant, Religion	education, clothing, food and extra-curricular activity.							
Several Dancers Core Inc	http://www.COREdance.org	404-373-4154	EIN 58-2002780	P. O. Box 2045	Decatur	GA	30031	USA	Arts & Culture, Dance	CORE (formerly Several Dancers Core) is a professional dance organization that creates, performs, and presents contemporary dance, and is dedicated to opening channels of communication and education between artists and the community.	In our 30th Anniversary Season CORE Performance Company has been creatively active with collaborating artists from Mexico in expanding our multimedia dance Corazon Abriendo (Heart Opening), and Germany in creating new work, The Point. CORE also traveled to Guatemala in a exploration for Corazon, performed at a festival in Sweden, and hosted master class by French company Ballet Preljocaj.			Southern US, international	Performances, Dynamic X-Change, Lunchtime in the Studio, Fieldwork workshops, master classes		
Sons Of Confederate Veterans Inc	http://		EIN 58-2213916	625 Highland Ave S	Arlington	GA	39813	USA	Military & Veterans Organizations, Veterans								
A Titus Man Inc	http://www.atitusman.org		EIN 30-0638445	400 Peachtree Ind Blvd 5-281	Suwanee	GA	30024	USA	Children & Youth, Youth Development Programs	Our mission is to assist in the growth and development of young boys ages eight to eighteen. With a focus on education and building for the betterment of our communities, we expect through our mentoring, training, study groups and team building projects, A Titus Man will evolve.	We've spent a lot of time this year fundraising for our Annual "Bike for Life" Project. We would like to double our efforts this year by giving away 50 bikes this holiday season to underprivileged and at risk youth males for our 2nd Annual Bike for Life' Project.				Character, Education, Health & Fitness and so much more.		
Opportunity House, Inc.	http://opportunityhouse.yolasite.com/	706-356-1938	EIN 20-8411985	P.O. Box 701	Carnesville	GA	30521	USA	Developmentally Disabled Centers, Disabilities	To empower adults with intellectual disabilities to achieve the highest level of independence possible.	Since opening in September of 2009, we have received community support with donations, and through fundraising events allowing us to grow the number of participants, and staff.  Opening the Thrift Store in September of 2010 has allowed us to raise additional money to sustain our organization.  We are now working on making our fundraising more efficient and effective, and in recruiting volunteers to help at the day care facility, in the Thrift Store, and with our fundraising.	The North Georgia Region we cover includes Hart, Franklin, Elbert, and Madison counties now, and will soon include Banks and Stephens counties as well.	The current facility limits our Day Care Enrollment to 8 full time participants.  As part of our vision, we hope to have residential facilities for approximately 32, as well as a day care facility for approximately 20 participants.	North Georgia - Hart, Elbert, Franklin, Madison counties, and we are currently working on adding Banks & Stephens counties.  Our area is designated rural by DHR.	Currently, the Day Care Facility offers life skills training, physical training using donated Wii & Television, Gardening, weekly lunch at a restaurant, trip to post office, arts and crafts.  Of course, our vision is to have a campus with a more comprehensive set of programs which will include pre-vocational work training, and support		
Givingpoint Inc	http://		EIN 27-0428207	555 Sun Valley Dr Ste K-4	Roswell	GA	30076	USA									
Project One Forty Three Inc	http://www.projectonefortythree.com	(720) 309-0795	EIN 27-1345034	10310 High Falls Cir	Johns Creek	GA	30022	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion	Providing education and support for older orphans through host programs					Organization has sucessfully conducted coordination of multiple host programs for children from latvia and ukraine.		
SAVANNAH TREE FOUNDATION INC	http://www.savannahtree.com	(912) 233-8733	EIN 58-1494721	3025 Bull St	Savannah	GA	31405	USA	Philanthropy, Private Grantmaking Foundations	Tree preservation and education					The savannah tree foundation conducts lectures and workshops about tree preservation and supports related projects in the savannah area.		
Armed Forces Mission Inc	http://www.armedforcesmission.org/		EIN 46-1322007	100 Governors Trace # 110	Fayetteville	GA	30215	USA	Centers to Support the Independence of Specific Populations, Community Improvement & Capacity Building, Mental Health, Mental Health & Crisis Intervention	Armed Forces Mission is building resilience and restoring hope for America's Troops and Veterans through direct suicide intervention and training of communities to do the same. Our goal is to reduce veteran suicide in our community to 50% below the national average by 2018 and to sustain an ever increasing reduction moving forward.	Since inception in 2012 and as of September 30, 2016 Armed Forces Mission (AFM) has conducted more than 500 successful suicide interventions and trained more than 6,000 community members in suicide intervention through AFM's I Will Intervene Challenge. Organizations we have served include: Faith Groups - Law Enforcement -Civic organizations - Hospitals - 101 Airborne - Army MedCom, 80th Training Command, American Foundation for Suicide Prevention, Atlanta VA Peer Support Specialist and others. AFM's Executive Director, Chaplain Kenneth Koon was named the 2016 Trinity Awards Emergency Responder of the Year.	build resilience and restore hope for veterans and their families	More than 150 successful suicide interventions conducted in 2015 and the training of more than 2,600 community care givers who are now engaged in helping others.	Georgia with out reach to other states	Rapid Response Suicide Intervention and community training in crisis and suicide intervention skills development.		
Hearts To Nourish Hope Inc	http://www.heartstonourishhope.org	(770) 997-4517	EIN 58-2164638	6030 Highway 85 Ste 310	Riverdale	GA	30274	USA	Children & Youth, Children & Youth Services	Hearts mission is to positively impact lives by offering innovative programming, community collaboration, and essential services					Hearts alternative education center provides ged preparation classes for students who are not enrolled in traditional schools. Students receive instructions from a georgia state approved curriculum designed to fit their individual needs. In schools, youth are given academic support to assist them in graduation. Youth and young adults are given life and career skills, mentorship, employment assistance, internships and coaching for success. Parent classes and support are also given.   hearts after school and summer programs are designedto enrich students abilities to further their education and career plans through leadership and skill building. After school program includes leadership, mentoring, educational support, career development, internships, and various art programs.   hearts emergency food and shelter programs provide emergency housing and food to people in need throughout our community with year round assistance. We offer support, classes and training to empower participants to become stable and self sufficient.		
MIDTOWN ASSISTANCE CENTER INC	http://www.midtownassistancectr.org	404 681 0470	EIN 58-1837117	30 Porter Place NE	Atlanta	GA	30308	USA	Emergency Assistance, Human Services	MAC provides emergency assistance to low-income working families in the downtown Atlanta area to prevent homeless and hunger during periods of temporary financial crisis.	From 10/09 - 9/10 Midtown Assistance Center provided $517,387 of assistance in 5,518 emergency situations.   During that period, Midtown Assistance Center: Prevented eviction or homelessness of 697 families Prevented disconnection of utility service in 652 households Distributed food to 1,534 families Provided 1,372 transportation passes to job seekers and the newly employed Provided work clothing to 653 men	MAC assists low-income working families in zip codes 30303, 30308, 30309, 30312, 30313, 30314	Over the past 5 years, Midtown Assistance Center, with the support of donors and volunteers, has distributed 2.5 million dollars in assistance.  Comparing fiscal year 2010 with 2009, MAC increased rent assistance by 13.5% and utility assistance by 48%.		MAC assists with rent and utility bills, provides food, and distributes transportation passes to new employment and job interviews.		
West Georgia Health Foundation Inc	http://www.wghealth.org/about-our-foundation.html	706-845-3029	EIN 20-0936376	1514 Vernon Rd Attn:  Susan Ferguson	LaGrange	GA	30240	USA	Health	West Georgia Health Foundation exclusively supports WellStar West Georgia Medical Center in its mission to serve the health care needs of people within our region through professional service, compassionate treatment and a safe environment, while collaborating with community leaders to produce better health for our citizens.	West Georgia Health Foundation raises funds for facility, service and technology enhancements at WellStar West Georgia Medical Center.  Our first campaign, concluded in 2009, provided $5.1 million for construction of a new Emergency Department (currently serving 62,000 visits/year).  It also supported creation of a Womens Health Center and is currently raising funds for a Comprehensive Cancer Center to provide proven treatments and compassionate support services for local cancer patients and their families.		WellStar West Georgia Medical Center serves approximately 8,500 inpatient admissions, 80,000 outpatient services, 62,000 emergency room visits, and delivers approximately 13,500 cancer treatments each year.  We offer a full range of inpatient and outpatient services to meet the health care needs of our community.	WellStar West Georgia Medical Center is a comprehensive regional health care provider located in LaGrange, Georgia, and serving a six-county area that includes Troup, Heard, Harris and Meriwether Counties in Georgia, and Chambers and Randolph Counties in Alabama.	To provide funds for specific medical and cancer treating equipment and support of west georgia medical center.   to provide financial support to west georgia medical center, inc. For operating the hospice center.   helping hands family assistance program - to assist present and retired wghs employees and hospital auxiliary volunteers with financial support in times of crisis. Qualifying hardships include catastrophic illness or accident suffered by a recipient or an uninsured loss to a primary residence caused by fire or other major accident or disaster. From october 1, 2013 - september 30, 2014, the helping hands programs assisted 67 west georgia health system employees by providing $23,697 in monetary assistance.		
Enable Of Georgia Foundation Inc	http://www.enablega.org	(770) 664-4347	EIN 58-1968100	1200 Old Ellis Rd	Roswell	GA	30076	USA	Unknown	Support enable of georgia (related 501(c)(3)) which supports people with special needs to lead fulfilled lives.					To provide financial assistance and hold assets for enable of georgia, inc. Enable of georgia, inc. Is a 501(c)(3) organization that promotes the health and welfare of developmentally disabled adults by providing supervised housing and employment services to 102 clients in the metro atlanta area.		
Stamp Out Starvation of Horses	http://www.sosofhorses.com/	770-596-5693	EIN 10-1158543	1111 John Wood Rd.	Clarkesville	GA	30523	USA	Animals	Stamp Out Starvation of  Horses is a Georgia equine rescue and relief fund committed to improving the lives of horses across Georgia. We mitigate risks before they become critical. Our multi-tiered program assists horse owners who have fallen on hard times, as  well as assisting other licensed Georgia rescues to feed and care for their  animals.	Over the past three years, we have helped dozens of families feed and vet their horses.  When there is no option but to re-home a horse, we call on our vast network to find and screen potential new homes.  S.O.S. has also purchased hay and a shelter for the impound facility at the Lee Arrendale Prison Equine Facility in Alto, Georgia, and assisted other rescues with hay and feed.	horse owners in Georgia	30-50	Georgia	S.O.S. assists horse owners with emergency funding to feed and care for their horses.  Our community outreach helps to educate horse owners to keep their animals safe and happy.  We also work with other horse rescues to help re-home unwanted horses, and to prosecute abusers.		
Columbia County Arts Inc	http://www.columbiacountyarts.org		EIN 58-2536275	PO Box 2025	Evans	GA	30809	USA	Arts & Culture, Arts, Culture & Humanities	Columbia County Arts, Inc. (CCA) is a volunteer organization whose goal is to assist and promote the artists and arts organizations in Columbia County for the education, inspiration and enjoyment of its citizens.				Columbia County Georgia and the surrounding area	Columbia County Arts supports the programs of numerous arts groups in our county thoughout the year, but our most direct contact with the community is in hosting Art in the Park. This event hosts area visual artists and performers for a day full of festivities open to the public. This art festival includes a vast array of performances including dance, song, music, poetry and acting as well as over 40 visual artists. Art in thePark also includes a demonstration tent where guests can see how artwork is created, loads of childrens activities, and our annual sidewalk chalk contest.		
Sunshine on A Ranney Day Inc.	http://www.sunshineonaranneyday.com	770.990.2434	EIN 45-4773997	10800 Alpharetta Hwy Suite 208 625	Roswell	GA	30076	USA		Sunshine on a Ranney Day is a 501(c)(3) non-profit approved organization that creates dream room makeovers for children with long-term illness.  Founded in 2012 by Peter and Holly Ranney, with the belief that that every child needs their own special place to feel safe, comfortable and relaxed - a place where they can play and allow their imagination to be free.		Children with special needs.		Atlanta Area	room makeovers, purchasing and installing special equipment for kid's with special needs. Extreme Home Makeovers, SOARD style!		
RescueCats, Inc.	http://www.rescuecats.org	678-817-9647	EIN 31-1738234	P.O. Box 142882	Fayetteville	GA	30214	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	RescueCats, Inc. Kitten and Cat Rescue & Adoption in Fayetteville, GA.  We are a nonprofit, state-licensed, no-kill group dedicated to rescuing owner released and homeless kittens and cats.  To prevent pet overpopulation, we have all kittens and cats spayed or neutered, and we provide a safe and loving shelter until stable, loving homes can be found.  We work very hard to be a role model for other groups and educate the public about the necessity of spaying and neutering and proper care of animals.  We are one of the few rescue groups that are truly no-kill and very proud of our accomplishments.  Between June 1999 and December 2015, we have rescued and placed over 6,500 kittens and cats as well as several dogs and a ferret. We hold adoption fairs at PETsMART every Saturday  to give the cats a greater chance for adoption.		Animals		Georgia	Arranged adoptions of over 5,000 cats since inception of organization.		
Cell Phones For Soldiers Inc	http://www.cellphonesforsoldiers.com	470-375-4688	EIN 20-1343425	5665 N Commerce Ct	Alpharetta	GA	30004	USA	Military & Veterans Organizations, Veterans	Cell Phones For Soldiers is a 501(c)(3) non-profit organization dedicated to providing free means of communication to the men and women serving in the United States military.	Provided more than 220 million minutes of pre-paid calling cards Prevented more than 13 million phones from ending up in landfills Cell Phones for Soldiers mails approximately 10,000 calling cards a week	troops and veterans.	more than 50,000 troops and veterans with communication tools/calling cards		Minutes That Matter, the charitys long-standing program, provides free calling cards to servicemen and women. Since 2004, the charity has provided more than 220 million minutes of free talk time for troops and veterans. On average, the charity fulfills 2,500 calling card requests each week.   Helping Heroes Home, was created July 2012 to aid veterans with emergency financial assistance. The program assists with one-time emergency needs such as providing a cell phone and service; computer and internet; paying for rent to avoid eviction; imperative car repairs; and more.		
Partnership Against Domestic Violence	http://www.padv.org	404-870-9600	EIN 58-1314556	P.O. Box 170225	Atlanta	GA	30317	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing, Hot Lines & Crisis Intervention, Mental Health	PADV works to end the crime of intimate partner violence and empower its survivors.	PADV is embarking on a capital campaign to increase our capacity in Gwinnett county. We will be able to serve 50% more women and children January 1, 2013 upon successful completion of the campaign.	Women and children in the Metro Atlanta and outlying areas	18,000		1. 24-hour crisis line 2. Operates two Safe Houses 3. Legal advocacy 4. Support groups for women and children 5. Teen dating violence prevention 6. Domestic Violence in the Workplace prevention		
Uss Liberty Veterans Association	http://www.ussliberty.com		EIN 77-0033906	4379 Chattahoochee Plantation Dr Se	Marietta	GA	30067	USA	Adult Education, Education, Military & Veterans Organizations, Veterans	The USS Liberty Veterans Association was established to provide support for survivors of the June 8, 1967 attack on the USS Liberty.  The efforts of the LVA is also focused on ensuring the US government finally conducts the public investigation of the attack on the USS Liberty.  Such an investigation routinely follows an attack of this kind but for reasons as yet unexplained even to members of the crew has been denied the attack on the USS Liberty.					The USS Liberty Veterans Association's major effort is to educate the American public about the attack on the USS Liberty in an effort to convince our government to investigate the attack on the ship.		
All Grown Up Inc	http://www.aguinc.org		EIN 01-0727680	3588 HWY 138 Suite 214	Stockbridge	GA	30281	USA	Children & Youth, Youth Development Programs			Teen girls 6th - 12th grade		Clayton/Henry County			
Childspring International	http://www.childspringintl.org	(404) 228-7770	EIN 58-2617948	1328 Peachtree Street NE	Atlanta	GA	30309	USA	International, International Development	In response to God's love, Childspring International provides medical care and opportunities for a better life to children around the world.		young children	We have helped transform the lives and communities of over 2,780 children!	The First Presbyterian Church in Atlanta	life-changing surgeries for children from developing countries.		
Himalayan Children's Charities Inc	http://www.hccnepal.org	(305) 495-7531	EIN 65-0995336	PO Box 3837	Alpharetta	GA	30023	USA	Children & Youth, Children & Youth Services, Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations	Our mission is to create a viable future for todays vulnerable, marginalized children by empowering them through education, nurturing care and mentorship to become contributing/productive members of their societies. To create a paradigm of sustainability in order to break the cycle of poverty and its after-affects.		educate orphaned and abandoned children	53 children from the ages of 8 to 22	Nepal	education up through the university level, leadership training and life skills training.		
CARE for AIDS	http://www.careforaids.org	678-595-2999	EIN 26-1412708	185 Pebble Beach Dr	Fayetteville	GA	30215	USA	Health, Reproductive Health Care, Reproductive Rights	CARE for AIDS exists to mobilize the church in caring, both physically and spiritually, for families affected by HIV/AIDS in Kenya.  By serving those affected by this disease, CARE for AIDS transforms families, congregations, and entire African communities.	As of summer 2012, CARE for AIDS has graduated over 1700 families from the program, representing over 6,000 children with a new future.  We have seen over 500 first-time professions of faith in our clients alone.	Families in Kenyan slums where one or both parents are HIV-positive.  We target areas with high poverty rates and search for the families in the most desperate circumstances.	1,050 clients representing families with over 3,000 children.	5 communities around Kisumu and 9 communities around Nairobi, Kenya.	14 ongoing CARE for AIDS centers exist in partnership with local Kenyan churches to care for 75 families each year through a comprehensive nine-month program.  The program includes one-on-one counseling, home visits, small group formation, and economic empowerment seminars.  Each center employs two Kenyan community health workers full time and costs $1,500 per month to operate.		
Camp Sunshine, Inc.	http://www.mycampsunshine.com	(404) 325-7979	EIN 58-1872217	1850 Clairmont Rd	Decatur	GA	30033	USA	Cancer	Camp Sunshine enriches the lives of children with cancer and their families through recreational, educational and support programs allowing them to share similar experiences and to participate in activities that promote normal childhood development as they cope with the challenges of childhood cancer.					Residential summer camp, family camp weekends, teen retreats, family support groups, teen retreats, teen support groups, educational workshops for children, teens, young adults and parents		
Star of Georgia Foundation	http://		EIN 27-5464559	P.O. Box 248	Alpharetta	GA	30009	USA		Star of Georgia Foundation (SOGAF) is committed to this mission. Providing support and improving the quality of life for underprivileged kids, widows, and children without permanent homes particularly in the Atlanta community.		the community, and young children, 8-18 years old					
Macon Volunteer Clinic Inc	http://www.maconvolunteerclinic.com	478-755-1110	EIN 74-3055376	376 Rogers Ave	Macon	GA	31204	USA	Ambulatory & Primary Health Care, Health	Macon Volunteer Clinic provides primary medical care and dental care, as well as medication assistance, to working, uninsured adults who live in Bibb County, GA.  All patients live at or below 200% of the Federal Poverty Level.  All services are provided free of charge to our patients.	Since opening our doors on February 18, 2003, the clinic has provided over 59,000 patient visits to working, uninsured adult Bibb County residents  free of charge.   In 2015, we provided 6,277 patient visits and served 775 patients.  The value of services provided to patients was in excess of $3.1 million.  (Health Care Bluebook)	working, uninsured adults	775 patients during 6,277 patient encounters.	Bibb County, GA	primary medical care; dental exams, x-rays, cleanings, restorative services, and extractions; non-narcotic prescription medication assistance; eye exams and prescription eye glasses; GYN services; dermatology services; laboratory analyses; diagnostic testing; x-rays; cancer screenings; breast health services;  nutrition counseling; diabetic education and testing supplies (glucometers, lancets, and testing strips); marriage and family therapy; and outpatient surgery.  All services are provided free of charge to clinic patients.     All MVC patients live at or below 200% of the Federal Poverty Level.		
Wonderroot Inc	http://www.wonderroot.org	(404) 254-5955	EIN 56-2482941	982 Memorial Dr Se	Atlanta	GA	30316	USA	Arts & Culture, Music	Wonderroot is an atlanta-based nonprofit organization with a mission to unite artists and community to inspire positive social change.					Public art - various temporary public art installations  open access studios program - darkroom, digital lab, recording studio, ceramics studio for youth and adult artists.   walthall artist fellowship - career/professional development program for emerging artists.   gallery exhibitions, external exhibitions, dance change atlanta, loose change magazine, imaginary million, wonderroot csa, youth programs, public art.		
Dynamic Image Inc	http://www.dynamicimageinc.org	678-235-6672	EIN 27-4413280	3160 Glenloch Place	Lawrenceville	GA	30044	USA		To reshape, rebuilds, and uplifts vulnerable lives within our community. To enhance the quality of life in our community through individual, family services and community programs.		Low-Income families in the Atlanta area		Atlanta, GA	* SPARKLES * DDS- Dynamic Diamond Sisters * Arts & Cultural Program *Community Service/Fundraising  * Recycling Program * Back to School Drive * Health Awareness		
Millhouse Entertainment Llc	http://www.millhouseentertainment.com		EIN 56-2579752	1811 Harbor Pointe Parkway	Sandy Springs	GA	30350	USA	Arts & Culture, Arts Education			gifted and talented youth	150 - 200 students jump start their career path in the field of arts/entertainment	Atlanta, GA	Art of the Arts Educational Youth Seminar, Internships, Scholarships		
National Spay Alliance Foundation	http://www.nationalspayalliancefoundation.org/	7063707594	EIN 46-5460727	2518 Cleveland Hwy Suite #15	Dalton	GA	30721	USA	Animals, Veterinary Services	Our mission is to end the tragedy of euthanasia due to pet over population and homelessness. We fulfill our mission by providing high-quality, affordable and accessible spay/neuter and vaccine services to communities where economic barriers may otherwise prevent pet owners and rescue groups for accessing those services.		We want to help under served communities spay/neuter their pets and provide low cost medical services to families who other wise could not provide veterinary care for their pets.	Last year 2014, 5661 pets where spayed or neutered! That means there have been countless litters prevented.	Dalton GA and surrounding areas providing low cost spay/neuter and veterinary services for companion animals.	we provide subsidized and low cost spay/neuter and veterinary services for dogs and cats.		
Cambodia Corps Inc	http://cambodiacorps.org		EIN 56-2199508	915 Goebel Ave	Savannah	GA	31404	USA	Education, Environment, Forest Conservation, Homeless & Housing, Homeless Centers, International, International Development, Secondary & High Schools	SITUATION:  The ethnic minority Montagnard hill tribes are the original inhabitants of southeast Indochina.  They sustained their tropical forest agroecosystem since 200 BC by living in harmony with nature.  Due to shrinking earthly resources, the outside world is closing in on them and taking their timber, communal lands, and destroying what they''ve protected for subsequent generations since the beginning of time. There are 3.5 million acres of forests and jungle in Mondolkiri Province, Cambodia targeted by Chinese, Vietnamese, Malaysian, Thai, and other outside interests in collusion with corrupt Cambodian officials. 95% of these Montagnards are illiterate, they''re highly marginalized by the Cambodian Gov, and although the poorest people in Southeast Asia, they don''t want handouts and welfare.  All they want is an educated leadership to peacefully ensure protection of their resources while integrating equitably in the global economy.MISSION:  Mitigate global climate change by providing the indigenous ethnic minority Montagnard highlanders of Cambodia with an educated leadership to stop the destruction of their tropical forest agroecosystem by predatory development.Create the educated leadership from amongst their homeless child population. It will consist of 30 college graduates and 1,200 secondary school graduates providing a ratio of one to every five families and averaging 12 per village, cumulatively amounting to 4% of the rural Mondolkiri Province population.Provide graduates with further training in advocacy, human/gender rights, governance, environmental and cultural preservation, land rights, public health, and teachers ed. Employ 171 graduates in a village development and education program. Establish a community based organization for the balance of the educated leadership to engage in advocacy, pro poor market development, and to reduce illiteracy and improve public health.					There's no other program like this in the world.  See Paupers To Champions link at www.cambodiacorps.org.We have 130 secondary school students in our child's shelter on the northeast frontier.  This aspect of our program needs to expand rapidly.Twenty shelter graduates attend universities and reside in our Indigenous Student Center in Phnom Penh.  These graduates will provide the upper tier of the educated leadership for the Montagnards of Mondolkiri Province.		
UGA HEROs	http://www.ugaheros.org	(804)467-8043	EIN 	PO Box 2866	Athens	GA	30612	USA		UGA HEROs strives to improve the quality of life for the 12,000 children in Georgia by raising money to support the programs offered by H.E.R.O. for Children, Inc., spreading awareness about the growing problem of pediatric AIDS, and participating in service initiatives aimed at improving the lives of affected children.	We have raised over 1.3 million dollars in just six short years - the fastest of any philanthropy on the UGA campus. We have been able to graduate our first class from our Rising HEROs program and are rapidly expanding throughout the state.	low-income children in the Atlanta and Athens areas (though expanding into the rest of Georgia) from birth up until 18 years of age		Georgia, United States			
Future Gents	http://		EIN 47-5313974	3780 Old Norcross Rd 103-191	Duluth	GA	30096	USA	Young Mens or Womens Associations								
The Extension Inc	http://theextension.org	(770) 590-9075	EIN 58-1915156	PO Box 793	Marietta	GA	30061	USA	Homeless & Housing, Homeless Shelters	Professional addiction counseling and support services, including a residential program for those undergoing rehab. Provides counseling and emergency winter shelter with related services.		homeless individuals in recovery from substance abuse		Marietta, GA	a long-term, state licensed residential recovery program.		
410 Bridge Inc	http://www.410bridge.org	(770) 664-4949	EIN 20-5534140	35 Old Canton St	Alpharetta	GA	30009	USA	Human Services	The 410 bridge was established to provide the people of american churches, communities and families with a bridge to the churches, communities and families of kenya, haiti & uganda, nations of grave need. This enables those involved to answer the calling to serve and to make a focused difference in the kingdom of jesus christ by ministering to the physical, spiritual, economic and educational needs of the people of kenya, haiti & uganda.					Positively impact the countries of kenya, haiti & uganda by sharing the love of jesus christ through mission trips and mission projects including water wells, health clinics, schools and housing.		
Community Assistance Center Inc	http://www.ourcac.org	(770) 552-4889	EIN 58-1825565	1130 Hightower Trl	Sandy Spgs	GA	30350	USA	Emergency Assistance, Thrift Shops	Assist individuals experiencing documented financial crisis.					Assist households in financial crisis to prevent eviction by helping pay rent and utility expenses.   provided tax preparation assistance, food, child care, holiday items, school supplies, and adult education for people in need.		
Frankie and Andy's Place	http://www.frankieandandysplace.org	(678)9362771	EIN 47-5260905	653 Gainesville Highway	Winder	GA	30680	USA	Animal Protection & Welfare, Animals	Frankie and Andys Place is a unique combination of senior dog shelter and emotional healing center for troubled humans. A beautiful log cabin, nestled in a picturesque Barrow County woodland setting, Frankie and Andys Place is home to a small number of gentle, loving senior dogs who have been cast aside by their humans and yet who still have many valuable gifts to share ..... These gifts of sympathy, time, reassurance and unconditional love are then shared with troubled humans in an atmosphere of calm and acceptance to help them mend.  Frankie and Andys Place ....... a healing collaboration between man and his best friend.	Long before the cabin had even been delivered, Connie Woofford contacted me to ask about our plans for Frankie and Andys Place as she had read about it on our Facebook page. She wanted to know if we would be interested in taking senior dogs to the Adult Day center in Winder, where adults of all ages but requiring supervision, could go to give their carers a respite for the day. I told her then that we would need to wait until we were up and running to check this out; last Thursday, due to her dogged persistence, she and I went to meet the folks there and introduce them to our mission and the tour de force that is...ERROL FLYNN! When we got there, it was after lunch, and we toured the facility, met the staff, and were able to meet some of the visitors.  One older gentleman, who introduced himself as Chuck Norris, ( you can only imagine how long he and I traded pretend ninja kicks....it was too much fun, honestly) wanted to hold Errol Flynn because he reminded him of his childhood dog, Trixie.  Of course, we heard him say this a few times, but both Connie and I were struck by the emotion it evoked in him....how simply touching this four pound ball of love seemed to happily transport him back to halcyon days. Another fan of Errol was a sweet lady who isn't allowed to have dogs at her care facility, but missed having the touch and love of one in her life. But for both Connie and I, the most unbelievable moment came when a young lady, who was quadriplegic and sitting in a wheel chair with her head tilted back, unable to speak or move her hands, was asked if she would like to meet Errol. She looked at him, their eyes met, we lifted her hand to gently stroke Errol, and her face lit up like a Christmas tree.  She started to laugh with such genuine glee, her whole face shone like a golden light, her mouth was so far open in a smile, the carers were floored! You see, she had not been feeling well when she arrived that day, and they had been concerned for her.  We lifted Errol to her neck and allowed him to nuzzle her gently, and she purred with delight. She cannot make a coherent sound, but she laughed! She truly laughed!  Folks, if these dogs do nothing useful ever again, what we saw on that day, with that young lady, made every single thing worth it. Errol Flynn, this little four pound dynamo, walked into a room, owned it and made everyone feel better. He spread the love like Gandhi, touching hearts everywhere he went, allowing himself to be passed from one person to the next, hugging and snuggling his way into their hearts. 15 people became balls of mush at his very presence. Because of confidentiality guidelines, we are not allowed to post pictures yet, or give names; we are hoping that will come soon.  We will be visiting, at this our second adult day center location, there every week starting on Monday, and I cannot even begin to thank Connie for the work that she has done to get this going. (November 19 2016)	Rescue senior dogs		Winder GA and surrounding environs	We have long believed that dogs come into our lives, not just to provide friendship and comfort, but to teach us, to open our eyes to what is really important in life, and to help us cope with the stresses of everyday living. The beauty and serenity of this environment combined with the wisdom and empathy of some of our working dogs has brought comfort and relief to a number of humans dealing with anxiety, fear, self-harming issues and bipolar disorders. All under the watchful eye and guidance of an experienced mental health professional. This shelter provides a home like environment, furnished comfortably, with sleeping quarters for the dogs, but also a main living area where they can come together and mingle with their carers and work with whoever needs them.		
Athens Area Humane Society of Clarke County and SPCA Inc	http://www.athenshumanesociety.org	706-353-2287	EIN 58-1847318	1781 Mars Hill Rd	Watkinsville	GA	30677	USA	Animal Protection & Welfare, Animals	The Athens Area Humane Society is a no-kill non-profit organization dedicated to lowering area euthanasia rates through adoption, spay/neuter and pet retention programs.	The Athens Area Humane Society needs your support because we...  Provide care for more than 1,000 animals each year that are in danger of being euthanized in the Athens area Find responsible, loving homes for approximately 400 animals each year Offer low-cost sterilizations and perform over 4,000 spay/neuter surgeries each year to reduce pet overpopulation Provide low cost vaccinations to over 1200 animals each year at our pet care clinics Educate the public concerning animal welfare and pet owner responsibility through school visits and social outreach				The society rescues & cares for stray & abandoned cats, kittens, & other small animals. Animals are adopted to responsible homes.   the society rescues & cares for stray & abandoned cats, kittens, & other small animals. Animals are adopted to responsible homes.		
