name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Results	Direct beneficiaries per year	
3rd World People Inc	http://www.3rdwp.org	(248) 885-0800	EIN 35-2334274	4840 N Adams Rd	Oakland	MI	48306	USA	Christianity, Religion	To enable women and childern to become self sufficient through education and training.		Started high school and operated it for the full school year on support and personal contributions.   five students (mothers with hiv) attending university in uganda. Four graduates to date and two more graduating this year.				
American Federation Of Muslims Of Indian Origin	http://www.afmi.org	(248) 426-7777	EIN 38-2959299	29008 W 8 Mile Rd	Farmingtn Hls	MI	48336	USA		Charitable, religious, educational and scientific purposes		Charitable, religious, educational and scientific purposes  charitable, religious, educational and scientific purposes				
Brooklyn Community Chest Inc	http://		EIN 38-2193868	Po Box 102	Brooklyn	MI	49230	USA	Human Service Organizations, Human Services							
Midwest Boston Terrier Rescue	http://www.midwestbtrescue.org	(616) 204-1466	EIN 22-3897468	Po Box 297	Kent City	MI	49330	USA		To place boston terriers and boston terrier mixes into homes after they have been displaced. To educate the public in the area of pet overpopulation		189 dogs were adopted into new homes in 2013. These dogs were all fully vetted and altered before being placed.   189 dogs have been adopted into new homes this year.				
Habitat for Humanity, Grand Traverse Region	http://www.habitat.org	(231) 941-4663	EIN 38-2753833	1129 Woodmere Ave Suite F	Traverse City	MI	49696	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Habitat for Humanity is a nonprofit, ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide and to making adequate, affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership, building houses with families in need.	Grand Traverse Region	Building homes, hope and communities Offering educational workshops and events Working with GT Region through Outreach Programs	eliminate poverty housing and making decent shelter a reality for all deserving families	Served over 110 families to date Houses are sold through a no-profit, no-interest mortgage Habitat International has built over 300,000 homes since 1976 A new Habitat house is completed somewhere in the world every 21 minutes.	Since 1987 HFH, GTR has helped over 110 families with housing needs.	
Camp Quality Michigan	http://www.campqualitymi.org	877-226-7341	EIN 	P.O. Box 345	Boyne City	MI	49712	USA		Camp Quality Michigan is a 501 (c)(3) non-profit organization whose mission is to establish and sustain community-based camping and ongoing support programs for children with cancer (ages 4-18) and their families. There is never a cost to our campers or their families. We depend totally on the generosity of individuals, businesses, organizations and foundations acting out of concern for these children.	Michigan	medically supervised summer camp.	children with cancer		In 2016, we served over 220 children and their families.	
Food Bank Of Eastern Michigan Inc	http://www.fbem.org	(810) 239-4441	EIN 38-2379678	2312 Lapeer Rd	Flint	MI	48503	USA	Food, Food Banks & Pantries, Food Programs	The food bank of eastern michigan is a nonprofit charitable organization whose purpose is to alleviate hunger and other needs by soliciting, storing, and distributing goods to member charitable service agencies serving the needy, ill, and infants. The food bank services the eastern half of the state of michigan north of livingston county.		The food bank alleviates hunger and other needs by soliciting, storing, and distributing food to member charitable service agencies serving the needy, ill, and infants. The food bank services the eastern half of the state of michigan north of livingston county.				
Until Journey's End	http://www.untiljourneysend.org		EIN 26-2679075	PO Box 150162	Grand Rapids	MI	49515	USA	Health, Health Support, Human Service Organizations, Human Services, Travelers Aid	The mission of Until Journey's End is to provide a support system to families living away from to be with a loved one in medical crisis.						
BEAR CARE GROUP	http://www.bearcaregroup.org		EIN 26-2885950	P.O. Box 596366	Fort Gratiot	MI	48059-6366	USA	Animal Protection & Welfare, Animal Services, Animals, Protection of Endangered Species	The Bear Care Group creates and enhances communication, cooperation and education among international bear care professionals by organizing bear care programs, publications and resources focused on advancing and sharing information on bear behavior, husbandry, enrichment, training, veterinary care and other topics to further global bear welfare and conservation efforts.	International	Teaching forums, problem-solving workshops, hands-on practicums, and written materials.	The Bear Care Group creates and enhances communication, cooperation and education among international bear care professionals by organizing bear care programs, publications and resources focused on advancing and sharing information on bear behavior, husbandry, enrichment, training, veterinary care and other topics to further global bear welfare and conservation efforts.	The Bear Care Group has taught hundreds of bear care professionals from sanctuaries, bear rehabilitation for release facilities, and zoos in countries such as China, Vietnam, Indonesia, Romania, Denmark, USA, and Canada.	Last year, we directly helped bear care professionals around the world to better the quality of care for the bears in their care at sanctuaries, bear rehabilitation facilities, and zoos.  We worked closely with zoos and sanctuaries in Romania to improve the quality of life for captive bears in eastern Europe.	
Southern Michigan Railroad Society, Inc.	http://www.southernmichiganrailroad.com	517-456-7677	EIN 38-2445950	PO Box K 320 S. Division	Clinton	MI	49236	USA	Arts & Culture, Historical Organizations, History Museums, Recreational Clubs, Sports	Operation and preservation of historical railroad equipment along Palmyra to Jacksonburgh Railroad Branch Line, on which trains operated between 1838 to 1982. This line is the first Branch Line into the State of Michigan, which had declared statehood in 1837, and is a branch off the first railroad built in Michigan.	Michigan, Ohio, Indiana and everywhere!	Train rides between Clinton and Tecumseh Michigan between May-September with Special Weekend Events held throughout the year. Highlighting the season is the Clinton Fall Festival train rides and ourAnnual Fall Color Tours.Operated on Saturdays with occassional Sunday train specials. Looking to add Ride to Dine from Clinton to Tecumseh for our passengers to enjoy an evening out at the local dining establishments in downtown Tecumseh.				
I D E A Association	http://		EIN 20-8337684	730 Denner St	Kalamazoo	MI	49006	USA	Arts & Culture, Community & Neighborhood Development, Economic Development, Fund Raising & Fund Distribution							
St Paul Nonprofit Chariable Organization	http://www.helpforghana.com	(248) 626-1834	EIN 38-3400777	32830 Haverford Rd	Franklin	MI	48025	USA	Human Service Organizations, Human Services	Shipments to africa related to agricultural, educational and medical to assist the poor and needy.		Shipments to africa related to agricultural, educational, and medical to assist the poor and needy  shipments to africa related to agricultural, educational, and medical to assist the poor and needy				
Creative Change Educational Solutions, Inc.	http://www.creativechange.net	(734) 482-0924	EIN 26-0006486	229 Miles St	Ypsilanti	MI	48198	USA	Civil Rights, Education, Environment, Environmental Education, Intergroup & Race Relations, Race	Creative Change Educational Solutions is a nonprofit organization advancing educational leadership and transformation through a lens of sustainability.  We help educational institutions use renewable energy, brownfields redevelopment and other sustainability sectors as platforms for instructional innovation and delivering on the promise of educational equity.   Creative Change is the bridge between educational institutions and sustainability leaders in business, government and academia. Founded by teachers, CCES is now a dynamic network of educators, organizations and leaders from green business sectors. We serve leading educators who understand the ethical need to educate for a greener economy, revitalized communities and a more stable society.    Creative Changes mission is to provide innovative education that helps create a sustainable world: a healthy environment, a fair economy, and a just and equitable society.	National	Creative Change offers scaled packages of planning, professional development, curriculum, and support for each of the following programs:  Ecological Footprint,  Economics,  Energy,  Our Town,  Sustainable by Design,  Taste of Change,  All Together Now		Program evaluations show consistent and positive results on both students and teachers, with increases in:  Students and teachers interdisciplinary content knowledge.  Students understanding of how coursework is linked to their lives and communities.  Students abilities to connect learning to real-world problems and issues.  Teachers use of effective practices and integration of community issues.		
Leelanau Conservancy	http://www.leelanauconservancy.org	(231) 256-9665	EIN 38-2710855	Po Box 1007	Leland	MI	49654	USA	Environment, Land Resources Conservation, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management	To conserve the land, water and scenic character of leelanau county, and to provide educational programs to develop an understanding and appreciation of leelanau county's natural heritage.		Land protection fund: funds used to acquire and protect land, property development rights and easements. In 2014 the conservancy completed 8 land protection projects, protecting an additional 396. 5 acres. Among these projects: (1) completion of 1 farmland protection project protecting 216 acres of productive farmland in leelanau county's centerville township. (2) completed additions to three natural areas: a 20 acre addition to hatlem creek na in glen arbor township; a 5. 9 acre buffer project to the clay cliffs natural area and a 28. 6 acre addition to the houdek dunes natural area. (3) completion of 2 conservation easements totaling 29 acres, protecting property on brooks lake adjacent to glen lake, and 20 acres of farmland in suttons bay township. (4) purchase of 2 properties with intention to place a conservation easement on the properties to protect their significant natural features and resell. (5) formally opened the trail at clay cliffs natural area and completed an observation platform overlooking lake michigan. (6) the leelanau conservancy continued its invasive species monitoring and removal program, on protected property, and along the lake michigan shoreline.   operating fund: funds used for general operating purposes and to work with landowners to protect natural features of their land and to foster an understanding and appreciation of leelanau county's natural heritage through educational programs and publications.   stewardship fund: funds used to manage our natural areas and monitor lands under conservation easement; also legal defense of conservation easements.   watershed fund: funds used for projects to improve the quality of the water table within leelanau county.				
Associated Charities of Lenawee County	http://www.thecharities.org	517-265-7255	EIN 38-1304224	221 S. Tecumseh St.	Adrian	MI	49221	USA		Associated Charities of Lenawee County strives through the generosity of our community, to meet the basic needs of Lenawee County citizens of all ages, with respect and without judgment.	Lenawee County, Michigan	free clothing and household items to registered clients.	low income families		1,850 families	
Family Victory Fellowship	http://		EIN 38-3070062	19421 W 10 Mile Rd	Southfield	MI	48075	USA								
Mission India	http://www.missionindia.org		EIN 38-2944724	PO Box 141312	Grand Rapids	MI	49514	USA	Christianity, Education, Literacy, Protestant, Religion, Remedial Reading & Encouragement	To equip India's Christians to plant reproducing churches.	India	church planter training, adult literacy classes, and children's programs.				
Poured Out Inc	http://www.poured-out.org	(657) 229-2837	EIN 27-3124701	6601 Imlay City Rd	Clyde	MI	48049	USA	Disaster Aid, Disaster Preparedness & Relief Services	Disaster relief work in the united states and haiti		We seek to convert water from life-threatening to life-giving through sustainable water solutions in developing international countries. All costs are currently for water projects in the country of haiti.   we seek to connect people in need with resources after natural disasters in the united states.				
All-of-us Express Children's Theatre	http://www.allofusexpress.org	(517) 337-1731	EIN 38-2912814	PO Box 1871	East Lansing	MI	48826	USA	Arts & Culture, Arts Education, Children's Museums, Theater	Founded in 1989 as an all volunteer group, we are now moving to having a paid staff and are looking for a permanent home and performance space. We teach all aspects of the theater arts to children ages 6 to 18 and give them a chance to crew and perform in mainstage productions rehearsed for two months and seen by up to 2,000 paying customers. Although skilled adults are involved at every stage, our philosophy is to teach the kids how to do their jobs and then turn them loose with that responsibility.		The organization operates a community theatre whereby it produces 3-4 main stage performances each year.   outreach programs in the greater lansing area to promote children's theatre within the community				
Artserve Michigan Inc	http://www.artservemichigan.org	(248) 912-0760	EIN 38-2537585	1 Clover Ct	Wixom	MI	48393	USA	Alliances & Advocacy, Arts & Culture, Arts, Culture & Humanities, Arts Services, Management & Technical Assistance	Advocating for the power of the arts, culture, arts education, and creative industries in michigan, and cultivating the creative sector through professional development and strategic communications.		Michigan cultural data project - led outreach, fundraising and research as the intermediary for this online data system originally owned and operated by the pew charitable trusts, and now operated by the cultural data project (www. Culturaldata. Org) as of april 1, 2013, to affirm the impact and vitality of nonprofit arts and cultural organizations on a state-by-state basis. Organizations benefit from no-cost trend and comparison reporting, funders gain comparable grantee data informing grantmaking decisions, and advocates gain reliable comprehensive data strengthening case-making for the arts. This year, --continued on schedule o-- artserve worked in partnership with the pew charitable trusts and the cultural data project and in michigan with the council of michigan foundations, leading funders, the michigan council for arts and cultural affairs to guide this initiative. Now in its fourth year, the michigan cdp (www. Miculturaldata. Org) is continuing to build momentum with 943 organizations registered in the system as of november 20, 2013. Of this total, 789 organizations had data profiles in the michigan cdp. In addition, there were a total of 2,131 data profiles in the michigan cdp of which 1,689 profiles had been submitted. Arts and cultural organizations are also continuing to use the reporting functions of cdp increasing the benefits of these capacity building tools. By year end, 22 funders had invested in the initiative and 16 michigan funders required or recommended use of the cdp by its grant applicants or for grant reporting. Artserve also led grantmaking in partnership with the pew charitable trust, and subsequently the cultural data project and assisted in securing funding for the program budget. As of august 27, 2013 84 new user orientation sessions were conducted benefitting 698 attendees in onsite session and michigan and national webinars. A total of 54 reports orientation sessions were also held benefitting 140 attendees also in onsite and webinar sessions. Statewide, a total of 630 arts and cultural organizations benefitted from these training opportunities.   capacity building programs - art services/education: kresge arts in detroit fellowships - delivered annual program of professional development experiences designed to meet needs of the kresge foundation's year 4 (12 visual artists) fellows and year 5 (19 literary and performing artists) in southeast michigan to help them plan, cultivate and sustain their creative practices. Program includes strategic planning retreat with creative capital, monthly workshops with state, national and international arts experts, and two --continued on schedule o-- rounds of individual consultations. Also participated in the planning and presentations for the second artx detroit exhibition in april 2013 featuring the work of the artist fellows for years 3 and 4. Creative many seminars - delivered regional professional practice seminars in partnership with universities and local arts partners - planning, resourcing, promoting, and protecting your practice - to strengthen professional practices for michigan artists and creative practitioners. This statewide program launched in fall 2010 with support from the emily hall tremaine foundation and the first two-year cycle concluded in september 2012. In september 2012, the foundation awarded artserve with a second two-year grant to allow continued growth and expansion of this program that has served more than 500 artists in 8 regions statewide. In september 2013, artserve also hosted its first statewide creative many summit, convening artists and creatives in a 2. 5-day forum exploring the expanding role of artists in community placemaking initiatives. This summit was supported by grant funding from the michigan council for the arts and cultural affairs. Lawyers for the creative economy - led continued program planning for the lawyers for the creative economy initiative launched with cultivation events in november 2012 in grand rapids and december 2012 in detroit with steering committee comprised of attorneys engaged in former volunteer lawyers for the arts program. This initiative is designed to provide pro bono or low-fee intellectual property and creativity-related legal resources for artists, creative practitioners, business and nonprofit organizations in partnership with the arts communication entertainment and sports section of the state bar of michigan, detroit creative corridor center and national endowment for the arts. This year, artserve hired a new contractual coordinator to assist with finalizing efforts to officially begin providing program services - legal referrals, seminars, online resources and code dialogue events for artists and attorneys on legal issues in the creative realm. Community supported art (detroit pilot) - initiated this pilot program in partnership with springboard for the arts and the james l. And john s. Knight foundation to connect local artists to local arts collectors and patrons through the donation of shares of an "art harvest" season. Piloted in detroit in 2012 with 9 juried artists who received a 1,000 stipend to create 50 individual works of art for the program to be distributed to local patrons. Shareholders and artists connected at local share "pick-up" events. The pilot program ended this year but remains available for replication in other michigan communities interested in its opportunities.   strategic communications - positioned arts, culture and arts education as essential to the public well-being and michigan's economic resilience and connected constituents to information and resources while engaging dialogue on issues facing the creative sector - through its website, communications and media outreach, social media. Continued partnership with tanner friedman in the delivery of media outreach and public relations services for artserve and its statewide work achieving over 425 media placements in the calendar year. Used independent contractor services to manage social media and online --continued on schedule o-- communications. Initiated a new institutional marketing committee to guide artserve's marketing and communications strategies. Continued publication of creative impact michigan e-magazine this year to affirm and raise awareness of the significant impact of arts and culture across michigan through custom-produced feature stories, spotlights on organizations, artists or creative community news, and monthly videos. Included statewide events calendar for arts and cultural organizations and artists to promote events and build new audiences. Selected tanner friedman as new publisher partner for second-year operations beginning in june 2012, and adjusted the publication schedule from bi-weekly to monthly basis based on reader feedback. Supported by the michigan council for arts and cultural affairs, the michigan state housing development authority, and leading michigan foundations.   advocacy and public policy - led research, grassroots organizing, coalition building and lobbying to advance policies and sustainable public/private funding supporting the arts, culture and arts education. Artserve's case is grounded on the belief that arts and culture is an essential ingredient to michigan's reinvention - contributing jobs and economic benefits, creating vibrant communities to attract/retain business and talent, supporting statewide cultural tourism aims, and transforming lives of people of all ages. During this year, artserve released its second creative state mi report affirming economic, audience reach and cultural tourism impacts of michigan's nonprofit arts and cultural sector using data from the michigan cultural data project (www. Culturaldata. Org). The report revealed that arts and cultural organizations generated more than billion dollars in michigan's economy, contributed 22,335 jobs, and served more than 15. 7 million people; the next creative state mi report will be released in january 2014 (www. Creativestatemi. Org). This report positioned artserve to successfully engage its statewide networks and advocate for the first meaningful increase in state arts funding in back- to-back years - a fy 2014 appropriation of 8. 15 million for the michigan council for arts and cultural affairs. Artserve also shared information online with candidates and constituents on issues related to the arts, culture, arts education and creative industries. Represented michigan on the americans for the arts' state arts advocacy network, was represented at afta's arts advocacy day in washington, dc where information was shared with michigan congressional leaders, and attended and represented creative state mi at afta's national convention in pittsburgh. Also led efforts to inform and engage a statewide network of effective advocates for the importance of k thru 12 arts education in michigan as member of the michigan youth arts roundtable, working together with the interlochen center for the arts, michigan youth arts association, the michigan council for arts and cultural affairs, and the michigan department of education, and a consortium of 16 statewide arts education organizations. These efforts were supported by the baseline information on arts education released in september 2012 from the first michigan arts education survey on the status of arts education in michigan's k thru 12 schools and included efforts to further develop and disseminate an arts education policy platform and recommendations. As part of these efforts, shared information with the partnership organizations, the michigan board of education and legislative leaders. Was represented at the kennedy center alliance for arts education network annual meeting where information was shared with michigan congressional leaders. This year, artserve continued efforts to further establish the artserve michigan arts action network as an affiliated, independent 501(c)4 nonprofit organization formed to strengthen advocacy capacity and impacts, engage advocates and leverage resources to influence positive change for arts, culture and arts education at the federal, state and local levels in michigan (www. Miartsaction. Org). While the network was not actively engaged this year due to capacity challenges, artserve contributed modest funding to continuing its support of start-up costs for the new affiliated corporation. Changes to programs there were no changes to artserve's mission or priorities during the fiscal year. Certain programs were added or expanded during the fiscal year in alignment with the organization's mission: the creative state mi research and reporting initiative was continued this year with the release of the second report in january 2013 using data from the michigan cultural data project and other sources to document the contributing impacts of michigan's arts and cultural sector to the economy, communities, education, and audiences statewide. Under this brand, a new two-year partnership continued with the detroit creative corridor center for private sector creative industries research, reporting and case- making. The first report was released in january 2014. The community supported art detroit pilot program was initiated during last fiscal year in partnership with springboard for the arts (st. Paul, mn) and the james l. And john s. Knight foundation to connect local artists with local arts patrons through the distribution of shares of an "arts harvest" season. Designed as a pilot program, the initiative was concluded but remains available for replication in other michigan communities. No significant activity was reported for this year. During this year, artserve provided professional consulting services to western michigan university and the department of fine and performing arts in the development of a study evaluating opportunities to equip arts students with entrepreneurial skill building. Artserve also provided consultant services to artscenter traverse city in the facilitation of an online artist and community survey to assist the organization in exploring opportunites for a new arts center. More information about artserve artserve michigan is the statewide nonprofit organization leading advocacy for the arts, culture and arts education, and the transformative power of the creative industries in michigan. Our mission is to "cultivate the creative potential of michigan's arts and cultural sector to enhance the health and well-being of michigan, its people and communities. " collaboration is at the heart of artserve's work. The organization was formed in 1997 through the merger of the arts foundation of michigan, business volunteers for the arts, concerned citizens for the arts in michigan, and the michigan alliance for arts education - bringing together 32 years of statewide arts leadership. Artserve's 2006 merger with the michigan association of community arts agencies further strengthened the voice for the arts, culture and arts education in michigan. Artserve is the designated michigan representative to the americans for the arts state arts advocacy network and the kennedy center alliance for arts education network. Crain's detroit business recognized artserve as a best managed nonprofit award finalist in both 2009 and 2010. Artserve serves three primary constituent groups statewide -- artists and creative professionals comprising the creative industries, arts and cultural organizations and leadership, and arts educators. The organization seeks to engage local, regional and statewide partners and stakeholders sharing our belief in the essential and contributing role of arts, culture and arts education, and the creative industries for the future of michigan. Sustainability - continued efforts to increase artserve's financial capacity through development efforts focused primarily on grantmaking for programs and operations, individual donor cultivation, organizational memberships, increased program income, and coordination of year-end and mid-year fundraising campaigns. These activities were primarily conducted by the president and ceo due to the elimination of the director of development position in september 2012.				
Volunteers of America of Michigan, Inc.	http://		EIN 38-1566662	21415 Civic Center Dr Ste 100 Suite 210	Southfield	MI	48076	USA	Homeless & Housing, Homeless Shelters, Housing & Shelter, Senior Citizens Housing & Retirement Communities, Seniors	Volunteers of America was founded by Christian social reformers Ballington and Maud Booth as a movement to "reach and uplift" people.  From rural America to inner-city neighborhoods, Volunteers of America engages its staff and volunteers in designing and operating programs that deal with today's most pressing social problems: abused and neglected children, youth at risk, the frail elderly, the disabled, homeless individuals and families, and many others.						
La Reserva Forest Foundation	http://www.lrff.org	(011) 506-8856-2	EIN 26-3595528	2933 Benedict Ln	Shelby Twp	MI	48316	USA	Environment, Land Resources Conservation	La Reserva Forest Foundation restores and preserves native tropical forests for all living things by planting diverse tree species, educating people, partnering with land-owners and inspiring all to share our vision.	Tropical forest belt around the world					
Journalism And Women Symposium	http://www.jaws.org	(510) 764-1877	EIN 84-1077803	2885 Sanford Ave Sw 29226	Grandville	MI	49418	USA	Education	Support personal growth of women in newsrooms		Annual journalism & women symposium camps were held with educational seminars and guest speakers				
Detroit Impact Inc	http://www.detroitimpact.net/	313-272-0004	EIN 38-3063817	9930 Greenfield Rd	Detroit	MI	48227	USA	Children & Youth, Youth Development Programs	Detroit Impact is a 501(c) (3) non-profit charitable organization operating as a part of a vision of community development, focusing on Detroits Westside neighborhoods. We incorporated in 1991 with the goals of bringing resources and creative empowerment to the residents of this community. Mission of BOP It is our mission to organize and train parents, volunteers, and community stakeholders to become the eyes and ears of their neighborhoods.	Detroit	Brothers on Patrol (B.O.P) safe routes for kids to school, Mentoring Programs, Creative Writing, Media Leaders, Graphic Design, Money Matters and More!	youth in our community to teach, mentor, guide, motivate and encourage. Our programs and services engage our youth and help them prepare for their future.	Awards & Acknowledgements  Some of the awards that Brothers On Patrol have received include:      Volunteers Restoring Unity in the Community September, 2002 by Community Service Commission      Group Service Award February, 2012 by Detroit 300      Trailblazers for Transformation January, 2012 by Cody Rouge Community Action Alliance      William J. Beckham, Jr. Community Service Legacy Award for the Safe Streets Initiative 2000-01 by The National Conference for Communities and Justice      Second to None Award 1997 by BOUY II/Second Precinct	Cody Rouge Community Action Alliance, United Way ( Turn Around Schools), Brothers on Patrol Youthth	
Saginaw County Community Action Committee	http://www.saginawcac.org	(989) 753-7741	EIN 38-1797894	2824 Perkins St	Saginaw	MI	48601	USA	Human Service Organizations, Human Services	The mission of saginaw county community action committee, inc. Is to serve as a proactive and dedicated community organization striving to mobilize all available local, state, private, and federal resources to help empower economically challenged families and individuals to become self sufficient citizens, and to substantially improve the standard and quality of community life.		Weatherization and energy assistance -weatherization activities reduce heating and cooling costs for low-income families, particularly for the elderly, people with disabilities, and children, by improving the energy efficiency of their homes while ensuring their health and safety. During the year, 26 households were served by this program.   community services - community services programs are administered by the agency for participants who meet the federal poverty income guidelines. Programs and services are designed to reduce poverty, revitalize low-income communities and empower low-income families to become self-sufficient. During the year 3,257 individuals benefited from this program.   food program - food program activities consist of commodity foods that are made available by the u. S. Department of agriculture to local agencies to distribute to low-income households. During the year, 8,800 households benefitted from this program.				
Optimal Medical Foundation Inc	http://www.cdrfintl.com	(905) 681-3135	EIN 31-1697776	300 West Pier Drive	Sault Ste Marie	MI	49783	USA	AIDS, AIDS Research, Health, International, International Relief, Medical Research	Optimal medical foundation, inc. Promotes and funds research and educational programs as well as provides medical supplies for diseases that attack children and their families.		Provides medical supplies and access to healthy water to children and their families in impoverished countries in an effort to work towards erradicating the diseases they face on a daily basis.   promotes and funds research and educational programs for diseases that attack children and their families.				
Copper Country Humane Society	http://		EIN 23-7423778	Po Box 453	Houghton	MI	49931	USA	Animal Protection & Welfare, Animals							
Gratiot County Community Foundation	http://		EIN 38-3087756	Po Box 248	Ithaca	MI	48847	USA	Community Foundations, Philanthropy	To receive and accept property that will be exclusively used for charitable purposes, primarily for the benefit of Gratiot County residents.						
Washtenaw Camp Placement Association	http://WashtenawCampPlacement.org	734.971.4537	EIN 38-2071695	3135 S. State Street Suite 350-D	Ann Arbor	MI	48108	USA	Camps, Sports	WASHTENAW CAMP PLACEMENT ASSOCIATION WAS ESTABLISHED IN 1962 TO SERVE AS THE COORDINATING AGENCY FOR SUMMER RESIDENT CAMP CAMPERSHIPS IN WASHTENAW COUNTY.  MORE THAN 9,700 CAMPERSHIPS HAVE BEEN AWARDED.		Placement of 126 qualifying washtenaw county youth in summer camp programs in the summer of 2014.				
Detroit Area Agency On Aging	http://www.detroitseniorsolution.com	(313) 446-4444	EIN 38-2320421	1333 Brewery Park Suite 200	Detroit	MI	48207	USA	Human Services, Senior Centers, Seniors	Detroit Area Agency on Aging DAAA, whose mission is to promote healthy aging and enhance  the quality of life for older adults, is a private nonprofit agency  established in 1980.  	 DAAA's services include Community Access, Wellness Services,  Healthy Aging & Nutrition Services feeding about 6,000 home- bound and disabled adults daily through the Detroit Meals on  Wheels program, Care Management Services for homebound  seniors, the Mature Workers Program for low-income individuals age 55 or older, the Medicaid and Medicare Assistance Program, Outreach Services, and the Senior Solution on WCHB AM 1200  every Saturday at 10 a.m.  DAAA Location: 1333 Brewery Park, Detroit, MI 48207  For further information call (313) 446-4444  or visit www.DetroitSeniorSolution.com	Metro Detroit promoting healthy aging and programs to improve  the quality of life	Community Access, Wellness Services,  Healthy Aging & Nutrition Services feeding about 6,000 home- bound and disabled adults daily through the Detroit Meals on  Wheels program, Care Management Services for homebound  seniors, the Mature Workers Program for low-income individuals age 55 or older, the Medicaid and Medicare Assistance Program, Outreach Services, and the Senior Solution on WCHB AM 1200  every Saturday at 10 a.m	older adults and adults with disabilities	DAAA serves more than 136,000 older adults  age 60 and over and caregivers residing in the City of Detroit and  metropolitan areas including the five Grosse Pointes, Hamtramck,  Harper Woods and Highland Park annually.	136,000 older adults  age 60 and over and caregivers residing in the City of Detroit and  metropolitan areas including the five Grosse Pointes, Hamtramck,  Harper Woods and Highland Park.	
Olivia Raine Foundation	http://www.oliviaraine.org		EIN 26-1968725	Po Box 182	Atlas	MI	48411	USA	Human Service Organizations	The Olivia Raine Foundation mission is designed to assist families who have had an infant pass away with funeral expenses.						
Detroit Bully Corps	http://www.dbcdogs.org		EIN 90-0686438	100 Lone Pine Trail	Lapeer	MI	48446	USA	Animal Protection & Welfare, Animal Training, Animals	The foundation of our program is education. Without education on spay/neuter, breed specific legislation (BSL), training, breed specific workshops, the dog fighting culture and responsible ownership, the epidemic will never end. Rescue is a mere bandage in the overall scale of the canine epidemic. Shelters are overrun, rescues are overflowing and society is in need of education. For every one spot we fill in our program, we turn away 50. We average 20-25 canines at any given time and 90% of our rescue population is comprised of the American Pit Bull Terrier. We work with canines from any and every background, whether it be a surrendered family pet, bait dog, seasoned fighter or the abused. We are a no-kill rescue/rehabilitation in that we will never euthanize for space. We, as a moral, ethical and objective organization, will NOT adopt out a canine that is a threat to society. We are advocates of the American Pit Bull Terrier, as such we will not add to the epidemic by being irresponsible.	the metro Detroit area and throughout Michigan to rescue and rehabilitate bully breeds, like the American Pit Bull Terrier, Boxer, American Bulldog, Mastiff, Rottweiler.	training, rehabilitation, outreach, education.	dogs without any resources.	Detroit Bully Corps is proud to serve bully breeds everywhere by being advocates for these misunderstood canines. Whether through outreach, training, education, rescue, or rehabilitation, we have helped hundreds, if not thousands of dogs since our inception in 2013.	hundreds of dogs and dog owners.	
Camp Roger	http://camproger.org	(616) 874-7286	EIN 38-6022430	8356 Belding Rd Ne	Rockford	MI	49341	USA	Camps, Sports	To encounter and celebrate god's love for his children through relationships and experiences in creation.		Summer camp - camp roger's vision is to be highly effective in mentoring children to grow in a relationship with god, to grow in independence, social skills, and confidence, and to experience the joy of following christ. During summer camp this is accomplished through a relationship between a camper and counselor immersed in fun, nature-centered activities. We serve approximately 1,500 campers per summer.   discovery nature center - during the school year the discovery nature center staff members show students first hand god's creation and lessons they can learn from it. Through the discovery nature center and the adventure course (see line 4c below) we serve approximately 10,000 people per year.   adventure course - the adventure course facilitators help schools and churches to stretch their young people with regard to interpersonal skills, teamwork, problem solving, and conflict resolution. Through the discovery nature center (see line 4b above) and the adventure course we serve approximately 10,000 people per year.				
Fidvi Foundation	http://		EIN 26-3723987	3944 Winterset Ln	W Bloomfield	MI	48323	USA	Education, Educational Services							
2-1-1 Northeast Michigan	http://www.211nemichigan.org	2-1-1	EIN 20-8782528	2007 Austin Street Room/suite Ste U	Midland	MI	48642	USA		To connect people with community wide health and human services resources to build healthy safe communities in Northeast Michigan.	22 Counties in Northeast Michigan	24/7/365 access to community resources.  GET CONNECTED, GET ANSWERS, GET HELP, and GIVE HELP		Our supporters allowed 2-1-1 Northeast Michigan to navigate the maze of social services for 23,083 callers helping an average of 1.9 indiviudlas per call for a total of 45,071 life changing events.   Over 60% were in need of help with basic needs (food, rent, clothing, utilities)		
