name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year	VISION: 	
Breedlove Foods, Inc.	http://www.breedlove.org		EIN 26-2194373	1818 N Martin Luther King Blvd	Lubbock	TX	79403	USA	Food, Food Programs, Health, Human Service Organizations, Nutrition	Partnering globally to provide nutritious food to the world's most vulnerable.  Vision:  Transforming lives through hope and encouragement.			We are a primary provider of food products for the U.S. gov't USAID/IFRP since 2000.  We supply to private and government feeding programs ranging from direct and take-home feedings, to institutional incentive-based development programs, in over 80 countries since our establishment in 1994.  We provide for post-emergency feedings for victims of disaster, which has included those of the 2005 tsunami, Hurricane Katrina, Hurricane Rita, 2010 Haiti Earthquake, and 2010 Pakistan flooding.	To date, we have distributed well over 1.02 BILLION servings of food around the world.			
The El Paso Pharmacy Association	https://sites.google.com/site/elpasopharmacyassociation/	(915) 783-7207	EIN 74-6060670	1101 N. Campbell St.	El Paso	TX	79902	USA	Arts & Culture, Education, Professional Societies & Associations, Undergraduate Colleges	The association concerns itself with local, state, and national current events affecting the practice of pharmacy.  Board Members and Committee Chairs:  Association Director Naomi Solis Contact Info: nsolis@mail.com  Current President Monique Aldaz, Pharm.D. Contact Info: mmgarcia@utexas.edu  President Elect None   Immediate Past-President Valerie Valencia Contact Info: valeriegarcia@utexas.edu   Treasure Elizabeth Michel, Pharm.D.  Secretary/Historian Erika Estrada, Pharm.D.  Pharmacy Resident Director Melissa Carrillo, Pharm.D.   Pharmacy Student Director Tony Hidalgo Contact Info: toniy.hidalgo@utexas.edu   Board Members Brenda Astorga, Jenny Splawn, Pharm.D., Oscar Tapia, Pharm.D., Abigail Strate, Pharm.D.    Committee Chairs  The El Paso Pharmacy Association has various committees, if any member is interested in joining a committee please contact the chairperson of that committee. Contact information is listed below:  Membership Chair: Emily Christenberry, Pharm.D., ejchristenberry@utep.edu Professional Development Chair: Monique Aldaz, Pharm.D., mmgarcia@utexas.edu Fundraising/Scholarship Chair: Monique Aldaz, Pharm.D., mmgarcia@utexas.edu Communication Chair: Abigail Strate, Pharm.D., aesones@utexas.edu Professional Liason Chair: Jennifer Navar, jennifernavar@utexas.edu Legislative Chair: Melissa Carrillo, Pharm.D.	Pharmacists, Pharmacy Students, Pharmacy Technicians, and Professional Pharmaceutical Service Representatives.	riginally founded as the El Paso County Pharmaceutical Association in July 1953, the El Paso Pharmacy Association has a current membership of over 50 members.	Education, CEU Credits,Socials,Community Service and more!		100		
VISTO	http://www.vistohelps.com	940-668-6403	EIN 75-1721053	1401 Southland Drive	Gainesville	TX	76240	USA	Community Service Clubs, Emergency Assistance, Food, Food Banks & Pantries, Human Service Organizations, Human Services	VISTO was created in the 1980s by the Ministerial Alliance with the mission: to help people get through times of crises and enable them to get back on their feet. This is still our mission today. The primary way that we respond to that mandate is through food. VISTO operates and maintains Cooke Countys emergency food bank.		Cooke County	Program expenses include payments to or for clients for groceries, housing, utilities, and prescriptions and the cost of support services to administer those programs.   program expenses also include fmv of donated food which is distributed to clients.				
360 Grassroots	http://www.360grassroots.org	(214) 334-2971	EIN 27-2657135	5663 montgomery	Midlothian	TX	76065	USA		To revitalize depressed communities; planning, directing and coordinating a variety of services in the social, health, economic, educational, and spiritual development of families and communities; and assisting in the development of business opportunities for the underemployed and unemployed residents of distressed communities.	combat community deterioration	Texas, Louisiana, and Georgia	Intergenerational education; job creation; renovation of historic structures; construction of new community-oriented housing structures with porches fronting on green spaces; and creation of opportunities for intergenerational interaction, which will allow the elderly to mentor children and, in reverse, allow the youth in the community to enrich the lives of those older than them.  With respect to job creation, the Organization intends to provide underemployed and unemployed individuals with employment opportunities, in particular educating such individuals about the ways in which e-commerce can provide a viable and sustainable marketplace to sell their wares over the internet.  The Organization believes that revitalizing depressed communities will make them attractive to retirees and individuals from younger generations, which will have the long-term effect of keeping the communities alive and growing for years to come.		Worked with the local hospital in Miller County (an economically depressed county) to provide the land for the construction of a much needed Dialysis Center.Rescued Ellis countys oldest historic farmstead from being used as fire target practice.		
Wolf Creek Heritage Museum	http://www.wolfcreekheritagemuseum.org	(806) 852-2123	EIN 75-1823779	Po Box 5	Lipscomb	TX	79056	USA	Arts & Culture, History Museums	Preserve the history of lipscomb county, texas while operating a museum that serves as custodian of assets for the benefit of present and future generations. Conduct educational and scientific activities in relation to the preservation of the county history.			Provided books which document the county's history including the families and businesses from the five towns in the county.   conduct educational and scientific activities in relation to the preservation of the county history.				
Guide Dogs of Texas	http://www.guidedogsoftexas.org	1-800-831-9231	EIN 74-2530268	1503 Allena Drive	San Antonio	TX	78213	USA	Animal Training, Animals, Blind & Visually Impaired Centers, Developmentally Disabled Centers, Disabilities, Health, Health Care, Human Services	The mission of Guide Dogs of Texas is to provide quality guide dogs for Texans who are visually impaired in order to improve their freedom, mobility and independence.We are committed to personalized service and lifelong dedication to our clients and guide dogs.	people who are blind and interested in a Guide Dog	Texas	Guide Dogs of Texas breeds quality Guide Dogs, raises these Guide Dogs with the help of Puppy Raisers and our award-winning PAWSitive approach program, trains the Guide Dogs under the supervision of certified Guide Dog Mobility Instructors, matches the Guide Dogs with applicants, and trains the Guide Dog and Applicant together. This training is called, class, and generally lasts about 4 weeks. Guide Dogs of Texas offers training from the client's home area. Post-class services include: annual visits from an Instructor, priority visits if needed, and retirement support. Any Guide Dogs released from the program are either re-careered or placed in loving homes. Guide Dogs of Texas is a first-stop for many people interested in learning more about Guide Dogs or other services for the visually impaired.				
Irving Cares	http://www.irvingcares.org	972-721-9181	EIN 75-1436937	440 South Nursery Rd Ste 101	Irving	TX	75060	USA	Emergency Assistance, Financial Counseling, Human Services, Victims Services	Irving Cares, in partnership with the Irving, Texas community, is dedicated to providing Irving residents with temporary assistance and training to promote self-sufficiency.	Irving Cares serves Irving, Texas residents of both sexes, all ages and all ethnicities.	Irving, Texas	a food pantry;  financial assistance with rent, utilities, prescriptions and transportation; an employment services program and job search seminars; and information and referrals to other programs.		Irving Cares served more than 12,000 residents in fiscal year ending 2016.		
Gospel for Asia, Inc.	http://www.gfa.org	800-WIN-ASIA	EIN 73-1099096	1116 St. Thomas Way	Wills Point	TX	75169-1187	USA	Christianity, Religion, Religious Media & Communications, Religious Radio	Our mission in life is to be devout followers of Christ and fulfill the Great Commission among the unreached in Asia through training, sending and assisting qualified laborers in partnership with the Body of Christ.	need men, women and children	Southeast Asia	clean water through bio-sand water filters and Jesus Wells, disaster relief, education, nutritious meals, medical care, health, hygiene, literacy and vocational training, useful gifts for the poor, Gospel films and radio broadcasts, Gospel literature distribution, ministry to lepers, widows, orphans and abandoned children, church building construction, Vacation Bible School, youth ministry, and women's fellowships.		several million people throughout southeast Asia		
Ipswich Equine Rescue Corp	http://		EIN 04-3282940	28045 Dobbin Hufsmith Rd	Magnolia	TX	77354	USA	Animal Protection & Welfare, Animals								
A.S.P.I.R.E. Learning Organizations	http://www.AspireForGodsPromises.org	817-779-0428	EIN 26-2069638	P.O. Box 173132	Arlington	TX	76003	USA	Arts & Culture, Children & Youth, Education, Elementary & Secondary Schools, Literacy, Performing Arts, Youth Centers & Clubs, Youth Development Programs	A.S.P.I.R.E. Learning Organizations is a 501(C)3 non-profit organization whose mission is to assist  youth and young adults with reaching their full potential and God-given purpose in life by providing alternative academic, athletic, arts, financial literacy, entrepreneurial, and mentoring programs, thus, enhancing the lives of families living in the communities we serve.	Youth and young adults from single parent and/or low to median income families	Arlington, TX and surrounding cities including Dallas an Fort Worth	Alternative Academic Services- Homework Help; GED Help; Math & Reading Help Private and Homeschooling Services Athletic Programs Visual, Creative, & Performing Arts Programs Financial Literacy and Entrepreneurial Training Mentoring and Self Esteem Building Services	Organizational Evolution  Summer of 2008- began facilitating Summer Math Camps and SAT preparation camps in partnership with another nonprofit. August 2010- began offering youth sports ages 4 to 12 including football, basketball, cheer leading, baseball, soccer, and color guard. October of 2010- began offering after school Math & Reading Help. January of 2012- added Homework Help and Adult GED Classes. To date, 100% of the GED Help students we sent to take the GED test passed their exam.  September of 2013- began offering Home Schooling services through Purpose & Praise Preparatory to assist parents who have a desire to educate their own child at home but may lack the time, confidence, and experience to teach all aspects of the students required core curriculum.			
CASA Of Central Texas, Inc.	http://www.casacentex.org	830-626-2272	EIN 74-2403373	1619 E. Common, Suite 301	New Braunfels	TX	78130	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Crime & Law, Domestic Violence, Protection Against Abuse	CASA of Central Texas, Inc. advocates for abused and neglected children in the court system by recruiting, training and supporting community volunteers.		Caldwell, Comal, Guadalupe and Hays Counties	Advocates for children in criminal and civil court proceedings, be an independent voice in children's fights, aid in case preparation, educate public about child abuse. Advocates donate time, auto mileage and supplies valued at $146,605.				
Bayou Land Conservancy	http://www.BayouLandConservancy.org	281-576-1634	EIN 76-0557498	10330 Lake Rd. Bldg. J	Houston	TX	77070	USA	Environment, Forest Conservation, Land Resources Conservation, Water, Water Resources, Wetlands Conservation & Management		Children from diverse backgrounds from around Houston between the ages 10 and 18.  Landowners who want to permanently protect their land for years to come.	Greater Houston area		This year over 2000 students and teachers have done hands-on, TEKS-aligned, science based activities at our Little Cypress Creek Preserve in northwest Houston.  We permanently protect lands in and around Houston. To date, we preserve 39 properties with a total of 8,600 acres.			
The Arbor School	http://www.arbor.org	(713) 827-8830	EIN 76-0317198	1635 Blalock	Houston	TX	77080	USA	Education, Special Education	The arbor school provides intensive educational intervention, at the least possible cost to parents, for children, birth through age eighteen, evidencing developmental delays, or those at risk due to diagnosed handicapping conditions.			Provide an intensive early education program for children with evidence of developmental delays				
Color Me Empowered	http://www.colormeempowered.org	214-729-2499	EIN 26-3634267	3156 Mapleleaf Lane	Dallas	TX	75233	USA	Arts & Culture	Color Me Empowered is a charitable organization dedicated to empowering at-risk children and improving neglected communities through the implementation of civic art.  We believe that giving children the opportunity to improve their immediate community will enable them to see the power of art and the ability within themselves to bring about positive change in their environment.	low-income school-aged children in the DFW area	DFW, Texas	After -school and summer programs.	To date, we've completed 10 public art projects with inner-city children.  We're working to finish 5 more public art projects in 2012.	over 500 students, completed 6 public art projects, and helped improve 5 different areas of Dallas		
Boot Campaign, Inc.	http://www.bootcampaign.org	(903) 535-7886	EIN 27-4980936	5755 Eagles Nest Blvd, Suite 2	Tyler	TX	75703	USA		Boot Campaign is a national 501(c)(3) nonprofit organization dedicated to promoting patriotism for America and our military community; raising awareness of the unique challenges service members face during and post-service; and providing assistance to military personnel, past and present, and their families.	Military Service Members, Veterans, Family Members of Service Members or Veterans	National	Housing, Career/Education, PTSD/TBI Treatment	Over $6M raised to support our mission and give back to veterans and service members.			
Nami Gulf Coast	http://www.namigulfcoast.org	(281) 585-3100	EIN 76-0276724	Po Box 4096	Alvin	TX	77512	USA	Mental Health, Mental Health Associations	To provide education and support for families			Education programs are provided to educate families about adult members or a child who has a brain disorder. These programs teach coping skills and medical management of disorders.   providing of support to families including counseling, chapter meetings, and family activities. Consumers programs are designed to support consumers (persons who have mental illness) with peer groups, education classes, and social opportunities. Expenses are paid on behalf of consumers for transportation and other needed items.   resale shop to provide additional funds.				
Metrohaven of Love, Inc.	http://www.metrohavenoflove.com/		EIN 75-2960929	1402 Corinth St. Ste 140	Dallas	TX	75215	USA	Homeless & Housing, Homeless Shelters	OUR MISSION STATEMENT MetroHaven of Love, Inc. is committed to the rehabilitation and transformation of incarcerated and homeless individuals with drug or alcohol addictions. By providing a home-like, drug-free, safe, and structured environment with supportive recovery services, we aim to ensure a successful client re-entry into society as healthy and contributory members of the community, with no revolving doors.							
Dallas is Love	http://WWW.DALLASISLOVE.ORG		EIN 20-2637444	PO BOX 450911	GARLAND	TX	75045-0911	USA	Emergency Assistance	To ensure that those who preserve the freedoms we hold dear are not forgotten by those who benefit from their hard work and dedication.  Dallas is Love is raising funds to show appreciation to all who serve or have served our country. Have a heart; be a part of Dallas is Love.	All branches of the United States military.	the United States.	AAFES gift cards and donated care packages that include items like razors, baby wipes and snacks.	Since it's inception, Dallas is Love has benefited approximately 100,000 soldiers through the contributions of AAFES gift cards and donated merchandise.	20,000		
Crossmen Productions Inc	http://www.crossmen.org	(210) 860-8228	EIN 20-8573532	27 San Isidro  Frederick Morrison	San Antonio	TX	78261	USA	Arts & Culture, Bands & Ensembles	We are committed to teaching our members the life skills they need to succeed through music education and performance.			The crossmen drum corps is a program that assists young people on the path to become wonderful human beings through the participation in the arts. The crossmen provide music education and also life-lessons for their alumni to carry with them into their future lives as adults. Students learn important life skills including leadership, goal setting, and conflict resolution. The drum corps includes opportunities for students to exercise their potential not only as musicians, but as complete human beings. There are 158 members who participate in the drum corps. The crossmen hold experience camps in the early fall each year where approximately 521 students ranging from the ages of 14-21 come together to learn what it is like to be a member of a world class drum corps and audition for a spot if they so choose. They spend a weekend of instruction with our professional staff with lessons in both music and visual skills. The crossmen host an experience day each june where 100 or more young people come to interact and receive music education from both the members of the corps as well as professional staff.				
Humane Society of North Texas	http://www.hsnt.org	817-332-4768	EIN 75-1245911	1840 East Lancaster	Fort Worth	TX	76103	USA	Animal Protection & Welfare, Animals	In accordance to our mission, we promote kindness, justice and mercy to every living creature.			Adoptions Humane Investigations Animal Surrender/Admission Emergency Rescue (K911) Spay & Neuter Program Lost & Found  Animal Education	Soon to open a new lifesaving third satellite adoption center to be located at 9009 Benbrook Blvd!			
Neuhaus Education Center	http://www.neuhaus.org	713-664-7676	EIN 74-2128239	4433 Bissonnet	Bellaire	TX	77401	USA	Education, Literacy, Remedial Reading & Encouragement, Special Education	Mission Neuhaus Education Center is dedicated to promoting reading success. Neuhaus provides evidence-based professional development to educators, information and resources to families, and direct services to adult learners.  Vision Neuhaus will be the premier source for solutions, support, and successful reading instruction.	promote reading success	Houston, Texas and USA	evidence-based professional development to educators, resources and support to families, and direct support to adult learners.	Since 1980, we have helped 70,000 teachers, who have then reached over 1,700,000 students; we have taught 2,500 adult learners, and have helped over 15,000 families receive support.	over 1500 families and adult learners and over 7000 educators.		
American Research Center in Egypt Inc	http://www.arce.org	(210) 821-7000	EIN 04-2319500	8700 Crownhill Blvd. Ste 507	San Antonio	TX	78209	USA	Arts & Culture, International, International Studies	The American Research Center in Egypt (ARCE) is dedicated to an understanding of all aspects of Egyptian history and culture up to the present. To these ends, ARCE promotes scholarly research and the dissemination of its results; encourages cultural and academic ties among its members and their Egyptian counterparts; and fosters broader knowledge and appreciation of Egypt and its culture among the general public.			Conservation and Training - ARCE carries out conservation projects at sites representing a variety of cultural periods including Pharaonic, Islamic, and Coptic.	- Over 50 completed conservation projects at ancient, Coptic, and Islamic sites. - Dozens of expeditions are assisted annually. - Hundreds trained through our museum registrar, conservation, field archaeology field schools. - Support of 13 local ARCE chapters that provide lectures about Egyptian culture and art.			
Center for Animal Research and Education Inc	http://www.carerescuetexas.com	940-683-8115 	EIN 03-0520301	245 County Road 3422	Bridgeport	TX	76426	USA	Animal Protection & Welfare, Animals	The Center for Animal Research and Education's mission is to provide for a safe, permanent and loving home to exotic animals in need. CARE focuses on excellence in physical and emotional care, advocating animal welfare through education, and conducting minimally-invasive research that will improve living conditions for captive animal populations world-wide.	exotic animals in need	Bridgeport	Lacy's Hope, Internships, Adoption and Sponsorship, Educational Tours, Husbandry and Veterinary Professional Development, Research	Operation Cool Cats, CAREs ongoing summer project for building in-ground swimming pools for all of the tigers, is in full swing. So far, Chompers, Consuela, and Bonnie, Clyde and Levi have had pools built in their enclosures  and they love them! The summer heat can be very hard on the cats (especially our older cats) so providing cats with swimming pools as a means of cooling themselves off is essential. While the cats are provided with above ground pools every summer, we felt as if permanent, cemented, in-ground pools were a more viable alternative. Our volunteers and interns have been hard at work digging holes for the pools and then securing the pools in the holes with cement. While the building can be labor intensive, it is entirely worth it to see the cats enjoying the cool water and being able to stay cool in the Texas heat. By the end of this summer, we are hoping to have a completed in-ground swimming pool in each tiger enclosure.			
The Women's Home	http://www.thewomenshome.org	(713) 521-3150	EIN 74-1467811	607 Westheimer	Houston	TX	77006	USA	Group Homes, Mental Health, Mental Health Disorders, Residential Mental Health Treatment, Substance Abuse Prevention	The mission of The Women''s Home is to help women in crisis regain their self-esteem and dignity, empowering them to return to society as productive, self-sufficient individuals.			The Women's Home programs include residential, clinical and vocational care.  Treatment is individualized and based on a wellness model that addresses 6 areas of a woman's life: Emotional, social, physical, spiritual, fiscal and vocational.	In 1957, The Womens Home started with just a handful of clients. Now, we directly treat and serve more than 200 women annually. As our clients needs have evolved so has our organization. In 2010, The Womens Home built and opened the Jane Cizik Garden Place, an 87-unit safe, sober drug-free permanent supportive housing community in Spring Branch (West Houston).			
Defenders of Freedom	http://www.defendersoffreedom.us	214 232 4962	EIN 20-1795631	320 HWY 121 STE 203	Coppell	TX	75019	USA	Military & Veterans Organizations, Veterans	Support deployed Troops with care packages and give emergency financial assistance to wounded Troops and their families	Troops who are deployed, Wounded and transitioning Veterans	Texas	Emergency Financial Assistance to wounded and transitioning Veterans Job search assistance Care packages to deployed Troops	We send approximately 1400 personalized care packages per year since 2004.    In the past two years we have helped wounded Troops in excess of $150,000.00 in emergency financial assistance	83 wounded/transitioning Veterans as they transition to civilian life.		
Military Veterans Against Child Abuse	http://www.mvacaunited.org	(210) 675-8231	EIN 46-2820843	P.O. Box 761297	San Antonio	TX	78245	USA	Child Abuse Prevention, Crime & Law, Domestic Violence, Protection Against Abuse	Military Veterans Against Child Abuse is a 501(c)3 nonprofit organization whose mission is to educate children, parents, child care providers, teachers and the community as a whole about child safety and child abuse prevention through educational material, activities, seminars and advocacy.	Young Children	San Antonio, TX	"A-B-C Learn Safety With Me" is a program designed specifically for children ages 3-5 that teaches them the basics of safety(stranger awareness, anti-bullying,fire and pool safety, etc.) in a non scary way while teaching them their alphabet and numbers.	To date over 4,600 children have benefited from our programs and information.	In the last two and a half years over 4,600 children have learned the basics of staying safe while learning their alphabet and numbers		
Haitian Street Kids, Inc. (HSKI)	http://www.HSKI.org		EIN 74-3116886	5209 Rain Forest Dr	McKinney	TX	75070	USA	Arts & Culture, Children & Youth, Children & Youth Services, Homeless & Housing, Housing & Shelter, Single Organization Support	Haitian Street Kids, Inc. (HSKI) has provided sanctuary and protection to the orphaned street kids and runaway slave children that flee abuse from cruel owners in Haiti since 1999. We provide shelter, education, nutritional, medical, and legal assistance to former slave children and orphaned street kids, as well as a resource to the more than 3000 street kids in our outreach program. We try to make certain these children receive all they need to reach their potential and achieve their God given right to a free and happy childhood.  We are ardent advocates for these children in our attempt to ensure their civil and human rights are respected.	orphaned street kids and runaway restavek slave childre	Haiti	Haitian Street Kids, Inc. (HSKI) has provided sanctuary and protection to the orphaned street kids and runaway slave children that flee abuse from cruel owners in Haiti since 1999. We provide shelter, education, nutritional, medical, and legal assistance to former slave children and orphaned street kids, as well as a resource to the more than 3000 street kids in our outreach program. We try to make certain these children receive all they need to reach their potential and achieve their God given right to a free and happy childhood.  We are ardent advocates for these children in our attempt to ensure their civil and human rights are respected.		Last year over 1000 street children were seen and treated during the night street clinics held by HSKI and sponsored by Sean Penn. Twelve new street kids between the ages of 6 and 12 were admitted into HSKI. Two new small homes were rented to house the younger children allowing them to leave the camp. A parcel of land was purchased in Port au Prince where we are planning the PaP HSKI headquarters and dormitory.		
ThriveWell Cancer Foundation	http://www.thrivewell.org	210-593-5949	EIN 26-0371270	4383 Medical Drive, Suite 4078	San Antonio	TX	78229	USA	Breast Cancer	To enable adult cancer patients to thrive!		San Antonio	Deriving inspiration & vitality through activity (diva) program provides exercise, nutrition and wellness classes to breast cancer patients and survivors in san antonio and bexar county. Research shows that women who exercise and follow a low-fat diet and adhere to their recommended hormonal or chemotherapy, have a reduction in breast cancer mortality by up to 50%. As of december 31, 2014, the diva program offered 30 classes a week at 5 different locations across san antonio. More than 900 women are on the diva roster.   many cancer patients in our community are without a reliable means of transportation thus making traveling to and from treatment appointments impossible. Additionally, the financial burden of a cancer diagnosis can be devastating. Thrivewell cancer foundation provides patients with financial assistance to help offset the costs associated with their medical care, as well as treatment related transportation. Our goal is to give patients the best possible chance of beating the disease while eliminating the added stressors that go hand-in-hand with cancer. During 2014, thrivewell cancer foundation's patient assistance program provided transportation services to 131 cancer patients and financial assistance to 159 cancer patients helping offset the costs associated with their treatment.   thrivewell cancer foundation funded two cutting-edge research grants in 2013. The title of the funded projects are as follows: microrna's: safe and potent therapeutic molecules for treating drug resistant breast cancers; exploring the role of crl4cdt2 in aggressive prostate cancer. During 2012, the foundation launched a special research project entitled the san antonio 1000 cancer genome project (sa1kcgp). The sa1kcgp provides whole genome sequencing on tumors from patients with the ten most common cancers in san antonio and makes the data obtained from the tumors available to doctors and researchers worldwide. The sa1kcgp established their own 501(c)(3) status in 2014 but the foundation will still act as the financial payer of the genome sequencing and extraction fees with the monies raised by the foundation specifically for the sa1kcgp.				
Elizabeth Haven Community Projects	http://www.elizabethhaven.org	832-654-4725	EIN 45-0574363	PO Box 11955	Spring	TX	77391	USA	Family Services	"Providing a nurturing youth sanctuary for the development of purposeful living"							
Union Gospel Mission of Tarrant County	http://www.ugm-tc.org	(817) 339-2553	EIN 75-6054677	PO Box 2144	Ft. Worth	TX	76113	USA	Community Clinics, Health, Homeless & Housing, Homeless Centers, Homeless Shelters, Religion, Religion-Related				A study done by University of North Texas School of Public Health, as well as a Star-Telegram news series, brought to light the desperate situation faced by the homeless in our community who are without access to rudimentary health care.Too many of them are women and children.				
Ethnos Missions Center	http://www.gotoethnos.org	210-858-9600	EIN 26-3838460	2919 South Laredo Street,  Alfred Martin Gaines	San Antonio	TX	78207	USA	Christianity, Religion	We believe in raising up world shakers and history maker, in the small half of the world. Young people (ages 0-25), who will make a lasting impact on their generation and positively influence the generations to follow.	At-risk children and youth.	Westside of San Antonio	Assest building, homework help, Kids Club, mentorship, field trips, play days, community events, summer reading program, Christmas stocking give away, etc.	*Transformation in behaviors * Great improvement in grades * Kids now possess a more positive outlook on life. *Children hearts are being impacted with the gospel *Children have more self confidence  * Children feel love and have a sense of belonging	over 2000 kids and their families.		
Urology Research and Education Foundation	http://www.urologyfoundation.org	214-345-5030	EIN 75-2965553	8230 Walnut Hill Ln Suite 700	Dallas	TX	75231	USA	Health, Medical Disciplines Research	Urology Research and Education Foundation is a 501(c)(3) organization dedicated to advancing knowledge about the prevention, diagnosis, and treatment of urologic disease through research, education of patients and through community service.	All men in the Dallas area 40 and older.		Dadfest, UREF Golf tournament, prostate cancer support group, one-on-one counselling with a prostate cancer survivor	We have been in existence since 2001.  We hold annual prostate cancer screenings at Dadfest and screen about 100 men.  Our monthly support group meetings have almost 40-50 attendees.  We have reached thousands with our message of risk reduction.	1,000		
Johnson County Committee on Aging Inc DBA Meals on Wheels of Johnson	http://www.servingthechildrenofyesterday.org		EIN 75-1555153	106. E. Kilpatrick, Cleburne, Texas 76031 503 W Ferris Suite D, Waxahachie, Texas 75165	Cleburne	TX	76031	USA	Food, Meals on Wheels	Meals-on-Wheels of Johnson & Ellis Counties serves the children of yesterday by helping needy homebound elderly and disabledpeople remain independent and healthy in their homes by providing home-delivered meals, daily personal contact, and support for individuals and their families.			Needs being addressed by Meals-on-Wheels of Johnson & Ellis Counties are hunger, malnutrition, isolation, access to community resources, and the inability to maintain home setting.  MOWJEC provides home delivered meals delivered by volunteers to frail, isolated elderly and disabled persons who cannot adequately prepare meals for themselves.  MOWJEC now serves over 600 persons a day in both Johnson and Ellis Counties. The agency continues to grow with the help of local and community support,in spite of significant financial losses from federal and state budget cuts.	We help over 2,800 individuals each year remain independent and healthy. Over 500 volunteers help us deliver meals and so much more to their elderly and disabled neighbors in need.			
Lago Vista Pet Adoption And Welfare Service Inc	http://lvpaws.org	(512) 431-5927	EIN 74-2827022	Po Box 4100	Lago Vista	TX	78645	USA	Animal Protection & Welfare, Animals	Pet adoption			A no kill animal shelter dedicated to preventing animal suffering, rescuing and caring for abandoned cats &dogs				
Snowball Express	http://www.snowballexpress.org	214-334-1710	EIN 20-5627830	611 S. Main St., Suite 400	Grapevine	TX	76051	USA	Human Services, Military & Veterans Organizations, Veterans	Honor Americas fallen military service members who have made the ultimate sacrifice since 9/11 by humbly serving the families they left behind. Champion their childrens future success by creating opportunities for joy, friendship, and communal healing, by connecting these families to one another.			In 2014 snowball express hosted families of our fallen military heroes at many community events across the nation, providing them an opportunity to stay connected throughout the year. During our main event held in ft worth, texas in december, we brought together over 1,800 children and surviving spouses of our fallen military heroes. We planned and designed events that enabled these children to meet other children just like them, make new friends, and we provided an opportunity for communal healing by connecting these families together. Over the 5 days in texas, each day, we hosted events throughout the community that connected the children and widows/widowers, and we also provided the public an opportunity to show their gratitude to these families for the tremendous sacrifices they have made for our freedom. --------------------------------------------------------------------------------------------- highlights of our events: a welcome event to honor the families in ft worth, tx with a public walk of gratitude, a day at the movies and perot museum of nature and science, an evening at the fort worth joint reserve base, with a special performance to honor the families by gary sinise and the lt. Dan band, and a special show performed by shows in a box. We also provided educational and inspirational opportunities. In addition to the bonding that occurs during the events, we designed special rooms and family lounges that enabled both children and adults to relax each evening, connect, share with one another, and bond in a wonderful atmosphere. We also provide a family resource room at the hotel where we invite support organizations to meet with the families. The family resource room was designed to provide special support services to the families,and an opportunity to connect with these services. ---------------------------------------------------------------------------------------------vet center counseling services: on-site at the hotel and mobile van at every off-site event (the mobile van traveled to each event and was available for counseling services if needed any time of the day) veterans administration: burial expenses, markers, headstones, death pensions, educational assistance (va, special needs, gi bill, etc), champva (health care), life insurance and any other va programs or applications for programs. Survivor outreach services: non-government volunteer group that helps with all of the above, plus financial investment counseling from experts gold star spouses: the primary mission of gsw is to provide service, support and friendship to the widows and widowers of military personnel who died on active duty or as the result of a service connected cause. Id cards and dependent enrollment: the vital item required to enter all of the above service related benefit programs. Probably our busiest unit, they were able to assist families with enrollment families and produced nearly 100 id cards. We also have members of the tragedy assistance program for survivors (t. A. P. S. ) present at every event. Taps certified grief counselors provide comfort and care through comprehensive services and programs including peer based emotional support, case work assistance, connections to community-based care, and grief and trauma resources.				
22Q Texas/VCFS TEXAS INC	https://www.22qtexas.com		EIN 26-4638243	1717 Briar St	Austin	TX	78704	USA	Health, Specifically Named Diseases	22Q Texas/VCFS Texas Inc. is run by volunteers whose families are affected by 22Q. Our mission at 22Q Texas/VCFS Texas, Inc. is to provide support and resources to individuals with 22q11.2 Deletion Syndrome (a.k.a. VeloCardioFacial Syndrome, VCFS, Di George Syndrome), 22q11.2 duplication & distal deletion, their families, professionals, and the community in Texas.	families living with 22q11 chromosome syndromes	the Great State of Texas and beyond	support groups, education & resources for families, educators and professionals, local gatherings across the state and an annual family retreat. Our online support group can be joined here https://www.facebook.com/groups/vcfstexas/	The annual 22Q Texas Family Retreat is by far our most popular, impactful program. It is truly a unique family experience. When one person in a family faces a challenge it affects the whole family. Our retreat provides a safe environment for those with 22Q and the families who love them. The weekend is often life-changing. For many it is the 1st time to meet another family affected by 22Q and the 1st time they realize they are not alone. Kids participate in fun, challenging activities, building independence & confidence by doing things they thought were impossible. Parents and siblings are empowered, educated and connected with a strong support system. Families bond together and leave with renewed strength and hope. The retreat regularly draws more than 100 attendees. Expenses for the retreat are expected to exceed $15,000. However, families attend at little or no cost, with all meals, lodging & activities provided. Your support will help make this wonderful retreat a reality!	hundreds of families.		
