name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Our goals are to:
Mundo Exchange	http://		EIN 87-0871320	PO Box 5092	Portland	OR	97208	USA								
Silver Lake Community Youth Center	http://		EIN 01-0876961	Po Box 200	Silver Lake	OR	97638	USA	Children & Youth, Youth Centers & Clubs							
Global Nutrition Empowerment	http://		EIN 27-0699540	3025 Nw Hurleywood Dr	Albany	OR	97321	USA	International, International Relief							
Cascade Aids Project Inc	http://www.cascadeaids.org	(503) 223-5907	EIN 93-0903383	520 Nw Davis St Ste 215	Portland	OR	97209	USA	AIDS, Health	To prevent hiv infections, support and empower people living with or affected by hiv and eliminate hiv-related stigma and health disparities.				Housing and support - offers one-on-one support in finding and maintaining housing; coordinates case management intake; offers educational programs to help people living with hiv thrive at home and at work; builds community among the hiv positive; and strengthens families. 812 households received supportive housing services and 2,413 hiv-positive people received some form of support services in fy2014. Assistance with housing includes both long-term and short-term or emergency housing assistance and help moving and finding furnishings. Support services include a program to help clients find meaningful employment; workshops in budgeting and being a good tenant;intensive one-on-one care for out-of-care or newly diagnosed clients;and guidance in guardianship planning for parents, hiv disclosure, and hiv education for children. Peer mentor programs help people experiencing mental illness and/or substance abuse find and stay in medical care and housing, and culturally specific navigation programs serve african american and latino clients seeking housing and support services. Programs include camp kc, a week-long residential camp for hiv-infected and -affected children.   prevention and education - provides a variety of hiv testing services and programs to raise awareness of hiv, educate about its prevention, and reduce stigma. 3,910 hiv counseling and testing sessions were completed in fy2014. Pivot, a center for promoting health and wellness among men who have sex with men, provides hiv prevention information and supplies, testing, health and wellness discussions, and social activities. The oregon aids/std hotline provides confidential, scientifically accurate information about hiv and stds to people throughout the state. Multicultural programs serve high-risk latino and african american communities with hiv testing and education through community health workers and innovative social networking programs. Youth hiv education programs bring sexuality education experts to schools and foster peer education.   advocacy and public policy - advocates for effective hiv public policy at all levels of government. The organization engages in efforts to advance progressive hiv/aids policy and legislation.		
College Dreams Inc	http://		EIN 26-3161884	2158 Ne Industry Dr	Grants Pass	OR	97526	USA	Education, Scholarships, Scholarships & Student Financial Aid							
Big Tree International	http://www.bigtreeinternational.com/		EIN 38-3841702	1118 Lancaster Dr NE Suite 301	Salem	OR	97301	USA	Nonprofit Management	Big Tree International (BTI) builds a better world by offering nonprofit consulting services to strengthen the capacity of local nonprofits addressing societys most important challenges.  Our Purpose: We EMPOWER small organizations to be more effective by leveraging our experience, expertise and relationships to serve their mission  We ENCOURAGE and work alongside local organizations by connecting resources to their needs, making it easier for them to grow their impact.  We EXPAND organizations reach through practical growth strategies and assistance.	The United States has over 1.5 Million tax-exempt charitable organizations, yet only 2.4% of them account for 90% of total reported revenue of $373.25 Billion.  In other words, most nonprofits are competing for funding scraps even though there is more than enough financial food to go around. The problem we have seen is that most nonprofits do not have the experience, expertise and relationships to access those resources. BTIs team of experts knows how to help nonprofits with their capacity development challenges.	Capacity development for small nonprofits	Serving local nonprofits	Growth Assistance Program (GAP)  A systematic and proven 12-month program where we provide our full suite of services to help qualified local nonprofits bridge the gap between where they are in their growth journey and where they want to be. Functioning as their behind the scenes advisor, we provide an infusion of tools, awards, resources, capital, strategic relationships, confidence and credibility to the small nonprofit who did not previously have the capacity to grow. Participants are selected who 1) we believe in their cause, (2) are poised for growth and (3) have what it takes to have a long-term ripple effect for large scale social and economic development of their community.   We primarily serve organizations working on education, environment, arts, and family services.  General Consulting Services  Customized, needs-based consulting in fundraising, strategic planning, grant research and writing, board development, compliance, marketing communications, risk management and income strategies that help non-profits organization become more effective and sustainable.		
Tiger Preservation Center	http://		EIN 35-2421535	Po Box 2445 28057 Redwood Hwy	Cave Junction	OR	97523	USA	Animal-Related, Animals					Wild animal rehabilitation and care		
Eves Daughters	http://www.evesdaughters.org	503-715-0640	EIN 26-1971705	PO Box 1959	Beaverton	OR	97075	USA	Public & Societal Benefit, Single Parent Agencies	To help single moms transition wisely; raise families bravely; grow spiritually, emotionally and relationally; and share wisdom generously with other women in similar situations. Eve's Daughters is an information- and support-providing agency, coordinating existing resources and providing guidance and knowledge to single moms on a case-by-case basis.	-We've grown from a handful of single moms to nearly 250 on our rolls -We've expanded from (literally) one mom at a community dinner to an average of 35 monthly -We've contributed thousands of dollars in financal support and many thousands more in material goods and services (i.e., home and car repairs, clothing, toys, etc.) -We've connected with myriad local agencies to create reciprocal partnerships, thereby creating a community "safety net" to care for single moms and their children -We've offered several parenting classes and speaker series to provide the tools and support to raise children well	Single moms, ages 25-45, although we serve younger and older populations as well.	The greater Portland (Oregon) metro area, extending to Vancouver, WA; Gresham, OR; Oregon City, OR; and Banks, OR. We regularly field calls from other states interested in finding a group like ours locally.	-One-on-one meetings to learn womens' stories and specific needs -Group gatherings (free monthly dinners, parenting classes, guest speakers, etc.) to build community and facilitate mom-to-mom support -Emergency funding for basic needs -Vast referral network to connect women to existing local agencies for additional support	We currently have approximately 250 women and roughly 500 children) on our rolls. Not all attend our programs or require financial assistance.	
Recovery Plus	http://		EIN 93-0629762	PO Box 4132	Coos Bay	OR	97420	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment							
Southern Oregon Repertory Singers Inc	http://		EIN 93-0920785	Po Box 1091	Ashland	OR	97520	USA								
Work Unlimited	http://www.workunlimited.org	(541) 753-5520	EIN 93-0900577	515 Sw Western Blvd	Corvallis	OR	97333	USA	Counseling, Mental Health	Staffing for residential facilities and vocational training for mentally disabled individuals.				Staffing for residential facilities and vocational training for mentally disabled individuals.		
Greenbelt Land Trust Inc	http://greenbeltlandtrust.org	(541) 752-9609	EIN 94-3113836	Po Box 1721	Corvallis	OR	97339	USA	Environment, Land Resources Conservation, Natural Resources Conservation & Protection	Our mission is to conserve and protect in perpetuity native habitats, working lands and lands of natural beauty which provide a connection to the natural world for the residents of the mid-willamette valley.				Stewardship:constructed 1. 5 miles of trail, connecting bald hill farm to fitton green natural area and opening up 17 miles of off-road trail systems. Completed monitoring of current portfolio of conservation easements. Completed draft of bald hill farm management plan. Planted 54,000 trees and shrubs on willamette river properties. $563,153 in restoration and planning grants signed for habitat and ecosystem restoration and $36,000 for long-term stewardship.   land conservation:permanently protected 74 acres of prairie, wetland, and riparian habitat in kings valley in partnership with landowners cliff and gay hall, adding onto an existing conservation project and resulting in the permanent protection of 219 acres. Permanently protected 61 acres along the willamette river, adjacent to horseshoe lake in linn county, creating a conservation zone of 261 acres. Conducted due diligence towards the permanent protection of 18 acres as an addition to harkens lake conservation area. Received $244,082 of grand funds toward land acquisition. Secured grant funding towards the 2015 purchase of the 168 acre mulkey ridge forest property in benton county.   public education:held 35 public tours and events on protected lands. Coordinated the 2nd annual volunteer naturalist program at bald hill farm, providing interpreters to trail goers throughout the summer. Held the 8th annual run for the hills, breaking attendance records and raising more than $10,000 to support the maintenance of area trail systems. Partnered to host a benefit event, 'roots to rivers; where land, water, and agriculture meet' with conservation partners. Held the 3rd annual symphony on the land even at bald hill farm. Volunteers donated a total of 1700 hours of service to our trails, outreach programs, education workdays, and stewardship programs.		
Willamette Girlchoir	http://www.willamettegirlchoir.org	(503) 370-6383	EIN 93-1121541	600 State St	Salem	OR	97301	USA	Arts & Culture, Music	Provide girls in grades 1 through 12 the opportunity to improve their musical skills in a group atmosphere.				Willamette girlchoir educates girls ages 8-18 in vocal music by offering concert performances and weekly practices. Monthly newsletters, emails and a website are in place to facilitate communication to achieve a high level of enthusiasm in voice competency. In 2014, the organization's fifty-one members sang in three concerts and three community performances. Thirty-one of these girls had the opportunity to travel to portland, oregon to participate in a choral festival with the guest conductor jim papaoulis. In june 2014, eleven girls traveled to new york city to participate in a choral festival at carnegie hall.		
The Rinehart Endowment Fund Inc	http://	(503) 368-5182	EIN 20-4137377	Po Box 184	Wheeler	OR	97147	USA	Health	The corporation is organized and shall be operated for the benefit of "the rinehart clinic".				During 2010, the rinehart clinic endowment fund, inc. Forgave a loan and transferred cash to the rinehart clinic in the amount of $414,812.		
The Science Factory, Inc.	http://www.sciencefactory.org	541-682-7888	EIN 93-0688763	PO Box 1518	Eugene	OR	97440	USA	Arts & Culture, Children's Museums, Science & Technology Museums	To engage, excite, and inspire children toward a lifelong love of learning about science, technology and humanity.		Children 2-14 years of age and their families.		Maintains a collection of science-focused, interactive exhibits designed primarily for children in grades K-6.  After-school educational programs and summer science day camps are offered for children from preschool age to older youths.  Planetarium shows, special events, computer lab, and some exhibits are appropriate for adults and people of all ages.	Over 30,000	
Bend Spay and Neuter Project	http://www.bendsnip.org/	541-617-1010	EIN 71-0977598	910 SE Wilson Ave. Suite B1	Bend	OR	97702	USA	Animal Protection & Welfare, Animals, Veterinary Services	Our Mission is to End Pet Homelessness in Dechutes County by Providing Low and No Cost Spay and Neuter Services.				Low and no cost spay and neuter, microchip and vaccination services in Bend, OR.		
ReFIT, Remodeling for Independence Together	http://www.refitportland.org		EIN 91-1848275	PO Box 8353	Portland	OR	97207	USA	Human Services	To enable the elderly and people with disabilities to remain in their homes.		the disabled and seniors	Portland Area	in home modifications so that the disabled can remain living safely in their own home. This includes wheelchair ramps, bathrooms, grab bars, widening doorways, and more.	16 families with large modifications	
Equine Outreach, Inc.	http://www.equineoutreach.com		EIN 51-0484049	63220 Silvis Rd	Bend	OR	97701	USA	Animal Protection & Welfare, Animals, Citizen Participation	Equine Outreach Horse Rescue facilitates the rescue, rehabilitation and permanent placement of abused, neglected and unwanted equines.   Promote equine awareness and foster community compassion for responsible equine guardianship.	2013 placed 65 horses in permanent homes	horses and equine community	Bend, Oregon	Horse rehabilitation, rescue, sanctuary and  training.  Work with school and youth groups	home 65 horses	
Junior League of Portland	http://www.juniorleagueofportland.org	(503) 877-4557	EIN 93-0386355	5100 Sw Macadam Ave No 450	Portland	OR	97239	USA		We are an organization of women committed to promoting voluntarism, developing the potential of women, and improving communities through the effective action and leadership of trained volunteers.				Leadership training: the organization devotes substantial volunteer time and resources for training members to become civic and community leaders. Through this program, members can attend leadership conferences and training sessions which focus on non-profit and community leadership development.   community programs and community support services: the league serves individuals in need through community projects addressing a broad spectrum of issues in portland and surrounding areas. Many of these programs are initiated by the league and fully supported through league volunteers and funding. League volunteers serve many people - infants, children, women in crisis, and families; in many places - hospitals, camps, schools, and prisons; and in many capacities - mentors, program facilitators, educators and champions of advocacy. During the 2014-15 fiscal year, the league devoted its efforts and resources to its programs: between the lines; healthy habits, healthy kids; stop human trafficking; and volunteer in portland.		
Virginia Garcia Memorial Foundation	http://www.virginiagarcia.org/foundation.html	(503) 359-8505	EIN 91-2077840	Po Box 568	Cornelius	OR	97113	USA	Health	The mission of the virginia garcia memorial foundation is to provide enduring suppport for virginia garcia memorial health center through funding, community relations, and the cultivation of community friendships, partners and donors.				The foundation raises funds from family, corporate, private and community foundations; as well as individuals and corporations. The foundation also writes federal, state and county grants for the center, although many times this funding flows through the center as a result of its fqhc status. The foundation benefits from two major fundraising events per year. Serving as the community relations arm of the center, foundation staff regularly attend community events, meet with community partners and provide education to corporations' employees on the center's programs. The foundation produces all marketing materials for the center including brand-related items, press releases, articles, website pages, and social media. The foundation holds three major community relations events per year. (see schedule o for continuation)the foundation also meets regularly with individuals, corporations and foundation representatives to educate their supporters on center programs and services. The foundation conducts tours of the center's facilities and provides information to community members on the center and the role of community health centers. The foundation holds, on average, three cultivation events per year.		
Jackson County Sart	http://jacksoncountysart.org	(541) 201-0678	EIN 81-0650183	43 Morninglight Dr	Ashland	OR	97520	USA	Crime & Law, Mental Health, Sexual Abuse Prevention, Sexual Assault Services	The jackson county sart works to bring healing, justice and hope to survivors of sexual assault, to hold offenders accountable, and to help prevent sexual violence through community involvement and change.				The jackson county sexual assault response team (sart) provides free, round-the-clock care to girls, women, boys and men throughout the county who are victims of sexual assault. In 2014, sart provided 84 exams. Sart coordinates a multi-agency response team of police, district attorneys, victim advocates from community works and sart's own, specially trained sexual assault nurse examiners (sanes), who provide immediate crisis intervention, medical screening and expert evidence collection. Sart also provides peer support groups for survivors and conducts prevention programs in county schools, as well as awareness and education programs for mandatory reporters, parents and community members.		
Quadriplegics United Against Dependency Inc	http://www.quadinc.org	(503) 287-4260	EIN 93-0639118	5100 Sw Macadam Ave Ste 130	Portland	OR	97239	USA	Centers to Support the Independence of Specific Populations, Civil Rights, Disabilities, Disabled Persons Rights, Health, Health Care, Rehabilitative Care	Housing assistance and attendant care services for low-income physically disabled adults.	QUAD Inc. has built and now operates four apartment buildings in metro Portland serving 85 residents who are empowered to direct their own day-to-day care and take responsibility for the direction their lives will take.	Low-income, mentally-alert adults with severe disabilities who rely on wheelchairs.	Oregon	The organization provides 24/7 supportive/personal attendant care services for quadriplegic residents.   a 19 unit, hud subsidized, apartment complex providing housing and attendant care to low-income physically disabled individuals.	85	
House Of Myrrh	http://		EIN 93-1121952	1104 6th St	Oregon City	OR	97045	USA	Human Service Organizations, Human Services							
Akha Heritage Foundation	http://www.akha.org		EIN 75-3066537	Po Box 6073	Salem	OR	97304	USA	Alliances & Advocacy, Arts & Culture, Cultural & Ethnic Awareness, Food, International, International Human Rights	Our organization provides publicity of the Akha situation, collects and publishes data on human rights issues, lobbies inside and outside of Thailand for these rights and delivers services which protect the language and culture of the Akha people.						
Oregon Outback Humane Society	http://www.oregonoutbackhumane.org	(877) 947-5009	EIN 20-8682453	Po Box 206	Lakeview	OR	97630	USA	Animal Protection & Welfare, Animals	The mission of oregon outback humane society is to improve the lives of companion animals and residents in lake county, oregon.				Spay neuter oregon outback pets initiative (snoopi)  adoption and foster care of our animals which includes veterinary care as needed.   pet food share and community outreach along with providing emergency vet care		
Albertina Kerr Centers Foundation Inc	http://	(503) 239-8101	EIN 93-1297104	424 Ne 22nd Ave	Portland	OR	97232	USA	Developmentally Disabled Centers, Disabilities, Mental Health, Philanthropy, Residential Mental Health Treatment	The foundation raises contributions and grants and manages investments on behalf of albertina kerr centers, an independent, self-governing, tax-exempt organization.				Every day albertina kerr helps children, adults and families in oregon who face mental health challenges and developmental disabilities, empowering them to lead fuller, self-determined lives. Private donations and community support make this vital work possible.		
Wildlife Warriors USA Inc.	http://www.wildlifewarriors.org.au	(541) 687-4788	EIN 30-0137313	PO Box 11347	Eugene	OR	97440	USA	Animals, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Protection of Endangered Species, Public Foundations, Veterinary Services	We are working towards making a positive difference to the planet by working on a select number of programs that provide long-term solutions for the conservation and preservation of wildlife all over the globe.				To provide care and protection of wildlife around the world through vital conservation programs.		
Naia Tr for the Protection of Animals Animal Owners & Animal Ent	http://www.naiatrust.org	(503) 761-1139	EIN 52-7114458	PO Box 66579	Portland	OR	97290	USA	Animal Protection & Welfare, Animals	To promote responsible animal care and ownership and reasonable laws, policies and regulations to protect animals and the people who care for them.				Provide information about animals and animal husbandry, animals in education and entertainment, scientific advances in animal and human medicine, wildlife management, hunting and fishing, and pet ownership.   provide information about animals and animal husbandry, animals in education and entertainment, scientific advances in animal and human medicine, wildlife management, hunting and fishing, and pet ownership.		
Friends Of Curry County Home Health & Hospice	http://		EIN 13-4350652	PO Box 348	Gold Beach	OR	97444	USA	Health							
Childrens Shelter Of Hope Foundation	http://www.childrens-shelter-of-hope-foundation.org		EIN 33-1045256	Po Box 3471	Portland	OR	97208	USA	Developmentally Disabled Centers, Disabilities, Domestic Violence, Education, Elementary & Secondary Schools, Family Violence Shelters, Group Homes, Homeless & Housing, Literacy	Funding for improved hygiene and medical needs for children and families in need. Funding for educational needs including tutors at shelters, and tuition and transportation for children to attend more advanced schools. Funding for future building expansions at shelters such as the Refugio Infantil Santa Esperanza (full-time residence for 35+ children) and Pasitos de Luz (daycare for handicapped children). Funding to support the future needs of all of the children beyond their time at the Refugio for special medical problems, placement of teenagers in safe environments, scholarships, support to attend trade schools, etc.				Primarily our foundation supports Refugio Infantil Santa Esperanza and Pasitos de Luz. We also support medical and dental projects for children and families in remote villages such as Quimixto and La Cruz de Huanacaxtle.		
The National Crittenton Foundation	http://www.NationalCrittenton.org	503-297-2217	EIN 54-0505932	1750 SW Harbor Way, Suite 450	Portland	OR	97201	USA	Children & Youth, Crime & Law, Family Services, Family Services for Adolescent Parents, Foster Care, Human Services, Sexual Abuse Prevention	The National Crittenton Foundation supports empowerment, self-sufficiency, and the end of cycles of destructive behaviors for girls, young women and their families who live at the margin of the American dream.				'bold (bridging opportunity love and determination) program was conceptualized as a program to support the development of the social capital, leadership skills and civic engagement of young women survivors funding was received to develop bold. Working with a committee of young women and women from crittenton agencies the components of bold were developed including the society, quest and circles. In 2014 the society was developed to be a smart phone app. The society app will be piloted in 2015 in 5-7 crittenton agencies bringing women from crittenton agencies called sisters, together with other women, friends who agree to share information, skills and perspectives with them.   educationtncf worked with crittenton agencies and former consumers to provide education, resources, and information to decision makers and partners to increase their understanding of the needs and potential of girls and young women who are survivors of abuse and violence. This included communicating the need for the gender and culturally responsive, trauma informed, strength-based services they need to heal and thrive. Tncf hosted and co-hosted four briefings on: improving the outcomes of children by supporting young parents, adverse childhood experiences and young mothers, and meeting the needs of girls in the juvenile justice system. We are not invisibleworking in partnership with the crittenton family of agencies tncf brought current and former clients/consumers of services to washington, dc to share their perspectives as survivors of trauma and violence with decision makers.   agency support the organization provided training, networking, referrals, research, program development, advocacy, evidence building, professional development and two conferences for the 26 members of the crittenton family of agencies providing services in 31 states and the district of columbia. Additionally, ongoing technical assistance and support is provided to agencies.   connie lieding scholarshipthrough a contribution made to tncf by beth burrell, an individual donor, this scholarship fund was developed in 2011. Scholarships cover educational expenses for young women between the ages of 17-27 who have successfully completed programs at crittenton agencies. During 2014, 11 scholarships were awarded to women advancing their educational goals at technical and community colleges, four-year colleges and masters level degrees. An increased number of scholarships was awarded because of an increase in the contributions made by the donor. Georgetown policy seriestncf in partnership with georgetown center on poverty, inequality and public policy is sponsoring a policy series "marginalized girls: creating pathways to opportunity policy series. Girls at the margin action alliance co-hosted quarterly meetings of the 93 members of the alliance on a range of topics. Building evidence continued the evidence building work from 2012 byworking with a subcommittee of agency representatives and dr. Roy wade from childrens hospital of philadelphia(chop)/stoneleigh foundation research fellow. The group developed a new demographic section, selecting well being domains and questions to be piloted with second administration of the adverse childhood experiences survey. Second administration of ace was begin using new data system redcap through chop. 20 agencies are participating and 8 are piloting the well being questions. Search support provided support to individuals searching for family members separated through adoptions. Public speaking - spoke on a range of issues of importance to marginalized girls and young women, e. G. Ascend/aspen instittue thinkxchange, healthy teen network, etc. . Fostering girls strengths convening hosted 2 national convenings bringing together 45-50 leaders, advocates, researchers, service providers and young women/women to develop a national blueprint for supporting the needs and potential of our nation's most marginalized girls and young women. . National girls initiative (ngi)lead and staffed the ngi of the office of juvenile justice and delinquency prevention of the department of justice. Planning hosting a national roundtable for girls coalitions and alliances on policy reform for girls in or at risk of etnering the juvenile justice system. Began planning for the awarding of innovation awards, drafted policy statement of girls in juvenile justice and provided technical assistance to states on girls.		
Autism Service Dogs Of America	http://www.autismservicedogsofamerica.org	(971) 285-4547	EIN 71-0888906	20340 Sw Boones Ferry Rd	Tualatin	OR	97062	USA	Animal-Related, Animals, Autism, Disabilities, Education, Health, Health Support, Special Education	To make a positive impact on the lives of individuals living with autism, and their families, by providing exceptionally well trained autism service dogs to individuals on the autism spectrum.				Asda trains and places service dogs with children with autism and their families. Asda placed 7 service dogs and 2 facility dogs in 2014.   asda operates a summer camp for children with autism and typical peers where campers learn about service dog training while engaging in community based field trips.		
Echo Theater Company	http://www.echotheaterpdx.org	(503) 231-1232	EIN 93-0682075	1515 Se 37th Ave	Portland	OR	97214	USA	Arts & Culture, Theater	Engage audiences and students through extremely physical theatre.				Physical performance school: 2429 students learned confidence, freedom and grace through collaborative storytelling, trapeze and acrobatics.   theatre performance: our three pre-professional performance companies collaborated over the course of the academic year to create and perform original devised works		
Reach Community Development Inc	http://www.reachcdc.org	(503) 231-0682	EIN 93-0813981	4150 Sw Moody Ave	Portland	OR	97239	USA	Homeless & Housing, Housing Development, Construction & Management	Reach develops and manages quality affordable housing and provides opportunities for individuals, families and communities to thrive through supportive programs and home repair services.				Property management and housing development program: reach has developed or preserved over 1,800 units of affordable rental housing for people with low and moderate incomes. This includes 14 apartment buildings for people with special needs, such as the formerly homeless and elderly. Reach has also built 28 units of affordable housing for home ownership. Reach provides property management and asset management for all of its properties.   community builders program: reach provides free home repairs for low income elderly and disabled homeowners and low inocme renters. Approximately 200 households are served annually, utilizing several hundred volunteers, donated materials and contracted labor.   resident services program: reach's resident services program helps people maintain housing stability, raise their standard of living and achieve greater financial independence by: increasing residents' econominc stability through financial education and matched savings programs for both adults and youth; providing information and referrals that connect residents to essential services; and partnering with other organizations to offer employment classes and life skills workshops.   volunteer services 420 reach volunteers donated their services in 2014. Volunteers help our community in a number of ways, including: teaching classes to residents; maintaining garden beds; and, serving as project and crew leaders at the paint & repair a-thon.		
Makena Childrens Foundation Inc	http://		EIN 72-1388214	711 Medford Center 117	Medford	OR	97504	USA	Education, Elementary & Secondary Schools, Literacy, Student Services	Makena Children's Foundation, founded in 1997, grew out of one person's desire to make a difference in the life of an African child.  After visiting Kenya on safari in 1995, our founder yearned for a way to make a difference in the life of just one African child.  A native Kenyan suggested that education is the key to changing a life in Africa.  Hanna Wanja began her adventure in learning.  As friends and family learned about the difference education was making in the life of 8-year-old Hanna, they asked to be involved and Daniel Kimani joined the program.  A 501 (c) 3 organization was established and today there are nine Makena children attending Oasis Junior Academy in Naivasha, Kenya.  All come from very poor families and are orphans or have only one living parent.						
Senior Citizens Council of Clackamas County Inc	http://www.seniorcitizenscouncil.com	503-657-1366	EIN 93-0693668	PO Box 1777	Oregon City	OR	97045	USA	Human Services, Senior Centers, Seniors	Our mission is to offer services not provided by other agencies for homebound, frail and geographically isolated individuals.  Our programs provide independence, improve quality of life, and prevent or end abuse, neglect (including self-neglect) and exploitation of at risk seniors and adults with disabilities.		Our programs provide independence, improve quality of life, and prevent or end abuse, neglect (including self-neglect) and exploitation of at risk seniors and adults with disabilities.	Clackamas County, Oregon	Guardianship Diversion and Guardianship/Conservatorship	750 seniors	
Alvord-Taylor Inc	http://www.alvordtaylor.org	(541) 736-3444	EIN 93-0632048	72b Centennial Loop Ste 200	Eugene	OR	97401	USA	Autism, Developmentally Disabled Centers, Disabilities, Health, Mental Health, Residential Care & Adult Day Programs, Residential Mental Health Treatment	Assists people with disabilities to live quality lives in their communities.				We believe that all people have similar desires in life, to be around others, to be accepted, to pursue their dreams. To contribute and be helpful. Those who live with intellectual and developmental disabilities are no different. Both our home and work programs help those we support interact more in the community because that is part of enjoying life. We help people pursue their interests that might include creating jewelry, crocheting, getting involved in sports, or becoming entrepreneurs by selling what they create. Travel is also important, and weve helped people go to places like london, disneyland, and the oregon coast. Some want to visit parents or relatives in other states.   some people live independently in apartments, yet need assistance and training with a variety of daily living tasks from managing personal health to accessing community resources and activities. They can always access our 24-hour emergency support network when something unexpected happens. Our supported living program grew significantly during the last year. More people with disabilities and their families are embracing the idea that people with disabilities can be successful in their homes when they receive the right kind and amount of help. Our services allow people to learn, grow and contribute to their community. We tailor our support to meet each persons needs.   everyone needs money to survive, but more than that, they need purpose. Individuals at alvord-taylor are no different there are three options for those we serve: seek competitive employment within the community, apply for one of alvord taylors positions for supported individuals to increase work skills, or volunteer within the community to identify and learn additional work skills. Our goal is to help the people we support feel valued and encouraged to engage in work activities that they enjoy. Performing meaningful work in the community contributes to a quality life. We take a person-centered approach, and each person makes her/his own choices. Alvord-taylor is certified to offer vocational rehabilitation services, and our staff members are available to provide information, guide and facilitate those choices. Most of the people who participate in our vocational program dont work full-time, but they do work that is meaningful to them. Our goal is to have individuals employed in community businesses while our staff provide any on the job support the person needs to be successful; this includes, anything from supporting someone during a large portion of their shift to simply checking in and ensuring both the employer and employee are doing well.		
Big Stone Foundation	http://www.bigstonechina.org		EIN 27-0447320	20675 Black Rock Rd Big Stone Foundation	Falls City	OR	97344	USA	Human Services	Big Stone Foundation				In this program, we rescue at-risk Chinese orphans from dangerous situations (such as human trafficking and child labor), and provide them with full scholarships and living expenses in private boarding schools, as well as legal protection and protection from their past. The budget listed for this program is an annual budget based on rescuing 100 children, with a budgeted amount of $30 per student per month.		
Humane Society Of Central Oregon Spca	http://www.hsco.org	(541) 330-0087	EIN 93-0616957	61170 Se 27th St	Bend	OR	97702	USA	Animal Protection & Welfare, Animals	To care for abandoned, stray, neglected, surrendered and abused animals. We work toward the placement of all animals. Through humane educated and community outreach, we endeavor to inspire a community to responsibly care for all animals.				Animal care and adoptions: in fiscal year 2014-15, the humane society of central oregon (hsco) took in 2,389 animals and reunited or placed 2,205 for a 92% live release rate. The organization was able to make such huge strides in placing animals because of its strong relationships with rescues and that the board invested in starting a behavior modification program for its most difficult/long-term animals. Hsco reunited 895 animals with their owners and transferred in 100+ animals from other shelters that would have been eunthanized. All animals being adopted out are spayed or neutered, micro-chipped and provided with vaccines.   the thrift store continues to exceed expectations. The community values the services provided in reducing, recycling and repurposing quality used items to support the mission of hsco and the animals it serves. The store averaged 1,396 donations per month and sold and average of 25,745 items per month.   the clinic performed 3050 veterinary exams and spayed or neutered 744 animals. Hsco also started a behavior program in march and conducted 160 behavior exams. 368 dental procedures were performed in order to increase adoptions. Hsco also dealt with a hoarding case of 36 dogs, of which about half required extensive medical care.		
ALZHEIMERS NETWORK OF OREGON	http://alznet.org/	503-364-8100	EIN 57-1191574	1449 Liberty St. SE	Salem	OR	97302	USA	Adult Education, Alzheimers Disease, Brain Disorders, Education, Health, Senior Centers, Seniors	The mission of the Alzheimer's Network is to provide compassionate support, education and outreach to meet the individual needs of those impacted by Alzheimer's disease and other dementias.		individuals impacted by Alzheimer's disease and other dementias	Marion & Polk counties	art classes, iPod program, educational classes, memory screenings, monthly support group, care navigation, lending library, information & resources		
Northwest Family Services	http://www.nwfs.org	503-546-6377	EIN 93-0841022	6200 Se King Rd	Portland	OR	97222	USA	Crime & Law, Domestic Violence, Family Services, Human Service Organizations, Human Services, Mental Health, Protection Against Abuse, Substance Abuse Dependency, Prevention & Treatment	Northwest Family Services is an award-winning, leading provider of creative services that reduce poverty.  Since 1983, our mission has supported individual success, family stability, and child well-being.  Programs and services include youth programs, professional counseling, couples classes, parenting, money management, job readiness and placement, healthy relationship education, and more.  Services are offered in the greater Portland metro area in both English and Spanish.	With more than 30 years of experience in education and social service, NWFS has a deep commitment to the success of youth and families. NWFS served more than 20,000 youth, teens and adults in 2014.   Key Facts and Accomplishments: 1) NWFS has been in the Top Oregon Non-Profits to Work for over the past 7 years and the Top Oregon Green Businesses for the past 3 years. 2) What distinguishes NWFS is our focus on child well-being and family stability using evidence-based or best-practice activities. Since NWFS has a wide range of services, it allows us to provide for the multiple needs of the participants we serve in a single setting.	reduce poverty for children and families.	Oregon and Southwest Washington	Youth Programs: Academic Success Programs Mentoring Programs After-school Programs Peer to Peer Leadership Mentoring At-Risk Youth Human Trafficking Awareness Summer Activities for Youth Suicide Prevention Drug and Alcohol screening and treatment    Adult Programs: Professional Counseling Anger Management Job Readiness and Placement Financial Literacy Basic Needs Parent Education, e.g., Love and Logic Parenting Inside Out (PIO)for people in the system Healthy Relationship Classes for Singles and Couples	20,000 youth and adults through all programs and services.	
Leadership Corvallis Inc	http://leadershipcorvallis.org		EIN 93-1251566	420 Nw 2nd St	Corvallis	OR	97330	USA	Education	It is the mission of Leadership Corvallis to provide a broad experience to engaged participants on how the community works and to prepare them through education and inspiration to actively shape the destiny of our area.  Our Vision is to promote a dynamic, empowered community by preparing citizens for active participation and leadership.						
Free Geek	http://		EIN 93-1292010	1731 Se 10th Ave	Portland	OR	97214	USA	Environment, Recycling							
Salem Keizer Youth Drug Alcohol Awareness Inc	http://		EIN 93-0993948	PO Box 4541	Salem	OR	97302	USA	Mental Health, Substance Abuse Prevention							
