name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs			Our Black HerStory Project
Sprout Inc	http://gosprout.org	212-222-9575	EIN 13-3344354	270 W. 96th St	New York	NY	10025	USA	Developmentally Disabled Centers, Disabilities, Human Services	Sprout is a non profit organization offering innovative programming related to the field of developmental disabilities. Our travel and recreation programs are dedicated to helping individuals with intellectual and developmental disabilities grow through challenging and safe travel experiences.  Through our film programs we invite you to experience film and video related to the field of developmental disabilities. By creating and presenting films of artistry and intellect, we hope to reinforce accurate portrayals of people with developmental disabilities and expose the general public to important issues facing the population.			Over 1000 individuals with developmental disabilities!	New York City, NY	We offer supported group vacation all over the East coast and around the nation for adults with developmental disabilities. We offer day trip social activities through out the 5 boroughs of NYC for adults with developmental disabilities living at home. We offer a touring film festival for communities or agencies interested in bring the best of the Sprout Film Festival to their area.			
Brighton Ballet Theater Co Inc	http://www.brightonballet.org	(718) 769-9161	EIN 11-3195590	2001 Oriental Blvd Bldg T7	Brooklyn	NY	11235	USA	Arts & Culture, Ballet	Children's ballet				Manhattan Beach, Brighton Beach, Coney Island, Sheepshead Bay,	The organization prepared their students for ballet performances given during the year. The students achieved artistic, intellectual & physical training & development of social skills. The public received entertainment and cultural exchange.			
Long Island Alzheimer's Foundation, Inc.	http://www.liaf.org		EIN 11-2926958	5 Channel Dr	Port Washington	NY	11050	USA	Alzheimers Disease, Alzheimers Disease Research, Brain Disorders, Health	Since 1988, the Long Island Alzheimer's Foundation has been assisting individuals with Alzheimer's and their families in Nassau, Suffolk, Brooklyn and Queens with helpful resource materials, a telephone hot-line, staff social workers, information, counseling, referrals, a comprehensive Directory of Services, a quarterly newsletter, conferences and workshops, support groups and videos. LIAF also operates the Memory Lane Club, a social model adult day services program, early stage support groups and "Al'z Club," an intellectual stimulation program for individuals in the early stages.								
Town & Village Conservative Synagogue Inc	http://uscj.org/metny/tandv/		EIN 13-6401397	334 E 14th St	New York	NY	10003	USA	Judaism, Religion	Named for our roots in Stuyvesant Town and Peter Cooper Village, T&V is home for congregants and members from throughout Manhattan and Brooklyn. We are grateful to have evolved as a caring, inclusive, multigenerational congregation whose members, having grown up in all walks of Judaism, have found their way home.   We invite you to join us for participation at any of our scheduled services.								
The Mia Foundation	http://www.themiafoundation.com	 585-737-6420	EIN 45-5065973	3177 Latta Rd. #188	Rochester	NY	14612	USA	Animals	The Mia Foundation was developed to give animals born with birth defects a fighting chance. So many animals born with birth defects, such as cleft palates or missing limbs, are euthanized at birth. With a little work and a lot of love, these animals give back so much more than anyone could possibly imagine. All they need is a chance!!		prevent animals born with birth defects from being euthanized.		the USA and other Countries	Rehabilitation, Adoption, Fostering, tube feeding with training, promoting awareness, and visiting schools to teach children about disabilities and bullying.			
TELL EVERY AMAZING LADY ABOUT OVARIAN CANCER FOUNDATION Louisa M. McGregor Ovarian Cancer Foundation	http://www.tealwalk.org	917-310-4835	EIN 26-4417161	533 16th street	Brooklyn	NY	11215	USA	Cancer, Health, Philanthropy, Public Foundations	Tell Every Amazing Lady's mission is to promote public awareness and education of the signs, symptoms and risk factors of Ovarian Cancer, while providing support to survivors and raising funds for research in order to find the cure for Ovarian Cancer	In September 2015, Tell Every Amazing Lady rang the NASDAQ opening bell with our T.E.A.L. board, survivors, staff and loyal supporters for September, Ovarian Cancer Awareness Month.  In 2013, T.E.A.L.'s CEO appeared on The Doctor Oz Show in an Ovarian Cancer segment.  Since September is National Ovarian Cancer Awareness Month, the  T.E.A.L. Walk/Run  in Brooklyn, NY is an annual event that takes place every September in Prospect Park.   In September 2013, T.E.A.L. had its first satellite T.E.A.L. Walk in Woodbury, NY.  In 2014, T.E.A.L. launched a  T.E.A.L. Walk in Fairfield, Pennsylvania and a  T.E.A.L. Run in Alabama!  After 7 years of working out of a home office with no major funding  T.E.A.L. raised over $1 million dollars to help benefit Ovarian Cancer research and awareness since 2009. In 2015, we opened our first office space which is also a community center in Brooklyn, NY.   In 2012, Citi Field and the NY Mets partnered with Tell Every Amazing Lady to establish the first ever Ovarian Cancer Awareness Day at Citi Field. This is now an annual event.  T.E.A.L. partnered with Brooklyn Borough Hall for a historic event of lighting the Borough Hall building teal during Ovarian Cancer Awareness Month in 2013.  In 2013 T.E.A.L. adopted a tree in Brooklyns Prospect Park in honor of all of those whove been touched by Ovarian Cancer.  T.E.A.L. funds Ovarian Cancer research grants at some of the country's most prestigious hospitals in the country, including the University of Washington, where a two and a half year study is being conducted to evaluate the effectiveness of a triple screen for Ovarian Cancer. Other recipients include the Kelly Gynecological Oncology Service at Johns Hopkins University.   T.E.A.Ls scientific advisory board includes doctors from New York Presbyterian Hospital, Maimonides Medical Center and Lenox Hill Hospitals.  Non-profit rating website Guidestar gave T.E.A.L. an average rating of 5 out of 5 stars.  T.E.A.L. was Top Rated by Great Nonprofits since 2012.				Tell every amazing lady about ovarian cancer (t. E. A. L. ) organized to hold and sponsor events to raise awareness of the early symptoms of ovarian cancer and promote early detection. Teal did this by utilizing a walk to spread the word of early detection. At the walk, all participants received information about the early symptoms and early detection. Teal's mission is to promote public awareness and education of the signs, symptoms and risk factors of ovarian cancer, while providing support to survivors and raising funds for research in order to find the cure for ovarian cancer.   donations to research programs listed on schedule i			
Gaskov Clerge Foundation	http://		EIN 51-0389906	PO Box 4068	Garden City	NY	11531	USA	Education, Elementary & Secondary Schools, Health, Health Support, Literacy, Religion									
United States Fund For Unicef	http://www.unicefusa.org	(212) 686-5522	EIN 13-1760110	125 Maiden Lane 10th Floor	New York	NY	10038	USA	International, Refugees, United Nations Associations, Zika Virus	The organization's mission is to support programs through fundraising, advocacy and education that provide lifesaving medicines, better nutrition, clean water, quality basic education and emergency relief to children, women and communities in over 150 countries and territories. The organization partners, in coordination and planning, with voluntary agencies engaged in child relief to create a better world for children.					Public information: the usf has reached hundreds of thousands of supporters through issue oriented videos, television and public radio service announcements, a variety of publications, the internet via our website (www. Unicefusa. Org) and other mobile devices. The various usf communication teams work hard to educate the public about the challenges facing the worlds children which is the global mission of unicef. This year millions of children joined adult volunteers to support our trademark fundraiser trick or treat for unicef. Tens of thousands of companies and individuals were informed about unicef through the greeting cards program, the tap project and various special events. Educators using teachunicef resources to increase awareness of the programs and activities of unicef. Through the unicef kid power program, kids are empowered to help other kids by being active, they can help feed hungry children. Every kid who participated in the unicef kid power program received a blue band that they wore all the time. The band tracked how many steps these children took through out the day. Those steps earned kid power points used to unlock ready to use therapeutic food to help save children's lives.   grants to unicef and other non-government organizations: the board of directors of the us fund for unicef has authorized grants to the united nations childrens fund and other non-government organization assisted projects from contributions and in-kind gifts received by the usf. These grants were used by unicef and other ngos in more than 150 countries and territories solely for those assistance projects approved by the board of directors. Unicef hiv/aids projects included preventing hiv infection in young people, mother to child transmission and protection, care and support for orphans and children in families made vulnerable by hiv aids. Unicef childhood immunization work included projects to prevent measles, polio, tuberculosis and maternal and neonatal tetanus in impoverished areas. Unicef girls education projects included those designed to increase the number of girls in school in countries where girls lag behind boys in enrollment, training female teachers, improving girls safety, providing appropriate girls facilities and promoting curriculums and learning environments that are free of gender bias. Unicef nutritional projects were implemented that focused on proper nourishment for both children and mothers that included providing vitamin a supplements to strenthen immune systems and preventing iodine deficiency which can cause brain damage and physical retardation. Unicef and usf also assisted a number of emergency situations by providing clean water, medical supplies, basic health services, educational and recreational supplies. Usf supported unicef's global polio eradication initiative activities by piloting the introduction of oral cholera vaccines in emergency settings; scaling up routine immunization; support for the countdown to 2015 for maternal, newborn and child survival, and scaling up community approaches to total sanitation. Usf also supported unicef's schools for africa and asia initiatives including support for water and sanitation and hygiene interventions in schools, teacher training and school materials and improvements and improving access to quality education.   advocacy: through usf's office of public policy and advocacy in washington d. C. , the usf acts as an advocate for the well being of the world's children. One of the special functions of the public policy office is to advise both the administration and congress on the needs of the worlds children. Through the advocacy efforts of usf, the u s government allocated $132 million to unicef in 2014. The u s government funding is provided directly to unicef and is not reflected as revenue in part i.			
Mechon Hadar	http://www.mechonhadar.org	212.284.6913	EIN 26-4412164	25 Broadway Suite 1700	New York	NY	10004	USA		Mechon Hadar is an institute that empowers young Jews to build vibrant Jewish communities through:  Yeshivat Hadar: the first full-time egalitarian yeshiva in North America  The Minyan Project: resources, networking, and consulting for more than 50 independent minyanim worldwide.  To learn more about our work please visit our website: www.mechonhadar.org.	Mechon Hadar is uniquely suited to successfully achieve its mission. The staff of Mechon Hadar has experienced inordinate success in attracting young people to programming centered on prayer, study and social action. In its third full year of operation, Mechon Hadar has accomplished the following:      Launched the first full-time egalitarian yeshiva for lay Jews in their 20s and 30s in September, with 18 students from 3 countries. Additionally, we achieved record enrollment in Yeshivat Hadars third summer program, with 41 summer fellows in 2009.      Received 110 applications from 47 cities and 6 countries to Yeshivat Hadars summer and year programs in 2009, nearly doubling the 2008 application pool.      In our student experience survey, 100% of 2009 fellows reported that the summer met or exceeded their expectations, and 88% said they saw themselves as more active contributors to the   Jewish community upon completion of our program.      Organized 4-day National independent minyan conference  including scholarly forum at Brandeis University  attracting 180 people from 32 minyanim and major Jewish institutions and representing close to 14,000 minyan constituents.      Consulted to dozens of independent minyanim and synagogues on issues of strategy, efficiency and execution, reaching more than 15,000 Jews.      Upgraded mechonhadar.org website with more than 140 minyan content resources as well as blogs on policy challenges facing minyanim.      Our 94 Yeshivat Hadar alumni have engaged more thousands of your Jews nationwide through their alumni projects.      Received Press coverage in The New York Times, US News and World Report, New Haven Register, The Forward, The Jewish Week, Haaretz, Jerusalem Post, JTA, Washington Jewish Week, Rockland Jewish Reporter, New Jersey Jewish News, The Jewish Ledger, The Jewish Voice & Herald, and Jewish News of Greater Phoenix.      Selected for Slingshot 09-10: Top 50 Innovative Jewish Organizations. Mechon Hadar has been selected every year since its inception.       Mechon Hadar leadership named to Newsweek Top 50 Rabbis, Forward 50 and Jewish Week 36 Under 36 in 2008 and 2009.							
Harlem Educational Activities Fund, Inc.	http://heaf.org/	212-663-9732	EIN 13-3568672	2090 Seventh Avenue 10th Fl	New York	NY	10027	USA	Education, Educational Services, Secondary & High Schools, Student Services	Established in 1989, HEAF presently serves more than 400 students from across New York City. Students from 6th grade through college participate in an 11-Year Continuum of HEAF''s academic enrichment and youth development programs. Working hand in hand with parents and public schools, HEAF strives to assist students in gaining entrance to New York City''s most competitive high schools and the country''s most prestigious colleges and universities.		middle school and high school students		New York City	THE HIGH EXPECTATIONS programs serve 250 bright seventh- and eighth-grade students per year. They motivate them to seek entrance to the City's competitive and selective public high schools and they help them develop the required skills.			
COPE	http://www.copefoundation.org		EIN 31-1670416	Po Box 1251	Melville	NY	11747	USA	Counseling, Mental Health	Cope (connecting our paths eternally) is a nonprofit grief and healing organization dedicated to helping parents and families living with the loss of a child. Since 1999, cope has connected individuals who have experienced similar losses by providing ongoing programs.					Parent and sibling bereavement support group meetings; healing workshops; camp erin nyc, a bereavement camp for children 6 to 17 years of age mourning the loss of someone close to them; and a variety of special programs for our families as well as the community.			
Three Generations Inc	http://www.3generations.org	(212) 404-8080	EIN 20-8688513	358 7th Avenue, 3rd Floor	New York	NY	10001	USA	Arts & Culture, Civil Rights, Civil Rights, Social Action & Advocacy, Film & Video	3 Generations is a non-profit organization that documents stories of human rights abuses through film. We enable survivors of crimes against humanity to record their experiences as an act of healing, a call to action and to create historical evidence.  We amplify and honor each witnesss voice by creating broad audiences: film festivals, educational outreach, theatrical and community screenings, social media, partnerships, web-channels and more. Our goal is to influence the national dialogue and build momentum for social change.		survivors of atrocities share their stories.		the United States and around the world	In October 2010, 3 Generations announced the launch of a campaign to end child sex slavery in the United States. Every year approximately 100,000 children in the United States, many of them very young girls, are enslaved in the commercial sex trade industry. We have filmed and shared stories of survivors, parents, law enforcement professionals, and individuals who lead advocacy efforts to address this crisis. We have shared our stories with thousands of viewers and have amassed an active and growing following of advocates, activists, and donors through our website (www.3generations.org) and through our social media networks (@3Generations on Twitter and www.facebook.com/3Generations).   The campaign has secured the support of noted celebrities, lawmakers, nonprofit leaders, philanthropists, and dozens of organizations that are doing incredible work on the ground to end child sex slavery. To date we have partnered with organizations such as the Polaris Project, the Demi and Ashton Foundation (DNA Foundation), Girls Educational and Mentoring Services (GEMS), the Denver Police, Minnesota Indian Women's Resource Center, The National Crittenton Foundation, and Witness.   On December 13th, 2013 3 Generations released its first feature film entitled Tricked. The film explores the issue of sex trafficking in America and has since been shown in cities across the United States and around the world. Through our engagement campaign for the film, 3 Generations has spread awareness to thousands, promoted legislative improvements to counteract the criminalization victims and has encouraged better police practices through the creation of the Malone Prize which awards law enforcement officials who lead the way in combating sex trafficking on the front-lines.			
Afya Foundation, Inc.	http://afyafoundation.org	914-920-5081	EIN 26-1300361	140 Saw Mill River Road	Yonkers	NY	10701	USA	Emergency Assistance	The mission of the Afya Foundation of America: Supplies for Life is to generate the medical, surgical and community-health inventories needed to support well-established health initiatives in Africa and the Caribbean. The Afya Foundation serves as a donation-based clearinghouse, with the primary intent of partnering and supporting established organizations in the international health community. Since its inception in late 2007, the Afya Foundation has set up a network of donor hospitals, health organizations and corporations.  It has successfully gathered and sorted supplies and repaired equipment, resulting in the shipment of containers and duffel bags filled with recovered supplies to Africa and the Caribbean. These efforts are only the beginning, and every single item in these shipments represents Afya's ongoing commitment to put all the materials gathered from the New York healthcare market to their optimal use abroad.	  Our reliability and efficiency has aided in our partnering with other organizations that represent program excellence in the international public health sector. We are a supplies source for numerous international health organizations.  We're also involved with leaders in country throughout Africa. We strive to be a highly efficient and effective source of recycled medical supplies, while simultaneously forging systematic change in health care delivery abroad. Afya also contributes to positive health and environmental outcomes by reducing medical waste incineration.	6,000,000 pounds of medical and humanitarian supplies shipped abroad and diverted from landfills and incineration   1,100,000 pounds of supplies sent to Haiti immediately after the 2010 Earthquake, to Japan immediately after the 2011 Earthquake and to Pakistan after the 2012 floods   $25,000,000 worth of supplies sent abroad   100 '40 containers shipped abroad to date   134 shipments since 2008   32 Haitians trained and employed, who have treated 3100+ patients since 2010			Afya has shipped supplies to numerous countries and regions worldwide, although the focus is on Africa and the African diaspora, and specifically Haiti.	Shipment of Supplies Crisis Relief Response Wazazi: Supporting Maternal Health Luggage for Life Haiti Rehabilitation Program Gloria's Gathering Kids Help Us Help Kids			
Medshadow Foundation	http://medshadow.org	(212) 362-1257	EIN 46-1326364	178 Columbus Ave. #237182	New York	NY	10023	USA	Health, Public Health	Prescription drugs are a part of everyday life for millions of Americans who spent in excess of $329 billion on these medicines in 2013, an increase of 3.2% over the previous year. The pharmaceutical industry spent $3.8 billion in marketing these medications to doctors and consumers. Do they have short or long term side effects? Are there alternative solutions that may be just as effective with lower risk?  Guided by a passion to educate and encourage patients to pro-actively inquire about the short and long term side effects of prescription medications before accepting them, MedShadow Foundation seeks to prompt discussion between patient and health care provider. This includes asking deeper questions of the physician or pharmacist, looking at the pros and cons of prescription drugs, and if appropriate, exploring other options. We encourage our readers to avoid blind acceptance of prescription drugs and become an engaged advocate in their own health and wellbeing.  In 2014 MedShadow Foundation Inc. acquired DES Action USA, a nonprofit advocacy organization that provides information and educational resources to individuals exposed to the harmful drug diethylstilbestrol (DES). DES Action has been the leading advocacy, education and support organization for all who have been affected by DES exposure since 1979. To find our more information about DES, please visit DESAction.org  MedShadow Foundation uses its website and various social media platforms to gather and post timely articles and news about medical conditions, side effects and alternative therapies. While we recognize that medications save lives and that many are absolutely necessary in treating chronic illness and in managing life-and-death situations, we also know that some are over prescribed and that accurate and complete information on side effects is severely lacking. Long-term effects are not studied before FDA approval. We hope to help fill this information void and encourage patients to do a risk/benefit analysis of the medications they are prescribed.  The MedShadow Foundation team consists of concerned consumers and parents, not medical professionals. Please do not substitute what is said on the MedShadow website for what is advised by your doctor or health care provider, particularly when dealing with serious medical issues. Please share your stories and concerns, and let us know about your experiences and victories by posting comments on our stories or sending us notes via our contact page.  An independent 501c3 charitable organization, MedShadow does not accept advertising or contributions from pharmaceutical companies, health insurance companies, medical device manufacturers or political action organizations.		prompt discussion between patient and health care provider to pro-actively inquire about the short and long term side effects of prescription medications before accepting them	over 30,000 readers monthly	consumer education and advocacy	our website and various social media platforms to gather and post timely articles and news about medical conditions, side effects and alternative therapies.			
Palante Harlem Inc	http://www.palanteharlem.org	212 491 2541	EIN 80-0209989	470 West 126 Street	New York	NY	10027	USA	Homeless & Housing	To reduce poverty and advocate for safe housing by organizing, educating and empowering residents. We are committed to supporting each other and to preserving our quality of life, our health, and our personal safety by assisting tenants when their rights have been violated and by holding unresponsive landlords and building managers accountable.	Rent Refunds to Tenants: $2.9 Million Legal Assistance: 694 Families Pro-Bono Legal Representation: 252 Families Rents Frozen at Individual Apartments: 462 Apartments Secured Succession Rights in City-Owned Buildings: 1,525 Families	Housing	2000+	New York City	Tenant Organizing, Leadership Development, Mediation and Legal Services			
Natural Resources Defense Council Inc	http://www.nrdc.org	(212) 727-2700	EIN 13-2654926	40 West 20th Street	New York	NY	10011	USA	Environment, Natural Resources Conservation & Protection	The natural resources defense council, inc. (nrdc) is an international environmental organization dedicated to protecting the world's natural resources and ensuring a safe and healthy environment for all people. We work to restore the integrity of the elements that sustain life-air, land, and water-and to defend endangered species. We work to foster the fundamental right of all people to have a voice in decisions that affect their environment and seek to alleviate the disproportionate environmental burdens borne by people of color and others who face social or economic inequities. Ultimately, we strive to help create a way of life for humankind that can be sustained indefinitely without fouling or depleting the resources that support all life on earth.					See schedule o for a detailed description of all of nrdc's various environmental programs.			
Emma Alyson & Kate Hance Family Foundation Inc	http://www.hancefamilyfoundation.org	(516) 688-0055	EIN 27-0752188	PO Box 20795	Floral Park	NY	11002	USA	Philanthropy, Public Foundations	To help enhance and develop the confidence and self-esteem of all children, and providing innovative educational programs for children of all ages and abilities, and supports local schools and children's organizations, runs a large toy drive during the holidays, and delivers school supplies to families in need.		ensure healthy, happy, and safe children through innovative self-esteem educational programming and the support of children in need.	3,500 girls develop higher self-esteem and over 4,000 children through our other programs.	New York mainly, but have travled nationally and internationally	Beautiful Me... The Emma, Alyson, and Katie Hance Project, a self-esteem program designed to educate females by promoting appreciation for their genuine qualities, accurate self awareness, and the satisfaction of helping others.			
Dor Chadash USA, Inc.	http://www.DorChadashUSA.org	212-696-2151	EIN 20-3113544	165 East 56th St	New York	NY	10022	USA	International, Promotion of International Understanding	Dor Chadash is a national organization based in New York that inspires a new generation of Israeli and American Jews to make meaningful connections to Israel and with each other.  Through cutting-edge, Israel-centric programming in New York and Los Angeles, Dor Chadash is positively changing the way young Israelis and American Jews interact together.	Dor Chadash has built a network of 14,000 people living in the New York City area and produces 40 innovative, Israel-centric events a year. Dor Chadash is also proud to have recently opened its doors in Los Angeles where DC-LA now produces the highest quality Israel-programming in Southern California.				To connect the israeli and american jewish experiences through forging a community across continents. To bridge between israeli and american jews who share a mutual passion for israel.			
Lady's Legacy Equine Rescue	http://www.ladyslegacy.org		EIN 47-2241652	22 Utter Drive	Poughquag	NY	12570	USA	Animal Protection & Welfare, Animals	Our mission is to rescue, rehabilitate and rehome, abused, neglected and slaughter-bound horses. We also provide sanctuary to those horses that are deemed too old, too sick or unfit for adoption.	Since October 2014 we have rescued over a dozen horses and some have found their forever homes, some remain permanent residents and others await their forever family's arrival.	rescue abused, neglected and slaughter-bound horses.	Many horses who otherwise would have been shipped to slaughter	The Northeast	Rescue, rehabilitating and rehoming.			
Bunkers in Baghdad	http://bunkersinbaghdad.com		EIN 26-2583317	665 Main St Ste 400	Buffalo	NY	14203	USA	International, International, Foreign Affairs & National Security			troops and veterans	troops in over 1,000 units stationed around the world	Buffalo, NY and cities across the US	collecting and shipping donated golf balls and clubs to troops deployed around the world.  We also supply golf equipment to Wounded Warrior and VA programs in each of the 50 states.			
Nazareth Housing, Inc.	http://www.NazarethHousingNYC.org	212-777-1010	EIN 13-3176952	519 E 11th St	New York	NY	10009	USA	Homeless & Housing, Homeless Shelters, Housing Development, Construction & Management, Housing Expense Reduction Support	Nazareth Housing is committed to the promotion of housing stability and economic independence among low income families and individuals of New York City, through the provision of:	1. In June of 2008, Nazareth Housing was recognized by the NYC Department of Homeless Services as the best family shelter provider for a shelter under 100 beds and has been rated in the top 10 family shelter providers for NYC since 2006. Currently we provide 13 units of transitional and 40 of permanent housing, as well as extensive homelessness prevention programming and case work. Currently, Nazareth Housing is placing 220% of our goals of families from shelter into permanent housing. These families receive follow up services for 2 years. This intensive case management model has resulted in recidivism to homelessness of less than 5% since 2006.   The success of our work with homeless families has led the City Department of Homeless Services to ask us to increase our shelter provision and expand services in 2010. We anticipate adding 34 to 60 units of transitional shelter in 2010 to provide transitional housing for 170 adults and children.  2. Of the 1600 families that sought our assistance to retain and stabilize their housing, only one family needed to enter the shelter system. 65 families received direct financial assistance to retain housing and 40 received assistance to maintain their utilities. The remaining households received financial counseling, free tax filing, landlord  advocacy, case management and referrals for legal, medical and other services not directly provided by our agency.  160 households received free furniture and household items in the past 12 months  5. In 2009 we provided 732 Fillings  (32 over our goal of 700)                                                                                     Average return per filer  $1,844  Total Refunds: $751,251  Average EITC (Earned Income Tax Credit) per filer: $1,479                                                                                         174 customers received medium touch financial coaching (e.g. opening a interest bearing bond, savings account, etc) (104 over our goal of 70)	prevent and end homelessness for low income families, seniors, and individuals	6,723 individuals through intensive case management, urgent needs assistance, financial literacy, and educational workshops.	New York City	Nazareth housing promotes housing stability and economic independence among poor families and youth of new york city by providing, supportive and affordable housing, emergency family shelter and homelessness prevention services. Emergency shelter housing provides temporary shelter to homeless families with dependent children in units in the lower east side and harlem. It includes a broad array of supportive services for all family members including case management, financial strengthening and personal development programs. Homelessness prevention strives to keep households from losing housing, build economic resources and remain stably housed. Prevention includes arrears assistance, furniture, food and urgent needs assistance.			
PowerPlay NYC, Inc.	http://www.powerplaynyc.org	212-300-8061	EIN 13-4045021	42 Broadway, 20th Floor	New York	NY	10001	USA	Amateur Sports, Sports	Educating and empowering girls through sports, teaching life skills and fostering self-confidence and self-esteem for life!					STARS (Sports Training And Role models for Success) Programs  STARS Series  a physical activity and healthy living program providing elementary and middle school girls with (i) opportunities to learn sports skills and be physically active, (ii) encouragement and support from female coaches, (iii) multiple opportunities to learn teamwork, (iv) health and wellness learning activities, and (v) a safe space for discussion and expression.  Rising STARS Program  a six-week summer program providing middle school girls the opportunity to (i) to play sports and be physically active, (ii) learn important life skills, (iii) participate in healthy living activities, (iv) connect with female role models and mentors, and (v) develop their confidence and self-esteem.  SuperSTARS Leadership Academy  an intensive 8-week summer program providing high school girls with opportunities to (i) participate in a variety of sports, (ii) develop workplace and life skills for success; (iii) interact with women in a variety of careers; (iv) engage in health and wellness learning, (v) explore the college admissions process; and (vi) participate in STARWorks mini-internships.  SuperSTARS Symposium a one day event providing high school girls with the opportunity to participate in sport clinics and connect with successful women who share their life lessons.			
MATAN, Inc.	http://www.matankids.org	866-410-5600	EIN 13-4174834	333 Mamaroneck Avenue #342	White Plains	NY	10605	USA	Education, Ethnic &  Immigrant Centers, Immigration, Primary & Elementary Schools, Special Education	Matan supports Jewish communities, professionals, and institutions in educating children with special learning needs.  Matan is committed to exposing all children to the wonder of Jewish life and fostering literate and engaged Jews through creative and multi-sensory approaches.  By strengthening the capacity of Jewish institutions to support and sustain more educationally varied programs, Matan is expanding the Jewish communitys ability to fulfill the obligation to include all children  not just typical learners - in their Jewish educational birthright.				New York tri-state area	Provide support to teachers, families, and children that require special educational requirements, including severe developmental disabilities.			
The Terry Farrell Firefighters Scholarship Fund Inc	http://www.terryfund.org/	(516) 840-8839	EIN 56-2512213	1912 Wantagh Ave	Wantagh	NY	11793	USA	Disaster Aid, Education, Philanthropy, Scholarships, Scholarships & Student Financial Aid	we are the only fund avaialble to firefighters to assist the firefighter and family for reasons not covered during the course of employment or membership within a volunteer organization					Special grants were awarded to various fire departments throught the county. Equipment grants: requests for assistance with the purchase of fire service equipment, apparatus, protective clothing or tools may be made to the fund by fire departments on department letterhead and signed by the chief of the requesting department. The amount of each grant award is at the sole discretion of the board of directors and requires a majority of the vote eligible members. Emergency response team: the fund is staffed by firefighters and trained first responders who assist and respond to natural disasters such as floods, hurricanes and tornedos wherever they may occur. The fund has responded to hurricanes as far south as alabama and more recently had crews continually working for months during the recovery efforts of hurricane (superstorm) sandy.   special grants were made to firefighters and their families throught the country. Scholarships: are awarded to children of firefighters who attend vocational or parochial school. Upon submission of a written application detailing their parents duty status within the fire service, the age of the student, the grade entering in fall of coming school year and contact information, scholarships are awarded pursuant to a lottery drawing held at the office of the fund on the first sunday in august of each scholarship year. Scholarship amounts are made at the sole discretion of the board of directors. Medical emergency grants: in the event a firefighter or member of firefighter's family becomes ill, disabled or incapacitated, the fund, upon written request from the firefighter or firefighter's family member and supported by medical documentation, affect a financial grant to assist the requesting fire service member. Such grant amounts are the sole discretion of the board of directors and require a majority of voting members to approve.   training grants and recruitment grants: the fund assists fire departments and communities upon request with first responder and emergency training grants for those areas that do not have the financial resources to properly train their first responders. The fund also gives assistance to fire department to use for recruitment of membership within their community.			
Kathleen F Marks Memorial Foundation	http://www.KFMFoundation.Org		EIN 80-0767271	PO Box 802	Glenham	NY	12527	USA	Cancer, Philanthropy, Public Foundations	The Kathleen F. Marks Memorial Foundation Is a 501 c(3) Not for profit Public Charity. Our ultimate Goal is to help find a cure, and to help patients and their families in the process of reaching that goal Fundraise for cancer research, testing, trials, and vaccines.  Our Fundraising events will benefit facilities in active cancer research,In areas that are in NEED of the funding. We are not diagnosis specific, we hate all cancer equally!  Having fun and Making a difference all at the same time!  "Have a Hoot giving Cancer the Boot!"	We have spent a lot of time out at community events, getting to know the people in the community and recently Joined the local chamber , The hudson Valley Gateway Chamber Of commerce. Now that we are 501 c3 approved and registered in the NYS Charities database, Our first Annual Halloween Masquerade Ball and KFM Trick or Treat were able to raise $4000.00 which was donated to Pediatric AML research at Johns Hopkins Comprehensive Cancer Center.	Patients undergoing cancer treatment		Hudson Valley, NY	Fundraising events for research, Patient support fundraising, for patients in treatment.			
On Point For College Inc	http://onpointforcollege.org	(315) 362-5003	EIN 16-1569356	1654 W Onondaga St	Syracuse	NY	13204	USA	Education, Scholarships, Scholarships & Student Financial Aid	The purpose of on point for college, inc. Is to enroll low income, first generation youth in college through fostering their opportunity to attend college; facilitating their application process,sustaining their continued matriculation in college and helping them to transition to the work force after college graduation.					The purpose of on point for college, inc. Is to enroll low income, first generation youth in college through fostering their opportunity to attend college, facilitating their application process and sustaining their continued matriculation in college.			
St. George Theatre Restoration, Inc.	http://stgeorgetheatre.com	718-442-2900	EIN 20-0985637	35 Hyatt Street	Staten Island	NY	10301	USA	Arts & Culture, Arts Education, Dance, Performing Arts Centers	The St. George Theatre Restoration, Inc. (formerly the Richmond Dance Ensemble, Inc.) is absolutely committed to providing an authentic theatre experience for everyone. Originally formed to oversee the restoration of this historic theatre and to develop the theatre as a multi-purpose performance arts facility, the theatre also strives to promote programming that serves people of all ages, with & without disabilities; reflects the ethnic & cultural diversity of its audiences, and serves as an informational resource. It manages a performing arts series that features national tours and regional theatrical companies; arts education programs for students in grades Pre K - 12; hosts activities & events for other community-based nonprofit groups and connects local artists to audiences. The theatres summer arts & literacy program provides free dance training for children ages 9 - 18 from socially and/or economically challenged homes. Its popular ticket subsidy program operates in concert with social service agencies to offer under-served groups and individuals an opportunity to experience live theatre regardless of their ability to pay.	The popular appeal of its programs succeeds in getting people into the theatre, not just from Staten Island and the tri-state area but also from around the world.	The St. George Theatre Restoration, Inc. is committed to cultivating and nurturing the widest possible audience for the arts.	Approximately 83,000		Ticket Subsidy Program Summer Arts & Literacy Program			
