name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Programs	Direct beneficiaries per year	Geographic areas served
The Andrew Goodman Foundation Inc.	http://www.andrewgoodman.org	201-787-0920	EIN 13-6207568	PO Box 394	Mahwah	NJ	07430	USA		The mission of the Andrew Goodman Foundation is to recognize, encourage and inspire creative and effective action in support of human dignity, social justice and civil rights.	This will be the second year of our Hidden Heroes program which recognizes and rewards ordinary people who are taking extraordinary and effective  action to address the problems that face us today.  In 2010, we also supported the release of Neshoba, a documentary about the healing process in Neshoba County, Mississippi and also the re-printing of a book of photos by Danny Lyons called "Memories of the Civil Rights Movement."  We also support a Scholarship at the Columbia School of Journalism for students who are underrepresented in the field of Journalism.	Anyone interested in making a difference in the world by taking courageous and effective action to solve today's issues relating to peace, justice and sustainability.	Hidden Heroes, Columbia Journalism Scholarship, Special Projects (Neshoba, Memoirs of the Civil Rights Movement)	10	
Unexpected Wildlife Refuge	http://www.unexpectedwildliferefuge.org		EIN 23-7025010	Po Box 765	Newfield	NJ	08344	USA	Animals, Wildlife Preservation & Protection, Wildlife Sanctuaries	To maintain a wildlife refuge and to obtain funds to purchase additional land to be set aside for wildlife and to promote education of humane treatment of wildlife through lectures.			Main use of funds are and will be in land acquisition, payment for printing, postage and other expenses involved in distributing literature, reference books, feed for animals, general maintenance and transportation.		
Tri-State Weimaraner Rescue Inc	http://www.tristateweimrescue.org	(856) 974-5000	EIN 20-4793030	3119 Belvidere Rd	Phillipsburg	NJ	08865	USA	Animal Protection & Welfare, Animal Training, Animals	Promote welfare & safety of animals; re-home unwanted animals.			Vetted and re-homed 40 dogs, thereby eliminating their most certain death. Provided medical treatment for 10 non-rescue dogs.		
Garden State Film Festival	http://gsff.org	(877) 908-7050	EIN 48-1280505	PO Box 751	Asbury Park	NJ	07712	USA	Arts & Culture, Film & Video	Promote film art in new jersey			Annual film festival - screening of various films, workshops, panel discussions, open talent call, all of which is open to the public. Throughout the year there are screenings for schools and seniors.		
EDS TODAY ~ Ehlers-Danlos Advocates	http://www.edstoday.org/		EIN 91-2041609	PO Box 1382	Mays Landing	NJ	08330	USA	Birth Defects & Genetic Diseases, Health, Health Care, Nerve, Muscle & Bone Diseases	Ehler-Danlos Syndrome (EDS) is a genetic connective tissue (collagen) disorder that causes debilitating pain, joint dislocations, arterial/organ ruptures/dissections and has resulted in numerous deaths from a lack of knowledge.  EDS TODAY was born in 2000, out of dire necessity to help those with EDS acquire the latest, most up-to-date medical information and contacts in one resource guide, a newsletter. Which is written for, by and about people with EDS, each page is filled with many voices from around the world, sharing their experience, advice, and support for one another. In addition to this newsletter, we have worked tirelessly over the last ten years on outreach, advocacy, support and helping to raise funds for ongoing scientific EDS research. We are fully aware that the ONLY way to improve the future and the quality of life for the EDS patient is through RESEARCH. We are committed to this goal!   EDS Today is proud to say that we continue to be staffed 100% by dedicated volunteers.					
Radburn Association	http://www.radburn.org	(201) 796-1300	EIN 22-1217230	29-20 Fair Lawn Ave	Fair Lawn	NJ	07410	USA		The primary purpose of the organization is to operate a planned community within a town.			Maintenance of parks - responsible for the upkeep of the radburn community parks that serve approximately 3,000 residents  pool facilities - maintains the community pools that are used by all residents  recreation programs - the association provides recreation programs for their community.		
NATIONAL POLICE DEFENSE FOUNDATION INC	http://npdf.org	(732) 446-3360	EIN 13-3830191	21 Kilmer Drive Building 2	Morganville	NJ	07751	USA		The NPDF funds several law enforcement and child safety initiatives, such as Operation Kids, Safe Cop, Project Pedophile and Save a First Responder via membership dues and public donations. The NPDF works for the interest of Federal Agents, Sheriffs, Police Chiefs, State Troopers, county and local law enforcement personnel. Its roles exceed over 200,000 members and supporters, many of which include corporate, professional and associate members. Please help support our programs:	Please check out our website http://www.npdf.org/category/operationkids/ for Full Stories on Critically Ill Children we have been able to help.   Please check out our website http://www.npdf.org/category/safe-cop/ for our Legal Defense Cases we helped to support.	ToProtect & Support the interests of law enforcement officers.	Safe Cop program is nationally renowned for posting up to a $10,000 rewards for public information that results in the arrest and conviction of anyone who shoots a member law enforcement officer, anywhere in the United States. The posting of the Safe Cop reward has been instrumental in bringing to justice several cop killers nationwide.  The Operation Kids program is a multi-faceted NPDF child safety program that (1) distributes free child fingerprint/DNA kits to parents (2) sponsors youth athletic events (3) posts periodic rewards on missing and kidnapped children (4) issues annual scholarships (5) funds Project Pedophile and (6) arranges lifesaving operations and medical treatment for critically ill children worldwide. This program was personally endorsed by John Walsh of Americas Most Wanted and profiled on the CBS Early Show.		Nationally
Recording for the Blind & Dyslexic, Inc. National Headquarters	http://www.rfbd.org	866-RFBD-585	EIN 13-1659345	20 Roszel Rd Anne T Macdonald Ctr	Princeton	NJ	08540	USA	Blind & Visually Impaired Centers, Disabilities, Education, Educational Services, Human Services, Libraries, Special Education	RFB&Ds mission is to create opportunities for individual success by providing, and promoting the effective use of, accessible educational materials.  Our vision is for all people to have equal access to the printed word.			Attachment 2		Nationwide-USA
Manes And Tails Organization A NJ Nonprofit Corporation	http://www.manesandtailsorganization.org		EIN 90-0182985	456 Ninth St 456 Ninth St	Hoboken	NJ	07030	USA	Animal Protection & Welfare, Animal Training, Animals	WE BOARD THE HORSES AT A PRIVATE FACILITY WHICH IS NOT LOCATED IN HOBOKEN NJ!  Manes & Tails Organization is a Domestic 501(c)(3) Non-Profit Corporation that was duly filed in accordance with New Jersey State Law on June 22, 2004. The entity identification number is EIN: 90-0182985. Our Corporation number is 0400061154.   As a charitable organization designed to support and promote equid welfare, we:  * rescue, rehabilitate, retrain, and re-home the most commonly breeds of horses sent to slaughter in the United States - Thoroughbreds, Quarterhorses, and Standardbreds.   * actively participate in the eradication of equid slaughter in the United States through advocacy, education and dissemination of information.  * participate in breed conservancy of endangered equines such as the Akhal-Teke, Fell pony, and Shire horse.	We spend a limited amount of time fundraising so as not to violate the IRS rules for fundraising.	We seek advanced riders in Dressage, over the age of 21 to free lease our horses to. When shown, the horses are always in the Ribbons.	We had 'Howling Ridge Radio' however, the hosts became too busy to participate in the program. All episodes are archived on the Manes and Tails web site.  Additionally, we would like to create a National Stud for Thoroughbred horses. These horses are now so inbred that there will not be another Triple Crown Champion in our lifetime unless we conserve the breed by infusing it with an Arabian stud. Two Arabians, the Godolphon and Darley, as well as the Byerly Turk were the foundations of the Thoroughbred breed. Putting the Arabian back into the bloodline will yield healthier, stronger Thoroughbred horses. Thoroughbreds are only 97% pure,	One beneficiary supports our Thoroughbred Mare "Willow" and we are very grateful.	NY TriState Area
Isaiah House	http://www.isaiahhouse.org		EIN 22-2699121	238 N Munn Ave	East Orange	NJ	07017	USA		Shelter & counsel misplaced & needy families & individuals			To provide temporary shelter, housing, and social services for needy and misplaced families.		
American Friends Of Keren Malki	http://	(201) 836-0036	EIN 26-2251751	C/0 Shalom Bronstein 736 Grange Rd	Teaneck	NJ	07666	USA	Children & Youth, Children & Youth Services, Health, Health Support, Home Health Care, International, International Development	To provide grants to "the malki foundation", an israeli non-profit organization. The organization enables families to choose home care for children with special needs.			To provide grants to "the malki foundation", an israeli non-profit organization. The organization enables families to choose home care for children with special needs.   other expenses that are related to the primary purpose of the organization.		
Randy Foye Charitable Foundation Inc	http://		EIN 26-1369321	47 W River Rd Ste D	Rumson	NJ	07760	USA	Children & Youth, Youth Development Programs						
Eva's Village, Inc	http://www.evasvillage.org	(973) 523-6220	EIN 22-2424542	393 Main St	Paterson	NJ	07501	USA	Congregate Meals, Food, Homeless & Housing, Homeless Centers, Mental Health, Substance Abuse Treatment	Eva's mission is to feed the hungry, shelter the homeless, treat the addicted, and provide medical care to the poor, with respect for the human dignity of each individual.			Recovery services: eva's village, inc. Provides residential, mental health (behavioral health svcs) and peer recovery support for men, women and women with children. This program is geared to those suffering from the disease of addiction. During the year ending june 30, 2014, eva's had 103 available beds for men, 36 beds for women, and 23 beds for women with children. The inpatient and outpatient recovery programs successfully treated over 550 individuals during the year ended june 30, 2014 and we had over 100 graduates from the programs. The recover centery was new jersey's first peer driven recovery support program and saw 692 unduplicated clients.   sheltering services: eva's village, inc. Has three emergency overnight shelters as well as transitional apartments located in paterson, nj. The men's emergency overnight shelter has beds for 40 men and sheltered 1687 men during the year ended june 30, 2014. The women's emergency overnight shelter has beds for 36 women and sheltered 158 women during the year ending june 30, 2014. The family shelter at the hope residence for mothers and children has beds for 7 women and 15 children and during the year ending june 30, 2014 eva's sheltered 90 mothers and 111 children. The family transitional apartments had capacity for 12 families and housed 19 families during the year ending june 30, 2014. The men's transitional apartment had a capacity for 7 men and housed 23 men during the year ended june 30, 2014.   eva's kitchen: eva's village, inc. Provides lunch to those who need and/or want to come. During the fiscal year ending june 30, 2014, eva's village provided 142,887 meals to those in need. In addition to these lunches, eva's serves lunch to participants in the outpatient program each day as well as breakfast, lunch and dinner to those in the recovery and shelter programs. This amounts to more than 1,200 meals per day, 400 in the kitchen and approximately 800 to those in our programs.		
Rattle the Cage Productions	http://www.rattlethecage.org	(347) 674-9924	EIN 42-1563897	69 Pebble Lane	Blackwood	NJ	08012	USA	Animal Protection & Welfare, Animals, Arts & Culture, Film & Video, Protection of Endangered Species, Television	Cultivation of active stewards for the earth and animals - Rattle the Cage Productions is an award-winning, nonprofit documentary film production organization, with a focus on animal and environmental protection. We tackle challenging stories  dolphins in captivity, elephants abused in the entertainment industry, illegal whaling, and ivory poaching in Africa. Difficult subjects, but faced with the extinction of important species we have messages to share which we believe people want to hear.	Hundreds of thousands of film views and supporters on Youtube and Facebook. Our films have screened on every continent (except Antarctica) and are used in schools and campaigns globally.	animals and wildlife	Stories told with authenticity and inspiration coupled with measurable goals and achievements. Thrilling, educational film and television productions with positive messages and missions to cultivate active stewards for our environment.	thousands of animals and children	the global environment
Clean Ocean Action Inc	http://www.cleanoceanaction.org	(732) 872-0111	EIN 22-2897204	18 Hartshorne Dr Ste 2	Highlands	NJ	07732	USA	Environment, Pollution Abatement & Control	Our goal is to improve the degraded water quality of the waters off the new jersey/new york coast through research, education, and citizen action.			Education and outreach - clean ocean action, inc. (coa) works to educate and motivate citizens, businesses, and organizations to improve and protect the marine waters of new jersey and new york. Coa is a coalition of over 125 participating organizations with thousands of individual memberships and sends monthly newsletters and action alerts to these participating organizations and over 1500 individuals on the mailing list. Essential to educating and motivating citizens are diverse and engaging programs, including the semi-annual beach sweeps, semi-annual student summits, education curriculum kit, 10 tip series, and e-activism and social networking campaigns. The student ocean advocate program engages representatives from high schools in ocean and monmouth counties to motivate contemporaries in their schools in action campaigns to protect the ocean. New and emerging leaders are recruited and empowered through the "next generation" by connecting with 18 to 30-year old ocean defenders. Volunteers who participate in the coa events and programs are a cross- section of nj and ny, coming from diverse areas throughout the states. Pollution abatement - since its inception in 1984, coa has targeted sources of ocean pollution and has succeeded in closing all eight ocean dumpsites off the coast of nj. The number one ocean pollution problem in new jersey and the nation is non-point source pollution (npsp). Coa has many programs to motivate citizens to get involved and make a difference to ebb the tide of npsp. In addition, coa works through state and federal programs to enhance and improve regulations to identify and reduce pollution sources. Coa also works at the grassroots level, including litter abatement programs and the bay buddy program to reduce sources of pollution from homeowners. Research- coa continues to target sources of ocean pollution by reviewing all ocean discharge permit applications, as well as dredged material management permit applications. In addition, coa monitors federal register notices and state public notices to determine if proposed projects will be detrimental to marine water quality and responds accordingly. Moreover, ocean energy proposals and climate change impacts are reviewed to ensure ocean water quality protection. Coa also acts as a watchdog by responding to and investigating calls from citizens about possible polluting activities. All evaluations and subsequent comments are prepared with scientific, technical, and legal expertise to ensure protection of marine water quality from pollution, including from chemical, biological, litter and floatable materials.		
Big Brothers Big Sisters of Monmouth & Middlesex Counties	http://www.bbbsmmc.org	732-544-2224	EIN 22-2115416	174 Main St Crystal Brook Professional Bldg	Eatontown	NJ	07724	USA	Big Brothers & Big Sisters, Children & Youth	Our mission is to provide children facing adversity with strong and enduring, professionally supported 1-to-1 relationships that change their lives for the better, forever.	BBBSMMC's 2010 Outcomes Report shows the big picture of the impact to all of the Littles.    The results show that Littles in our programs: At School 57% had better grades in school 89% improved or remained in the same in school 95% of children matched believe they will graduate high school 93% of children matched believe that they will go onto and graduate from college  Confidence 89% had better self-confidence 71% expressed feelings more effectively 53% showed improvement in making decisions  Caring 82% improved in trusting their Big 57% felt improvement in peer relations 71% felt confident in their social acceptance 53% improved in behavior and relationships in the home  Competence 72% had a better attitude toward school 57% were more competent in their preparedness and participation in school 98% were competent in avoiding risky behaviors like tobacco, drugs and alcohol use	At-risk youth in Monmouth and Middlesex Counties between 6-14 years old.	Community Programs School & Site Based Programs Find out more about these programs at: www.bbbsmmc.org		Monmouth and Middlesex Counties
Charity Navigator	http://www.charitynavigator.org	201-818-1288	EIN 13-4148824	139 Harristown Road Suite 201	Glen Rock	NJ	07452	USA	Human Services, Philanthropy, Private Operating Foundations	Founded in 2001, Charity Navigator has become the nations largest and most-utilized evaluator of charities. In our quest to help donors, our team of professional analysts has examined tens of thousands of non-profit financial documents. As a result, we know as much about the true fiscal operations of charities as anyone. Weve used this knowledge to develop an unbiased, objective, numbers-based rating system to assess the financial health of 5,500 of Americas best-known charities.	Information about our effectiveness and results can be found on our website: http://www.charitynavigator.org/index.cfm?bay=content.view&cpid=1113.		The organization helps charitable givers make intelligent giving decisions by providing information and evaluating the financial health and accountability & transparency of over 8,000 charities and disclosing information on over 1,500 charities' results reporting. Details regarding charity navigator's fiscal year ending 2014 targets and results can be found on charity navigator's website: www. Charitynavigator. Org/results.		national
Cathedral Soup Kitchen, Inc.	http://www.cathedralkitchen.org	(856) 964-6771	EIN 22-3114500	1514 Federal street	Camden	NJ	08105	USA	Employment Preparation & Procurement, Food, Food Programs, Job Training	The mission of the Cathedral Kitchen is to provide meals and other services to the poor and hungry of the city of Camden without regard to race, religion or sex.  The Cathedral Kitchen gives every consideration to serving its guests with dignity and respect; no person is denied a meal unless he/she poses a threat to others.			The cathedral soup kitchen serves the poor and homeless of the camden, nj area. It serves meals monday through saturday; in 2014 over 120,000 meals were served. Csk also provides meals to local shelters and halfway houses pursuant to contracts with other local agencies. Free and reduced fee health and dental care are available to camden residents; local partners provide the services at the csk site. Csk also operates a culinary arts training program that trains impoverished individuals. Two 17 week classes are held each year. Csk also provides off site catering services in conjunction with its culinary arts training program. All income derived from the catering and contracts are used to support other csk programs.		
Sikh Research Institute	http://www.sikhri.org	(778) 251-4097	EIN 41-2090424	PO Box 690504	Bridgewater	NJ	08807	USA	Education, Educational Services, Hinduism, Interdisciplinary Research, Religion, Religion-Related	The Institute's mission is to facilitate training and development while inspiring Sikh values, create global awareness of Sikhi, and deliver strategic solutions to the key challenges faced by the Sikh community.		SikhRI connects people with the teachings of Sikhi and strengthens the bonds of the Sikh community around the world by offering courses and seminars in a variety of mediums.	Programs for Every One: From becoming a leader in your community to having harmonious relationships, to governing gurduarasevery program we devise is an immersive way to deepen your understanding of Sikhi.	Making a change by launching multiple educational (online/in-person) programs	SikhRI exists to connect people with the teachings of Sikhi, making them accessible and easy to digest, for people of all ages, genders and backgrounds.
Spring Street CDC (SOAR, C.H.A.N.G.E. Fitness, Table of Hope)	http://www.springstreetcdc.org	(973) 998-9330	EIN 45-0942880	65 Spring Street	Morristown	NJ	07960	USA	Community & Neighborhood Development, Economic Development	Our Mission is to improve the quality of life for Morris County families by addressing economic, educational, social and physical fitness needs while preserving the cultural and ethnic diversity of the area.  Our Goals The goals of the Spring Street Community Development Corporation include but are not limited to:  -Improving the availability of safe and affordable housing  -Supporting youth through educational programming  -Promoting, coordinating, supporting and providing social and community services to families  -Create Healthy Actions thru Nutrition & Group Exercise  -Fostering and participating in regional planning and development so as to support the efforts of local governmental units  -Protecting and preserving the natural resources while promoting their sustainable use  -Expanding opportunities for individuals and groups to own and operate business enterprises  -Reducing unemployment and underemployment	-The SOAR program graduated two years of 5th grade students (Approximately 50 students).  - The Family Success Center completed two sessions of five families who worked through to improve their relationships and communication as a unit.  - C.H.A.N.G.E. Fitness has provided over 170 fitness class at a low or no cost.  We have introduced Basic Yoga to 5th grade students in a 6 week program.  C.H.A.N.G.E. Fitness hosted a health fair sharing information on Heart Disease, MyPlate.gov, Physical Fitness, Benefits of Juicing and Benefits of Massage Therapy.  Maintains an environment of friendship, motivation and change for good. - Our Table of Hope feeds 50-70 people at no charge Monday through Friday 6-7:30pm "Hope Starts Here, Where the Community Gathers to Share". Table of Hope also hosts Friday night Game Night (chess, checkers, spades, uno etc.)	improve the quality of life for our community	The Table of Hope providing dinner at no charge Monday through Friday,  SOAR a tutor program for 5th graders, C.H.A.N.G.E. Fitness Creating Healthy Actions thru Nutrition & Group Exercise free fitness classes to anyone on an assistance program, Family Success Center strengthing familys communication and interaction in the community.		Morristown, New Jersey
Elle Foundation, Inc.	http://www.ElleFoundation.org	908-393-5529	EIN 26-4755717	P.O. Box 8068	Bridgewater	NJ	08807	USA	Children & Youth, Children & Youth Services	The Mission of the ELLE FOUNDATION INC is to Create Memories of Joy for Children Battling Cancer and to Grant Final Wishes For Children with a Recurrence of Cancer		children with a recurrence of cancer and their families to create memories of joy that their hearts will treasure forever.	One ELLE OF A ........... are events run for children battling cancer and their families so that they can have a few moments of joy and create memories that they will cherish forever	5 children and their families	New Jersey, New York, Pennsylvania
Cattitude Inc	http://		EIN 26-1715304	Po Box 4732	Highland Park	NJ	08904	USA	Animal Protection & Welfare, Animals						
Sierra House	http://www.sierrahouse.org	973-678-3556	EIN 33-1021736	11 South Maple Avenue	East Orange	NJ	07018	USA	Group Homes, Homeless & Housing, Homeless Shelters, Human Services, Job Training, Mental Health, Residential Mental Health Treatment	Our mission is to improve the prospects of individual achievement for at-risk youth and young adults through education and community services, thereby contributing to the long-term stability of our community.	Since inception, Sierra House has served 103 women and children. Of the total population served 71 were adults and 32 were babies. At intake (before being enrolled): o	66% had earned a HS diploma or GED o	24% had not earned their HS diploma or GED o	4% were enrolled in HS or a GED program o	13% were enrolled in post secondary education/job training o	69% were unemployed o	3% received unemployment o	38% were mothers  While living at Sierra House: o	31% enrolled in college or other postsecondary programs o	9 % enrolled in high school or a GED program o	28% became employed o	1 out of 71 or 1% became pregnant o	6 out of 71 or 9% received their HS diplomas/GEDs o	57% were aided in obtaining public assistance o	11% were terminated for noncompliance  Sierra House is proud to report that 70% of those we served transitioned to self-sufficiency. Of this number: o	34% were reunified with their families o	22% moved in a shared apartment o	44% moved into their own apartment	homeless young women and mothers from all over the state of New Jersey to learn the skills needed for self sufficiency and to break the cycle of homelessness	shelter, counseling, life skills, educational advancement, and critical social services within a supportive family-like environment.		State of New Jersey
Making It Possible To End Homelessness Inc	http://	(732) 729-7770	EIN 22-2931870	Po Box 1385	Highland Park	NJ	08904	USA	Homeless & Housing, Homeless Shelters, Housing Support, Human Service Organizations, Human Services	To resolve the homeless crisis by fostering			Temporary housing for homeless persons in middlesex and somerset counties		
Gospel Services Benevolent Society Inc	http://		EIN 22-3409064	175 Munn Ave	Irvington	NJ	07111	USA	Homeless & Housing, Homeless Centers, Human Services						
Lifeline Animal Rescue Inc	http://www.lifelinerescue.org		EIN 22-3771865	16 Mount Bethel Rd Box 104	Warren	NJ	07059	USA	Animal Protection & Welfare, Animals	To improve conditions of housing, health, and socialization for homeless and stray companion animals in facilities and foster homes awaiting placement in permanent homes.    ALFA also directs its efforts to educational programs to targeted segments of the population on issues dealing with animal care and welfare, importance of spay/neuter programs, and the benefits of caring for companion animals.					
Citizens Going Forward 2013	http://		EIN 46-4499448	746 Trumbull St	Elizabeth	NJ	07201	USA	Children & Youth, Children & Youth Services						
LIAMS ROOM	http://www.liamsroom.org	(908) 389-0316	EIN 26-0317958	230 Connecticut St	Westfield	NJ	07090	USA	Health, Health Care	Our mission is to create an inpatient pediatric palliative care room for families whose children are suffering from chronic, potentially life limiting conditions.			Our mission is to create an inpatient pediatric palliative care room for families whose children are suffering from chronic, potentially life limiting conditions. The organization contiued to raise monye for another liams room buildout.		
Hiss & Spit Inc	http://		EIN 33-1196401	161 Nesbit St	Weehawken	NJ	07086	USA	Animal Protection & Welfare, Animals						
Garden State Law Enforcement Officers Association	http://gsleoa.com	(609) 259-1948	EIN 22-3438122	Po Box 64	Tennent	NJ	07763	USA	Crime & Law	Providing assistance to law enforcement personnel and their families.			Assistance provided to law enforcement personnel, their families and community  contributions  special events		
PHD PROJECT ASSOCIATION	http://www.phdproject.org	(201) 307-7662	EIN 20-2610773	3 Chestnut Ridge Rd	Montvale	NJ	07645	USA	Civil Rights, Education, Minority Rights	The PhD Project's mission is to increase the diversity of corporate America by increasing the diversity of business school faculty. We attract African-Americans, Hispanic-Americans and Native Americans to business Ph.D. programs, and provide a network of peer support on their journey to becoming professors. As faculty, they serve as role models attracting and mentoring minority students while improving the preparation of all students for our diverse workplace and society.	Since inception in 1994, the Project has quadrupled the number of African-American, Hispanic-American and Native American business school professors in the United States.		The PhD Project Doctoral Students Associations PhD Project Annual Conference		
Habitat for Humanity Cape May County	http://www.habitatcapemaycounty.org/	609-463-0244	EIN 22-3351733	4 Moore Rd Dn 3020	Cape May Court House	NJ	08210	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Seeking to put Gods love into action, Habitat for Humanity brings people together to build homes, communities and hope.		Build Homes, Hope and Community in Cape May County.	Join us in the fight against poverty housing and homelessness. Contact us to volunteer and donate to our charity.	The need for simple, decent, affordable housing in our county is great.	Cape May County, NJ
Circle Of Investigation Of Gnostic Anthropology Inc	http://		EIN 22-3110426	1707 New York Ave	Union City	NJ	07087	USA	Arts & Culture, Humanities						
The Stickley Museum At Craftsman Farms Inc	http://www.stickleymuseum.org	(973) 540-0311	EIN 22-2944249	2352 Route 10	Morris Plains	NJ	07950	USA	Arts & Culture, Environment, History Museums, Parks & Playgrounds	The mission of the craftsman farms foundation, inc. Is to preserve, interpret and make relevant the legacy and ideals of gustav stickley and the american arts and crafts movement by providing creative programming and authentic experiences that educate, engage and inspire diverse audiences.	$2.5 million in site restorations, 10,000 annual visitors, awrds fro restoration, publication, service to community, and acheivement.		The foundation has accomplished its mission to preserve, interpret, and make relevant the legacy and ideals of gustav stickley and the american arts and crafts movement through ongoing restoration of craftsman farms' buildings and landscape, and by serving over 13,000 annual visitors with tours, lectures, programs, publications, cultural activities and scholarly research.		
Orphan Sponsorship International	http://www.OrphanSponsorship.org		EIN 01-0613896	2 Devon Ct	Robbinsville	NJ	08691	USA	Adult & Child Matching Programs, Children & Youth, Children & Youth Services	By establishing and maintaining individual child-sponsor relationships, OSI's mission is to provide for a sense of individuality to children living in institutional environments, while taking care of their physical needs via sponsorship funding, and improving their living environments via donor projects.					
Education Network Of Christian Home Schoolers Of New Jersey Inc	http://		EIN 22-3206450	Po Box 308	Atlantic Hlds	NJ	07716	USA							
American Dystonia Society	http://www.dystonia.us	310-237-5478	EIN 	17 Suffolk Lane	Princeton Jct	NJ	08550	USA		American Dystonia Society (ADS), a 501c3 non-profit corporation is dedicated to advancing Dystonia research, promoting patient advocacy and increasing public awareness of this debilitating disease. Our top priority is to maximize delivery of donations and grants to fund Dystonia Research in order to realize a cure and develop more effective diagnosis/medication/treatment protocols for Dystonia. ADS is dedicated to improving the quality of life for a person living with Dystonia.					National
Our Lady Of Lourdes Health Foundation	http://www.lourdesnet.org	(856) 824-3471	EIN 22-2351960	1600 Haddon Ave	Camden	NJ	08103	USA		Our lady of lourdes health foundation, inc. Is a member of the lourdes health system, who is dedicated to a tradition of serving all with reverence, compassion, and integrity in a simple, joyful, and hospitable manner.			Provided support for the charitable tax-exempt purposes, programs and services of lourdes health system, including our lady of lourdes medical center and lourdes medical center of burlington county; both related tax-exempt organizations which provide medically necessary health care services to all individuals in a non-discriminatory manner regardless of ability to pay. Specific programs include the following:- provided support for early intervention programs that provide development and family training and services to the special needs of children ages birth to three. Clinicians network in the community where the children are at the greatest risk for developmental delays. - senior companions are low-income senior volunteers aged 60 years and older who provide non-medical mentoring services to the homebound and frail elderly. - foster grandparents are low-income senior volunteers aged 60 years and older who provide non-medical mentoring services at day care centers and elementary schools.   the mission statement of the organization is as follows:we, our lady of lourdes health foundation, inc. And trinity health, serve together in the spirit of the gospel as a compassionate and transforming healing presence within our communities.		
The Baroque Orchestra Of New Jersey Inc	http://		EIN 22-3486103	531 Herrick Dr	Dover	NJ	07801	USA	Arts & Culture, Symphony Orchestras						
Boys & Girls Club of Clifton Inc	http://www.bgcclifton.org	(973) 773-0966	EIN 22-1589377	802 Clifton Ave	Clifton	NJ	07013	USA	Boys & Girls Clubs, Children & Youth	Since 1947, the Boys & Girls Club of Clifton has delivered life-enhancing programs and services to our members.  Our movement is committed to deepening our impact on the young people who need us most.  We are providing children and teens with a continuity of services from pre-school to high school, particularly programs and services designed to help achieve our priority outcomes of Academic Success, Good Character & Citizenship, and Healthy Lifestyles.	Today, with our 5,345 registered members, we have achieved a size and scale to make a difference in our community.	youth in our community	early childhood, school age child care, teen leaderships, aquatics, and sports.	our 5,345 registered members	Clifton, NJ
Seer Farms Inc	http://www.seerfarms.org	7324236197	EIN 80-0253767	PO Box 91	Jackson	NJ	08527	USA	Animal Protection & Welfare, Animals	Seer Farms is a New Jersey based 501c3 social services organization that provides animal care, resources, and support for pet-owning families in crisis. This safety net gives families facing domestic violence, financial turmoil, a health crisis, natural disaster, military service or other life crises time to restore their lives by caring for their animals until the family can be together again. Seer Farms provides for the animals on a temporary basis while the family deals with the crisis and reunites them once the family is able to care for their pets again. 	We do not believe that giving up precious animals during difficult times is necessarily best for the animals or their human companions. We believe that families in crisis need time to repair their lives and that they benefit from the emotional support they derive from their pet and the peace of mind that comes from knowing their animals are being cared for while they themselves overcome their life crisis. To help families recover, Seer Farms provides resources and support that enables a family to navigate the barriers to their own self-sufficiency. These resources and support are also intended to assist pet-owning families in pre-crisis planning and preparation; helping them mitigate the impact of their crisis on their care of their pets. 	Founded in 2008, Seer Farmshas a unique perspective on animals and their people, and how to keep them together as a family during difficult times.  Our Out of Crisis program fills an important void in the human social services and animal care services offered in the mid-Atlantic and beyond. Our origin and ongoing service reflects our commitment to families with companion animals and the animals themselves. Seer Farms is a safe haven, providing the lifeline of time and compassion to families in crisis and their companion animals.	When Seer Farms began in 2008, we were told over and over that we would be a dumping ground for unwanted animals. In the intervening years, our clients have proven those naysayers wrong. The families who seek us out have demonstrated a fairly stable 85% reunion rate.   Practically what that means is that we are approaching our 1,000th pet reunion.  More than 500 families have placed animals with us, worked diligently to get their lives resolved, and reclaimed their pets.   At any given time we are offering services to approximately 400 animals, representing nearly 200 families.	pet-owning families in crisis	Seer Farms' Out of Crisis program gives families facing a health crisis, natural disaster, financial turmoil, domestic violence, or military deployment time to restore their lives by caring for their animals until they can be together again.	more than 500 animals from 200 pet-owning families in crisis	Located at two locations in New Jersey, we serve primarily the greater New Jersey area although we have clients from all over the country
