name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year
Beatitude House	http://www.beatitudehouseonline.org	(330) 746-6622	EIN 34-1662460	238 Tod Ln	Youngstown	OH	44504	USA		Beatitude house, sponsored by the ursuline sisters, is committed to all disadvantaged women and children. By creating homes, providing educational opportunities, and fostering healthy families, we provide them with the opportunity to transform their lives.			Transitional housing for homeless women and children - during the year ended june 30, 2014, this program provided a safe and secure living environment for 70 women and 122 children over 3 sites located in mahoning, trumbull and ashtabula counties in ohio. 93% of families were able to move to permanent housing. 18 families who left the program also received services through our extended care program.   permanent supportive housing for homeless adults and children where at least one member of the household has a disability. During the year ended june 30, 2014 this program provided structure and a stable environment for 32 adults and 59 children including 26 families and 4 single women. In addition, beatitude house provided support services to 7 homeless adults and 3 children through collaboration with emmanuel community care center.   potter's wheel provided services for 22 women and 36 children through our english language learners program (ell) and our hispanic outreach. Staff also provided case management and training to beatitude house green clean, a worker-owned cleaning service.		
KYLES WISH	http://		EIN 65-1321221	4124 Paradise St Sw	Canton	OH	44706	USA	Health, Patient & Family Support						
TomTod Ideas	http://www.tomtodideas.org	3306174753	EIN 46-0732616	715 Market Ave N	Canton	OH	44702	USA	Children & Youth, Youth Development Programs	We empower middle school students to launch absurd ideas that enhance the common good.	middle school students launch absurd ideas that enhance the common good.	Northeast Ohio			312 students through our 3 core programs.
Contemporary Dance Theater Inc	http://		EIN 23-7431573	1805 Larch Ave	Cincinnati	OH	45224	USA	Arts & Culture, Dance	Contemporary dance and performance arts that educate the community and address contemporary issues					
Inlet Dance Theatre	http://www.inletdance.org	(216) 721-8580	EIN 26-0007578	3921 Mayfield Rd Ste 6	Cleveland Heights	OH	44121	USA	Arts & Culture, Arts Education, Dance	To create and perform innovative dance and movement theatre at a high level of artistry, speak creatively about human life issues, and bring about personal development in the lives of individuals through training and mentoring.			Creating and performing innovative dance & movement theatre at a high level of quality (skill) and creativity while using these art forms to speak about life and the issues that face humanity, and to bring about personal development in individuals thru training, education and mentoring.		
Integrated Faith Assembly Inc	http://www.integratedfaithassembly.com		EIN 26-1514957	10915 Morison Ave	Cleveland	OH	44108	USA	Christianity, Religion	Church			We are committed to equipping christians through biblical preaching and teaching of god's word. Ifa is dedicated to strengthening families, growing a substantial regional economy by helping people improve their lives in ways that lead to social change. We are committed to cultivating leadership and promoting empowerment of at-risk youth and families through training and education. There were many accomplishments in 2013. They include the fllowing:1. The stewardship and hope award from st. Martin de porres2. The unsung community hero award from fox 8 news and the word church3. Chosen for the pay it forward tour4. The home beautification program took families from shelters to being together in nice homes5. The youth resiliency academy6. Contributed in excess of $200,000 in goods to families in need		
Mid-Ohio Foodbank	http://www.midohiofoodbank.org		EIN 31-0865343	3960 Brookham Dr	Grove City	OH	43123	USA	Emergency Assistance, Food, Food Banks & Pantries	Mid-Ohio FoodBank is a not-for-profit organization dedicated to feeding hungry people by providing food and grocery products for distribution in the Ohio counties we serve, and increasing awareness about hunger in our community.					
St Vincent Family Centers	http://www.svfc.org		EIN 31-4379572	1490 E Main St	Columbus	OH	43205	USA		We make good kids better by providing pediatric behavioral health care within a learning community to change the lives of children and families.			Residential-intensive, structured 24 hour care of children 5 1/2 to 13 years of age who need long or short-term residential care. The program serves boys and girls and is the only residential treatment option in the region for children under 10 years of age.   therapeutic school age and afterschool program-structured environment for children 5 1/2 to 12 years of age who are experiencing emotional and behavioral difficulties and have not succeeded in regular classroom settings. The program focuses on the emotional as well as educational needs of children. Nearly all the children move on to a less restrictive setting upon completion of the program.   therapeutic preschool program-working with children 3-6 years of age, who have behavioral, emotional, and/or social challenges. The program helps preschoolers learn positive behaviors, social skills and problem-solving skills. Nearly all the children move on to a less restrictive setting upon completion of the program.		
Faith Ranch and Farms Fund	http://www.faithranch.org	740-946-2255	EIN 23-7227237	PO Box 355	Jewett	OH	43986	USA	Religion	Sharing the Love of Jesus in a Ranch Setting			Summer Camps, Public Riding Stables, Retreat Center		
Society For The Improvement Of Conditions For Stray Animals	http://www.sicsa.org		EIN 23-7367199	2600 Wilmington Pike	Kettering	OH	45419	USA	Animal Protection & Welfare, Animal-Related, Animals	Our mission is to promote the welfare of companion animals and to nurture loving, lifelong relationships between animals and people.					
DIVA Donations	http://DIVADonations.com	330-540-8327	EIN 37-1739723	11836 south Ave door E	North Lima	OH	44504	USA		We are dedicated to providing a Cinderella experience to those in need with help from Fairy Godmothers in our community.	young women attend special occasion dances / events	Youngstown ohio/mahoning,Columbiana,Trumbull, Portage counties and Parts of Pa.	Girls who go through Diva Donations are also able to obtain dress flowers, hairstyling, make up, at very reduced rate or volunteer service.	Diva Donations has helped 41 girls attend home coming, 2 brides get married and 3 girls go to sweethearts.	300
St Joseph Orphanage	http://www.sjokids.org/	513-741-3100	EIN 31-0537147	5400 Edalbert Dr	Cincinnati	OH	45239	USA		St. Joseph Orphanage is a comprehensive children's mental health, educational, and residential treatment agency that helps abused, cognitively challenged, and/or emotionally disturbed children and their families on the road to recovery and success. (13-Apr-2010)		Hamilton County, Butler County, Clermont County, Warren County, and Northwest Ohio			
The Victory Center	http://www.thevictorycenter.org	419-531-7600	EIN 34-1767997	5532 W Central Ave Ste B	Toledo	OH	43615	USA	Health, Public Health	Our mission is to support and educate cancer patients and those closest to them by providing individual and group services in northwest Ohio and southeast Michigan.	Anyone with cancer in our region.		One on one services: the center provided various therapy and counseling services to cancer patients in order to nourish and comfort the body, mind & spirit during the fight against cancer. Among those services, the center provided 656 massages, 433 reflexology treatments, and 360 healing touch treatments to the cancer patients in 2014. In addition, there were 1,162 other services including reiki, facials, meditation, counseling and wig bank.   group services: group programs were available at no cost to anyone who has ever been diagnosed with cancer, as well as to family members of cancer patients. Getting together with other cancer survivors or family members was hopeful, uplifting, and therapeutic. In 2014, programs include yoga, art therapy, aquatic exercise, and support groups. There were 4,150 participants with group programs, and 888 with support groups.   outreach: the center provided massage therapy services to cancer patients during chemotherapy within hospitals' chemotherapy treatment sites. Massage including hands, feet, shoulders, and arms would be provided any interested patient in conjunction with chemotherapy, one or more days per month, by an oncology certified licensed massage therapist. The goal for this service is to reach patients at a convenient location, and to educate patients about the center's additional services and programs. Outreach total was 1,026 patients in 2014.   support groups: the center provided services to family members and caregivers of those with cancer. All of the group services, special programs, as well as short term counseling were available to the support groups.	Our units of service have tripled over the past 5 years.  In 2010 alone, we provided 6,311 units of service to more than 500 cancer patients in our area.	
Iron Soup Historical Preservation Co	http://www.ironsoup.com	330-531-2883	EIN 27-4034693	40 Chambers St.	Campbell	OH	44405	USA	Arts & Culture, Historical Organizations	ISHPC MISSION IS TO GAIN COLLECTIVE MAJORITY CONTROL, REMOVE BLIGHT, MAINTAIN AND RESTORE THE UNIFORM FACADE HISTORICAL INTEGRITY IN KEEPING WITH THE YOUNGSTOWN SHEET AND TUBE COMPANY HOMES NATIONAL HISTORICAL REGISTRY DESIGNATION AND PAVE THE WAY FOR THE CREATION OF A VIABLE HISTORICAL DISTRICT BRINGING GAINFUL EMPLOYMENT, TOURISM, AND ATTRACTING SMALL BUSINESSES TO CAMPBELL AND MAHONING COUNTY, OHIO.	Completely restore the Historical integrity and create a viable Historical District that creates jobs and brings economic prosperity to our region via tourism and stimulating small business.	a blighted Endangered National Historic Site	Blight to Tenancy - To bring abandoned blighted units out of disrepair and into tenancy thus keeping with the original purpose of our historical site.  Uniform Facade - To return the outside facing of the units to their original uniform designation which was a major factor in them being entered into the Historical Register.  Life in the Company Homes Mural - Artist Katelyn Gould will paint a 30' tall mural on the end of one of the rows this year that will feature the life and times of Company Homes residents from the complex opening in 1918 to current day.	Prior to what is listed below, since 2007, countless emergency repairs were made in the Endangered National Historical Site Including, but not limited to, boarding up of buildings to discourage vagrants and vandalism, cleaning out of city sewer drains and parks and making streets passable.... 1.	Iron Soup Historical Preservation Company 501 (c) 3 Non Profit Formed and Board of Directors installed 2.	WEP program participant through Mahoning County Job and Family services 3.	Hands On Volunteer Network of the Valley Partnership Formed to recruit volunteers 4.	GOOD360 Partnership formed with Home Depot resulting in excess of 5K in remodeling donations per mo. 5.	ISHPC enrolled in Justgive.org to facilitate and track donations 6.	ISHPC forms partnership with Techsoup.org to gain much needed software and technical products 7.	Community Homes Owner Coalition (CHOC) formed 8.	Received and successfully implemented YNDC Peoples Garden Grant, 2013 9.	ISHPC involves Company Homes communitys children in planting 800 morning glories 10.	ISHPC President is winner of Hands On Network of the Valleys Volunteer of the Year Award, Dec. 2012 11.	Future Company Homes Museum site selected 12.	ISHPC attends Power of the Arts Conference 13.	Invited to speak at the Youngstown Historical Center of Industry & Labors Sheet and Tube worker reunion 14.	ISHPC invited on the Morning Show with Jim Loboy 15.	ISHPC selected site for participation in Natalya Pinchuks Dreaming Youngstown Session 16.	ISHPC hosted YSU, Dr. Donna DeBlasios Dr. Leary and Applied History Students for annual tour 17.	AmeriCorps selected ISHPC as a work site, summer of 2013 18.	Remodeling of Main Office area Completed 19.	4 Historical Units brought out of Blight and into Tenancy. 20.	New roof is near completion on the Former Company Home Garages on Jackson St. 21.	Home Depot Fencing installed in front of Rental Units on Delmar Ave. 22.	Home Depot donated doors, windows, flooring, kitchen and bathroom cabinets and lighting installed in units 23.	MURAL by native Artist, Katelyn Gould completed at the end wall of the Delmar Row. 24.	Construction Started on the lower level of the Life in the Company Homes Museum 25.	32 Andrews donated to ISHPC	 *ISHPC operating costs covered by blight to tenancy program success	bring three historical units out of blight and into tenancy
Interface Creative Group	http://www.artsinterface.org	937-325-3005	EIN 20-2287597	107 Cliff Park Rd. P.O. Box 911	Springfield	OH	45501	USA	Arts & Culture	To provide cultural illumination.		Clark County, Ohio	To market the cultural and civic assets of springfield. To continue the redevelopment of springfield as a vital cultural hub.   to provide arts education that is curriculum based and meets state learning standards through after school programs.		
Pharmacists For Life Intl	http://		EIN 34-1485795	Po Box 1281	Powell	OH	43065	USA							
Stampede of Dreams Therapeutic Riding Program	http://www.stampedeofdreams.org	419-577-8917	EIN 26-4063758	PO Box 679 c/o Sandy Lovato	Norwalk	OH	44857	USA	Health, Rehabilitative Care	For the purpose of sharing the love for horses and a concern for people, to improve the bodies, minds and spirit of children and adults with special needs through Equine Assisted Activities and Therapies.	Individuals with special needs	Huron County Ohio	adaptive horseback riding lessons given by PATH certified instructors.		20 individuals
Learning Center for Human Development	http://cfhd.org	740-838-4033	EIN 	49862 Batesville Rd	Summerfield	OH	43788	USA		We are an international organization, offering programs to assist people in their personal and professional growth. Our goal is to expand consciousness and to liberate all of life from suppression by resolving poverty, and prejudice that breeds fear, which then threatens all life. Our goal is to make success in life simple and doable, and to add productive growth in our community and world.					
Cincinnati Urban Promise Inc.	http://www.cincyurbanpromise.org	513-255-5582	EIN 80-0472009	4139 Kirby Ave	Cincinnati	OH	45223	USA	Protestant, Religion	Cincinnati Urban Promise, Inc. seeks to create holistic change in the lives of individuals, families, and neighborhoods by meeting their spiritual, physical, emotional,  and academic needs through a Christ-centered approach to education, empowerment, and loving relationship.	at-risk populations	Northside, Cincinnati	job training, mentoring, after-school tutoring, and summer enrichment programming.	Through the work of CUP lives have been changed, addictions broken, stability achieved. Individuals, children and families are finding purpose and joy in living as they work to break the cycle of poverty in their families.	
RadioU	http://radiou.com	614-839-7100	EIN 31-1396255	PO Box 1887	Westerville	OH	43086	USA	Arts & Culture, Christianity, Radio, Religion, Religious Media & Communications, Television	Spirit Communications launched RadioU in 1996. RadioU is heard on FM stations nationwide, streaming online, and through our mobile apps. RadioU TV streams online and is also available as a Roku channel, on DISH Network, and through our mobile apps. Our goal is to provide predominantly college and high school age students with what we believe can be a life-changing message of hope through a wide range of popular music. Our non-commercial FM radio stations also provide airtime to other non-profit organizations, host and promote events each year to reinforce positive lifestyle messages among area students, and are active voices for public service in the areas they serve.					
Cancer Connection of Northwest Ohio	http://www.CancerConnectionOfNorthwestOhio.com	419-725-1100	EIN 26-3141846	151 N. Michigan Suite 200	Toledo	OH	43604	USA	Cancer	The mission of Cancer Connection of Northwest Ohio, Inc. is to journey hand-in-hand with those who are afflicted with cancer by connecting individuals and their families to vital resources, providing hands-on support, and creating programs that meet the physical, emotional, and spiritual needs of cancer patients and their families in our community; serving ALL cancers and ALL ages.	cancer patients and their families	Northwest Ohio	hands-on physical, emotional and spiritual support for ALL cancers and ALL ages.	Thousands of local cancer patients and their families have been served, ages 6 months to 95 years old.  We have published 3 children's books and have received numerous awards for the work we are doing in our community.  This organization has been recognized on an international level for their collaborations and their books that are being sold all over the world!	thousands of patients and their families
Natures Nursery Center For Wildlife Rehabilitation and Conservation	http://www.natures-nursery.org	(419) 877-0060	EIN 34-1603377	PO Box 2395	Whitehouse	OH	43571	USA	Animals, Wildlife Preservation & Protection, Wildlife Sanctuaries	THE CENTER IMPROVES THE WELL-BEING OF NORTHWEST OHIO WILDLIFE POPULATIONS AND HABITAT THROUGH PUBLIC EDUCATION AND REHABILITATION OF INJURED, AILING, AND ORPHANED WILDLIFE WITH AN EMPHASIS ON COEXISTENCE.			The rehabilitation of injured and orphaned wildlife was accomplished through the care of over two thousand animals.   the formal education of kindergarten through high school students was accomplished through the education of over three thousand students.   the formal education of the adult population was accomplished through the education of over three thousand adults.		
Russian American Medical Association Inc	http://www.russiandoctors.org	(440) 953-8055	EIN 03-0445493	36100 Euclid Avenue	Willoughby	OH	44094	USA	Health	To conduct educational and professional seminars and conferences on medical subjects in the usa and former soviet union.			To conduct educational and professional seminars and conferences on medical		
Humane Society of Columbiana County	http://www.columbianahumane.org	330-332-2600	EIN 34-1946987	1825 S. Lincoln Ave. P.O. Box 101	Salem	OH	44460	USA	Animal Protection & Welfare, Animals	The Humane Society of Columbiana County is a no-kill, no suffering, non-profit, animal welfare organization that investigates claims of cruelty, abuse and neglect and adopts animals into lifelong homes, while focusing on curbing pet overpopulation.		Columbiana County, Ohio	Cruelty, abuse and neglect investigation; animal welfare and care education; spay and neuter education; pet adoption.	We work tirelessly to raise the funds necessary to support our mission and programs.	
The Right Path for Washington County Inc	http://		EIN 36-4618751	344 Muskingum Dr	Marietta	OH	45750	USA	Children & Youth, Youth Development Programs						
Catholics United For The Faith	http://		EIN 13-2621966	827 N 4th St	Steubenville	OH	43952	USA							
Girl Scouts Of North East Ohio	http://www.gsneo.org	(330) 864-9933	EIN 34-0726094	1 Girl Scout Way	Macedonia	OH	44056	USA	Children & Youth, Girl Scouts of the U.S.A.	Girl scouting builds girls of courage, confidence, and characther, who make the world a better place.			Leadership experiences for girls are what makes girl scouting unique. Girl scouts of north east ohio helps every girl discover who she can be and what she can do through programming that gives her the opportunity to try on different roles and grow into ones that fit her best. Girl scouts of north east ohio is a truly unified, borderless council where girls learn the skills necessary to succeed in the areas of financial literacy, the arts and sciences, healthy living and community engagement.		
For the Love of Pits	http://		EIN 20-4944666	PO Box 14292	Cleveland	OH	44114	USA	Animal Protection & Welfare, Animals						
Cincinnati Scholarship Foundation	http://cincinnatischolarshipfoundation.org	(513) 345-6701	EIN 31-0603619	602 Main St Ste 1000	Cincinnati	OH	45202	USA	Education, Scholarships, Scholarships & Student Financial Aid				The object of the organization is to create, maintain and administer funds for the cultural and educational advancement of worthy and financially needy high school and college students. Since 1989 over $23,747,624 in scholarships have been awarded to over 22,000 area students. See schedule i for details of the current year scholarships awarded.		
Matthew 25: Ministries Inc	http://www.m25m.org	513-793-6256	EIN 31-1348100	11060 Kenwood Rd	Cincinnati	OH	45242	USA	International	The mission of Matthew 25: Ministries is to fulfill Matthew 25:34-40 by providing nutritional food to the hungry, clean water to the thirsty, clothing to the naked, shelter to the homeless, medical care to the ill, and humanitarian supplies to prisoners.   "As you did it to the least of these my brothers and sisters, you did it to me" (Matthew 25:40).			Humanitarian Aid Organization   Matthew 25: Ministries is a humanitarian aid organization that helps more than 11 million people around the world each year and sends more than 10 million pounds of aid such as food, personal care items, medical supplies, and other  products to the poorest of the poor. We work with corporations, organizations and individuals to provide much needed aid to the poor and fight against world poverty .   Our HUMANITARIAN RELIEF Products   Matthew 25: Ministries provides humanitarian relief to the poor by collecting product donations from corporations, organizations, and individuals. With the help of our volunteers, M25M evaluates, categorizes, sorts, and processes these donated items before shipping them to those in need. These steps ensure that the products meet social, legal, and cultural requirements of the area. The donated items range from personal to community supplies, food, clothing, and medical aid. These donations help those in impoverished areas of Greater Cincinnati, throughout the U.S. , and around the world.   Our Humanitarian Aid Partners   In order to reach as many people as possible, Matthew 25: Ministries partners with non-profit organizations in the recipient location. This helps keep costs down. Through these relationships we ensure that donated goods are shipped to places with true need and distributed by people who are familiar with the area. Matthew 25: Ministries works with more than 20 organizations in the Greater Cincinnati area, groups throughout the United States including Appalachia and the American Indians, and in over 35 countries worldwide.  Disaster Response   In disaster situations, time is a precious commodity and implementing an effective disaster response is critical. Matthew 25: Ministries is constantly monitoring its readiness to meet the needs of a sudden disaster. This includes maintaining the facilities and resources needed, as well as being ready to engage disaster relief volunteers from the local community who want to help provide relief to the victims.     Disaster Support Process   In order to provide the most effective disaster support possible, supplies must be sorted prior to being shipped. When aid products reach the devastated area, they need to be ready for immediate distribution. Matthew 25: Ministries ships only pre-sorted, pre-processed items that are culturally and seasonally appropriate to the disaster area. This ensures that the products will bring relief to the victims instead of creating additional work for the responders in the area. According to UNDRO (United Nations Disaster Relief Organization), "The impulsive generosity of governments, organizations, and individuals alike can cause as much chaos and confusion as the disaster itself."     Natural Disaster Relief   Matthew 25: Ministries has responded to a wide variety of natural disasters including cyclones, tsunamis, earthquakes, floods, hurricanes, windstorms, and droughts. Most recently, Matthew 25: Ministries has been shipping disaster relief products to Japan in response to the March 2011 earthquake, tsunami, and nuclear crisis.	Thank you to everyone who supports Matthew 25: Ministries' work with the poorest of the poor! With the generous support of our volunteers and donors, Matthew 25 distributed record-breaking amounts of humanitarian aid to the poorest of the poor in our community, our country and our world in 2011. THANK YOU for being a part of our work!   In 2011, Matthew 25: Ministries:  Shipped 621 forty-foot containers of humanitarian aid and disaster relief. Shipped more than 13 million pounds of desperately needed supplies (20% of these products stayed in the U.S.). Helped more than 15 million people in Greater Cincinnati, throughout the United States and around the world. Responded to the earthquake/tsunami in Japan, tornadoes in the southern region of the United States, and flooding in Nicaragua and other parts of Central America. Celebrated 20 years of service and shipped our 100 millionth pound of aid. Was ranked #1 by Forbes and Charity Navigator for efficiency. Produced 3,324,265 meals in our Food Processing Center, 1 million of which went to Japan.	
Ynott Foundation	http://		EIN 75-3249473	1391 West 5th Ave 116	Columbus	OH	43212	USA	Health, Public Health						
ISOH/IMPACT	http://www.isohimpact.org	(419) 878-8548	EIN 34-1470104	25182 W. River Rd.	Perrysburg	OH	43551	USA	Disaster Aid, Disaster Preparedness & Relief Services, Health, International, International Development, International Relief, Rehabilitative Care	"Reaching Out& Serving Others" "Each one should use whatever gift he has received to serve others, faithfully administering God''s grace in its various forms." 1 Peter 4:10			International children are brought to the United States to recieve life saving care that they could not recieve in their home country because the country is undeveloped enough to be able to offer the care that is needed.		
Colony Cats (& Dogs)	http://www.colonycats.org		EIN 04-3749543	2740 Festival Lane	Dublin	OH	43017	USA	Animal Protection & Welfare, Animals	Colony Cats is an all-volunteer, 501(c)(3) non-profit organization whose primary mission is to address cat overpopulation in central Ohio through public awareness and spay/neuter efforts.	Specialized help for feral, stray and abandoned cats is a core element of our programs.	Central Ohio	We assist compassionate caregivers who are feeding and watching over homeless cats by providing TNR (trap-neuter-return) and other support services including food, shelter, vaccines and additional vet care for injuries/illness, as well as educational resources.	Since 2002, our organization has facilitated spay/neuter of nearly 9,000 cats and dogs, and placed more than 7,500 pets in homes.	
Pink Ribbon Girls Inc	http://www.pinkribbongirls.org	937.350.6767	EIN 32-0020270	PO Box 58420	Cincinnati	OH	45258	USA	Breast Cancer, Health	Pink Ribbon Girls' mission is to provide personalized support to women throughout all phases of the breast cancer journey. We accomoplish this through education, outreach, awareness, and one-on-one support to women and their families.	Women and their families throughout all phases of the breast cancer journey.	Southwest Ohio	Pink Ribbon Girls provides free services for those in treatment to help with everyday life needs such as housekeeping, meals and transportation through our Simply Fight! and NO Age NO Stage programs.	In 2013, Pink Ribbon Girls provided over 10,250 meals; 2,200 house cleanings and 210 rides to treatment.   In 1Q 2014, Pink Ribbon Girls has already provided 6,700 meals; 510 house cleanings and 134 rides to treatment. With these numbers, we are projecting almost a 160% increase in meals and rides for 2014.	In 2013, Pink Ribbon Girls provided over 10,250 meals; 2,200 house cleanings and 210 rides to treatment for women in active breast cancer treatment
Ethiopian Tewahedo Social Services	http://www.ethiotss.org	614-252-5362	EIN 20-3525591	1060 Mount Vernon Ave.	Columbus	OH	43203	USA	Financial Counseling	To assist immigrant and refugee families and low income individuals in Central Ohio improve the quality of their lives, and the facilitate integration through education, training, supportive services, and self-development opportunities, and to increase the awareness of the culture and heritage of Central Ohio's immigrant and refugee population.	refugees, immigrants, and low-income families	Central Ohio	ESOL and Basic Employment Skills classes, After School Program, Summer Enrichment Camp, Case Management Services, Interpretation and Translation Services, and Cultural Competency training.		315 clients get a job, 430 refugees learn English and Basic Employability Skills, and over 720 youth further their education and development through After School, Summer, and Enrichment programs
Children's Hunger Alliance	http://www.childrenshungeralliance.org	800-227-6446	EIN 23-7303509	1105 Schrock Road Suite 505	Columbus	OH	43220	USA	Food, Food, Agriculture & Nutrition, Nutrition						
Love for the Elderly	http://lovefortheelderly.org		EIN 47-3650934	PO Box 24248	Cleveland	OH	44124	USA		Our organization is dedicated to enriching the lives of our elders with heartfelt love and kindness!				We have impacted over 10,000 seniors, leaving an indelible mark on 51 countries and 6 continents!	
UCAN, Inc.	http://ucaninc.org	216-736-2284	EIN 	700 Prospect Ave. E	Cleveland	OH	44115	USA		The mission of UCAN (The United Church of Christ HIV and AIDS Network) is to build a network of people, local churches and organizations within and beyond the United Church of Christ for HIV prevention, education and care giving by:  Providing technical assistance to help local churches and other faith-based settings start and build their capacity and programs;   Offering training in the use of the UCC's comprehensive HIV and AIDS curriculum, "Affirming Persons, Saving Lives," as well as other HIV and AIDS educational resources;   Sharing leadership for education and information on public policy concerns; and   Bringing critical presence to those most affected by HIV and AIDS in the United States and throughout the world.		National and Global			
Yesh Tikvah	http://www.ytforhope.org		EIN 47-1245042	3614 Bendemeer Rd	Cleveland Hts	OH	44118	USA	Mental Health	Yesh Tikvah is committed to subsidizing mental health counseling and treatment for individuals who are unable to pay for these services. Yesh Tikvah will provide funding to individuals in the community with discretion, dignity, and fiduciary responsibility.	Members of the Jewish Community who require mental health services but cannot afford it and who are unable to receive the care they need from existing resources.	In  Cleveland Ohio	Subsidizing the cost of mental health therapy		
Multiple Breed Rescue	http://www.mbrohio.com		EIN 32-0312441	10886 West Ridge Rd	Elyria	OH	44035	USA	Animal Protection & Welfare, Animals	Our mission is to educate the public on pet overpopulation and humane treatment of animals in Ohio, to take takes dogs that are in Ohio Kill Shelters who are in danger of being euthanized to make room for more strays / unwanted pets, to take animals from inhumane, hoarding or puppy mills.	animals in need	Ohio	spay/neuter programs over population awareness assist those who have fallen on hard times feed their pets	As of February 6, 2017 we have taken in over 1,855 dogs; 100 cats; 12 farm animals And are now offering a service to Lorain County residents called MBR Pet Pantry of Lorain County	220 dogs, 5 farm animals, 50 cats
Dogs Unlimited Rescue	https://www.DogsUnlimitedRescue.org		EIN 27-2394018	26110 Emery Road Suite 250	Warrensville Heights	OH	44128	USA	Animal Protection & Welfare, Animals	Dogs Unlimited Rescue, Inc. is an all volunteer non-profit organization that is dedicated to educating the public and saving abused and neglected animals from an uncertain fate. Our organization rescues animals from high kill shelters, hoarding situations, abuse or neglect cases, owner surrenders, and the breeding parents in Ohio puppy mills that would otherwise be inhumanely disposed of.  We improve their lives by providing quality care and placement into permanent loving homes.  We will continue to educate, rescue, rehabilitate and encourage the adoption of pets from shelters and rescue groups.  We do not maintain a physical shelter. All our rescues are in loving foster care.  We differentiate ourselves by providing animals in our rescue with ONLY quality care and even though it may be costly, these animals deserve nothing less and that is why donations are so vitally important. Our vetting is very costly along the with other related expenses (rehabilitation, training, etc.) of the animals in our rescue.	injured, abandoned, homeless animals	NorthEast Ohio	fostering, rehabilitation, medical attention, and lots and lots of love and nurturing until the dogs and cats are healthy and happy in furever homes!	Since inception, we have saved, medically and emotionally treated, and homed over 500 dogs and cats (mostly dogs).	200 dogs and cats find furever homes
Gallery 202, Partners in Art, Inc.	http://	614-890-8202	EIN 57-1199127	38 N. State St.	Westerville	OH	43081	USA		Gallery 202, Partners in Art, Inc. specializes in community art programs for all ages and encourages the interaction between Artists, Patrons and Businesses.	Ages 2 through adults, special classes in kids, women and special needs.			We have provided community art i.e. murals, classes/camps for children and developed more programs for all ages, including developing a directory for local artists.	local children and adults, we can reduce the price of camps or classes as our financial allow.
Cat Ladies Society	http://	(330) 533-9772	EIN 26-2807671	2217 Mahoning Ave	Youngstown	OH	44509	USA	Animal Protection & Welfare, Animals	Promoting spay/neuter for cats			Provide rescue and adoption services for stray, neglected, abandoned and abused cats. Educate the public about the need for spaying/neutering, proper cat care and nutritional information.		
Friends Of The Public Library Of Cincinnati And Hamilton County	http://friends.cincinnatilibrary.org	(513) 369-6035	EIN 31-6032847	8456 Vine St	Cincinnati	OH	45216	USA		A non-profit organization dedicated to helping the public library of cincinnati and hamilton county make information accessible to the communities it serves. The organization purchases special library materials and equipment and sponsors numerous programs throughout the year.			Program expenses incurred to fund further public interest.		
Alcohol and Drug Abuse Self-Help Network, Inc., d.b.a. SMART Recovery	http://www.smartrecovery.org	(440)951-5357	EIN 52-1811500	7304 Mentor Avenue Suite F	Mentor	OH	44060	USA	Human Service Organizations, Human Services, Mental Health, Substance Abuse Dependency, Prevention & Treatment		anyone looking for help with addiction and addictive behaviors.	in the United States and many countries around the world.	over 2,000 weekly meeting and SMART Recovery publications available via the SMART Recovery bookstore.		the attendees of over 2,000 free weekly meetings.
Early Childhood Resource Center	http://		EIN 34-0714462	2475 E 22nd St	Cleveland	OH	44115	USA	Human Services						
